   Svayambhu Purāṇa	SvayamBu PurANa
   tathā tatmantriṇaḥ sarve sāmātyasacivo janāḥ // SvayambhuP_1.87 //	taTA tad-mantriNaH sarve sa-amAtya-sacivaH janAH // SvayamBuj-_1.87 //
   tamarhantaṃ yatinnatvā tatraikāntamupāśrayat /	tam-arhantam yatinnatvA tatra-ekAntam-upASrayat /
   tataḥ so 'rhan mahābhijño dṛṣṭvā sarvā samāśritān // SvayambhuP_1.88 //	tatas saH arhan mahA-aBijQaH dRzwvA sarvA samASritAn // SvayamBuj-_1.88 //
   ādimadhyāntakalyāṇaṃ saddharmasamupādiśat /	Adi-maDya-anta-kalyANam sadDarma-samupAdiSat /
   tatsaddharmāmṛtaṃ pītvā sarve lokāḥ pravodhitāḥ // SvayambhuP_1.89 //	tad-sadDarma-amRtam pItvA sarve lokAH pravoDitAH // SvayamBuj-_1.89 //
   dharmaviśeṣamājñāya saṃbodhivratamīcchire /	Darma-viSezam-AjQAya saMboDivratamIcSire /
   tataḥ so 'pi mahārājaḥ śrutvā taddharmamuttamaṃ // SvayambhuP_1.90 //	tatas saH api mahA-rAjaH SrutvA tat-Darmam-uttamam // SvayamBuj-_1.90 //
   saṃbodhisādhanocaryā saṃcarituṃ samaicchata /	saMboDi-sADanaH-caryA saMcaritum samEcCata /
   tataḥ sa nṛpatī rājā sāñjaliḥ samupāśritaḥ // SvayambhuP_1.91 //	tatas sa nRpatiH rAjA sa-aQjaliH samupASritaH // SvayamBuj-_1.91 //
   tamarhantaṃ mahāsattvaṃ natvā paśyaṃ mudāvadat /	tam-arhantam mahAsattvam natvA paSyam mudA-avadat /
   bhadanta śrotumicchāmi saṃbodhisādhanaṃ vrataṃ // SvayambhuP_1.92 //	Badanta Srotum-icCAmi saMboDi-sADanam vratam // SvayamBuj-_1.92 //
   kutra puṇyatamaṃ kṣatraṃ yatrāśu sidhyate vrataṃ /	kutra puNyatamam kzatram yatra-ASu siDyate vratam /
   tad bhavān samupādiśya sarvāṃllokān prabodhayan // SvayambhuP_1.93 //	tat BavAn samupAdiSya sarvAn=-lokAn praboDayan // SvayamBuj-_1.93 //
   bodhimārge samāyujya saṃcārayitumarhati //	boDi-mArge samAyujya saMcArayitum-arhati //
   iti saṃprārthite rājñā śrutvā so 'rhan mahāmatiḥ // SvayambhuP_1.94 //	iti saMprArTite rAjQA SrutvA saH arhan mahAmatiH // SvayamBuj-_1.94 //
   tamaśokaṃ mahīpālaṃ sampaśyannevamabravīt /	tam-aSokam mahIpAlam sampaSyan=-evam-abravIt /
   sādhu śṛṇu mahārāja yathā me guruṇoditaṃ // SvayambhuP_1.95 //	sADu SRNu mahA-rAja yaTA me guruNA-uditam // SvayamBuj-_1.95 //
   tathāhaṃ te pravakṣāmi bodhivrataṃ yadīcchasi /	taTA-aham te pravakzAmi boDivratam yadi-icCasi /
   sarvakṣatrottamo rājannuttarasyāṃ himālaye // SvayambhuP_1.96 //	sarva-kzatra-uttamaH rAjan=-uttarasyAm himAlaye // SvayamBuj-_1.96 //
   nepāle iti vikhyāto yatrāśu sidhyate vrataṃ /	nepAle iti viKyAtaH yatra-ASu siDyate vratam /
   tatrāpyati mahatpuṇyakṣatraṃ buddhaiḥ praśaṃsitaṃ // SvayambhuP_1.97 //	tatra-api-ati mahat-puNyakzatram budDEH praSaMsitam // SvayamBuj-_1.97 //
   svayambhūcaityarājasya dharmadhātoḥ samāśrayaṃ /	svayamBU-cEtya-rAjasya DarmaDAtoH samASrayam /
   tatra yadyatkṛtaṃ karma tattatsaṃsidhyate dutaṃ // SvayambhuP_1.98 //	tatra yat-yat-kRtam karma tat-tad-saMsiDyate dutam // SvayamBuj-_1.98 //
   iti sarvai mahāsattvaiḥ saṃsevitaṃ jinairapi /	iti sarvE mahAsattvEH saMsevitam jinEH-api /
   iti vijñāya rājendra sambodhiṃ yadi vāñchasi // SvayambhuP_1.99 //	iti vijQAya rAja-indra samboDim yadi vAQCasi // SvayamBuj-_1.99 //
   taccaityaśaraṇaṃ gatvā saṃcarasva susaṃvaraṃ /	tad-cEtya-SaraNam gatvA saMcarasva su-saMvaram /
   etatpuṇyaviśuddhātmā bhadraśrī sadguṇarddhimān // SvayambhuP_1.100 //	etat-puNya-viSudDa-AtmA BadraSrI sat-guNa-RdDimAn // SvayamBuj-_1.100 //
   bodhisattvo mahābhijño bhaveḥ sarvahitārthabhṛt /	boDisattvaH mahA-aBijQaH BaveH sarva-hita-arTa-BRt /
   tataḥ kramena sambodhiṃ saṃbhāraṃ paripūrayan // SvayambhuP_1.101 //	tatas kramena samboDim saMBAram paripUrayan // SvayamBuj-_1.101 //
   niḥkleśo 'rhañjagannāthāḥ sambuddhapadamāpsyasi /	niHkleSaH arhan-jagannATAH sambudDa-padam-Apsyasi /
   iti tenārhatādiṣṭaṃ niśamya sa nṛpo mudā // SvayambhuP_1.102 //	iti tena-arhata-Adizwam niSamya sa nRpaH mudA // SvayamBuj-_1.102 //
   upaguptaṃ guruṃ natvā papracchaivaṃ samādarāt /	upaguptam gurum natvA papracCa-evam samAdarAt /
   bhadanta śrotumichāmi svayambhūtpatti satkathāṃ // SvayambhuP_1.103 //	Badanta Srotum-iCAmi svayamBUt-patti sat-kaTAm // SvayamBuj-_1.103 //
   kadā svayaṃ samutpannaṃ statsamādeṣṭumarhati /	kadA svayam samutpannam stat-samAdezwum-arhati /
   iti saṃprārthitaṃ rājñā śrutvā so 'rhan yatiḥ surdhīḥ // SvayambhuP_1.104	iti saMprArTitam rAjQA SrutvA saH arhan yatiH surDIH // SvayamBuj-_1.104
   aśokaṃ taṃ mahīpālaṃ sampaśyannevamādiśat /	aSokam tam mahIpAlam sampaSyan=-evam-AdiSat /
   sādhu rājan yathādiṣṭaṃ guruṇā me śrutaṃ mayā // SvayambhuP_1.105 //	sADu rAjan yaTA-Adizwam guruNA me Srutam mayA // SvayamBuj-_1.105 //
   tathāhaṃ saṃpravakṣāmi śṛṇuṣva tatsamāhitaḥ /	taTA-aham saMpravakzAmi SRNuzva tad-samAhitaH /
   tadā cāsau jagacchāstā śākyamunistathāgataḥ // SvayambhuP_1.106 //	tadA ca-asO jagat-SAstA SAkya-muniH-taTAgataH // SvayamBuj-_1.106 //
   sarvajño dharmarājo 'rhan munīśvaro vināyakaḥ /	sarvajQaH DarmarAjaH arhan muni-ISvaraH vinAyakaH /
   sa sarvaḥ sāṃdhikaiḥ sārddhaṃ janapadeṣu saṃcaran // SvayambhuP_1.107 //	sa sarvaH sAMDikEH sArdDam janapadezu saMcaran // SvayamBuj-_1.107 //
   ekasmin samaye tatra nepāle samupācarat /	ekasmin samaye tatra nepAle samupAcarat /
   gopucchaparvvatapārśve paścime śrīsvayambhūvaḥ // SvayambhuP_1.108 //	go-pucCa-parvvata-pArSve paScime SrI-svayamBUvaH // SvayamBuj-_1.108 //
   pucchāgro 'bhidha caityasyasaṃnnidhau sugatāśrame /	pucCa-agraH aBiDa cEtyasya-saMnniDO sugata-ASrame /
   sarvasattvahitārthena pūrṇanduriva bhāsayan // SvayambhuP_1.109 //	sarva-sattva-hita-arTena pUrNanduH-iva BAsayan // SvayamBuj-_1.109 //
   saddharmma samupārdeṣṭuṃ vijahāra sasāṃdhikaḥ /	sadDarmma samupArdezwum vijahAra sa-sAMDikaH /
   yadā sa bhagavāñchāstān sattvānāṃ dharmma vṛddhaye // SvayambhuP_1.110 //	yadA sa BagavAn-SAstAn sattvAnAm Darmma vRdDaye // SvayamBuj-_1.110 //
   saddharmma samupādeṣṭuṃ sabhāsane samāśrayat /	sadDarmma samupAdezwum saBA-Asane samASrayat /
   taṃ dṛṣṭvā tadā tatra mañjuśriyaḥ mamāśrame // SvayambhuP_1.111 //	tam dRzwvA tadA tatra maQju-SriyaH mama-ASrame // SvayamBuj-_1.111 //
   vihāre vāsinī cūḍābhidhānī brahmacāriṇī /	vihAre vAsinI cUxA-aBiDAnI brahmacAriNI /
   arhantī bhikṣuṇī bhadrā saddharmmaguṇavāñchinī // SvayambhuP_1.112 //	arhantI BikzuNI BadrA sat-Darmma-guNa-vAQCinI // SvayamBuj-_1.112 //
   suprasannāśrayā śuddhā kāṣāya cīvarāvṛtā /	su-prasanna-ASrayA SudDA kAzAya cIvara-AvRtA /
   divyapūjopacārāṇi samādāya pramoditā // SvayambhuP_1.113 //	divya-pUjA-upacArANi samAdAya pramoditAH // SvayamBuj-_1.113 //
   tatsaddharmāmṛtaṃ pātuṃ tatrāśu samupācarat /	tad-sadDarma-amRtam pAtum tatra-ASu samupAcarat /
   tadā tatra mahāsattvā bodhisattvā jinātmajāḥ // SvayambhuP_1.114 //	tadA tatra mahAsattvAH boDisattvAH jina-AtmajAH // SvayamBuj-_1.114 //
   maitreyapramukhāḥ sarve taddharma śrotumāgatāḥ /	mEtreya-pramuKAH sarve tad-Darma Srotum-AgatAH /
   arhanto bhikṣavaścāpi śrāvakā brahmacāriṇaḥ // SvayambhuP_1.115 //	arhantaH BikzavaH-ca-api SrAvakAH brahmacAriNaH // SvayamBuj-_1.115 //
   bhikṣuṇyo brahmacāriṇyaḥ cailakā vratino 'pi ca /	BikzuNyaH brahmacAriNyaH cElakAH vratinaH api ca /
   triratnaśaraṇāsīnāścopāsakā upāsikāḥ // SvayambhuP_1.116 //	tri-ratna-SaraNa-AsInAH-ca-upAsakAH upAsikAH // SvayamBuj-_1.116 //
   bauddhabhaktiratāḥ sarve taddharmaśrotumāgatāḥ /	bOdDa-Bakti-ratAH sarve tad-DarmaSrotum-AgatAH /
   sarve te samupāyātāstatra sabhāsanāśritaṃ // SvayambhuP_1.117 //	sarve te samupAyAtAH-tatra sa-BAsana-ASritam // SvayamBuj-_1.117 //
   saṃbuddhaṃ taṃ samālokya muditāḥ samupācaran /	saMbudDam tam samAlokya muditAH samupAcaran /
   te sarve 'bhyarcya taṃ nāthaṃ natvā sāñjalayormudā // SvayambhuP_1.118 //	te sarve aByarcya tam nATam natvA sAQjalayoH-mudA // SvayamBuj-_1.118 //
   tatsaddharmāmṛta pātuṃ tatsabhāyāṃ samāśrayan /	tad-sadDarma-amRta pAtum tad-saBAyAm samASrayan /
   brahmaśakrādayā devāḥ sarve lokādhipā api // SvayambhuP_1.119 //	brahma-Sakra-AdayAH devAH sarve loka-aDipAH api // SvayamBuj-_1.119 //
   grahāstārāgaṇāścāpi siddhā vidyādharā api /	grahAH-tArA-gaNAH-ca-api sidDAH vidyADarAH api /
   sādhyā rudrāśca gandharvā yakṣaguhyakakinnarāḥ // SvayambhuP_1.120 //	sADyAH rudrAH-ca ganDarvAH yakza-guhyaka-kinnarAH // SvayamBuj-_1.120 //
   daityendrā rākṣasendrāca nāgendrā garuḍā api /	dEtya-indrAH rAkzasa-indrAca nAga-indrAH garuxAH api /
   evamanyepi lokendrāḥ sarve tatra mudāgatāḥ // SvayambhuP_1.121 //	evam-anyepi loka-indrAH sarve tatra mudA-AgatAH // SvayamBuj-_1.121 //
   taṃ munīndraṃ samabhyarcya natvā tatra samāśrayan /	tam muni-indram samaByarcya natvA tatra samASrayan /
   hāritī yakṣiṇī cāpi bodhisattvānupālinī // SvayambhuP_1.122 //	hAritI yakziNI ca-api boDisattva-anupAlinI // SvayamBuj-_1.122 //
   sā bhavantaṃ tamānasya tatsabhāyāṃ samāśrita /	sA Bavantam tamAnasya tad-saBAyAm samASrita /
   atha sa bhagavānañchāstā dṛṣṭvā sarvān samāśritān // SvayambhuP_1.123 //	aTa sa BagavAn-aQSAstAH dRzwvA sarvAn samASritAn // SvayamBuj-_1.123 //
   maitreyaṃ samupāmantrya sampaśyannevamādiśat /	mEtreyam samupAmantrya sampaSyan=-evam-AdiSat /
   maitreyemaṃ jagannāthaṃ svayambhūvaṃ jinālayaṃ // SvayambhuP_1.124 //	mEtreya-imam jagannATam svayamBUvam jina-Alayam // SvayamBuj-_1.124 //
   dharmadhātuṃ triratnāyaṃ paśyadhvaṃ yūyamādarāt /	DarmaDAtum tri-ratnAyam paSyaDvam yUyam-AdarAt /
   bhajadhvaṃ śraddhayā nityaṃ gatvātra śaraṇaṃ mudā // SvayambhuP_1.125 //	BajaDvam SradDayA nityam gatvA-atra SaraNam mudA // SvayamBuj-_1.125 //
   bodhicaryāvrataṃ dhṛtvā saṃcarante jagaddhite /	boDi-caryA-vratam DRtvA saMcarante jagat-hite /
   śraddhayā ye bhajantyatra śaraṇaṃ samupāśritāḥ // SvayambhuP_1.126 //	SradDayA ye Bajanti-atra SaraNam samupASritAH // SvayamBuj-_1.126 //
   bodhicaryāvrataṃ dhṛtvā saṃcarante jagaddhite /	boDi-caryA-vratam DRtvA saMcarante jagat-hite /
   sarve vimuktapāpāste pariśuddha trimaṇḍalāḥ // SvayambhuP_1.127 //	sarve vimukta-pApAH-te pariSudDa tri-maNxalAH // SvayamBuj-_1.127 //
   bodhisattvā mahābhijñāḥ bhaveyuḥ sadguṇāśrayāḥ /	boDisattvAH mahA-aBijQAH BaveyuH sat-guNa-ASrayAH /
   bhadraśrīsukhasampannaścaturbrahmavihārikāḥ // SvayambhuP_1.128 //	BadraSrI-suKa-sampannaH-catur-brahma-vihArikAH // SvayamBuj-_1.128 //
   sarvasattva hitodyuktāḥ saṃbodhivratacāriṇaḥ /	sarva-sattva hita-udyuktAH saMboDi-vrata-cAriNaH /
   na kvāpi durgatiṃyāyuḥ sadā sadgatisaṃbhavāḥ // SvayambhuP_1.129 //	na kvApi durgatiMyAyuH sadA sat-gati-saMBavAH // SvayamBuj-_1.129 //
   triratnabhajanotsāhāḥ saddharmmasādhanodyamāḥ /	tri-ratna-Bajana-utsAhAH sat-Darmma-sADana-udyamAH /
   tataḥ pravrajyā saṃbuddhaśāsane śaraṇaṃ gatāḥ // SvayambhuP_1.130 //	tatas pravrajyA saMbudDa-SAsane SaraNam gatAH // SvayamBuj-_1.130 //
   brahmacaryāṃ vrataṃ dhṛtvā saṃcareran samāhitāḥ /	brahmacaryAm vratam DRtvA saMcareran samAhitAH /
   tataste nirmalātmāno niḥkleśāḥ vijitendriyāḥ // SvayambhuP_1.131 //	tatas-te nirmala-AtmAnaH niHkleSAH vijita-indriyAH // SvayamBuj-_1.131 //
   trividhāṃ bodhimāsādha sambuddhapadmāpnuyuḥ /	triviDAm boDimA-asADa sambudDa-padma-ApnuyuH /
   evaṃ vijñāya ye martyā vāñchanti saugataṃ padaṃ // SvayambhuP_1.132 //	evam vijQAya ye martyAH vAQCanti sOgatam padam // SvayamBuj-_1.132 //
   te bhajantu sadātraiva śraddhayā śaraṇāśritāḥ /	te Bajantu sadA-atra-eva SradDayA SaraNa-ASritAH /
   ityādiṣṭaṃ munīndreṇa niśamya te sabhāśritāḥ // SvayambhuP_1.133 //	iti-Adizwam muni-indreNa niSamya te saBA-ASritAH // SvayamBuj-_1.133 //
   sarve lokāḥ pramodantastathā bhajitumīcchīre /	sarve lokAH pramodantaH-taTA BajitumIt-SIre /
   maitreyaḥ sa tato dhīmān bodhisattva hi moditaḥ // SvayambhuP_1.134 //	mEtreyaH sa tatas DImAn boDisattva hi moditaH // SvayamBuj-_1.134 //
   samutthāya munīndrasya purataḥ samupācaran /	samutTAya muni-indrasya puratas samupAcaran /
   udvahannuktarāsaṃgaṃ praṇatvā taṃ munīśvaraṃ // SvayambhuP_1.135 //	udvahan=-uktarAsaMgam praNatvA tam muni-ISvaram // SvayamBuj-_1.135 //
   jānubhyāṃ bhuvi saṃghāya sāñjaliretamavravīta /	jAnuByAm Buvi saMGAya sa-aQjaliH-etam-avravIta /
   bhagavān nāthaḥ sarvajña dharmadhātujinālayaḥ // SvayambhuP_1.136 //	BagavAn nATaH sarvajQa DarmaDAtu-jina-AlayaH // SvayamBuj-_1.136 //
   kadāyaṃ svayaṃmutpanna stansamādeṣṭumarhati /	kadA-ayam svayaMmutpad-na stan-samAdezwum-arhati /
   iti saṃprārthite tena maitreyeṇa mahātmanā // SvayambhuP_1.137 //	iti saMprArTite tena mEtreyeNa mahAtmanA // SvayamBuj-_1.137 //
   bhagavantaṃ mahāvijñaṃ saṃpaśyannevamādiśata /	Bagavantam mahA-vijQam saMpaSyan=-evam-AdiSata /
   sādhu śṛṇu samādhāya maitreyo 'sya svayambhūvaḥ // SvayambhuP_1.138 //	sADu SRNu samADAya mEtreyaH asya svayamBUvaH // SvayamBuj-_1.138 //
   samutpattikathāṃ vakṣe sarvalokābhibodhane /	samutpatti-kaTAm vakze sarva-loka-aBiboDane /
   purāsmin bhadrakalpe 'bhūd vipaśvī nāma sarvavit // SvayambhuP_1.139 //	purA-asmin Badra-kalpe aBUt vipaSvI nAma sarva-vid // SvayamBuj-_1.139 //
   jagachāstā munīndro 'rhan dharmmarājastathāgataḥ /	jaga-CAstAH muni-indraH arhan Darmma-rAjaH-taTAgataH /
   aśīti varṣa sāhasra paramāyūṃṣi yadā nṛṇāṃ // SvayambhuP_1.140 //	aSIti varza sAhasra parama-AyUMzi yadA nRNAm // SvayamBuj-_1.140 //
   tadāhaṃ satya dharmmākhyā bodhisattvābhavaṃt kila /	tadA-aham satya Darmma-AKyA boDisattva-aBavan kila /
   yadā sa bhagavāñchāstā vandhumatyāḥ puro 'ntike // SvayambhuP_1.141 //	yadA sa BagavAn-SAstAH vanDumatyAH puras antike // SvayamBuj-_1.141 //
   vihāre dharmmamādiśca vijahāra sasāṃdhikaḥ /	vihAre Darmmam-AdiH-ca vijahAra sa-sAMDikaH /
   tadāhaṃ taṃ jagannāthamārādhya samupasthitaḥ // SvayambhuP_1.142 //	tadA-aham tam jagannATam-ArADya samupasTitaH // SvayamBuj-_1.142 //
   tadātrā bhūtsaptakośa vyāyāmavistaro hradaḥ /	tadA-atrA BUt-saptakoSa vyAyAma-vistaraH hradaH /
   tadanuśāsanāṃ dhṛtvā prācaraṃ bodhi samvaraṃ // SvayambhuP_1.143 //	tad-anuSAsanAm DRtvA prAcaram boDi samvaram // SvayamBuj-_1.143 //
   aṣṭāṃga guṇa sampannaḥ jalāśrayo nagāvṛtaḥ /	azwAMga guNa sampannaH jala-ASrayaH naga-AvRtaH /
   padmotpalādi saugandhi nānā puṣpa praśobhitaḥ // SvayambhuP_1.144 //	padma-utpala-Adi sOganDi nAnA puzpa praSoBitaH // SvayamBuj-_1.144 //
   haṃsa sārasa kāḍamba pramukha pakṣimaṇḍitaḥ /	haMsa sArasa kAxamba pramuKa pakzi-maNxitaH /
   tīropāntanagāruha sarvarttu puṣpitairdrumaiḥ // SvayambhuP_1.145 //	tIra-upAntana-gAruha sarva-Rttu puzpitEH-drumEH // SvayamBuj-_1.145 //
   phalauṣadhādi bṛkṣaiśca samantāt parimaṇḍitaḥ /	Pala-OzaDa-Adi bRkzEH-ca samantAt parimaNxitaH /
   mīnakacchapamaṇḍūkapramukha jalavāsināṃ // SvayambhuP_1.146 //	mInakacCapa-maNxUka-pramuKa jala-vAsinAm // SvayamBuj-_1.146 //
   jantūnāṃ nilayo 'gādhaḥ sarvanāgādhipālayaḥ /	jantUnAm nilayaH agADaH sarva-nAga-aDipa-AlayaH /
   tatra sarvāhirājendraḥ karkkoṭakābhidho mahān // SvayambhuP_1.147 //	tatra sarva-ahi-rAja-indraH kark-kowaka-aBiDaH mahAn // SvayamBuj-_1.147 //
   evaṃ tadā mahā tīrthaḥ puṇyāmṛtāśrayo vabhau /	evam tadA mahA tIrTaH puNya-amRta-ASrayaH vaBO /
   sadā tratridaśāḥ saddharmapsarobhiḥ pramoditāḥ // SvayambhuP_1.148 //	sadA tratridaSAH sat-Darma-psaroBiH pramoditAH // SvayamBuj-_1.148 //
   snātvā saṃkrīḍamānāḥ satsaukhyaṃ bhuktvā divaṃ yayuḥ /	snAtvA saMkrIxamAnAH sat-sOKyam BuktvA divam yayuH /
   tathā brahmādayaḥ sarve maharṣayastapaśvinaḥ // SvayambhuP_1.149 //	taTA brahma-AdayaH sarve mahA-RzayaH-tapaSvinaH // SvayamBuj-_1.149 //
   snāna saṃdhyādikaṃ karmma kṛtvā saṃsevire sadā /	snAna saMDyA-Adikam karmma kRtvA saMsevire sadA /
   evaṃ lokādhipāścāpi snātvātra sarvadā mudā // SvayambhuP_1.150 //	evam loka-aDipAH-ca-api snAtvA-atra sarvadA mudA // SvayamBuj-_1.150 //
   svasva kule samabhyarcya mahotsāhairnisevire /	svasva kule samaByarcya mahA-utsAhEH-nisevire /
   evaṃmanyepi lokāśca vratino brahmacāriṇaḥ // SvayambhuP_1.151 //	evaMmanyepi lokAH-ca vratinaH brahmacAriNaH // SvayamBuj-_1.151 //
   snātvātra saṃvaraṃ dhṛtvāḥ pūtātmāno divaṃ yayuḥ /	snAtvA-atra saMvaram DRtvAH pUta-AtmAnaH divam yayuH /
   bodhisattvā tathānaike snānadānavrataṃ mudā // SvayambhuP_1.152 //	boDisattvA taTA-anEke snAna-dAna-vratam mudA // SvayamBuj-_1.152 //
   kṛtvātra vimalātmānaḥ samācārañjagaddhite /	kRtvA-atra vimala-AtmAnaH samAcAran-jagat-hite /
   evaṃ sarve munīndraiśca snāna vratādi bījaṃphalaṃ // SvayambhuP_1.153 //	evam sarve muni-indrEH-ca snAna vrata-Adi bIjaMPalam // SvayamBuj-_1.153 //
   mahatpuṇyataraṃ śreṣṭhamākhyātaṃ bodhisādhanaṃ /	mahat-puNyataram SrezWam-AKyAtam boDi-sADanam /
   yatra snātvā triratnānāṃ śaraṇe samupāśritāḥ // SvayambhuP_1.154 //	yatra snAtvA tri-ratnAnAm SaraNe samupASritAH // SvayamBuj-_1.154 //
   bodhicaryā vrataṃ dhṛtvā prācaranta jagaddhite /	boDi-caryA vratam DRtvA prAcaranta jagat-hite /
   te āśu vimalātmāno bhadraśrīsatguṇānvitāḥ // SvayambhuP_1.155 //	te ASu vimala-AtmAnaH BadraSrI-sat-guNa-anvitAH // SvayamBuj-_1.155 //
   bodhisattvāḥ mahāsattvā vabhūvuḥ sugatātmajāḥ /	boDisattvAH mahAsattvAH vaBUvuH sugata-AtmajAH /
   kecinniḥ kleśitātmāno bhavasaṃcāre nispṛhāḥ // SvayambhuP_1.156 //	kecid-niH kleSitA-AtmAnaH Bava-saMcAre nispRhAH // SvayamBuj-_1.156 //
   śrāvakabodhisattvamāsādya babhūvu brahmacāriṇaḥ /	SrAvaka-boDisattvam-AsAdya baBUvu brahmacAriNaH /
   kecicca nirmalātmāno saṃsāre viratāśrayāḥ // SvayambhuP_1.157 //	kecid-ca nirmala-AtmAnaH saMsAre virata-ASrayAH // SvayamBuj-_1.157 //
   pratyekabodhimāsādya sunirvṛtiṃ samāyayuḥ /	pratyeka-boDim-AsAdya su-nirvRtim samAyayuH /
   kecit saṃbodhicittaṃ ca prāpya saddharmalālasāḥ // SvayambhuP_1.158 //	kecid saMboDi-cittam ca prApya sat-Darma-lAlasAH // SvayamBuj-_1.158 //
   bodhicaryāvrataṃ dhṛtvā samācarañjagaddhite /	boDi-caryA-vratam DRtvA samAcaran-jagat-hite /
   kecit sarve bhuktvā divyakāmasukhānyapi // SvayambhuP_1.159 //	kecid sarve BuktvA divya-kAma-suKAni-api // SvayamBuj-_1.159 //
   saddharmaguṇasaṃraktāḥ prācaran sarvadā śubhe /	sat-Darma-guNa-saMraktAH prAcaran sarvadA SuBe /
   kecit sarve mahīpālāḥ sunīti dharmacāriṇaḥ // SvayambhuP_1.160 //	kecid sarve mahIpAlAH sunIti Darma-cAriNaH // SvayamBuj-_1.160 //
   kṛtvā sattvahitārthāni yayurante jinālayaṃ /	kRtvA sattva-hita-arTAni yayuH-ante jina-Alayam /
   ahamapi tadā tatra snātvācaraṃ vrataṃ sadā // SvayambhuP_1.171 //	aham-api tadA tatra snAtvA-caram vratam sadA // SvayamBuj-_1.171 //
   etatpuṇyaviśuddhātmā drutaṃ sambodhimāptavān /	etat-puNya-viSudDa-AtmA drutam samboDim-AptavAn /
   yaiścāpyasya jalaṃ pītaṃ te 'pi nirmuktapātakāḥ // SvayambhuP_1.162 //	yEH-ca-api-asya jalam pItam te api nirmukta-pAtakAH // SvayamBuj-_1.162 //
   pariśuddhāśayā bhadrā babhūvu bodhibhāginaḥ /	pariSudDa-ASayAH BadrAH baBUvu boDi-BAginaH /
   evamasau mahātīrthaḥ sarvairapi munīśvaraiḥ // SvayambhuP_1.163 //	evam-asO mahA-tIrTaH sarvEH-api muni-ISvarEH // SvayamBuj-_1.163 //
   samadhiṣṭhāpito 'dyāpi praśaṃsito mahītale /	samaDizWApitaH adya-api praSaMsitaH mahI-tale /
   tatra paścāt svayaṃ dharmadhāturutpatsyate dhruvaṃ // SvayambhuP_1.164 //	tatra paScAt svayam DarmaDAtuH-utpatsyate Druvam // SvayamBuj-_1.164 //
   ityādiśya munīndrau 'sau bhūyā erevaṃ samādiśat /	iti-AdiSya muni-indrO asO BUyAH erevam samAdiSat /
   tadā tatra samupanne dharmadhātau jinālaye // SvayambhuP_1.165 //	tadA tatra samupanne DarmaDAtO jina-Alaye // SvayamBuj-_1.165 //
   nirutpātaṃ śubhotsāhaṃ pravartiṣyati sarvadā /	nirutpAtam SuBa-utsAham pravartizyati sarvadA /
   sarve lokāśca taṃ dṛṣṭvā dharmadhātuṃ svayambhūvaṃ // SvayambhuP_1.166 //	sarve lokAH-ca tam dRzwvA DarmaDAtum svayamBUvam // SvayamBuj-_1.166 //
   śraddhayā śaraṇaṃ gatvā prabhajiṣyanti sarvadā /	SradDayA SaraNam gatvA praBajizyanti sarvadA /
   tadetatpuṇyaliptāste sarve lokāḥ śubhendriyāḥ // SvayambhuP_1.167 //	tat-etat-puNya-liptAH-te sarve lokAH SuBa-indriyAH // SvayamBuj-_1.167 //
   bhadraśrī satsukhaṃ bhuktvā yāsyantyante jinālayaṃ /	BadraSrI sat-suKam BuktvA yAsyanti-ante jina-Alayam /
   ityādiṣṭaṃ munīndreṇa vipaśvinā niśamyate // SvayambhuP_1.168 //	iti-Adizwam muni-indreNa vipaSvinA niSamyate // SvayamBuj-_1.168 //
   sarve sabhāśritā lokāḥ prābhyanandan pravodhitāḥ /	sarve saBA-ASritAH lokAH prAByanandan pravoDitAH /
   iti vipaśvinā śāstā samādiṣṭaṃ śrutaṃ mayā // SvayambhuP_1.169 //	iti vipaSvinA SAstA samAdizwam Srutam mayA // SvayamBuj-_1.169 //
   tathā yuṣmatprodhārtha samākhyātaṃ pravuddhyatāṃ /	taTA yuzmad-proDa-arTa samAKyAtam pravudDyatAm /
   ityādiṣṭaṃ munīndreṇa śrīghanena niśamyate // SvayambhuP_1.170 //	iti-Adizwam muni-indreNa SrIGanena niSamyate // SvayamBuj-_1.170 //
   maitreyādi samālokāḥ sarve 'pi saṃprasedire /	mEtreya-Adi samAlokAH sarve api saMprasedire /
   iti svayambhūdharmadhātu samutpatti nidānakathā prathamo 'dhyāyaḥ samāptaḥ	iti svayamBU-Darma-DAtu samutpatti nidAna-kaTA praTamaH aDyAyaH samAptaH
   dvitīya adhyāya pūjāphalavarṇano nāma	dvitIya aDyAya pUjAPalavarNanaH nAma
   atha dhīmān mahāsattvo maitreyaḥ sa jinātmajaḥ /	aTa DImAn mahAsattvaH mEtreyaH sa jina-AtmajaH /
   bhagavantaṃ punarnatvā sāñjalirevamabravīt // SvayambhuP_2.1 //	Bagavantam punar-natvA sa-aQjaliH-evam-abravIt // SvayamBuj-_2.1 //
   bhagavacchrotumicchāmi svayambhūtpatti satkathāṃ /	Bagavat-Srotum-icCAmi svayamBUt-patti sat-kaTAm /
   tadbhavānsamupākhyātuṃ lokānāṃ saṃpravodhane // SvayambhuP_2.2 //	tat-BavAn-samupAKyAtum lokAnAm saMpravoDane // SvayamBuj-_2.2 //
