   // atha prathama ullāsaḥ //	// aTa praTamaH ullAsaH //
   avinābhāvo 'tra saṃbandhamātraṃ na tu nāntarīyakatvam /	avinA-aBAvaH atra saMbanDa-mAtram na tu na-antarIyaka-tvam /
   tecve hi mañcāḥ krośanti'; ityādau na lakṣaṇā syāt /	tecve hi maQcAH kroSanti-a; ityAdO na lakzaNA syAt /
   avanābhāve cākṣepeṇaiva siddherlakṣaṇāyā nopayoga ityuktam /	avana-aBAve ca-AkzepeNa-eva sidDeH-lakzaNAyAH na-upayogaH iti-uktam /
   "āyurgṛtam'; "āyurevedam'; ityādo ca sādṛśyādanyat kāryakāraṇabāvādi	"a-AyuH-gRtam-a; "AyuH-eva-idam-a; iti-AdaH ca sAdRSyAt-anyat kArya-kAraNa-bAva-Adi
   saṃbandhāntaram /	saMbanDa-antaram /
   evamādau ca kāryakāraṇabhāvādilakṣaṇapūrve, āropādhyavasāne /	evamAdO ca kArya-kAraNa-BAva-Adi-lakzaNa-pUrve, Aropa-aDi-avasAne /
   atra gauṇabhedayorbhede 'pi tādrūpyapratītiḥ sarvathaivābhedāvagamaśva	atra gONa-BedayoH-Bede api tAdrUpya-pratItiH sarvaTA-eva-aBeda-avagam-aSva
   prayojanam /	prayojanam /
   śuddhabhedayostvanyavailakṣaṇyenāvyabhicāreṇa ca kāryakāritvādi /	SudDa-BedayoH-tu-anya-vElakzaNyena-avyaBicAreNa ca kArya-kAri-tva-Adi /
   kvacit tādartyādupacāraḥ /	kvacid tAdartyAt-upacAraH /
   yathā, indrārthā sthūṇā, indraḥ /	yaTA, indra-arTA sTUNA, indraH /
   kvacanatama svasvāmibhāvāt /	kvacanatama sva-svAmi-BAvAt /
   yathā, rājakīyaḥ puruṣo rājā /	yaTA, rAjakIyaH puruzaH rAjA /
   kvacit, avayavāvayavibhāvāt /	kvacit, avayava-avayavi-BAvAt /
   yathā, agrahasta ityatrāgramātre 'vayave hastaḥ /	yaTA, agra-haste iti-atra-agra-mAtre avayave hastaH /
   kvacit tātkarmyāt /	kvacid tAtkarmyAt /
   yathā, atakṣā takṣā //	yaTA, atakzA takzA //
   (sū- 17)	(sU 17)
   lakṣaṇā tena ṣaḍvidhā // 12 //	lakzaNA tena zaxviDAH // 12 //
   ādyabhedābhyāṃ saha //	Adya-BedAByAm saha //
   sā ca (sū- 18)	sA ca (sU 18)
   vyaṅgyena rahitā rūḍhau sahitā tu prayojane /	vyaFgyena rahitA rUXO sahitA tu prayojane /
   prayojanaṃ hi vyañjanavyāpāragamyameva //	prayojanam hi vyaQjana-vyApAra-gamyam-eva //
   (sū- 19)	(sU 19)
   tacca gūḍhamagūḍhaṃ vā	tat-ca gUXam-agUXam vA
   tacceti vyaṅgyam /	tat-ca-iti vyaFgyam /
   gūḍhaṃ yathā mukhaṃ vikasitasmitaṃ vaśitavakrima prekṣitaṃ	gUXam yaTA muKam vikasita-smitam vaSitava-krima prekzitam
   samucchalitavibhramā gatirapāstasaṃśthā matiḥ /	samucCalita-viBramAH gatiH-apAsta-saMSTA matiH /
   uro mukulitastanaṃ jaghanamaṃsabandhoddhuraṃ batenduvadanātanau	uraH mukulita-stanam jaGanam-aMsa-banDa-udDuram bata-indu-vadana-AtanO
   taruṇimodgamo modate //9//	taruNima-udgamaH modate //9//
   agūḍhaṃ yathā śrīparicayājjaḍā api bhavantyabhijñā vidagdhacaritānām /	agUXam yaTA SrI-paricayAt-jaxAH api Bavanti-aBijQA vidagDa-caritAnAm /
   upadiśati kāminīnāṃ yauvanamada eva lalitāni //10//	upadiSati kAminInAm yOvana-madaH eva lalitAni //10//
   atropadiśaitīti //	atra-upadiSA-eti-iti //
   (sū- 20)	(sU 20)
   tadeṣā kathitā tridhā // 13 //	tat-ezA kaTitA triDA // 13 //
   avyaṅgyā gūḍhavyaṅgyā, agūḍhavyahgyā ca //	avyaFgyA gUXa-vyaFgyA, agUXa-vyahgyA ca //
   (sū- 21)	(sU 21)
   tadbhūlakṣiṇikas	tad-BUlakziNika-s
   śabda iti saṃbadhyate /	SabdaH iti saMbaDyate /
   tadbhūstadāśrayaḥ //	tat-BUH-tad-ASrayaH //
   (sū- 22)	(sU 22)
   tatra vyāpāro vyañjanātmakaḥ /	tatra vyApAraH vyaQjana-AtmakaH /
   kuta ityāha (sū- 23)	kutas iti-Aha (sU 23)
   yasya pratītimādhātuṃ lakṣaṇā samupāsyate // 14 //	yasya pratItim-ADAtum lakzaNA samupAsyate // 14 //
   phale śabdaikagamye 'tra vyañjanānnāparā kriyā /	Pale Sabda-eka-gamye atra vyaQjanAt-na-aparA kriyA /
   prayojanapratipipādayiṣayā yatra lakṣaṇayā śabdaprayogastatra	prayojana-pratipipAt-ayizayA yatra lakzaNayA Sabda-prayogaH-tatra
   nānyatastatpratītirapi tu tasmādeva sabdāt /	na-anyatas-tad-pratItiH-api tu tasmAt-eva sabdAt /
   na cātra vyañjanādṛte 'nyo vyāpāraḥ //	na ca-atra vyaQjanAt-Rte anyaH vyApAraH //
   tathāhi (sū- 24)	taTA-hi (sU 24)
   nābhidhā samayābhāvāt	na-aBiDA samaya-aBAvAt-
   gaṅgāyāṃ ghoṣa ityādau ye pāvanatvādayo dharmāstaṭādau pratīyante na tatra	gaFgAyAm GozaH ityAdO ye pAvana-tva-AdayaH DarmAH-tawa-AdO pratIyante na tatra
   gaṅgādiśabdāḥ saṃketitāḥ //	gaFgA-Adi-SabdAH saMketitAH //
   (sū- 25)	(sU 25)
   hetvabhāvān lakṣaṇā // 15 //	hetu-aBAvAn lakzaNAH // 15 //
   mukhyārthabādhāditrayaṃ hetuḥ //	muKya-arTa-bADa-Adi-trayam hetuH //
   tathā ca (sū- 26)	taTA ca (sU 26)
   lakṣyaṃ na mukhyaṃ nāpyatra bādho yogaḥ phalena no /	lakzyam na muKyam na-api-atra bADaH yogaH Palena naH /
   na prayojanametasmin na ca śabdaḥ skhaladgatiḥ // 16 //	na prayojanam-etasmin na ca SabdaH sKalat-gatiH // 16 //
   yathā gaṅgāśabdaḥ srotasi sabādha iti taṭaṃ lakṣayati tadvat yadi taṭe 'pi	yaTA gaFgA-SabdaH srotasi sa-bADaH iti tawam lakzayati tadvat yadi tawe api
   sabādhaḥ syāt tat prayojanaṃ lakṣayet /	sa-bADaH syAt tat prayojanam lakzayet /
   na ca taṭaṃ mukhyo 'rthaḥ /	na ca tawam muKyaH arTaH /
   nāpyatra bādhaḥ /	na-api-atra bADaH /
   na ca gaṅgāśabdārthasya taṭasya pāvanatvādyairlakṣaṇīyaiḥ saṃbandhaḥ /	na ca gaFgA-Sabda-arTasya tawasya pAvana-tva-AdyEH-lakzaNIyEH saMbanDaH /
   nāpi prayojane lakṣye kiṃcit prayojanam /	na-api prayojane lakzye kiMcid prayojanam /
   nāpi gaṅgāśabdastaṭamiva prayojanaṃ pratipādayitumasamarthaḥ //	na-api gaFgA-SabdaH-tawam-iva prayojanam pratipAdayitum-asamarTaH //
   (sū- 27)	(sU 27)
   evamapyanavasthā syād yā mūlakṣayakāriṇī /	evam-api-anavasTA syAt yA mUla-kzaya-kAriNI /
   evamapi prayojanaṃ cellakṣyate tat prayojanāntareṇeti tadapi	evam-api prayojanam ced-lakzyate tat prayojana-antareNa-iti tat-api
   prayojanāntareṇeti prakṛtāpratītikṛt anavasthā bhavet //	prayojana-antareNa-iti prakRta-apratIti-kRt anavasTA Bavet //
   nanu pāvanatvādidharmayuktameva taṭaṃ lakṣyate /	nanu pAvana-tva-Adi-Darma-yuktam-eva tawam lakzyate /
   "gaṅgāyāstaṭe ghoṣaḥ'; ityato 'dhikasyārthasya pratītiśva pyojanamiti	"gaFgAyAH-tawe GozaH-a; iti-atas aDikasya-arTasya pratItiSva pyojanam-iti
   viśiṣṭe lakṣaṇā ttkiṃ vyañjanayetyāha /	viSizwe lakzaNA ttkim vyaQjanayA-iti-Aha /
   (sū- 28)	(sU 28)
   prayojanena sahitaṃ lakṣaṇīyaṃ na yujyate // 17 //	prayojanena sahitam lakzaNIyam na yujyate // 17 //
   kuta ityāha (sū- 29)	kutas iti-Aha (sU 29)
   jñānasya viṣayo hnanyaḥ phalamanyadudāhṛtam /	jQAnasya vizayaH hnanyaH Palam-anyat-udAhRtam /
   pratyakṣādernīlādirviṣayaḥ phalaṃ tu prakaṭatā saṃvittivā //	pratyakza-AdeH-nIla-AdiH-vizayaH Palam tu prakawa-tA saMvittivA //
   (sū- 30)	(sU 30)
   viśiṣṭe lakṣaṇā naivaṃ	viSizwe lakzaNAH na-evam
   vyākhyotam //	vyAKyotam //
   (sū- 31)	(sU 31)
   viśeṣāḥ syustu lakṣite // 18 //	viSezAH syuH-tu lakzite // 18 //
   taṭādau ye viṣeṣāḥ pāvanatvādayaste cābhidhātātparyalakṣaṇābhyo	tawa-AdO ye vizezAH pAvana-tva-AdayaH-te ca-aBiDAtAt-parya-lakzaNa-aByaH-
   vyāpārāntareṇa gamyāḥ /	vyApAra-antareNa gamyAH /
   tacca vyañjanadhvananadyotanādiśabdavācyamavaśyameṣitavyam //	tat-ca vyaQjana-Dvananadyotana-Adi-Sabda-vAcyam-avaSyam-ezitavyam //
   evaṃ lakṣaṇāmūlaṃ vyañjakatvamuktam //	evam lakzaNA-mUlam vyaQjaka-tvam-uktam //
   abhidhāmūlaṃ tvāha /	aBiDA-mUlam tu-Aha /
   (sū- 32)	(sU 32)
   anekārthasya śabdasya vācakatve niyantrite /	aneka-arTasya Sabdasya vAcaka-tve niyantrite /
   saṃyogādyairavācyārthadhīkṛdvyāpṛtirañjanam // 19 //	saMyoga-AdyEH-avAcya-arTa-DI-kRt-vyApRti-raQjanam // 19 //
   "saṃyogo viprayogaśva sāhacaryaṃ virodhitā /	"saMyogaH viprayoga-Sva sAhacaryam viroDitA /
   arthaḥ prakaraṇaṃ liṅgaṃ śabdasyānyasya saṃnidhiḥ //	arTaH prakaraNam liFgam Sabdasya-anyasya saMniDiH //
   sāmarthyamaucitī deśaḥ kālo vyaktiḥ svarādayaḥ /	sAmarTyam-OcitI deSaH kAlaH vyaktiH svara-AdayaH /
   śabdārthasyānavacchede viśeṣasmṛtihetavaḥ" //	Sabda-arTasya-anavacCede viSeza-smRti-hetavaH" //
   ityuktadiśā saśaṅkhacakro hariḥ aśaṅkhacakro harirityacyute /	iti-ukta-diSA sa-SaFKa-cakraH hariH aSaFKa-cakraH hariH-iti-acyute /
   rāmalakṣmaṇāviti dāśarathau /	rAma-lakzmaNO=-iti dASaraTO /
   rāmārjunagatistayoriti bhārgavakārtavīryayoḥ /	rAma-arjuna-gatiH-tayoH-iti BArgava-kArtavIryayoH /
   sthāṇuṃ bhaja bhavacchide, iti hara /	sTANum Baja Bavat-Cide, iti hara /
   sarvaṃ jānāti deva iti yuṣmadarthe /	sarvam jAnAti devaH iti yuzmad-arTe /
   kupito makaradhvaja iti kāme /	kupitaH makaraDvajaH iti kAme /
   devasya purārāderiti saṃbhau /	devasya purAH-AdeH-iti saMBO /
   madhunā mattaḥ kokila iti vasante /	maDunA mattaH kokile iti vasante /
   pātu vo dayitāmukhamiti sāṃmukhye /	pAtu vaH dayitA-muKam-iti sAMmuKye /
   bhātyatra parameśvara iti rājadhānīrūpāt deśādrājani /	BAti-atra parameSvaraH iti rAjaDAnI-rUpAt deSAt-rAjani /
   citrabānurvibhātīti dine ravau rātrau vahnau /	citrabAnuH-viBAti-iti dine ravO rAtrO vahnO /
   mitraṃ bhātīti suhṛdi, mitro bhātīti ravau /	mitram BAti-iti suhRdi, mitraH BAti-iti ravO /
   indraśatrurityādau vete eva, na kāvye, svero viśeṣapratītikṛt /	indra-SatruH-iti-AdO vete eva, na kAvye, sveraH viSeza-pratIti-kRt /
   ādigrahaṇāt eddahamettatthaṇiā eddahamettehi acchivattehiṃ /	Adi-grahaNAt eddahamet-tatTaNiA eddaham-et-tehi acCivat-tehim /
   eddahamettāvatthā eddahamettehi diaehiṃ //11//	eddaham-et-tAvatTAH eddaham-et-tehi diaehim //11//
   ityādāvabhinayādayaḥ /	iti-AdO=-aBinaya-AdayaH /
   itthaṃ saṃyogādibhirardhāntarābhidhāyakatve nivārite 'pyanekārthasya	itTam saMyoga-AdiBiH-arDa-antara-aBiDAyaka-tve nivArite api-aneka-arTasya
   śabdasya yat kvacidarthāntarapratipādanaṃ tatra nābhidhā niyamanāttasyāḥ /	Sabdasya yat kvacid-arTa-antara-pratipAdanam tatra na-aBiDA niyamanAt-tasyAH /
   na ca lakṣaṇā mukhyārthabādhādyabhāvāt /	na ca lakzaNAH muKya-arTa-bADa-Adi-aBAvAt /
   api tvañjanaṃ vyañjanameva vyāpāraḥ /	api tu-aQjanam vyaQjanam-eva vyApAraH /
   yathā bhadrātmano duradhirohatanorviśālavaṃśonnateḥ	yaTA Badra-AtmanaH duraDi-roha-tanoH-viSAla-vaMSa-unnateH
   kṛtaśilīmukhasaṃgrahasya /	kRta-SilImuKa-saMgrahasya /
   yasyānupaplutagateḥ paravāraṇasya dānāmbusekasubhagaḥ satataṃ karo 'bhūt	yasya-anupapluta-gateH para-vAraNasya dAna-ambu-seka-suBagaH satatam karaH aBUt-
   (sū- 33)	(sU 33)
   tadyukto vyañjakaḥ śabdaḥ	tad-yuktaH vyaQjakaH SabdaH
   tadyukto vyañjanaryuktaḥ (sū- 34)	tad-yuktaH vyaQjanaryuktaH (sU 34)
   yatso 'rthāntarayuk tathā /	yat-saH arTa-antara-yuj taTA /
   artho 'pi vyañjakastatra sahakāritayā mataḥ // 20 //	arTaH api vyaQjakaH-tatra sahakAritayA mataH // 20 //
   tatheti vyañjakaḥ //	taTA-iti vyaQjakaH //
   iti kāvyaprakāśe śabdārthasvarūpanirṇayo nāma dvitīya ullāsaḥ // 2 //	iti kAvya-prakASe SabdArTa-svarUpanirNayaH nAma dvitIyaH ullAsaH // 2 //
   // atha tṛtīya ullāsaḥ //	// aTa tRtIyaH ullAsaH //
   (sū- 35)	(sU 35)
   arthāḥ proktāḥ purā teṣām	arTAH proktAH purA tezAm
   arthāḥ, vācyalakṣyavyaṅgyāḥ /	arTAH, vAcya-lakzya-vyaFgyAH /
   teṣāṃ vājakalākṣaṇikavyañjakānām //	tezAm vAja-kalAkzaNika-vyaQjakAnAm //
   (sū- 36)	(sU 36)
   arthavyañjakatocyate /	arTa-vyaQjakatA-ucyate /
   kīdṛśītyāha (sū- 37)	kIdRSI-iti-Aha (sU 37)
   vaktṛboddhavyakākūnāṃ vākyavācyānyasaṃnidheḥ // 21 //	vaktR-bA-udDavyakAkUnAm vAkya-vAcyAni-asaMniDeH // 21 //
   prastāvadeśakālādervaiśiṣṭyāt pratibhājuṣām /	prastAva-deSa-kAla-AdeH-vESizwyAt pratiBAjuzAm /
   yo 'rtasyānyārthadhīheturvyāpāro vyaktitareva sā // 22 //	yaH artasya-anya-arTa-DI-hetuH-vyApAraH vyakti-tarA-iva sA // 22 //
   boddhavyaḥ pratipādyaḥ /	bodDavyaH pratipAdyaH /
   kākurdhvanervikāraḥ /	kAkurDvaneH-vikAraH /
   prastāvaḥ prakaraṇam /	prastAvaH prakaraNam /
   arthasya vācyalakṣyavyaṅgyātmanaḥ /	arTasya vAcya-lakzya-vyaFgyAtmanaH /
   krameṇodāharaṇāni /	krameNa-udAharaNAni /
   aipihulaṃ jalakuṃbhaṃ ghettūṇa samāgadahni sahi turiam /	Epihulam jalakuMBam GettUNa samAgadahni sa-hi turiam /
   samaseasalilaṇīsāsaṇīsahā vīsamāmi khaṇam //13//	samasea-sali-laNI-sa-AsaNI-sahA vIsamAmi KaNam //13//
   atra cauryaratagopanaṃ gabyate /	atra cOrya-rata-gopanam gabyate /
   oṇṇiddaṃ dobballaṃ ciṃtā alasattaṇaṃ saṇīsasiam /	oNNiddam dobballam ciMtA alasattaNam saNI-sasiam /
   maha maṃdabhāiṇīe keraṃ sahi tuha vi ahaha parihavai //14//	maha maMda-BAiNIe keram sa-hi tuha vi ahaha parihavE //14//
   atra dūtyāstatkāmukopabhogo vyajyate /	atra dUtyAH-tad-kAmuka-upaBogaH vyajyate /
   tathābhūtāṃ dṛṣṭvā nṛpasadasi pāñjālatanayāṃ vane vyādhaiḥ sārdhaṃ	taTABUtAm dRzwvA nRpa-sadasi pAQjAla-tanayAm vane vyADEH sArDam
   suciramuṣitaṃ valkaladharaiḥ /	su-ciram-uzitam valkala-DarEH /
   virāṭasyāvāse sthitamanucitārambhanibhṛtaṃ guruḥ khedaṃ khinne mayi	virAwasya-AvAse sTitam-anucita-AramBa-niBRtam guruH Kedam Kinne mayi
   bhajati nādyāpi kuruṣu //15//	Bajati na-adya-api kuruzu //15//
   atra mayi na yogyaḥ khedaḥ kuruṣu tu yogya iti kākvā prakāśyate /	atra mayi na yogyaH KedaH kuruzu tu yogyaH iti kA-akvA prakASyate /
   na ca vācyasiddhayaṅgamatra kākuriti guṇībhūtavyaṅgyatvaṃ śaṅkyam /	na ca vAcya-sidDayaFgam-atra kAkuH-iti guNIBUta-vyaFgya-tvam SaFkyam /
   praśrnamātreṇāpi kākorviśrānteḥ /	praSrna-mAtreNa-api kAkoH-viSrAnteH /
   taiā maha gaṃḍatthalaṇimiaṃ diṭhṭhiṃ ṇa ṇesi aṇṇatto /	tEAH maha gaMxatTa-laNimiam diWWim Na Nesi aNNattaH /
   eṇhiṃ saccea ahaṃ te a kavālā ṇa sā diṭhṭhī //16//	eNhim sat-cea aham te a kavAlA Na sA diWWI //16//
   atra matsakhīṃ kapolapratibimbitāṃ paśyataste dṛṣṭiranyaivābhūt calitāyāṃ	atra mad-saKIm kapola-pratibimbitAm paSyataH-te dRzwiH-anyA-eva-aBUt calitAyAm
   tu tasyāmanyaiva jātetyaho pracchannakāmukatvaṃ te, iti vyajyate /	tu tasyAm-anyA-eva jAtA-iti-aho pracCanna-kAmuka-tvam te, iti vyajyate /
   uddeśo 'yaṃ sarasakadalīśreṇiśobhātiśāyī kuñjotkarṣāṅkuritaramaṇīvibhramo	uddeSaH ayam sarasa-kadalI-SreNi-SoBA-atiSAyI kuQja-utkarza-aFkurita-ramaNI-viBramaH-
   narmadāyāḥ /	narmadAyAH /
   kiṃ caitasmin suratasudṛdastanvi de vānti vātā yeṣāmagre sarati	kim ca-etasmin surata-su-dRdaH-tanvi de vAnti vAtAH yezAm-agre sarati
   kalitākāṇjakopo manobhūḥ //17//	kalitA-kANja-kopaH manoBUH //17//
   atra ratārthaṃ praviśeti vyaṅgyam /	atra rata-arTam praviSa-iti vyaFgyam /
   ṇollei aṇollamaṇā attā maṃ gharabharammi /	Na-ullei aNa-ulla-maNAH attAH mam GaraBarammi /
   khaṇamettaṃ jai saṃjhāi hoi ṇa va hoi vīsāmo //18//	KaNamet-tam jE saMJAi hoi Na va hoi vIsAmaH //18//
   atra saṃdhyā saṃketakāra iti taṭasthaṃ prati kayāciddayotyate /	atra saMDyA saMketa-kAraH iti tawa-sTam prati kayAcid-dayA-utyate /
   suvvaha samāgamissadi tujjha pio ajja paharametteṇa /	su-vvaha samAgamissadi tujJa pio ajja paharamet-teNa /
   eme a kitti ciṭhṭhasi tā sahi sajjesu karaṇijjam //19//	eme a kitti ciWWasi tA sa-hi sajjesu karaNijjam //19//
   atropapatiṃ pratyabhisartuṃ prastutā na yuktamiti kayācinnivāryate /	atra-upapatim pratyaBisartum prastutA na yuktam-iti kayAcid-nivAryate /
   anyatra yūyaṃ kusumāvacāyaṃ kurudhvamatrāsmi karomi sakhyaḥ /	anyatra yUyam kusuma-avacAyam kuruDvam-atra-asmi karomi saKyaH /
   nāhaṃ hi dūraṃ bhramituṃ samarthā prasīdatāyaṃ racito 'ñjalirvaḥ //20//	na-aham hi dUram Bramitum samarTA prasIdatA-ayam racitaH aQjaliH-vaH //20//
   atra vivikto 'yaṃ deśa iti pracchannakāmukastvayābhisāryatāmiti, āśvastāṃ	atra viviktaH ayam deSaH iti pracCanna-kAmukaH-tvayA-aBisAryatAm-iti, ASvastAm
   prati kayācinnivedyate /	prati kayAcid-nivedyate /
   guruaṇaparavasa pia kiṃ bhaṇāmi tui maṃdabhāiṇī ahakam /	guruaNa-paravasa pia kim BaNAmi tui maMdaBAiNI ahakam /
   ajja pavāsaṃ vaccasi vacca saaṃ jevva suṇasi karaṇijjam //21//	ajja pavAsam vaccasi vat-ca saam jevva suNasi karaNijjam //21//
   atrādya madhusamaye yadi vrajasi tadāhaṃ tāvat na bavāmi tava tu na jānāmi	atra-adya maDu-samaye yadi vrajasi tadA-aham tAvat na bavAmi tava tu na jAnAmi
   gatimiti vyajyate /	gatim-iti vyajyate /
   ādigrahaṇācceṣṭādeḥ /	Adi-grahaNAt-cezwA-AdeH /
   tatra ceṣṭāyā yathā dvāropāntanirantare mayi tayā saundaryasāraśriyā	tatra cezwAyAH yaTA dvAra-upAnta-nirantare mayi tayA sOndarya-sAra-SriyA
   prollāsyoruyugaṃ parasparasamāsaktaṃ samāsāditam /	prollAsya-Uru-yugam paraspara-samAsaktam samAsAditam /
   ānītaṃ purataḥ śiroṃ'śukamadhaḥ kṣipte cale locane vācastatra nivāritaṃ	AnItam puratas SiroM-aSukam-aDas kzipte cale locane vAcaH-tatra nivAritam
   prasaraṇaṃ saṃkocite dorlate //22//	prasaraNam saMkocite dorlate //22//
   atra ceṣṭayā pracchannakāntaviṣya ākūtaviśeṣo dhvanyate /	atra cezwayA pracCanna-kAnta-vizyaH AkUta-viSezaH Dvanyate /
   nirākāhkṣapratipattaye prāptāvasaratayā ca punaḥ punarudāhriyate /	nirAkAhkza-pratipattaye prApta-avasara-tayA ca punar punar-udAhriyate /
   vattkādīnāṃ mithaḥsaṃyoge dvikādibhedena /	vattka-AdInAm miTas-saMyoge dvika-Adi-Bedena /
   anena krameṇa lakṣyavyaṅgyapośva vyañjakatvamudāhāryam //	anena krameNa lakzya-vyaFgi-apoSva vyaQjaka-tvam-udAhAryam //
   (sū- 38)	(sU 38)
   śabdapramāṇavedyo 'rtho vyanaktyarthāntaraṃ yataḥ /	Sabda-pramANa-vedyaH arTaH vyanakti-arTa-antaram yatas /
   arthasya vyañjakatve tat śabdasya sahakāritā // 23 //	arTasya vyaQjaka-tve tat Sabdasya saha-kAritAH // 23 //
   śabdeti /	Sabda-iti /
   nahi pramāṇāntaravedyo 'rtho vyañjakaḥ //	na-hi pramANa-antara-vedyaH arTaH vyaQjakaH //
   iti śrīkāvyaprakāśe 'rthavyañjakatānirṇayo nāma tṛtīya ullāsaḥ // 3 //	iti SrI-kAvya-prakASe arTavyaQjakatAnirNayaH nAma tRtIyaH ullAsaH // 3 //
   // atha caturtha ullāsaḥ //	// aTa caturTaH ullAsaH //
   yadyapi śabdārthayornirṇaye kṛte doṣaguṇālaṃkārāṇāṃ svarūpamabhidhānīyam	yadi-api Sabda-arTayoH-nirNaye kRte doza-guNa-alaMkArANAm svarUpam-aBiDAnIyam
   tathāpi dharmiṇi pradarśite dharmāṇāṃ hermāṇāṃ heyopādeyatā jñāyata iti	taTA-api DarmiNi pradarSite DarmANAm hermANAm heya-upAdeya-tA jQAyate iti
   prathamaṃ kāvyabhedān āha /	praTamam kAvya-BedAn Aha /
   (sū- 39)	(sU 39)
   avivakṣitavācyo yastatra vācyaṃ bhaveddhvanau /	avivakzita-vAcyaH yaH-tatra vAcyam Bavet-DvanO /
   arthāntare saṃkramitamatyantaṃ vā tiraskṛtam // 24 //	arTa-antare saMkramitam-atyantam vA tiraskRtam // 24 //
   lakṣaṇāmūlagūḍhavyaṅgyaprādhānye satyeva, avivakṣitaṃ vācyaṃ yatra sa	lakzaNA-mUla-gUXa-vyaFgya-prADAnye sati-eva, avivakzitam vAcyam yatra sa
   "dhvanau'; ityanuvādāt dhvaniriti jñeyaḥ /	"DvanO-a; iti-anuvAdAt DvaniH-iti jQeyaH /
   tatra ca vācyaṃ kvacidanupayujyamānatvādarthāntare pariṇamitam /	tatra ca vAcyam kvacid-anupayujyamAna-tvAt-arTa-antare pariNamitam /
   yathā tvāmasmi vacmi viduṣāṃ samavāyo 'tra tiṣṭhati /	yaTA tvAm-asmi vacmi viduzAm samavAyaH atra tizWati /
   ātmīyāṃ matimāsthāya sthitimatra vidhehi tat //23//	AtmIyAm matim-AsTAya sTitim-atra viDehi tat //23//
   atra vacanādi, upadeśādirūpatayā pariṇamati /	atra vacana-Adi, upadeSa-Adi-rUpa-tayA pariNamati /
   kvacidanupapadyamānatayā, atyantaṃ tiraskṛtam /	kvacid-anupapadyamAna-tayA, atyantam tiraskRtam /
   yathā upakṛtaṃ bahu tatra kimucyate sujanatā prathitā bhavatā param /	yaTA upakRtam bahu tatra kim-ucyate su-janatA praTitA BavatA param /
   vidadhadīdṛśameva sadā sakhe sukhitamāssva tataḥ śaradāṃ śatam //24//	vidaDat-IdRSam-eva sadA saKe suKitam-Assva tatas SaradAm Satam //24//
   etad apakāriṇaṃ prati viparītalakṣaṇayā kaśvidvakti //	etat apakAriNam prati viparIta-lakzaNayA kaSvit-vakti //
   (sū- 40)	(sU 40)
   vivakṣitaṃ cānyaparaṃ vacyaṃ yatrāparastu saḥ /	vivakzitam ca-anya-param vacyam yatra-aparaH-tu saH /
   anyaparaṃ vyaṅgyaniṣṭham //	anya-param vyaFgya-nizWam //
   eṣa ca (sū- 41)	eza ca (sU 41)
   ko 'pyalayakramavyaṅga co lakṣyavyaṅgyakramaḥ paraḥ // 25 //	kaH api-alaya-krama-vyaFga caH lakzya-vyaFgya-kramaH paraH // 25 //
   alakṣyeti /	alakzya-iti /
   na khalu vibhāvānubhāvavyabhicāriṇa eba rasaḥ /	na Kalu viBAva-anuBAva-vyaBicAriNaH eba rasaH /
   api tu rasastaiḥ, ityastikramaḥ /	api tu rasaH-tEH, iti-astikramaH /
   sa tu lāghavānna lakṣyate //	sa tu lAGavAt-na lakzyate //
   atra (sū- 42)	atra (sU 42)
   rasabhāvatadābhāsabhāvaśāntyādirakramaḥ /	rasa-BAva-tad-ABAsa-BAva-SAnti-AdiH-akramaH /
   bhinno rasādyalaṃkārādalaṃkāryatayā sthitaḥ // 26 //	BinnaH rasa-Adi-alaMkArAt-alaMkArya-tayA sTitaH // 26 //
   ādighaṇādbhāvodayabhāvasaṃdhibhāvaśabalatvāni /	Adi-GaNAt-BAva-udaya-BAva-saMDi-BAva-Sabala-tvAni /
   pradhānatayā yatra sthito rasādistatrālaṃkāryaḥ, yathodāhariṣyate /	praDAna-tayA yatra sTitaH rasa-AdiH-tatra-alaMkAryaH, yaTA-udAharizyate /
   anyatra tu pradhāne vākyārthe yatrāṅgabhūto rasādistatra guṇībhūtavyaṅgaye	anyatra tu praDAne vAkya-arTe yatra-aFga-BUtaH rasa-AdiH-tatra guNIBUta-vyaFgaye
   rasavatpreyaūrjasvisamāhitādayo 'laṃkārāḥ /	rasavat-preya-Urjasvi-samAhita-AdayaH alaMkArAH /
   te ca guṇībhūtavyaṅgyābhidhāne, udāhariṣyante //	te ca guNIBUta-vyaFgyA-aBiDAne, udAharizyante //
   tatra rasasvarūpamāha (sū- 43)	tatra rasa-svarUpam-Aha (sU 43)
   kāraṇānyatha kāryāṇi sahakārīṇi yāni ca /	kAraNAni-aTa kAryANi saha-kArINi yAni ca /
   ratyādeḥ sthāyino loke tāni cennāṭhyakāvyayoḥ // 27 //	rati-AdeH sTAyinaH loke tAni ced-nAWya-kAvyayoH // 27 //
   vibhāvā anubhāvāstat kathyante vyabhicāriṇaḥ /	viBAvAH anuBAvAH-tat kaTyante vyaBicAriNaH /
   vyaktaḥ sa tairvibhāvādyaiḥ sthāyī bhāvo rasaḥ smṛtaḥ // 28 //	vyaktaH sa tEH-viBAva-AdyEH sTAyI BAvaH rasaH smRtaH // 28 //
