   īśvarasiddhiḥ /	ISvara-sidDiH /
   kāryasāmānye kartuḥ kāraṇatve mānābhāvāt, kartāṃ vināpi kāraṇāntarata eva	kArya-sAmAnye kartuH kAraNa-tve mAna-aBAvAt, kartAm vinA-api kAraNa-antarataH eva
   kṣityāderutpattisambhavādityatrāha 'na cedṛśa' iti / sāvayavatvaṃ	kziti-AdeH-utpatti-samBavAt-iti-atra-Aha ana ca-IdRSa-a iti / sAvayava-tvam
   hyavayavasanniveśaviśeṣarūpākṛtimattvam / tacca puruśakṛtisādhyameva	hi-avayava-sanniveSa-viSeza-rUpa-AkRtimat-tvam / tat-ca puru-SakRti-sADyam-eva
   dṛṣṭamiti vicitrākārasya mahyaderapi sakartṛkatvameṣṭavyameva /	dRzwam-iti vicitra-AkArasya mahyadeH-api sa-kartRka-tvam-ezwavyam-eva /
   kāryaviśeṣatvameva sakartṛkatvavyāpyamastu / sa ca viśeṣo na	kArya-viSeza-tvam-eva sa-kartRkatva-vyApyam-astu / sa ca viSezaH na
   kṣoṇyādivyāvṛtta iti tasyāpi sakartṛkatvasiddhirapratihatā / kiñca	kzoNya-Adi-vyAvRttaH iti tasya-api sa-kartRka-tva-sidDiH-apratihatA / kiQca
   'yadviśeṣayo'rityādinyāyena kāryaviśeṣo kulālādeḥ kāraṇatvāt	ayat-viSezayaH-ariti-Adi-nyAyena kArya-viSezaH kulAla-AdeH kAraNa-tvAt-
   kāryatvāvacchinne 'pi	kAryatva-avacCinne api
   kartṛtvāvacchinnasya kāraṇatvamastyeveti kāryatvameva sakartṛkatvavyāpyaṃ	kartR-tva-avacCinnasya kAraNa-tvam-asti-eva-iti kAryatvam-eva sa-kartRkatva-vyApyam
   kṣityādau kartāraṃsamarthayatīti bhāvaḥ / yadvā kṣityādi na kāryaṃ	kziti-AdO kartA-AraMsam-arTayati-iti BAvaH / yat-vA kziti-Adi na kAryam
   prasiddhakāryavilakṣaṇatvādityatrāprayojakatvamāha 'na cedṛśa' iti/	prasidDa-kArya-vilakzaNa-tvAt-iti-atra-aprayojaka-tvam-Aha ana ca-IdRSa-a iti/
   kāryaḥ-kṛtijanyaḥ, utpattimān vā / kṛtijanyatve vā prayojakaṃ	kAryaH-kRti-janyaH, utpattimAn vA / kRti-janya-tve vA prayojakam
   kṣoṇyādyākāravyāvṛttaṅghaṭādyākāramātravṛttidharmaviśeṣaṃ na paśyāma	kzoNya-Adi-AkAra-vyAvRttaFGawa-Adi-AkAra-mAtra-vRtti-Darma-viSezam na paSyAma
   ityarthaḥ / sati hi tasmin viśeṣe	iti-arTaH / sati hi tasmin viSeze
   prasiddhakāryavailakṣaṇyasyākartṛkartṛkatvavyāptiḥ prasidhyet / anyathā	prasidDa-kArya-vElakzaNyasya-akartR-kartRka-tva-vyAptiH prasiDyet / anyaTA
   tvaprayojakatvameva adṛṣṭakartṛko rājaprāsādo na kāryo	tu-aprayojaka-tvam-eva adRzwa-kartRkaH rAja-prAsAdaH na kAryaH-
   daṣṭakartṛkaghaṭādikāryavilakṣaṇatvādityādivaditi bhāvaḥ / nanu	dazwa-kartRka-Gawa-Adi-kArya-vilakzaNa-tvAt-ityAdi-vat-iti BAvaH / nanu
   śakyakriyatvādireva tādṛśoviśeṣaḥ kṣityādyākṛtivyāvṛtta iti cettatrāha	Sakya-kriya-tva-AdiH-eva tAdRSaH-viSezaH kziti-Adi-AkRti-vyAvRttaH iti ced-tatra-Aha
   'yattu'iti / 'tadastunāme' ti / kṣityādau tādṛśaviśeṣābhāvo 'siddha iti	ayat-tu-aiti / atadastu-nAme-a ti / kziti-AdO tAdRSa-viSeza-aBAvaH asidDaH iti
   hārdam / te-kriyājñāne / 'yathokte'ti	hArdam / te--kriyA-jQAne / ayaTA-ukte-ati
   kāryatvahetukasakartṛkatvānumānalakṣaṇeti yāvat / ayaṃ bhāvaḥ -	kAryatva-hetukasa-kartRka-tva-anumAna-lakzaNa-iti yAvat / ayam BAvaH -
   upādānādigocarāparokṣajñānacikīrṣākṛtimajjanyatvaṃ hi sādhyeta mahyādau /	upAdAna-Adi-gocara-aparokza-jQAna-cikIrzA-AkRti-mat-janya-tvam hi sADyeta mahyAdO /
   tatra ca tadvidheyakakṛtiḥ, tadupādānādyaparokṣajñānaṃ ca ghaṭakamastyeva	tatra ca tad-viDeyaka-kRtiH, tad-upAdAna-Adi-aparokza-jQAnam ca Gawakam-asti-eva
   / jñānakriyayorevaṃ prāmāṇikatvaṃ tadanuguṇasāmarthyamapi kalpanīyameva	/ jQAna-kriyayoH-evam prAmANika-tvam tad-anuguNa-sAmarTyam-api kalpanIyam-eva
   jagatkarturityaśakyakriyatvāderasiddhiriti bhāvaḥ /	jagat-kartuH-iti-aSakya-kriya-tvAdeH-asidDiH-iti BAvaH /
   kriyāgocara-kṛtividheyaḥ / 'siddha' iti / prāmāṇike ca kāryatve sati	kriyA-gocara--kRti-viDeyaH / asidDa-a iti / prAmANike ca kAryatve sati
   kāryatvasya viśiṣṭakartṛpūkatvavyāptibalāt kṣityādau	kAryatvasya viSizwa-kartR-pUka-tva-vyApti-balAt kziti-AdO
   kartṛviśeṣasiddhirapratyūhaiveti bhāvaḥ / 'tadadhiṣṭhānatapreraṇe' ti	kartR-viSeza-sidDiH-apratyUha-eva-iti BAvaH / atat-aDizWAnata-preraNe-a ti
   karmadhārayaḥ / yadvā parapravṛttyanuguṇavyāpāraḥ / preramam /	karmaDArayaH / yat-vA para-pravRtti-anuguNa-vyApAraH / preramam /
   tādṛśavyāpāravataḥ preryeṇa sannikarṣo 'dhiṣṭhānamiti bhidā / evaṃ	tAdRSa-vyApAravataH preryeNa sannikarzaH aDizWAnam-iti BidA / evam
   kāryatvaṃ kṣityādestataḥ sakartṛkatvaṃ ca sādhitam /	kAryatvam kziti-AdeH-tatas sa-kartRka-tvam ca sADitam /
   atha sakartṛkatvānumānasya jīvaiḥ siddhasādhanatāṃ parihartuṃ	aTa sa-kartRkatva-anumAnasya jIvEH sidDa-sADana-tAm parihartum
   kartṛtvesvarūpānupraviṣṭamadhiṣṭānādi vivṛṇoti 'adhiṣṭhāna' mityādinā /	kartR-tva-IsvarUpa-anupravizwam-aDizwAnAdi vivRNoti aaDizWAna-a mityAdinA /
   yathā jīvasya śarīrāvayavādyadhiṣṭānaṃ tatpravṛttyanukūlasaṅkalpena, evaṃ	yaTA jIvasya SarIra-avayava-Adi-aDizwAnam tad-pravRtti-anukUla-saFkalpena, evam
   paramāṇyadṛṣṭādyadhiṣṭhānaṃ jagatkartṛrīśvarasya	paramANi-adRzwa-Adi-aDizWAnam jagatkartRH-ISvarasya
   tatpravṛttyunukūlasaṅkalpeneti mantavyamityarthaḥ / 'sa ce'ti /	tad-pravRtti-unukUla-saFkalpena-iti mantavyam-iti-arTaH / asa ce-ati /
   īśvarasannikarṣaḥ paramāṇvādau saṃyogarūpaḥ adṛṣṭe ca saṃyuktasamavāyarūpo	ISvara-sannikarzaH paramANu-AdO saMyoga-rUpaH adRzwe ca saMyukta-samavAya-rUpaH-
   vibhuddhayasaṃyogasyopagame / tadanupagame saṃyuktasaṃyogisamavāyalakṣaṇo	viBudhaya-saMyogasya-upagame / tad-anupagame saMyukta-saMyogi-samavAya-lakzaNaH-
   bodhyaḥ /idaṃ ca tārkikaprakriyayā / 'pravṛtti' riti /	boDyaH /idam ca tArkika-prakriyayA / apravRtti-a riti /
   ārambhakasaṃyogānukūlakriyārūpā ca paramāṇūnāṃ pravṛttirityarthaḥ /	AramBaka-saMyoga-anukUla-kriyA-rUpA ca paramANUnAm pravRttiH-iti-arTaH /
   adṛṣṭasya pravṛttiṃ nirvakti 'dharmādharmayo' riti/ idaṃ puṇyaṃ pāpaṃ	adRzwasya pravRttim nirvakti aDarma-aDarmayaH-a riti/ idam puNyam pApam
   vāsmin deśe kāle ca phalaṃ janayatvitīśvarasaṅkalpamūlādṛṣṭasya pravṛttiḥ	vA-asmin deSe kAle ca Palam janayatu-iti-ISvara-saFkalpa-mUla-adRzwasya pravRttiH
   phalodayānukūlatādṛśadeśakālādisahakārisamāsādanalakṣaṇā bhavatītyarthaḥ /	Pala-udaya-anukUla-tAdRSa-deSa-kAla-Adi-sahakAri-samAsAdana-lakzaNA Bavati-iti-arTaH /
   'tābhyā' miti/ evakāro bhinnakramaḥ / tābhyāṃ-cetanādhiṣṭhitābhyāmeva	atAByAa miti/ eva-kAraH BinnakramaH / tAByAn=-cetana-aDizWitAByAm-eva
   dharmādharmābhyāṃ palamityānvayaḥ / nanu kartāramantaraiva kāraṇāntarataḥ	Darma-aDarmAByAm palam-itya-anvayaH / nanu kartAram-antarA-eva kAraNa-antarataH
   kṣityādi bhavediti śaṅkāmantarnidhāya tatparihāramāha 'cetana'ti /	kziti-Adi Bavet-iti SaFkAm-antar-niDAya tat-parihAram-Aha acetana-ati /
   akiñcitkaratvamevopapādayati 'nahī' ti / tathā cādhiṣṭhātuḥ	akiQcitkara-tvam-eva-upapAdayati anahI-a ti / taTA ca-aDizWAtuH
   kārakacakraprayoktaḥ kartṛścetanasyāpekṣā kāryasāmānye 'syeveti kṣityādau	kAraka-cakra-prayoktaH kartRH-cetanasya-apekzA kArya-sAmAnye asi-a-iva-iti kziti-AdO
   sakartṛkatvaṃ nāpahnavārham / acetanasya kāraṇagrāmasya	sa-kartRka-tvam na-apahnava-arham / acetanasya kAraNa-grAmasya
   catanādhiṣṭhānamantarā pravṛttyanupapatteriti bhāvaḥ /	catana-aDizWAnam-antarA pravRtti-anupapatteH-iti BAvaH /
   upādānadigocarāparokṣajñānamantarā ca tadadhiṣṭhānalakṣaṇasya	upAdAna-digocara-aparokza-jQAnam-antarA ca tad-aDizWAna-lakzaNasya
   kartṛtvasyāsambhavāt kṣityādikartṛḥ paramāṇvādisākṣātkāro 'pyāvaśyakaḥ /	kartR-tvasya-asamBavAt kziti-Adi-kartRH paramANu-Adi-sAkzAtkAraH api-AvaSyakaH /
   cikīrṣāpūrvakārakacakrapravṛttihetukṛtinirūpyaṃ ca preraṇamiti	cikIrzA-pUrva-kAraka-cakra-pravRtti-hetu-kRti-nirUpyam ca preraNam-iti
   kārakacakraprayoktṛtvarūpādhiṣṭhātṛtvalakṣaṇasyopādānādigocarāparokṣajñānacikīrṣākṛtimattvalakṣaṇasya	kAraka-cakra-prayoktR-tva-rUpa-aDizWAtR-tva-lakzaNasya-upAdAna-Adi-gocara-aparokza-jQAna-cikIrzA-AkRtimat-tva-lakzaNasya
   ca kartṛtvasya nātyantabhedaḥ / tataśca	ca kartR-tvasya na-atyanta-BedaH / tatas-ca
   pūrvatropādānādigocarāparokṣajñānacikīrṣākṛtimattvaṃ kartṛtvamuktam /	pUrvatra-upAdAna-Adi-gocara-aparokza-jQAna-cikIrzA-AkRtimat-tvam kartR-tvam-uktam /
   atrādhiṣṭhātṛtvarūpaṃ tat samarthyata iti parakṛtāsāṅgatyamiti śaṅkāyā	atra-aDizWAtR-tva-rUpam tat samarTyate iti para-kRta-asa-aFgatyam-iti SaFkAyAH-
   nāvasara ityavadheyama / evaṃbhūtasya kṣityādikartṛtvasya sadā	na-avasaraH iti-avaDeyamaH / evaMBUtasya kziti-Adi-kartR-tvasya sadA
   sarvadarśinaṃ sarvasamarthaṃ ceśvaraṃ vinānyatra jīveṣvasambhavānna taiḥ	sarva-darSinam sarva-samarTam ca-ISvaram vinA-anyatra jIvezu-asamBavAn-na tEH
   siddhasādhanamiti cātra vivakṣitam / na cobhayavādī' tyagrimagranthe	sidDa-sADanam-iti ca-atra vivakzitam / na ca-uBaya-vAdI-a tyagrima-granTe
   caitadvakṣyate / madhye 'naikāntyaṃ paraharati prasaṃṅgataḥ 'bīje' ti /	ca-etat-vakzyate / maDye anEkAntyam para-harati prasaMFgataH abIje-a ti /
   yatra yatra kārye na dṛṣṭaḥ kartā, tatatsarvamipa kāryaṃ prakṛte	yatra yatra kArye na dRzwaH kartA, tatat-sarvam-ipa kAryam prakRte
   pakṣīkṛtam / pakṣe ca vyabhicāraśaṅkā na doṣāya, anyathānumānakathāyā eva	pakzIkRtam / pakze ca vyaBicAra-SaFkA na doza-aya, anyaTA-anumAna-kaTAyAH eva
   vilopaprasaṅgāditi bhāvaḥ / 'etene' ti / pakṣāntarbhūtatvenaivetyarthaḥ /	vilopa-prasaFgAt-iti BAvaH / aetene-a ti / pakza-antarBUta-tvena-eva-iti-arTaH /
   ādipadena jñānādi grahyam / na hi svasukhajñānādyarthapravṛttimān	Adi-padena jQAna-Adi grahyam / na hi sva-suKa-jQAna-Adi-arTa-pravRttimAn
   jīvastadopakaraṇopādānādṛṣṭasvātmasākṣātkartā / tat upādānādi	jIvaH-tadA-upakaraNa-upAdAna-adRzwa-sva-Atma-sAkzAt-kartA / tat upAdAna-Adi
   sākṣātkartṛpūrvakatvarūpasādhyabhāvavati sukhajñānādau	sAkzAt-kartR-pUrvakatva-rUpa-sADyaBAvavati suKa-jQAna-AdO
   kāryatvasya sattvādvyabhicāra ityapi sukhāderapi pakṣāntarbhāvata eva	kAryatvasya sattvAt-vyaBicAraH iti-api suKa-AdeH-api pakza-antar-BAvataH eva
   nirastamityarthaḥ / tatrāpyupādānādisākṣātkartṛpūrvakatvamīśvareṇaiva	nirastam-iti-arTaH / tatra-api-upAdAna-Adi-sAkzAt-kartR-pUrvaka-tvam-ISvareNa-eva
   nirūhyate 'smābhiriti hṛdayam / nanu tarhi jīvasya svasukhādau kartṛtvaṃ	nirUhyate asmABiH-iti hRdayam / nanu tarhi jIvasya sva-suKa-AdO kartR-tvam
   na syāditi vācyam /	na syAt-iti vAcyam /
   sukhādisampādanārthatassādhanadarśanopādānapravṛttimattvādevopapatteḥ,	suKa-Adi-sampAdana-arTa-tassADana-darSana-upAdAna-pravRttimat-tvAt-eva-upapatteH,
   kulālāderiva dṛṣṭopakaraṇādidarśanopādānādinā ghaṭādau /	kulAla-AdeH-iva dRzwa-upakaraNa-Adi-darSana-upAdAna-AdinA Gawa-AdO /
   adṛṣṭakāraṇādhiṣṭhānaṃ tu sarvatra kārye paramātmana eveti dhyeyam /	adRzwa-kAraNa-aDizWAnam tu sarvatra kArye paramAtmanaH eva-iti Dyeyam /
   nanvevamapi svajñānādyarthapravṛttipūrvakāle niyamena svasya	nanu-evam-api sva-jQAna-Adi-arTa-pravRtti-pUrva-kAle niyamena svasya
   sākṣātkārābhāvāt svajñānādyupādānabhūtasvātmasākṣātkartṛtvaṃ tadā tasya	sAkzAtkAra-aBAvAt sva-jQAna-Adi-upAdAna-BUta-sva-Atma-sAkzAt-kartR-tvam tadA tasya
   nāstīti cet, na, ātmanaḥ	na-asti-iti cet, na, AtmanaH
   svaprakāśatvanayena tadā svātmasākṣātkārasyāpi saṃmānayitavyatvāt /	sva-prakASa-tva-nayena tadA sva-Atma-sAkzAtkArasya-api saMmAnayitavya-tvAt /
   svajñānādau svasya kartṛtvasya svasmṛtimātreṇāpi abhyupagantavyatvādvā na	sva-jQAna-AdO svasya kartR-tvasya sva-smRti-mAtreNa-api aByupagantavya-tvAt-vA na
   doṣaḥ / upādānādisākṣātkartṛpūrvakatvamiti niyamastu īśvareṇaiva tatra	dozaH / upAdAna-Adi-sAkzAt-kartR-pUrvakatvam-iti niyamaH-tu ISvareNa-eva tatra
   tatra nirvāhyeti ca na vismartavyama / tadarthameva sukhādyapi	tatra nirvAhya-iti ca na vismartavyamaH / tad-arTam-eva suKa-Adi-api
   pakṣīkṛtamiti bodhyam / vyabhicāraṃ parihṛtya siddhasādhanatāṃ pariharati	pakzIkRtam-iti boDyam / vyaBicAram parihRtya sidDa-sADana-tAm pariharati
   'na cobhaye' ti /	ana ca-uBaye-a ti /
   paramāṇvadṛṣṭādipravṛttyanuguṇādhiṣṭhātṛtvakalpanamityarthaḥ /	paramANu-adRzwa-Adi-pravRtti-anuguNa-aDizWAtR-tva-kalpanam-iti-arTaH /
   ayuktatve(?) hetimāha 'teṣā' miti / draṣṭumeva	ayukta-tve(?) hetim-Aha atezAa miti / drazwum-eva
   tadaśaktānāntadadhiṣṭhānakathā keti bhāvaḥ / nanvīśvarasyāpi	tad-aSaktAnAnta-d-aDizWAna-kaTA kA-iti BAvaH / nanu-ISvarasya-api
   adhiṣṭhānasāmarthamadṛṣṭaṃ kathaṃ kalpate ? tatrāha 'na caivam' iti /	aDizWAna-sAmarTam-adRzwam kaTam kalpate ? tatra-Aha ana ca-evam-a iti /
   adṛṣṭamapi na dṛṣṭavirodhīti bhāvaḥ / kuto na dṛṣṭavirodhaḥ ? atrāha	adRzwam-api na dRzwa-viroDi-iti BAvaH / kutas na dRzwa-viroDaH ? atra-Aha
   'pramāṇāntarata' iti / atra 'tadasiddhe' riti pāṭhaḥ syādveti sandihyate /	apramANa-antarata-a iti / atra atadasidDe-a riti pAWaH syAt-vA-iti sandihyate /
   pratyakṣādineśvarasyāsiddherasāmarthyasya tasminnadṛṣṭatvādityarthaḥ /	pratyakza-AdinA-ISvarasya-asidDeH-asAmarTyasya tasmin=-adRzwa-tvAt-iti-arTaH /
   nanvanenaivānumānena tasyāsāmarthyaṃ setsyatītyatrāha 'yathodite' ti /	nanu-anena-eva-anumAnena tasya-asAmarTyam setsyati-iti-atra-Aha ayaTA-udite-a ti /
   'tatsiddhe' riti pāṭhe tu śaktimadīśvarasyaiva vilakṣaṇapramāṇena	atad-sidDe-a riti pAWe tu Saktimat-ISvarasya-eva vilakzaNa-pramANena
   siddherityarthaḥ / kintat ? tadāha 'yathodite'ti / sidhyannityasyāgre 'hi'	sidDeH-iti-arTaH / kintat ? tat-Aha ayaTA-udite-ati / siDyat-nityasya-agre ahi-a
   iti yojyam / 'sāṃsiddhike' ti / sarvasyārthasya kriyākārakaphalavargāntaḥ	iti yojyam / asAMsidDike-a ti / sarvasya-arTasya kriyA-kAraka-Pala-varga-antaH
   pātitayā sarvādhiṣṭhānaṃ tadarthaṃ sarvasākṣātkaraṇamapīśvarasya prāpte /	pAtitayA sarva-aDizWAnam tad-arTam sarva-sAkzAt-karaNam-api-ISvarasya prApte /
   te cākaraṇakatvānnitye eveti bhāvaḥ / 'kāryatvasye' ti / yatra kāryatvaṃ	te ca-akaraNaka-tvAt-nitye eva-iti BAvaH / akArya-tvasye-a ti / yatra kArya-tvam
   tatra tatra samarthakartṛjanyatvamiti vyāpterityarthaḥ /	tatra tatra samarTa-kartR-janya-tvam-iti vyApteH-iti-arTaH /
   kulāladeḥ kiñcidviṣayājñānāśaktī api vidyete / tadalpajñālpaśaktikartī	kulAla-deH kiQcid-vizaya-ajQAna-aSaktI api vidyete / tad-alpa-jQa-alpa-Sakti-kartI
   vyāptiḥ kāryatvasya gṛhyate bhūyaḥsahacāradarśanabalāt /	vyAptiH kAryatvasya gRhyate BUyas-sahacAra-darSana-balAt /
   tadabhimataviparītāpādakatvādviruddhatvāmiti śaṅkāṃ 'yattu' ityādinānūdya	tad-aBimata-viparIta-ApAdaka-tvAt-virudDa-tvAm-iti SaFkAm ayat-tu-a ityAdinAnUdya
   pariharati 'ta' diti /	pariharati ata-a diti /
   aprayojakatvāt-kāryakaraṇopayuktatvābhāvātkiñcidviṣayājñānādeḥ / ayaṃ	aprayojaka-tvAt--kArya-karaNa-upayukta-tva-aBAvAt-kiQcid-vizaya-ajQAna-AdeH / ayam
   bhāvaḥ-yenākareṇa kartuḥ kāraṇatvaṃ tadrūpāvacchinnakartṛpūrvakatvenaiva	BAvaH-yena-AkareNa kartuH kAraNa-tvam tad-rUpa-avacCinna-kartR-pUrvaka-tvena-eva
   kāryatvasya ghaṭādau vyāptirgṛhītā / kiñcidviṣayājñānādimattvena ca na	kAryatvasya Gawa-AdO vyAptiH-gRhItA / kiQcid-vizaya-ajQAna-Adimattvena ca na
   ghaṭādau kāraṇatvaṃ kulālādeḥ / kintu	Gawa-AdO kAraNa-tvam kulAla-AdeH / kintu
   tadupādānādisākṣātkārādhiṣṭhānakṣamatvaviśiṣṭatvenaiva / anyaviṣaye	tad-upAdAna-Adi-sAkzAtkAra-aDizWAna-kzamatva-viSizwa-tvena-eva / anya-vizaye
   jñānājñāne śaktyaśaktī vā aprayojake prakṛtakāryotpāde /	jQAna-ajQAne Sakti-aSaktI vA aprayojake prakRta-kArya-utpAde /
   tatsamarthakartṛkatvenaiva vyāptiḥ kāryatvasya / yathā	tad-samarTa-kartRka-tvena-eva vyAptiH kAryatvasya / yaTA
   dhūmasyādraindhanasaṃyogaviśiṣṭavahnitvāvacchinnennaiva saṃbandhaniyamaḥ,	DUmasya-adrEnDana-saMyoga-viSizwa-vahni-tva-avacCinnet-na-eva saMbanDa-niyamaH,
   na tu raktatvakārīṣatvādyanupayuktadharmāvacchinnena, tadvaditi /	na tu rakta-tva-kArIza-tva-Adi-anupayukta-Darma-avacCinnena, tadvat-iti /
   aprayojakatvamevopapādayati 'nahī' ti /	aprayojaka-tvam-eva-upapAdayati anahI-a ti /
   ajñānam-arthānatropakaraṇādyajñānam / 'sve' ti /	ajQAnam--arTa-an-atra-upakaraNa-Adi-ajQAnam / asve-a ti /
   svakāraṇatvenānumīyamānasya	sva-kAraNa-tvena-anumIyamAnasya
   kartuḥsvaniṣpattyupayogisāmarthyādyevākṣipyate kāryatvasya	kartuH-sva-nizpatti-upayogi-sAmarTya-Adi-eva-Akzipyate kAryatvasya
   masarthakartṛkatvavyāpteriti kevalavyarirekasya-kevalasya	masarTa-kartRka-tva-vyApteH-iti kevala-vyarirekasya-kevalasya
   pūrvavartimātrasyānupayogino	pUrva-varti-mAtrasya-anupayoginaH-
   vyatirekasya-arthāntaragocaraśaktyādyabhāvasya prakṛtakārye	vyatirekasya-arTa-antara-gocara-Sakti-Adi-aBAvasya prakRta-kArye
   prayojakatayāsiddherityarthaḥ / arthāntaraviṣayaśaktyādyabhāvasya	prayojaka-tayA-asidDeH-iti-arTaH / arTa-antara-vizaya-Sakti-Adi-aBAvasya
   vyatireke prakṛtakāryasya vyatireka iti vyatirekasahacārasyāsiddheriti	vyatireke prakRta-kAryasya vyatirekaH iti vyatireka-sahacArasya-asidDeH-iti
   vār'thaḥ / mūlapāṭho 'trānyathā syādvā /	vAr-aTaH / mUla-pAWaH atra-anyaTA syAt-vA /
   tāvataiva-svaniṣpādanopayogijñānaśaktita eva / arthāntaro viṣayo yasyeti	tAvatA-eva--sva-nizpAdana-upayogi-jQAna-SaktitaH eva / arTa-antaraH vizayaH yasya-iti
   bahutrīhiḥ / anyapadārtho jñānādirarthasiddhaḥ / tasya pratiyogitayābhāve	bahutrIhiH / anya-padArTaH jQAna-AdiH-arTa-sidDaH / tasya pratiyogitayA-aBAve
   'nvayaḥ / sambandhinaḥ-kāryaniyatapūrvavartinaḥ /	anvayaH / sambanDi-naH--kArya-niyata-pUrva-vartinaH /
   akiñcitkarasya-prakṛtakāryānupayoginaḥ / anyathāsiddhasyeti yāvat / atha	akiQcitkarasya--prakRta-kArya-anupayoginaH / anyaTA-sidDasya-iti yAvat / aTa
   vikalpamukhenārthāntaraviṣayakājñānādeḥ niyatapūrvavṛttitvamapi	vikalpa-muKena-arTa-antara-vizaya-ka-ajQAna-AdeH niyata-pUrva-vRtti-tvam-api
   pratikṣipati 'api ce' ti / vyāpakaṃ-kāryasya niyatapūrvavṛtti / 'na tāva'	pratikzipati aapi ce-a ti / vyApakaM-kAryasya niyata-pUrva-vRtti / ana tAva-a
   prakṛtakāryātiriktasakalakāryopayogijñānasāmarthyavirahaḥ kartari	prakRta-kArya-atirikta-sakala-kArya-upayogi-jQAna-sAmarTya-virahaH kartari
   kutrāpyasiddha eveti bhāvaḥ / nanu	kutra-api-asidDaH eva-iti BAvaH / nanu
   prakṛtakāryātiriktakatipayaviṣayājñānādi karturiṣṭaṃ dṛṣṭaṃ cetyatrāha	prakRta-kArya-atirikta-katipaya-vizaya-ajQAna-Adi kartuH-izwam dRzwam ca-iti-atra-Aha
   'athe' ti / arthāntarayatkiñcidajñānādi na vyavasthitam / yathā	aaTe-a ti / arTa-antarayat-kiQci-dajQAna-Adi na vyavasTitam / yaTA
   kaścitpaṭakāraḥ ghaṭaṃ na jānāti kaścittu jānāti, kaścittvanyanna jānāti	kaScid-pawakAraH Gawam na jAnAti kaScid-tu jAnAti, kaScittu-anyat-na jAnAti
   anyastu tajjānātīti prakṛtakarturanyānyaviṣayaṃ jñānamajñānaṃ	anyaH-tu tat-jAnAti-iti prakRta-kartuH-anyAnya-vizayam jQAnam-ajQAnam
   cāvyavasthitaṃ dṛśyate / paṭādyajñānaṃ ghaṭādyajñānaṃ vā niyataṃ	ca-avyavasTitam dRSyate / pawa-AdyajQAnam Gawa-Adi-ajQAnam vA niyatam
   karturdurvacamiti tattadajñānasya tatra tatrānaikāntyānna hetutvamiti	kartuH-durvacam-iti tat-tat-ajQAnasya tatra tatra-anEkAntyAt-na hetu-tvam-iti
   bhāvaḥ / sarvasyāpi kartuḥ kiñcidvastu niyamena na jñāyate iti tu	BAvaH / sarvasya-api kartuH kiQcid-vastu niyamena na jQAyate iti tu
   durvacamevetyāha 'na cāstī' ti / nanu svaviśiṣṭajñānābhāvatvenājñānasya	durvacam-eva-iti-Aha ana ca-astI-a ti / nanu sva-viSizwa-jQAna-aBAva-tvena-ajQAnasya
   hetutvamupeyate / svapadaṃ prakṛtakāryaparam / vaiśiṣṭyaṃ ca jñāne	hetu-tvam-upeyate / sva-padam prakRta-kArya-param / vESizwyam ca jQAne
   svaniṣṭhaviṣayatvānirūpakatvasvānya	sva-nizWa-vizaya-tva-anirUpaka-tva-sva-anya
   niṣṭhaviṣayatānirūpakatvobhayasambandhena / tathā ca tattadajñānasya tatra	nizWa-vizaya-tA-nirUpaka-tva-uBaya-sambanDena / taTA ca tat-tat-ajQAnasya tatra
   tatra vyabhicāre 'pi niruktarūpāvacchinnajñānābhāvasya	tatra vyaBicAre api nirukta-rUpa-avacCinna-jQAna-aBAvasya
   niyatapūrvavṛttitvasambhava eveti cet, evamapi pūrvokmanyathāsiddhatvaṃ	niyata-pUrva-vRtti-tva-samBavaH eva-iti cet, evam-api pUrvokmanyaTA-sidDa-tvam
   durvārameveti dhyeyam /	durvAram-eva-iti Dyeyam /
   kāryatvasyājñātvādiviruddhākārākṣepakatvaṃ kṣityādikartari	kAryatvasya-ajQAtvA-Adi-virudDa-AkAra-Akzepaka-tvam kziti-Adi-kartari
   parihṛtametāvatā /	parihRtam-etAvatA /
   atha śarīratvalakṣaṇaviparītākārākṣepakatvaṃ pariharati 'na ce' ti /	aTa SarIra-tva-lakzaNa-viparIta-AkAra-Akzepaka-tvam pariharati ana ce-a ti /
   kartuḥ śarīravattvameveti na niyamaḥ / ekaṃ dehaṃ parityajya	kartuH SarIra-vat-tvam-eva-iti na niyamaH / ekam deham parityajya
   dehāntaraparigrahaṇaṃ kurvato jīvasya tadā/ḍaśarīritvādita bhāvaḥ / yogino	deha-antara-parigrahaNam kurvataH jIvasya tadA-a/xa-SarIritvA-Adita BAvaH / yoginaH-
   yogabalājjīvato dehāntaragrahaṇaṃ kurvato jīvasya tadāśarīritvāditi bhāvaḥ	yoga-balAt-jIvataH deha-antara-grahaNam kurvataH jIvasya tadA-aSarIri-tvAt-iti BAvaH
   / yogino yogabalājjīvato dehāntaragrahaṇaṃ saśarīrasyaiva dṛṣṭamityayogina	/ yoginaH yoga-balAt-jIvataH deha-antara-grahaNam sa-SarIrasya-eva dRzwam-iti-ayogina
   ityuktam / nanu ayogino 'pi sūkṣmaśarīravata eva sthūladehāntaragrahaṇaṃ	iti-uktam / nanu ayoginaH api sUkzma-SarIravataH eva sTUla-deha-antara-grahaNam
   pretyeti na vyabhicāra ityatrāha 'pūrveti' / nanu śrutibalādbhūtasūkṣmaiḥ	pretya-iti na vyaBicAraH iti-atra-Aha apUrvA-iti-a / nanu Sruti-balAt-BUta-sUkzmEH
