   Abhidharmasamuccaya	ABiDarma-samuccaya
   sarvāvaraṇaniṣkarṣaṇakarmikā // amramādaḥ katamaḥ /	sarva-AvaraNa-nizkarzaNa-karmikA // amramAdaH katamaH /
   savīryakānalobhādveṣāmohanniśritya yā kuśalānāṃ dharmāṇāmbhāvanā	sa-vIrya-kAna-loBAt-vezAmohat-niSritya yA kuSalAnAm DarmANAm-BAvanA
   sāsravebhyaśca dharmebhyaścittārakṣā / sa ca laukikalokottarasampatti	sa-AsraveByaH-ca DarmeByaH-citta-ArakzA / sa ca lOkika-lokottara-sampatti
   paripūraṇapariniṣpādanakarmakaḥ // upekṣā katamā /	paripUraNa-parinizpAdana-karmakaH // upekzA katamA /
   savīryakānalobhādveṣāmohānniśritya yā saṃkliṣṭavihāravairodhikī	sa-vIrya-kAna-loBAt-vezA-mohAt-niSritya yA saMklizwa-vihAra-vEroDikI
   cittasamatā cittapraśaṭhatā cittasyānābhogāvasthitatā /	citta-samatA citta-praSaWa-tA cittasya-anABoga-avasTita-tA /
   saṃkleśānavakāśasanniśrayadānakarmikā // avihinsā katamā / (Abhidh-s 7)	saMkleSa-anavakASa-sanniSraya-dAna-karmikA // avihinsA katamA / (a-aBiD-H 7)
   adveṣāṃ śikā karūṇatā / aviheṭhanakarmikā // rāgaḥ katamaḥ traidhātuko	advezAm SikA karUNa-tA / aviheWana-karmikA // rAgaH katamaH trEDAtuko
   'nunayaḥ / duḥkhasaṃjananakarmakaḥ // pratighaḥ katamaḥ / sattveṣu duḥkhe	anunayaH / duHKa-saMjanana-karmakaH // pratiGaH katamaH / sattvezu duHKe
   duḥkhasthānīyeṣu ca dharmeṣvāghātaḥ /	duHKa-sTAnIyezu ca Darmezu-AGAtaH /
   asparśavihāraduścaritasanniśrayadānakarmakaḥ // mānaḥ katamaḥ /	asparSa-vihAra-duScarita-sanniSraya-dAna-karmakaH // mAnaH katamaH /
   satkāyadṛṣṭisanniśrayeṇa cittasyonnatiḥ / agauravaduḥkhotpatti	sat-kAya-dRzwi-sanniSrayeNa cittasya-unnatiH / agOrava-duHKa-utpatti
   sanniśrayadānakarmakaḥ // avidyā katamā / traidhātukamajñānam / dharmeṣu	sanniSraya-dAna-karmakaH // avidyA katamA / trEDAtukam-ajQAnam / Darmezu
   mithyāniścayavicikitsātsaṃkleśotpattisanniśrayadānakarmikā // bicikitsā	miTyA-niScaya-vicikitsAt-saMkleSa-utpatti-sanniSraya-dAna-karmikA // bicikitsA
   katamā / satyeṣu vimatiḥ / kuśalapakṣāpravṛtti sanniśrayadānakarmikā //	katamA / satyezu vimatiH / kuSala-pakzA-pravRtti sanniSraya-dAna-karmikA //
   satkāyadṛṣṭiḥ katamā / pañcopādānaskandhānātmataḥ ātmīyato vā	sat-kAya-dRzwiH katamA / paQca-upAdAna-skanDAn-AtmataH AtmIyataH vA
   samanupaśyato yā kṣāntī rūcirmatiḥ prekṣā dṛṣṭiḥ /	samanupaSyataH yA kzAntiH rUciH-matiH prekzA dRzwiH /
   sarvadṛṣṭigatasanniśrayadānakarmikā // antagrāhadṛṣṭiḥ katamā /	sarva-dRzwi-gata-sanniSraya-dAna-karmikA // anta-grAha-dRzwiH katamA /
   pañcopādānaskandhān śāśva(ta)to vā ucchedato vā samanupaśyataḥ yā kṣāntī	paQca-upAdAna-skanDAn SASva(ta)taH vA ucCedataH vA samanupaSyataH yA kzAntI
   rucirmatiḥ prekṣā dṛṣṭiḥ / madhyamā pratipanniryāṇaparipanthakarmikā //	ruciH-matiH prekzA dRzwiH / maDyamA pratipad-niryANa-paripanTa-karmikA //
   dṛṣṭiparāmarśaḥ katamaḥ / dṛṣṭiṃ dṛṣṭayāśrayāṃśca	dRzwi-parAmarSaH katamaH / dRzwim dRzwayA-ASrayAn=-ca
   pañcopādānaskandhānagrataḥ śreṣṭhato viśiṣṭataḥ paramataśca samanupaśyato	paQca-upAdAna-skanDAn-agrataH SrezWataH viSizwataH paramatas-ca samanupaSyataH-
   yā kṣānti rucirmatiḥ prekṣā dṛṣṭi /	yA kzAnti ruciH-matiH prekzA dRzwi /
   asadṛṣṭyaminiveśasanniśrayadānakarmakaḥ // śīlavataparāmarthaḥ katamaḥ /	asa-dRzwi-ami-niveSa-sanniSraya-dAna-karmakaH // SIlavata-parAm-arTaH katamaH /
   śīlaṃ vrataṃ śīlavratā(śrayāṃ)śca pañcopādānaskandhān śuddhito muktito	SIlam vratam SIla-vratA(SrayAM)H-ca paQca-upAdAna-skanDAn SudDitaH mukti-taH-
   nairyāṇikataśca samanupaśyato yā kṣāntī rūcirmatiḥ prekṣā dṛṣṭiḥ /	nEryANikataH-ca samanupaSyataH yA kzAntiH rUciH-matiH prekzA dRzwiH /
   śramavaiphalyasanniśrayadānakarmakaḥ // mithyādṛṣṭiḥ katamā / hetuṃ	Srama-vEPalya-sanniSraya-dAna-karmakaH // miTyAdRzwiH katamA / hetum
   vāpavadataḥ phalaṃ vā kriyāṃ vā sadvā vastu nāśayataḥ mithyā ca	vA-apavadataH Palam vA kriyAm vA sat-vA vastu nASayataH miTyA ca
   vikalpayato yā kṣānti rucirmatiḥ prekṣā dṛṣṭiḥ /	vikalpayataH yA kzAnti ruciH-matiH prekzA dRzwiH /
   kuśalamūlasamucchedakarmikā / akuśalamūladṛḍhatāsanniśrayadānakarmikā /	kuSala-mUla-samucCeda-karmikA / akuSala-mUla-dRXa-tA-sanniSraya-dAna-karmikA /
   akuśale pravṛttikarmikā kuśalecāpravṛttikarmikā vā //	akuSale pravRtti-karmikA kuSa-leca-apravRtti-karmikA vA //
   yā etāḥ pañca dṛṣṭayaḥ āsāṃ kati samāropadṛṣṭayaḥ katyapavāddṛṣṭayaḥ /	yAH etAH paQca dRzwayaH AsAm kati samAropa-dRzwayaH kati-apavAddRzwayaH /
   catasraḥ samāropadṛṣṭayaḥ jñeye svabhāvaviśeṣasamāropatāmupādāya dṛṣṭau	catasraH samAropa-dRzwayaH jQeye svaBAva-viSeza-samAropa-tAm-upAdAya dRzwO
   cāgraśuddhisamāropatāmupādāya / ekā yadbhūyasā apavādadṛṣṭiḥ / yāśca	ca-agra-SudDi-samAropatAm-upAdAya / ekA yat-BUyasA apavAda-dRzwiH / yAH-ca
   purvāntakalpikā dṛṣṭayaḥ yāścaparāntakalpikā (Abhidh-s 8) dṛṣṭayaḥ tāḥ	purva-anta-kalpikA dRzwayaH yAH-ca-para-anta-kalpikA (a-aBiD-H 8) dRzwayaH tAH
   katibhyo dṛṣṭibhyo veditavyāḥ / dvābhyāṃ sarvābhyo vā / yā avyākṛtacastuṣu	katiByaH dRzwiByaH veditavyAH / dvAByAm sarvAByaH vA / yAH avyAkRta-castuzu
   dṛṣṭayastāḥ katibhyo dṛṣṭibhyo veditavyāḥ / dvābhyāṃ sarvābhyo vā / kaṃ	dRzwayaH-tAH katiByaH dRzwiByaH veditavyAH / dvAByAm sarvAByaH vA / kam
   doṣaṃ paśyatā bhagavatā skandhadhātvāyatanegu pañcamiḥ kāraṇairātmā	dozam paSyatA BagavatA skanDa-DAtu-Ayatanegu paQcamiH kAraNEH-AtmA
   pratikṣiptaḥ satkāyadṛṣṭiparigṛhītān pañca doṣān paśyatā vilakṣaṇatādoṣaṃ	pratikziptaH sat-kAya-dRzwi-parigRhItAn paQca dozAn paSyatA vilakzaNa-tA-dozam
   anityatādoṣaṃ asvāsthya doṣaṃ nirdehatādoṣaṃ ayatnato mokṣadoṣaṃ ca // yā	anitya-tA-dozam asvAsTya dozam nirdeha-tA-dozam ayatnatas mokza-dozam ca // yA
   pañcasūpādānaskadheṣu viṃśatikoṭikā satkāyadṛṣṭiḥ rūpa[mā]tmeti	paQca-su-upa-AdAna-skaDezu viMSati-kowikA sat-kAya-dRzwiH rUpa[mA]tmA-iti
   samanupaśyati rūpavantamātmānamātmīyaṃ (rūpaṃ) rūpe ātmānaṃ vedanāṃ	samanupaSyati rUpavantam-AtmAnam-AtmIyam (rUpaM) rUpe AtmAnam vedanAm
   saṃjñāṃ saṃskārān vijñānamātmeti samanupaśyati vijñānavantamātmānamātmīyaṃ	saMjQAm saMskArAn vijQAnam-AtmA-iti samanupaSyati vijQAnavantam-AtmAnam-AtmIyam
   vijñānaṃ vijñāne ātmānaṃ tatra katyātmadṛṣṭayaḥ katyātmīyadṛṣṭayaḥ	vijQAnam vijQAne AtmAnam tatra kati-Atma-dRzwayaH kati-AtmIya-dRzwayaH
   pañcātmadṛṣṭayaḥ pañcadaśātmīyadṛṣṭayaḥ // kena kāraṇena pañca	paQca-Atma-dRzwayaH paQcadaSa-AtmIya-dRzwayaH // kena kAraNena paQca
   [daśā]tmīyadṛṣṭayaḥ / sambandhātmīyatāmupādāya vaśavarttanātmīyatāmupādāya	[da-SA]tmIya-dRzwayaH / sambanDa-AtmIyatAm-upAdAya vaSa-varttana-AtmIya-tAm-upAdAya
   avinirbhogavṛttyātmīyatāṃ copādāya / satkāyadṛṣṭirnirūpitavastukā vaktavyā	avinirBoga-vRttyA-AtmIyatAm ca-upAdAya / sat-kAya-dRzwiH-nirUpita-vastukA vaktavyA
   anirupitavastukā vaktavyā / anirūpitavastu(kā) vaktavyā rajjvāṃ	anirupita-vastukA vaktavyA / anirUpita-vastu(kA) vaktavyA rajjvAm
   sarpabuddhivat /	sarpa-budDi-vat /
   krodhaḥ katamaḥ / pratyupasthite apakāranimitte prati[ghāṃ] śikaścetasa	kroDaH katamaH / pratyupasTite apakAra-nimitte prati[GAn] SikaH-cetasa
   āghātaḥ / śastrādānaṃ daṇḍādānādisaṃrambhasanniśrayadānakarmakaḥ /	AGAtaH / Sastra-AdAnam daNxa-AdAna-Adi-saMramBa-sanniSraya-dAna-karmakaH /
   upanohaḥ katamaḥ tata ūrdhvaṃ pratighāṃśika eva vairāśayasyānutsargaḥ /	upanohaH katamaH tatas UrDvam pratiGA-aMSikaH eva vEra-ASayasya-anutsargaH /
   akṣāntisanniśrayadānakarmakaḥ / makṣaḥ katamaḥ / samyak coditasya	akzAnti-sanniSraya-dAna-karmakaH / makzaH katamaH / samyak coditasya
   mohāṃśikā avadyapracchādanā / kaukṛtyāsparśa vihārasanniśrayadānakarmakaḥ	moha-aMSikAH avadya-pracCAdanA / kOkRtya-asparSa vihAra-sanniSraya-dAna-karmakaH
   / madāśaḥ katamaḥ / pratighāṃśikaḥ krodhopanāhapūrvaṅgamaścetasa āghātaḥ /	/ mad-ASaH katamaH / pratiGAMSikaH kroDa-upanAha-pUrvaFgamaH-cetasaH AGAtaH /
   uccapragāḍhapāruṣyavacanasanniśrayadāna karmakaḥ apuṇyaprasavakarmakaḥ	ucca-pragAXa-pAruzya-vacana-sanniSraya-dAna karmakaH apuNya-prasava-karmakaH
   asparśavihārakarmakaśca // īrṣyā katamā / lābhasatkārā dhyavasitasya	asparSa-vihAra-karmakaH-ca // IrzyA katamA / lABa-satkArAH Dyavasitasya
   parasaṃpattiviśeṣe dveṣāṃśikaḥ a[marṣa] kṛtaścetaso vyāropaḥ /	para-saMpatti-viSeze dveza-aMSikaH a[marza] kRtaH-cetasaH vyAropaH /
   daurmanasyāsparśavihārakarmakaḥ / mātsaryaṃ katamat /	dOrmanasya-asparSa-vihAra-karmakaH / mAtsaryam katamat /
   lābhasatkārādhyavasitasya pariṣkāreṣu rāgāṃśiścetasa āgrahaḥ /	lABa-satkAra-aDyavasitasya parizkArezu rAga-aMSiH-cetasaH AgrahaH /
   asaṃlekhasanniśrayadānakarmakam // māyā katamā / lābhasatkārādhyavasitasya	asaMleKa-sanniSraya-dAna-karmakam // mAyA katamA / lABa-satkAra-aDyavasitasya
   rāgamohāṃśikā abhūtaguṇasaṃdarśanā / mithyājīvasanniśrayadānakarmikā //	rAga-moha-aMSikAH aBUta-guNa-saMdarSanA / miTyA-jIva-sanniSraya-dAna-karmikA //
   śāṭhyaṃ ka[tamat] / lābhasatkārādhyavasitasya (Abhidh-s 9) rāgamohāṃśikā	SAWyam ka[tamat] / lABa-satkAra-aDyavasitasya (A-aBiD-H 9) rAgamoha-aMSikA
   bhūtadoṣavimālanā / samyagavavādalābhaparipanthakaram // madaḥ katamaḥ /	BUta-doza-vimAlanA / samyak-avavAda-lABa-paripanTa-karam // madaH katamaH /
   ārogyaṃ vā āgamya yauvanaṃ vā dīrghāyuṣkalakṣaṇaṃ	Arogyam vA Agamya yOvanam vA dIrGa-Ayuzka-lakzaNam
   vopalabhyanyatamānyatamāṃ vā sāsravāṃ saṃpattiṃ rāgāṃśikannandīsaumanasyam	vA-upalaByanyatama-anyatamAm vA sa-AsravAm saMpattim rAga-aMSi-kannandI-sOmanasyam
   / sarvvakleśopakleśasanniśrayadānakarmakaḥ // vihinsā katamā /	/ sarvu-akleSa-upakleSa-sanniSraya-dAna-karmakaH // vihinsA katamA /
   prati[ghāṃśi]kā nirvṛṇatā niṣkaraṇatā nirdayatā / viheṭhanakarmikā //	prati[GA-aMSi]kAH nirvRNatA nizkaraNa-tA nirdayatA / viheWana-karmikA //
   āhrīkyaṃ katamat / rāgadveṣamohāṃśikā svayamavadyenālajjanā /	AhrIkyam katamat / rAga-dveza-moha-aMSikA svayam-avadyena-alat-janA /
   sarvvakleśopakleśasāhāyyakarmakam // anapatrāpyaṃ katamat /	sarvva-kleSa-upakleSa-sAhAyya-karmakam // anapatrApyam katamat /
   rāgadveṣamohāṃśikā parato 'vadyenalajjanā /	rAga-dveza-moha-aMSikA paratas avadyena-lat-janA /
   sarvvakleśopakleśasāhāyyakarmakam //	sarvva-kleSa-upakleSa-sAhAyya-karmakam //
   styānaṃ katamat / mohāṃśikā cittākarmaṇyatā /	styAnam katamat / moha-aMSikA cittAkarmaNya-tA /
   sarvakleśopakleśasāhāyyakarmakam // auddhatya katamat /	sarva-kleSa-upakleSa-sAhAyya-karmakam // OdDatya katamat /
   śubhanimittamanusarato rāgāṃśikaścetaso 'vyupaśamaḥ /	SuBa-nimittam-anusarataH rAga-aMSikaH-cetasaH avyupaSamaH /
   śamathaparipanthakarmakam // āśradudhvaṃ katamat / mohāṃśikaḥ kuśaleṣu	SamaTa-paripanTa-karmakam // ASraduDvam katamat / moha-aMSikaH kuSalezu
   dharmeṣu cetaso 'nabhisaṃpratyayo 'prasādo 'nabhilāṣaḥ /	Darmezu cetasaH anaBisaMpratyayaH aprasAdaH anaBilAzaH /
   kausīdyasanniśrayadānakarmakam // kausīdyaṃ katamat / nidrāpārśvaśayana	kOsIdya-sat-niSraya-dAna-karmakam // kOsIdyam katamat / nidrA-pArSva-Sayana
   sukhallikāmāgamya mohāṃśikaścetaso 'nabhyutsāhaḥ /	suKallikAm-Agamya moha-aMSikaH-cetasaH anaByutsAhaH /
   kuśalapakṣaprayogaparipanthakarmakam // pramodaḥ katamaḥ / sakausīdyān	kuSala-pakza-prayoga-paripanTa-karmakam // pramodaH katamaH / sa-kOsIdyAn
   rāgadveṣamohānniśritya kuśalānāṃ dharmāṇāmabhāvanā sāsravebhyaśca	rAga-dveza-mohAn-niSritya kuSalAnAm DarmANAm-aBAvanA sa-AsraveByaH-ca
   dharmebhyaścetaso 'nārakṣā /	DarmeByaH-cetasaH anArakzAH /
   akuśalavṛddhikuśalaparihāṇisanniśrayadānakarmakaḥ // muṣitasmṛtitā katamā	akuSala-vRdDi-kuSala-parihANi-sanniSraya-dAna-karmakaH // muzita-smRti-tA katamA
   / kleśa saṃprayuktā smṛtiḥ / vikṣepasanniśrayadānakarmikā // asaṃprajanyaṃ	/ kleSa saMprayuktA smRtiH / vikzepa-sanniSraya-dAna-karmikA // asaMprajanyam
   katamat / kleśasaṃprayuktā prajñā yayā asaṃviditā kāyavākcittacaryā	katamat / kleSa-saMprayuktA prajQA yayA asaMviditA kAya-vAc-citta-caryA
   pravartate / āpattisanniśrayadānakarmakam // vikṣepaḥ katamaḥ /	pravartate / Apatti-sanniSraya-dAna-karmakam // vikzepaH katamaH /
   rāgadveṣamohāṃśikaścetaso visāraḥ / sa punaḥ svabhāvavikṣepaḥ	rAga-dveza-moha-aMSikaH-cetasaH visAraH / sa punar svaBAva-vikzepaH
   bahirdhāvikṣepaḥ adhyātmavikṣepaḥ nimi(tta) vikṣepaḥ dauṣṭhulyavikṣepaḥ	bahirDAvikzepaH aDyAtma-vikzepaH nimi(tta) vikzepaH dOzWulya-vikzepaH
   manasikāravikṣepaśca / svabhāvavikṣipaḥ katamaḥ / pañca vijñāna kāyāḥ //	manasikAra-vikzepaH-ca / svaBAva-vikzipaH katamaH / paQca vijQAna kAyAH //
   bahirdhā vikṣepa katamaḥ / kuśalaprayuktasya paṃcasu kāmaguṇeṣu cetaso	bahirDA vikzepa katamaH / kuSala-prayuktasya paMcasu kAma-guNezu cetasaH-
   visāraḥ // adhyātmavikṣepaḥ katamaḥ / kuśalaprayuktasya	visAraH // aDyAtma-vikzepaH katamaH / kuSala-prayuktasya
   layauddhatyāsvādanā / nimittavikṣepa katamaḥ / parasaṃbhāvanāṃ puraskṛtya	laya-OdDatyAsvAdanA / nimitta-vikzepa katamaH / para-saMBAvanAm puraskRtya
   (Abhidh-s 10) kuśalaprayogaḥ // hauṣṭhulyavikṣepaḥ katamaḥ /	(a-aBiD-H 10) kuSala-prayogaH // hOzWulya-vikzepaH katamaH /
   ahaṃkāramamakārāsmimānapakṣyaṃ dauṣṭhulyamāganya	ahaMkAra-mamakAra-asmi-mAna-pakzyam dOzWulyam-Aganya
   kuśalaprayuktasyotpannotpanneṣu vediteṣvahamiti vā mameti vā asmīti vā	kuSala-prayuktasya-utpanna-utpannezu veditezu-aham-iti vA mama-iti vA asmi-iti vA
   udgraho vyavakiraṇā nimittīkāraḥ // manasikāravikṣepaḥ katamaḥ /	udgrahaH vyavakiraNA nimittIkAraH // manasikAra-vikzepaH katamaH /
   samapattyantaraṃ vā yānāntaraṃ vā samāpadyamānasya saṃśrayato vā yo	sama-patti-antaram vA yAna-antaram vA samApadyamAnasya saMSrayataH vA yaH-
   visāraḥ / vairāgyapari panthakarmakaḥ middhaṃ katamat /	visAraH / vErAgya-pari panTa-karmakaH midDam katamat /
   middhanimittamāgamya mohāṃśikaścetaso 'bhisaṃkṣepaḥ kuśalaḥ akuśalaḥ	midDa-nimittam-Agamya moha-aMSikaH-cetasaH aBisaMkzepaH kuSalaH akuSalaH
   avyākṛtaḥ kāle vā akāle vā yukto vā ayukto vā /	avyAkRtaH kAle vA akAle vA yuktaH vA ayuktaH vA /
   kṛtyāvipattisanniśrayadānakarmakam // kaukṛtyaṃ katamat /	kRtyA-vipatti-sanniSraya-dAna-karmakam // kOkRtyam katamat /
   yadabhipretānabhipretaṃ kāraṇākāraṇāmāgamya mohāṃśikaścetaso vipratisāraḥ	yat-aBipretAnaBipretam kAraNa-akAraNAm-Agamya moha-aMSikaH-cetasaH vipratisAraH
   / kuśalamakuśalamavyākṛtaṃ kāle akāle yuktamayuktañca //	/ kuSalam-akuSalam-avyAkRtam kAle akAle yuktam-ayuj-taQca //
   cittasthitiparipanthakarmakaḥ // vitarkaḥ katamaḥ / cetanāṃ vā niśritya	citta-sTiti-paripanTa-karmakaH // vitarkaH katamaH / cetanAm vA niSritya
   prajñāṃ vā paryeṣako manojalpaḥ / sā ca cittasyaudārikatā // vicāraḥ	prajQAm vA paryezakaH manaH-jalpaH / sA ca cittasya-OdArika-tA // vicAraH
   katamaḥ / cetanāṃ vā niśritya prajñāṃ vā pratyavekṣako manojalpaḥ / sa ca	katamaH / cetanAm vA niSritya prajQAm vA pratyavekzakaH manaH-jalpaH / sa ca
   cittasya sūkṣmatā / sparśāsparśavihārasaṃniśrayadānakarmakau / api khalu	cittasya sUkzma-tA / sparSa-asparSa-vihAra-saMniSraya-dAna-karmakO / api Kalu
   kuśalānāṃ dharmāṇāṃ svavipakṣaprahāṇaṃ karma / kleśopakleśānāṃ	kuSalAnAm DarmANAm sva-vipakza-prahANam karma / kleSa-upakleSAnAm
   svapratipakṣaparipanthanaṃ karma // 0 //	sva-pratipakza-paripanTanam karma // 0 //
   citta viprayuktāḥ saṃskārāḥ katame /	citta viprayuktAH saMskArAH katame /
   prāptirasaṃjñisamāpattinirodhasamāpattirāsaṃjñikaṃ jīvitendriyaṃ	prAptiH-asaMjQi-samApatti-niroDa-samApattiH-AsaMjQikam jIvita-indriyam
   nikāyasabhāgatā jātirjarā sthitiranityatā nāmakāyāḥ padakāyāḥ	nikAya-saBA-gatA jAtiH-jarA sTitiH-anitya-tA nAmakAyAH padakAyAH
   vyañjanakāyāḥ pṛthagjanatvaṃ pravṛttiḥ pratiniyamo yogaḥ javo 'nukramaḥ	vyaQjana-kAyAH pRTagjana-tvam pravRttiH pratiniyamaH yogaH javaH anukramaH
   kālo deśaḥ saṃkhyā sāmagrī ca // prāptiḥ katamā / kuśalakuśalāṃnāṃ	kAlaH deSaH saMKyA sAmagrI ca // prAptiH katamA / kuSala-kuSalAMnAm
   dharmāṇāmācayāpacaye prāptiḥ pratilagbhaḥ samanvāgama iti prajñaptiḥ //	DarmANAm-Acaya-apacaye prAptiH pratilagBaH samanvAgamaH iti prajQaptiH //
   asaṃjñisamāpattiḥ katamā / śubhakṛtsnavītarāgasyoparyavītarāgasya	asaMjQi-samApattiH katamA / SuBa-kRtsna-vIta-rAgasya-upari-avIta-rAgasya
   niḥsaraṇasaṃjñāpūrvakeṇa manasikāreṇāsthāvarāṇāṃ cittacaitasikānāṃ	niHsaraNa-saMjQA-pUrvakeNa manasikAreNa-AsTAvarANAm citta-cEtasikAnAm
   dharmāṇāṃ nirodhe asaṃjñisamāpattiriti prajñaptiḥ // nirodhasamāpattiḥ	DarmANAm niroDe asaMjQi-samApattiH-iti prajQaptiH // niroDa-samApattiH
   katamā / ākiṃcanyāyatanavītarāgasya bhavāgrāduccalitasya	katamA / AkiMcanya-Ayatana-vIta-rAgasya Bava-agrAt-uccalitasya
   śāntavihārasaṃjñāpūrvakeṇa (Abhidh-s 11) manasikāreṇāsthāvarāṇāṃ	SAnta-vihAra-saMjQA-pUrvakeNa (a-aBiD-H 11) manasikAreNa-AsTAvarANAm
   cittacaitasikānāṃ dharmāṇāṃ nirodhe nirodhasamāpattiriti prajñaptiḥ //	citta-cEtasikAnAm DarmANAm niroDe niroDa-samApattiH-iti prajQaptiH //
   āsaṃjñikaṃ katamat / asaṃjñisattveṣudeveṣūpapannasyāsthāvarāṇāṃ	AsaMjQikam katamat / asaMjQisattva-izu-devezu-upapannasya-AsTAvarANAm
   cittacaitasikānāṃ dharmāṇāṃ nirodhe āsaṃjñikapriti prajñaptiḥ //	citta-cEtasikAnAm DarmANAm niroDe AsaMjQika-priti prajQaptiH //
   jīvitendriyaṃ katamat / nikāyasabhāge pūrvakarmāviddhe sthitikālaniyame	jIvita-indriyam katamat / nikAya-sa-BAge pUrva-karma-AvidDe sTiti-kAla-niyame
   āyuriti prajñaptiḥ // nikāyasabhāgaḥ katamaḥ / teṣāṃ teṣāṃ sattvānāṃ	AyuH-iti prajQaptiH // nikAya-sa-BAgaH katamaH / tezAm tezAm sattvAnAm
   tasmiṃ stasmin sattvanikāye ātmabhāvasadṛśatāyāṃ nikāyasabhāga iti	tasmim stasmin sattva-nikAye Atma-BAva-sadRSa-tAyAm nikAya-sa-BAgaH iti
   prajñaptiḥ // jātiḥ katamā / nikāyasabhāge saṃskārāṇāmabhūtvābhāve	prajQaptiH // jAtiH katamAH / nikAya-sa-BAge saMskArANAm-aBUtvA-aBAve
   jātiriti prajñaptiḥ // jarā katamā / nikāyasabhāme saṃskārāṇāṃ	jAtiH-iti prajQaptiH // jarA katamA / nikAyasa-BAme saMskArANAm
   prabandhānyathātve jareti prajñaptiḥ // sthitiḥ katamā / nikāyasabhāge	prabanDAn-yaTAtve jarA-iti prajQaptiH // sTitiH katamA / nikAya-sa-BAge
   prabandhāvipraṇāśe sthitiriti prajñaptiḥ // anityatā katamā /	prabanDA-vipraNASe sTitiH-iti prajQaptiH // anitya-tA katamA /
   nikāyasabhāge saṃskārāṇāṃ prabandhavināśe anityateti prajñaptiḥ //	nikAya-sa-BAge saMskArANAm prabanDa-vinASe anitya-tA-iti prajQaptiH //
   nāmakāyāḥ katame / dharmāṇāṃ svabhāvādhivacane nāmakāyā iti prajñaptiḥ //	nAmakAyAH katame / DarmANAm svaBAva-aDivacane nAmakAyAH iti prajQaptiH //
   padakāyāḥ katame / dharmāṇāṃ viśeṣādhivacane padakāyā iti prajñaptiḥ //	padakAyAH katame / DarmANAm viSeza-aDivacane padakAyAH iti prajQaptiH //
   vyañjanakāyāḥ katameḥ tadubhayāśrayeṣvakṣareṣu vyañjanakāyā iti prajñaptiḥ	vyaQjana-kAyAH katameH tad-uBaya-ASrayezu-akzarezu vyaQjana-kAyAH iti prajQaptiH
   / tadubhayābhivyañjanatāmupādāya / varṇo 'pi saḥ /	/ tad-uBaya-aBivyaQjana-tAm-upAdAya / varNaH api saH /
   arthasaṃvarṇanatāmupādāya / akṣare punaḥ paryāyākṣaraṇatāmupādāya //	arTa-saMvarNanatAm-upAdAya / akzare punar paryAya-akzaraNa-tAm-upAdAya //
   pṛthagjanatvaṃ katamat / āryadharmāṇāmapratilābhe pṛthagjanatvamiti	pRTagjana-tvam katamat / Arya-DarmANAm-apratilABe pRTagjana-tvam-iti
   prajñaptiḥ // pravṛttiḥ katamā / hetuphala prabandhānupacchede	prajQaptiH // pravRttiH katamA / hetu-Pala prabanDa-an-upacCede
   pravṛttiriti prajñaptiḥ / pratiniyamaḥ katamaḥ / hetuphalanānātve	pravRttiH-iti prajQaptiH / pratiniyamaH katamaH / hetu-Pala-nAnA-tve
   pratiniyama iti prajñaptiḥ // yogaḥ katamaḥ / hetuphalānurūpye yoga iti	pratiniyamaH iti prajQaptiH // yogaH katamaH / hetu-Pala-AnurUpye yogaH iti
   prajñaptiḥ // javaḥ katamaḥ / hetuphalāśupravṛttau java iti prajñaptiḥ //	prajQaptiH // javaH katamaH / hetu-PalA-SupravRttO javaH iti prajQaptiH //
   anukramaḥ katamaḥ / hetuphalaikatye pravṛttau anukrama iti prajñaptiḥ //	anukramaH katamaH / hetu-Pala-Ekatye pravRttO anukramaH iti prajQaptiH //
   kālaḥ katamaḥ / hetuphalaprabandhapravṛttau kāla iti prajñaptiḥ // deśaḥ	kAlaH katamaH / hetu-Pala-prabanDa-pravRttO kAlaH iti prajQaptiH // deSaH
   katamaḥ / pūrvadakṣiṇapaścimottarā dharordhvāsu sarvato daśasu dikṣu	katamaH / pUrva-dakziNa-paScima-uttarA DarA-UrDvAsu sarvatas daSasu dikzu
   hetuphala eva deśa iti prajñaptiḥ // saṃkhyā katamā / saṃskārāṇāṃ	hetu-PalaH eva deSaH iti prajQaptiH // saMKyA katamA / saMskArANAm
   pratyekaśo bhede saṃkhyeti prajñaptiḥ // sāmagrī katamā /	pratyekaSaH Bede saMKyA-iti prajQaptiH // sAmagrI katamA /
   hetuphalapratyayasamavadhāne sāmagrīti prajñaptiḥ // 0 //	hetu-Pala-pratyaya-samavaDAne sAmagrI-iti prajQaptiH // 0 //
   vijñānaskandhavyavasthānaṃ katamat / yaccittaṃ manovijñānamapi / tatra	vijQAna-skanDa-vyavasTAnam katamat / yat-cittam manaH-vijQAnam-api / tatra
   (Abhidh-s 12) cittaṃ katamat / skandhadhātvāyatanavāsanāparibhāvitaṃ	(a-aBiD-H 12) cittam katamat / skanDa-DAtu-Ayatana-vAsanA-pariBAvitam
