   1. Vairagyaprakarana	1. VEragya prakarana
        ity uktvā sa bharadvājam parameṣṭhī mamāśramam /	iti uktvA sa BaradvAjam paramezWI mama ASramam /
        abhyāgamat samaṃ tena bharadvājena bhūtakṛt // Mo_1,1.11 //	aByAgamat samam tena BaradvAjena BUta kRt // MaH _1,1.11 //
   parame {#31} cinmātrākhye uttame pade tiṣṭhati śuddhamanorūpatvād iti	parame {#31} cit mAtra AKye uttame pade tizWati SudDa manaH rUpa tvAt iti
   "parameṣṭhī" || MoT_1,1.11 ||	"paramezWI" || MoT_1,1.11 ||
   ***NOTES:	***NOTa ES:
   #31 N11: (uttame) pa°	#31 N11: (uttame) pa°
        tūrṇaṃ sampūjito devaḥ so 'rghyapādyādinā mayā /	tUrNam sampUjitaH devaH saH arGya pAdya AdinA mayA /
        avocan mām mahāsattvaḥ sarvabhūtahite rataḥ // Mo_1,1.12 //	avocat mAm mahAsattvaH sarva BUta hite rataH // MaH _1,1.12 //
                                                     [BhG V 25d]	[Bhu V 25d]
   spaṣṭam || MoT_1,1.12 ||	spazwam || MoT_1,1.12 ||
   brahmā kathayati	brahmA kaTayati
        rāmasvabhāvakathanād asmād varamune tvayā /	rAma svaBAva kaTanAt asmAt vara mune tvayA /
        nodyogaḥ samparityājya ā samāpter aninditāt // Mo_1,1.13 //	na udyogaH samparityAjya A samApteH aninditAt // MaH _1,1.13 //
   "ā samāpteḥ "samāptiparyantam || MoT_1,1.13 ||	"A samApteH "samApti paryantam || MoT_1,1.13 ||
   nanu kimartham udyogaṃ na tyajāmīty | atrāha	nanu kimarTam udyogam na tyajAmi iti | atra Aha
        jñātenānena loko 'yam asmāt saṃsārasaṅkaṭāt /	jQAtena anena lokaH ayam asmAt saMsAra saFkawAt /
        samuttariṣyati kṣipram potenevātha sāgarāt // Mo_1,1.14 //	samuttarizyati kzipram potena iva aTa sAgarAt // MaH _1,1.14 //
   "atha"śabdaḥ pādapūraṇārthaḥ || MoT_1,1.14 ||	"aTa" SabdaH pAda pUraNa arTaH || MoT_1,1.14 ||
        vaktuṃ tavaitam evārtham aham āgatavān {#32} ayam /	vaktum tava etam eva arTam aham AgatavAn {#32} ayam /
        kuru lokahitārthaṃ tvaṃ śāstram ity uktavān ajaḥ // Mo_1,1.15 //	kuru loka hita arTam tvam SAstram iti uktavAn ajaH // MaH _1,1.15 //
   spaṣṭam {#33} | brahmaṇo vākyam upasaṃharati "ity uktavān" iti	spazwam {#33} | brahmaNaH vAkyam upasaMharati "iti uktavAn" iti
   || MoT_1,1.15 ||	|| MoT_1,1.15 ||
   ***NOTES:	***NOTa ES:
   #32 N11, °4: °vānn	#32 N11, °4: °vAnn
   #33 N11: *spaṣṭam*	#33 N11: *spazwam*
        rāma puṇyāśramāt tasmāt kṣaṇād antardhim āgataḥ /	rAma puNya ASramAt tasmAt kzaNAt antarDim AgataH /
        muhūrtād udyataḥ proccais taraṅga iva vāriṇaḥ // Mo_1,1.16 //	muhUrtAt udyataH proccEs taraFgaH iva vAriNaH // MaH _1,1.16 //
   "puṇyāśramāt" pavitrāt madāśramāt | "tasmāt" tasmin samaye gṛhītāt |	"puNya ASramAt" pavitrAt mad ASramAt | "tasmAt" tasmin samaye gRhItAt |
   munayo	munayaH 
   hi {#34} navīnāni navīnāny āśramāṇi gṛhṇanti | brahmā ka "iva" | "taraṅga	hi {#34} navInAni navInAni ASramANi gRhNanti | brahmA kaH "iva" | "taraFga
   iva" | yathā "vāriṇaḥ" "udyataḥ" pūrvam utthitaḥ "taraṅgaḥ" | "muhūrtād	iva" | yaTA "vAriNaH" "udyataH" pUrvam utTitaH "taraFgaH" | "muhUrtAt 
   antardhim" āgacchati tathety arthaḥ || MoT_1,1.16 ||	antarDim" AgacCati taTA iti arTaH || MoT_1,1.16 ||
   ***NOTES:	***NOTa ES:
   #34 N11: *hi*	#34 N11: *hi*
        tasmin prayāte bhagavaty ahaṃ vismayam āgataḥ /	tasmin prayAte Bagavati aham vismayam AgataH /
        punas tatra bharadvājam apṛcchaṃ svacchayā dhiyā // Mo_1,1.17 //	punar tatra BaradvAjam apRcCam svacCayA DiyA // MaH _1,1.17 //
   "bharadvājaṃ" kathambhūtam | upalakṣitaṃ kayā | "svacchayā dhiyā" |	"BaradvAjan" kaTamBUtam | upalakzitam kayA | "svacCayA DiyA" |
   anyathā pṛcchanam ayuktam eva syād iti bhāvaḥ || MoT_1,1.17 ||	anyaTA pRcCanam ayuktam eva syAt iti BAvaH || MoT_1,1.17 ||
   kim apṛccha ity | atrāha	kim apRcCaH iti | atra Aha
        kim etad brahmaṇā proktam bharadvāja vadāśu me /	kim etat brahmaNA proktam BaradvAja vada ASu me /
        ity uktena punaḥ proktam bharadvājena me 'nagha // Mo_1,1.18 //	iti uktena punar proktam BaradvAjena me anaGaH // MaH _1,1.18 //
   "anagha" he doṣarahita rāma || MoT_1,1.18 ||	"anaGa" he doza rahita rAma || MoT_1,1.18 ||
   bharadvājaḥ kathayati	BaradvAjaH kaTayati
        etad uktam bhagavatā yathā rāmāyaṇaṃ kuru /	etat uktam BagavatA yaTA rAmAyaNam kuru /
        sarvalokahitāyāśu saṃsārārṇavapotakam // Mo_1,1.19 //	sarva loka hitAya ASu saMsAra arNava potakam // MaH _1,1.19 //
   "etat"padākāṅkṣām {#35} pūrayati "yathe"ti || MoT_1,1.19 ||	"etat"pada AkAFkzAm {#35} pUrayati "yaTe"ti || MoT_1,1.19 ||
   nanu tatas tava kim ity | atrāha	nanu tatas tava kim iti | atra Aha
        mahyaṃ ca bhagavan brūhi kathaṃ saṃsārasaṅkaṭe /	mahyam ca Bagavan brUhi kaTam saMsAra saFkawe /
        rāmo vyavahṛto 'py asmin bharataś ca mahāmanāḥ // Mo_1,1.20 //	rAmaH vyavahRtaH api asmin BarataH ca mahAmanAH // MaH _1,1.20 //
   "vyavahṛtaḥ" vyavahāraṃ kṛtavān | "api"śabdaḥ asambhāvanādyotakaḥ	"vyavahRtaH" vyavahAram kRtavAn | "api" SabdaH asamBAvanA dyotakaH
   "saṃsārasaṅkaṭe" ity anena sambadhyate {#36} || MoT_1,1.20 ||	"saMsAra saFkawe" iti anena sambaDyate {#36} || MoT_1,1.20 ||
   ***NOTES:	***NOTa ES:
   #35 N11: °pada°; °4: °par*ā*°	#35 N11: °pada°; °4: °par*A*°
   #36 N11, °4: °ddhya°	#36 N11, °4: °dDya°
        śatrughno lakṣmaṇaś cāpi sītā cāpi yaśasvinī /	SatruGnaH lakzmaNaH ca api sItA ca api yaSasvinI /
        rāmānuyāyinas te vā mantriputrā mahādhiyaḥ // Mo_1,1.21 //	rAma anuyAyinaH te vA mantri putrAH mahA ADiyaH // MaH _1,1.21 //
   spaṣṭam || MoT_1,1.21 ||	spazwam || MoT_1,1.21 ||
        nirduḥkhatāṃ yathaite tu prāptās tad brūhi me sphuṭam /	nirduHKa tAm yaTA ete tu prAptAH tat brUhi me sPuwam /
        tathaivāhaṃ tariṣyāmi tato janatayā saha // Mo_1,1.22 //	taTA eva aham tarizyAmi tatas jana tayA saha // MaH _1,1.22 //
   "ete" rāmādayaḥ || MoT_1,1.22 ||	"ete" rAma AdayaH || MoT_1,1.22 ||
   śrīvālmīkiḥ śrīrāmam {#37} prati kathayati	SrIvAlmIkiH SrI rAmam {#37} prati kaTayati
        bharadvājena rājendra yadety ukto 'smi sādaram /	BaradvAjena rAja indra yadA iti uktaH asmi sAdaram /
        tadā kartuṃ vibhor ājñām ahaṃ vaktum pravṛttavān // Mo_1,1.23 //	tadA kartum viBoH AjQAm aham vaktum pravRttavAn // MaH _1,1.23 //
   "asmi" aham | "iti" pūrvoktaprakāreṇa | "uktaḥ" {#38} kathitaḥ | "vibhoḥ"	"asmi" aham | "iti" pUrva ukta prakAreNa | "uktaH" {#38} kaTitaH | "viBoH"
   brahmaṇaḥ || MoT_1,1.23 ||	brahmaNaH || MoT_1,1.23 ||
   ***NOTES:	***NOTa ES:
   #37 °4: om. °rāmam	#37 °4: om. °rAmam
   #38 °4: °ṇoktaḥ	#38 °4: °NA uktaH
   pravṛttim eva sphuṭayati	pravRttim eva sPuwayati
        śṛṇu vatsa bharadvāja yathāpṛṣṭaṃ vadāmi te /	SRNu vatsa BaradvAja yaTApRzwam vadAmi te /
        śrutena yena sammoham alaṃ dūre kariṣyasi // Mo_1,1.24 //	Srutena yena sammoham alam dUre karizyasi // MaH _1,1.24 //
   "alam" atiśayena | "śṛṇv" iti pratijñāṃ sampādayitum prastāvaṃ karoti	"alam" atiSayena | "SRNv" iti pratijQAm sampAdayitum prastAvam karoti
   || MoT_1,1.24 ||	|| MoT_1,1.24 ||
        tathā vyavahara prājña yathā vyavahṛtaḥ sukhī /	taTA vyavahara prAjQa yaTA vyavahRtaH suKI /
        sarvāsaṃsaktayā buddhyā rāmo rājīvalocanaḥ // Mo_1,1.25 //	sarva asaMsaktayA budDyA rAmaH rAjIva locanaH // MaH _1,1.25 //
   "sarvāsaṃsaktayā" samastaphalāsaṅgarahitayā || MoT_1,1.25 ||	"sarvA saMsaktayA" samasta Pala AsaFga rahitayA || MoT_1,1.25 ||
   na kevalaṃ rāma eva kiṃ tv anye 'pīty abhiprāyeṇa kathayati	na kevalam rAmaH eva kim tu anye api iti aBiprAyeNa kaTayati
        lakṣmaṇo bharataś caiva śatrughnaś ca mahāmanāḥ |	lakzmaNaH BarataH ca eva SatruGnaH ca mahAmanAH |
        kausalyā ca sumitrā ca sītā daśarathas tathā || MoT_1,1.26 ||	kOsalyA ca sumitrA ca sItA daSaraTaH taTA || MoT_1,1.26 ||
   spaṣṭam || MoT_1,1.26 ||	spazwam || MoT_1,1.26 ||
        kṛtāsthaś cāvirodhaś ca bodhapāram upāgataḥ /	kRtAsTaH ca aviroDaH ca boDa pAram upAgataH /
        vasiṣṭho vāmadevaś ca mantriṇo 'ṣṭau tathetare // Mo_1,1.27 //	vasizWaH vAmadevaH ca mantriNaH azwO taTA itare // MaH _1,1.27 //
   "kṛtāstha" iti nāma "avirodha" iti ca | "aṣṭau mantriṇaḥ" aṣṭāv amātyās |	"kRta AsTa" iti nAma "aviroDa" iti ca | "azwO mantriNaH" azwO amAtyAH |
   "tathetare" anye 'py aṣṭau mantriṇaḥ | tena ṣoḍaśa mantriṇa iti	"taTA itare" anye api azwO mantriNaH | tena zoxaSa mantriNaH iti
   paramārthaḥ || MoT_1,1.27 ||	parama arTaH || MoT_1,1.27 ||
   "itara" ity asyārthaṃ sphuṭaṃ kathayati	"itara" iti asya arTam sPuwam kaTayati
        ghṛṣṭir vikunto bhāmaś ca satyavardhana eva ca /	GRzwiH vikuntaH BAmaH ca satya varDanaH eva ca /
        vibhīṣaṇaḥ suṣeṇaś ca hanumān indrajit tathā // Mo_1,1.28 //	viBIzaNaH suzeNaH ca hanumAn indrajit taTA // MaH _1,1.28 //
   spaṣṭam || MoT_1,1.28 ||	spazwam || MoT_1,1.28 ||
        ete 'ṣṭāviṃśatiḥ proktāḥ samanīrāgacetasaḥ /	ete azwAviMSatiH proktAH sama nIrAga cetasaH /
        jīvanmuktā mahātmāno yathāprāptānuvartinaḥ // Mo_1,1.29 //	jIvanmuktAH mahAtmAnaH yaTAprApta anuvartinaH // MaH _1,1.29 //
   "yathāprāptānuvartinaḥ" | na tu svaprayatnaniṣṭhā iti yāvat || MoT_1,1.29	"yaTA prApta anuvartinaH" | na tu sva prayatna nizWAH iti yAvat || MoT_1,1.29
        ebhir yathā hṛtaṃ dattaṃ gṛhītam uṣitaṃ smṛtam /	eBiH yaTA hRtam dattam gRhItam uzitam smRtam /
        tathā ced vartase putra mukta evāsi saṅkaṭāt // Mo_1,1.30 //	taTA ced vartase putra muktaH eva asi saFkawAt // MaH _1,1.30 //
   "ebhiḥ" rāmādibhiḥ || MoT_1,1.30 ||	"eBiH" rAma AdiBiH || MoT_1,1.30 ||
   bharadvājasya praśnāvasaradānārthaṃ sargāntaślokena tāvat svavākyam	BaradvAjasya praSna avasara dAna arTam sarga anta Slokena tAvat sva vAkyam
   upasaṃharati	upasaMharati
        apārasaṃsārasamudrapātī	apAra saMsAra samudra pAtI
        labdhvā parāṃ yuktim udārasattvaḥ /	labDvA parAm yuktim udAra sattvaH /
        na śokam āyāti na dainyam eti	na Sokam AyAti na dEnyam eti
        gatajvaras tiṣṭhati nityatṛptaḥ // Mo_1,1.31 //	gata jvaraH tizWati nitya tRptaH // MaH _1,1.31 //
   "apāraḥ" yaḥ "saṃsārasamudraḥ" | tatra "pātī" patanaśīlaḥ | "udārasattvaḥ"	"a pAraH" yaH "saMsAra samudraH" | tatra "pAtI" patana SIlaH | "udAra sattvaH"
   utkṛṣṭadhairyayuktaḥ "puruṣaḥ" | "parām" utkṛṣṭāṃ {#39} | "yuktiṃ"	utkRzwa DErya yuktaH "puruzaH" | "parAm" utkRzwAm {#39} | "yuktiM"
   dṛśyātyantābhāvajñānalakṣaṇāṃ vakṣyamāṇāṃ yuktiṃ | prāpya | "śokam"	dRSya atyanta aBAva jQAna lakzaNAm vakzyamANAm yuktim | prApya | "Sokam"
   apekṣālakṣaṇaṃ śokaṃ | "nāyāti" | tathā "dainyam" dīnatvam | atṛptim iti	apekzA lakzaNam Sokam | "nAyAti" | taTA "dEnyam" dIna tvam | atRptim iti
   yāvat | "naiti" | pratyuta "gatajvaraḥ" apekṣāsvarūpajvararahitaḥ | ata	yAvat | "nEti" | pratyuta "gata jvaraH" apekza asvarUpa jvara rahitaH | ata
   eva "nityatṛptaḥ" "tiṣṭhatī"ti śivam || MoT_1,1.31 ||	eva "nitya tRptaH" "tizWati i"ti Sivam || MoT_1,1.31 ||
   ***NOTES:	***NOTa ES:
   #39 N11: utyaṣṭām; °4: °rā(n)*ṃ* utkṛṣṭā(n)*ṃ*	#39 N11: uti azwAm; °4: °rA(n)*M* utkRzwA(n)*M*
   iti śrībhāskarakaṇṭhaviracitāyāṃ śrīmokṣopāyaṭīkāyāṃ vairāgyaprakaraṇe	iti SrI BAskara kaNWa viracitAyAm SrI mokza upAyawIkAyAm vErAgya prakaraNe
   prathamaḥ sargaḥ || 1,1 ||	praTamaH sargaH || 1,1 ||
   bharadvājaḥ pṛcchati {#1}	BaradvAjaH pRcCati {#1}
        jīvanmuktasthitim brahman kṛtvā rāghavam āditaḥ /	jIvanmukta sTitim brahman kRtvA rAGavam Aditas /
        kramāt kathaya me nityam bhaviṣyāmi sukhī yathā // Mo_1,2.1 //	kramAt kaTaya me nityam BavizyAmi suKI yaTA // MaH _1,2.1 //
   "brahman" śrīvālmīke | tvaṃ | "jīvanmuktasthitiṃ" jīvanmuktamaryādāṃ |	"brahman" SrI vAlmIke | tvam | "jIvanmukta sTitiM" jIvanmukta maryAdAm |
   "rāghavaṃ" śrīrāmam | "āditaḥ" "kṛtvā" | "me kathaya"	"rAGavaM" SrI rAmam | "AditaH" "kRtvA" | "me kaTaya"
   śrīrāmavṛttāntadvāreṇa kathayeti bhāvaḥ | nanu kimarthaṃ kathayāmīty |	SrI rAma vRttAnta dvAreNa kaTaya iti BAvaH | nanu kimarTam kaTayAmi iti |
   atrāha | "bhaviṣyāmī"ti | ahaṃ "yathā" yena jīvanmuktasthitikathanena |	atra Aha | "BavizyAmi i"ti | aham "yaTA" yena jIvanmukta sTiti kaTanena |
   "nityasukhī" jīvanmuktyākhyamahāsukhayukto | "bhaviṣyāmi" || MoT_1,2.1 ||	"nitya suKI" jIvanmukti AKya mahA suKa yuktaH | "BavizyAmi" || MoT_1,2.1 ||
   śrīvālmīkiḥ śrīrāmavṛttāntaśravaṇādhikāritvasampādanārthaṃ tāvat	SrIvAlmIkiH SrI rAma vRttAnta SravaNa aDikAri tva sampAdana arTam tAvat 
   sāmānyenopadeśaṃ karoti	sAmAnyena upadeSam karoti
        bhramasya jāgatasyāsya jātasyākāśavarṇavat /	Bramasya jAgatasya asya jAtasya AkASa varNa vat /
        apunaḥsmaraṇam manye sādho vismaraṇaṃ varam // Mo_1,2.2 //	apunar smaraNam manye sADo vismaraNam varam // MaH _1,2.2 //
   he "sādho" | aham "asya" puraḥ sphurataḥ {#2} | "jāgatasya"	he "sADo" | aham "asya" puras sPurataH {#2} | "jA gatasya"
   jagatsambandhinaḥ | tadviṣayasyeti yāvat | tathā "ākāśavarṇavat"	jagat sambanDinaH | tad vizayasya iti yAvat | taTA "a AkASa varNavat"
   ākāśanīlimavat | "jātasya" prādurbhūtasya | mithyābhātasyeti yāvat |	AkASa nIlim a vat | "jAtasya" prAdurBUtasya | miTyABAtasya iti yAvat |
   "bhramasya" jagattvajñānarūpasya mithyājñānasya | "apunaḥsmaraṇam"	"Bramasya" jagat tva jQAna rUpasya miTyAjQAnasya | "a punar smaraNam"
   punaḥsmṛtiviṣayabhāvānayanam | upekṣām iti {#3} yāvat | "varam" utkṛṣṭaṃ |	punar smRti vizaya BAva Anayanam | upekzAm iti {#3} yAvat | "varam" utkRzwam |
   "vismaraṇam" vismṛtiṃ | "manye" | upekṣā evātra yuktā | na vismṛtiḥ |	"vismaraNam" vismRtim | "manye" | upekzA eva atra yuktA | na vismRtiH |
   tasyāḥ jāḍyavyāptatvād iti bhāvaḥ || MoT_1,2.2 ||	tasyAH jAxya vyApta tvAt iti BAvaH || MoT_1,2.2 ||
   ***NOTES:	***NOTa ES:
   #1 °4: kathayati	#1 °4: kaTayati
   #2 °4: om. puraḥ	#2 °4: om. puras 
   #3 °4: °kṣāmīti	#3 °4: °kzAmi iti
   nanu tad "apunaḥsmaraṇaṃ "kenopāyena bhaviṣyatīty | atrāha	nanu tat "a punar smaraNam "kena upAyena Bavizyati iti | atra Aha
        dṛśyātyantābhāvabodhaṃ vinā tan nānubhūyate /	dRSya atyanta aBAva boDam vinA tat na anuBUyate /
        kadācit kenacin nāma sa bodho 'nviṣyatām ataḥ // Mo_1,2.3 //	kadAcid kenacid nAma sa boDaH anvizyatAm atas // MaH _1,2.3 //
   "nāma" niścaye | "kenacit" puruṣeṇa | "tad" apunaḥsmaraṇaṃ | dṛśyasya ...	"nAma" niScaye | "kena cit" puruzeNa | "tad" apunar smaraNam | dRSyasya ...
         {#5} ajñānasughanākārā ghanāhaṅkāraśālinī /	{#5} ajQAna suGana AkArA Gana ahaFkAra SAlinI /
        punar janmakarī proktā malinā vāsanā budhaiḥ // Mo_1,2.12 //	punar janma karI proktAH malinA vAsanA buDEH // MaH _1,2.12 //
   paṇḍitaiḥ "vāsanā" "malinā" "uktā" | kathambhūtā | "ajñānasughanākārā" |	paNxitEH "vAsanA" "malinA" "uktA" | kaTamBUtA | "a jQAna suGana AkArA" |
   "ajñānena" cinmātrājñānena | "sughanaḥ ākāraḥ" yasyāḥ | sā |	"a jQAnena" cit mAtrA jQAnena | "suGanaH AkAraH" yasyAH | sA |
   cinmātrājñānenaiva hi vāsanā ghanībhavanti | anyathā śuddhacinmātraikyena	cit mAtra ajQAnena eva hi vAsanAH GanIBavanti | anyaTA SudDa cit mAtra Ekyena
   vāsanā kiṃviṣayā syāt | punaḥ kathambhūtā | "ghanaḥ" acchinnaḥ | yaḥ	vAsanA kiMvizayA syAt | punar kaTamBUtAH | "GanaH" acCinnaH | yaH
   "ahaṅkāraḥ" dehādiviṣayaḥ ahambhāvaḥ | tena "śālinī" | vāsanāvaśenaiva hi	"ahaFkAraH" deha Adi vizayaH ahamBAvaH | tena "SAlinI" | vAsanA vaSena eva hi
   dehādiniṣṭhaḥ ahaṅkāro ghanībhavati | punaḥ kathambhūtā | "punaḥ	deha Adi nizWaH ahaFkAraH GanIBavati | punar kaTamBUtA | "punar 
   janmakarī" punar api bhavakarī | padārthabhāvena vyaktībhāvāt	janma karI" punar api Bava karI | padArTa BAvena vyaktIBAvAt 
   || MoT_1,2.12 ||	|| MoT_1,2.12 ||
   śuddhāyāḥ {#6} svarūpaṃ kathayati	SudDAyAH {#6} svarUpam kaTayati
        punarjanmāṅkuratyaktā sthitā sambhṛṣṭabījavat /	punarjanma aFkura tyaktA sTitA samBRzwa bIja vat /
        dehāntaṃ dhriyate jñātajñeyā śuddheti socyate // Mo_1,2.13 //	dehAntam Driyate jQAta jQeyA SudDA iti sA ucyate // MaH _1,2.13 //
   paṇḍitaiḥ "sā" vāsanā | "śuddheti" kathyate | "sā" kā | yā "dehāntaṃ"	paNxitEH "sA" vAsanA | "SudDA iti" kaTyate | "sA" kA | yA "deha antaM"
   dehasthitiparyantam eva | na tu tadanantaram api | "dhriyate" avatiṣṭhate	deha sTiti paryantam eva | na tu tad anantaram api | "Driyate" avatizWate
   | yā kathambhūtā |" punarjanmā"khyen"āṅkureṇa" "tyaktā" | yataḥ	| yA kaTamBUtA |" punar janma a"Kyen"AFkureNa" "tyaktA" | yatas 
   "sambhṛṣṭabījavat" bharjitabījavat | "sthitā" | yathā sambhṛṣṭam bījam	"samBRzwa bIjavat" Barjita bIja vat | "sTitA" | yaTA samBRzwam bIjam
   ākāramātreṇa tiṣṭhati | aṅkurasamarthaṃ na bhavati | tathā śuddhā vāsanāpy	AkAra mAtreNa tizWati | aFkura samarTam na Bavati | taTA SudDAH vA AsanA api 
   ākāramātreṇaiva tiṣṭhati | janmāṅkurotpādanasamarthā {#7} na bhavatīty	AkAra mAtreNa eva tizWati | janma aFkura utpAdana samarTAH {#7} na Bavati iti 
   arthaḥ | punaḥ kathambhūtā | "jñātaṃ jñeyam" avaśyajñeyatvena sthitam	arTaH | punar kaTamBUtA | "jQAtam jQeyam" avaSya jQeya tvena sTitam
   paramātmatattvam | yayā {#8} hetubhūtayā | tādṛśī | śāstravicārādirūpayā	parama Atma tattvam | yayA {#8} hetu BUtayA | tAdRSI | SAstra vicAra Adi rUpayA
   śuddhayā vāsanayaiva hi paramātmatattvaṃ jñāyate || MoT_1,2.13 ||	SudDayA vAsanayA eva hi paramAtma tattvam jQAyate || MoT_1,2.13 ||
   śuddhāyā āśrayaviśeṣaṃ kathayati	SudDAyAH ASraya viSezam kaTayati
        apunarjanmakaraṇī jīvanmukteṣu dehiṣu /	apunarjanma karaNI jIvanmuktezu dehizu /
        vāsanā vidyate śuddhā dehe cakra iva bhramaḥ // Mo_1,2.14 //	vAsanA vidyate SudDAH dehe cakraH iva BramaH // MaH _1,2.14 //
   "jīvanmukteṣu dehiṣu" jīveṣu | "apunarjanmakaraṇī" punarjanmākārikā |	"jIvanmuktezu dehizu" jIvezu | "apunarjanma karaNI" punar janma AkArikAH |
   "śuddhā" "vāsanā dehe vidyate" | na tu citte | kā "iva "| "bhramaḥ" "iva"	"SudDA" "vAsanA dehe vidyate" | na tu citte | kA "iva "| "BramaH" "iva"
   | yathā "bhramaḥ" cākrākāreṇa bhramaṇaṃ | "cakre" vidyate | tathety arthaḥ	| yaTA "BramaH" ca akrAkAreNa BramaNam | "cakre" vidyate | taTA iti arTaH
   | jīvanmuktānāṃ vāsanā {#9} phalādyanusandhānānutpādikā {#10} evāstīti	| jIvanmuktAnAm vAsanA {#9} Pala Adi anusanDAna anutpAdikA {#10} eva asti iti
   bhāvaḥ || MoT_1,2.14 ||	BAvaH || MoT_1,2.14 ||
   ***NOTES:	***NOTa ES:
   #4 N11: folio 5 fehlt. °4: Aussparung bis Ende Ṭīkā "ad" 12	#4 N11: foliaH 5 fehlt. °4: Aussparunc biH Ende ṬIkA "ad" 12
   #5 N11: [ajñānasughanākā]rā	#5 N11: [a jQAna su Gana AkA]rA
   #6 Ende Textaussparung °4	#6 Ende TextOssparunj °4
   #7 N11: °pādasam°; °4: °pāda*na*sam°	#7 N11: °pAda sam°; °4: °pAda*na* sam°
   #8 N11, °4: °thā	#8 N11, °4: °TA
   #9 N11: v*ā*sa°	#9 N11: v*A*sa°
   #10 °4: °lānu°	#10 °4: °lAnu°
   jīvanmuktalakṣaṇaṃ kathayati	jIvanmukta lakzaNam kaTayati
        ye śuddhavāsanā bhūyo na janmānarthabhājanam /	ye SudDa vAsanA BUyas na janma anarTa BAjanam /
        jñātajñeyās ta ucyante jīvanmuktā mahādhiyaḥ // Mo_1,2.15 //	jQAta jQeyAH te ucyante jIvanmuktAH mahA ADiyaH // MaH _1,2.15 //
   "śuddhā vāsanā" yeṣāṃ | te | tādṛśāḥ || MoT_1,2.15 ||	"SudDAH vAsanA" yezAm | te | tAdRSAH || MoT_1,2.15 ||
   sāmānyenopadeśaṃ kṛtvā śrīrāmavṛttāntam ārabhate	sAmAnyena upadeSam kRtvA SrI rAma vRttAntam AraBate
        jīvanmuktapadam prāpto yathā {#11} rāmo mahāmatiḥ /	jIvanmukta padam prAptaH yaTA {#11} rAmaH mahAmatiH /
        tat te 'ham sampravakṣyāmi jarāmaraṇaśāntaye // Mo_1,2.16 //	tat te aham sampravakzyAmi jarA maraNa SAntaye // MaH _1,2.16 //
   nanu kimarthaṃ śrīrāmajīvanmuktiprāptiṃ kathayasīty | atrāha "jare"ti |	nanu kimarTam SrI rAm a jIvat mukti prAptim kaTayasi iti | atra Aha "jare"ti |
   śrīrāmajīvanmuktipadaprāptiśravaṇena hi tavāpi tadvyavahārānusāreṇa	SrI rAmajIvat mukti pada prApti SravaNena hi tava api tad vyavahAra anusAreNa
   jarādiśāntir bhavatīti bhāvaḥ || MoT_1,2.16 ||	jarA Adi SAntiH Bavati iti BAvaH || MoT_1,2.16 ||
   nanu bahūpadeśakāṅkṣiṇo mama kiṃ rāmakramamātrakathanenety | atrāha	nanu bahu upadeSa kAFkziNaH mama kim rAma krama mAtra kaTanena iti | atra Aha
        bharadvāja mahābuddhe rāmakramam imaṃ śubham /	BaradvAja mahAbudDe rAma kramam imam SuBam /
        śṛṇu vakṣyāmi tenaiva sarvaṃ jñāsyasi sarvathā // Mo_1,2.17 //	SRNu vakzyAmi tena eva sarvam jQAsyasi sarvaTA // MaH _1,2.17 //
   "sarvathe"ty anena tataḥ kāpy ākāṅkṣā tava na syād iti bhāvaḥ	"sarvaTe"ti anena tatas kA api AkAFkzA tava na syAt iti BAvaH
   || MoT_1,2.17 ||	|| MoT_1,2.17 ||
   tad eva kathayati	tat eva kaTayati
        vidyāgṛhād viniṣkramya rāmo rājīvalocanaḥ /	vidyA gRhAt vinizkramya rAmaH rAjIva locanaH /
