   1. Gaurava Vilasa	1. GOrava  Vilasa
   tuṣṭe vivakṣatu gurāv atha mantra dīkṣām // Hbhv_1.78 //	tuzwe vivakzatu gurO aTa mantra  dIkzAm // HBu _1.78 //
   atha viśeṣataḥ śrī guru sevā vidhiḥ	aTa viSezataH SrI  guru  sevA  viDiH
   kaurme śrī vyāsa gītāyām 	kOrme SrI  vyAsa gItAyAm  
   udakumbhaṃ kuśān puṣpaṃ samidho 'syāharet sadā |	uda kumBam kuSAn puzpam samiDaH asya Aharet sadA |
   mārjanaṃ lepanaṃ nityam aṅgānāṃ vāsasāṃ caret // Hbhv_1.79 //	mArjanam lepanam nityam aFgAnAm vAsasAm caret // HBu _1.79 //
   nāsya nirmālya śayanaṃ pādukopāsanahāv api |	na asya nirmAlya  Sayanam pAdukA upAsana hO api |
   ākrāmed āsanaṃ chyāyām āsandīṃ vā kadācana // Hbhv_1.80 //	AkrAmet Asanam CyAyAm AsandIm vA kadAcana // HBu _1.80 //
   sādhayed danta kāṣṭhādīn kṛtyaṃ cāsmai nivedayeet // Hbhv_1.81 //	sADayet danta  kAzWa AdIn kRtyam ca asmE nivedayeet // HBu _1.81 //
   anāpṛcchya na gantavyaṃ bhavet priya hite rasaḥ |	anApRcCya na gantavyam Bavet priya  hite rasaH |
   na pādau sārayed asya sannidhāne kadācana // Hbhv_1.82 //	na pAdO sArayet asya sanniDAne kadAcana // HBu _1.82 //
   jṛmbhā hāsyādikaṃ caiva kaṇṭha prāvaraṇaṃ tathā |	jRmBA hAsya Adikam ca eva kaNWa  prAvaraNam taTA |
   varjayet sannidhau nityam athāsphoṭanam eva ca // Hbhv_1.83 //	varjayet sanniDO nityam aTa AsPowanam eva ca // HBu _1.83 //
   kiṃ ca 	kim ca 
   śreyas tu guruvad vṛttir nityam eva samācaret |	SreyaH tu guru vat vRttiH nityam eva samAcaret |
   guru putreṣu dāreṣu guroś caiva sva bandhuṣu // Hbhv_1.84 //	guru putrezu dArezu guroH ca eva sva  banDuzu // HBu _1.84 //
   utsādanaṃ vai gātrāṇāṃ snāpanocchiṣṭa bhojane |	utsAdanam vE gAtrANAm snApana ucCizwa  Bojane |
   na kuryād guru putrasya pādayoḥ śaucam eva ca // Hbhv_1.85 //	na kuryAt guru putrasya pAdayoH SOcam eva ca // HBu _1.85 //
   guruvat paripūjyāś ca sa varṇā guru yoṣitaḥ |	guru vat paripUjyAH ca sa varNAH guru  yozitaH |
   asavarṇās tu sampūjyāḥ pratyutthānābhivādanaiḥ // Hbhv_1.86 //	asavarNAH tu sampUjyAH pratyutTAna aBivAdanEH // HBu _1.86 //
   abhyañjanaṃ snāpanaṃ ca gātrotsādanam eva ca |	aByaQjanam snApanam ca gAtra utsAdanam eva ca |
   guru patnyā ca kāryāṇi keśānāṃ ca prasādhanam // Hbhv_1.87 //	guru patnyA ca kAryANi keSAnAm ca prasADanam // HBu _1.87 //
   devy āgame śrī śivoktau 	devy Agame SrI  Siva uktO 
   guru śayyāsanaṃ yānaṃ pāduke pāda pīṭhakam |	guru SayyA Asanam yAnam pAduke pAda  pIWakam |
   snānodakaṃ tathā chāyāṃ laṅghayen na kadācana // Hbhv_1.88 //	snAna udakam taTA CAyAm laFGayet na kadAcana // HBu _1.88 //
   guror agre pṛthak pūjām advaitaṃ ca parityajet |	guroH agre pRTak  pUjAm advEtam ca parityajet |
   dīkṣāṃ vyākhyāṃ prabhutvaṃ ca guror agre vivarjayet // Hbhv_1.89 //	dIkzAm vyAKyAm praBu tvam ca guroH agre vivarjayet // HBu _1.89 //
   śrī nāradoktau 	SrI nArada uktO 
   yatra yatra guruṃ paśyet tatra tatra kṛtāñjali |	yatra yatra gurum paSyet tatra tatra kRta aQjali |
   praṇamet daṇḍavad bhūmau chinna mūla iva drumaḥ // Hbhv_1.90 //	praNamet daNxa vat BUmO Cinna  mUlaH iva drumaH // HBu _1.90 //
   guror vākyāsanaṃ yānaṃ pādukopānahau tathā |	guroH vAkya Asanam yAnam pAdukA upAnahO taTA |
   vastraṃ chāyāṃ tathā śiṣyo laṅghayen na kadācana // Hbhv_1.91 //	vastram CAyAm taTA SizyaH laFGayet na kadAcana // HBu _1.91 //
   śrī manu smṛtau  (not found)	SrI m anu  smRtO (not found)
   nodāhared guror nāma parokṣam api kevalam |	na udAharet guroH nAma parokzam api kevalam |
   na caivāsyānukurvīta gati bhāṣaṇa ceṣṭitam // Hbhv_1.92 //	na ca eva asya anukurvIta gati BAzaNa  cezwitam // HBu _1.92 //
   guror gurau sannihite guruvad dhṛtim ācaret |	guroH gurO sannihite guru vat DRtim Acaret |
   na cāvisṛṣṭo guruṇā svān gurūn abhivādayet // Hbhv_1.93 //	na ca avisRzwaH guruNA svAn gurUn aBivAdayet // HBu _1.93 //
   śrī nārada pañcarātre 	SrI nArada  paQcarAtre 
   yathā tathā yatra tatra na gṛhṇīyāc ca kevalam |	yaTA taTA yatra tatra na gRhNIyAt ca kevalam |
   abhaktyā na guror nāma gṛhṇīyāc ca yatātmavān // Hbhv_1.94 //	aBaktyA na guroH nAma gRhNIyAt ca yata AtmavAn // HBu _1.94 //
   praṇavaḥ śrīs tato nāma viṣṇu śabdād anantaram |	praNavaH SrIH tatas nAma vizNu  SabdAt anantaram |
   pāda śabda sametaṃ ca nata mūrdhāñjalī yutaḥ // Hbhv_1.95 //	pAda  Sabda  sametam ca nata  mUrDa aQjalI  yutaH // HBu _1.95 //
   kiṃ ca 	kim ca 
   na tam ājñāpayen mohāt tasyājñāṃ na ca laṅghayet |	na tam AjQApayet mohAt tasya AjQAm na ca laFGayet |
   nānivedya guroḥ kiñcid bhoktavyaṃ vā guros tathā // Hbhv_1.96 //	na anivedya guroH kiQcid Boktavyam vA guroH taTA // HBu _1.96 //
   anyatra ca 	anyatra ca 
   āyāntam agrato gacched gacchantaṃ tam anuvrajet |	AyAntam agratas gacCet gacCantam tam anuvrajet |
   āsane śayane vāpi na tiṣṭhed agrato guroḥ // Hbhv_1.97 //	Asane Sayane vA api na tizWet agratas guroH // HBu _1.97 //
   yat kiñcid anna pānādi priyaṃ dravyaṃ manoramam |	yat kiQcid anna pAna Adi priyam dravyam manoramam |
   samarpya gurave paścāt svayaṃ bhuñjīta pratyaham // Hbhv_1.98 //	samarpya gurave paScAt svayam BuQjIta pratyaham // HBu _1.98 //
   śrī viṣṇu smṛtau 	SrI  vizNu  smRtO 
   na guror apriyaṃ kuryāt tāḍitaḥ pīḍito 'pi vā |	na guroH apriyam kuryAt tAxitaH pIxitaH api vA |
   nāvamanyeta tad vākyaṃ nāpriyaṃ hi samācaret // Hbhv_1.99 //	na avamanyeta tat  vAkyam na apriyam hi samAcaret // HBu _1.99 //
   ācāryasya priyaṃ kuryāt prāṇair api dhanair api |	AcAryasya priyam kuryAt prANEH api DanEH api |
   karmaṇā manasā vācā sa yāti paramāṃ gatim // Hbhv_1.100 //	karmaNA manasA vAcA sa yAti paramAm gatim // HBu _1.100 //
   śrī nārada pañcarātre  	SrI nArada  paQcarAtre  
   yo vakti nyāya rahitam anyāyena śṛṇoti yaḥ |	yaH vakti nyAya  rahitam anyAyena SRNoti yaH |
   tāv ubhau narakaṃ ghoraṃ vrajataḥ kālam akṣayam // Hbhv_1.101 //	tO uBO narakam Goram vrajataH kAlam akzayam // HBu _1.101 //
   vaiṣṇava tantre  	vEzNava  tantre  
   trāyasva bho jagannātha guro saṃsāra vahninā |	trAyasva Bo jagannATa guro saMsAra   vahninA |
   dagdhaṃ māṃ kāla daṣṭaṃ ca tvām ahaṃ śaraṇaṃ gataḥ // Hbhv_1.102 //	dagDam mAm kAla dazwam ca tvAm aham SaraNam gataH // HBu _1.102 //
   iti	iti
   tatra śrī vāsudevasya sarva deva śiromaṇeḥ |	tatra SrI vAsudevasya sarva  deva  SiraH maNeH |
   pādāmbujaika bhāg eva dīkṣā grāhyā manīṣibhiḥ // Hbhv_1.103 //	pAda ambuja eka BAj eva dIkzA grAhyA manIziBiH // HBu _1.103 //
   prathama skandhe [BhP 1.2.23]  	praTama skanDe [Bhj 1.2.23]  
   sattvaṃ rajas tama iti prakṛter guṇās tair	sattvam rajaH tamaH iti prakRteH guNAH tEH 
   yuktaḥ parama puruṣa eka ihāsya dhatte |	yuktaH parama  puruzaH ekaH iha asya Datte |
   sthity ādaye hari viriñci hareti saṃjñāḥ	sTiti  Adaye hari viriQci  harA iti saMjQAH
   śreyāṃsi tatra khalu sattva tanor nṝṇāṃ syuḥ // Hbhv_1.104 //	SreyAMsi tatra Kalu sattva  tanoH nLNAm syuH // HBu _1.104 //
   kiṃ ca [BhP 1.18.21]  	kim ca [Bhu 1.18.21]  
   athāpi yat pāda nakhāvasṛṣṭaṃ	aTa api yat pAda  naKa avasRzwam
   jagad viriñcopahṛtārhaṇāmbhaḥ |	jagat viriQca upahRta arhaNa amBaH |
   seśaṃ punāty anyatamo mukundāt	sa ISam punAti anyatamaH mukundAt 
   ko nāma loke bhagavat padārthaḥ // Hbhv_1.105 //	kaH nAma loke Bagavat  padArTaH // HBu _1.105 //
   śrī daśama skandhe [BhP 10.89.15]  	SrI daSama  skanDe [Bhj 10.89.15]  
   tan niśamyātha munayo vismitā mukta saṃśayāḥ |	tat niSamya aTa munayaH vismitAH mukta saMSayAH |
   bhūyāṃsaṃ śraddadhur viṣṇuṃ yataḥ śāntir yato 'bhayam // Hbhv_1.106 //	BUyAMsam SraddaDuH vizNum yatas SAntiH yatas aBayam // HBu _1.106 //
   pādme vaiśākha māhātmye yama brāhmaṇa saṃvāde [PadmaP 5.97.27]   	pAdme vESAKa mAhAtmye yama  brAhmaNa  saMvAde [Pat maP 5.97.27]   
   vyāmohāya carācarasya jagatas te te purāṇāgamās	vyAmohAya carAcarasya jagataH te te purANa AgamAH 
   tāṃ tām eva hi devatāṃ paramikāṃ jalpantu kalpāvadhi |	tAm tAm eva hi devatAm paramikAm jalpantu kalpa avaDi |
   siddhānte punar eka eva bhagavān viṣṇuḥ samastāgama 	sidDAnte punar ekaH eva BagavAn vizNuH samasta Agama 
   vyāpāreṣu vivecana vyatikaraṃ nīteṣu niścīyate // Hbhv_1.107 //	vyApArezu vivecana  vyatikaram nItezu niScIyate // HBu _1.107 //
   nārasiṃhe  	nArasiMhe  
   satyaṃ satyaṃ punaḥ satyam utkṣipya bhujam ucyate |	satyam satyam punar satyam utkzipya Bujam ucyate |
   vedāc chāstraṃ paraṃ nāsti na devaḥ keśavāt paraḥ // Hbhv_1.108 //	vedAt SAstram param na asti na devaH keSavAt paraH // HBu _1.108 //
   yataḥ pādme  	yatas pAdme  
   arir mitraṃ viṣṃ pathyam adharmo dharmatāṃ vrajet |	ariH mitram vizm paTyam aDarmaH Darma tAm vrajet |
   suprasanne hṛṣīkeśe viparīte viparyayaḥ // Hbhv_1.109 //	su prasanne hRzIkeSe viparIte viparyayaH // HBu _1.109 //
   tatraiva śrī bhagavad vākyam 	tatra eva SrI  Bagavat  vAkyam 
   man nimittaṃ kṛtaṃ pāpam api dharmāya kalpate |	man  nimittam kRtam pApam api DarmAya kalpate |
   mām anādṛtya dharmo 'pi pāpaṃ syān mat prabhāvataḥ // Hbhv_1.110 //	mAm anAdRtya DarmaH api pApam syAt mat  praBAvataH // HBu _1.110 //
   ataevoktaṃ skānde śrī brahma nārada saṃvāde  	ataeva uktam skAnde SrI  brahma  nAra da  saMvAde  
   vāsudevaṃ parityajya yo 'nyaṃ devam upāsate |	vAsudevam parityajya yaH anyam devam upAsate |
   sva mātaraṃ parityajya śvapacīṃ vandate hi saḥ // Hbhv_1.111 //	sva  mAtaram parityajya SvapacIm vandate hi saH // HBu _1.111 //
   tatraivānyatra  	tatra eva anyatra  
   vāsudevaṃ parityajya yo 'nyaṃ devam upāsate |	vAsudevam parityajya yaH anyam devam upAsate |
   tyaktvāmṛtaṃ sa mūḍhātmā bhuṅkte halāhalaṃ viṣam // Hbhv_1.112 //	tyaktvA amRtam sa mUXa AtmA BuFkte halAhalam vizam // HBu _1.112 //
   mahābhārate  	mahABArate  
   yas tu viṣṇuṃ parityajya mohād anyam upāsate |	yaH tu vizNum parityajya mohAt anyam upAsate |
   sa hema rāśim utsṛjya pāṃśu rāśiṃ jighṛkṣati // Hbhv_1.113 //	sa hema  rASim utsRjya pAMSu  rASim jiGRkzati // HBu _1.113 //
   anādṛtya tu yo viṣṇum anya devaṃ samāśrayet |	anAdRtya tu yaH vizNum anya devam samASrayet |
   gaṅgāmbhasaḥ sa tṛṣṇārto mṛga tṛṣṇāṃ pradhāvati // Hbhv_1.114 //	gaFgA amBasaH sa tRzNA ArtaH mRga tRzNAm praDAvati // HBu _1.114 //
   pañcarātre  	paQca rAtre  
   yo mohād viṣṇum anyena hīna devena durmatiḥ |	yaH mohAt vizNum anyena hIna  devena durmatiH |
   sādhāraṇaṃ sakṛd brūte so 'ntyajo nāntyajo 'ntyajaḥ // Hbhv_1.115 //	sADAraNam sakRt brUte saH antyajaH na antyajaH antyajaH // HBu _1.115 //
   vaiṣṇava tantre  	vEzNava  tantre  
   na labheyuḥ punar bhaktiṃ harer aikāntikīṃ jaṅāḥ |	na laBeyuH punar Baktim hareH EkAntikIm jaFAH |
   ekāgra manasaś cāpi viṣṇu sāmānya darśinaḥ // Hbhv_1.116 //	ekAgra manasaH ca api vizNu  sAmAnya  darSinaH // HBu _1.116 //
   anyatra ca  	anyatra ca  
   yas tu nārāyaṇaṃ devaṃ brahma rudrādi daivataiḥ |	yaH tu nArAyaNam devam brahma rudra Adi dEvatEH |
   samatvenaiva vīkṣeta sa pāṣaṇḍī bhaved dhruvam // Hbhv_1.117 //	samatvena eva vIkzeta sa pAzaNxI Bavet Druvam // HBu _1.117 //
   iti	iti
   sahasra nāma stotrādau ślokaughāḥ santi cedṛśāḥ |	sahasra nAma  stotra AdO Sloka oGAH santi ca IdRSAH |
   viśeṣataḥ sattva niṣṭhaiḥ sevoy viṣṇur na cāparaḥ // Hbhv_1.118 //	viSezataH sattva  nizWEH sevoy vizNuH na ca aparaH // HBu _1.118 //
   tathā ca śrī hari vaṃśe śiva vākyam  	taTA ca SrI hari vaMSe Siva vAkyam  
   harir eva sadārādhyo bhavadbhiḥ sattva saṃsthitaiḥ |	hariH eva sat A ArADyaH BavadBiH sattva  saMsTitEH |
   viṣṇu mantraṃ sadā viprāḥ paṭhadhvaṃ dhyāta keśavam // Hbhv_1.119 //	vizNu  mantram sadA viprAH paWaDvam DyAta keSavam // HBu _1.119 //
   iti	iti
   īdṛṅ māhātmya vākyeṣu saṅgṛhīteṣu sarvataḥ |	IdRF  mAhAtmya  vAkyezu saFgRhItezu sarvatas |
   grantha bāhulya doṣaḥ syāl likhyante'pekṣitāni tat // Hbhv_1.120 //	granTa  bAhulya dozaH syAt liKyante apekzitAni tat // HBu _1.120 //
   atha śrī vaiṣṇava mantra māhātmyam	aTa SrI vEzNava mantra  mAhAtmyam
   āgame 	Agame 
   mantrān śrī mantra rājādīn vaiṣṇavān gurv anugrahāt |	mantrAn SrI mantra  rAja AdIn vEzNavAn guru  anugrahAt |
   sarvaiśvaryaṃ japan prāpya yāti viṣṇoḥ paraṃ padam // Hbhv_1.121 //	sarva ESvaryam japan prApya yAti vizNoH param padam // HBu _1.121 //
   puṇyaṃ varṣa sahasrair yaiḥ kṛtaṃ suvipulaṃ tapaḥ |	puNyam varza  sahasrEH yEH kRtam su vipulam tapaH |
   japanti vaiṣṇavān mantrān narās te loka pāvanāḥ // Hbhv_1.122 //	japanti vEzNavAn mantrAn narAH te loka  pAvanAH // HBu _1.122 //
   vaiṣṇave ca 	vEzNave ca 
   prajapan vaiṣṇavān mantrān yaṃ yaṃ paśyati cakṣuṣā |	prajapan vEzNavAn mantrAn yam yam paSyati cakzuzA |
   padā vā saṃspṛśet sadyo mucyate'sau mahā bhayāt // Hbhv_1.123 //	padA vA saMspRSet sadyas mucyate asO mahA BayAt // HBu _1.123 //
   iti	iti
   likhyate viṣṇu mantrāṇāṃ mahimātha viśeṣataḥ |	liKyate vizNu  mantrANAm mahimA aTa viSezataH |
   tātparyataḥ śrī gopāla mantra māhātmya puṣṭaye // Hbhv_1.124 //	tAtparyataH SrI  gopAla mantra  mAhAtmya  puzwaye // HBu _1.124 //
   tatra dvādaśākṣarāṣṭākṣarayor māhātmyam	tatra dvAdaSa akzara azwa akzarayoH mAhAtmyam
   padma purāṇe devadūta vikuṇḍala saṃvāde 	padma purANe deva dUta  vikuNxala  saMvAde 
   sāṅgaṃ sa mudraṃ sa nyāsaṃ sa ṛṣi daivatam |	sAFgam sa mudram sa nyAsam sa  Rzi dEvatam |
   sa dīkṣā vidhi sa dhyānaṃ sa yantraṃ dvādaśākṣaram // Hbhv_1.125 //	sa dIkzA  viDi sa DyAnam sa yantram dvAdaSa akzaram // HBu _1.125 //
   aṣṭākṣaraṃ ca mantreśaṃ ye japanti narottamāḥ |	azwa akzaram ca mantreSam ye japanti nara uttamAH |
   tān dṛṣṭvā brahmahā śudhyete yato viṣṇavaḥ svayam // Hbhv_1.126 //	tAn dRzwvA brahma hA SuDyete yatas vizNavaH svayam // HBu _1.126 //
   śaṅkhinaś cakriṇo bhūtvā brahmāyur vana mālinaḥ |	SaFKinaH cakriNaH BUtvA brahma AyuH vana mAlinaH |
   vasanti vaiṣṇave loke viṣṇu rūpeṇa te narāḥ // Hbhv_1.127 //	vasanti vEzNave loke vizNu  rUpeNa te narAH // HBu _1.127 //
   tatraiva dvādaśākṣarayas caturtha skandhe [BhP 4.8.53]   	tatra eva dvAdaSa akzarayaH caturTa skanDe [Bhj 4.8.53]   
   japaś ca paramo guhyaḥ śrūyatāṃ me nṛpātmaja |	japaH ca paramaH guhyaH SrUyatAm me nRpa Atmaja |
   yaṃ sapta rātraṃ prapaṭhan pumān paśyati khecarān // Hbhv_1.128 //	yam sapta  rAtram prapaWan pumAn paSyati KecarAn // HBu _1.128 //
   śrī viṣṇu purāṇe [ViP 1.6.40]	SrI  vizNu purANe [ViS 1.6.40]
   gatvā gatvā nivartante candra sūryādayo grahāḥ |	gatvA gatvA nivartante candra  sUrya AdayaH grahAH |
   adyāpi na nivartante dvādaśākṣara cintakāḥ // Hbhv_1.129 //	adya api na nivartante dvAdaSa akzara  cintakAH // HBu _1.129 //
   aṣṭākṣarasya, yathā nārada pañcarātre 	azwa akzarasya, yaTA nArada paQcarAtre 
   trayo vedāḥ ṣaḍ aṅgāni chandāṃsi vividhāḥ surāḥ |	trayaH vedAH zaz  aFgAni CandAMsi viviDAH surAH |
   sarvam aṣṭākṣarāntaḥsthaṃ yac cānyad api vāṅ mayam // Hbhv_1.130 //	sarvam azwa akzara antaHsTam yat ca anyat api vAc  mayam // HBu _1.130 //
   sarva vedānta sārārthaṃ saṃsārārṇava tāraṇaḥ |	sarva vedAnta  sAra arTam saMsAra arNava  tAraNaH |
   gatir aṣṭākṣaro nṝṇāṃ na punar bhava kāṅkṣiṇām // Hbhv_1.131 //	gatiH azwa akzaraH nLNAm na punar Bava  kAFkziNAm // HBu _1.131 //
   yatrāṣṭākṣara saṃsiddho mahā bhāgo mahīyate |	yatra azwa akzara  saMsidDaH mahA BAgaH mahIyate |
   na tatra sañcariṣyanti vyādhi durbhikṣa taskarāḥ // Hbhv_1.132 //	na tatra saQcarizyanti vyADi  durBikza  taskarAH // HBu _1.132 //
   deva dānava gandharvāḥ siddha vidyādharādayaḥ |	deva  dAnava  ganDarvAH sidDa vidyADara AdayaH |
   praṇamanti mahātmānam aṣṭākṣara vidaṃ naram // Hbhv_1.133 //	praNamanti mahAtmAnam azwa akzara  vidam naram // HBu _1.133 //
   vyaktaṃ hi bhagavān eva sākṣān nārāyaṇaḥ svayam |	vyaktam hi BagavAn eva sAkzAt nArAyaNaH svayam |
   aṣṭākṣara svarūpeṇa mukheṣu parivartate // Hbhv_1.134 //	azwa akzara  svarUpeNa muKezu parivartate // HBu _1.134 //
   pādmottara khaṇḍe [PadmaP 6.226.18]   	pAdma uttara   KaNxe [Pat maP 6.226.18]   
   evam aṣṭākṣaro mantro jñeyaḥ sarvārtha sādhakaḥ |	evam azwa akzaraH mantraH jQeyaH sarva arTa  sADakaH |
   sarva duḥkha haraḥ śrīmān sarva mantrātmakaḥ śubhaḥ // Hbhv_1.135 //	sarva  duHKa haraH SrImAn sarva mantra AtmakaH SuBaH // HBu _1.135 //
   liṅga purāṇe 	liFga purANe 
   kim anyair bahubhir mantraiḥ kim anyair bahubhir vrataiḥ |	kim anyEH bahuBiH mantrEH kim anyEH bahuBiH vratEH |
   namo nārāyaṇeti mantraḥ sarvārtha sādhakaḥ // Hbhv_1.136 //	namaH nArAyaNa iti mantraH sarva arTa  sADakaH // HBu _1.136 //
   tasmāt sarveṣu kāleṣu namo nārāyaṇeti yaḥ |	tasmAt sarvezu kAlezu namaH nArAyaNa iti yaH |
   japet sa yāti viprendra viṣṇu lokaṃ sa bāndhavaḥ // Hbhv_1.137 //	japet sa yAti vipra indra vizNu  lokam sa bAnDavaH // HBu _1.137 //
   bhaviṣya purāṇe 	Bavizya purANe 
   aṣṭākṣaro mahā mantraḥ sarva pāpa haraḥ paraḥ |	azwa akzaraH mahA mantraH sarva pApa  haraH paraH |
   sarveṣāṃ viṣṇu mantrāṇāṃ rājatve parikīrtitaḥ // Hbhv_1.138 //	sarvezAm vizNu  mantrANAm rAja tve parikIrtitaH // HBu _1.138 //
   śrī śuka vyāsa saṃvāde ca 	SrI  Suka  vyAsa  saMvAde ca 
   namo nārāyaṇāyeti mantraḥ sarvārtha sādhakaḥ |	namaH nArAyaNAya iti mantraH sarva arTa  sADakaH |
   bhaktānāṃ japatāṃ tāta svarga mokṣa phala pradaḥ // Hbhv_1.139 //	BaktAnAm japatAm tAta svarga mokza  Pala  pradaH // HBu _1.139 //
   eṣa eva paro mokṣa eṣa svarga udāhṛtaḥ |	ezaH eva paraH mokzaH eza svargaH udAhRtaH |
   sarva veda rahasyebhyaḥ sāra eṣa samuddhṛtaḥ // Hbhv_1.140 //	sarva veda  rahasyeByaH sAraH eza samudDRtaH // HBu _1.140 //
   viṣṇunā vaiṣṇavānāṃ tu hitāya manunā purā |	vizNunA vEzNavAnAm tu hitAya manunA purA |
   kīrtitaḥ sarva pāpaghnaḥ sarva kāma pradāyakaḥ // Hbhv_1.141 //	kIrtitaH sarva pApa GnaH sarva kAma  pradAyakaH // HBu _1.141 //
   nārāyaṇāya nama ity ayam eva satyaṃ	nArAyaNAya namaH iti ayam eva satyam
   saṃsāra ghora viṣa saṃharaṇāya mantraḥ |	saMsAra Gora  viza  saMharaNAya mantraH |
   śṛṇvantu satya matayo muditās tarāgā	SRNvantu satya matayaH muditAH tarAgA
   uccais tarām upadiśāmy aham ūrdhva bāhuḥ // Hbhv_1.142 //	uccEs tarAm upadiSAmi aham UrDva bAhuH // HBu _1.142 //
   bhūtvordhva bāhur adyāhaṃ satya pūrvaṃ bravīmi vaḥ |	BUtvA UrDva bAhuH adya aham satya  pUrvam bravImi vaH |
   he putra śiṣyāḥ śṛṇuta na mantro 'ṣṭākṣarāt paraḥ // Hbhv_1.143 //	he putra  SizyAH SRNuta na mantraH azwa akzarAt paraH // HBu _1.143 //
   ataevoktaṃ gāruḍe 	ataeva uktam gAruxe 
   āsīno vā śayāno vā tiṣṭhāno yatra tatra vā |	AsInaH vA SayAnaH vA tizWAnaH yatra tatra vA |
   namo nārāyaṇeti mantraika śaraṇo bhavet // Hbhv_1.144 //	namaH nArAyaNa iti mantra eka SaraNaH Bavet // HBu _1.144 //
   tāpanī śrutiṣu [NṛsiṃhaTU 1.5.8]	tApanI  Srutizu [NR siMhaTU 1.5.8]
   devā ha vai prajāpatim abruvann ānuṣṭubhasya mantra rājasya nārasiṃhasya	devAH ha vE prajApatim abruvan AnuzwuBasya mantra rAjasya nArasiMhasya
   phalaṃ no brūhi bhagava iti sa hovāca prajāpatirya etaṃ mantra rājaṃ	Palam naH brUhi BagavaH iti sa ha uvAca prajApatiH yaH etam mantra rAjam
   nārasiṃham ānuṣṭubhaṃ nityam adhīte so 'gni pūto bhavati sa vāyu pūto	nArasiMham AnuzwuBam nityam aDIte saH agni pUtaH Bavati sa vAyu  pUtaH 
   bhavati sa āditya pūto bhavati sa soma pūto bhavati sa satya pūto bhavati	Bavati saH Aditya  pUtaH Bavati sa soma pUtaH Bavati sa satya  pUtaH Bavati
   sa brahma pūto bhavati sa viṣṇu pūto bhavati sa rudra pūto bhavati sa	sa brahma pUtaH Bavati sa vizNu  pUtaH Bavati sa rudra  pUtaH Bavati sa
   sarva pūto bhavati sa sarva pūto bhavati // Hbhv_1.145 //	sarva pUtaH Bavati sa sarva pUtaH Bavati // HBu _1.145 //
   tatraivānte [NṛsiṃhaTU 5.9 10] 	tatra eva ante [NR siMhaTU 5.9 10] 
   anupanīta śatam ekam ekenopanītena tat samam | upanīta śatam ekam ekena	anupanIta  Satam ekam ekena upanItena tat samam | upanIta  Satam ekam ekena
   gṛhasthena tat samam | gṛhastha śatam ekam ekena vānaprasthena tat samaṃ |	gRhasTena tat samam | gRhasTa  Satam ekam ekena vAnaprasTena tat samam |
   vānaprastha śatam ekam ekena yatinā tat samaṃ | yatīnāṃ tu śataṃ pūrṇam	vAnaprasTa  Satam ekam ekena yatinA tat samam | yatInAm tu Satam pUrNam
   ekam ekena rudra jāpakena tat samam | rudra jāpaka śatam ekam ekena	ekam ekena rudra  jApakena tat samam | rudra jApa ka Satam ekam ekena
   atharva śiraḥ śikhādhyāpakena tat samam |	aTarva  SiraH SiKA aDyApakena tat samam |
   tad vā etat paramaṃ dhāma mantra rājādhyāpakasya yatra na sūryas tapati	tat vE etat paramam DAma mantra rAja aDyApakasya yatra na sUryaH tapati
   yatra na vāyur vāti yatra na candramā bhāti yatra na nakṣatrāṇi bhānti	yatra na vAyuH vAti yatra na candramAH BAti yatra na nakzatrANi BAnti
   yatra nāgnir dahati yatra na mṛtyuḥ praviśati yatra na duḥkhaṃ sadānandaṃ	yatra na agniH dahati yatra na mRtyuH praviSati yatra na duHKam sat Anandam
   paramānandaṃ śāntaṃ śāśvataṃ sadā śivaṃ brahmādi vanditaṃ yogi dhyeyaṃ	parama Anandam SAntam SASvatam sadA Sivam brahma Adi  vanditam yogi Dyeyam
