   pañcatantram	paQcatantram
   supūrā syāt kunadikā supūro mūṣikāñjaliḥ |	supUrA syAt kunadikA supUraH mUzikAQjaliH |
   susaṃtuṣṭaḥ kāpuruṣaḥ svalpakenāpi tuṣyati ||Panc_1.26||	su saMtuzwaH kApuruzaH su alpakena api tuzyati ||Pan= _1.26||
   kiṃ ca 	kim ca 
   kiṃ tena jātu jātena māṭur yauvana hāriṇā |	kim tena jAtu jAtena mAwuH yOvana hAriNA |
   ārohati na yaḥ svasya vaṃśasyāgre dhvajo yathā ||Panc_1.27||	Arohati na yaH svasya vaMSasya agre DvajaH yaTA ||Pan= _1.27||
   parivartini saṃsāre mṛtaḥ ko vā na jāyate |	parivartini saMsAre mRtaH kaH vA na jAyate |
   jātas tu gaṇyate so 'tra yaḥ sphurec ca śriyādhikaḥ ||Panc_1.28||	jAtaH tu gaNyate saH atra yaH sPuret ca SriyA aDikaH ||Pan= _1.28||
   kiṃ ca 	kim ca 
   jātasya nadī tīre tasyāpi tṛṇasya janma sāphalyam |	jAtasya nadI  tIre tasya api tRNasya janma  sAPalyam |
   yat salila majjanākula jana hastālambanaṃ bhavati ||Panc_1.29||	yat salila  majjana Akula  jana  hasta Alambanam Bavati ||Pan= _1.29||
   tathā ca 	taTA ca 
   stimitonnata sañcārā jana santāpa hāriṇaḥ |	stimita unnata  saQcArAH jana  santApa  hAriNaH |
   jāyante viralā loke jaladā iva sajjanāḥ ||Panc_1.30||	jAyante viralAH loke jaladAH iva sat janAH ||Pan= _1.30||
   niratiśayaṃ garimāṇaṃ tena	niratiSayam garimANam tena
   jananyāḥ smaranti vidvāṃsaḥ |	jananyAH smaranti vidvAMsaH |
   yat kam api vahati garbhaṃ	yat kam api vahati garBam
   mahatām api yo gurur bhavati ||Panc_1.31||	mahatAm api yaH guruH Bavati ||Pan= _1.31||
   aprakaṭīkṛta śaktiḥ śakto 'pi janas tiraskriyāṃ labhate |	aprakawIkRta SaktiH SaktaH api janaH tiraskriyAm laBate |
   nivasann antar dāruṇi laṅghyo vahnir na tu jvalitaḥ ||Panc_1.32||	nivasan antar dAruNi laFGyaH vahniH na tu jvalitaH ||Pan= _1.32||
   karaṭaka āha  āvāṃ tāvad apradhānau tat kim āvayor anena vyāpareṇa |	karawakaH Aha AvAm tAvat apraDAnO tat kim AvayoH anena vyApareNa |
   uktaṃ ca 	uktam ca 
   apṛṣṭo 'trāpradhāno yo brūte rājñaḥ puraḥ kudhīḥ |	apRzwaH atra apraDAnaH yaH brUte rAjQaH puras kuDIH |
   na kevalam asaṃmānaṃ labhate ca viḍambanam ||Panc_1.33||	na kevalam asaMmAnam laBate ca vixambanam ||Pan= _1.33||
   tathā ca 	taTA ca 
   vacas tatra prayoktavyaṃ yatroktaṃ labhate phalam |	vacaH tatra prayoktavyam yatra uktam laBate Palam |
   sthāyī bhavati cātyantaṃ rāgaḥ śukla paṭe yathā ||Panc_1.34||	sTAyI Bavati ca atyantam rAgaH Sukla pawe yaTA ||Pan= _1.34||
   damaka āha  mā maivaṃ vada |	damakaH Aha mA mA evam vada |
   apradhānaḥ pradhānaḥ syāt sevate yadi pārthivam |	apraDAnaH praDAnaH syAt sevate yadi pArTivam |
   pradhāno 'py apradhānaḥ syād yadi sevā vivarjitaḥ ||Panc_1.35||	praDAnaH api apraDAnaH syAt yadi sevA  vivarjitaH ||Pan= _1.35||
   yata uktaṃ ca 	yatas uktam ca 
   āsannam eva nṛpatir bhajate manuṣyaṃ	Asannam eva nRpatiH Bajate manuzyam
   vidyā vihīnam akulīnam asaṃskṛtaṃ vā |	vidyA  vihInam akulInam asaMskRtam vA |
   prāyeṇa bhūmi patayaḥ pramadā latāś ca	prAyeNa BUmi patayaH pramadAH latAH ca
   yat pārśvato bhavati tat pariveṣṭayanti ||Panc_1.36||	yat pArSvatas Bavati tat parivezwayanti ||Pan= _1.36||
   tathā ca 	taTA ca 
   kopa prasāda vastūni ye vicinvanti sevakāḥ |	kopa  prasAda  vastUni ye vicinvanti sevakAH |
   ārohanti śanaiḥ paścād dhunvantam api pārthivam ||Panc_1.37||	Arohanti SanEs paScAt Dunvantam api pArTivam ||Pan= _1.37||
   vidyāvatāṃ mahecchānāṃ śilpa vikrama śālinām |	vidyAvatAm mahA icCAnAm Silpa  vikrama  SAlinAm |
   sevā vṛtti vidāṃ caiva nāśrayaḥ pārthivaṃ vinā ||Panc_1.38||	sevA  vRtti  vidAm ca eva na ASrayaH pArTivam vinA ||Pan= _1.38||
   ye jāty ādi mahotsāhān narendrān nopayānti ca |	ye jAti  Adi  mahA utsAhAn narendrAn na upayAnti ca |
   teṣām āmaraṇaṃ bhikṣā prāyaścittaṃ vinirmitam ||Panc_1.39||	tezAm AmaraNam BikzA prAyaScittam vinirmitam ||Pan= _1.39||
   ye ca prāhur durātmāno durārādhyā mahībhujaḥ |	ye ca prAhuH durAtmAnaH durArADyAH mahIBujaH |
   pramādālasya jāḍyāni khyāpitāni nijāni taiḥ ||Panc_1.40||	pramAda Alasya  jAxyAni KyApitAni nijAni tEH ||Pan= _1.40||
   sarpān vyāghrān gajān siṃhān dṛṣṭvopāyair vaśīkṛtān |	sarpAn vyAGrAn gajAn siMhAn dRzwvA upAyEH vaSIkRtAn |
   rājeti kiyatī mātrā dhīmatām apramādinām ||Panc_1.41||	rAjA iti kiyatI mAtrA DImatAm apramAdinAm ||Pan= _1.41||
   rājānam eva saṃśritya vidvān yāti parāṃ gatim |	rAjAnam eva saMSritya vidvAn yAti parAm gatim |
   vinā malayam anyatra candanaṃ na prarohati ||Panc_1.42||	vinA malayam anyatra candanam na prarohati ||Pan= _1.42||
   dhavalāny ātapatrāṇi vājinaś ca manoramāḥ |	DavalAni AtapatrANi vAjinaH ca manoramAH |
   sadā mattāś ca mātaṅgāḥ prasanne sati bhūpatau ||Panc_1.43||	sadA mattAH ca mAtaFgAH prasanne sati BUpatO ||Pan= _1.43||
   karaṭaka āha  atha bhavān kiṃ kartumanāḥ ?	karawakaH Aha aTa BavAn kim kartu manAH ?
   so 'bravīt  adyāsmat svāmī piṅgalako bhīto bhīta parivāraś ca vartate |	saH abravIt adya asmat svAmI piFgalakaH BItaH BIta  parivAraH ca vartate |
   tadainaṃ gatvā bhaya kāraṇaṃ vijñāya	tadA enam gatvA Baya kAraNam vijQAya
   sandhi vigraha yāna āsana saṃśraya dvaidhī bhāvānām ekatamena saṃvidhāsye	sanDi vigraha yAna  Asana  saMSraya dvEDI BAvAnAm ekatamena saMviDAsye
   karaṭaka āha  kathaṃ vetti bhavān yad bhayāviṣṭo 'yaṃ svāmī ?	karawakaH Aha kaTam vetti BavAn yat Baya AvizwaH ayam svAmI ?
   so 'bravīt  jñeyaṃ kim atra ? yata uktaṃ ca 	saH abravIt jQeyam kim atra ? yatas uktam ca 
   udīrito 'rthaḥ paśunāpi gṛhate	udIritaH arTaH paSunA api gRhate
   hayāś ca nāgāś ca vahanti coditāḥ |	hayAH ca nAgAH ca vahanti coditAH |
   anuktam apy ūhati paṇḍito janaḥ	anuktam api Uhati paNxitaH janaH
   pareṅgita jñāna phjalā hi buddhayaḥ ||Panc_1.44||	para iFgita  jQAna PjalAH hi budDayaH ||Pan= _1.44||
   tathā ca manuḥ (8.26) 	taTA ca manuH (8.26) 
   ākārair iṅgitair gatyā ceṣṭayā bhāṣaṇena ca |	AkArEH iFgitEH gatyA cezwayA BAzaNena ca |
   netra vaktra vikāraiś ca lakṣyate'ntargataṃ manaḥ ||Panc_1.45||	netra  vaktra  vikArEH ca lakzyate antargatam manaH ||Pan= _1.45||
   tad adyainaṃ bhayākulaṃ prāpya sva buddhi prabhāvena nirbhayaṃ kṛtvā	tat adya enam Baya Akulam prApya sva  budDi  praBAvena nirBayam kRtvA
   vaśīkṛtya ca nijāṃ sācivya padavīṃ samāsādayiṣyāmi |	vaSIkRtya ca nijAm sAcivya  padavIm samAsAdayizyAmi |
   karaṭaka āha  anabhijño bhavān sevā dharmasya | tat katham enaṃ	karawakaH Aha anaBijQaH BavAn sevA Darmasya | tat kaTam enam
   vaśīkariṣyasi ?	vaSIkarizyasi ?
   so 'bravīt  katham ahaṃ sevānabhijñaḥ ? mayā hi tātotsaṅge	saH abravIt kaTam aham sevA anaBijQaH ? mayA hi tAta utsaFge
   krīḍatābhyāgata sādhūnāṃ nīti śāstraṃ paṭhatā yac chrutaṃ sevā dharmasya	krIxatA aByAgata  sADUnAm nIti SAstram paWatA yat Srutam sevA  Darmasya
   sāraṃ tad hṛdi sthāpitam | śrūyatāṃ tac cedam 	sAram tat hRdi sTApitam | SrUyatAm tat ca idam 
   suvarṇa puṣpitāṃ pṛthvīṃ vicinvanti narās trayaḥ |	suvarNa  puzpitAm pRTvIm vicinvanti narAH trayaH |
   śūraś ca kṛta vidyaś ca yaś ca jānāti sevitum ||Panc_1.46||	SUraH ca kRta vidyaH ca yaH ca jAnAti sevitum ||Pan= _1.46||
   sā sevā yā prabhu hitā grāhyā vākya viśeṣataḥ |	sA sevA yA praBu hitAH grAhyA vAkya  viSezataH |
   āśrayet pārthivaṃ vidvāṃs tad dvāreṇaiva nānyathā ||Panc_1.47||	ASrayet pArTivam vidvAn tad  dvAreNa eva na anyaTA ||Pan= _1.47||
   yo na vetti guṇān yasya na taṃ seveta paṇḍitaḥ |	yaH na vetti guNAn yasya na tam seveta paNxitaH |
   na hi tasmāt phalaṃ kiñcit sukṛṣṭād ūṣarād iva ||Panc_1.48||	na hi tasmAt Palam kiQcid su kRzwAt UzarAt iva ||Pan= _1.48||
   dravya kṛti hīno 'pi sevyaḥ sevya guṇānvitaḥ |	dravya kRti hInaH api sevyaH sevya  guNa anvitaH |
   bhavaty ājīvanaṃ tasmāt phalaṃ kālāntarād api ||Panc_1.49||	Bavati AjIvanam tasmAt Palam kAla antarAt api ||Pan= _1.49||
   api sthāṇuvad āsīnaḥ śuṣyan parigataḥ kṣudhā |	api sTANu vat AsInaH Suzyan parigataH kzuDA |
   na tv ajñānātma sampannād vṛttim īhate paṇḍitaḥ ||Panc_1.50||	na tu ajQAna Atma  sampannAt vRttim Ihate paNxitaH ||Pan= _1.50||
   sevakaḥ svāminaṃ dveṣṭi kṛpaṇaṃ paruṣākṣaram |	sevakaH svAminam dvezwi kRpaNam paruza akzaram |
   ātmānaṃ kiṃ sa na dveṣṭi sevyāsevyaṃ na vetti yaḥ ||Panc_1.51||	AtmAnam kim sa na dvezwi sevya Asevyam na vetti yaH ||Pan= _1.51||
   yasyāśritya viśrāmaṃ kṣudhārtā yānti sevakāḥ |	yasya ASritya viSrAmam kzuDA ArtAH yAnti sevakAH |
   so 'rkavan nṛpatis tyājyaḥ sadā puṣpa phalo 'pi san ||Panc_1.52||	saH arka vat nRpatiH tyAjyaH sadA puzpa PalaH api san ||Pan= _1.52||
   rāja mātari devyāṃ ca kumāre mukhya mantriṇi |	rAja mAtari devyAm ca kumAre muKya mantriNi |
   purohite pratīhāre sadā varteta rājavat ||Panc_1.53||	purohite pratIhAre sadA varteta rAja vat ||Pan= _1.53||
   jīveti prabruvan proktaḥ kṛtyākṛtya vicakṣaṇaḥ |	jIva iti prabruvan proktaH kRtyA kRtya  vicakzaNaH |
   karoti nirvikalpaṃ yaḥ sa bhaved rāja vallabhaḥ ||Panc_1.54||	karoti nirvikalpam yaH sa Bavet rAja vallaBaH ||Pan= _1.54||
   prabhu prasādajaṃ vittaṃ suprāptaṃ yo nivedayet |	praBu  prasAda jam vittam su prAptam yaH nivedayet |
   vastrādyaṃ ca dadhāty aṅge sa bhaved rāja vallabhaḥ ||Panc_1.55||	vastra Adyam ca daDAti aFge sa Bavet rAja vallaBaH ||Pan= _1.55||
   antaḥ pura caraiḥ sārdhaṃ yo na mantraṃ samācaret |	antaH pura  carEH sArDam yaH na mantram samAcaret |
   na kalatrair narendrasya sa bhaved rāja vallabhaḥ ||Panc_1.56||	na kalatrEH narendrasya sa Bavet rAja vallaBaH ||Pan= _1.56||
   dyūtaṃ yo yama dūtābhaṃ hālāṃ hālāhalopamam |	dyUtam yaH yama dUta ABam hAlAm hAlAhala upamam |
   paśyed dārān vṛthākārān sa bhaved rāja vallabhaḥ ||Panc_1.57||	paSyet dArAn vRTA AkArAn sa Bavet rAja vallaBaH ||Pan= _1.57||
   yuddha kāle'graṇīr yaḥ syāt sadā pṛṣṭhānugaḥ pure |	yudDa kAle agraNIH yaH syAt sadA pRzWa anugaH pure |
   prabhor dvārāśrito harmye sa bhaved rāja vallabhaḥ ||Panc_1.58||	praBoH dvAra ASritaH harmye sa Bavet rAja vallaBaH ||Pan= _1.58||
   sammato 'haṃ vibhor nityam iti matvā vyatikramet |	sammataH aham viBoH nityam iti matvA vyatikramet |
   kṛcchreṣv api na maryādāṃ sa bhaved rāja vallabhaḥ ||Panc_1.59||	kRcCrezu api na maryAdAm sa Bavet rAja vallaBaH ||Pan= _1.59||
   dveṣi dveṣa paro nityam iṣṭānām iṣṭa karma kṛt |	dvezi  dveza  paraH nityam izwAnAm izwa karma kRt |
   yo naro nara nāthasya sa bhaved rāja vallabhaḥ ||Panc_1.60||	yaH naraH nara nATasya sa Bavet rAja vallaBaH ||Pan= _1.60||
   proktaḥ pratyuttaraṃ nāha viruddhaṃ prabhunā na yaḥ |	proktaH pratyuttaram na Aha virudDam praBunA na yaH |
   na samīpe hasaty uccaiḥ sa bhaved rāja vallabhaḥ ||Panc_1.61||	na samIpe hasati uccEs sa Bavet rAja vallaBaH ||Pan= _1.61||
   up raṇaṃ śaraṇaṃ tadvan manyate bhaya varjitaḥ |	uB raNam SaraNam tadvat manyate Baya  varjitaH |
   pravāsaṃ sva purāvāsaṃ sa bhaved rāja vallabhaḥ ||Panc_1.62||	pravAsam sva pura AvAsam sa Bavet rAja vallaBaH ||Pan= _1.62||
   na kuryān naranāthasya yoṣidbhiḥ saha saṃgatim |	na kuryAt nara nATasya yozidBiH saha saMgatim |
   na nindāṃ na vivādaṃ ca sa bhaved rāja vallabhaḥ ||Panc_1.63||	na nindAm na vivAdam ca sa Bavet rAja vallaBaH ||Pan= _1.63||
   karaṭaka āha  atha bhavāṃs tatra gatvā kiṃ tāvat prathamaṃ vakṣyati tat	karawakaH Aha aTa BavAn tatra gatvA kim tAvat praTamam vakzyati tat 
   tāvad ucyatām |	tAvat ucyatAm |
   damanaka āha 	damanakaH Aha 
   uttarād uttaraṃ vākyaṃ vadatāṃ samprajāyate |	uttarAt uttaram vAkyam vadatAm samprajAyate |
   suvṛṣṭi guṇa sampannād bījād bījam ivāparam ||Panc_1.64||	su vRzwi  guNa  sampannAt bIjAt bIjam iva aparam ||Pan= _1.64||
   apāya sandarśanajāṃ vipattim	apAya  sandarSana jAm vipattim
   upāya sandarśanajāṃ ca siddhim |	upAya  sandarSana jAm ca sidDim |
   medhāvino nīti guṇa prayuktāṃ	meDAvinaH nIti guNa  prayuktAm
   puraḥ sphurantīm iva varṇayanti ||Panc_1.65||	puras sPurantIm iva varNayanti ||Pan= _1.65||
   ekeṣāṃ vāci śukavad anyeṣāṃ hṛdi mūkavat |	ekezAm vAci Suka vat anyezAm hRdi mUka vat |
   hṛdi vāci tathānyeṣāṃ valgu valgantiu sūktayaḥ ||Panc_1.66||	hRdi vAci taTA anyezAm valgu valgantiu sUktayaH ||Pan= _1.66||
   na ca aham aprāpta kālaṃ vakṣye | ākarṇitaṃ mayā nīti sāraṃ pituḥ pūrvam	na ca aham aprApta kAlam vakzye | AkarNitam mayA nIti  sAram pituH pUrvam
   utsaṅgaṃ hi niṣevatā |	utsaFgam hi nizevatA |
   aprāpta kālaṃ vacanaṃ bṛhaspatir api bruvan |	aprApta kAlam vacanam bRhaspatiH api bruvan |
   labhate bahv avajñānam apamānaṃ ca puṣkalam ||Panc_1.67||	laBate bahu  avajQAnam apamAnam ca puzkalam ||Pan= _1.67||
   karaṭaka āha 	karawakaH Aha 
   durārādhyā hi rājānaḥ parvatā iva sarvadā |	durArADyAH hi rAjAnaH parvatAH iva sarvadA |
   vyālākīrṇāḥ suviṣamāḥ kaṭhinā duṣṭa sevitāḥ ||Panc_1.68||	vyAla AkIrNAH su vizamAH kaWinAH duzwa  sevitAH ||Pan= _1.68||
   tathā ca 	taTA ca 
   bhoginaḥ kañcukāviṣṭāḥ kuṭilāḥ krūra ceṣṭitāḥ |	BoginaH kaQcuka AvizwAH kuwilAH krUra  cezwitAH |
   suduṣṭā mantra sādhyāś ca rājānaḥ pannagā iva ||Panc_1.69||	su duzwAH mantra  sADyAH ca rAjAnaH pannagAH iva ||Pan= _1.69||
   dvi jihvāḥ krūra karmāṇo 'niṣṭhāś chidrānusāriṇaḥ |	dvi  jihvAH krUra karmANaH anizWAH Cidra anusAriNaH |
   dūrato 'pi hi paśyanti rājāno bhujagā iva ||Panc_1.70||	dUratas api hi paSyanti rAjAnaH BujagAH iva ||Pan= _1.70||
   svalpam apy apakurvanti ye'bhīṣṭā hi mahīpateḥ |	su alpam api apakurvanti ye aBIzwAH hi mahIpateH |
   te vahnāv iva dahyante pataṅgāḥ pāpa cetasaḥ ||Panc_1.71||	te vahnO iva dahyante pataFgAH pApa cetasaH ||Pan= _1.71||
   durārohaṃ padaṃ rājñāṃ sarva loka namaskṛtam |	durAroham padam rAjQAm sarva loka namaskRtam |
   svalpenāpy apakāreṇa brāhmaṇyam iva duṣyati ||Panc_1.72||	su alpena api apakAreNa brAhmaNyam iva duzyati ||Pan= _1.72||
   durārādhyāḥ śriyo rājñāṃ durāpā duṣparigrahāḥ |	durArADyAH SriyaH rAjQAm durApAH duzparigrahAH |
   tiṣṭhanty āpa ivādhāre ciram ātmani saṃsthitāḥ ||Panc_1.73||	tizWanti ApaH iva ADAre ciram Atmani saMsTitAH ||Pan= _1.73||
   damanaka āha  satyam etat param | kintu 	damanakaH Aha satyam etat param | kintu 
   yasya yasya hi yo bhāvas tena tena samācaret |	yasya yasya hi yaH BAvaH tena tena samAcaret |
   anupraviśya medhāvī kṣipram ātma vaśaṃ nayet ||Panc_1.74||	anupraviSya meDAvI kzipram Atma vaSam nayet ||Pan= _1.74||
   bhartuś cittānuvartitvaṃ suvṛttaṃ cānujīvinām |	BartuH citta anuvarti tvam su vRttam ca anujIvinAm |
   rākṣasāś cāpi gṛhyante nityaṃ chandānuvartibhiḥ ||Panc_1.75||	rAkzasAH ca api gRhyante nityam Canda anuvartiBiH ||Pan= _1.75||
   saruṣi nṛpe stuti vacanaṃ tad abhimate prema tad dviṣi dveṣaḥ |	sa ruzi nRpe stuti  vacanam tat  aBimate prema tat  dvizi dvezaH |
   tad dānasya ca śaṃsā amantra tantraṃ vaśīkaraṇam ||Panc_1.76||	tat  dAnasya ca SaMsAH amantra tantram vaSIkaraNam ||Pan= _1.76||
   karaṭaka āha  yady evam abhimataṃ tarhi śivās te panthānaḥ santu |	karawakaH Aha yadi evam aBimatam tarhi SivAH te panTAnaH santu |
   yathābhilaṣitam anuṣṭhīyatām | so 'pi praṇamya piṅgalakābhimukhaṃ	yaTA aBilazitam anuzWIyatAm | saH api praNamya piFgalaka aBimuKam
   pratasthe |	pratasTe |
   athāgacchantaṃ damanakam ālokya piṅgalako dvāstham abravīt  apasāryatāṃ	aTa AgacCantam damanakam Alokya piFgalakaH dvAsTam abravIt apasAryatAm
   vetra latā | ayam asmākaṃ cirantano mantriputro damanako 'vyāhata praveśaḥ	vetra latA | ayam asmAkam cirantanaH mantri putraH damanakaH avyAhata praveSaH
   | tat praveśyatāṃ dvitīya maṇḍala bhāgī | iti |	| tat praveSyatAm dvitIya  maNxala BAgI | iti |
   sa āha  yathāvādīd bhavān iti |	saH Aha yaTA avAdIt BavAn iti |
   athopasṛtya damanako nirdiṣṭa āsane piṅgalakaṃ praṇamya prāptānujña	aTa upasRtya damanakaH nirdizwaH Asane piFgalakam praNamya prApta anujQa
   upaviṣṭaḥ | sa tu tasya naka kuliśālaṅkṛtaṃ dakṣiṇa pāṇim upari dattvā	upavizwaH | sa tu tasya naka kuliSa alaFkRtam dakziNa  pANim upari dattvA
   māna puraḥ saram uvāca  api śivaṃ bhavataḥ | kasmāc cirād dṛṣṭo 'si ?	mAna  puraH saram uvAca api Sivam BavataH | kasmAt cirAt dRzwaH asi ?
   damanaka āha  na kiṃcid deva pādānām asmābhiḥ prayojanam | paraṃ bhavatāṃ	damanakaH Aha na kiMcid deva  pAdAnAm asmABiH prayojanam | param BavatAm
   prāpta kālaṃ vaktavyam yata uttama madhyamādhamaiḥ sarvair api rājñāṃ	prApta kAlam vaktavyam yatas uttama  maDyama aDamEH sarvEH api rAjQAm
   prayojanam | uktaṃ ca 	prayojanam | uktam ca 
   dantasya niṣkoṣaṇakena nityaṃ	dantasya nizkozaNakena nityam
   karṇasya kaṇḍūyanakena vāpi |	karNasya kaNxUyanakena vA api |
   tṛṇena kāryaṃ bhavatīśvarāṇāṃ	tRNena kAryam Bavati ISvarANAm
   kim āṅga vāggha stavatā nareṇa ||Panc_1.77||	kim AFga vAc ha stavatA nareNa ||Pan= _1.77||
   tathā vayaṃ deva pādānām anvayāgatā bhṛtyā āpatsv api pṛṣṭha gāmino	taTA vayam deva  pAdAnAm anvaya AgatAH BRtyAH Apatsu api pRzWa  gAminaH 
   yadyapi svam adhikāraṃ na labhāmahe tathāpi deva pādānām etad yuktaṃ na	yadi api svam aDikAram na laBAmahe taTA api deva  pAdAnAm etat yuktam na
   bhavati | uktaṃ ca 	Bavati | uktam ca 
   sthāneṣv eva niyoktavyā bhṛtyā ābharaṇāni ca |	sTAnezu eva niyoktavyA BRtyAH ABaraNAni ca |
   na hi cūḍāmaṇiḥ pāde prabhavāmīti badhyate ||Panc_1.78||	na hi cUxAmaNiH pAde praBavAmi iti baDyate ||Pan= _1.78||
   yataḥ 	yatas  
   anabhijño guṇānāṃ yo na bhṛtyair anugamyate |	anaBijQaH guNAnAm yaH na BRtyEH anugamyate |
   dhanāḍhyo 'pi kulīno 'pi kramāYāto 'pi bhūpatiḥ ||Panc_1.79||	Dana AXyaH api kulInaH api krama aYAtaH api BUpatiH ||Pan= _1.79||
   uktaṃ ca 	uktam ca 
   asamaiḥ samīyamānaḥ samaiś ca	asamEH samIyamAnaH samEH ca
   parihīyamāṇa sat kāraḥ |	parihIyamANa  sat kAraH |
   dhuri yo na yujyamānas tribhir	Duri yaH na yujyamAnaH triBiH 
   artha patiṃ tyajati bhṛtyaḥ ||Panc_1.80||	arTa patim tyajati BRtyaH ||Pan= _1.80||
   yac cāvivekitayā rājñā bhṛtyānuttama pada yogyān hīnādhama sthāne	yat ca aviveki tayA rAjQA BRtya anuttama  pada  yogyAn hIna aDama  sTAne
   niyojayati, na te tatraiva sa bhūpater doṣo na teṣām | uktaṃ ca 	niyojayati, na te tatra eva sa BUpateH dozaH na tezAm | uktam ca 
   kanaka bhūṣaṇa saṅgrahaṇocito	kanaka  BUzaNa  saFgrahaNa ucitaH 
   yadi maṇis trapuṇi pratibadhyate |	yadi maNiH trapuNi pratibaDyate |
   na sa virauti na cāpi sa śobhate	na sa virOti na ca api sa SoBate
   bhavati yojayitur vacanīyatā ||Panc_1.81||	Bavati yojayituH vacanIyatA ||Pan= _1.81||
   yac ca svāmy evaṃ vadati cirād dṛśyate | tad api śrūyatām 	yat ca svAmI evam vadati cirAt dRSyate | tat api SrUyatAm 
   savya dakṣiṇayor yatra viśeṣo nāsti hastayoḥ |	savya  dakziNayoH yatra viSezaH na asti hastayoH |
   kas tatra kṣaṇam apyāryo vidyamāna gatir bhavet ||Panc_1.82||	kaH tatra kzaNam api AryaH vidyamAna  gatiH Bavet ||Pan= _1.82||
   kāce maṇir maṇau kāco yeṣāṃ buddhir vikalpate |	kAce maNiH maNO kAcaH yezAm budDiH vikalpate |
   na teṣāṃ sannidhau bhṛtyo nāma mātro 'pi tiṣṭhati ||Panc_1.83||	na tezAm sanniDO BRtyaH nAma  mAtraH api tizWati ||Pan= _1.83||
   parīkṣakā yatra na santi deśe	parIkzakAH yatra na santi deSe
   nārghanti ratnāni samudrajāni |	na arGanti ratnAni samudra jAni |
   ābhīra deśe kila candrakāntaṃ	ABIra deSe kila candrakAntam
   tribhir varāṭair vipaṇanti gopāḥ ||Panc_1.84||	triBiH varAwEH vipaNanti gopAH ||Pan= _1.84||
   lohitākhyasya ca maṇeḥ padmarāgasya cāntaram |	lohita AKyasya ca maNeH padmarAgasya ca antaram |
   yatra nāsti kathaṃ tatra kriyate ratna vikrayaḥ ||Panc_1.85||	yatra na asti kaTam tatra kriyate ratna  vikrayaH ||Pan= _1.85||
   nirviśeṣaṃ yadā svāmī samaṃ bhṛtyeṣu vartate |	nirviSezam yadA svAmI samam BRtyezu vartate |
   tatrodyama samarthānām utsāhaḥ parihīyate ||Panc_1.86||	tatra udyama  samarTAnAm utsAhaH parihIyate ||Pan= _1.86||
   na vinā pārthivo bhṛtyair na bhṛtyāḥ pārthivaṃ vinā |	na vinA pArTivaH BRtyEH na BRtyAH pArTivam vinA |
   teṣāṃ ca vyavahāro 'yaṃ paraspara nibandhanaḥ ||Panc_1.87||	tezAm ca vyavahAraH ayam paraspara  nibanDanaH ||Pan= _1.87||
