   aṣṭama ucchvāsaḥ	azwamaH ucCvAsaH
   abhyarthanāyā rakṣanti ca jalanidhaya iva maryādāmāryāḥ /	aByarTanAyAH rakzanti ca jalaniDayaH iva maryAdAm-AryAH /
   dattameva ca śarīramidamanabhyarthitena prathamamevātithyāya mānanīyena	dattam-eva ca SarIram-idam-anaByarTitena praTamam-eva-AtiTyAya mAnanIyena
   bhavatā mhayam /	BavatA mhayam /
   ataḥ kiñcidarthaye bhadantamiyaṃ naḥ svasā bālā ca bahuduḥkhakheditā ca	atas kiQcid-arTaye Badantam-iyam naH svasA bAlA ca bahu-duHKa-KeditA ca
   sarvakāryāvadhīraṇoparodhenāpi yāvallālanīyā nityam /	sarva-kArya-avaDIraNa-uparoDena-api yAvat-lAlanIyAH nityam /
   asmābhiśca bhrātṛvadhāpakāriripukulapralayakaraṇodyatasya	asmABiH-ca BrAtR-vaDa-apakAri-ripu-kula-pralaya-karaNa-udyatasya
   bāhorvidheyairbhūtvā sakalalokapratyakṣaṃ pratijñā kṛtā /	bAhoH-viDeyEH-BUtvA sakala-loka-pratyakzam pratijQA kRtA /
   pūrvāvamānanābhibhavamasahamānairarpita ātmā kopasya /	pUrva-avamAna-nABi-Bavam-asahamAnEH-arpitaH AtmA kopasya /
   ato niyuṅktāṃ kiyantamapi kālamātmānamāryo 'pi kārye madīye /	atas niyuFktAm kiyantam-api kAlam-AtmAnam-AryaH api kArye madIye /
   dīyatāmatithaye śarīramidam /	dIyatAm-atiTaye SarIram-idam /
   adyaprabhṛti yāvadayaṃ jano laghayati pratijñābhāram, āśvāsayati ca	adya-praBRti yAvat-ayam janaH laGayati pratijQABAram, ASvAsayati ca
   tātavināśaduḥkhaviklavāḥ prajāḥ, tāvadimāmatrabhavataḥ kathābhiśca	tAta-vinASa-duHKa-viklavAH prajAH, tAvat-imAm-atraBavataH kaTABiH-ca
   dharmyābhiḥ, kuśalapratibodhavidhāyibhirupadeśaiśca dūrāpasāritarajobhiḥ,	DarmyABiH, kuSala-pratiboDa-viDAyiBiH-upadeSEH-ca dUra-apasArita-rajoBiH,
   śīlopaśamadāyinībhiśca deśanābhiḥ, kleśaprahāṇahetubhūtaiśca	SIla-upaSama-dAyinIBiH-ca deSanABiH, kleSa-prahANa-hetu-BUtEH-ca
   tathāgatairdarśanaiḥ, asmātpārśvopayāyinīmeva pratibodhyamānāmicchāmi /	taTAgatEH-darSanEH, asmAt-pArSva-upayAyinIm-eva pratiboDyamAnAm-icCAmi /
   iyaṃ tu grahīṣyati mayaiva samaṃ samāptakṛtyena kāṣāyāṇi /	iyam tu grahIzyati mayA-eva samam samApta-kRtyena kAzAyANi /
   arthijane ca kimivanātisṛjanti mahāntaḥ /	arTi-jane ca kimi-vana-atisRjanti mahAntaH /
   suranāthamātmāsthibhirapi yāvatkṛtārthamakaroddhairyodadhirdadhīcaḥ /	sura-nATam-Atma-asTiBiH-api yAvat-kRtArTam-akarot-DErya-udaDiH-daDIcaH /
   muninātho 'pyanapekṣitātmasthitiranukampeti kṛtvā kṛpāvānātmānaṃ	muninATaH api-anapekzita-Atma-sTitiH-anukampA-iti kRtvA kRpAvAnAtmAnam
   vaṭharasattvebhyaḥ katikṛtvo na dattavān /	vaWara-sattveByaH katikRtvas na dattavAn /
   ataḥ paraṃ bhavanta eva bahutaraṃ jānanti--ityuktvā tūṣṇīṃ babhūva	atas param BavantaH eva bahutaram jAnanti---iti-uktvA tUzNIm baBUva
   bhūpatiḥ /	BUpatiH /
   bhūyastu babhāṣe bhadantaḥ--"bhavyā na dviruccārayanti vācam /	BUyas-tu baBAze BadantaH--"BavyAH na dvis-uccArayanti vAcam /
   cetasā prathamameva pratigrāhitā guṇāstāvakāḥ kāyabalimimām /	cetasA praTamam-eva pratigrAhitAH guNAH-tAvakAH kAya-balim-imAm /
   amunā janena upayogastu nirupayogasyāsya laghuni guruṇi vā kṛtye	amunA janena upayogaH-tu nirupayogasya-asya laGuni guruNi vA kRtye
   guṇavadāyattaḥ' iti /	guNavat-AyattaH-a iti /
   atha tathā tasminnabhinanditapraṇaye prīyamāṇaḥ pārthivastatra tāmuṣitvā	aTa taTA tasmin=-aBinandita-praNaye prIyamANaH pArTivaH-tatra tAm-uzitvA
   vibhāvarīmuṣasi ca vasanālaṅkārādipradānaparitoṣitaṃ visarjya	viBAvarI-muzasi ca vasana-alaFkAra-Adi-pradAna-paritozitam visarjya
   nirghātamācāryeṇa saha svasāramādāya prayāṇakaiḥ /	nirGAtam-AcAryeNa saha sva-sAram-AdAya prayANakEH /
   katipayaireva kaṭakamanujāhnavi niviṣṭa pratyājagāma /	katipayEH-eva kawakam-anuja-ahnavi nivizwa pratyAjagAma /
   tatra ca rājyaśrīprāptivyatikarakathāṃ kathayata eva praṇayibhyo ravirapi	tatra ca rAjya-SrI-prApti-vyatikara-kaTAm kaTayate eva praNayiByaH raviH-api
   tatāra gaganatalam /	tatAra gagana-talam /
   bahalamadhupaṅkapiṅgalaḥ paṅgajākara iva saṃcukoca cakravākavallabho	bahala-maDu-paFka-piFgalaH paFga-ja-AkaraH iva saMcukoca cakravAka-vallaBaH-
   vāsaraḥ prakīrṇaāni navarudhirarasāruṇavarṇāni lokālokajūṃṣi yajūṃṣīva	vAsaraH prakIrNaAni nava-ruDira-rasa-aruNa-varNAni lokAloka-jUMzi yajUMzi-iva
   kupitayājñavalkyavaktravāntāni nijavapuṣi pūṣā pāpamūṣi punarapi saṃjahāra	kupita-yAjQavalkya-vaktra-vAntAni nija-vapuzi pUzA pApa-mUzi punar-api saMjahAra
   jālakāni rociṣām /	jAlakAni rocizAm /
   krameṇa ca	krameNa ca
   samupohyamānamāṃsalarāgarociṣṇuruṣṇāśuruṣṇīṣabandhasahajacūḍāmaṇiriva	samupohyamAna-mAMsala-rAga-rocizNuH-uzNa-aSuruzNIza-banDa-sahaja-cUxAmaNiH-iva
   vṛkodarakarapuṭotpāṭitaḥ, pratyagraśoṇitaśoṇāṅgarāgaraudro drauṇāyanasya,	vRkodara-kara-puwa-utpAwitaH, pratyagra-SoNita-SoNa-aFgarAga-rOdraH drONAyanasya,
   rudrabhikṣādānaśauṇḍapuramathanamuktamuṇḍaśirānāḍirudhirapūraṇaśoṇitakapilaḥ	rudra-BikzA-dAna-SONxa-pura-maTana-mukta-muNxa-SirA-nAxi-ruDira-pUraNa-SoNita-kapilaH
   kapālakarpara iva ca paitāmahaḥ, pitṛvadharuṣitarāmarāgaracitaḥ	kapAla-karparaH iva ca pEtAmahaH, pitR-vaDa-ruzita-rAma-rAga-racitaH
   pṛthuvikaṭakārtavīryāṃsakūṭakuṭṭākakuṭhāratuṇḍataṣṭaduṣṭakṣatriyakaṇṭhakuhararudhirakulyāpraṇālasahasrapūrito	pRTu-vikawa-ka-ArtavIrya-aMsa-kUwa-kuwwAka-kuWAra-tuNxa-tazwa-duzwa-kzatriya-kaNWa-kuhara-ruDira-kulyA-praNAla-sahasra-pUritaH-
   hrada iva dūrarodhī raudhiro	hradaH iva dUra-roDI rODiraH-
   bhayanigūḍhakaracaraṇamuṇḍamaṇḍalākṛtirgurugaruḍanakhapañjarākṣepakṣapaṇakṣiptakṣatajokṣito	Baya-nigUXa-kara-caraNa-muNxa-maNxala-AkRtiH-guru-garuxa-naKa-paQjara-Akzepa-kzapaNa-kzipta-kzataja-ukzitaH-
   vyasurvibhāvasuḥ kaṇṭha iva ca loṭhyamānaḥ, nabhasyaruṇagarbhamāṃsapiṇḍa	vyasuH-viBAvasuH kaNWaH iva ca loWyamAnaH, naBasi-a-ruNa-garBa-mAMsa-piNxa
   iva ca khaṇjimānamānītaḥ, niyatakālātipātadūyamānadākṣāyaṇīkṣiptaḥ	iva ca KaNjimAnam-AnItaH, niyata-kAla-atipAta-dUyamAna-dAkzAyaNIkziptaH
   dhātutaṭa iva ca sumerorasuravadhābhicāracarupacanapiśunaḥ	DAtu-tawaH iva ca sumeroH-asura-vaDa-aBicAra-caru-pacana-piSunaH
   śoṇitavkāthakaṣāyitakukṣirativisaṃkaṭaḥ kaṭāha iva ca bārhaspatyaḥ,	SoNita-vkATa-kazAyita-kukzi-rati-visaMkawaH kawAhaH iva ca bArhaspatyaH,
   sadyogalitagajadānavadehalohitopalepabhīṣaṇaḥ mukhamaṇḍalābhoga iva	sadyas-galita-gaja-dAnava-deha-lohita-upalepa-BIzaNaH muKa-maNxala-ABogaH iva
   mahābhairavasya muhūrtamadṛśyata /	mahABEravasya muhUrtam-adRSyata /
   jalanidhijalapratibimbitaravibimbārājibhāsvarābhrāvalambinī	jalaniDi-jala-pratibimbita-ravi-bimbA-rAji-BAsvarA-Bra-avalambinI
   gṛhītārdramāṃsabhāreva cābabhāse vāsarāvasānavelā vetālanibhā /	gRhIta-Ardra-mAMsa-BArA-iva ca-AbaBAse vAsara-avasAna-velA vetAla-niBA /
   jvalatsaṃdhyārāgarajyamānajalapravāhaḥ punariva	jvalat-saMDyA-rAga-rajyamAna-jala-pravAhaH punar-iva
   purāṇapuruṣapīvarorusaṃpuṭapiṣṭamadhukaiṭabharudhirapaṭalapāṭalavapurabhavadadhipatirarṇasām	purANa-puruza-pIvara-Uru-saMpuwa-pizwa-maDu-kEwaBa-ruDira-pawala-pAwala-vapuH-a-Bavat-aDipatiH-arNasAm
   samavasite ca saṃdhyāṃsamaye samanantaramaparimitayaśaḥpānatṛṣitāya	samavasite ca saMDyAMsa-maye samanantaram-aparimita-yaSaH-pAna-tRzitAya
   muktāśailaśilācaṣaka iva nijakulakīrtyā,	muktA-SEla-SilA-cazakaH iva nija-kula-kIrtyA,
   kṛtayugakaraṇodyatāyādirājarājataśāsanamudrāniveśa iva rājyaśriyā,	kRta-yuga-karaNa-udyatAya-Adi-rAja-rAjata-SAsana-mudrA-niveSaH iva rAjya-SriyA,
   sakaladvīpajigīṣācalitāya śvetadvīpadūta iva cāyatyā, śvetabhānurupānīyata	sakala-dvIpa-jigIzA-calitAya SvetadvIpa-dUtaH iva ca-AyatyA, Sveta-BAnuH-upAnIyata
   niśayā narendrāyeti bhadramom //	niSayA narendrAya-iti Badram-om //
   iti śrīmahākavibāṇabhaṭṭakṛtau harṣacarite 'ṣṭama ucchvāsaḥ	iti SrI-mahAkavi-bANa-Bawwa-kRtO harza-carite azwamaH ucCvAsaH
