   atha caturtho 'dhyāyaḥ /	aTa caturTaH aDyAyaH /
   (bṛ. 1.4.10) 'mṛtyoḥ sa mṛtyumāpnoti ya iha nāneva paśyati' (bṛ. 4.5.7)	(bR. 1.4.10) amRtyoH sa mRtyum-Apnoti yaH iha nAnA-iva paSyati-a (bR. 4.5.7)
   iti evamādyā bhūyasī śrutiḥ bhedadarśanam apavadati /	iti evamAdyA BUyasI SrutiH Beda-darSanam apavadati /
   yat tu uktaṃ na viruddhaguṇayoḥ anyonya ātmasaṃbhava iti /	yat tu uktam na virudDa-guNayoH anyonyaH Atma-saMBavaH iti /
   na ayaṃ doṣaḥ /	na ayam dozaH /
   viruddhaguṇatāyā mithyātva upapatteḥ /	virudDa-guNa-tAyAH miTyAtvaH upapatteH /
   yatpunaḥ uktam īśvara abhāvaprasaṅga iti /	yat-punar uktam ISvara aBAva-prasaFgaH iti /
   tat asat /	tat asat /
   śāstraprāmāṇyāt anabhyupagamāt ca /	SAstra-prAmANyAt anaByupagamAt ca /
   na hi īśvarasya saṃsāri ātmatvaṃ pratipādyata iti abhyupagacchāmaḥ kiṃ	na hi ISvarasya saMsAri Atma-tvam pratipAdyate iti aByupagacCAmaH kim
   tarhi saṃsāriṇaḥ saṃsāritva apohena īśvarātmatvaṃ pratipipāyiṣitam iti /	tarhi saMsAriNaH saMsAritva apohena ISvara-Atma-tvam pratipipAyizitam iti /
   evaṃ ca sati advaita īśvarasya apahatapāpmatvādiguṇatā viparītaguṇatā tu	evam ca sati advEtaH ISvarasya apahata-pApma-tva-Adi-guNa-tA viparIta-guNa-tA tu
   itarasya mithyā iti vyavatiṣṭhate /	itarasya miTyA iti vyavatizWate /
   yat api uktam adhikāri abhāvaḥ pratyakṣādivirodhaḥ ca iti /	yat api uktam aDikAri aBAvaH pratyakza-Adi-viroDaH ca iti /
   tat api asat /	tat api asat /
   prākprabodhāt saṃsāritva abhyupagamāt /	prAc-praboDAt saMsAritva aByupagamAt /
   tadviṣayatvāt ca pratyakṣādi vyavahārasya /	tad-vizaya-tvAt ca pratyakza-Adi vyavahArasya /
   'yatra tvasya sarvamātmaivābhūttatkena kaṃ paśyet' (bṛ. 2.4.14) ityādinā	ayatra tu-asya sarvam-AtmA-eva-aBUt-tat-kena kam paSyet-a (bR. 2.4.14) ityAdinA
   hi prabodhe pratyakṣādi abhāvaṃ darśayati /	hi praboDe pratyakza-Adi aBAvam darSayati /
   pratyakṣādi abhāve śruteḥ api abhāvaprasaṅga iti cet /	pratyakza-Adi aBAve SruteH api aBAva-prasaFgaH iti ced /
   na /	na /
   iṣṭatvāt /	izwa-tvAt /
   'atra pitāpitā bhavati' (bṛ. 4.3.22) iti upakramya 'vedā avedāḥ' (bṛ.	aatra pitApitAH Bavati-a (bR. 4.3.22) iti upakramya avedAH avedAHa (bR.
   4.3.22) iti vacanāt iṣyata eva asmābhiḥ śruteḥ api abhāvaḥ prabodhe /	4.3.22) iti vacanAt izyate eva asmABiH SruteH api aBAvaH praboDe /
   kasya punaḥ ayam aprabodha iti cet /	kasya punar ayam apraboDaH iti ced /
   ya- tvaṃ pṛcchasi tasya ta iti vadāmaḥ /	ya tvam pRcCasi tasya te iti vadAmaH /
   nanu aham īśvara eva uktaḥ śrutyā, yadi evaṃ pratibuddhaḥ asi na asti	nanu aham ISvaraH eva uktaH SrutyA, yadi evam pratibudDaH asi na asti
   kasyacit aprabodhaḥ /	kasyacid apraboDaH /
   yaḥ api doṣaḥ codyate kaiścit avidyā kila ātmanaḥ sadvitīyatvāt advaita	yaH api dozaH codyate kEScid avidyA kila AtmanaH sa-dvitIya-tvAt advEta
   anupapattiḥ iti saḥ api etena pratyuktaḥ /	anupapattiH iti saH api etena pratyuktaH /
   tasmāt ātma iti eva īśvare mano dadhīta // 3 //	tasmAt AtmaH iti eva ISvare manaH daDIta // 3 //
   3 pratīka adhikaraṇam / sū. 4	3 pratIka aDikaraNam / sU. 4
   na pratīke na hi saḥ | BBs_4,1.4 |	na pratIke na hi saH | BBH-_4,1.4 |
   'mano brahmetyupāsītetyadhyātmamathādhidaivatamākāśo brahmeti' (chā.	amanaH brahma-iti-upAsIta-iti-aDyAtmam-aTa-aDidEvatam-AkASaH brahma-iti-a (CA.
   3.18.1) 'tathā ādityo brahmetyādeśaḥ' (chā. 3.19.1) 'sa yo nāma	3.18.1) ataTA AdityaH brahma-iti-AdeSaH-a (CA. 3.19.1) asa yaH nAma
   brahmetyupāste' (chā. 7.1.5) iti evamādiṣu pratīka upāsaneṣu saṃśayaḥ -	brahma-iti-upAste-a (CA. 7.1.5) iti evamAdizu pratIkaH upAsanezu saMSayaH -
   kiṃ teṣu api ātmagrahaḥ kartavyo na vā iti /	kim tezu api Atma-grahaH kartavyaH na vA iti /
   kiṃ tāvat prāptam /	kim tAvat prAptam /
   teṣu api ātmagraha eva yuktaḥ /	tezu api Atma-grahaH eva yuktaH /
   kasmāt /	kasmAt /
   brahmaṇaḥ śrutiṣu ātmatvena prasiddhatvāt pratīkānām api brahmavikāratvāt	brahmaNaH Srutizu Atma-tvena prasidDa-tvAt pratIkAnAm api brahma-vikAra-tvAt-
   brahmatve satyām ātmatva upapatteḥ iti /	brahma-tve satyAm Atma-tve upapatteH iti /
   evaṃ prāpte brūmaḥ - na pratīkeṣu ātma matiṃ badhnīyāt /	evam prApte brUmaH  na pratIkezu Atma matim baDnIyAt /
   na hi sa upāsakaḥ pratīkāni vyastāni ātmatvenākalayet /	na hi saH upAsakaH pratIkAni vyastAni Atma-tvena-akalayet /
   yat punaḥ brahmavikāratvāt pratīkānāṃ brahmatvaṃ tataḥ ca ātmatvam iti /	yat punar brahma-vikAra-tvAt pratIkAnAm brahma-tvam tatas ca Atma-tvam iti /
   tat asat /	tat asat /
   pratīka abhāvaprasaṅgāt /	pratIka aBAva-prasaFgAt /
   vikārasvarūpa upamardena hi nāmādi jātasya brahmatvameva āśrite bhavati /	vikAra-svarUpaH upamardena hi nAma-Adi jAtasya brahma-tvam-eva ASrite Bavati /
   svarūpa upamarde ca nāmādīnāṃ kutaḥ pratīkatvam ātmagraho vā /	svarUpaH upamarde ca nAma-AdInAm kutas pratIka-tvam Atma-grahaH vA /
   na ca brahmaṇa ātmatvāt brahmadṛṣṭi upadeśeṣu ātmadṛṣṭiḥ kalpyā /	na ca brahmaNaH Atma-tvAt brahma-dRzwi upadeSezu Atma-dRzwiH kalpyAH /
   kartṛtvādi anirākaraṇāt /	kartR-tva-Adi anirAkaraNAt /
   kartṛtvādi saṃvarga saṃsāra dharmanirākaraṇe hi brahmaṇa ātmatva upadeśaḥ	kartR-tva-Adi saMvarga saMsAra Darma-nirAkaraNe hi brahmaNaH Atma-tve upadeSaH
   tat anirākaraṇena ca upāsanavidhānam /	tat anirAkaraNena ca upAsana-viDAnam /
   ataḥ ca upāsakasya pratīkaiḥ samatvāt ātmagraho na upapadyate /	atas ca upAsakasya pratIkEH sama-tvAt Atma-grahaH naH upapadyate /
   na hi rūcaka svastikayoḥ itaretara ātmatvam asti /	na hi rUcaka svastikayoH itaretaraH Atma-tvam asti /
   suvarṇa ātmatvena iva tu brahma ātmatvena ekatve pratīka abhāvaprasaṅgam	suvarNaH Atma-tvena iva tu brahma Atma-tvena ekatve pratIka aBAva-prasaFgam
   avocāma /	avocAma /
   ato na pratīkeṣu ātmadṛṣṭiḥ kriyate // 4 //	atas na pratIkezu Atma-dRzwiH kriyate // 4 //
   4 brahma dṛṣṭi adhikaraṇam / sū. 5	4 brahma dRzwi aDikaraNam / sU. 5
   brahmadṛṣṭir utkarṣāt | BBs_4,1.5 |	brahma-dRzwiH utkarzAt | BBH-_4,1.5 |
   teṣu eva udāharaṇeṣu anyaḥ saṃśayaḥ - kim ādityādi dṛṣṭayo brahmaṇi	tezu eva udAharaNezu anyaH saMSayaH  kim AdityAdi dRzwayaH brahmaNi
   adhyasitavyāḥ kiṃvā brahmadṛṣṭiḥ ādityādiṣu iti /	aDyasitavyAH kiMvA brahma-dRzwiH Aditya-Adizu iti /
   kutaḥ saṃśayaḥ -sāmānādhikaramye kāraṇa anavadhāraṇāt /	kutas saMSayaH -sAmAna-aDika-ramye kAraNa anavaDAraNAt /
   atra hi brahmaśabdasya ādityādiśabdaiḥ sāmānādhikaraṇyam upalabhyate /	atra hi brahma-Sabdasya Aditya-Adi-SabdEH sAmAnADikaraNyam upalaByate /
   ādityo brahma prāṇo brahma vidyut brahma ityādi samāna vibhakti nirdeśāt /	AdityaH brahma prANaH brahma vidyut brahma ityAdi samAna viBakti nirdeSAt /
   na ca atra āñjasaṃ sāmānādhikaraṇyam avakalpate /	na ca atra AQjasam sAmAnADikaraNyam avakalpate /
   arthāntaravacanatvāt brahma ādityādiśabdānām /	arTa-antara-vacana-tvAt brahma AdityAdi-SabdAnAm /
   na hi bhavati gauḥ aśva iti sāmānādhikaraṇyam /	na hi Bavati gOH aSvaH iti sAmAnADikaraNyam /
   nanu prakṛtivikārabhāvāt brahma ādityānāṃ mṛt śarāvādivat	nanu prakRti-vikAra-BAvAt brahma AdityAnAm mRd SarAva-Adi-vat-
   sāmānādhikaraṇyaṃ syāt /	sAmAnADikaraNyam syAt /
   na iti ucyate /	na iti ucyate /
   vikārapravilayo hi evaṃ prakṛtisāmānādhikaraṇyāt syāt /	vikAra-pravilayaH hi evam prakRti-sAmAnADikaraNyAt syAt /
   tataḥ ca pratīka abhāvaprasaṅgam avocāma /	tatas ca pratIka aBAva-prasaFgam avocAma /
   paramātma vākyaṃ ca idaṃ tadānīṃ syāt tataḥ ca upāsana adhikāro bādhyeta /	paramAtma vAkyam ca idam tadAnIm syAt tatas ca upAsana aDikAraH bADyeta /
   parimitavikāra upādānaṃ ca vyartham /	parimita-vikAraH upAdAnam ca vyarTam /
   tasmāt brāhmaṇaḥ agniḥ vaiśvānara ityādivat anyatra anyadṛṣṭi adhyāse sati	tasmAt brAhmaNaH agniH vESvAnaraH ityAdi-vat anyatra anya-dRzwi aDyAse sati
   kva kindṛṣṭiḥ adhyasyatām iti saṃśayaḥ /	kva kindRzwiH aDyasyatAm iti saMSayaH /
   tatra aniyamo niyamakāriṇaḥ śāstrasya abhāvāt ityevaṃ prāptam /	tatra aniyamaH niyama-kAriNaH SAstrasya aBAvAt iti-evam prAptam /
   athavā ādityādi dṛṣṭaya eva brahmaṇi kartavyā iti evaṃ prāptam /	aTavA AdityAdi dRzwayaH eva brahmaNi kartavyAH iti evam prAptam /
   evaṃ hi ādityādi dṛṣṭibhiḥ brahma upāsitaṃ bhavati brahma upāsanaṃ ca	evam hi AdityAdi dRzwiBiH brahma upAsitam Bavati brahma upAsanam ca
   phalavat iti śāstramaryādā /	Palavat iti SAstra-maryAdA /
   tasmāt na brahmadṛṣṭiḥ ādityādiṣu iti /	tasmAt na brahma-dRzwiH Aditya-Adizu iti /
   evaṃ prāpte brūmaḥ - brahmadṛṣṭiḥ eva ādityādiṣu syāt iti /	evam prApte brUmaH  brahma-dRzwiH eva AdityAdizu syAt iti /
   kasmāt /	kasmAt /
   utkarṣāt /	utkarzAt /
   evam utkarṣeṇa ādityādayo dṛṣṭā bhavanti /	evam utkarzeNa Aditya-AdayaH dRzwAH Bavanti /
   utkṛṣṭadṛṣṭeḥ teṣu adhyāsāt /	utkRzwa-dRzweH tezu aDyAsAt /
   tathā ca laukiko nyāyo anugato bhavati /	taTA ca lOkikaH nyAyaH anugataH Bavati /
   utkṛṣṭadṛṣṭiḥ hi nikṛṣṭe adhyasitavya iti laukiko nyāyaḥ /	utkRzwa-dRzwiH hi nikRzwe aDyasitavyaH iti lOkikaH nyAyaH /
   yathā rājadṛṣṭiḥ kṣattari /	yaTA rAja-dRzwiH kzattari /
   sa ca anusartavyaḥ /	sa ca anusartavyaH /
   viparyaye pratyavāya prasaṅgāt /	viparyaye pratyavAya prasaFgAt /
   na hi kṣattṛdṛṣṭiparigṛhīto rājā nikarṣaṃ nīyamānaḥ śreyase syāt /	na hi kzattR-dRzwi-parigRhItaH rAjA nikarzam nIyamAnaH Sreyase syAt /
   nanu śāstraprāmāṇyāt anāśaṅkanīyaḥ atra pratyavāya prasaṅgo na ca lokikena	nanu SAstra-prAmANyAt anASaFkanIyaH atra pratyavAya prasaFgaH na ca lokikena
   nyāyena śāstrīyā dṛṣṭiḥ niyantuṃ yukta iti /	nyAyena SAstrIyA dRzwiH niyantum yuktaH iti /
   atra ucyate - nirdhārite śāstrārtha etat evaṃ syāt /	atra ucyate  nirDArite SAstra-arTaH etat evam syAt /
   saṃdigdhe tu tasmin nirṇayaṃ prati lokikaḥ api nyāya āśrīyanāṇo na	saMdigDe tu tasmin nirNayam prati lokikaH api nyAya ASrIyanANaH na
   virudhyate /	viruDyate /
   tena ca utkṛṣṭadṛṣṭi adhyāse śāstrārthe avadhāryamāṇe nikṛṣṭadṛṣṭim	tena ca utkRzwa-dRzwi aDyAse SAstra-arTe avaDAryamANe nikRzwa-dRzwim
   adhyasyan pratyaveyāt iti śliṣyate /	aDyasyan pratyaveyAt iti Slizyate /
   prāthamyāt ca ādityādi śabdānāṃ mukhyārthatvam avirodhāt gṛhītavyam /	prATamyAt ca AdityAdi SabdAnAm muKya-arTa-tvam aviroDAt gRhItavyam /
   taiḥ svārthavṛttibhiḥ avaruddhāyāṃ buddhau paścāt avatarato brahmaśabdasya	tEH sva-arTa-vRttiBiH avarudDAyAm budDO paScAt avatarataH brahma-Sabdasya
   mukhyayā vṛttyā sāmānādhikaraṇya asaṃbhavāt brahmadṛṣṭividhānārthata eva	muKyayA vRttyA sAmAnA-aDikaraNya asaMBavAt brahma-dRzwi-viDAna-arTataH eva
   avatiṣṭhate /	avatizWate /
   itiparatvāt api brahmaśabdasya eṣa eva artho nyāyyaḥ /	iti-paratvAt api brahma-Sabdasya ezaH eva arTaH nyAyyaH /
   tathā hi 'brahmetyādeśaḥ' 'brahmetyupāsīta' 'brahametyupāste' iti ca	taTA hi abrahma-iti-AdeSaH-a abrahma-iti-upAsIta-a abraham-eti-upAste-a iti ca
   sarvatra itiparaṃ brahmaśabdam uccārayati śuddhān tu ādityādi śabdān /	sarvatra iti-param brahma-Sabdam uccArayati SudDAn tu AdityAdi SabdAn /
   tata- ca yathā śuktikāṃ rajatam iti pratyeti ityatra śuktivacana eva	tata ca yaTA SuktikAm rajatam iti pratyeti iti-atra Sukti-vacanaH eva
   śuktikā śabdo rajataśabdaḥ tu rajatapratīti lakṣaṇārthaḥ /	SuktikA SabdaH rajata-SabdaH tu rajata-prati-iti lakzaNa-arTaH /
   pratyetyeva hi kevalaṃ rajatam iti na tu tatra rajatam asti /	pratyeti-eva hi kevalam rajatam iti na tu tatra rajatam asti /
   evam atra api ādityādīn brahma iti pratīyāt iti gamyate /	evam atra api Aditya-AdIn brahma iti pratIyAt iti gamyate /
   vākyaśeṣaḥ api ca dvitīyānirdeśena ādityādīneva upāstikriyayā vyāpyamānān	vAkya-SezaH api ca dvitIyA-nirdeSena Aditya-AdIn-eva upAsti-kriyayA vyApyamAnAn
   darśayati - 'sa ya etamevaṃ vidvānādityaṃ brahmetyupāste' (chā. 3.19.4),	darSayati  asa yaH etam-evam vidvAn-Adityam brahma-iti-upAste-a (CA. 3.19.4),
   'yo vācaṃ brahmetyupāste' (chā. 7.2.2), 'yaḥ saṃkalpaḥ brahmetyupāste'	ayaH vAcam brahma-iti-upAste-a (CA. 7.2.2), ayaH saMkalpaH brahma-iti-upAste-a
   (chā. 7.4.3) iti ca /	(CA. 7.4.3) iti ca /
   yat tu uktaṃ brahma upāsanām eva atra ādaraṇīyaṃ phalatvāya iti /	yat tu uktam brahma upAsanAm eva atra AdaraNIyam Pala-tvAya iti /
   tat ayuktam /	tat ayuktam /
   uktena nyāyena ādityādīnām eva upāsyatva avagamāt /	uktena nyAyena Aditya-AdInAm eva upAsyatva avagamAt /
   phalaṃ tu atithyādi upāsana iva ādityādi upāsane 'pi brahma eva dāsyati	Palam tu atiTi-Adi upAsanaH iva AdityAdi upAsane api brahma eva dAsyati
   sarva adhyakṣatvāt /	sarva aDyakza-tvAt /
   varṇitaṃ ca etat 'phalamata upapatteḥ' (bra.sū. 3.2.38) iti atra /	varNitam ca etat aPalam-atas upapatteH-a (bra.sU. 3.2.38) iti atra /
   īdṛśaṃ ca atra brahmaṇa upāsyatvaṃ yat pratīkeṣu tat dṛṣṭi adhyāropaṇaṃ	IdRSam ca atra brahmaNaH upAsya-tvam yat pratIkezu tat dRzwi aDyAropaNam
   pratimādiṣu iva viṣṇu ādīnām // 5 //	pratimA-Adizu iva vizNu AdInAm // 5 //
   ādityādimati adhikaraṇam / sū. 6	AdityAdimati aDikaraNam / sU. 6
   ādityādimatayaś cāṅga upapatteḥ | BBs_4,1.6 |	Aditya-Adi-matayaH ca-aFgaH upapatteH | BBH-_4,1.6 |
   'ya evāsau tapati tamudgīthamupāsīta' (chā. 1.3.1), 'lokeṣu pañcavidhaṃ	ayaH eva-asO tapati tam-udgITam-upAsIta-a (CA. 1.3.1), alokezu paQcaviDam
   sāmopāsīta' (chā. 2.2.1), 'vāci saptavidhaṃ sāmopāsīta' (chā. 2.8.1),	sAma-upAsIta-a (CA. 2.2.1), avAci saptaviDam sAma-upAsIta-a (CA. 2.8.1),
   'iyamevargagniḥ sāma' (chā. 1.6.1) iti evamādiṣu aṅgāvabaddheṣu upāsaneṣu	aiyam-eva-RgagniH sAma-a (CA. 1.6.1) iti evamAdizu aFga-avabadDezu upAsanezu
   saṃśayaḥ kim ādityādiṣu udgīthādi dṛṣṭayo vidhīyante kiṃ vā udgīthādiṣu	saMSayaH kim Aditya-Adizu udgITa-Adi dRzwayaH viDIyante kim vA udgITa-Adizu
   eva ādityādi dṛṣṭaya iti /	eva AdityAdi dRzwayaH iti /
   tatra aniyamo niyamakāraṇa abhāvāt iti prāptam /	tatra aniyamaH niyama-kAraNa aBAvAt iti prAptam /
   na hi atra brahmaṇa iva kasyacit utkarṣaviśeṣaḥ avadhāryate 'brahma hi	na hi atra brahmaNaH iva kasyacid utkarza-viSezaH avaDAryate abrahma hi
   samasta jagat kāraṇatvāt apahatapāpmatvādi guṇayogāt ca ādityādibhya	samasta jagat kAraNa-tvAt apahata-pApma-tva-Adi guNa-yogAt ca AdityAdiBya
   utkṛṣṭam iti śakyam avadhārayituṃ na tu āditya udgīthādīnāṃ vikāratva	utkRzwam iti Sakyam avaDArayitum na tu AdityaH udgITa-AdInAm vikAra-tva
   aviśeṣāt kañcit utkarṣaviśeṣa avadhāraṇe kāraṇam asti /	aviSezAt kaQcid utkarza-viSeza avaDAraNe kAraNam asti /
   athavā niyamena udgīthādimataya ādityādiṣu adhyasyeran /	aTavA niyamena udgITa-Adi-matayaH Aditya-Adizu aDyasyeran /
   kasmāt /	kasmAt /
   karmātmakatvāt udgīthādīnāṃ karmaṇaḥ ca phalaprāptiprasiddheḥ /	karma-Atmaka-tvAt udgITa-AdInAm karmaNaH ca Pala-prApti-prasidDeH /
   udgīthādimatibhiḥ upāsyamānā ādityādayaḥ karmātmakāḥ santaḥ phalahetavo	udgITa-Adi-matiBiH upAsyamAnAH Aditya-AdayaH karma-AtmakAH santaH Pala-hetavaH-
   bhaviṣyanti /	Bavizyanti /
   tathā ca 'iyamevargagniḥ sāma'(chā. 1.6.1) iti atra	taTA ca aiyam-eva-RgagniH sAma-a(CA. 1.6.1) iti atra
   'tadetadetasyāmṛcyadhyūḍhaṃ sāma' (chā. 1.6.1) iti ṛkśabdena pṛthivīṃ	atat-etat-etasyAmRci-aDyUXam sAma-a (CA. 1.6.1) iti Rc-Sabdena pRTivIm
   nirdiśati sāmaśabdena agniṃ tat ca pṛthivi agnyoḥ rṛk sāmadṛṣṭicīkīrṣāyām	nirdiSati sAma-Sabdena agnim tat ca pRTivi agnyoH rRc sAma-dRzwi-cIkIrzAyAm
   avakalpate na ṛk sāmayoḥ pṛthivi agnidṛṣṭi cikīrṣāyām /	avakalpate na Rc sAmayoH pRTivi agni-dRzwi cikIrzAyAm /
   kṣattari hi rājadṛṣṭikaraṇāt rājaśabda upacaryate na rājani kṣattṛśabdaḥ /	kzattari hi rAja-dRzwi-karaNAt rAja-SabdaH upacaryate na rAjani kzattR-SabdaH /
   api ca 'lokeṣu pañcavidhaṃ sāmopāsīta' (chā. 2.2.1) iti adhikaraṇanirdeśāt	api ca alokezu paQcaviDam sAma-upAsIta-a (CA. 2.2.1) iti aDikaraNa-nirdeSAt-
   lokeṣu sāma adhyasitavyam iti pratīyate /	lokezu sAma aDyasitavyam iti pratIyate /
   'etadgāyatraṃ prāṇeṣu protam' (chā. 2.11.1) iti ca etadevaṃ darśayati /	aetat-gAyatram prANezu protam-a (CA. 2.11.1) iti ca etat-evam darSayati /
   prathamanirdiṣṭeṣu ca ādityādiṣu caramanirdiṣṭaṃ brahma adhyastam 'ādityo	praTama-nirdizwezu ca AdityAdizu caram-anirdizwam brahma aDyastam aAdityaH-
   brahmetyādeśaḥ' (chā. 3.19.1) ityādiṣu /	brahma-iti-AdeSaH-a (CA. 3.19.1) ityAdizu /
   prathamanirdiṣṭāḥ ca pṛthivyādayaḥ caramanardiṣṭā hiṅkārādayaḥ 'pṛthivī	praTama-nirdizwAH ca pRTivI-AdayaH caramanardizwA hiFkAra-AdayaH apRTivI
   hiṅkāraḥ' (chā. 2.2.1) ityādi śrutiṣu /	hiFkAraH-a (CA. 2.2.1) ityAdi Srutizu /
   ataḥ	atas-
   anaṅgeṣu ādityādiṣu aṅgam atinikṣepa iti /	anaFgezu AdityAdizu aFgam ati-nikzepaH iti /
   evaṃ prāpte brūmaḥ - ādityādimataya eva aṅgeṣu udgīthādiṣu kṣipyeran /	evam prApte brUmaH  AdityAdi-matayaH eva aFgezu udgITa-Adizu kzipyeran /
   kutaḥ - upapatteḥ /	kutas  upapatteH /
   upapadyate hi evam apūrvasaṃnikarṣāt ādityādimatibhiḥ saṃskriyamāṇeṣu	upapadyate hi evam apUrva-saMnikarzAt Aditya-Adi-matiBiH saMskriyamANezu
   udgīthādiṣu karmasamṛddhiḥ /	udgITa-Adizu karma-samRdDiH /
   'yadeva vidyayā karoti śraddhayopaniṣadā tadeva vīryavattaraṃ bhavati'	ayat-eva vidyayA karoti SradDayA-upanizadA tat-eva vIryavattaram Bavati-a
   (chā. 1.1.10) iti ca vidyāyāḥ karmasamṛddhihetutvaṃ darśayati /	(CA. 1.1.10) iti ca vidyAyAH karma-samRdDi-hetu-tvam darSayati /
   bhavatu karmasamṛddhiphaleṣu evaṃ, svatantraphaleṣu tu katham 'ya etadevaṃ	Bavatu karma-samRdDi-Palezu evaM, svatantra-Palezu tu kaTam ayaH etat-evam
   vidvāṃllokeṣu pañcavidhaṃ sāmopāste' (chā. 2.2.3) ityādiṣu /	vidvAn=-lokezu paQcaviDam sAma-upAste-a (CA. 2.2.3) ityAdizu /
   teṣu api adhikṛta adhikārāt prakṛta apūrvasaṃnikarṣeṇa eva phalakalpanā	tezu api aDikRta aDikArAt prakRta apUrva-saMnikarzeNa eva Pala-kalpanA
   yuktā godohanādīniyamavat /	yuktA go-dohana-AdI-niyama-vat /
   phalātmakatvāt ca ādityādīnām udgīthādibhyaḥ karmātmakebhya utkarṣa	Pala-Atmaka-tvAt ca Aditya-AdInAm udgITa-AdiByaH karma-AtmakeByaH utkarza
   upapattiḥ ādityādiprāptilakṣaṇaṃ hi karmaphalaṃ śiṣyate śrutiṣu /	upapattiH Aditya-Adi-prApti-lakzaNam hi karma-Palam Sizyate Srutizu /
   api ca 'omityetadakṣaramudgīthamupāsīta' (chā. 1.1.1)	api ca aom-iti-etat-akzara-mudgITam-upAsIta-a (CA. 1.1.1)
   'khalvetasyaivākṣarasyopavyākhyātaṃ bhavati' (chā. 1.1.10)	aKalu-etasya-eva-akzarasya-upavyAKyAtam Bavati-a (CA. 1.1.10)
   iti ca udgīthameva upāsyatvena upakramya ādityādimatīḥ vidadhāti /	iti ca udgITam-eva upAsya-tvena upakramya AdityAdi-matIH vidaDAti /
   yat tu uktam udgīthādimatibhiḥ upāsyamānā ādityādayaḥ karmabhūyaṃ bhūtvā	yat tu uktam udgITa-Adi-matiBiH upAsyamAnA Aditya-AdayaH karma-BUyam BUtvA
   phalaṃ kariṣyanti iti /	Palam karizyanti iti /
   tat ayuktam /	tat ayuktam /
   svayameva upāsanasya karmatvāt phalavattva upapatteḥ /	svayam-eva upAsanasya karma-tvAt Palavat-tvaH upapatteH /
   ādityādibhāvena api ca dṛśyamānānām udgīthādīnāṃ karmātmakatvān apāyāt /	Aditya-Adi-BAvena api ca dRSyamAnAnAm udgITa-AdInAm karma-Atmaka-tvAn apAyAt /
   'tadetadetasyāmṛcyadhyūḍhaṃ sāma' (chā. 1.6.1) iti tu lākṣaṇika eva	atat-etat-etasyAmRci-aDyUXam sAma-a (CA. 1.6.1) iti tu lAkzaNikaH eva
   pṛthivī agnyoḥ ṛk sāmaśabdaprayogaḥ /	pRTivI agnyoH Rc sAma-Sabda-prayogaH /
   lakṣaṇā ca yathāsaṃbhavaṃ saṃnikṛṣṭena viprakṛṣṭena vā svārthasaṃbandhena	lakzaNA ca yaTAsaMBavam saMnikRzwena viprakRzwena vA sva-arTa-saMbanDena
   pravartate /	pravartate /
   tatra yadi api ṛk sāmayoḥ pṛthivī agnyoḥ ca saṃnidhānayoreva eṣa ṛk	tatra yadi api Rc sAmayoH pRTivI agnyoH ca saMniDAnayoH-eva ezaH Rc-
   sāmaśabdaprayoga ṛk sāmasaṃbandhāt iti niścīyate /	sAma-Sabda-prayogaH Rc sAma-saMbanDAt iti niScIyate /
   kṣattṛśabdaḥapi hi kutaścit kāraṇāt rājānam upasarpan na nivārayituṃ	kzattR-SabdaH-api hi kutaScid kAraNAt rAjAnam upasarpan na nivArayitum
   pāryate /	pAryate /
   'iyamevarka'(chā. 1.6.1) iti ca yathā akṣaranyāsam ṛca eva pṛthivītvam	aiyam-evarka-a(CA. 1.6.1) iti ca yaTA akzara-nyAsam RcaH eva pRTivI-tvam
   avadhārayati /	avaDArayati /
   pṛthivyā hi aktve avadhāryamāṇa iyam ṛk eva ityakṣaranyāsaḥ syāt /	pRTivyAH hi aktve avaDAryamANaH iyam Rc eva iti-akzara-nyAsaH syAt /
   'ya evaṃ vidvānsāma gāyati' (chā. 1.7.7) iti ca aṅgāśrayameva vijñānam	ayaH evam vidvAn-sAma gAyati-a (CA. 1.7.7) iti ca aFga-ASrayam-eva vijQAnam
   upasaṃharati na pṛthivyādi āśrayam /	upasaMharati na pRTivI-Adi ASrayam /
   tathā 'lokeṣu pañcavidhaṃ sāmopāsīta' (chā. 2.2.1) iti yadi api	taTA alokezu paQcaviDam sAma-upAsIta-a (CA. 2.2.1) iti yadi api
   saptamīnirdiṣṭā lokāḥ tathāpi sāmnyeva te adhyasyeran dvitīyānirdeśena	saptamI-nirdizwAH lokAH taTA-api sAmni-eva te aDyasyeran dvitIya-anirdeSena
