   Maitrāyaṇī Saṃhitā	MEtrAyaNI  SaMhitA
   vātāt parigṛhṇāmi svāhā //MS_1,2.2//	vAtAt parigRhNAmi svAhA //n= _1,2.2//
   nakṣatrāṇāṃ sakāśān mā yauṣaṃ vrataṃ carata //	nakzatrANAm sakASAt mA yOzam vratam carataH //
        daivīṃ dhiyaṃ manāmahe sumṛḍīkām abhiṣṭaye /	dEvIm Diyam manAmahe su mRxIkAm aBizwaye /
        varcodhāṃ yajñavāhasaṃ sutīrthā no asad vaśe //	varcaH DAm yajQa vAhasam sutIrTAH naH asat vaSe //
   ye devā manujātā manoyujaḥ sudakṣā dakṣapitaras te no 'vantu te naḥ pāntu	ye devAH manu jAtA manaH yujaH sudakzAH dakza pitaraH te naH avantu te naH pAntu
   tebhyaḥ svāhā //	teByaH svAhA //
   [Page I,12]	[Pa ge I,12]
        śivāḥ pītā bhavata yūyam āpo asmākaṃ yonā udare suśevāḥ /	SivAH pItA Bavata yUyam ApaH asmAkam yonAH udare su SevAH /
        irāvatīr anamīvā anāgasaḥ śivā no bhavata jīvase //	irAvatIH anamIvAH anAgasaH SivAH naH BavataH jIvase //
        kāmo haviṣāṃ mandiṣṭho 'gne tvaṃ su jāgṛhi vayaṃ su mandiṣīmahi /	kAmaH havizAm mandizWaH agne tvam su jAgRhi vayam su mandizImahi /
        gopāya naḥ svastaye prabudhe naḥ punas kṛdhi //	gopAya naH svastaye prabuDe naH punar kRDi //
        punar manaḥ punar āyur nā āgāt punaḥ prāṇaḥ punar ākūtam āgāt /	punar manaH punar AyuH nA AgAt punar prANaH punar AkUtam AgAt /
        vaiśvānaro 'dabdhas tanūpā apabādhatāṃ duritāni viśvā //	vESvAnaraH adabDaH tanUpAH apabADatAm duritAni viSvA //
        tvam agne vratapā asi deva ā martyeṣv ā /	tvam agne vratapAH asi deva A martyezu A /
        tvaṃ yajñeṣv īḍyo vratam asmāsu dhāraya //	tvam yajQezu IxyaH vratam asmAsu DAraya //
   pūṣā sanīnāṃ somo rādhasāṃ mā pṛṇan pūrtyā virādhiṣṭa mā vayam āyuṣā	pUzA sanInAm somaH rADasAm mA pRNan pUrtyA virADizwa mA vayam AyuzA
   varcasā ca rāsveyat somā bhūyo bhara devaḥ savitā vasor vasudāvā vāyur	varcasA ca rAsveyat somAH BUyas Bara devaH savitA vasoH vasudAvAH vAyuH 
   gopās tvaṣṭādhipatiḥ puṣā pratigrahītā devīr āpo apāṃ napād ya ūrmir	gopAH tu azwA aDipatiH puzA pratigrahItAH devIH ApaH apAm napAt yaH UrmiH 
   haviṣya indriyāvān madintamas taṃ vo mā kramiṣaṃ yāḥ paśūnām ṛṣabhe vācas	havizye indriyAvAn madintamaH tam vaH mA kramizam yAH paSUnAm RzaBe vAcas
   tāḥ sūryo agre śukro agre tāḥ prahiṇomi yathābhāgaṃ vo atra śivā naḥ punar	tAH sUryaH agre SukraH agre tAH prahiNomi yaTABAgam vaH atra SivAH naH punar 
   āyantu vāco vāyave tvā varuṇāya tvā rudrāya tvā nirṛtyai tvendrāya tvā	Ayantu vAcaH vAyave tvA varuNAya tvA rudrAya tvA nirRtyE tvA indrAya tvA
   marudbhyas tvā //MS_1,2.3//	marudByaH tvA //n= _1,2.3//
   [Page I,13]	[Pa ge I,13]
   iyaṃ te śukra tanūr idaṃ varcas tayā saṃbhava bhrājaṃ gacha jūr asi dhṛtā	iyam te Sukra tanUH idam varcaH tayA saMBava BrAjam gaCa jUH asi DRtA
   manasā juṣṭā viṣṇave tasyās te satyasavasaḥ prasave tanvo yantram aśīya	manasA juzwAH vizNave tasyAH te satya savasaH prasave tanvaH yantram aSIya
   svāhā śukram asi candram asy amṛtam asi vaiśvadevam asi cid asi manāsi	svAhA Sukram asi candram asi amRtam asi vESvadevam asi cit asi manAsi
   dhīr asi dakṣiṇāsi yajñiyāsi kṣatriyāsy aditir asy ubhayataḥśīrṣṇī sā naḥ	DIH asi dakziNA asi yajQiyA asi kzatriyA asi aditiH asi uBayatas SIrzNI sA naH
   suprācī supratīcī bhava mitras tvā padi badhnātu pūṣādhvanaḥ pātv	suprAcI supratIcI Bava mitraH tvA padi baDnAtu pUzA DvanaH pAtv
   indrāyādhyakṣāyānu tvā mātā manyatām anu pitānu bhrātā sagarbhyo 'nu sakhā	indrAya aDyakzAya anu tvA mAtA manyatAm anu pitA anu BrAtA sagarByaH anu saKA
   sayūthyaḥ sā devi devam achehīndrāya somaṃ rudras tvāvartayatu svasti	sa yUTyaH sA devi devam aCehi indrAya somam rudraH tu Avartayatu svasti
   somasakhā punar ehi vasvy asi rudrāsy aditir asy ādityāsi candrāsi rudrāsi	soma saKA punar ehi vasvI asi rudrA asi aditiH asi Aditya asi candrA asi rudrA asi
   bṛhaspatiṣ ṭvā sumne ramṇātu rudro vasubhir ācake pṛthivyās tvā mūrdhann	bRhaspatiH wvA sumne ramNAtu rudraH vasuBiH Acake pRTivyAH tvA mUrDan= 
   ājigharmi yajñiyā iḍāyās pade ghṛtavati svāhāsme ramasvāsme te rāyas tava	Aji Garmi yajQiyAH ixAyAH pade GRtavati svAhA asme ramasva asme te rAyaH tava
   rāyas tavatava rāyo mā rāyaspoṣeṇa viyauṣma tvaṣṭrimantas tvā sapema	rAyaH tavatava rAyaH mA rAyaspozeNa viyOzma tvazwrimantar tvA sapema
   //MS_1,2.4//	//n= _1,2.4//
        sūryasya cakṣur āruham agner akṣṇaḥ kanīnikām /	sUryasya cakzuH Aruham agneH akzNaH kanInikAm /
        yad etaśebhir īyase bhrājamāno vipaścitā //	yat etaSeBiH Iyase BrAjamAnaH vipaScitAH //
   [Page I,14]	[Pa ge I,14]
        api panthām aganmahi svastigām anehasam /	api panTAm aganmahi svasti gAm anehasam /
        yena viśvāḥ pari dviṣo vṛṇakti vindate vasu //	yena viSvAH pari dvizaH vRNakti vindate vasu //
   āsmāko 'si śukras te grahaḥ svāhā tvā vicidbhyaḥ //	AsmAkaH asi SukraH te grahaH svAhA tvA vicidByaH //
        abhi tyaṃ devaṃ savitāramoṇyoḥ kavikratum arcāmi satyasavasaṃ	aBi tyam devam savitAra moNyoH kavi kratum arcAmi satya savasaM
   ratnadhām abhi priyaṃ matim /	ratnaDAm aBi priyam matim /
        ūrdhvā yasyāmatir bhā adidyutat savīmani hiraṇyapāṇir amimīta	UrDvA yasya amatiH BAs adidyutat savImani hiraNya pANiH amimIta
   sukratuḥ kṛpā svaḥ //	sukratuH kRpA svar //
   prajābhyas tvā prajās tvānuprāṇantu prajāḥ pāhi śukraṃ te śukra śukreṇa	prajAByaH tvA prajAH tvA anuprANantu prajAH pAhi Sukram te Sukra SukreNa
   candraṃ candreṇāmṛtam amṛtena krīṇāmi deva soma śakma yat te gor asme te	candram candreNa amRtam amRtena krINAmi deva soma Sakma yat te goH asme te
   candrāṇi tapasas tanūr asi prajāpater varṇaḥ sahasrapoṣaṃ puṣyantī	candrANi tapasaH tanUH asi prajApateH varNaH sahasra pozam puzyantI
   parameṇa paśunā krīyasvāsme te bandhuḥ suvāṅ nabhrāḍ aṅghāre bambhāre	parameNa paSunA krIyasva asme te banDuH su vAc naBrAj aFGAre bamBAre
   'star ahasta kṛśāna ete vaḥ somakrayaṇās tān rakṣadhvaṃ mā vo dabhan	astar ahar ta kRSAne ete vaH soma krayaNAH tAn rakzaDvam mA vaH daBan
   duścakṣā vo māvakśat //MS_1,2.5//	duScakzAH vaH mA avakSat //n= _1,2.5//
   somakrayaṇās : FN Correcturen und Conjecturen zu dem ganzen Werk.	soma krayaNAH : FN Corret turet und Conjet turet zu dem ganzet Werk.
   [Page I,15]	[Pa ge I,15]
   svajā asi svabhūr asy asme karmaṇe jāta ṛtena tvā gṛhṇāmy ṛtena naḥ pāhi	sva jAH asi svaBUH asi asme karmaNe jAtaH Rtena tvA gRhNAmi Rtena naH pAhi
   mitro nā ehi sumitradhaḥ saha rāyaspoṣeṇendrasyorum āviśa dakṣiṇam uśann	mitraH nA ehi sumitraDas saha rAyaspozeNa indrasya Urum AviSa dakziNam uSann
   uśantaṃ syonaḥ syonam //	uSantam syonaH syonam //
        ud āyuṣā svāyuṣod oṣadhīnāṃ rasena /	ud AyuzA sva Ayuzod ozaDInAm rasena /
        ut parjanyasya dhāmnodasthām amṛtaṃ anu //	ud parjanyasya DAmnoda sTAm amRtam anu //
   urv antarikṣaṃ vīhy adityāḥ sadā āsīda //	uru antarikzam vIhi adityAH sadA AsIda //
        astabhnād dyām ṛṣabho antarikṣam amimīta varimāṇaṃ pṛthivyāḥ /	astaBnAt dyAm RzaBaH antarikzam amimIta varimANam pRTivyAH /
        āsīdad viśvā bhuvanāni samrāḍ viśvet tāni varuṇasya vratāni //	AsIdat viSvA BuvanAni samrAj viSvet tAni varuNasya vratAni //
        vaneṣu vy antarikṣaṃ tatāna vājam arvatsu payo aghnyāsu /	vanezu vi antarikzam tatAna vAjam arvatsu payaH aGnyAsu /
        hṛtsu kratuṃ varuṇaṃ dikṣv agniṃ divi sūryam adadhāt somam adrau //	hRtsu kratum varuNam dikzu agnim divi sUryam adaDAt somam adrO //
   dhūr asi dhvara dhvarantaṃ yo asmān dhvarād yaṃ vayaṃ dhvarāma taṃ dhvara	DUH asi Dvara Dvarantam yaH asmAn DvarAt yam vayam DvarAma tam Dvara
   vāruṇam asi varuṇas tvottabhnātu varuṇasya skambho 'si //	vAruNam asi varuNaH tvA uttaBnAtu varuNasya skamBaH asi //
        pracyavasva bhuvanaspate viśvāny abhi dhāmāni /	pracyavasva Buvanaspate viSvAni aBi DAmAni /
        mā tvā paripariṇo mā paripanthino mā tvā vṛkā aghāyavo vidan //	mA tvA paripariNaH mA paripanTinaH mA tvA vRkAH aGAyavaH vidan //
        śyeno bhūtvā parāpata yajamānasya no gṛhe saṃskṛtam /	SyenaH BUtvA parApata yajamAnasya naH gRhe saMskRtam /
        devebhyaḥ sutyāyai //	deveByaH sutyAyE //
        namo mitrasya varuṇasya cakṣase maho devāya tad ṛtaṃ saparyata /	namaH mitrasya varuNasya cakzase mahaH devAya tat Rtam sa paryata /
        dūredṛśe devajātāya ketave divas putrāya sūryāya śaṃsata //	dUra IdRSe deva jAtAya ketave divaH putrAya sUryAya SaMsate //
   [Page I,16]	[Pa ge I,16]
   vāruṇam asi varuṇas tvottabhnātu varuṇasya skambhasarjanam asi //	vAruNam asi varuNaH tvA uttaBnAtu varuNasya skamBa sarjanam asi //
   vicṛtto varuṇasya pāśaḥ pratyasto varuṇasya pāśo namo varuṇasya pāśāyāgnes	vicRttaH varuNasya pASaH pratyastaH varuNasya pASaH namaH varuNasya pASAya agneH 
   tanūr asi viṣṇave tvā somasya tanūr asi viṣṇave tvātither ātithyam asi	tanUH asi vizNave tvA somasya tanUH asi vizNave tvA atiTeH AtiTyam asi
   viṣṇave tvāgnaye tvā rāyaspoṣade viṣṇave tvā śyenāya tvā somabhṛte viṣṇave	vizNave tvA agnaye tvA rAyaspoza de vizNave tvA SyenAya tvA somaBRte vizNave
   tvā vāruṇam asi varuṇo 'si dhṛtavrato varuṇasya ṛtasadanam āsīda varuṇāya	tvA vAruNam asi varuNaH asi DRta vrataH varuNasya Rta sadanam AsIda varuNAya
   tvā //MS_1,2.6//	tvA //n= _1,2.6//
   agner janitram asi vṛṣaṇau stha urvaśy asy āyur asi purūravā asi gāyatram	agneH janitram asi vRzaNO sTaH urvaSI asi AyuH asi purUravAH asi gAyatram
   asi triṣṭub asi jagad asi //	asi trizwuB asi jagat asi //
   bhavataṃ naḥ samanasau samokasau sacetasā arepasau //	Bavatam naH sa manasO samokasO sacetasA arepasO //
   mā yajñaṃ hiṃsiṣṭaṃ mā yajñapatiṃ jātavedasau śivau bhavatam adya naḥ //	mA yajQam hiMsizwam mA yajQapatim jAtavedasO SivO Bavatam adya naH //
   agnā agniś carati praviṣṭā ṛṣīṇāṃ putro adhirāja eṣaḥ //	agnA agniH carati pravizwAH RzINAm putraH aDirAjaH ezaH //
   tasmai vidhema haviṣā vayaṃ mā devānāṃ yūyupāma bhāgadheyam //	tasmE viDema havizA vayam mA devAnAm yUyu pAma BAgaDeyam //
   āpataye tvā gṛhṇāmi paripataye tvā gṛhṇāmi tanūnaptre śakmane śakvarāya	Apataye tvA gRhNAmi paripataye tvA gRhNAmi tanUnaptre Sakmane SakvarAya
   śakmanā ojiṣṭhāyānādhṛṣṭam asy anādhṛṣyaṃ devānām ojaḥ // abhiśastipā	SakmanAH ojizWAyAnADRzwam asi anADRzyam devAnAm ojaH // aBiSasti pAH 
   anabhiśastenyam //	anaBiSasta inyam //
   anu ma idaṃ vrataṃ vratapatir manyatām anu dīkṣāṃ dīkṣāpatir añjasā satyam	anu me idam vratam vrata patiH manyatAm anu dIkzAm dIkzA patiH aQjasA satyam
   upāgāṃ suvite mā dhā agne vratapate yā mama tanūr eṣā sā tvayy agne	upAgAm suvite mA DAH agne vratapate yA mama tanUH ezA sA tvayi agne
   vratapate yā tava tanūr iyaṃ sā mayi saha nau vratapate vratinor vratāny	vratapate yA tava tanUH iyam sA mayi saha nO vratapate vratinoH vratAni 
   aṃśuraṃśuṣ ṭe deva somāpyāyatām indrāyaikadhanavida ā tvam indrāya	aMSuH aMSuH we deva soma ApyAyatAm indrAya eka Dana vida A tvam indrAya
   pyāyasvā tubhyam indraḥ pyāyatām āpyāyaya sakhīnt sanyā medhayā svasti te	pyAyasvA tuByam indraH pyAyatAm ApyAyaya saKInt sanyA meDayA svasti te
   deva soma sutyām aśīya svasty udṛcam eṣṭā rāyā eṣṭā vāmāni preṣe bhagāya	deva soma sutyAm aSIya svasti udRcam ezwA rAyA ezwA vAmAni preze BagAya
   ṛtam ṛtavādibhyo namo dive namaḥ pṛthivyai //	Rtam RtavAdiByaH namaH dive namaH pRTivyE //
        yā te agne 'yāśayā tanūr varṣiṣṭhā gahenaṣṭhā /	yA te agne ayASayA tanUH varzizWA gahenazWAH /
        tveṣaṃ vaco apāvadhīr ugraṃ vaco apāvadhīḥ // svāhā //	tvezam vacaH apAvaDIH ugram vacaH apAvaDIH // svAhA //
   yā te agne rajāśayā yā te agne harāśayā yā te agne rudriyā tanūs tayā naḥ	yA te agne raja ASayA yA te agne harASayA yA te agne rudriyA tanUH tayA naH
   pāhi tasyai te svāhā //MS_1,2.7//	pAhi tasyE te svAhA //n= _1,2.7//
   taptāyanī me 'si vittāyanī me 'sy avatān mā nāthitam avatād vyathitam agne	taptAyanI me asi vittAyanI me asi avatAt mA nATitam avatAt vyaTitam agne
   aṅgiro yo 'syāṃ pṛthivyām adhy asy āyunā nāmnehi vasavas tvā harantu	aFgiraH yaH asyAm pRTivyAm aDi asi AyunA nAmnA ihi vasavaH tvA harantu
   gāyatreṇa chandasā vitsva yajñapater yat te 'nādhṛṣṭaṃ dhāmānādhṛṣyaṃ tena	gAyatreNa CandasA vitsva yajQapateH yat te anADRzwam DAmAnADRzyam tena
   tvādadhe 'gne aṅgiro yo dvitīyasyāṃ pṛthivyām adhy asy āyunā nāmnehi	tvAdaDe agne aFgiraH yaH dvitIyasyAm pRTivyAm aDi asi AyunA nAmnA ihi
   rudrās tvā harantu traiṣṭubhena chandasā vitsva yajñapater yat te	rudrAH tvA harantu trEzwuBena CandasA vitsva yajQapateH yat te
   'nādhṛṣṭaṃ dhāmānādhṛṣyaṃ tena tvādadhe 'gne aṅgiro yas tṛtīyasyāṃ	anADRzwam DAmAnADRzyam tena tvAdaDe agne aFgiraH yaH tRtIyasyAm
   pṛthivyām adhy asy āyunā nāmnehy ādityās tvā harantu jāgatena chandasā	pRTivyAm aDi asi AyunA nAmnA ihi AdityAH tvA harantu jAgatena CandasA
   vitsva yajñapater yat te 'nādhṛṣṭaṃ dhāmānādhṛṣyaṃ tena tvādadhe vider	vitsva yajQapateH yat te anADRzwam DAmAnADRzyam tena tvAdaDe vider
   agne nabho nāma yat te siṃhīr asi mahiṣīr asi devebhyaḥ śundhasva	agne naBaH nAma yat te siMhIH asi mahizIH asi deveByaH SunDasva
   devebhyaḥ śumbhasvendraghoṣās tvā purastād vasubhiḥ pāntu pitaras tvā	deveByaH SumBa sva indra GozAH tvA purastAt vasuBiH pAntu pitaraH tvA
   manojavā dakṣiṇataḥ pāntu rudrās tvā pracetasaḥ paścāt pāntu viśvakarmā	manojavAH dakziNatas pAntu rudrAH tvA pracetasaH paScAt pAntu viSvakarmA
   tvādityair uttarāt pātu siṃhīr asi sapatnasāhī svāhā siṃhīr asi	tvAdityEH uttarAt pAtu siMhIH asi sapatna sAhI svAhA siMhIH asi
   rāyaspoṣavaniḥ svāhā siṃhīr asi suprajāvaniḥ svāhā siṃhīr asy ādityavaniḥ	rAyaspoza vaniH svAhA siMhIH asi su prajA avaniH svAhA siMhIH asi Aditya vaniH
   sajātavaniḥ svāhā siṃhīr asy āvaha devān devāyate yajamānāya svāhā	sajAta vaniH svAhA siMhIH asi Avaha devAn devAyate yajamAnAya svAhA
   bhūtebhyas tvā viśvāyur asi pṛthivīṃ dṛṃha dhruvakṣitir asy antarikṣaṃ	BUteByaH tvA viSvAyuH asi pRTivIm dRMhaH Druva kzitiH asi antarikzam
   dṛṃhācyutakṣid asi divaṃ dṛṃhāgner bhasmāsy agneḥ purīṣam asy agneḥ	dRMha acyuta kzit asi divam dRMha agneH Basma asi agneH purIzam asi agneH
   kulāyam asi //	kulAyam asi //
        vibhrāḍ bṛhat pibatu somyaṃ madhv āyur dadhad yajñapatā avihrutam /	viBrAj bRhat pibatu somyam maDu AyuH daDat yajQapatAH avihrutam /
        vātajūto yo abhirakṣati tmanā prajāḥ piparti bahudhā virājati	vAta jUtaH yaH aBirakzati tmanA prajAH piparti bahuDA virAjati
   //MS_1,2.8//	//n= _1,2.8//
   devaśrutau deveṣv āghoṣethām //	deva SrutO devezu AGozeTAm //
        yuñjate mana uta yuñjate dhiyo viprā viprasya bṛhato vipaścitaḥ /	yuQjate manaH uta yuQjate DiyaH viprAH viprasya bRhataH vipaScitaH /
        vi hotrā dadhe vayunāvid ekā in mahī devasya savituḥ pariṣṭutiḥ //	vi hotrA daDe vayunA vid ekA id mahI devasya savituH parizwutiH //
        apa janyaṃ bhayaṃ nuda mā cakrā āvṛtsata /	apa janyam Bayam nuda mA cakrAH AvRtsata /
        gṛhaṃ somasya gachataṃ gachad indrasya niṣkṛtam //	gRham somasya gaCatam gaCat indrasya nizkRtam //
        idaṃ viṣṇur vicakrame tredhā nidadhe padā /	idam vizNuH vicakrame treDA nidaDe padA /
        samūḍham asya pāṃsure //	samUXam asya pAMsure //
        irāvatī dhenumatī hi bhūtaṃ sūyavasinī manave yaśasye /	irAvatI DenumatI hi BUtam sUya vasinI manave yaSasye /
        vyaṣkabhnā rodasī viṣṇa ete dādhartha pṛthivīm abhito mayūkhaiḥ //	vyazkaBnA rodasI vizNe ete dADarTa pRTivIm aBitas mayUKEH //
   suvāg āvada deva duryaṃ ariṣyann ariṣyataḥ //	suvAc Avada deva duryam arizyan arizyataH //
        ā no vīro jāyatāṃ karmaṇyo 'bhiśastipā anabhiśastenyaḥ /	A naH vIraH jAyatAm karmaNyaH aBiSasti pAH anaBiSastenyaH /
        yaṃ bahavo 'nujīvān yo bahūnām asad vaśī //	yam bahavaH anujIvAn yaH bahUnAm asat vaSI //
   vaiṣṇavam asi viṣṇus tvottabhnātu //	vEzNavam asi vizNuH tvA uttaBnAtu //
        divo viṣṇa uta vā pṛthivyā uror vā viṣṇo bṛhato antarikṣāt /	divaH vizNaH uta vA pRTivyAH uroH vA vizNo bRhataH antarikzAt /
        hastau pṛṇasva bahubhir vasavyair ā prayacha dakṣiṇād ota savyāt //	hastO pRNasva bahuBiH vasavyEH A prayaCa dakziNAt ota savyAt //
        viṣṇor nu kaṃ vīryāṇi pravocaṃ yaḥ pārthivāni vimame rajāṃsi /	vizNoH nu kam vIryANi pravocam yaH pArTivAni vimame rajAMsi /
        yo askabhāyad uttaraṃ sadhasthaṃ vicakramāṇas tredhorugāyaḥ //	yaH askaBAyat uttaram saDasTam vicakramANaH treDA uru gAyaH //
   viṣṇoḥ pṛṣṭham asi viṣṇo rarāṭam asi viṣṇoḥ śipre stho viṣṇoḥ syūr asi	vizNoH pRzWam asi vizNo rarAwam asi vizNoH Sipre sTaH vizNoH syUH asi
   viṣṇor dhruvo 'si vaiṣṇavam asi viṣṇave tvā //	vizNoH DruvaH asi vEzNavam asi vizNave tvA //
        pra tad viṣṇuḥ stavate vīryeṇa mṛgo na bhīmaḥ kucaro giriṣṭhāḥ /	pra tat vizNuH stavate vIryeNa mRgaH na BImaH kucaraH girizWAH /
        yasyoruṣu triṣu vikramaṇeṣv adhikṣiyanti bhuvanāni viśvā //MS_1,2.9//	yasya uruzu trizu vikramaNezu aDikziyanti BuvanAni viSvA //n= _1,2.9//
   devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām ādade	devasya tvA savituH prasave aSvinoH bAhuByAm pUzNaH hastAByAm Adade
   'bhrir asi nārir asīdam ahaṃ rakṣaso grīvā apikṛntāmīdam ahaṃ yo me samāno	aBriH asi na ariH asi idam aham rakzasaH grIvAH apikRntAmi idam aham yaH me samAnaH 
   yo 'samāno 'rātīyati tasya grīvā apikṛntāmi bṛhann asi bṛhadrāyā bṛhatīm	yaH asamAnaH arAtIyati tasya grIvAH apikRntAmi bRhan asi bRhadrAyAH bRhatIm
   indrāya vācaṃ vada rakṣohaṇaṃ valagahanaṃ vaiṣṇavīṃ samrāḍ asi	indrAya vAcam vada rakzaH haNam vala gahanam vEzNavIm samrAj asi
   sapatnahedam ahaṃ tān valagān udvapāmi yān me samāno yān asamāno nicakhāna	sapatna hA idam aham tAn vala gAn udvapAmi yAn me samAnaH yAn asamAnaH nicaKAna
   ye kulphadaghne nirasto valagaḥ svarāḍ asy abhimātihedam ahaṃ tān valagān	ye kulPa daGne nirastaH vala gaH svarAj asi aBimAti hedam aham tAn vala gAn
   udvapāmi yān me sajāto yān asajāto nicakhāna ye jānudaghne nirasto valago	udvapAmi yAn me sajAtaH yAn asajAtaH nicaKAna ye jAnu daGne nirastaH vala go
   virāḍ asi rakṣohedam ahaṃ tān valagān udvapāmi yān me sabandhur yān	virAj asi rakzoha idam aham tAn vala gAn udvapAmi yAn me sa banDuH yAn
   asabandhur nicakhāna ye nābhidaghne nirasto valagaḥ satrarāḍ asy	asabanDuH nicaKAna ye nABi daGne nirastaH vala gaH satra rAj asy
   aśastihedam ahaṃ tān valagān udvapāmi yān me bhrātṛvyo yān abhrātṛvyo	aSasti hedam aham tAn vala gAn udvapAmi yAn me BrAtRvyaH yAn aBrAtRvyaH 
   nicakhāna ye aṃsadaghne nirasto valagaḥ sarvarāḍ asy arātīyato hantedam	nicaKAna ye aMsadaGne nirastaH vala gaH sarva rAj asi arAtIyataH hanta idam
   ahaṃ tān valagān udvapāmi yān me sajanyo yān asajanyo nicakhāna ye	aham tAn vala gAn udvapAmi yAn me sa janyaH yAn asajanyaH nicaKAna ye
   śīrṣadaghne nirasto valagaḥ //	SIrza daGne nirastaH vala gaH //
        saṃmṛśa imān āyuṣe varcase ca devānāṃ nidhir asi dveṣoyavanaḥ /	saMmRSaH imAn Ayuze varcase ca devAnAm niDiH asi dvezaH yavanaH /
        yuyodhy asmad dveṣāṃsi yāni kāni ca cakṛma //	yuyoDi asmat dvezAMsi yAni kAni ca cakRma //
        devānām idaṃ nihitaṃ yad asty athābhāhi pradiśaś catasraḥ /	devAnAm idam nihitam yat asti aTa ABAhi pradiSaH catasraH /
        kṛṇvāno anyaṃ adharānt sapatnān //MS_1,2.10//	kRNvAnaH anyam aDarAnt sapatnAn //n= _1,2.10//
   pṛthivyai tvāntarikṣāya tvā dive tvā śundhantāṃ lokāḥ pitṛṣadanā yavo 'si	pRTivyE tvA antarikzAya tvA dive tvA SunDantAm lokAH pitR zadanAH yavaH asi
   yavaya dveṣo asmad yavayārātiṃ pitṛṣadanaṃ tvā lokam avastṛṇāmi //	yavaya dvezaH asmat yavaya arAtim pitR zadanam tvA lokam avastRNAmi //
        uñśrayasva vanaspate sajūr devena barhiṣā /	uQSrayasva vanaspate sajUs devena barhizA /
        nitānas tvā māruto nihantu mitrāvaruṇau dhruveṇa dharmaṇā //	nitAnaH tvA mArutaH nihantu mitrAvaruNO DruveNa DarmaNA //
   [Page I,21]	[Pa ge I,21]
   brahmavaniṃ tvā kṣatravaniṃ paryūhāmi brahma dṛṃha kṣatraṃ dṛṃha	brahma vanim tvA kzatra vanim paryUhAmi brahma dRMha kzatram dRMha
   rāyaspoṣaṃ dṛṃha prajāṃ dṛṃha sajātān asmai yajamānāya dṛṃha //	rAyaspozam dRMha prajAm dRMha sajAtAn asmE yajamAnAya dRMhaH //
