   1. prathamaścittotpādaḥ	1. praTamaH citta utpAdaH
   catastra ārūpyasamāpattayastu  tadyathā  "sa sarvaśo rūpasaṃjñānāṃ	catastraH ArUpya samApattayaH tu tat yaTA "sa sarvaSas rUpa saMjQAnAm
   samatikramāt	samatikramAt 
   pratighasaṃjñānāmastaṃgamānnānātvasaṃjñānāmamanasikārādanantakamākāśamityākāśānantyāyatanamupasaṃpadya	pratiGa saMjQAnAm astaMgamAt nAnAtva saMjQA nAma mana sikArAt anantakam AkASam iti AkASAnantyAyatanam upasaMpadya
   viharati / sa sarvaśa ākāśānantyāyatanasamatikramādanantaṃ vijñānamiti	viharati / sa sarvaSas AkASa AnantyAyatana samatikramAt anantam vijQAnam iti
   vijñānānantyāyatanamupasaṃpadya viharati / sa sarvaśo	vijQAna Ananti Ayatanam upasaMpadya viharati / sa sarvaSas 
   vijñānānantyāyatanasamatikramānnāsti kiṃcidityākiṃcanyāyatanamupasaṃpadya	vijQAna AnantyAyatana samatikramAt na asti kiMcid iti AkiMcanya Ayatanam upasaMpadya
   viharati / sa sarvaśa ākiṃcanyāyatanasamatikramānnaiva saṃjñā nāsaṃjñāpi	viharati / sa sarvaSas AkiMca nyAyatana samatikramAt na eva saMjQA na asaMjQA api
   iti saṃjñānāsaṃjñāyatanamupasaṃpadya viharati /" imāścatastra	iti saMjQAna asaMjQA Ayatanam upasaMpadya viharati /" imAH catastra
   ārūpyasamāpattayaḥ / catvāro 'pramāṇāstu evam  "sa maitrīsahagatena	ArUpya samApattayaH / catvAraH apramANAH tu evam "sa mEtrI saha gatena
   cittena vipulena	cittena vipulena
   mahadatenādvayenāpramāṇenāvaireṇāsapatnenānāvaraṇenāvyābādhena	mahat atena advayena apramANena avEreNa asapatnena anAvaraNena avyAbADena
   sarvatrānugatena dharmadhātuparame loke ākāśadhātuparyavasāne sarvāvantaṃ	sarvatra anugatena DarmaDAtu parame loke AkASa DAtu paryavasAne sarvO= antam
   lokaṃ spharitvopasaṃpadya viharati / evaṃ karuṇāsahagatena cittena /	lokam sParitvA upasaMpadya viharati / evam karuNA sahagatena cittena /
   muditāsahagatena cittena / upekṣāsahagetana cittena viharati /"	mudita asaha gatena cittena / upekzA sahagetana cittena viharati /"
   pañcābhijñāstu, tadyathā  "so 'nekavidhāṃ ṛddhividhiṃ pratyanubhavati /	paQca aBijQAH tu, tat yaTA "saH anekaviDAm RdDi viDim pratyanuBavati /
   pṛthivīmapi kampayati / eko 'pi bhūtvā bahudhā bhavati / bahudhāpi	pRTivIm api kampayati / ekaH api BUtvA bahuDA Bavati / bahuDA api
   bhūtvaiko bhavati / āvirbhāvaṃ tirobhāvamapi pratyanubhavati / tiraḥ	BUtvA ekaH Bavati / AvirBAvam tiroBAvam api pratyanuBavati / tiras 
   kuḍayaṃ tiraḥprākāraṃ parvatamapyasajjan gacchati tadyathāpi nāma ākāśe /	kuxayam tiras prAkAram parvatam api asajjan gacCati tat yaTA api nAma AkASe /
   ākāśe 'pi paryaṅkena krāmati tadyathāpi nāma pakṣiśakuniḥ /	AkASe api paryaFkena krAmati tat yaTA api nAma pakziSakuniH /
   pṛthivyāmapyunmajjananimajjanaṃ karoti tadyathāpi nāma udake / udake	pRTivyAm api unmajjana nimajjanam karoti tat yaTA api nAma udake / udake
   'pyamajjan gacchati tadyathāpi pṛthivyām / dhūmayati prajvalati,	api amajjan gacCati tat yaTA api pRTivyAm / DUmayati prajvalati,
   tadyathāpi nāma mahānagniskandhaḥ / svakāyādapi mahāvāridhārā utsṛjati	tat yaTA api nAma mahAn agni skanDaH / sva kAyAt api mahA vAri DArAH utsRjati
   tadyathāpi nāma mahāmeghaḥ / yābhirvāridhārābhirayaṃ	tat yaTA api nAma mahA meGaH / yABiH vAri DArABiH ayam
   trisāhastramahāsāhasro lokadhāturādīptaḥ pradīptaḥ saṃprajvalito 'gninā	tri sAha stra mahA sAhasraH lokaDAtuH AdIptaH pradIptaH saMprajvalitaH agninA
   ekajvālībhūto nirvāpyate / imāvapi candrasūryāvevaṃmaharddhiko	eka jvAlIBUtaH nirvApyate / imO= api candra sUryO= evaMmahA RdDikaH 
   evaṃmahānubhāvo pāṇinā parāmṛśati parimārṣṭi yāvad brahmalokamapi kāyena	evaMmahA anuBAvaH pANinA parAmRSati parimArzwi yAvat brahma lokam api kAyena
   vaśaṃ vartayati /" ityete ṛddhayabhijñāḥ /	vaSam vartayati /" iti ete RdDayaBijQAH /
   "sa divyena śrotradhātunā [viśuddhenā] tikrāntamānuṣyakena ubhayān śabdān	"sa divyena Srotra DAtunA [viSudDenA] tikrAnta mAnuzyakena uBayAn SabdAn
   śṛṇoti divyān mānuṣyakān, sūkṣmānaudārikāṃśca / ye dūre 'ntike vā antaśo	SRNoti divyAn mAnuzyakAn, sUkzmAn OdArikAn= ca / ye dUre antike vE antaSas 
   daṃśamaśakakīṭamakṣikāṇāmapi śabdān śṛṇoti / [eṣā divyā śrotrābhijñā] //"	daMSa maSaka kIwa makzikANAm api SabdAn SRNoti / [ezA divyA Srotra aBijQA] //"
   "sa parasattvānāṃ parapudgalānāṃ cetasaiva cittaṃ yathābhūtaṃ prajānāti /	"sa para sattvAnAm para pudgalAnAm cetasA eva cittam yaTABUtam prajAnAti /
   sarāgaṃ cittaṃ sarāgacittamiti yathābhūtaṃ prajānāti / virāgaṃ cittaṃ	sa rAgam cittam sa rAga cittam iti yaTABUtam prajAnAti / virAgam cittam
   virāgacittamiti prajānāti / sadoṣaṃ, vigatadoṣaṃ, samohaṃ, vigatamohaṃ,	virAga cittam iti prajAnAti / sa dozaM, vigata dozaM, sa mohaM, vigata mohaM,
   sakleśaṃ, niḥkleśaṃ, parīttaṃ, vipulaṃ, mahadataṃ, apramāṇaṃ, saṃkṣiptaṃ,	sa kleSaM, niHkleSan, parIttaM, vipulan, mahat ataM, apramANaM, saMkziptaM,
   [vistīrṇaṃ], samāhitaṃ, asamāhitaṃ, vimuktaṃ, avimuktaṃ, sāṅganam,	[vistIrNaM], samAhitaM, asamAhitaM, vimuktaM, avimuktaM, sa aFganam,
   anaṅganam, audārikaṃ cittamaudārikacittamiti yathābhūtaṃ prajānāti /	anaFga nam, OdArikam cittam OdArika cittam iti yaTABUtam prajAnAti /
   anaudārikaṃ cittamanaudārikaṃ cittamiti yathābhūtaṃ prajānāti / iti	anOdArikam cittam anOdArikam cittam iti yaTABUtam prajAnAti / iti
   parasattvānāṃ parapudgalānāṃ cetasaiva cittaṃ yathābhūtaṃ prajānāti /	para sattvAnAm para pudgalAnAm cetasA eva cittam yaTABUtam prajAnAti /
   [ityeṣā paracittajñānābhijñā] //"	[iti ezA para citta jQAna aBijQA] //"
   "so 'nekavidhaṃ pūrvanivāsamanusmarati / ekāmapi jātimanusmarati / dve	"saH anekaviDam pUrva nivAsam anusmarati / ekAm api jAtim anusmarati / dve
   tistrañcatastraḥ pañca daśa viṃśatiḥ triṃśataṃ catvāriṃśataṃ pañcāśataṃ	tiH traQcatastraH paQca daSa viMSatiH triMSatam catvAriMSatam paQcASatam
   jātiśata[sahastra]manusmarati / anekānyapi jātiśatāni / [anekānyapi	jAti Sata[ sa hastra]m anusmarati / anekAni api jAti SatAni / [anekAni api
   jātisahastrāṇi] anekānyapi jātiśatasahastrāṇi / saṃvartakalpamapi	jAti sahaH trANi] anekAni api jAti Sata sahastrANi / saMvarta kalpam api
   vivartakalpamapi / anekānapi saṃvartavivartakalpānapyanusmarati /	vivarta kalpam api / anekAn api saMvarta vivarta kalpAn api anusmarati /
   kalpaśatamapi kalpasahastramapi kalpaśatasahastramapi kalpakoṭīmapi	kalpa Satam api kalpa sahastram api kalpa Sata sahastram api kalpa kowIm api
   kalpakoṭīśatamapi kalpakoṭīsahastramapi kalpakoṭīśatasahasramapi	kalpa kowI Satam api kalpa kowI sahastram api kalpa kowI Sata sahasram api
   yāvadanekānyapi kalpakoṭīniyutaśatasahasrāṇyanusmarati amunnāhamāsaṃ	yAvat anekAni api kalpa kowI niyuta Sata sahasrANi anusmarati am unnAham Asam
   evaṃnāmā / evaṃgotraḥ evaṃjātiḥ evamāhāra evamāyuḥpramāṇaḥ	evaMnAmA / evaMgotraH evaMjAtiH evam AhAraH evam AyuH pramANaH
   evaṃcirasthitikaḥ evaṃ sukhaduḥkhapratisaṃvedī / so 'haṃ tataścyuto	evaMcira sTitikaH evam suKa duHKa pratisaMvedI / saH aham tatas cyutaH 
   'tropapannaḥ / tataścyuta ihopapannaḥ / iti sākāraṃ soddeśaṃ	atra upapannaH / tatas cyutaH iha upapannaH / iti sa AkAram sa uddeSam
   sanimittamanekavidhaṃ pūrvanivāsamanusmarita / [eṣā	sa nimittam anekaviDam pUrva nivAsam anusmarita / [ezA
   pūrvanivāsānusmṛtyabhijñā] //"	pUrva nivAsa anusmRti aBijQA] //"
   "sa divyena cakṣuṣā viśuddhenātikrāntamānuṣyakeṇa sattvān paśyati	"sa divyena cakzuzA viSudDena atikrAnta mAnuzyakeNa sattvAn paSyati
   cyavamānānupapadyamānān suvarṇān durvarṇān sugatān durgatān praṇītān hīnān	cyavamAna anupapadyamAnAn suvarNAn durvarNAn sugatAn durgatAn praNItAn hInAn
   / yathākarmopagān sattvān yathābhūtaṃ prajānāti  ime bhavantaḥ sattvāḥ	/ yaTA karma upagAn sattvAn yaTABUtam prajAnAti ime BavantaH sattvAH
   kāyaduścaritena samanvāgatā vāgduścaritena samanvāgatā manoduścaritena	kAya duScaritena samanvAgatAH vAc duScaritena samanvAgatAH manaH duScaritena
   samanvāgatāḥ āryāṇāmapavādakā mithyādṛṣṭayaḥ	samanvAgatAH AryANAm apavAdakAH miTyA dRzwayaH
   mithyādṛṣṭikarmasamādānahetostaddhetuṃ tatpratyayaṃ kāyasya bhedātparaṃ	miTyA dRzwi karma sama AdAna hetoH tad hetum tad pratyayam kAyasya BedAt param
   maraṇādapāyadurgativinipātanirayeṣūpapadyante / ime punarbhavantaḥ sattvāḥ	maraNAt apAya durgati vinipAta nirayezu upapadyante / ime punar BavantaH sattvAH
   kāyasucaritena samanvāgatā vāksucaritena samanvāgatā manaḥsucaritena	kAya su caritena samanvAgatA vAc su caritena samanvAgatAH manaH su caritena
   samanvāgatā āryāṇāmanapavādakāḥ / samyagdṛṣṭikarmasamādānahetostaddhetuṃ	samanvAgatAH AryANAm anapavAdakAH / samyak dRzwi karma sama AdAna hetoH tad hetum
   tatpratyayaṃ kāyasya bhedāt paraṃ maraṇātsugatau svarge	tad pratyayam kAyasya BedAt param maraNAt sugatO svarge
   devalokeṣūpapadyanta iti [prajānāti / evaṃ] divyena cakṣuṣā	deva lokezu upapadyante iti [prajAnAti / evaM] divyena cakzuzA
   viśuddhenātikrāntamanuṣyeṇa (cyavamānānupapadyamānān) sākāraṃ soddeśaṃ	viSudDena atikrAnta manuzyeNa (cyavamAna anupapadyamAnAn) sa AkAram sa uddeSam
   sanimittaṃ sattvān paśyati / yathākarmopagatān sattvān yathābhūtān	sa nimittam sattvAn paSyati / yaTA karma upagatAn sattvAn yaTABUtAn
   prajānāti / sa imāni dhyānāni vimokṣān samādhīn samāpattīśca samāpadyate,	prajAnAti / saH imAni DyAnAni vimokzAn samADIn samApattIH ca samApadyate,
   vyuttiṣṭhate / na ca teṣāṃ vaśenopapadyate 'nyatra yatra	vyuttizWate / na ca tezAm vaSena upapadyate anyatra yatra
   bodhyaṅgaparipūriṃ paśyati tatra saṃcintya praṇidhānavaśenopapadyate /	boDi aFga paripUrim paSyati tatra saMcintya praNiDAna vaSena upapadyate /
   tatkasya heto? tathā hi tasya bodhisattvasyopāyakauśalyābhinirhatā	tat kasya heto? taTA hi tasya boDisattvasya upAya kOSalyA aBinirhatA
   cittasaṃtatiḥ //"	citta saMtatiH //"
   ata eva asyāṃ bhūmau bodhisattve dhyānam abhijñāśca sambhavanti kathaṃ	atas eva asyAm BUmO boDisattve DyAnam aBijQAH ca samBavanti kaTam
   sadā laukikarāgadveṣaparikṣayaḥ? capadaṃ tu anuktasaṅgrahārtham, iti tasya	sadA lOkika rAga dveza parikzayaH? capadam tu anukta saFgraha arTam, iti tasya
   mohasyāpi parikṣayo bhavati  katham iti, idamapi yathā sūtre  "sa	mohasya api parikzayaH Bavati kaTam iti, idam api yaTA sUtre "sa
   sarvadharmāṇāmasaṃkrāntitāṃ ca avināśitāṃ ca pratītya pratyayatayā	sarva DarmANAm asaMkrAnti tAm ca avinASitAm ca pratItya pratyaya tayA
   vyavalokayati // tasya bhūyasyā mātrayā sarvāṇi kāmabandhanāni tanūni	vyavalokayati // tasya BUyasyA mAtrayA sarvANi kAma banDanAni tanUni
   bhavanti / sarvāṇi rūpabandhanāni sarvāṇi bhavabandhanāni	Bavanti / sarvANi rUpa banDanAni sarvANi Bava banDanAni
   sarvāṇyavidyābandhanāni tanūni bhavanti / dṛṣṭikṛtabandhanāni ca pūrvameva	sarvANi avidyA banDanAni tanUni Bavanti / dRzwi kRta banDanAni ca pUrvam eva
   prahīṇāni bhavanti / tasya asya prabhākaryāṃ bodhisattvabhūmau sthitasya	prahINAni Bavanti / tasya asya praBAkaryAm boDisattva BUmO sTitasya
   bodhisattvasya anekān kalpān yāvadanekāni kalpakoṭiniyutaśatasahastrāṇi	boDisattvasya anekAn kalpAn yAvat anekAni kalpa kowi niyuta Sata sahastrANi
   ....peyālaṃ.....anupacayaṃ mithyārāgaḥ prahāṇaṃ gacchati, anupacayaṃ	....peyA AlaM.....anupacayam miTyArAgaH prahANam gacCati, anupacayam
   mithyādoṣaḥ prahāṇaṃ gacchati, anupacayaṃ mithyāmohaḥ prahāṇaṃ gacchati /"	miTyA dozaH prahANam gacCati, anupacayam miTyAmohaH prahANam gacCati /"
   ityuktam / atastasya rāgo dveṣo mohaśca parikṣīṇo bhavati / kathaṃ hi te	iti uktam / atas tasya rAgaH dvezaH mohaH ca parikzINaH Bavati / kaTam hi te
   sadā laukikakāmarāgāt upahantuṃ samarthā bhaviṣyantīti yathā  "iyaṃ	sadA lOkika kAma rAgAt upahantum samarTAH Bavizyanti iti yaTA "iyam
   bhavanto jinaputrā bodhisattvasya prabhākarī nāma tṛtīyā bodhisattvabhūmiḥ	BavantaH jinaputrAH boDisattvasya praBAkarI nAma tRtIyA boDisattva BUmiH
   samāsanirdeśataḥ, yasyāṃ pratiṣṭhito bodhisattvo bhūyastvena indro bhavati	samAsa nirdeSataH, yasyAm pratizWitaH boDisattvaH BUyastvena indraH Bavati
   devarājastridaśādhipatiḥ kṛtī prabhuḥ sattvānāṃ	devarAjaH tridaSa aDipatiH kRtI praBuH sattvAnAm
   kāmarāgavinivartanopāyopasaṃhārāya kuśalaḥ sattvān	kAma rAga vinivartana upAya upasaMhArAya kuSalaH sattvAn
   kāmapaṅkādabhyuddhartum", ityuktam / ataḥ sa jinaputro laukikakāmarāgān	kAma paFkAt aByudDartum", iti uktam / atas sa jinaputraH lOkika kAma rAgAn
   upahantuṃ samartho bhaviṣyati / evam asya bodhisattvasya	upahantum samarTaH Bavizyati / evam asya boDisattvasya
   tṛtīyabodhisattvabhūmau	tRtIya boDisattva BUmO
   viśuddhakṣāntipāramitādhyānāparimāṇasamāpatyabhijñā rāgādiparikṣayasya ca	viSudDa kzAnti pAramitA DyAna aparimANa samApatyaBijQAH rAga Adi parikzayasya ca
   niścitaprāptirbhaviṣyatītyuktvā adhunā tu kṣāntipāramitāparyantaṃ	niScita prAptiH Bavizyati iti uktvA aDunA tu kzAnti pAramitA paryantam
   pāramitātrayāśrayaviśeṣaṃ sambhārasvabhāvaṃ phalaparisiddhivyavasthāṃ ca	pAramitA traya ASraya viSezam samBAra svaBAvam Pala parisidDi vyavasTAm ca
   prakāśayitum ākhyāyate 	prakASayitum AKyAyate 
   ime hi dānādimayāḥ tridharmā gṛhibhya uktāḥ sugataistu bhūyaḥ /	ime hi dAna Adi mayAH triDarmAH gRhiByaH uktAH sugatEH tu BUyas /
   ta eva puṇyetyapi saṃbhṛtā hi sambuddharūpātmakakāyahetuḥ // Madhy_3.12 //	te eva puNyA iti api saMBRtAH hi sambudDa rUpa Atmaka kAya hetuH // MaDi _3.12 //
   bodhisattvā eva yathoktadānādyāśrayāḥ santi, tathāpi	boDisattvAH eva yaTA ukta dAna Adi ASrayAH santi, taTA api
   gṛhasthapravrajitabhedena tatra dvayoḥ saṃbhavaṃ vicintya tathoktam /	gRhasTa pravrajita Bedena tatra dvayoH saMBavam vicintya taTA uktam /
   tatra gṛhastheṣu prāyeṇa dānādayastrayo dharmāḥ susādhyāḥ, parivrājakeṣu	tatra gRhasTezu prAyeNa dAna AdayaH trayaH DarmAH su sADyAH, parivrAjakezu
   ca vīryaṃ, dhyānaṃ tathā prajñā / na cetaretarāsaṃbhāvanā /	ca vIryan, DyAnam taTA prajQA / na ca itaretarAsaMBAvanA /
   buddhatvahetusambhārau tu dvau staḥ, sa cāsau puṇyasaṃbhāro	budDa tva hetu samBArO tu dvO staH, sa ca asO puNya saMBAraH 
   jñānasaṃbhāraśca / tatra puṇyasambhārastu tāstistraḥ pāramitāḥ santi,	jQAna saMBAraH ca / tatra puNya samBAraH tu tAH tistraH pAramitAH santi,
   jñānasambhāraśca dhyānaṃ prajñā ca / vīryaṃ tūbhayaheturiti vyavasthā /	jQAna samBAraH ca DyAnam prajQA ca / vIryam tu uBaya hetuH iti vyavasTA /
   tatra yaḥ puṇyasambhāraḥ sa saṃbuddhānāṃ bhagavatāṃ śatapuṇyalakṣaṇasya	tatra yaH puNya samBAraH sa saMbudDAnAm BagavatAm Sata puNya lakzaNasya
   adabhutasya acintyasya viśvarūpamayasya rūpakāyasya hetuḥ /	adaButasya acintyasya viSva rUpa mayasya rUpa kAyasya hetuH /
   dharmasvabhāvakāyasya anutpādalakṣaṇasya hetustu jñānasambhāraḥ / samprati	Darma svaBAva kAyasya anutpAda lakzaNasya hetuH tu jQAna samBAraH / samprati
   āśrayādimāhātmyena svamahatvam uktvā tṛtīyabodhisattvabhūmyavasthā	ASraya Adi mAhAtmyena sva mahatvam uktvA tRtIya boDisattva BUmi avasTA
   samākhyāyate 	samAKyAyate 
   prabhākarīyaṃ jinaputrasūrye tamaḥ svakaṃ pūrvataraṃ vināśya /	praBAkarIyam jinaputra sUrye tamaH svakam pUrvataram vinASya /
   samīhate lokatamo vihantuṃ /	samIhate lokatamaH vihantum /
   sugataputrasūryasthiteyaṃ prabhākarībhūmiḥ svāśritām avidyāṃ	sugata putra sUrya sTitA iyam praBAkarI BUmiH su a ASritAm avidyAm
   ātmodbhavavighnabhūtāṃ jāyamānāvasthāyāmeva vināśya tatprakāropadeśena	Atma udBava viGna BUtAm jAyamAna avasTAyAm eva vinASya tad prakAra upadeSena
   tadbhinnānāṃ tṛtīyabhūmyudbhavavighnāndhakāraṃ vihantuṃ samīhate / sa	tad BinnAnAm tRtIya BUmi udBava viGna anDakAram vihantum samIhate / sa
   bodhisattvaḥ 	boDisattvaH 
   na cātra kopo bhuvi tīkṣṇabhūte // Madhy_3.13 //	na ca atra kopaH Buvi tIkzNa BUte // MaDi _3.13 //
   sa tu doṣāndhakārāṇāṃ pratibandhakānāṃ nāśanena sūryavad atitīkṣṇatāvatāre	sa tu doza anDakArANAm pratibanDakAnAm nASanena sUrya vat ati tIkzNa tA avatAre
   'pi doṣayuktajanebhyo na krudhyati / kṣānterativiśiṣṭābhyāsāt karuṇayā	api doza yukta janeByaH na kruDyati / kzAnteH ati viSizwa aByAsAt karuNayA
   santateḥ snigdhatvācca /	santateH snigDa tvAt ca /
   madhyamakāvatārabhāṣye tṛtīyaścittotpādaḥ /	maDyamaka avatAra BAzye tRtIyaH citta utpAdaH /
   4. caturthaścittotpādaḥ	4. caturTaH citta utpAdaH
   samprati dānaśīlakṣāntipāramitābhyo vīryapāramitāyā atirekadeśanādvāreṇa	samprati dAna SIla kzAnti pAramitAByaH vIrya pAramitAyAH atireka deSanA t vAreNa
   caturthacittotpādamadhikṛtya ākhyāyate 	caturTa citta utpAdam aDikRtya AKyAyate 
   guṇā aśeṣā anugamya vīryaṃ dvayostu heturmatipuṇyarāśyoḥ /	guNAH aSezAH anugamya vIryam dvayoH tu hetuH mati puNya rASyoH /
   yato bhavet projjvalameva vīryam arciṣmatī bhūḥ khalu sā caturthī //	yatas Bavet projjvalam eva vIryam arcizmatI BUH Kalu sA caturTI //
   Madhy_4.1 //	MaDi _4.1 //
   kuśalakarmānutsāhamaye tu sarvathā dānādāpravṛtteḥ sarvaguṇotpādo	kuSala karma anutsAha maye tu sarvaTA dAnAda apravRtteH sarva guNa utpAdaH 
   'saṃbhavaḥ / pūrvoktaguṇasañcayasamutsuke tu	asaMBavaH / pUrva ukta guNa saQcaya samutsuke tu
   prāptāprāptayorvṛddhiprāptisaṃbhavād yasya kasyacid guṇasya hetustu	prApta aprAptayoH vRdDi prApti saMBavAt yasya kasyacid guNasya hetuH tu
   vīryameva asti / sambhāradvayahetustu pūrvata ākhyātaḥ / tad vīryaṃ	vIryam eva asti / samBAra dvaya hetuH tu pUrvatas AKyAtaH / tat vIryam
   svaguṇapariśuddhidvārā yasyāṃ bhūmāvadhijvalati sā tu caturthī	sva guNa pariSudDi dvArA yasyAm BUmO= aDijvalati sA tu caturTI
   bodhisatvabhūmiḥ arciṣmatīti syāt / api ca, kasya hetorarciṣmatīti	boDisatva BUmiH arcizmatI iti syAt / api ca, kasya hetoH arcizmati iti
   ākhyāyate nāmāvatārahetudeśanārtham 	AKyAyate nAma avatAra hetu deSana arTam 
   sambodhipakṣasya vibhāvanāto jāto 'vabhāsaḥ sugatasya putre /	samboDi pakzasya viBAvanAtaH jAtaH avaBAsaH sugatasya putre /
   tāmraprabhāyā adhikaṃ vibhāti	tAmra praBAyAH aDikam viBAti
   ityuktam / evam asyāṃ bhūmau bodhisattve saptatriṃśad	iti uktam / evam asyAm BUmO boDisattve saptatriMSat 
   bodhipākṣikadharmabhāvanena pūrvākhyātatāmraprabhāyā viśiṣṭo 'vabhāsa	boDi pAkzika Darma BAvanena pUrva AKyAta tAmra praBAyAH viSizwaH avaBAsa
   upapadyate / tasmāt samyagjñānāgniprabhopapādena sā	upapadyate / tasmAt samyak jQAna agni praBA upapAdena sA
   bodhisattvabhūmirarciṣmatītyākhyāyate / saptatriṃśad bodhipākṣikā	boDisattva BUmiH arcizmatI iti AKyAyate / saptatriMSat boDipAkzikA
   dharmastu evam  catvāri smṛtyupasthānāni, catvāri samyakprahāṇāni, catvāra	DarmaH tu evam catvAri smRti upasTAnAni, catvAri samyak prahANAni, catvAra
   ṛddhipādāḥ, pañcendriyāṇi, pañca balāni, sapta bodhyaṅgāni	RdDi pAdAH, paQca indriyANi, paQca balAni, sapta boDi aFgAni
   āryāṣṭāṅgamārgaścetyuktāḥ / tatra catvāri smṛtyupasthānāni  "jinaputrā,	Arya azwa aFga mArgaH ca iti uktAH / tatra catvAri smRti upasTAnAni "jinaputrA,
   bodhisattvo 'syāmarciṣmatyāṃ bodhisattvabhūmau pratiṣṭhito 'dhyātmaṃ kāye	boDisattvaH asyAm arcizmatyAm boDisattva BUmO pratizWitaH aDyAtmam kAye
   kāyānudarśī viharati, ātāpī saṃprajānan smṛtimān vinīya loko	kAya anudarSI viharati, AtApI saMprajAnan smRtimAn vinIya lokaH 
   'bhidhyādaurmanasye / bahirdhā kāye (kāyānudarśī viharati, ātāpī	aBiDyA dOrmanasye / bahirDA kAye (kAya anudarSI viharati, AtApI
   saṃprajānan smṛtimān vinīya loke 'bhidhyādaurmanasye) adhyātmaṃ bahirdhā	saMprajAnan smRtimAn vinIya loke aBiDyA dOrmanasye) aDyAtmam bahirDA
   kāye / evamevādhyātmaṃ vedanāsu bahirdhā vedanāsu adhyātmaṃ bahirdhā	kAye / evam eva aDyAtmam vedanAsu bahirDA vedanAsu aDyAtmam bahirDA
   vedanāsu / evamadhyātmaṃ citte bahirdhā citte 'dhyātmaṃ bahirdhā citte /	vedanAsu / evam aDyAtmam citte bahirDA citte aDyAtmam bahirDA citte /
   adhyātmaṃ dharmeṣu dharmānudarśī (viharati ātāpī saṃprajānan smṛtimān)	aDyAtmam Darmezu Darma anudarSI (viharati AtApI saMprajAnan smRtimAn)
   bahirdhā dharmeṣu dharmānudarśī ... evamadhyātmaṃ bahirdhā dharmeṣu... /"	bahirDA Darmezu Darma anudarSI ... evam aDyAtmam bahirDA Darma izu... /"
   iti vistṛtanirdeśavat /	iti vistRta nirdeSa vat /
   catvāri samyakprahāṇāni yathā  "so 'nutpannānāṃ pāpakānāmakuśalānāṃ	catvAri samyak prahANAni yaTA "saH anutpannAnAm pApakAnAm akuSalAnAm
   dharmāṇāmanutpādāya cchandaṃ janayati vyāyacchate vīryamārabhate cittaṃ	DarmANAm anutpAdAya cCandam janayati vyAyacCate vIryam AraBate cittam
   pragṛhṇāti samyakpraṇidadhāti / utpannānāṃ pāpakānāmakuśalānāṃ dharmāṇāṃ	pragRhNAti samyak praNidaDAti / utpannAnAm pApakAnAm akuSalAnAm DarmANAm
   prahāṇāya[itipūrvavat] / anutpannānāṃ kuśalānāṃ dharmāṇāmutpādāya	prahANAya[iti pUrvavat] / anutpannAnAm kuSalAnAm DarmANAm utpAdAya
   [itipūrvavat] / utpannānāṃ kuśalānāṃ dharmāṇāṃ sthitaye 'saṃpramoṣāya	[iti pUrvavat] / utpannAnAm kuSalAnAm DarmANAm sTitaye asaMpramozAya
   vaipulyāya bhūyobhāvāya (bhāvanāya) paripūraye [cchandaṃ janayati,	vEpulyAya BUyas BAvAya (BAvanA aya) paripUraye [cCandam janayati,
   vyāyacchate  tu pūrvavat] /"	vyAyacCate tu pUrvavat] /"
   catvāro ṛddhipādāḥ "chandasamādhiprahāṇasaṃskārasamanvāgataṃ ṛddhipādaṃ	catvAraH RdDi pAdAH "Canda samADi prahANa saMskAra samanvAgatam RdDi pAdam
   bhāvayati vivekaniścitaṃ virāganiścitaṃ nirodhaniścitaṃ	BAvayati viveka niScitam virAga niScitam niroDa niScitam
   vyavasargapariṇataṃ [tadvat] vīrya [samādhiprahāṇasaṃskārasamanvāgataṃ	vyavasarga pariNatam [tadvat] vIrya [samADi prahANa saMskAra samanvAgatam
   ṛddhipādaṃ] bhāvayati citta [samādhiprahāṇasaṃskārasamanvāgataṃ	RdDipAdaM] BAvayati citta [samADi prahANa saMskAra samanvAgatam
   ṛddhipādaṃ] bhāvayati mīmāṃsā [samādhiprahāṇasaṃskārasamanvāgataṃ	RdDipAdaM] BAvayati mImAMsA [samADi prahANa saMskAra samanvAgatam
   ṛddhipādaṃ] bhāvayatītyādi pūrvavat /"	RdDipAdaM] BAvayati ityAdi pUrvavat /"
   pañcendriyāṇi tadyathā  "sa śraddhendriyaṃ bhāvayati [iti tadvat]	paQca indriyANi tat yaTA "sa SradDA indriyam BAvayati [iti tadvat ]
   vivekaniścitaṃ...vīryendriyaṃ....smṛtīndriyaṃ....samādhīndriyaṃ...prajñendriyaṃ...sa	viveka niScitaM... vIrya indriyaM.... smRti indriyaM....samADi indriyaM... prajQA indriyaM...sa
   / "bhāvayati virāganiścitaṃ ityādi / pañcabalāni tu	/ "BAvayati virAga niScitam ityAdi / paQca balAni tu
   tānyevāsapakṣaparājitāni pūrvavat /	tAni eva Asa pakza parAjitAni pUrvavat /
   sapta bodhyaṅgāni  tadyathā  "(sa) smṛti saṃbodhyaṅgaṃ bhāvayati, [ityādi]	sapta boDi aFgAni tat yaTA "(sa) smRti  saMboDi aFgam BAvayati, [ityAdi]
   dharmapravicaya [bodhyaṅgaṃ] vīrya [saṃbodhyaṅgaṃ] prīti [saṃbodhyaṅgaṃ]	Darma pravicaya [boDi aFgaM] vIrya [saMboDi aFgaM] prIti [saMboDi aFgaM]
