   Mahāsannipātaratnaketudhāraṇī sūtraṃ	MahAsannipAta-ratna-ketu-DAraNI sUtram
   prajñāvatāmagre bhaviṣyati dvitīya ṛddhimatām / athānyataro bhikṣustasyāṃ	prajQAvatAm-agre Bavizyati dvitIyaH RdDimatAm / aTa-anyataraH BikzuH-tasyAm
   velāyāmimā gāthā abhāṣata /	velAyAm-imAH gATAH aBAzata /
   etau ca vijñapuruṣau paricāra[ya]ntau yau vyākṛto hitakareṇa narottamena /	etO ca vijQa-puruzO paricAra[ya]ntO yO vyAkRtaH hita-kareNa nara-uttamena /
   samanvitaṛddhiyau dhī-viśāradau upentīha gauravādatra etau // Rkp_1.13 //	samanvitaRdDiyO DI--viSAradO upenti-iha gOravAt-atra etO // RkB-_1.13 //
   atha khalu sa bhikṣurutthāyāsanād bahubhirbhikṣubhiḥ sādhaṃ bahubhiśca	aTa Kalu sa BikzuH-utTAya-AsanAt bahuBiH-BikzuBiH sADam bahuBiH-ca
   gṛhasthapravrajitairabhyudgamya tau satpuruṣau paryupāste sma / atha [tau	gRhasTa-pravrajitEH-aByudgamya tO sat-puruzO paryupAste sma / aTa [tO
   satpuruṣau] yena bhagavāṃstenopajagmatuḥ / upetya bhagavataḥ pādau	sat-puruzO] yena BagavAn=-tena-upajagmatuH / upetya BagavataH pAdO
   śirasābhivandya triḥ pradakṣiṇīkṛtya bhagavataḥ purataḥ sthitvā	SirasA-aBivandya tris pradakziNIkRtya BagavataH puratas sTitvA
   bhagavantametadūcatuḥ / labhevahi āvāṃ vo bhagavato 'ntike	Bagavantam-etat-UcatuH / laBevahi AvAm vaH BagavataH antike
   pravrajyāmupasampadāṃ bhikṣubhāvena / careva āvāṃ bhagavato 'ntike	pravrajyAm-upasampadAm Bikzu-BAvena / careva AvAm BagavataH antike
   brahmacaryam / bhagavānāha / kiṃnāmā[nau] yuvāṃ kulaputrau / upatiṣya	brahmacaryam / BagavAn-Aha / kiMnAmA[-nO] yuvAm kula-putrO / upatizya
   (Dutt 11) āha / tiṣyasya brāhmaṇasyāhaṃ putraḥ / [mā]tā me śārikā nāma /	(Dutt 11) Aha / tizyasya brAhmaNasya-aham putraH / [mA]tA me SArikAH nAma /
   tato me janma / tena me śāriputra iti nāmadheyaṃ kṛtam / abhyanujñāto 'haṃ	tatas me janma / tena me SAriputraH iti nAmaDeyam kRtam / aByanujQAtaH aham
   pūrvaṃ mātāpitṛbhyāṃ pravrajyāyai / kolita āha / pitā me kolito nāma /	pUrvam mAtA-pitRByAm pravrajyAyE / kolitaH Aha / pitA me kolitaH nAma /
   mātā me mudgalā nāma / tena me maudgalyāyana iti sāmānyaṃ nāmadheyaṃ kṛtam	mAtA me mudgalA nAma / tena me mOdgalyAyanaH iti sAmAnyam nAmaDeyam kRtam
   / kaści[t]me janaḥ kolita iti saṃjānāti / kaścinmaudgalyāyana iti /	/ kaSci[-t]me janaH kolitaH iti saMjAnAti / kaScid-mOdgalyAyanaH iti /
   [abhyanujñāto ']haṃ pūrvaṃ mātāpitṛbhyāṃ pravrajyāyai / bhagavānāha /	[aByanujQAtaH a]ham pUrvam mAtA-pitRByAm pravrajyAyE / BagavAn-Aha /
   carataṃ śāriputra-maudgalyāyanau saparivārau mamāntike brahmacaryamiti /	caratam SAriputra--mOdgalyAyanO sa-parivArO mama-antike brahmacaryam-iti /
   saivānayoḥ pravrajyopasampadā ca / acirapravrajitau ca	sA-eva-anayoH pravrajya-upasampadA ca / acira-pravrajitO ca
   śāriputra-maudgalyāyanau saparivārau /	SAriputra--mOdgalyAyanO sa-parivArO /
   atha māraḥ pāpīyān maheśvararūpeṇa bhagavataḥ purataḥ sthitvaivamāha /	aTa mAraH pApIyAn maheSvara-rUpeNa BagavataH puratas sTitvA-evam-Aha /
   ye śāstrārtha-paricariyāsu nipuṇā vidyāsu pāraṃgatāḥ	ye SAstra-arTa--paricariyAsu nipuNAH vidyAsu pAraMgatAH
   te sarve praṇamanti matsucaraṇau teṣāmahaṃ nāyakaḥ /	te sarve praNamanti mad-su-caraNO tezAm-aham nAyakaH /
   kṣipraṃ maccharaṇaṃ saśiṣyapariṣaṃ gacchāhi bho gautama	kzipram mad-SaraNam sa-Sizya-parizam gacCAhi Bo gOtama
   īpsitanirvṛti[prāpaṇāya] viśadaṃ vakṣyāmi mārgaṃ tava // Rkp_1.14 //	Ipsita-nirvRti[-prApaNAya] viSadam vakzyAmi mArgam tava // RkB-_1.14 //
   bhagavānāha /	BagavAn-Aha /
   tvanmārgo jagato 'sya durgativaho duḥkhārṇavaprāpako	tvad-mArgaH jagataH asya durgati-vahaH duHKa-arNava-prApako
   mārgo me sa carācarasya jagato duḥkhārṇavocchoṣakaḥ /	mArgaH me sa carAcarasya jagataH duHKa-arNava-ucCozakaH /
   kiṃ bhūyo [lapasi] pragalbhamukharo duṣṭaśṛgālasvaraḥ	kim BUyas [lapasi] pragalBa-muKaraH duzwa-SRgAla-svaraH
   vyābhagno 'si na mārakarma iha me śakto 'si kartuṃ punaḥ // Rkp_1.15 //	vyABagnaH asi na mAra-karma iha me SaktaH asi kartum punar // RkB-_1.15 //
   (Dutt 12)	(Dutt 12)
   atha māraḥ pāpīyān maheśvararūpamantardhāya brahmaveṣena punarbhagavantaṃ	aTa mAraH pApIyAn maheSvara-rUpam-antarDAya brahma-vezena punar-Bagavantam
   purataḥ sthitvaivamāha /	puratas sTitvA-evam-Aha /
   karmakleśabhavāṅkurapraśamanaṃ yatte kṛtaṃ prajñayā	karma-kleSa-Bava-aFkura-praSamanam yat-te kRtam prajQayA
   duḥkhānyutsahase iha punaryataḥ sattvārthamevaṃ mune /	duHKAni-utsahase iha punar-yatas sattva-arTam-evam mune /
   nāstyasmin jagati prabho kvacidapi tvatpātrabhūto janaḥ	na-asti-asmin jagati praBo kvacid-api tvad-pAtra-BUtaH janaH
   kasmāttvaṃ vigatāmayo na tvaritaṃ nirvāsya kālo hi saḥ // Rkp_1.16 //	kasmAt-tvam vigata-AmayaH na tvaritam nirvAsya kAlaH hi saH // RkB-_1.16 //
   bhagavānāha /	BagavAn-Aha /
   gaṅgāvālukasannibhānusadṛśān sattvān prapaśyāmyahaṃ	gaFgA-vAluka-sanniBAnu-sadRSAn sattvAn prapaSyAmi-aham
   ye vainayikāḥ sthitāḥ karuṇayā te saṃpramocyā mayā /	ye vEnayikAH sTitAH karuNayA te saMpramocyAH mayA /
   madhyotkṛṣṭajaghanyatāmupagatā nirmokṣaniṣṭhā jagat	maDya-utkRzwa-jaGanya-tAm-upagatA nirmokza-nizWA jagat-
   nirvāsyāmi tato nimantrayasi māṃ śāṭhyena kiṃ durmate // Rkp_1.17 //	nirvAsyAmi tatas nimantrayasi mAm SAWyena kim durmate // RkB-_1.17 //
   atha punarapi māraḥ pāpīyān duḥkhito durmanā vipratisārī tataścāntardhāya	aTa punar-api mAraH pApIyAn duHKitaH durmanAH vipratisArI tatas-ca-antarDAya
   svabhuvanaṃ gatvā śokāgāraṃ praviśya niṣaṇṇaḥ / tatkṣaṇameva ca	sva-Buvanam gatvA Soka-AgAram praviSya nizaNNaH / tad-kzaNam-eva ca
   sarvamārabhuvananivāsinaśca sattvāḥ parasparaṃ pṛcchanti sma / ko	sarvam-Ara-Buvana-nivAsinaH-ca sattvAH parasparam pRcCanti sma / kaH-
   heturyadasmākaṃ ma[hārājaḥ śokā]gāraṃ praviśya niṣaṇṇo na ca kaścijjānīte	hetuH-yat-asmAkam ma[ha-arAjaH SokA]gAram praviSya nizaNNaH na ca kaScid-jAnIte
   atha pañca mārakanyāśatāni paramaprītikarāṇi puṣpamālyavilepanāni gṛhītvā	aTa paQca mAra-kanyA-SatAni parama-prIti-karANi puzpa-mAlya-vilepanAni gRhItvA
   paramamanojñairvastrābharaṇai[ra]laṃkṛtya paramamanojñaharṣakarāṇi divyāni	parama-manojQEH-vastra-ABaraNa-e[ra]laMkRtya parama-manojQa-harza-karANi divyAni
   tūryāṇi pravādayantyaḥ paramamanojñasvareṇa (Dutt 13) nṛtyantyo gāyantyo	tUryANi pravAdayantyaH parama-manojQa-svareNa (Dutt 13) nRtyantyaH gAyantyaH-
   vādayantyo mahatā divyena pañcāṅgikena tūryeṇa [ratikriḍāyu]ktena mārasya	vAdayantyaH mahatA divyena paQcAFgikena tUryeNa [rati-krixA-yu]ktena mArasya
   pāpīmataḥ purataḥ sthitāḥ / sa ca māraḥ pāpīyān bāhūn pragṛhya	pApIm-atas puratas sTitAH / sa ca mAraH pApIyAn bAhUn pragRhya
   prakośitumārabdhaḥ / mā śabdaṃ kuruta mā śabdaṃ kuruteti / evamuktāstāḥ	prakoSitum-ArabDaH / mA Sabdam kuruta mA Sabdam kuruta-iti / evam-uktAH-tAH
   punarapi pragāyantyastūryāṇi parājaghnuḥ / māraśca pāpīyān punarapi	punar-api pragAyantyaH-tUryANi parAjaGnuH / mAraH-ca pApIyAn punar-api
   bāhudvayamutkṣipya prakrośitumārabdho yāvat saptakṛtvaḥ / apsarasastā	bAhu-dvayam-utkzipya prakroSitum-ArabDaH yAvat sapta-kRtvas / apsarasaH-tA
   rati[krīḍāyuktena mārasya pāpīmataḥ purataḥ sthitāsta]thaiva bahudvayam	rati[-krIxA-yuktena mArasya pApIm-atas puratas sTitAH-ta]TA-eva bahu-dvayam
   unnāmyotkrośaṃ [ca]kāra / mā śabdaṃ kurudhvaṃ mā śabdaṃ kurudhvamiti /	unnAmya-utkroSam [ca]kAraH / mA Sabdam kuruDvam mA Sabdam kuruDvam-iti /
   evamuktāśca tāḥ apsarasastūṣṇīṃ tasthuḥ /	evam-uktAH-ca tAH apsarasaH-tUzNIm tasTuH /
   atha khalu vidyudvalgusvarā nāmāpsarā yena [māraḥ pāpīyāṃ]stenāñjaliṃ	aTa Kalu vidyut-valgu-svarAH nAma-apsarAH yena [mAraH pApIyAM]H-tena-aQjalim
   praṇamyaivamāha /	praNamya-evam-Aha /
   kiṃ te vibho cyutinimittamihādya dṛṣṭaṃ kiṃ vā jagaddhutavahākulamadya	kim te viBo cyuti-nimittam-iha-adya dRzwam kim vA jagat-hutavaha-Akula-m-adya
   jātam /	jAtam /
   śatrustavādhikabalaḥ kimihāsti kaścit [kiṃ vā na nandasi sa]māśrayase ca	SatruH-tava-aDika-balaH kim-iha-asti kaScid [kim vA na nandasi sa]m-ASrayase ca
   śokam // Rkp_1.18 //	Sokam // RkB-_1.18 //
   (Dutt 14)	(Dutt 14)
   māraḥ prāha /	mAraH prAha /
   śatrurmamāsti balavān nigṛhītacetā māyāsuśikṣita bhuvi nara śākyaputraḥ /	SatruH-mama-asti balavAn nigRhIta-cetAH mAyAsu-Sikzita Buvi nara SAkya-putraH /
   tallakṣaṇaṃ yadi na hasti ca kaścidevaṃ śūnyaṃ kariṣya [ti] mamaiṣa sa	tad-lakzaNam yadi na hasti ca kaScid-evam SUnyam karizya [ti] mama-eza sa
   kāmadhātum // Rkp_1.19 //	kAmaDAtum // RkB-_1.19 //
   sā apsarāḥ provāca /	sA apsarAH provAca /
   svāminnupāyabalavīryaparākramaiḥ kaḥ kartuṃ kṣayaṃ para[ma]mīśa ihādya	svAmin=-upAya-bala-vIrya-parAkramEH kaH kartum kzayam para[ma]m-ISaH iha-adya
   tasya /	tasya /
   kaḥ śaknuyāt tribhava[bandha]na-dīrghatīraṃ tṛṣṇārṇavaṃ kṣapayituṃ	kaH SaknuyAt triBava[-banDa]na--dIrGa-tIram tRzNA-arNavam kzapayitum
   balaśaktiyuktaḥ // Rkp_1.20 //	bala-Sakti-yuktaH // RkB-_1.20 //
   (Dutt 15)	(Dutt 15)
   māraḥ prāha /	mAraH prAha /
   dānavratāśayadayā-praṇidhāna-pāśaḥ śūnyānimitta-paramāsra-gṛhītacāpaḥ /	dAna-vrata-ASaya-dayA--praNiDAna--pASaH SUnya-animitta--parama-asra--gRhIta-cApaH /
   niḥśeṣato bhavanivṛttyupadeśakartā saṃsāra-niḥsṛta-patha-praśamānukūlaḥ //	niHSezataH Bava-nivRtti-upadeSa-kartA saMsAra--niHsRta-paTa--praSama-anukUlaH //
   Rkp_1.21 //	RkB-_1.21 //
   śūnyeṣu grāmanagareṣu vanāntareṣu girikandareṣvapi ca santi tasya śiṣyāḥ /	SUnyezu grAma-nagarezu vana-antarezu giri-kandarezu-api ca santi tasya SizyAH /
   dhyānābhiyuktamanasaḥ praviviktacārāḥ doṣakṣayāya satataṃ vidhivat	DyAna-aBiyukta-manasaH pravivikta-cArAH doza-kzayAya satatam viDivat-
   prayuktāḥ // Rkp_1.22 //	prayuktAH // RkB-_1.22 //
   ṛddhyāḥ balaiḥ karuṇayā ca sahāyavantau upatiṣya-kaulita ubhau muninā	RdDyAH balEH karuNayA ca sahAyavantO upatizya-kOlitaH uBO muninA
   vinītau /	vinItO /
   trailokyasarvavidhinā suvinītadharmā śūnyaṃ kariṣyati ca me kila	trElokya-sarva-viDinA su-vinIta-DarmA SUnyam karizyati ca me kila
   kāmadhātum // Rkp_1.23 //	kAmaDAtum // RkB-_1.23 //
   atha taiḥ pañcabhirmārakanyāśatairmārasya pāpīmato 'ntikād bhagavato	aTa tEH paQcaBiH-mAra-kanyA-SatEH-mArasya pApIm-atas antikAt BagavataH-
   guṇavarṇaṃ śrutvā sarvairākāravigatavidyunnāma bodhisattvasamādhiḥ	guNa-varNam SrutvA sarvEH-AkAra-vigata-vidyut-nAma boDisattva-samADiH
   pratilabdhā /	pratilabDAH /
   atha tāni pañca mārakanyāśatāni divyāni tūryāṇi tāni ca	aTa tAni paQca mAra-kanyA-SatAni divyAni tUryANi tAni ca
   divyāpuṣpagandhamālyavilepanābharaṇavibhūṣaṇīkarāṇi yena	divyApuzpa-ganDa-mAlya-vilepana-ABaraNa-viBUzaNI-karANi yena
   bhagavāṃstenākṣi[pan] bhagavataḥ [samīpe] / tāni ca divyāni (Dutt 16)	BagavAn=-tena-akzi[pan] BagavataH [samIpe] / tAni ca divyAni (Dutt 16)
   [puṣpāṇi tāni ca divyāni] tūryāṇi te ca yāvadalaṃkārā bhagavato 'nubhāvena	[puzpANi tAni ca divyAni] tUryANi te ca yAvat-alaMkArAH BagavataH anuBAvena
   veṇuvane vavarṣuḥ / tāśca mārakanyāḥ svayamadrākṣuḥ saparivāram / dṛṣṭvā	veNu-vane vavarzuH / tAH-ca mAra-kanyAH svayam-adrAkzuH sa-parivAram / dRzwvA
   ca punaḥ svayameva prasādajātā babhūvuḥ / yena veṇuvane evaṃrūpaṃ	ca punar svayam-eva prasAda-jAtAH baBUvuH / yena veNu-vane evaMrUpam
   puṣpavarṣaṃ pravṛṣṭamiti te ca bhikṣavaḥ saṃśayajātā bhagavantaṃ	puzpa-varzam pravRzwam-iti te ca BikzavaH saMSaya-jAtAH Bagavantam
   papracchuḥ / yadbhagavannūnaṃ [śāriputramaudga]lyāyanayoḥ	papracCuH / yat-Bagavat-nUnam [SAriputra-mOdga]lyAyanayoH
   saparivārayoridam evaṃrūpaṃ mahāścaryādbhutādṛṣṭāśrutapūrvaṃ varṣaṃ	sa-parivArayoH-idam evaMrUpam mahAH-caryA-adButa-adRzwa-aSruta-pUrvam varzam
   pravṛṣṭām / ko nvatra bhagavan hetuḥ kaḥ pratyayaḥ / bhagavānāha / nāyaṃ	pravRzwAm / kaH nu-atra Bagavan hetuH kaH pratyayaH / BagavAn-Aha / na-ayam
   [kulaputrayoranubhāvaḥ] hanta pāpīmataḥ pañcamātraiḥ paricārikāśataistato	[kula-putrayoH-anuBAvaH] hanta pApIm-atas paQca-mAtrEH paricArikA-SatEH-tatas-
   mārabhavanādidamevaṃrūpaṃ mahāpuṣpavarṣaṃ yāvadalaṅkāravarṣamutsṛṣṭaṃ mama	mAra-BavanAt-idam-evaMrUpam mahA-puzpa-varzam yAvat-alaFkAra-varzam-utsRzwam mama
   pūjākarmaṇe / cira [metā me anukūlāḥ / tā ma]māntikād vyākaraṇaṃ	pUjA-karmaNe / cira [metAH me anukUlAH / tAH ma]mAntikAt vyAkaraNam
   pratilapsyante 'nuttarāyāṃ samyaksaṃbodhau /	pratilapsyante anuttarAyAm samyaksaMboDO /
   atha tāni pañcamātrāṇi mārakanyāśatāni svayameva bhagavataḥ	aTa tAni paQca-mAtrANi mAra-kanyA-SatAni svayam-eva BagavataH
   śrutaghoṣavyāhāramabhi[śṛṇvanti] / etāśca bhagavanto 'ntike	Sruta-Goza-vyAhAram-aBi[SRNvanti] / etAH-ca BagavantaH antike
   prasādajātāstena prasādaprāmodyena bodhicittam asaṃpramoṣaṃ nāma samādhiṃ	prasAda-jAtAH-tena prasAda-prAmodyena boDi-cittam asaMpramozam nAma samADim
   pratilebhire /	pratileBire /
   atha khalu tā mārakanyāḥ [tatraiva veṇu]vane ekāṃsaṃ cīvaraṃ prāvṛtya	aTa Kalu tAH mAra-kanyAH [tatra-eva veNu]-vane eka-aMsam cIvaram prAvRtya
   dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpyāñjaliṃ kṛtvā yasyāṃ diśi	dakziNam jAnu-maNxalam pRTivyAm pratizWApya-aQjalim kRtvA yasyAm diSi
   bhagavān viharati tāṃ diśaṃ nirīkṣamāṇā evamūcuḥ /	BagavAn viharati tAm diSam nirIkzamANAH evam-UcuH /
   tṛṣṇā nadī nikhilaśoṣakasarvalokam ālokya netravikalaṃ jagadekacakṣuḥ /	tRzNA nadI niKila-Sozaka-sarva-lokam Alokya netra-vikalam jagat-ekacakzuH /
   (Dutt 17)	(Dutt 17)
   tvaṃ tārako 'sya jagataḥ sanarāmarasya buddhā vayaṃ kathamihāśu mune	tvam tArakaH asya jagataH sa-nara-amarasya budDAH vayam kaTam-iha-ASu mune
   bhavema // Rkp_1.24 //	Bavema // RkB-_1.24 //
   naradevapūjya bhagavan paramārthavādin strītvaṃ jugupsitamapāsya vayaṃ	naradeva-pUjya Bagavan parama-arTa-vAdin strI-tvam jugupsitam-apAsya vayam
   samagram /	samagram /
   ṛddhyā tavottamagatiṃ [tvaritaṃ labhema] gatvā munīndravacanaṃ śṛṇuyāma	RdDyA tava-uttama-gatim [tvaritam laBema] gatvA muni-indra-vacanam SRNuyAma
   evam // Rkp_1.25 //	evam // RkB-_1.25 //
   [nairātmyavādi] bhagavan paramārthadarśin bodhyaṅgaratna	[nErAtmya-vAdi] Bagavan parama-arTa-darSin boDi-aFga-ratna
   daranirmala-vāk-pradīpa /	dara-nirmala-vAk--pradIpa /
   ākṛṣya mārabalamapratima tvamasyodbodhāya śīghramadhunā mama vyākuruṣva //	AkRzya mAra-balam-apratima tvam-asya-udboDAya SIGram-aDunA mama vyAkuruzva //
   Rkp_1.26 //	RkB-_1.26 //
   atha khalu mārakanyā utthāyāsanādekakaṇṭhena māraṃ pāpī mantametadūcuḥ /	aTa Kalu mAra-kanyA utTAya-AsanAt-eka-kaNWena mAram pApI mantam-etat-UcuH /
   tvaṃ nāma duṣkṛtamatibhagavatsakāśe duṣṭaḥ kathaṃ śriyamavāpya calāmasārām	tvam nAma duzkRtam-ati-Bagavat-sakASe duzwaH kaTam Sriyam-avApya cala-AmasArAm
   jātyādiduḥkha[sa]mupadruta-sarvamūrtiṃ ghorāṃ daśāmupagato 'si	jAti-Adi-duHKa[-sa]m-upadruta--sarva-mUrtim GorAm daSAm-upagataH asi
   madāvaliptaḥ // Rkp_1.27 //	mada-avaliptaH // RkB-_1.27 //
   śraddhāṃ jine kuru tathā vyapanīya roṣaṃ	SradDAm jine kuru taTA vyapanIya rozam
   saṃsāra-doṣa-madapaṅka-samuddhṛtātmā /	saMsAra-doza--mada-paFka--samudDRta-AtmA /
   eṣo ['stu te vidita] sarvajagasvabhāvaḥ āgaccha kāruṇikamāśugatiṃ prayāmaḥ	ezaH [-astu te vidita] sarva-jaga-svaBAvaH AgacCa kAruNikam-ASu-gatim prayAmaH
   // Rkp_1.28 //	// RkB-_1.28 //
   (Dutt 18)	(Dutt 18)
   atha khalu mārasya pāpīmataḥ paramaduṣṭamanasaḥ etadabhūt / yattvahaṃ	aTa Kalu mArasya pApIm-atas parama-duzwa-manasaH etat-aBUt / yat-tu-aham
   tādṛśaṃ mārabalaviṣayavegaṃ samanusmareyaṃ yadetāni pañca paricārikāśatāni	tAdRSam mAra-bala-vizaya-vegam samanusmareyam yat-etAni paQca paricArikA-SatAni
   pañcapāśabandhanavaddhamātmānaṃ saṃpaśyeyuryathehaiva nivṛtya vane na	paQca-pASa-banDana-vat-Dama-AtmAnam saMpaSyeyuH-yaTA-iha-eva nivRtya vane na
   punargantuṃ śaknuyuḥ / [mārastāśca bandhuṃ na śaktaḥ /] tat kutaḥ /	punar-gantum SaknuyuH / [mAraH-tAH-ca banDum na SaktaH /] tat kutas /
   tathāhi tāni pañca paricārikāśatāni tathāgatādhiṣṭhānāni /	taTA-hi tAni paQca paricArikA-SatAni taTAgata-aDizWAnAni /
   atha khalu tāni pañca paricārikā [śatāni] mārasya pāpīmato 'ntikāt	aTa Kalu tAni paQca paricArikA [SatAni] mArasya pApIm-atas antikAt-
   pracakramuḥ / [atha mārasya pāpīmataḥ] duṣṭasyaitadabhavat / yattvahaṃ	pracakramuH / [aTa mArasya pApImataH] duzwasya-etat-aBavat / yat-tu-aham
   punarapi tādṛśaṃ mārabalaviṣayavegaṃ samanusmareyaṃ yat sarvamidam	punar-api tAdRSam mAra-bala-vizaya-vegam samanusmareyam yat sarvam-idam
   ākaśavairambhyasaṃghātairmahākālameghairmahākālavāyu [bhiḥ āvṛtaṃ] yathā	AkaSavEH-amBya-saMGAtEH-mahAkAla-meGEH-mahAkAla-vAyu [BiH AvRtan] yaTA
   tā eva paricārikāḥ sarvā digvidikṣu saṃbhrāntāḥ śramaṇagautamaṃ na	tAH eva paricArikAH sarvAH diS-vidikzu saMBrAntAH SramaNa-gOtamam na
   paśyeyuḥ / punareva me bhavanamāgaccheyuḥ / tathāpi buddhādhiṣṭhānabalena	paSyeyuH / punar-eva me Bavanam-AgacCeyuH / taTA-api budDa-aDizWAna-balena
   kiya[ntamapi vāyuṃ] na śaknotyutpādayituṃ yo 'ntato bālāgramapi kampayet	kiya[ntam-api vAyuM] na Saknoti-utpAdayitum yaH antatas bAla-agram-api kampayet-
   prāgeva bahutaram /	prAk-eva bahutaram /
   atha māraḥ pāpīmān bhūyasyā mātrayā duṣṭo duḥkhito durmanā vipratisārī	aTa mAraH pApi-imAn BUyasyA mAtrayA duzwaH duHKitaH durmanAH vipratisArI
   [uccaiḥ]svareṇa svaputragaṇapāriṣadyān vyākrośat / sarvaṃ mārabhavanaṃ	[uccEs-]-svareNa sva-putra-gaNa-pArizadyAn vyAkroSat / sarvam mAra-Bavanam
   śabdena pūrayāmāsa /	Sabdena pUrayAmAsa /
   āgacchata priyasutā gaṇapāriṣadyā bhraṣṭā vayaṃ svaviṣayāt svabālācca	AgacCata priya-sutA gaNa-pArizadyA BrazwA vayam sva-vizayAt sva-bAlAt-ca
   ṛddheḥ /	RdDeH /
   (Dutt 19)	(Dutt 19)
   [jāto 'tra] eṣa viṣavṛkṣa ivāntarāt sa māyāśaṭho madhuravādī sa	[jAtaH atra] eza viza-vRkzaH iva-antarAt sa mAyA-SaWaH maDura-vAdI sa
   śākyaputraḥ // Rkp_1.29 //	SAkya-putraH // RkB-_1.29 //
   atha tena śabdena sarvāstā mārakanyā māraduhitaraśca sarve ca māraputrā	aTa tena Sabdena sarvAH-tAH mAra-kanyAH mAra-duhitaraH-ca sarve ca mAra-putrA
   gaṇapārṣadyā [dūrataḥ] ṛtamānarūpāḥ śīghramupagamya pāpīmataḥ	gaNa-pArzadyAH [dUrataH] Rta-mAna-rUpAH SIGram-upagamya pApImatas-
   puratastasthuḥ / tasyāṃ ca pariṣadi jayamatirnāma māra putraḥ sa	puratas-tasTuH / tasyAm ca parizadi jayamatiH-nAma mAra putraH sa
   prāñjalirbhūtvaivamāha /	prAQjaliH-BUtvA-evam-Aha /
   kiṃ durmanāḥ paramakopaviduṣṭacetā no kalpadāha iha na cyutirasti te 'smāt	kim durmanAH parama-kopa-viduzwa-cetAH no kalpadAhaH iha na cyutiH-asti te asmAt-
   śatrurna cāsti tava kaścidiha pravṛddho mohaṃ gato 'si	SatruH-na ca-asti tava kaScid-iha pravRdDaH moham gataH asi
   kimutānyamati[ra]kasmāt // Rkp_1.30 //	kim-uta-anyam-ati[ra]kasmAt // RkB-_1.30 //
   māraḥ prāha /	mAraH prAha /
   na tvaṃ paśyasi śākyaputra vṛṣalaṃ yat sanniṣaṇṇaṃ	na tvam paSyasi SAkya-putra vRzalam yat sannizaNNam
   drume yadvākyaṃ vadasīha nāsti balavān śatrustavetyagrataḥ /	drume yat-vAkyam vadasi-iha na-asti balavAn SatruH-tava-iti-agratas /
   sarve tena śaṭhena caikabalinā saṃbhrāmitā naikaśo	sarve tena SaWena ca-eka-balinA saMBrAmitA na-ekaSas-
   ...... vayam sasutapārṣada va[....................] // Rkp_1.31 //	...... vayam sa-suta-pArzada va[....................] // RkB-_1.31 //
   ye 'pyasmin jagati pradhānapuruṣā vikhyātakīrtiśriyo	ye api-asmin jagati praDAnapuruzA viKyAta-kIrti-SriyaH-
   vidvāṃso bahuśāsrakāvyaracanāvyagrāḥ samagrā drutam /	vidvAMsaH bahu-SAsra-kAvya-racanA-vyagrAH samagrAH drutam /
   ye taṃ śākyasutaṃ gatādhi[śa]raṇaṃ dha[rmāṅkuśaistāḍitāḥ]	ye tam SAkya-sutam gata-ADi[-Sa]raNam Da[rma-aFkuSEH-tAxitAH]
   (Dutt 20)	(Dutt 20)
   sa tveṣa priyavigrahaḥ śaṭhamatiḥ śatrurmayā yudyate // Rkp_1.32 //	sa tu-eza priya-vigrahaH SaWa-matiH SatruH-mayA yudyate // RkB-_1.32 //
   etā vai paricārikāḥ priyatamāḥ protsṛjya māṃ niṣkṛpāḥ	etAH vE paricArikAH priyatamAH protsRjya mAm nizkRpAH
   [tūrṇa]taṃ śramaṇaṃ gatādya śaraṇaṃ hitvā [hi me rājyakam] /	[tUrNa]tam SramaNam gatA-adya SaraNam hitvA [hi me rAjya-kam] /
   [kartā] kṛtsnamidaṃ bhavatrayamataḥ śūnyaṃ śaṭho māyayā	[kartA] kRtsnam-idam Bava-trayam-atas SUnyam SaWaH mAyayA
   bhasmīkurma ihādya yadyatibalenāśu prayatnādvayam // Rkp_1.33 //	BasmIkurmaH iha-adya yadi-ati-balena-ASu prayatna-advayam // RkB-_1.33 //
   atha te sarve māraputrāḥ sapārṣadyāḥ [prāñjalayaḥ etadūcuḥ] / evamastu	aTa te sarve mAra-putrAH sa-pArzadyAH [prAQjalayaH etat-UcuH] / evam-astu
   yadasmākam ṛddhibalaviṣānubhāvavikurvitaṃ sarvaṃ darśayisyāmaḥ / yadi	yat-asmAkam RdDi-bala-viza-anuBAva-vikurvitam sarvam darSayisyAmaH / yadi
   śaknumaḥ etaṃ śākyaputraṃ bhasmīkartumityevaṃ ku[śalam / yadi na śaknumaḥ	SaknumaH etam SAkya-putram BasmIkartum-iti-evam ku[Salam / yadi na SaknumaH
   tasya śaraṇaṃ gamiṣyāmaḥ /] svayameva pitastvaṃ pratyakṣo 'si / yad vayaṃ	tasya SaraNam gamizyAmaH /] svayam-eva pitaH-tvam pratyakzaH asi / yat vayam
   mahāsainyaparivṛtāḥ prāgeva ekākinā advitīyena anena	mahA-sEnya-parivRtAH prAk-eva ekAkinA advitIyena anena
