   akarotkiṃ mahādeva SkP_26.2c	akarot kim mahAdeva SkP_26.2c
   avadhyaḥ sarvajantubhiḥ SkP_7.17d	avaDyaH sarva jantuBiH SkP_7.17d
   avadhyāścaiva rakṣasām SkP_29.237d	avaDyAH ca eva rakzasAm SkP_29.237d
   avadhyebhyastathaiva ca SkP_25.42d	avaDyeByaH taTA eva ca Sku _25.42d
   avandatparayā mudā SkP_29.101d	avandat parayA mudA Sku _29.101d
   avamucyātmanastataḥ SkP_22.8b	avamucya AtmanaH tatas Sku _22.8b
   avaśyāyāpyavadhyāya SkP_21.47c	avaSyAya api avaDyAya Sku _21.47c
   avasavyapriyaḥ savyo SkP_28.67c	avasavya priyaH savyaH SkP_28.67c
   avasāne ca dīpānāṃ SkP_28.40c	avasAne ca dIpAnAm SkP_28.40c
   avahadrudhiraṃ caiva SkP_19.22c	avahat ruDiram ca eva SkP_19.22c
   avātiṣṭhata niścalaḥ SkP_30.15d	avAtizWata niScalaH SkP_30.15d
   avādayanta gaṇapā SkP_24.61c	avAdayanta gaNapA Sku _24.61c
   avimuktamiti smṛtam SkP_30.52d	avimuktam iti smRtam Sku _30.52d
   avimuktamidaṃ tataḥ SkP_29.37d	avimuktam idam tatas SkP_29.37d
   avimuktamidaṃ śubhe SkP_29.54f	avimuktam idam SuBe Sku _29.54f
   avimuktasya kathitaṃ SkP_30.71c	avimuktasya kaTitam SkP_30.71c
   avimuktasya tattadā SkP_30.45b	avimuktasya tat tadA SkP_30.45b
   avimuktaṃ tato 'bhavat SkP_29.56d	avimuktam tatas aBavat SkP_29.56d
   avimukte ca te sthāne SkP_31.9c	avimukte ca te sTAne SkP_31.9c
   avimukteśvaraṃ māṃ ca SkP_29.81a	avimukteSvaram mAm ca Sku _29.81a
   avimukteśvaraṃ māṃ vai SkP_29.38a	avimukteSvaram mAm vE SkP_29.38a
   avimukteśvaraṃ liṅgaṃ SkP_29.57a	avimukteSvaram liFgam Sku _29.57a
   avekṣamāṇaḥ svāṃl lokāṃś SkP_5.23c	avekzamANaH svAn lokAn SkP_5.23c
   avocatsarvamavyagro SkP_27.5c	avocat sarvam avyagraH SkP_27.5c
   avyaktaliṅginaścaiva SkP_29.63a	avyakta liFginaH ca eva Sku _29.63a
   avyaktaliṅgairmunibhiḥ SkP_30.57a	avyakta liFgEH muniBiH Sku _30.57a
   aśaktirahitāya ca SkP_3.14b	aSakti rahitAya ca Sku _3.14b
   aśakto nāsti ca dravyaṃ SkP_27.21c	aSaktaH na asti ca dravyam SkP_27.21c
   aśaniṃ dhārayañchubham SkP_23.38b	aSanim DArayan SuBam Sku _23.38b
   aśanīpātanardanaḥ SkP_23.11d	aSanI pAtanardanaH SkP_23.11d
   aśanīpātasaṃnibhān SkP_23.9d	aSanI pAta saMniBAn SkP_23.9d
   aśanīśatahāsāya SkP_14.14c	aSanI Sata hAsAya SkP_14.14c
   aśanīṃ ca dadau svayam SkP_24.47f	aSanIm ca dadO svayam Sku _24.47f
   aśaraṇyasya deveśa SkP_20.20a	aSaraNyasya deveSa Sku _20.20a
   aśarīro 'pi te kāle SkP_15.10c	aSarIraH api te kAle SkP_15.10c
   aśucirbhinnamaryādo SkP_28.37c	aSuciH Binna maryAdaH SkP_28.37c
   aśuciṃ spraṣṭukāmāśca SkP_10.35c	aSucim sprazwu kAmAH ca SkP_10.35c
   aśubhebhyastathaiva ca SkP_25.51d	aSuBeByaH taTA eva ca Sku _25.51d
   aśokapuṃnāgavanaiḥ supuṣpitair SkP_30.24c	aSoka puMnAga vanEH su puzpitEH SkP_30.24c
   aśokasutasaṃgrahaḥ SkP_2.22d	aSoka suta saMgrahaH SkP_2.22d
   aśrupūrṇekṣaṇaṃ dīnaṃ SkP_22.1c	aSru pUrNa IkzaNam dInam SkP_22.1c
   aśrupūrṇekṣaṇā dīnāḥ SkP_29.185a	aSru pUrNa IkzaNAH dInAH Sku _29.185a
   aśrupūrṇe mamārja ha SkP_22.2d	aSru pUrNe mama Arja ha SkP_22.2d
   aśvamedhaśataṃ prāpya SkP_29.93c	aSvameDa Satam prApya SkP_29.93c
   aśvinau daityadānavāḥ SkP_24.29d	aSvinO dEtya dAnavAH SkP_24.29d
   aṣṭamaṃ sthānametaddhi SkP_18.28c	azwamam sTAnam etat hi SkP_18.28c
   aṣṭamyāṃ copavāsikaḥ SkP_27.34b	azwamyAm ca upavAsikaH Sku _27.34b
   aṣṭānāṃ devayonīnām SkP_5.7a	azwAnAm devayonInAm Sku _5.7a
   aṣṭābhistvātmanaḥ samaiḥ SkP_23.38d	azwABiH tu AtmanaH samEH SkP_23.38d
   asakṛtprocyamānā sā SkP_26.49c	asakRt procyamAnA sA SkP_26.49c
   asatkṛtāyāḥ kiṃ me 'dya SkP_10.22c	asatkRtAyAH kim me adya SkP_10.22c
   asitajaladavṛndadh vānavitrastahaṃsā SkP_13.82a	asita jalada vRndaD vA anavitrasta haMsA Sku _13.82a
   asitasyaikaparṇā tu SkP_11.33c	asitasya ekaparNA tu SkP_11.33c
   asipaṭṭisahastaṃ ca SkP_8.34a	asi pawwi sahastam ca Sku _8.34a
   asipāṇirmahātejāḥ SkP_23.35a	asi pANiH mahA tejAH Sku _23.35a
   asurāṇāṃ śatairvṛtaḥ SkP_7.17f	asurANAm SatEH vRtaH Sku _7.17f
   asurā devakaṇṭakāḥ SkP_29.48b	asurAH deva kaNwakAH SkP_29.48b
   asuro devakaṇṭakaḥ SkP_7.16b	asuraH deva kaNwakaH SkP_7.16b
   asṛjatsarvabhūtāni SkP_5.22c	asRjat sarva BUtAni SkP_5.22c
   asṛjadvividhāstvanyāḥ SkP_4.19c	asRjat viviDAH tu anyAH SkP_4.19c
   asṛjanta prajāḥ sarvā SkP_4.21c	asRjanta prajAH sarvA SkP_4.21c
   asṛjanmūrdhni saṃsthitam SkP_5.40b	asRjat mUrDni saMsTitam Sku _5.40b
   astuvacca pitāmahaḥ SkP_13.40d	astuvat ca pitAmahaH SkP_13.40d
   astuvanvāgbhiriṣṭābhir SkP_8.16c	astuvan vAgBiH izwABiH SkP_8.16c
   astuvanvāgbhiriṣṭābhiḥ SkP_9.1c	astuvan vAgBiH izwABiH SkP_9.1c
   astauṣīddīnayā girā SkP_5.45d	astOzIt dInayA girA SkP_5.45d
   astraṃ ca te prayacchāmi SkP_29.172a	astram ca te prayacCAmi Sku _29.172a
   astraṃ pāśupataṃ tathā SkP_4.10b	astram pASupatam taTA Sku _4.10b
   astrāṇāṃ ca prayoktṛtā SkP_4.8d	astrANAm ca prayoktR tA SkP_4.8d
   asthiśeṣo 'bhavatsarvo SkP_30.18c	asTi SezaH aBavat sarvaH SkP_30.18c
   asmatto bhuvaneśvari SkP_31.2d	asmattaH BuvaneSvari SkP_31.2d
   asmatpriyacikīrṣayā SkP_18.31d	asmad priya cikIrzayA SkP_18.31d
   asmākamīśaḥ sarveṣāṃ SkP_25.29c	asmAkam ISaH sarvezAm SkP_25.29c
   asmākaṃ varadaścaiva SkP_25.34c	asmAkam vara daH ca eva SkP_25.34c
   asmācceha ratirmama SkP_30.51f	asmAt ca iha ratiH mama Sku _30.51f
   asmābhiśca bhavānsārdhaṃ SkP_3.27c	asmABiH ca BavAn sArDam SkP_3.27c
   asmābhiścābhiṣiktastvaṃ SkP_25.37c	asmABiH ca aBiziktaH tvam SkP_25.37c
   asminkalpa upasthite SkP_4.22d	asmin kalpe upasTite SkP_4.22d
   asmindeśe purā devi SkP_29.8c	asmin deSe purA devi SkP_29.8c
   asmindeśe prasāditaḥ SkP_29.22b	asmin deSe prasAditaH Sku _29.22b
   asminnapi pradeśe tu SkP_29.20a	asmin= api pradeSe tu Sku _29.20a
   asminnapi mayā deśe SkP_29.31a	asmin= api mayA deSe Sku _29.31a
   asminmṛtāstanubhṛtaḥ padamāpnuvanti SkP_30.75c	asmin mRtAH tanuBRtaH padam Apnuvanti SkP_30.75c
   asminsiddhāḥ sadā devi SkP_30.47a	asmin sidDAH sadA devi Sku _30.47a
   asya kṣetrasya māhātmyam SkP_30.45a	asya kzetrasya mAhAtmyam Sku _30.45a
   asya kṣetrasya māhātmyād SkP_30.55c	asya kzetrasya mAhAtmyAt Sku _30.55c
   asya pūjāṃ cakāra ha SkP_26.36d	asya pUjAm cakAra ha SkP_26.36d
   ahameka iti jñātvā SkP_3.5a	aham ekaH iti jQAtvA Sku _3.5a
   ahameva hi bhūtānāṃ SkP_5.30c	aham eva hi BUtAnAm SkP_5.30c
   ahaṃ kartā bhaviṣyasya SkP_15.36c	aham kartA Bavizyasya SkP_15.36c
   ahaṃ kartā hi bhūtānāṃ SkP_5.29a	aham kartA hi BUtAnAm Sku _5.29a
   ahaṃkārāya vai namaḥ SkP_29.157d	ahaMkArAya vE namaH SkP_29.157d
   ahaṃ jyeṣṭhā variṣṭhā ca SkP_10.15a	aham jyezWA varizWA ca Sku _10.15a
   ahaṃ tasyāḥ prabhuḥ sadā SkP_10.29f	aham tasyAH praBuH sadA Sku _10.29f
   ahaṃ tvāṃ varayiṣyāmi SkP_12.18c	aham tvAm varayizyAmi SkP_12.18c
   ahaṃ yatra bhavāṃstatra SkP_25.19c	aham yatra BavAn= tatra SkP_25.19c
   ahaṃ śrutīnāṃ sarvāsāṃ SkP_5.35c	aham SrutInAm sarvAsAm SkP_5.35c
   ahaṃ śreṣṭho mahābhāgau SkP_5.32a	aham SrezWaH mahABAgO Sku _5.32a
   ahaṃ sraṣṭā hi bhūtānāṃ SkP_5.26a	aham srazwA hi BUtAnAm Sku _5.26a
   aho dīptiraho balam SkP_29.134b	aho dIptiH aho balam Sku _29.134b
   ahorātreṇa vindati SkP_28.8d	ahorAtreNa vindati SkP_28.8d
   aho 'syāstapaso vīryam SkP_29.134a	aho asyAH tapasaH vIryam Sku _29.134a
   ākāśapataye namaḥ SkP_21.27b	AkASa pataye namaH Sku _21.27b
   ākāśe saṃsthitaḥ prabhuḥ SkP_26.58b	AkASe saMsTitaH praBuH SkP_26.58b
   ākīrṇapuṣpanikarapraviviktahāsair SkP_30.32c	AkIrNa puzpa nikara pravivikta hAsEH SkP_30.32c
   ākhyātumupacakrame SkP_30.21d	AKyAtum upacakrame SkP_30.21d
   ākhyānaṃ pañcacūḍāyās SkP_2.20a	AKyAnam paQcacUxAyAH SkP_2.20a
   ākhyāya himavatputryā SkP_29.96c	AKyAya himavat putryA Sku _29.96c
   ākhyeyaṃ nāpi cājñāya SkP_5.68c	AKyeyam na api ca AjQAya SkP_5.68c
   āgataṃ pitaraṃ mā tvaṃ SkP_4.6a	Agatam pitaram mA tvam Sku _4.6a
   āgatāṃ tu surūpiṇīm SkP_26.6b	AgatAm tu surUpiNIm Sku _26.6b
   āgatya tānṛṣīnprāha SkP_8.23c	Agatya tAn RzIn prAha SkP_8.23c
   āgatyātha tato brahmā SkP_7.26a	Agatya aTa tatas brahmA Sku _7.26a
   āgamya tānṛṣīnprāha SkP_8.21c	Agamya tAn RzIn prAha SkP_8.21c
   āgāttato 'paraścāpi SkP_23.39a	AgAt tatas aparaH ca api Sku _23.39a
   āgāttato 'paro vyāsa SkP_23.37a	AgAt tatas aparaH vyAsa Sku _23.37a
   āgātsamīpaṃ devasya SkP_23.32c	AgAt samIpam devasya SkP_23.32c
   āgneyīṃ sahasā satī SkP_10.25b	AgneyIm sahasA satI Sku _10.25b
   ājagāma tadantikam SkP_4.3d	AjagAma tad antikam SkP_4.3d
   ājagāma mahātapāḥ SkP_23.41d	AjagAma mahA tapAH SkP_23.41d
   ājagāma mahādyutiḥ SkP_26.64d	AjagAma mahA dyutiH SkP_26.64d
   ājagmaturatidyutī SkP_13.92d	AjagmatuH ati dyutI SkP_13.92d
   ājagmaturdevasadaḥ suvīrau SkP_13.18d	AjagmatuH deva sadaH su vIrO SkP_13.18d
   ājagmurāruhya vimānapṛṣṭhaṃ SkP_13.22c	AjagmuH Aruhya vimAna pRzWam SkP_13.22c
   ājagmurdevasaṃsadam SkP_23.68d	AjagmuH deva saMsadam SkP_23.68d
   ājñayā parameśasya SkP_6.1c	AjQayA parameSasya SkP_6.1c
   ājñāpaya kṛtaṃ hi tat SkP_24.2d	AjQApaya kRtam hi tat SkP_24.2d
   ājñābalaiśvaryakṛtapramoho SkP_13.23c	AjQA bala ESvarya kRta pramohaH SkP_13.23c
   ājyaṃ dhūpamathāpi ca SkP_24.27b	Ajyam DUpam aTa api ca SkP_24.27b
   āḍambarakaḍiṇḍimaiḥ SkP_23.67b	Axambaraka xiNximEH SkP_23.67b
   ātmatulyabalāndīptāñ SkP_10.8a	Atma tulya balAn dIptAn Sku _10.8a
   ātmanaścaiva sāyujyam SkP_30.58c	AtmanaH ca eva sAyujyam Sku _30.58c
   ātmanaḥ sadṛśadyutim SkP_16.1d	AtmanaH sadRSa dyutim SkP_16.1d
   ātmanaḥ sadṛśānāṃ ca SkP_23.10a	AtmanaH sadRSAnAm ca Sku _23.10a
   ātmanā pūrvamārjitam SkP_27.18b	AtmanA pUrva m Arjitam Sku _27.18b
   ātmanā samayādvibho SkP_16.5f	AtmanA samayAt viBo SkP_16.5f
   ātmanā saha sakhyaṃ ca SkP_29.169c	AtmanA saha saKyam ca SkP_29.169c
   ātmānaṃ putranāmānaṃ SkP_16.7a	AtmAnam putra nAmAnam Sku _16.7a
   ādadhe garbhamuttamam SkP_16.14f	AdaDe garBam uttamam Sku _16.14f
   ādāvatrāhamāgatya SkP_29.34a	AdO= atra aham Agatya Sku _29.34a
   āditya āgādbhaganāmadhārī SkP_13.11d	AdityaH AgAt Baga nAma DArI SkP_13.11d
   āditya iva madhyāhne SkP_12.51c	AdityaH iva maDyAhne SkP_12.51c
   ādityamaṇḍalākāram SkP_5.37c	Aditya maNxala AkAram SkP_5.37c
   ādityamaṇḍalākāraṃ SkP_5.40e	Aditya maNxala AkAram SkP_5.40e
   ādityamūrdhā koṭyā ca SkP_23.51a	AdityamUrDA kowyA ca Sku _23.51a
   ādityavarcasaṃ caiva SkP_24.38c	Aditya varcasam ca eva SkP_24.38c
   ādityavarṇāya namaḥ SkP_5.49a	Aditya varNAya namaH Sku _5.49a
   ādityaḥ kāśyapo balī SkP_13.35b	AdityaH kASyapaH balI Sku _13.35b
   ādityānāṃ ca pataye SkP_21.26c	AdityAnAm ca pataye SkP_21.26c
   ādityāyāśvine namaḥ SkP_14.17d	AdityAya ASvine namaH SkP_14.17d
   ādityo bhava rudro vā SkP_21.16c	AdityaH Bava rudraH vA SkP_21.16c
   ādideśa pitāmaham SkP_24.35d	AdideSa pitAmaham Sku _24.35d
   ādau paścācca sarvābhyo SkP_29.226a	AdO paScAt ca sarvAByaH Sku _29.226a
   ānantyaṃ cārcanaṃ smṛtam SkP_27.24d	Anantyam ca arcanam smRtam Sku _27.24d
   ānantyā sā gatistasya SkP_29.30c	AnantyA sA gatiH tasya SkP_29.30c
   ānantyo gugguluścaiva SkP_27.29c	AnantyaH gugguluH ca eva SkP_27.29c
   ānandāya ca vai namaḥ SkP_21.41b	AnandAya ca vE namaH Sku _21.41b
   ānayāmaḥ susaṃkruddhā SkP_24.4c	AnayAmaH su saMkrudDA SkP_24.4c
   ānayāmāsa tatkṣaṇāt SkP_25.7d	AnayAmAsa tad kzaNAt SkP_25.7d
   ānayiṣyāma durvidam SkP_8.15b	AnayizyAma durvidam Sku _8.15b
   āninyustatra gaṇapā SkP_24.19a	AninyuH tatra gaNapA Sku _24.19a
   āpṛcchya himavatsutām SkP_12.27b	ApRcCya himavat sutAm Sku _12.27b
   āpyāyayansarvasurāsureśān SkP_13.16a	ApyAyayan sarva sura asura ISAn Sku _13.16a
   āpyāyibhyo namo namaḥ SkP_25.50b	ApyAyiByaH namaH namaH Sku _25.50b
   ābabaddhāsya kaṇṭhe vai SkP_29.174c	AbabadDA asya kaNWe vE SkP_29.174c
   ābabaddhāsya śirasi SkP_29.173c	AbabadDA asya Sirasi SkP_29.173c
   ābabandha mahātejā SkP_22.8c	AbabanDa mahA tejAH SkP_22.8c
   ābrahmakeṣu lokeṣu SkP_13.6a	Abrahmakezu lokezu Sku _13.6a
   āmantrya nāmnā tānīśaḥ SkP_25.2c	Amantrya nAmnA tAn ISaH SkP_25.2c
   ā mūlātphalanicitaiḥ kvacidviśālair SkP_30.37c	A mUlAt Pala nicitEH kvacid viSAlEH SkP_30.37c
   āyāti tvarito yūyaṃ SkP_7.19c	AyAti tvaritaH yUyam SkP_7.19c
   āyurvedaṃ dhanurvedaṃ SkP_20.35c	Ayurvedam Danurvedam SkP_20.35c
   ārambhāya samāptaye SkP_29.158d	AramBAya samAptaye SkP_29.158d
   ārādhayadumāpatim SkP_16.4b	ArADayat umApatim Sku _16.4b
   ārādhaya mahādevaṃ SkP_20.7c	ArADaya mahAdevam SkP_20.7c
   ārādhaya śucismite SkP_9.20d	ArADaya Suci smite SkP_9.20d
   ārādhya ca vṛṣadhvajam SkP_11.16b	ArADya ca vRzaDvajam Sku _11.16b
   ārādhya parameśvaram SkP_20.3b	ArADya parameSvaram Sku _20.3b
   ārirādhayiṣurlokast SkP_26.36c	ArirADayizuH lokaH t SkP_26.36c
   āruhya āgāttvaritaṃ javena SkP_13.10d	Aruhya AgAt tvaritam javena SkP_13.10d
   āruhya bhīmaṃ mahiṣaṃ javena SkP_13.12d	Aruhya BImam mahizam javena SkP_13.12d
   āruhya sarvadraviṇādhipeśaḥ SkP_13.15c	Aruhya sarva draviNa aDipa ISaH SkP_13.15c
   āruhya sarvāmararāṭ sa vajraṃ SkP_13.9e	Aruhya sarva amara rAj sa vajram Sku _13.9e
   ārebhe yatnamāsthitā SkP_12.59d	AreBe yatnam AsTitA SkP_12.59d
   ārtavatsa narādhipaḥ SkP_17.6d	Arta vat sa narADipaH SkP_17.6d
   ārto 'krośata visvaram SkP_15.6b	ArtaH akroSata visvaram Sku _15.6b
   āryaputra na me putraṃ SkP_26.50c	Arya putra na me putram SkP_26.50c
   āryāyai ca namo nityaṃ SkP_29.201a	AryAyE ca namaH nityam Sku _29.201a
   āryāvarapradānaṃ ca SkP_2.18c	AryAvara pradAnam ca SkP_2.18c
   āvāsaiḥ parivṛtapādapaṃ munīnām SkP_30.37b	AvAsEH parivRta pAdapam munInAm Sku _30.37b
   āviśya jagati striyaḥ SkP_29.233b	AviSya jagati striyaH Sku _29.233b
   āveśanī tathāṣṭābhiḥ SkP_23.49a	AveSanI taTA azwABiH SkP_23.49a
   āśāsyāsanasaṃveśaṃ SkP_1.6c	ASAsya Asana saMveSam SkP_1.6c
   āśiṣaṃ devayostadā SkP_20.48b	ASizam devayoH tadA SkP_20.48b
   āśu so 'gniparītāṅgo SkP_15.7a	ASu saH agni parIta aFgaH Sku _15.7a
   āśramaścāyamatyarthaṃ SkP_22.11a	ASramaH ca ayam atyarTam SkP_22.11a
   āśramaṃ caivamatyarthaṃ SkP_12.25a	ASramam ca evam atyarTam Sku _12.25a
   āśramaṃ samanuprāptau SkP_20.39c	ASramam samanuprAptO SkP_20.39c
   āśramāntarajaṃ karma SkP_30.10e	ASrama antara jam karma Sku _30.10e
   āśramorūrvarṇajānur SkP_5.14a	ASrama UrUrvarNa jAnuH Sku _5.14a
   āśritaḥ soma āgatya SkP_29.12c	ASritaH somaH Agatya SkP_29.12c
   āśrite dve aparṇā tu SkP_11.25c	ASrite dve aparNA tu SkP_11.25c
   āsanaṃ merusaṃkāśaṃ SkP_24.12c	Asanam meru saMkASam SkP_24.12c
   āsanāgryavareṇa ca SkP_17.21b	Asana agrya vareNa ca Sku _17.21b
   āsanādibhirabhyarcya SkP_26.14a	Asana AdiBiH aByarcya Sku _26.14a
   āsane kāñcane divye SkP_27.1c	Asane kAQcane divye SkP_27.1c
   āsanena mahārheṇa SkP_26.6c	Asanena mahArheNa SkP_26.6c
   āsane paramārcite SkP_26.5d	Asane parama arcite SkP_26.5d
   āsane paramārcitau SkP_20.40d	Asane parama arcitO SkP_20.40d
   āsankapilavarṇajāḥ SkP_29.11b	Asan kapila varNa jAH Sku _29.11b
   āsīdyakṣaḥ pratāpavān SkP_30.4b	AsIt yakzaH pratApavAn Sku _30.4b
   āsīnamāsane puṇye SkP_5.5c	AsInam Asane puNye SkP_5.5c
   āsīnaśca śayānaśca SkP_30.6a	AsInaH ca SayAnaH ca SkP_30.6a
   āsīnastatra kāmadaḥ SkP_26.2b	AsInaH tatra kAma daH Sku _26.2b
   āsīnāṃ kāñcane śubhre SkP_26.5c	AsInAm kAQcane SuBre SkP_26.5c
   āsīnāṃ tāṃ ca sovāca SkP_26.7a	AsInAm tAm ca sA uvAca Sku _26.7a
   āsthitasya jagatprabhoḥ SkP_29.67b	AsTitasya jagatpraBoH Sku _29.67b
   āsthito gaṇapaiḥ saha SkP_29.34b	AsTitaH gaNapEH saha Sku _29.34b
   āhāramekaparṇena SkP_11.26a	AhAram ekaparNena SkP_11.26a
   āhāraṃ tena cakratuḥ SkP_11.27b	AhAram tena cakratuH Sku _11.27b
   āhūtaḥ svayamīśvaraḥ SkP_23.32d	AhUtaH svayam ISvaraH SkP_23.32d
   āhvānamakarottadā SkP_23.4d	AhvAnam akarot tadA SkP_23.4d
   icchato darśanaṃ caiva SkP_29.124c	icCataH darSanam ca eva SkP_29.124c
   icchāmi dattaṃ deveśa SkP_16.7c	icCAmi dattam deveSa SkP_16.7c
   icchāmi devadeveśa SkP_7.4a	icCAmi devadeveSa Sku _7.4a
   icchāmi bhagavanputraṃ SkP_18.20a	icCAmi Bagavan putram Sku _18.20a
   icchāmi śiraso hyasya SkP_5.62c	icCAmi SirasaH hi asya SkP_5.62c
   icchāmyahaṃ taveśāna SkP_21.50e	icCAmi aham tava ISAna Sku _21.50e
   icchāmyātmasamaṃ putraṃ SkP_20.24c	icCAmi Atma samam putram SkP_20.24c
   icchāmyetaddhi veditum SkP_1.24d	icCAmi etat hi veditum SkP_1.24d
   icchāyai rataye caiva SkP_29.161a	icCAyE rataye ca eva Sku _29.161a
   itastāta vrajāmyaham SkP_20.63d	itas tAta vrajAmi aham SkP_20.63d
   iti kusumavicitrasarvavṛkṣā SkP_13.126a	iti kusuma vicitra sarva vRkzA Sku _13.126a
   iti te sarvamākhyātaṃ SkP_13.136a	iti te sarvam AKyAtam Sku _13.136a
   iti devamuvāca ha SkP_13.62d	iti devam uvAca ha SkP_13.62d
   iti buddhvā śamaṃ vraja SkP_20.64d	iti budDvA Samam vraja SkP_20.64d
   iti me niścitā matiḥ SkP_15.36b	iti me niScitA matiH Sku _15.36b
   iti labdhvā varaṃ devī SkP_12.62a	iti labDvA varam devI Sku _12.62a
   iti vijñāpito devaḥ SkP_30.21a	iti vijQApitaH devaH Sku _30.21a
   iti vedavido viduḥ SkP_19.4d	iti veda vidaH viduH SkP_19.4d
   iti saṃcintya śailendraḥ SkP_13.5c	iti saMcintya SElendraH SkP_13.5c
   iti stutā gaṇapatayo mahābalāḥ SkP_25.52a	iti stutAH gaNapatayaH mahA balAH Sku _25.52a
   itihāsaṃ purātanam SkP_5.21b	itihAsam purAtanam Sku _5.21b
   ityuktvā devadeveśas SkP_5.65a	iti uktvA devadeveSaH SkP_5.65a
   idamanyanmahatkṣetraṃ SkP_29.44a	idam anyat mahat kzetram Sku _29.44a
   idamarthavadavyayaḥ SkP_19.2d	idam arTavat avyayaH SkP_19.2d
   idamākhyānamaiśvaram SkP_5.68b	idam AKyAnam ESvaram Sku _5.68b
   idamāha parāśaram SkP_18.27d	idam Aha parASaram Sku _18.27d
   idamāha mahādyutiḥ SkP_13.46d	idam Aha mahA dyutiH SkP_13.46d
   idamāha mahādyutiḥ SkP_13.58d	idam Aha mahA dyutiH SkP_13.58d
   idamāha mahāmanāḥ SkP_12.14d	idam Aha mahAmanAH SkP_12.14d
   idamāha vaco viprāś SkP_1.23c	idam Aha vacaH viprAH SkP_1.23c
   idamāhānatānanaḥ SkP_16.5b	idam AhAnata AnanaH Sk= _16.5b
   idameva mahatsmṛtam SkP_30.54d	idam eva mahat smRtam Sku _30.54d
   idaṃ guhyatamaṃ kṣetraṃ SkP_30.46a	idam guhyatamam kzetram Sku _30.46a
   idaṃ ca paramaṃ guhyaṃ SkP_28.65a	idam ca paramam guhyam Sku _28.65a
   idaṃ ca vacanaṃ brūyāt SkP_28.59a	idam ca vacanam brUyAt Sku _28.59a
   idaṃ ca śṛṇu me vacaḥ SkP_25.17d	idam ca SRNu me vacaH SkP_25.17d
   idaṃ cainamuvāca ha SkP_29.114d	idam ca enam uvAca ha SkP_29.114d
   idaṃ covāca taṃ śubhā SkP_10.20d	idam ca uvAca tam SuBA SkP_10.20d
   idaṃ paṭhedyo hi naraḥ sadaiva SkP_12.63a	idam paWet yaH hi naraH sadA eva SkP_12.63a
   idaṃ putrāya śiṣyāya SkP_3.3a	idam putrAya SizyAya Sku _3.3a
   idaṃ provāca susvaram SkP_18.35d	idam provAca su svaram Sku _18.35d
   idaṃ mahaddivyamadharmaśāsanaṃ SkP_5.69a	idam mahat divyam aDarma SAsanam Sku _5.69a
   idaṃ vacanakovidaḥ SkP_10.26d	idam vacana kovidaH SkP_10.26d
   idaṃ vacanamabravīt SkP_12.11d	idam vacanam abravIt SkP_12.11d
   idaṃ vacanamabravīt SkP_29.99d	idam vacanam abravIt SkP_29.99d
   idaṃ vacanamabruvan SkP_24.1d	idam vacanam abruvan SkP_24.1d
   idaṃ vacanamarthavat SkP_17.12d	idam vacanam arTavat SkP_17.12d
   idaṃ śubhaṃ divyamadharmanāśanaṃ SkP_7.37a	idam SuBam divyam aDarma nASanam Sku _7.37a
   idānīmasti me vatse SkP_18.12a	idAnIm asti me vatse Sku _18.12a
   idānīmahamāgatya SkP_29.37a	idAnIm aham Agatya Sku _29.37a
   idānīṃ svayameva tvaṃ SkP_26.12a	idAnIm svayam eva tvam Sku _26.12a
   indracandrasamadyutiḥ SkP_17.2d	indra candra sama dyutiH SkP_17.2d
   indratvamatha vāyutām SkP_21.16b	indra tvam aTa vAyu tAm Sku _21.16b
   indravaivasvatopamam SkP_26.31d	indra vEvasvata upamam Sku _26.31d
   indrāṇyai muktaye namaḥ SkP_29.191b	indrANyE muktaye namaH Sku _29.191b
   indriyāṇāṃ pravṛttyai ca SkP_29.208a	indriyANAm pravRttyE ca Sku _29.208a
   indriyāṇi ca sarvaśaḥ SkP_24.32d	indriyANi ca sarvaSas SkP_24.32d
   indriyārthaviśeṣāya SkP_5.52a	indriya arTa viSezAya Sku _5.52a
   indriyāviṣayāya ca SkP_3.14d	indriya avizayAya ca SkP_3.14d
   imaṃ lokamanuprāpya SkP_7.13c	imam lokam anuprApya SkP_7.13c
   imaṃ lokaṃ varāmbhobhiḥ SkP_7.9a	imam lokam vara amBoBiH Sku _7.9a
   imāni ca mahābhāge SkP_28.66a	imAni ca mahABAge Sku _28.66a
   imānsarvānsvatejasā SkP_11.37b	imAn sarvAn sva tejasA SkP_11.37b
   imāṃ kathāmanubrūyāt SkP_3.2c	imAm kaTAm anubrUyAt SkP_3.2c
   imāṃ caivāśaniṃ divyām SkP_29.171a	imAm ca eva aSanim divyAm Sku _29.171a
   ime hi munayaḥ sarve SkP_1.12a	ime hi munayaH sarve Sku _1.12a
   imau nandigaṇendrāṇāṃ SkP_25.54a	imO nandi gaNa indrANAm Sku _25.54a
   iyaṃ ca prakṛtirdevī SkP_13.43a	iyam ca prakRtiH devI Sku _13.43a
   iyaṃ sarasvatī nāma SkP_5.18c	iyam sarasvatI nAma Sku _5.18c
   iyaṃ sā parvatasutā SkP_29.133a	iyam sA parvata sutA Sku _29.133a
   irāyai vṛttaye namaḥ SkP_29.192d	irAyE vRttaye namaH SkP_29.192d
   ilāputraṃ mahāmatim SkP_8.12d	ilA putram mahAmatim SkP_8.12d
   iṣṭayo niyamāstathā SkP_24.34b	izwayaH niyamAH taTA Sku _24.34b
