   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   kratuḥ śuciḥ svamūrddhā ca vyājaśca vasudaśca yaḥ // BndP_2,1.89 //	kratuH SuciH sva mUrdDA ca vyAjaH ca vasudaH ca yaH // Bndu _2,1.89 //
   prabhavaścāvyayaścaiva dvādaśo 'dhipatiḥ smṛtaḥ /	praBavaH ca avyayaH ca eva dvAdaSaH aDipatiH smRtaH /
   ityete bhṛgavo devāḥ smṛtā dvādaśa yajñiyāḥ // BndP_2,1.90 //	iti ete BRgavaH devAH smRtAH dvAdaSa yajQiyAH // Bndu _2,1.90 //
   paulomyajanayatputraṃ brahmiṣṭhaṃ vaśinaṃ dvijam /	pOlomyajanayat putram brahmizWam vaSinam dvijam /
   vyāditaḥ so 'ṣṭame māsigarbhaḥ krūreṇa rakṣasā // BndP_2,1.91 //	vyAditaH saH azwame mAsigarBaH krUreNa rakzasA // Bndu _2,1.91 //
   cyavanāccyavanaḥ so 'tha cetanāttu pracetanaḥ /	cyavanAt cyavanaH saH aTa cetanAt tu pracetanaH /
   pracetāḥ ścyavanaḥ krodhāddagdhavānpuruṣādakān // BndP_2,1.92 //	pracetAH ScyavanaH kroDAt dagDavAn puruzAdakAn // Bndu _2,1.92 //
   janayāmāsa putrau dvau sukanyāyāṃ sabhārgavaḥ /	janayAmAsa putrO dvO sukanyAyAm sa BArgavaH /
   āpravānaṃ dadhīcaṃ ca tāvubhau sādhusaṃmatau // BndP_2,1.93 //	ApravAnam daDIcam ca tO= uBO sADu saMmatO // Bndu _2,1.93 //
   sārasvataḥ sarasvatyāṃ dadhīcasyodapadyata /	sArasvataH sarasvatyAm daDIcasya udapadyata /
   ṛcī patnī mahābhāgā apravānasya nāhuṣī // BndP_2,1.94 //	RcI patnI mahABAgAH apravAnasya nAhuzI // Bndu _2,1.94 //
   tasyāmaurva ṛṣirjajñe ūruṃ bhittavā mahāyaśāḥ /	tasyAm OrvaH RziH jajQe Urum BittavAH mahA yaSAH /
   aurvasyāsīdṛcīkastu dīpto 'gnisamatejasā // BndP_2,1.95 //	Orvasya AsIt RcIkaH tu dIptaH agni sama tejasA // Bndu _2,1.95 //
   jamadagnirṛcīkasya satyavatyāmajāyata /	jamadagnirRcIkasya satyavatyAm ajAyata /
   bhṛgoścaruviparyāse raudravaiṣṇavayauḥ purā // BndP_2,1.96 //	BRgoH caru viparyAse rOdra vEzNavayOH purA // Bndu _2,1.96 //
   jamanādvaiṣmavasyāgnerjamadagnirajāyata /	jamanAt vEzmavasya agneH jamadagniH ajAyata /
   reṇukājamadagneśca śakratulyaparākramam // BndP_2,1.97 //	reNukA ajamadagneH ca Sakra tulya parAkramam // Bndu _2,1.97 //
   brahmakṣatramayaṃ rāmaṃ suṣuve 'mitatejasam /	brahma kzatra mayam rAmam suzuve amita tejasam /
   orvasyāsītputraśataṃ jamadagnipurogamam // BndP_2,1.98 //	orvasyA AsIt putra Satam jamadagni purogamam // Bndu _2,1.98 //
   teṣāṃ putra sahasrāṇi bhārgavāṇāṃ parasparāt /	tezAm putra sahasrANi BArgavANAm parasparAt /
   ṛṣyatareṣu vai bāhyā bahavo bhārgavāḥ smṛtāḥ // BndP_2,1.99 //	Rzyatarezu vE bAhyAH bahavaH BArgavAH smRtAH // Bndu _2,1.99 //
   vatsā vidā ārṣṭiṣeṇā yaskā vainyāśca śaunakāḥ /	vatsAH vidAH ArzwizeNAH yaskAH vEnyAH ca SOnakAH /
   mitreyuḥ saptamā hyete pakṣā jñeyāstu bhārgavāḥ // BndP_2,1.100 //	mitreyuH saptamAH hi ete pakzAH jQeyAH tu BArgavAH // Bndu _2,1.100 //
   śṛṇutāṅgiraso vaṃśamagneḥ putrasya dhīmataḥ /	SRNuta AFgirasaH vaMSam agneH putrasya DImataH /
   yasyānvavāye saṃbhūtā bhāradvājāḥ sagautamāḥ // BndP_2,1.101 //	yasya anvavAye saMBUtAH BAradvAjAH sagOtamAH // Bndu _2,1.101 //
   devāścāṅgiraso mukhyāsttviṣimanto mahaujasaḥ /	devAH ca aFgirasaH muKyAst tu izimantaH mahA ojasaH /
   surūpā caiva mārīcī kārdamī ca tathā svarāṭ // BndP_2,1.102 //	surUpA ca eva mArIcI kArdamI ca taTA svarAj // Bndu _2,1.102 //
   pathyā ca mānavī kanyā tisro bhāryā hyatharvaṇaḥ /	paTyA ca mAnavI kanyA tisraH BAryA hi aTarvaNaH /
   atharvaṇastu dāyādāstāsu jātāḥ kulodvahāḥ // BndP_2,1.103 //	aTarvaNaH tu dAyAdAH tAsu jAtAH kula udvahAH // Bndu _2,1.103 //
   utpannā mahatā caiva tapasā bhāvitātmanaḥ /	utpannA mahatA ca eva tapasA BAvitAtmanaH /
   bṛhaspatiṃ surūpāyāṃ gautamaṃ suṣuve svarāṭ // BndP_2,1.104 //	bRhaspatim surUpAyAm gOtamam suzuve svarAj // Bndu _2,1.104 //
   ayāsyaṃ vāmadevaṃ ca utathyamuśitiṃ tathā /	ayAsyam vAmadevam ca utaTyamuSitim taTA /
   dhṛṣṇiḥ putrastu pathyāyāḥ saṃvarttaścaiva mānasaḥ // BndP_2,1.105 //	DRzNiH putraH tu paTyAyAH saMvarttaH ca eva mAnasaH // Bndu _2,1.105 //
   kitavaścāpyayāsyasya śaradvāṃścapyutathyajaḥ /	kitavaH ca api ayAsyasya SaradvAn= capyutaTya jaH /
   athośijo dīrghatamā bṛhaduktho vāmadevajaḥ // BndP_2,1.106 //	aTa uSijaH dIrGatamAH bRhadukTaH vAmadeva jaH // Bndu _2,1.106 //
   dhṛṣṇeḥ putraḥ sudhanvā tu ṛṣabhaśca sudhanvanaḥ /	DRzNeH putraH suDanvA tu RzaBaH ca suDanvanaH /
   rathakārāḥ smṛtā devā ṛbhavo ye pariśrutāḥ // BndP_2,1.107 //	raTakArAH smRtAH devAH RBavaH ye pariSrutAH // Bndu _2,1.107 //
   bṛhaspaterbharadvājo viśrutaḥ sumahāyaśāḥ /	bRhaspateH BaradvAjaH viSrutaH su mahA yaSAH /
   bṛhaspatiṃ surūpāyāṃ gautamaṃ suṣuve svarāṭ // BndP_2,1.108 //	bRhaspatim surUpAyAm gOtamam suzuve svarAj // Bndu _2,1.108 //
   aurasāṃgirasaḥ putrāḥ surūpāyāṃ vijajñire /	OrasAMgirasaH putrAH surUpAyAm vijajQire /
   ādhāryāyurddanurdakṣo damaḥ prāṇasta thaiva ca // BndP_2,1.109 //	ADArya AyuH ddanuH dakzaH damaH prANaH te Ta eva ca // Bndu _2,1.109 //
   haviṣyāṃśca haviṣṇuśca ṛtaḥ satyaśca te daśa /	havizyAn= ca havizNuH ca RtaH satyaH ca te daSa /
   ayāsyāścapyutathyāśca vāmadevāstathauśijāḥ // BndP_2,1.110 //	ayAsyAH capi utaTyAH ca vAmadevAH taTA OSijAH // Bndu _2,1.110 //
   bhāradvājāḥ sāṃkṛtayo gargāḥ kaṇvarathītarāḥ /	BAradvAjAH sAMkRtayaH gargAH kaNvaraTi itarAH /
   mudgalā viṣṇuvṛddhāśca haritāḥ kapayastathā // BndP_2,1.111 //	mudgalAH vizNuvRdDAH ca haritAH kapayaH taTA // Bndu _2,1.111 //
   tathā rūkṣabharadvājā ārṣabhāḥ kitavastathā /	taTA rUkza BaradvAjAH ArzaBAH kitavaH taTA /
   ete cāṅgirasāṃ pakṣā vijñeyā daśa pañca ca // BndP_2,1.112 //	ete ca aFgirasAm pakzAH vijQeyAH daSa paQca ca // Bndu _2,1.112 //
   ṛṣyantareṣu vai bāhyā bahavoṅgirasaḥ smṛtāḥ /	Rzi antarezu vE bAhyAH bahava uFgirasaH smRtAH /
   marīcerapi vakṣyāmi bheda muttamapūruṣam // BndP_2,1.113 //	marIceH api vakzyAmi Beda muttama pUruzam // Bndu _2,1.113 //
   yasyānvavāye saṃbhūtaṃ jagatsthāvarajaṅgamam /	yasya anvavAye saMBUtam jagat sTAvara jaFgamam /
   marīcirāpaścakame nābhidhyāyanprajepsayā // BndP_2,1.114 //	marIciH ApaH cakame na aBiDyAyan prajA IpsayA // Bndu _2,1.114 //
   putraḥ sarvaguṇopetaḥ prajāvānprabhavediti /	putraH sarva guNa upetaH prajAvAn praBavet iti /
   saṃyujyātmānamevantu tapasā bhāvitaḥ prabhuḥ // BndP_2,1.115 //	saMyujya AtmAnam evantu tapasA BAvitaH praBuH // Bndu _2,1.115 //
   āhatāśca tataḥ sarvā āpaḥ samabhavaṃstadā /	AhatAH ca tatas sarvAH ApaH samaBavan= tadA /
   tāsu praṇihitātmānamekaṃ so 'janayatprabhuḥ // BndP_2,1.116 //	tAsu praNihita AtmAnam ekam saH ajanayat praBuH // Bndu _2,1.116 //
   putramapratimaṃ nāmnāriṣṭanemiṃ prajāpatim /	putram apratimam nAmnA arizwanemim prajApatim /
   putraṃ marīcistapasi nirataḥ so 'psvatītapat // BndP_2,1.117 //	putram marIciH tapasi nirataH saH apsu atItapat // Bndu _2,1.117 //
   pradhyāya hi satīṃ vācaṃ putrārthī sarire sthitaḥ /	praDyAya hi satIm vAcam putra arTI sarire sTitaH /
   saptavarṣasahasrāṇi tataḥ so 'pratimo 'bhavat // BndP_2,1.118 //	sapta varza sahasrANi tatas saH apratimaH aBavat // Bndu _2,1.118 //
   kaśyapaḥ saviturvidvāṃstejasā brahmaṇā samaḥ /	kaSyapaH savituH vidvAn= tejasA brahmaNA samaH /
   manvantareṣu sarveṣu brahmaṇoṃ'śena jāyate // BndP_2,1.119 //	manvantarezu sarvezu brahmaNoM aSena jAyate // Bndu _2,1.119 //
   kanyānimittamatyukto dakṣeṇa kupitaḥ prabhuḥ /	kanyA nimittam ati uktaH dakzeNa kupitaH praBuH /
   apibatsa tadā kaśyaṃ kaśyaṃ madyamihocyate // BndP_2,1.120 //	apibat sa tadA kaSyam kaSyam madyam iha ucyate // Bndu _2,1.120 //
   hāsye kaśirhi vijñeyo vāṅmanaḥ kaśyamucyate /	hAsye kaSiH hi vijQeyaH vAc manaH kaSyam ucyate /
   kaśyaṃ madyaṃ smṛtaṃ vipraiḥ kaśyapānāṃ tu kaśyapaḥ // BndP_2,1.121 //	kaSyam madyam smRtam viprEH kaSyapAnAm tu kaSyapaH // Bndu _2,1.121 //
   kaśeti nāma yadvāco vācā krūramudātdṛtam /	kaSA iti nAma yat vAcaH vAcA krUram udAtdRtam /
   dakṣābhiśaptaḥ kupitaḥ kaśyapastena so 'bhavat // BndP_2,1.122 //	dakza aBiSaptaH kupitaH kaSyapaH tena saH aBavat // Bndu _2,1.122 //
   tasmācca kaśyapāyokto brahmaṇā parameṣṭhinā /	tasmAt ca kaSyapAya uktaH brahmaNA paramezWinA /
   tasmai prācetaso dakṣaḥ kanyāstāḥ pratyapādayat // BndP_2,1.123 //	tasmE prAcetasaH dakzaH kanyAH tAH pratyapAdayat // Bndu _2,1.123 //
   sarvāśca brahmavādinyaḥ sarvā vai lokamātaraḥ /	sarvAH ca brahma vAdinyaH sarvAH vE loka mAtaraH /
   ityetamṛṣisargaṃ tu puṇyaṃ yo veda vāruṇam // BndP_2,1.124 //	iti etam Rzi sargam tu puNyam yaH veda vAruNam // Bndu _2,1.124 //
   āyuṣmānpuṇyavāñchuddhaḥ sukhamāpnoti śāśvatam /	AyuzmAn puNyavAn SudDaH suKam Apnoti SASvatam /
   dhāraṇācchravaṇādvāpi sarvapāpaiḥ pramucyate // BndP_2,1.125 //	DAraNAt SravaNAt vA api sarva pApEH pramucyate // Bndu _2,1.125 //
   iti śrībrahmāṇḍe mahāpurāṇe vāyuprokte madhyabhāge tṛtīya upoddhātapāde	iti SrI brahmANxe mahApurANe vAyu prokte maDya BAge tRtIyaH upodDa AtapAde
   ṛṣisargavarṇanaṃ nāma prathamo 'dhyāyaḥ	RzisargavarNanam nAma praTamaH aDyAyaH
   sūta uvāca	sUtaH uvAca
   vinivṛtte prajāsarge ṣaṣṭhe vai cākṣuṣasya ha /	vinivRtte prajA sarge zazWe vE cAkzuzasya ha /
   prajāḥ sṛjeti vyadiṣṭaḥ svayaṃ dakṣaḥ svayaṃbhuvā // BndP_2,2.1 //	prajAH sRja iti vyadizwaH svayam dakzaH svayaMBuvA // Bndu _2,2.1 //
   sasarja sarvabhūtāni gatimanti dhruvāṇi ca /	sasarja sarva BUtAni gatimanti DruvANi ca /
   mānasāni ca bhūtāni sa pūrvamasṛjatprabhuḥ // BndP_2,2.2 //	mAnasAni ca BUtAni sa pUrvam asRjat praBuH // Bndu _2,2.2 //
   ṛṣīndevāṃśca gandharvānmanuṣyoragarākṣasān /	Rzi in devAn= ca ganDarvAn manuzya uraga rAkzasAn /
   yakṣabhūtapiśācāṃśca vayaḥ paśumṛgāṃstathā // BndP_2,2.3 //	yakza BUta piSAcAn= ca vayaH paSu mRgAn= taTA // Bndu _2,2.3 //
   yadāsya manasā sṛṣṭā na vyavarddhanta tāḥ prajāḥ /	yadA asya manasA sRzwAH na vyavardDanta tAH prajAH /
   apadhyātā bhagavatā mahādevena dhīmatā // BndP_2,2.4 //	apaDyAtAH BagavatA mahAdevena DImatA // Bndu _2,2.4 //
   sa maithunena bhāvena sisṛkṣurvividhāḥ prajāḥ /	sa mETunena BAvena sisRkzuH viviDAH prajAH /
   asikrīmāvahadbhāryāṃ vīraṇasya prajāpateḥ // BndP_2,2.5 //	asi krIma avahat BAryAm vIraNasya prajApateH // Bndu _2,2.5 //
   sutāṃ sumahatā yuktāṃ tapasā loka dhāriṇīm /	sutAm su mahatA yuktAm tapasA loka DAriNIm /
   yayā dhṛtamidaṃ sarvaṃ jagatsthāvarajaṅgamam // BndP_2,2.6 //	yayA DRtam idam sarvam jagat sTAvara jaFgamam // Bndu _2,2.6 //
   atrāpyudāharantīmau ślokau prācetasāṃ prati /	atra api udAharanti imO SlokO prAcetasAm prati /
   dakṣasyodvahato bhāryāṃmasikrīṃ vairaṇīṃ purā // BndP_2,2.7 //	dakzasya udvahataH BAryAMmasikrIm vEraNIm purA // Bndu _2,2.7 //
   kṛpānāṃ niyutaṃ dakṣaṃ sarpiṇāṃ sābhimāninām /	kRpAnAm niyutam dakzam sarpiNAm sa aBimAninAm /
   nadīgiriṣbasajjantaṃ pṛṣṭhato 'nuyayau prabhum // BndP_2,2.8 //	nadI girizbasajjantam pRzWatas anuyayO praBum // Bndu _2,2.8 //
   taṃ dṛṣṭvā ṛṣibhiḥ proktaṃ pratiṣṭhāsyati vai prajāḥ /	tam dRzwvA RziBiH proktam pratizWAsyati vE prajAH /
   prathamo 'tra dvitīyastu dakṣaḥ sa hi prajāpatiḥ // BndP_2,2.9 //	praTamaH atra dvitIyaH tu dakzaH sa hi prajApatiH // Bndu _2,2.9 //
   athāgacchadyathākālaṃ prahīnāṃ niyutaṃ tu yat /	aTa agacCat yaTAkAlam prahInAm niyutam tu yat /
   asikrīṃ vairaṇīṃ tatra dakṣaḥ prācetaso 'vahat // BndP_2,2.10 //	asikrIm vEraNIm tatra dakzaH prAcetasaH avahat // Bndu _2,2.10 //
   atha putrasahasraṃ sa vairaṇyāmamitaujasam /	aTa putra sahasram sa vEraNyAm amita ojasam /
   asiknyāṃ janayāmāsa dakṣaḥ prāce tasaḥ prabhuḥ // BndP_2,2.11 //	asiknyAm janayAmAsa dakzaH prAce tasaH praBuH // Bndu _2,2.11 //
   tāṃstu dṛṣṭvā mahātejāḥ sa vivarddhayiṣuḥ prajāḥ /	tAn= tu dRzwvA mahA tejAH sa vivardDayizuH prajAH /
   devarṣipriyasaṃvādo nārado brahmaṇaḥ sutaḥ // BndP_2,2.12 //	deva Rzi priya saMvAdaH nAradaH brahmaNaH sutaH // Bndu _2,2.12 //
   nāśāya vacanaṃ teṣāṃ śāpayaivātmano 'bravīt /	nASAya vacanam tezAm SApayA eva AtmanaH abravIt /
   yaḥ kaśyapasutasyātha parameṣṭhī vyajāyata // BndP_2,2.13 //	yaH kaSyapa sutasya aTa paramezWI vyajAyata // Bndu _2,2.13 //
   mānasaḥ kaśyapasyāsīddakṣaśāpavaśātpunaḥ /	mAnasaH kaSyapasya AsIt dakza SApa vaSAt punar /
   tasmātsa kāśyapasyātha dvitīyo mānaso 'bhavat // BndP_2,2.14 //	tasmAt sa kASyapasya aTa dvitIyaH mAnasaH aBavat // Bndu _2,2.14 //
   sa hi pūrvaṃ samutpanno nāradaḥ parameṣṭhinaḥ /	sa hi pUrvam samutpannaH nAradaH paramezWinaH /
   tena vṛkṣasya putrā vai haryaśvā iti viśrutāḥ // BndP_2,2.15 //	tena vRkzasya putrAH vE haryaSvAH iti viSrutAH // Bndu _2,2.15 //
   dharmārthaṃ nāśitāḥ sarve vidhinā ca na saṃśayaḥ /	Darma arTam nASitAH sarve viDinA ca na saMSayaH /
   tasyodyatastadā dakṣaḥ kruddhaḥ śāpāya vai prabhuḥ // BndP_2,2.16 //	tasya udyataH tadA dakzaH krudDaH SApAya vE praBuH // Bndu _2,2.16 //
   brahmarṣīnvai puraskṛtya yācitaḥ parameṣṭhinā /	brahmarzIn vE puraskRtya yAcitaH paramezWinA /
   tato 'bhisaṃdhiṃ cakre vai dakṣaśca parameṣṭhinā // BndP_2,2.17 //	tatas aBisaMDim cakre vE dakzaH ca paramezWinA // Bndu _2,2.17 //
   kanyāyāṃ nārado mahyaṃ tava putro bhavediti /	kanyAyAm nAradaH mahyam tava putraH Bavet iti /
   tato dakṣaḥ sutāṃ pradāt priyāṃ vai parameṣṭhine /	tatas dakzaH sutAm pradAt priyAm vE paramezWine /
   tasmātsa nārado jajñe bhūyaḥ śāpabhayadṛṣiḥ // BndP_2,2.18 //	tasmAt sa nAradaH jajQe BUyas SApa BayadRziH // Bndu _2,2.18 //
   śāṃśapāyana uvāca	SAMSapAyanaH uvAca
   kathaṃ vai nāśitāḥ pūrvaṃ nāradena surarṣiṇā /	kaTam vE nASitAH pUrvam nAradena sura RziNA /
   prajāpatisutāste vai śrotumicchāmi tattvataḥ // BndP_2,2.19 //	prajApati sutAH te vE Srotum icCAmi tattvataH // Bndu _2,2.19 //
   sūta uvāca	sUtaH uvAca
   dakṣaputrāśca haryaśvā vivardhayiṣavaḥ prajāḥ /	dakza putrAH ca haryaSvAH vivarDayizavaH prajAH /
   samāgatā mahāvīryā nāradastānuvāca ha // BndP_2,2.20 //	samAgatAH mahA vIryAH nAradaH tAn uvAca ha // Bndu _2,2.20 //
   bāliśā bata yūyaṃ vai na prajānītha bhūtalam /	bAliSA bata yUyam vE na prajAnITa BU talam /
   antarūrdhvamadhaścaiva kathaṃ srakṣyatha vai prajāḥ // BndP_2,2.21 //	antar UrDvam aDas ca eva kaTam srakzyaTa vE prajAH // Bndu _2,2.21 //
   te tu tadvacana śrutvā pyātāḥ sarvato diśam /	te tu tad vacana SrutvA pyAtAH sarvatas diSam /
   adhāpi ma nivarttante samudrasthā ivāpagāḥ // BndP_2,2.22 //	aDApi ma nivarttante samudra sTAH iva ApagAH // Bndu _2,2.22 //
   atha teṣu praṇaṣṭeṣu dakṣaḥ prāce tasaḥ punaḥ /	aTa tezu praNazwezu dakzaH prAce tasaH punar /
   vairaṇyāmeva putrāṇāṃ sahasramasṛjatprabhuḥ // BndP_2,2.23 //	vEraNyAm eva putrANAm sahasram asRjat praBuH // Bndu _2,2.23 //
   prajā vivarddhayiṣavaḥ śabalāśvāḥ punastu te /	prajAH vivardDayizavaH SabalASvAH punar tu te /
   pūrvamuktaṃ vacastadvai śrāvitā nāradena ha // BndP_2,2.24 //	pUrvam uktam vacaH tat vE SrAvitAH nAradena ha // Bndu _2,2.24 //
   anyonyamūcuste sarve samyagāha ṛṣiḥ svayam /	anyonyam UcuH te sarve samyak Aha RziH svayam /
   bhrātṝṇāṃ padavīṃ caiva gantavyā nātra saṃśayaḥ // BndP_2,2.25 //	BrAtLNAm padavIm ca eva gantavyAH na atra saMSayaH // Bndu _2,2.25 //
   jñātvā pramāṇaṃ pṛthvyā vai sukhaṃ srakṣyāmahe prajāḥ /	jQAtvA pramANam pRTvyAH vE suKam srakzyAmahe prajAH /
   prakāśāḥ svasthamanasā yathāvadanuśāsitāḥ // BndP_2,2.26 //	prakASAH svasTa manasA yaTAvat anuSAsitAH // Bndu _2,2.26 //
   te 'pi tenaiva mārgeṇa prayātāḥ sarvato diśam /	te api tena eva mArgeNa prayAtAH sarvatas diSam /
   adyāpi na nivarttante vistārāyamalipsavaḥ // BndP_2,2.27 //	adya api na nivarttante vistAra ayam alipsavaH // Bndu _2,2.27 //
   tataḥ prabhṛti vai bhrātā bhrāturanveṣaṇe rataḥ /	tatas praBRti vE BrAtA BrAtuH anvezaNe rataH /
   prayato naśyati kṣipraṃ tanna kāryaṃ vijānatā // BndP_2,2.28 //	prayataH naSyati kzipram tat na kAryam vijAnatA // Bndu _2,2.28 //
   naṣṭeṣu śabalāśveṣu dakṣaḥ kruddho 'śapadvibhuḥ /	nazwezu Sabala aSvezu dakzaH krudDaH aSapat viBuH /
   nāradaṃ nāśamehīti garbhavāsaṃ vaseti ca // BndP_2,2.29 //	nAradam nASam ehi iti garBa vAsam vasa iti ca // Bndu _2,2.29 //
   tadā teṣvapi naṣṭeṣu mahātmā sa prabhuḥ kila /	tadA tezu api nazwezu mahAtmA sa praBuH kila /
   ṣaṣṭiṃ dakṣo 'sṛjatkanyā vairaṇyāmeva viśrutāḥ // BndP_2,2.30 //	zazwim dakzaH asRjat kanyAH vEraNyAm eva viSrutAH // Bndu _2,2.30 //
   tāstadā pratijagrāha patnyarthaṃ kaśyapaḥ sutāḥ /	tAH tadA pratijagrAha patnI arTam kaSyapaH sutAH /
   dharmaḥ somaśca bhagavāṃstathā cānye maharṣayaḥ // BndP_2,2.31 //	DarmaH somaH ca BagavAn= taTA ca anye mahA RzayaH // Bndu _2,2.31 //
   imāṃ visṛṣṭiṃ dakṣasya kṛtsnāṃ yo veda tattvataḥ /	imAm visRzwim dakzasya kRtsnAm yaH veda tattvataH /
   āyuṣmānkīrttimāndhanyaḥ prajāvāśca bhavatyuta // BndP_2,2.32 //	AyuzmAn kIrttimAn DanyaH prajAvAH ca Bavati uta // Bndu _2,2.32 //
   iti śrībrahmāṇḍe mahāpurāṇe vāyuprokte madhyabhāge tṛtīya upoddhātapāde	iti SrI brahmANxe mahApurANe vAyu prokte maDya BAge tRtIyaH upodDa AtapAde
   prajāpativaṃśānukīrttanaṃ nāma dvitīyo 'dhyāyaḥ	prajApativaMSAnukIrttanam nAma dvitIyaH aDyAyaH
   ṛṣaya ūcu /	RzayaH Ucu /
   devānāṃ dānavānāṃ ca daityānāṃ caiva sarvaśaḥ /	devAnAm dAnavAnAm ca dEtyAnAm ca eva sarvaSas /
   utpattiṃ vistareṇaiva grūhi vaivasvateṃ'tare // BndP_2,3.1 //	utpattim vistareNa eva grUhi vEvasvateM atare // Bndu _2,3.1 //
   sūta uvāca	sUtaH uvAca
   dharmmasyaiva pravakṣyāmi nisargantaṃ nibodhata /	Darmmasya eva pravakzyAmi nisargantam niboData /
   arundhatīvasurjāmālaṃbā bhānurmarutvatī // BndP_2,3.2 //	arunDatIva surjAmAlaMbA BAnuH marutvatI // Bndu _2,3.2 //
   saṃkalpā ca muhūrttā ca sādhyā viśvā tathaiva ca /	saMkalpA ca muhUrttA ca sADyA viSvA taTA eva ca /
   dharmasya patnyo daśa tā dakṣaḥ prācetaso dadau // BndP_2,3.3 //	Darmasya patnyaH daSa tAH dakzaH prAcetasaH dadO // Bndu _2,3.3 //
   sādhyāputrāstu dharmasya sādhyā dvādaśajajñire /	sADya aputrAH tu Darmasya sADyAH dvAdaSa jajQire /
   devebhyastānparāndevāndaivajñāḥ paricakṣate // BndP_2,3.4 //	deveByaH tAn parAn devAn dEva jQAH paricakzate // Bndu _2,3.4 //
   brāhmaṇā vai mukhātsṛṣṭā jayā devāḥ prajepsayā /	brAhmaNAH vE muKAt sRzwAH jayAH devAH prajA IpsayA /
   sarve mantraśarīraste samṛtā manvantareṣviha // BndP_2,3.5 //	sarve mantra SarIraH te sa mRtAH manvantarezu iha // Bndu _2,3.5 //
   darśaśca paurṇamāsaśca bṛhadyacca rathantaram /	darSaH ca pOrNamAsaH ca bRhadyat ca raTantaram /
   vittiścaiva vivittiśca ākūtiḥ kūtireva ca // BndP_2,3.6 //	vittiH ca eva vivittiH ca AkUtiH kUtiH eva ca // Bndu _2,3.6 //
   vijñātā caiva vijñāto mano yajñastathaiva ca /	vijQAtA ca eva vijQAtaH manaH yajQaH taTA eva ca /
   nāmānyetāni teṣāṃ vai yajñānāṃ prathitāni ca // BndP_2,3.7 //	nAmAni etAni tezAm vE yajQAnAm praTitAni ca // Bndu _2,3.7 //
   brahmaśāpena tejātāḥ punaḥ svāyaṃbhuve jitāḥ /	brahma SApena tejAtAH punar svAyaMBuve jitAH /
   svārociṣe vai tuṣitāḥ satyaścaivottame punaḥ // BndP_2,3.8 //	svArocize vE tuzitAH satyaH ca eva uttame punar // Bndu _2,3.8 //
   tāmase harayo nāma vaikuṇṭhā revatāntare /	tAmase harayaH nAma vEkuNWAH revatA antare /
   te sādhyāścākṣuṣe nāmnā chandajā jajñire surāḥ // BndP_2,3.9 //	te sADyAH cAkzuze nAmnA Canda jAH jajQire surAH // Bndu _2,3.9 //
   dharmaputrā mahābhāgāḥ sādhyā ye dvādaśāmarāḥ /	DarmaputrAH mahABAgAH sADyAH ye dvAdaSa amarAH /
   pūrvaṃ samanusūyante cākṣuṣasyāntare manoḥ // BndP_2,3.10 //	pUrvam samanusUyante cAkzuzasya antare manoH // Bndu _2,3.10 //
   svārociṣeṃ'tare 'tītā devā ye vai mahaujasaḥ /	svArocizeM atare atItAH devAH ye vE mahA ojasaH /
   tuṣitā nāma te 'nyonyamūcurvai cākṣuṣeṃ'tare // BndP_2,3.11 //	tuzitAH nAma te anyonyam UcuH vE cAkzuzeM atare // Bndu _2,3.11 //
   kiñcicchiṣṭe tadā tasmindevā vai tuṣitābruvan /	kiQcid Cizwe tadA tasmin devAH vE tuzitA abruvan /
   etāmeva mahābhāgāṃ vayaṃ sādhyāṃ praviśya vai // BndP_2,3.12 //	etAm eva mahABAgAm vayam sADyAm praviSya vE // Bndu _2,3.12 //
   manvantare bhaviṣyāmastannaḥ śreyo bhaviṣyati /	manvantare BavizyAmaH tat naH SreyaH Bavizyati /
   evamuktvā tu te sarve cākṣuṣasyāntare manoḥ // BndP_2,3.13 //	evam uktvA tu te sarve cAkzuzasya antare manoH // Bndu _2,3.13 //
   tasyāṃ dvādaśa saṃbhūtā dharmātsvāyaṃbhuvātpunaḥ /	tasyAm dvAdaSa saMBUtAH DarmAt svAyaMBuvAt punar /
   naranārāyaṇo tatra jajñāte punareva hi // BndP_2,3.14 //	nara nArAyaNaH tatra jajQAte punar eva hi // Bndu _2,3.14 //
   vipaścidindro yaścābhūttathā satyo hariśca tau /	vipaScit indraH yaH ca aBUt taTA satyaH hariH ca tO /
   svārociṣeṃ'tare pūrvamāstāṃ tau tuṣitāsutau // BndP_2,3.15 //	svArocizeM atare pUrvam AstAm tO tuzita asutO // Bndu _2,3.15 //
   tuṣitānāṃ tu sādhyātve nāmānyetāni cakṣate /	tuzitAnAm tu sADyAtve nAmAni etAni cakzate /
   mano 'numantā prāṇaśca naro 'pānaśca vīryavān // BndP_2,3.16 //	manaH anumantA prANaH ca naraH apAnaH ca vIryavAn // Bndu _2,3.16 //
   vitirnayo hayaścaiva haṃso nārāyaṇastathā /	vitirnayaH hayaH ca eva haMsaH nArAyaNaH taTA /
   vibhuścāpi prabhuścāpi sādhyā dvādaśa jajñire // BndP_2,3.17 //	viBuH ca api praBuH ca api sADyAH dvAdaSa jajQire // Bndu _2,3.17 //
