   akriyāpi kriyā tathā SRtp_192b	akriyA-api kriyA taTA SRtp_192b
   sarvārthavyāpakastayoḥ SRtp_291b	sarva-arTa-vyApakaH-tayoH SRtp_291b
   sarvāvaraṇanirmuktā SRtp_255c	sarva-AvaraNa-nirmuktA SRtp_255c
   sarvāśuddhādhvakāraṇam SRtp_157b	sarva-aSudDa-aDva-kAraNam SRtp_157b
   sarvāstikabahiṣkṛtaḥ SRtp_139b	sarvAstika-bahizkRtaH SRtp_139b
   sarveṣāmaviveko 'yam SRtp_247a	sarvezAm-avivekaH ayam SRtp_247a
   sa varjanīyo vidvadbhiḥ SRtp_139a	sa varjanIyaH vidvadBiH SRtp_139a
   savārthadyotako yena SRtp_109a	sava-arTa-dyotakaH yena SRtp_109a
   savikalpakabuddhiṣu SRtp_58d	sa-vikalpaka-budDizu SRtp_58d
   savikalpakabodhavān SRtp_61d	sa-vikalpaka-boDavAn SRtp_61d
   savikalpakamanyathā SRtp_66b	sa-vikalpakam-anyaTA SRtp_66b
   savikalpakavijñānaṃ SRtp_46a	sa-vikalpaka-vi-jQAnam SRtp_46a
   savikalpamasandigdhaṃ SRtp_227c	sa-vikalpam-asat-digDam SRtp_227c
   savikalpaṃ vijānāmīty SRtp_67c	sa-vikalpam vijAnAmi-iti SRtp_67c
   savikalpā hi dṛśyate SRtp_70b	sa-vikalpA hi dRSyate SRtp_70b
   sasukheti saduḥkheti SRtp_245c	sa-suKa-iti sa-duHKa-iti SRtp_245c
   sahasrakiraṇadyutiḥ SRtp_111d	sahasrakiraNa-dyutiH SRtp_111d
   sahasreṇāpi tarkayan SRtp_234b	sahasreNa-api tarkayan SRtp_234b
   sa hi tādātmyasambandho SRtp_137a	sa hi tAdAtmya-sambanDaH SRtp_137a
   sa hi devaḥ samāvṛtya SRtp_119c	sa hi devaH samAvRtya SRtp_119c
   saṃkalpasya praśāntatvāc SRtp_113a	saMkalpasya praSAnta-tvAt SRtp_113a
   saṃkalpo 'rthaprasiddhaye SRtp_103b	saMkalpaH arTa-prasidDaye SRtp_103b
   saṃkalpo vinivartate SRtp_96d	saMkalpaH vinivartate SRtp_96d
   saṃkalpo 'śeṣagocaraḥ SRtp_108d	saMkalpaH aSeza-gocaraH SRtp_108d
   saṃkṣepeṇa prakāśitaḥ SRtp_322f	saMkzepeNa prakASitaH SRtp_322f
   saṃkhyayā saptakoṭayaḥ SRtp_25b	saMKyayA sapta-kowayaH SRtp_25b
   saṃjñā syādapi cidghane SRtp_298d	saMjQA syAt-api cidGane SRtp_298d
   saṃvidāśrayate śaśvac- SRtp_263c	saMvid-ASrayate SaSvac SRtp_263c
   saṃvidevāsti kevalam SRtp_206d	saMvid-eva-asti kevalam SRtp_206d
   saṃskārāḥ smṛtiliṅgā hi SRtp_60a	saMskArAH smRti-liFgAH hi SRtp_60a
   saṃskāro 'dhyakṣabhāvataḥ SRtp_59d	saMskAraH aDyakza-BAvataH SRtp_59d
   sākārakāraṇāmātma- SRtp_90c	sa-AkAra-kAraNAm-Atma SRtp_90c
   sā tasya vikṛtistena SRtp_126a	sA tasya vikRtiH-tena SRtp_126a
   sā tasya vikṛtiḥ proktā SRtp_125a	sA tasya vikRtiH proktA SRtp_125a
   sā tu śuklārdhacandrābhā SRtp_102a	sA tu Sukla-arDacandra-ABA SRtp_102a
   sā tu saṃvidaśeṣārtha- SRtp_290a	sA tu saMvid-aSeza-arTa SRtp_290a
   sā tu saṃvedavijñātā SRtp_233a	sA tu saMveda-vijQAtA SRtp_233a
   sā tu sphuradanekārcis SRtp_107c	sA tu sPurat-anekArciH SRtp_107c
   sādākhyā tanurucyate SRtp_273d	sAdAKyA tanuH-ucyate SRtp_273d
   sādharmyaṃ tadabhāvataḥ SRtp_217d	sADarmyam tad-aBAvataH SRtp_217d
   sādhārāṅkādhidevatām SRtp_90b	sa-ADAra-aFka-aDidevatAm SRtp_90b
   sādhyasiddhirbhavedataḥ SRtp_231b	sADya-sidDiH-Bavet-atas SRtp_231b
   sādhyeta taireva dṛḍhaṃ SRtp_214c	sADyeta tEH-eva dRXam SRtp_214c
   sāpekṣeṇaiva tena yat SRtp_55b	sa-apekzeNa-eva tena yat SRtp_55b
   sā bhāti binduśāntyādi- SRtp_270c	sA BAti binduSAnti-Adi SRtp_270c
   sā bhogasādhanopāya- SRtp_169c	sA Boga-sADana-upAya SRtp_169c
   sāmānye siddhasādhanāt SRtp_229d	sAmAnye sidDa-sADanAt SRtp_229d
   sā vidhātrī padārthānāṃ SRtp_209a	sA viDAtrI padArTAnAm SRtp_209a
   siddhānta eva siddhāntaḥ SRtp_11a	sidDAnte eva sidDAntaH SRtp_11a
   siddhāntaḥ sevitaḥ sadbhir SRtp_20a	sidDAntaH sevitaH sadBiH SRtp_20a
   siddhāntaḥ sevyate sadbhiḥ SRtp_12a	sidDAntaH sevyate sadBiH SRtp_12a
   siddhāntāgamadāyibhiḥ SRtp_213d	sidDAnta-Agama-dAyiBiH SRtp_213d
   siddhāntena vinā svayam SRtp_18d	sidDAntena vinA svayam SRtp_18d
   siddhyasiddhī ca sambhūya SRtp_216c	sidDi-asidDI ca samBUya SRtp_216c
   siddhyet siddhāvapi dhruvam SRtp_219d	sidDyet sidDO=-api Druvam SRtp_219d
   siddhyai vyāptyupabṛṃhitāḥ SRtp_215d	sidDyE vyApti-upabRMhitAH SRtp_215d
   subhagāḥ svadhikārakāḥ SRtp_277d	suBagAH su-aDikArakAH SRtp_277d
   suvarṇamiva karmāraṃ SRtp_44c	suvarNam-iva karmAram SRtp_44c
   sūkṣmā kalāditattvānām SRtp_156c	sUkzmA kalA-Adi-tattvAnAm SRtp_156c
   sūkṣmā vāganapāyinī SRtp_77b	sUkzmA vAc-anapAyinI SRtp_77b
   sṛjatyavati hanti ca SRtp_264b	sRjati-avati hanti ca SRtp_264b
   seyaṃ kriyātmikā śaktir SRtp_167c	sA-iyam kriyA-AtmikA SaktiH SRtp_167c
   seyaṃ kriyātmikā śaktiḥ SRtp_278a	sA-iyam kriyA-AtmikA SaktiH SRtp_278a
   seyaṃ bhrāntiranālambā SRtp_205a	sA-iyam BrAntiH-anAlambA SRtp_205a
   saiva mūrtiḥ kriyābhedāt SRtp_273c	sA-eva mUrtiH kriyA-BedAt SRtp_273c
   saivonmiṣantī samprāpta- SRtp_267a	sA-eva-unmizantI samprApta SRtp_267a
   saiṣā caturvidhā vṛttir SRtp_85c	sA-ezA caturviDA vRttiH SRtp_85c
   saiṣā vikalpavijñāna- SRtp_45a	sA-ezA vikalpa-vijQAna SRtp_45a
   saiṣā śivāśrayā śaktir SRtp_190a	sA-ezA Siva-ASrayA SaktiH SRtp_190a
   so 'yamātmani tattvaugham SRtp_134c	saH ayam-Atmani tattva-oGam SRtp_134c
   sthāneṣu vidhṛte vāyau SRtp_73c	sTAnezu viDRte vAyO SRtp_73c
   sthūlā sūkṣmā paretyasau SRtp_155b	sTUlA sUkzmA para-iti-asO SRtp_155b
   sphītāni nava jātāni SRtp_26a	sPItAni nava jAtAni SRtp_26a
   smāritārthaviśeṣataḥ SRtp_220d	smArita-arTa-viSezataH SRtp_220d
   smṛtisaṅkalpavanmatam SRtp_210d	smRti-saFkalpavat-matam SRtp_210d
   syādavasthāviśeṣataḥ SRtp_307b	syAt-avasTA-viSezataH SRtp_307b
   syādeṣa kalpitāneka- SRtp_143c	syAt-eza kalpitAn-eka SRtp_143c
   srotasāṃ jyāyasi prabhoḥ SRtp_16b	srotasAm jyAyasi praBoH SRtp_16b
   svaniṣṭhaghanacinmayaḥ SRtp_289d	sva-nizWa-Gana-cit-mayaH SRtp_289d
   svaparāmarśavīryeṇa SRtp_169a	sva-parAmarSa-vIryeNa SRtp_169a
   svabhāvalalitāḥ priyāḥ SRtp_131d	svaBAva-lalitAH priyAH SRtp_131d
   svayamprakāśā paśyantī SRtp_76c	svayam-prakASA paSyantI SRtp_76c
   svarūpajyotirevāntaḥ SRtp_77a	svarUpa-jyotiH-eva-antar SRtp_77a
   svarūpā mūrdhapaṅkaje SRtp_117b	svarUpA mUrDa-paFkaje SRtp_117b
   svavṛttibhedasambhedair SRtp_59a	sva-vRtti-Beda-samBedEH SRtp_59a
   svaśaktyānanyabhūtayā SRtp_119d	sva-SaktyA-ananya-BUtayA SRtp_119d
   svasaṃvedyā cidavyayā SRtp_261d	sva-saMvedyA cit-avyayA SRtp_261d
   svātmani pravilīyante SRtp_284c	sva-Atmani pravilIyante SRtp_284c
   svātmano 'tyantabhinnayā SRtp_305d	sva-AtmanaH atyanta-BinnayA SRtp_305d
   svātmānaṃ darśayatyaṇoḥ SRtp_245d	sva-AtmAnam darSayati-aNoH SRtp_245d
   svābhāvikī ca tanmūlā SRtp_305a	svABAvikI ca tad-mUlA SRtp_305a
   svena syādabhidhitsitā SRtp_221d	svena syAt-aBiDitsitA SRtp_221d
   svotthairnibaddhyate tasmāc SRtp_212a	sva-utTEH-nibadDyate tasmAt SRtp_212a
   hādiṭāntā vilomataḥ SRtp_99d	ha-AdiwA-antAH vilomataH SRtp_99d
   hṛtkaṇṭhaśravaṇe sadā SRtp_2d	hRd-kaNWa-SravaNe sadA SRtp_2d
   hetubhiḥ sādhyate kintu SRtp_13c	hetuBiH sADyate kintu SRtp_13c
   heturdevo maheśvaraḥ SRtp_306d	hetuH-devaH maheSvaraH SRtp_306d
   hetuḥ parikaraḥ paśoḥ SRtp_171d	hetuH parikaraH paSoH SRtp_171d
   hetūnapi kutarkāndha- SRtp_19a	hetUn-api kutarka-anDa SRtp_19a
   hetūnapi parīkṣāyai SRtp_17a	hetUn-api parIkzAyE SRtp_17a
   hemnastu makuṭo yathā SRtp_125b	hemnaH-tu makuwaH yaTA SRtp_125b
