   atha dvitīyo 'dhyāyaḥ /	aTa dvitIyaH aDyAyaH /
   api ca śrutyāpi brahmaṇi tarka ādṛta ityāha śrutiriti /	api ca SrutyA api brahmaNi tarkaH AdRtaH iti Aha  SrutiH iti /
   so 'yaṃ brahmaṇo jagadupādānatvākṣepaḥ punastarkeṇa prastūyate 'prakṛtyā	saH ayam brahmaNaH jagat upAdAna tva AkzepaH punar tarkeNa prastUyate  aprakRtyA
   saha sārūpyaṃ vikārāṇāmavasthitam /	saha sArUpyam vikArANAm avasTitam /
   jagadbrahmasarūpaṃ ca neti no tasya vikriyā //	jagat brahma sarUpam ca na iti no tasya vikriyA //
   viśuddhaṃ cetanaṃ brahma jagajjaḍamaśuddhibhāk /	viSudDam cetanam brahma jagat jaxam aSudDi BAj /
   tena pradhānasārūpyātpradhānasyaiva vikriyā //	tena praDAna sArUpyAt praDAnasya eva vikriyA //
   'tathāhi eka eva strīkāyaḥ sukhaduḥkhamohātmakatayā patyuśca sapatnīnāṃ ca	ataTA ahi ekaH eva strI kAyaH suKa duHKa moha Atmaka tayA patyuH ca sapatnInAm ca
   caitrasya ca straiṇasya tāmavindato 'paryāyaṃ sukhaduḥkhaviṣādānādhatte /	cEtrasya ca strENasya tAm avindataH aparyAyam suKa duHKa vizAdAn ADatte /
   striyā ca sarve bhāvā vyākhyātāḥ /	striyA ca sarve BAvAH vyAKyAtAH /
   tasmātsukhaduḥkhamohātmatayā ca svarganarakādyuccāvacaprapañcatayā ca	tasmAt suKa duHKa moha Atma tayA ca svarga naraka Adi uccAvaca prapaQca tayA ca
   jagadaśuddhamacetanaṃ ca, brahma tu cetanaṃ viśuddhaṃ ca, niratiśayatvāt /	jagat aSudDam acetanam ca, brahma tu cetanam viSudDam ca, niratiSaya tvAt /
   tasmātpradhānasyāśuddhasyācetanasya vikāro jaganna tu brahmaṇa iti yuktam	tasmAt praDAnasya aSudDasya acetanasya vikAraH jagat na tu brahmaNaH iti yuktam
   ye tu cetanabrahmavikāratayā jagaccaitanyamāhustānpratyāha acetanaṃ cedaṃ	ye tu cetana brahma vikAra tayA jagat cEtanyam AhuH tAn pratyAha acetanam ca idam
   jagaditi /	jagat iti /
   vyabhicāraṃ codayati nanu cetanamapīti /	vyaBicAram codayati nanu cetanam api iti /
   pariharati na svāmibhṛtyayorapīti /	pariharati na svAmi BRtyayoH api iti /
   nanu mā nāma sākṣāccetanaścetanāntarasyopakāṣīnt,	nanu mA nAma sAkzAt cetanaH cetana antarasya upakAzInt,
   tatkāryakaraṇabuddhyādiniyogadvāreṇa tūpakariṣyatītyata āha niratiśayā	tad kArya karaNa budDi Adi niyoga dvAreNa tu upakarizyati iti atas Aha  niratiSayA
   hyakartāraścetanā iti /	hi akartAraH cetanAH iti /
   upajanāpāyavaddharmayogo 'tiśayaḥ, tadabhāvo niratiśayatvam /	upajana apAya vat Darma yogaH atiSayaH, tad aBAvaH niratiSaya tvam /
   ata eva nirvyāpāratvādakartāraḥ /	atas eva nirvyApAra tvAt akartAraH /
   tasmātteṣāṃ buddhyādiprayoktṛtvamapi nāstītyarthaḥ /	tasmAt tezAm budDi Adi prayoktR tvam api na asti iti arTaH /
   codako 'nuśayabījamuddhāṭayati yopīti /	ca udakaH anuSaya bIjam udDAwayati yopI iti /
   abhyupetyāpātataḥ samādhānamāha tenāpi kathañciditi /	aByupetya apAtataH samADAnam Aha tena api kaTaQcid iti /
   paramasādhānaṃ tu sūtrāvayavena vaktuṃ tamevāvatārayati na cetaradapi	parama sADAnam tu sUtra avayavena vaktum tam eva avatArayati na ca itarat api
   vilakṣaṇatvamiti /	vilakzaNa tvam iti /
   sūtrāvayavābhisaṃdhimāha anavagamyamānameva hīdamiti /	sUtra avayava aBisaMDim Aha anavagamyamAnam eva hi idam iti /
   śabdārthāt khalu cetanaprakṛtitvāccaitanyaṃ	Sabda arTAt Kalu cetana prakRti tvAt cEtanyam
   pṛthivyādīnāmavagamyamānamupodbalitaṃ mānāntareṇa	pRTivI AdInAm avagamyamAnam upodbalitam mAna antareNa
   sākṣācchrūyamāṇamapyacaitanyamanyathayet /	sAkzAt SrUyamANam api acEtanyam anyaTayet /
   mānāntarābhāve vārthor'thaḥ śrutyarthenāpabādhanīyaḥ, na tu tadbalena	mAna antara aBAve vA arTor aTaH Sruti arTena apabADanIyaH, na tu tad balena
   śrutyartho 'nyathayitavya ityarthaḥ //4//	Sruti arTaH anyaTayitavyaH iti arTaH //4//
   START BsVBh_2,1.3.5	START BsVBh_2,1.3.5
   sūtrāntaramavatārayituṃ codayati nanu cetanatvamapi kvaciditi /	sUtra antaram avatArayitum codayati nanu cetana tvam api kvacid iti /
   na pṛthivyādīnāṃ caitanyamāthameva, kintu bhūyasīnāṃ śrutīnāṃ	na pRTivI AdInAm cEtanyam ATam eva, kintu BUyasInAm SrutInAm
   sākṣādevārtha ityarthaḥ /	sAkzAt eva arTaH iti arTaH /
   sūtramavatārayati ata uttaraṃ paṭhati 	sUtram avatArayati atas uttaram paWati 
   abhimānivyapadeśas tu viśeṣānugatibhyām | BBs_2,1.5 |	aBimAni vyapadeSaH tu viSeza anugatiByAm | BBH _2,1.5 |
   vibhajate tuśabda iti /	viBajate  tu SabdaH iti /
   naitāḥ śrutayaḥ sākṣānmṛdādīnāṃ vāgādīnāṃ ca caitanyamāhuḥ, api tu	na etAH SrutayaH sAkzAt mRd AdInAm vAc AdInAm ca cEtanyam AhuH, api tu
   tadadhiṣṭhātrīṇāṃ devatānāṃ cidātmanāṃ, tenaitacchrutibalena na mṛdādīnāṃ	tad aDizWAtrINAm devatAnAm cit AtmanAM, tena etat Sruti balena na mRd AdInAm
   vāgādīnāṃ ca caitanyamāśaṅkanīyamiti /	vAc AdInAm ca cEtanyam ASaFkanIyam iti /
   kasmātpunaretadevamityata āha viśeṣānugatibhyām /	kasmAt punar etat evam iti atas Aha  viSeza anugatiByAm /
   tatra viśeṣaṃ vyācaṣṭe viśeṣo hīti /	tatra viSezam vyAcazwe  viSezaH hi iti /
   bhoktṛṇāmupakāryatvādbhūtendriyāṇāṃ copakārakatvāt sāmye ca tadanupapatteḥ	BoktRNAm upakArya tvAt BUta indriyANAm ca upakAraka tvAt sAmye ca tad anupapatteH
   sarvajanaprasiddheśca 'vijñānaṃ cābhavat'iti śruteśca	sarva jana prasidDeH ca avijQAnam ca aBavat aiti SruteH ca
   viśeṣaścetanācetanalakṣaṇaḥ prāguktaḥ sa nopapadyeta /	viSezaH cetanA acetana lakzaNaH prAk uktaH sa na upapadyeta /
   devatāśabdakṛto vātra viśeṣo viśeṣaśabdenocyata ityāha api ca kauṣītakinaḥ	devatA Sabda kRtaH vA atra viSezaH viSeza Sabdena ucyate iti Aha api ca kOzItakinaH
   prāṇasaṃvāda iti /	prANa saMvAdaH iti /
   anugatiṃ vyācaṣṭe anugatāśceti /	anugatim vyAcazwe anugatAH ca iti /
   sarvatra bhūtendriyādiṣvanugatā devatā abhimāninīrūpadiśanti mantrādayaḥ /	sarvatra BUta indriya Adizu anugatAH devatAH aBimAninI rUpa diSanti mantra AdayaH /
   api ca bhūyasyaḥ śrutayaḥ 'agnirvāg bhūtvā mukhaṃ prāviśadvāyuḥ prāṇo	api ca BUyasyaH SrutayaH aagniH vAc BUtvA muKam prAviSat vAyuH prANaH 
   bhūtvā nāsike prāviśadādityaścakṣurbhūtvākṣiṇī prāviśat'ityādaya	BUtvA nAsike prAviSat AdityaH cakzuH BUtvA akziNI prAviSat aitya Adaya
   indriyaviśeṣagatā devatā darśayanti /	indriya viSeza gatAH devatAH darSayanti /
   devatāśca kṣetrajñabhedāścetanāḥ /	devatAH ca kzetrajQa BedAH cetanAH /
   tasmānnendriyādīnāṃ caitanyaṃ rūpata iti /	tasmAt na indriya AdInAm cEtanyam rUpataH iti /
   api ca prāṇasaṃvādavākyaśeṣe prāṇānāmasmadādiśarīrāṇāmiva	api ca prANa saMvAda vAkya Seze prANAnAm asmad Adi SarIrANAm iva
   kṣetrajñādhiṣṭhitānāṃ vyavahāraṃ darśayan prāṇānāṃ kṣetrajñādhiṣṭhānena	kzetrajQa aDizWitAnAm vyavahAram darSayan prANAnAm kzetrajQa aDizWAnena
   caitanyaṃ draḍhayatītyāha prāṇasaṃvādavākyaśeṣe ceti /	cEtanyam draXayati iti Aha  prANa saMvAda vAkya Seze ca iti /
   tatteja aikṣatetyapīti /	tat tejaH EkzatA iti api iti /
   yadyapi prathame 'dhyāye bhāktatvena varṇitaṃ tathāpi mukhyatayāpi	yadi api praTame aDyAye BAkta tvena varNitam taTA api muKya tayA api
   kathañcinnetuṃ śakyamiti draṣṭavyam /	kaTaQcid netum Sakyam iti drazwavyam /
   pūrvapakṣamupasaṃharati tasmāditi //5//	pUrva pakzam upasaMharati  tasmAt iti //5//
   START BsVBh_2,1.3.6	START BsVBh_2,1.3.6
   siddhāntasūtram 	sidDAnta sUtram 
   dṛśyate tu | dṛśyate tu | BBs_2,1.6 |	dRSyate tu | dRSyate tu | BBH _2,1.6 |
   prakṛtivikārabhāve hetuṃ sārūpyaṃ vikalpya dūṣayati atyantasārūpye ceti /	prakRti vikAra BAve hetum sArUpyam vikalpya dUza yati atyanta sArUpye ca iti /
   prakṛtivikārabhāvābhāvahetuṃ vailakṣaṇyaṃ vikalpya dūṣayati vilakṣaṇatvena	prakRti vikAra BAva aBAva hetum vElakzaNyam vikalpya dUzayati vilakzaNa tvena
   ca kāraṇeneti /	ca kAraNena iti /
   sarvasvabhāvānanuvartanaṃ prakṛtivikārabhāvāvirodhi /	sarva svaBAvAn anuvartanam prakRti vikAra BAva aviroDi /
   tadanuvartane tādātmyena prakṛtivikārabhāvābhāvāt /	tad anuvartane tAdAtmyena prakRti vikAra BAva aBAvAt /
   madhyamastvasiddhaḥ /	maDyamaH tu asidDaH /
   tṛtīyastu nidarśanābhāvādasādhāraṇa ityarthaḥ /	tRtIyaH tu nidarSana aBAvAt asADAraNaH iti arTaH /
   atha jagadyonitayāgamādbrahmaṇo 'vagamādāgamabādhitaviṣayatvamanumānasya	aTa jagat yonitayA AgamAt brahmaNaH avagamAt Agama bADita vizaya tvam anumAnasya
   kasmānnodbhāvyata ityata āha āgamavirodhastviti /	kasmAt na udBAvi ate iti atas Aha a Agama viroDaH tu iti /
   na cāsminnāgamaikasamadhigamanīye brahmaṇi pramāṇāntarasyāvakāśo 'sti,	na ca asmin= Agama eka samaDigamanIye brahmaNi pramANa antarasya avakASaH asti,
   yena tadupādāyāgama ākṣipyetetyāśayavānāha yattūktaṃ	yena tad upAdAya AgamaH Akzipyeta iti ASayavAn Aha  yat tu uktam
   pariniṣpannatvādbrahmaṇīti /	parinizpanna tvAt brahmaNi iti /
   yathā hi kāryatvāviśeṣa'pi 'ārogyakāmaḥ pathyamaśrīyāt' 'svarakāmaḥ	yaTA hi kAryatva aviSeza api aArogya kAmaH paTyam aSrIyAt a asvara kAmaH
   sikatāṃ bhakṣayet'ityādīnāṃ mānāntarāpekṣatā, na tu 'darśapūrṇamāsābhyāṃ	sikatAm Bakzayet aitya AdInAm mAna antara apekza tA, na tu adarSa pUrNamAsAByAm
   svargakāmo yajeta'ityādīnām /	svarga kAmaH yajeta aitya AdInAm /
   tatkasya hetoḥ /	tat kasya hetoH /
   asya kāryabhedasya pramāṇāntarāgocaratvāt /	asya kArya Bedasya pramANa antara agocara tvAt /
   evaṃbhūtatvāviśeṣe 'pi pṛthivyādīnāṃ mānāntaragocaratvaṃ, na tu bhūtasyāpi	evaMBUta tva aviSeze api pRTivI AdInAm mAna antara gocara tvan, na tu BUtasya api
   brahmaṇaḥ, tasmāmnāyaikagocarasyātipatitasamastamānāntarasīmatayā	brahmaNaH, tasmAmnAya eka gocarasya ati patita samasta mAna antara sImatayA
   smṛtyāgamasiddhatvādityarthaḥ /	smRti Agama sidDa tvAt iti arTaH /
   yadi smṛtyāgamasiddhaṃ brahmaṇastarkāviṣayatvaṃ, kathaṃ tarhi	yadi smRtyAgama sidDam brahmaNaH tarka avizaya tvan, kaTam tarhi
   śravaṇātiriktamananavidhānamityata āha yadapi śravaṇavyatirekeṇeti /	SravaNa atirikta manana viDAnam iti atas Aha yat api SravaNa vyatirekeNa iti /
   tarko hi pramāṇaviṣayavivecakatayā taditikartavyatābhūtastadāśrayo 'sati	tarkaH hi pramANa vizaya vivecaka tayA tad itikartavya tA BUtaH tad ASrayaH asati
   pramāṇe 'nugrāhyasyāśrayasyābhāvācchuṣkatayā nādriyate /	pramANe anugrAhyasya ASrayasya aBAvAt Suzka tayA na Adriyate /
   yastvāgamapramāṇāśrayastadviṣayavivecakastadavirodhī sa mantavya iti	yaH tu Agama pramANa ASrayaH tad vizaya vivecakaH tad aviroDI sa mantavyaH iti
   vidhīyate /	viDIyate /
   śrutyanugṛhīteti /	Sruti anugRhIta iti /
   śrutyāḥ śravaṇasya paścāditikartavyatātvena gṛhītaḥ /	SrutyAH SravaNasya paScAt itikartavya tA tvena gRhItaH /
   anubhavāṅgatveneti /	anuBava aFga tvena iti /
   mato hi bhāvyamāno bhāvanāyā viṣayatayānubhūto bhavatīti	mataH hi BAvyamAnaH BAvanAyAH vizaya tayA anuBUtaH Bavati iti
   mananamanubhavāṅgam /	mananam anuBava aFgam /
   ātmano 'nanvāgatatvamiti /	AtmanaH ananvAgata tvam iti /
   svapnādyavasthābhirasaṃpṛktatvam /	svapna Adi avasTABiH asaMpRkta tvam /
   udāsīnatvamityarthaḥ /	udAsIna tvam iti arTaH /
   api ca cetanakāraṇavādibhiḥ kāraṇasālakṣaṇye 'pi kāryasya	api ca cetana kAraNa va AdiBiH kAraNa sAlakzaNye api kAryasya
   kathañciccaitanyāvirbhāvānāvirbhāvābhyāṃ vijñānaṃ cāvijñānaṃ cābhavaditi	kaTaQcid cEtanya AvirBAva anAvirBAvAByAm vijQAnam ca avijQAnam ca aBavat iti
   jagatkāraṇe yojayituṃ śakyam /	jagat kAraNe yojayitum Sakyam /
   acetanapradhānakāraṇavādināṃ tu duryojametat /	acetana praDAna kAraNa vAdinAm tu duryojam etat /
   nahyacetanasya jagatkāraṇasya vijñānarūpatā saṃbhavinī /	na hi acetanasya jagat kAraNasya vijQAna rUpa tA saMBavinI /
   cetanasya jagatkāraṇasya suṣuptādyavyavasthāsviva sato 'pi	cetanasya jagat kAraNasya suzupta Adi a vyavasTAsu iva sataH api
   caitanyasyānāvirbhāvatayā śakyameva kathañcidavijñānātmatvaṃ	cEtanyasya anAvirBAva tayA Sakyam eva kaTaQcid avijQAna Atma tvam
   yojayitumityāha yo 'pi cetanakāraṇaśravaṇabaleneti /	yojayitum iti Aha yaH api cetana kAraNa SravaNa balena iti /
   parasyaiva tvacetanapradhānakāraṇavādinaḥ sāṃkhyasya na yujyeta /	parasya eva tu acetana praDAna kAraNa vAdinaH sAMKyasya na yujyeta /
   pratyuktatvāttu vailakṣaṇyasyeti /	pratyukta tvAt tu vElakzaNyasya iti /
   vailakṣaṇye kāryakāraṇabhāvo nāstītyabhyupetyedamuktam /	vElakzaNye kArya kAraNa BAvaH na asti iti aByupetya idam uktam /
   paramārthatastu nāsmābhiretadabhyupeyata ityarthaḥ //6//	paramArTataH tu na asmABiH etat aByupeyate iti arTaH //6//
   START BsVBh_2,1.3.7	START BsVBh_2,1.3.7
   asaditi cen na pratiṣedhamātratvāt | BBs_2,1.7 |	asat iti ced na pratizeDa mAtra tvAt | BBH _2,1.7 |
   na kāraṇātkāryamabhinnam, abhede kāryatvānupapatteḥ, kāraṇavatsvātmani	na kAraNAt kAryam aBinnam, aBede kAryatva anupapatteH, kAraNa vatsvAtmani
   vṛttivirodhāt, śuddhyaśudadhyādiviruddhadharmasaṃsargācca /	vRtti viroDAt, SudDi aSudaDi Adi virudDa Darma saMsargAt ca /
   atha cidātmanaḥ kāraṇasya jagataḥ kāryādbhedaḥ, tathā cedaṃ jagatkāryaṃ	aTa cit AtmanaH kAraNasya jagataH kAryAt BedaH, taTA ca idam jagat kAryam
   sattve 'pi cidātmanaḥ kāraṇasya prāgutpatternāsti, nāsti cedasadutpadyata	sattve api cit AtmanaH kAraNasya prAk utpatteH na asti, na asti ced asat utpadyata
   iti satkāryavādavyākopa ityāha yadi cetanaṃ śuddhamiti /	iti satkArya vAda vyAkopaH iti Aha yadi cetanam SudDam iti /
   pariharati naiṣa doṣa iti /	pariharati na eza dozaH iti /
   kutaḥ,pratiṣedhamātratvāt /	kutaH, pratizeDa mAtra tvAt /
   vibhajate pratiṣedhamātraṃ hīdamiti /	viBajate  pratizeDa mAtram hi idam iti /
   pratipādayiṣyati hi 'tadananyatvamārambhaṇaśabdādibhyaḥ'ityatra /	pratipAdayizyati hi atat ananya tvam AramBaNa Sabda AdiByaH aiti atra /
   yathā kāryaṃ svarūpeṇa sadasattvābhyāṃ na nirvacanīyam /	yaTA kAryam svarUpeNa sat asat tvAByAm na nirvacanIyam /
   api tu kāraṇarūpeṇa śakyaṃ sattvena nirvaktumiti /	api tu kAraNa rUpeNa Sakyam sattvena nirvaktum iti /
   evaṃ ca kāraṇasattaiva kāryasya sattā na tato 'nyeti kathaṃ tadutpatteḥ	evam ca kAraNa sattA eva kAryasya sattA na tatas anyA iti kaTam tad utpatteH
   prāk sati kāraṇe bhavatyasat /	prAk sati kAraNe Bavati asat /
   svarūpeṇa tūtpatteḥ prāgutpannasya dhvastasya vā	sva rUpeNa tu utpatteH prAk utpannasya Dvastasya vA
   sadasattvābhyāmanirvācyasya na sato 'sato votpattiriti nirviṣayaḥ	sat asat tvAByAm anirvAcyasya na sataH asataH vA utpattiH iti nirvizayaH
   satkāryavādapratiṣedha ityarthaḥ //7//	satkArya vAda pratizeDaH iti arTaH //7//
   START BsVBh_2,1.3.8	START BsVBh_2,1.3.8
   apītau tadvatprasaṅgād asamañjasam | BBs_2,1.8 |	api itO tadvat prasaFgAt asamaQjasam | BBH _2,1.8 |
   asāmañjasyaṃ vibhajate atrāhacodakaḥ,yadi sthaulyeti /	asAm aQjasyam viBajate a trAha codakaH,yadi sTOlya iti /
   yathā hi yūṣādiṣu hiṅgusaindhavādīnāmavibhāgalakṣaṇo layaḥ	yaTA hi yUza Adizu hiFgu sEnDava AdInAm aviBAga lakzaNaH layaH
   svagatarasādibhiryūṣaṃ rūṣayatyevaṃ brahmaṇi viśuddhyādidharmiṇi	sva gata rasa AdiBiH yUzam rUzayati evam brahmaNi viSudDi Adi DarmiNi
   jagalliyamānamavibhāgaṃ gacchadbrahma svadharmeṇa rūṣayet /	jagalliyamAnam aviBAgam gacCat brahma svaDarmeNa rUzayet /
   na cānyathā layo lokasiddha iti bhāvaḥ /	na ca anyaTA layaH loka sidDaH iti BAvaH /
   kalpāntareṇāsāmañjasyamāha api ca samastasyeti /	kalpa antareNa AsAm aQjasyam Aha api ca samastasya iti /
   nahi samudrasya phenormibudbudādipariṇāme vā rajjvāṃ sarpadhārādivibhrame	na hi samudrasya Pena Urmi budbuda Adi pariNAme vA rajjvAm sarpa DArA Adi viBrame
   vā niyamo dṛṣṭaḥ /	vA niyamaH dRzwaH /
   samudro hi kadācitphenormirūpeṇa pariṇamate kadācidbudbudādinā, rajjvāṃhi	samudraH hi kadAcid Pena Urmi rUpeNa pariNamate kadAcid budbuda AdinA, rajjvAMhi
   kaścitsarpa iti viparyasyati kaściddhāreti /	kaScid sarpaH iti viparyasyati kaScid hArA iti /
   naca kramaniyamaḥ /	na ca krama niyamaH /
   so 'yamatra bhogyādivibhāganiyamaḥ kramaniyamaścāsamañjasa iti /	saH ayam atra Bogya Adi viBAga niyamaH krama niyamaH ca asamaQjasaH iti /
   kalpāntareṇāsāmañjasyamāha apica bhoktṛṇāmiti /	kalpa antareNa AsAm aQjasyamAha apica BoktRNAm iti /
   kalpāntaraṃ śaṅkāpūrvamāha athedamiti //8//	kalpa antaram SaFkA pUrvam Aha aTa idam iti //8//
   START BsVBh_2,1.3.9	START BsVBh_2,1.3.9
   siddhāntasūtram na tu dṛṣṭāntabhāvāt | BBs_2,1.9 |	sidDAnta sUtra m na tu dRzwAnta BAvAt | BBH _2,1.9 |
   nāvibhāgamātraṃ layo 'pi tu kāraṇe kāryasyāvibhāgaḥ /	na aviBAga mAtram layaH api tu kAraNe kAryasya aviBAgaH /
   tatra ca taddharmārūṣaṇe santi sahasraṃ dṛṣṭāntāḥ /	tatra ca tad Darma ArUzaNe santi sahasram dRzwAntAH /
   tava tu kāraṇe kāryasya laye kāryadharmarūṣaṇe na dṛṣṭāntalavo	tava tu kAraNe kAryasya laye kArya Darma rUzaNe na dRzwAnta lavaH 
   'pyastītyarthaḥ /	api asti iti arTaH /
   syādetat yadi kāryasyāvibhāgaḥ kāraṇe, kathaṃ kāryadharmārūṣaṇaṃ	syAt etat yadi kAryasya aviBAgaH kAraNe, kaTam kArya Darma ArUzaNam
   kāraṇasyetyata āha ananyatve 'pīti /	kAraNasya iti atas Aha ananya tve api iti /
   yathā rajatasyāropitasya pāramārthikaṃ rūpaṃ śuktirna ca śuktī	yaTA rajatasya Aropitasya pAramArTikam rUpam SuktiH na ca SuktI
   rajatamevamidamapītyarthaḥ /	rajatam evam idam api iti arTaH /
   api ca sthityutpattipralayakāleṣu triṣvapi kāryasya	api ca sTiti utpatti pralaya kAlezu trizu api kAryasya
   kāraṇādabhedamabhidadhatī śrutiranatiśaṅkanīyā sarvaireva vedavādibhiḥ,	kAraNAt aBedam aBidaDatI SrutiH anati SaFkanIyA sarvEH eva veda vAdiBiH,
   tatra sthityutpattyoryaḥ parihāraḥ sa pralaye 'pi samānaḥ	tatra sTiti utpattyoH yaH parihAraH sa pralaye api samAnaH
   kāryasyāvidyāsamāropitatvaṃ nāma,	kAryasya avidyA samAropita tvam nAma,
   tasmānnāpītimātramanuyojyamityāha atyalpaṃ cedamucyata iti /	tasmAt na api iti mAtram anuyojyam iti Aha ati alpam ca idam ucyate iti /
   asti cāyamaparo dṛṣṭāntaḥ /	asti ca ayam aparaH dRzwAntaH /
   yathā ca svapnadṛgeka iti /	yaTA ca svapna dRS ekaH iti /
   laukikaḥ puruṣaḥ /	lOkikaH puruzaH /
   evamavasthātrayasākṣyeka iti /	evam avasTA traya sAkzi ekaH iti /
   avasthātrayamutpattisthitipralayāḥ /	avasTA trayam utpatti sTiti pralayAH /
   kalpāntareṇāsāmañjasye kalpāntareṇa dṛṣṭāntabhāvaṃ	kalpa antareNa AsAm aQjasye kalpa antareNa dRzwAnta BAvam
   parihāramāha yatpunaretaduktamiti /	parihAram Aha yat punar etat uktam iti /
   avidyāśakterniyatatvādutpattiniyama ityarthaḥ /	avidyA SakteH niyata tvAt utpatti niyamaH iti arTaH /
   eteneti /	etena iti /
   mithyājñānavibhāgaśaktipratiniyamena muktānāṃ punarutpattiprasaṅgaḥ	miTyA jQAna viBAga Sakti pratiniyamena muktAnAm punar utpatti prasaFgaH
   pratyuktaḥ, kāraṇābhāve kāryābhāvasya pratiniyamāt, tattvajñānena ca	pratyuktaH, kAraNa aBAve kArya aBAvasya pratiniyamAt, tattva jQAnena ca
   saśaktino mithyājñānasya samūlaghātaṃ nihatatvāditi //9//	sa SaktinaH miTyAjQAnasya sa mUla GAtam nihata tvAt iti //9//
   START BsVBh_2,1.3.10	START BsVBh_2,1.3.10
   svapakṣadoṣāc ca | BBs_2,1.10 |	sva pakza dozAt ca | BBH _2,1.10 |
   kāryakāraṇayorvailakṣaṇyaṃ tāvatsamānamevobhayoḥ pakṣayoḥ /	kArya kAraNayoH vElakzaNyam tAvat samAnam eva uBayoH pakzayoH /
   prāgutpatterasatkāryavādaprasaṅgo 'pītau tadvatprasaṅgaśca	prAk utpatteH asatkArya vAda prasaFgaH api itO tadvat prasaFgaH ca
   pradhānopādānapakṣa eva nāsmatpakṣa iti	praDAna upAdAna pakzaH eva na asmad pakzaH iti
   yadyapyupariṣṭātpratipādayiṣyāmastathāpi guḍajihvikayā	yadi api uparizwAt pratipAdayizyAmaH taTA api guxa jihvikayA
   samānatvāpādanamidānīmiti mantavyam /	samAna tva ApAdanam idAnIm iti mantavyam /
   idamasya puruṣasya sukhaduḥkhopādānaṃ kleśakarmāśayādīdamasyeti /	idam asya puruzasya suKa duHKa upAdAnam kleSa karma ASayAt Idamasya iti /
   sugamamanyat //10//	sugamam anyat //10//
   START BsVBh_2,1.4.11	START BsVBh_2,1.4.11
   tarkāpratiṣṭhānādapi | BBs_2,1.11 |	tarka apratizWAnAt api | BBH _2,1.11 |
   kevalāgamagamyer'the svatantratarkāviṣaye na sāṃkhyādivat	kevala Agama gamyer aTe svatantra tarka avizaye na sAMKya Adi vat 
   sādharmyavaidharmyamātreṇa tarkaḥ pravartanīyo yena	sADarmya vEDarmya mAtreNa tarkaH pravartanIyaH yena
