   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   yathā hi balīvardādayo bhuñjānā api svaphalaṃ svāmino	yaTA hi balIvarda AdayaH BuQjAnAH api sva Palam svAminaH 
   halādivahanenopakurvāṇā bhogyāḥ, evaṃ paramatattvamavidvāṃsa iṣṭādikāriṇa	hala Adi vahanena upakurvANAH BogyAH, evam parama tattvam avidvAMsaH izwa Adi kAriNa
   iha dadhipayaḥpuroḍāśādināmuṣmiṃśca loke paricārakatayā devānāmupabhogyā	iha daDi payaH puroxASa AdinA amuzmin= ca loke paricAraka tayA devAnAm upaBogyA
   iti śrutyarthaḥ /	iti Sruti arTaH /
   athavāanātmavittvāttathāhi darśayatiityasyānyā vyākhyā /	aTa vA aana Atma vid tvAt taTA hi darSayatiiti asya anyA vyAKyA /
   ātmavit pañcāgnividyāvit na ātmavit anātmavit /	Atma vid paQca agni vidyA vid naH Atma vid anAtma vid /
   yo hi pañcāgnividyāṃ na veda taṃ devā bhakṣayantīti nindyate	yaH hi paQca agni vidyAm na veda tam devAH Bakzayanti iti nindyate
   pañcāgnividyāṃ stotuṃ tasyā eva prakṛtatvāt /	paQca agni vidyAm stotum tasyAH eva prakRta tvAt /
   tadanenopacārasya prayojanamuktam /	tad anena upacArasya prayojanam uktam /
   upacāranimittamanupapattimāha tathāhi darśayati /	upacAra nimittam anupapattim Aha  taTA hi darSayati /
   śrutirbhoktṛtvam /	SrutiH BoktR tvam /
   sa somaloke vibhūtimanubhūyeti /	sa soma loke viBUtim anuBUya iti /
   śeṣamatirohitārtham //7//	Sezam ati rohita arTam //7//
   START BsVBh_3,1.2.8	START BsVBh_3,1.2.8
   kṛtātyaye 'nuśayavān dṛṣṭasmṛtibhyāṃ yathetamanevaṃ ca | BBs_3,1.8 |	kRta atyaye anuSayavAn dRzwa smRtiByAm yaTetam anevam ca | BBH _3,1.8 |
   yāvatsaṃpātamuṣitveti /	yAvat saMpAtam uzitvA iti /
   yāvadupabandhāt /	yAvat upabanDAt /
   yatkiñceha karotyayamiti /	yat kiQca iha karoti ayam iti /
   ca yatkiñceha karma kṛtaṃ tasyāntaṃ prāpyeti śravaṇāt, prāyaṇasya	ca yat kiQca iha karma kRtam tasya antam prApya iti SravaNAt, prAyaNasya
   caikapraghaṭṭakena sakalakarmābhivyañjakatvāt /	ca eka praGawwakena sakala karma aBivyaQjaka tvAt /
   na khalvabhivyaktinimittasya sādhāraṇye 'bhivyaktiniyamo yuktaḥ /	na Kalu aBivyakti nimittasya sADAraNye aBivyakti niyamaH yuktaH /
   phaladānābhimukhīkaraṇaṃ cābhivyaktistasmātsamastameva karma	Pala dAna aBimuKIkaraNam ca aBivyaktiH tasmAt samastam eva karma
   phalamupabhojitavat /	Palam upaBojita vat /
   svaphalavirodhi ca karma /	sva Pala viroDi ca karma /
   tasmācchruterupapatteścaṃ niranuśayānāmeva caraṇādācārādavaroho na	tasmAt SruteH upapatteH cam niranuSayAnAm eva caraNAt AcArAt avarohaH na
   karmaṇaḥ /	karmaNaH /
   ācārakarmaṇī ca śruteḥ prasiddhabhede /	AcAra karmaNI ca SruteH prasidDa Bede /
   yathākārī yathācārī tathā bhavatīti /	yaTAkArI yaTA AcArI taTA Bavati iti /
   tathāca ramaṇīyacaraṇāḥ kapūyacaraṇā ityācārameva yoninimittamupadiśati na	taTA ca ramaNIya caraNAH kapUya caraNAH iti AcAram eva yoni nimittam upadiSati na
   tu karma /	tu karma /
   stāṃ vā karmaśīle dve apyaviśeṣeṇānuśayastathāpi yadyapyayamiṣṭāpūrtakārī	stAm vA karma SIle dve api aviSezeNa anuSayaH taTA api yadi api ayam izwApUrta kArI
   svayaṃ niranuśayo bhuktabhogatvāttathāpi pitrādigatānuśayavaśāttadvipākān	svayam niranuSayaH Bukta Boga tvAt taTA api pitR Adi gata anuSaya vaSAt tad vipAkAn
   jātyāyurbhogāṃścandralokādavaruhyānubhaviṣyati /	jAti AyuH BogAn= candra lokAt avaruhya anuBavizyati /
   smaryate hyanyasya sukṛtaduṣkṛtābhyāmanyasya	smaryate hi anyasya sukRta duzkRtAByAm anyasya
   tatsaṃbandhinastatphalabhāgitā 'patatyardhaśarīreṇa yasya bhāryā surāṃ	tad saMbanDinaH tad Pala BAgitA  apatati arDa SarIreNa yasya BAryA surAm
   pibet'ityādi /	pibet aityAdi /
   tathā śrāddhavaiśvānarīyeṣṭyādeḥ pitāputrādigāmiphalaśrutiḥ /	taTA SrAdDa vESvAnarIya izwi AdeH pitAputra Adi gAmi Pala SrutiH /
   tasmādyāvatsaṃpātamityupakramānurodhāt 'yat kiñceha karoti'iti ca	tasmAt yAvat saMpAtam iti upakrama anuroDAt ayat kiQca iha karoti aiti ca
   śrutyantarānusārādramaṇīyacaraṇatvaṃ saṃbandhyantaragatamiṣṭāpūrtakāriṇi	Sruti antara anusArAt ramaNIya caraNa tvam saMbanDi antara gatam izwApUrta kAriNi
   bhāktaṃ gamayitavyam /	BAktam gamayitavyam /
   tathāca niranuśayānāmeva bhuktabhogānāmavaroha iti prāpta ucyate yena	taTA ca niranuSayAnAm eva Bukta BogAnAm avarohaH iti prAptaH ucyate yena
   karmakalāpena phalamupabhojitaṃ tasminnatīte 'pi sānuśayā eva	karma kalApena Palam upaBojitam tasmin= atIte api sa anuSayAH eva
   candramaṇḍalādavarohanti /	candra maNxalAt avarohanti /
   kutaḥ dṛṣṭasmṛtibhyām /	kutas   dRzwa smRtiByAm /
   pratyakṣadṛṣṭā śrutirdṛṣṭaśabdavācyā /	pratyakza dRzwA SrutiH dRzwa Sabda vAcyA /
   smṛtiścopanyastā /	smRtiH ca upanyastAH /
   athavā dṛṣṭaśabdenoccāvacarūpo bhoga ucyate /	aTavA dRzwa Sabdena uccAvaca rUpaH BogaH ucyate /
   ayamabhisaṃdhiḥ kapūyacaraṇā ramaṇīyacaraṇā ityavarohitāmetadviśeṣaṇam /	ayam aBisaMDiH kapUya caraNAH ramaNIya caraNAH iti avarohitAm etat viSezaNam /
   naca sati mukhyārthasaṃbhave saṃbandhimātreṇopacaritārthatvaṃ nyāyyam /	na ca sati muKya arTa saMBave saMbanDi mAtreNa upacarita arTa tvam nyAyyam /
   na copakramavirodhācchrutyantaravirodhācca mukhyārthasaṃbhava iti	na ca upakrama viroDAt Sruti antara viroDAt ca muKya arTa saMBavaH iti
   sāṃpratam /	sAMpratam /
   dattaphaleṣṭāpūrtakarmāpekṣayāpi yāvatpadasya yatkiñcetipadasya copapatteḥ	datta Pala izwApUrta karma apekzayA api yAvat padasya yat kiQcetipadasya ca upapatteH
   nahi 'yāvajjīvamagnihotraṃ juhuyāt'iti yāvajjīvamāhāravihārādisamaye 'pi	na hi ayAvat jIvam agni hotram juhuyAt aiti yAvat jIvam AhAra vihAra Adi samaye api
   homaṃ vidhatte nāpi madhyāhnādāvapi tu sāyaṃprātaḥkālāpekṣayā /	homam viDatte na api maDyAhna AdO= api tu sAyaMprAtar kAla apekzayA /
   sāyaṃprātaḥkālavidhānasāmarthyāt, kālasya cānupādeyatayānaṅgasyāpi	sAyaMprAtar kAla viDAna sAmarTya at, kAlasya ca anupAdeya tayA anaFgasya api
   nimittānupraveśāttatraivamiti cet /	nimitta anupraveSAt tatra evam iti ced /
   na /	na /
   ihāpi ramaṇīyacaraṇā ityādermukhyārthatvānurodhāttadupapatteḥ /	iha api ramaNIya caraNAH iti AdeH muKyA arTa tva anuroDAt tad upapatteH /
   tatkimidānīmupasaṃhārānurodhenopakramaḥ saṃkocayitavyaḥ /	tat kim idAnIm upasaMhAra anuroDena upakramaH saMkocayitavyaH /
   netyucyate /	na iti ucyate /
   nahyasāvupasaṃhārānurodhe 'pyasaṃkucadvṛttirupapattumarhati /	na hi asO= upasaMhAra anuroDe api asaMkuca dvRttiH upapattum arhati /
   nahi yāvantaḥ saṃpātā yāvatāṃ vā puṃsāṃ saṃpātāste sarve tatreṣṭādikāriṇā	nahi yAvantaH saMpAtAH yAvatAm vA puMsAm saMpAtAH te sarve tatra izwa Adi kAriNA
   bhogena kṣayaṃ nīyante /	Bogena kzayam nIyante /
   puruṣāntarāśrayāṇāṃ karmāśayānāṃ tadbhogena kṣaye 'tiprasaṅgāt /	puruza antara ASrayANAm karma ASayAnAm tad Bogena kzaye ati prasaFgAt /
   ciropabhuktānāṃ ca karmāśayānāmasatāṃ candramaṇḍalopabhogenāpanayanāt /	cira upaBuktAnAm ca karma ASayAnAm asatAm candra maNxala upaBogena apanayanAt /
   tathāca svayaṃ saṃkucantī yāvacchrutirupasaṃhārānurodhaprāptamapi	taTA ca svayam saMkucantI yAvat SrutiH upasaMhAra anuroDa prAptam api
   saṃkocanamanumanyate /	saMkocanam anumanyate /
   etena 'yatkiñceha karoti'ityapi vyākhyātam /	etena ayat kiQcA iha karoti aiti api vyAKyAtam /
   api ceṣṭāpūrtakārīha janmani kevalaṃ na tanmātramakārṣīdapi tu	api cezwApUrta kArI iha janmani kevalam na tanmAtram akArzIt api tu
   godohanenāpaḥ praṇayan paśuphalamapyapūrvaṃ samacaiṣīt /	go dohanena apaH praNayan paSu Palam api apUrvam sama cEzIt /
   evamaharniśaṃ ca vāṅmanaḥ śarīraceṣṭābhiḥ puṇyāpuṇyamihāmutropabhogyaṃ	evam aharniSam ca vAc manaH SarIra cezwABiH puNya apuNyam iha amutra upaBogyam
   saṃcitavato na martyalokādibhogyaṃ candraloke bhogyaṃ bhavitumarhati /	saMcitavataH na martya loka Adi Bogyam candra loke Bogyam Bavitum arhati /
   naca svaphalavirodhino 'nuśayasya ṛte	na ca sva Pala viroDinaH anuSayasya Rte
   prāyaścittādātmajñānādvādattaphalasya dhvaṃsaḥ saṃbhavati /	prAyaScittAt Atma jQAnAt vA adatta Palasya DvaMsaH saMBavati /
   tasmāttenānuśayenāyamanuśayavān parāvartata iti śliṣṭam /	tasmAt tena anuSayena ayam anuSayavAn parAvartate iti Slizwam /
   na caikabhavikaḥ karmāśaya ityagre bhāṣyakṛdvakṣyati /	na ca eka BavikaH karma ASayaH iti agre BAzya kRt vakzyati /
   anye tu sakalakarmakṣaye parāvṛttiśaṅkā nirbījeti manyamānā	anye tu sakala karma kzaye parAvRtti SaFkA nirbIja iti manyamAnA
   anyathādhikaraṇaṃ varṇayāñcakrurityāha kecittāvadāhuriti /	anyaTA aDikaraNam varNayAQcakruH itya aha kecid tAvat AhuH iti /
   anuśayo 'tra dattaphalasya karmaṇaḥ śeṣa ucyate /	anuSayaH atra datta Palasya karmaNaH SezaH ucyate /
   tatredamiha vicāryate kiṃ	tatra idam iha vicAryate kim
   dattaphalānāmiṣṭāpūrtakarmaṇāmavaśeṣādihāvartante uta tānyupabhogena	datta PalAnAm izwApUrta karmaNAm avaSezAt iha Avartante uta tAni upaBogena
   niravaśeṣaṃ kṣapayitvānupabhuktakarmaśādihāvartanta iti /	niravaSezam kzapayitvA anupaBukta karmaSAdiha Avartante iti /
   tatreṣṭādīnāṃ bhogena samūlakāṣaṃ kaṣitatvānniranuśayā	tatra izwa AdInAm Bogena sa mUla kAzam kazita tvAt niranuSayA
   evānupabhuktakarmavaśādāvartanta iti prāpta ucyate sānuśayā evāvartanta	eva anupaBukta karma vaSAt Avartante iti prAptaH ucyate  sAnuSayAH eva Avartanta
   iti /	iti /
   kutaḥ dṛṣṭānusārāt /	kutas   dRzwa anusArAt /
   yathā bhāṇḍasthe madhuni sarpiṣi vā kṣālite 'pi bhāṇḍalepakaṃ taccheṣaṃ	yaTA BANxa sTe maDuni sarpizi vA kzAlite api BANxa lepakam tat Sezam
   madhu vā sarpirvā na kṣālayituṃ śakyamiti dṛṣṭamevaṃ tadanusārādetadapi	maDu vA sarpiH vA na kzAlayitum Sakyam iti dRzwam evam tad anusArAt etat api
   pratipattavyam /	pratipattavyam /
   na cāvaśeṣamātrāccandramaṇḍale tiṣṭhāsannapi sthātuṃ pārayati /	na ca avaSeza mAtrAt candra maNxale tizWa Asan= api sTAtum pArayati /
   yathā sevako hāstikāśvīyapadātivrātaparivṛto mahārājaṃ sevamānaḥ	yaTA sevakaH hAstikASvIya padAti vrAta parivRtaH mahA rAjam sevamAnaH
   kālavaśācchatrapādukāvaśeṣo na sevitumarhatīti dṛṣṭaṃ tanmūlā ca laukikī	kAla vaSAt Satra pAduka avaSezaH na sevitum arhati iti dRzwam tad mUlA ca lOkikI
   smṛtiriti dṛṣṭasmṛtibhyāṃ sānuśayā evāvartanta iti /	smRtiH iti dRzwa smRtiByAm sa anuSayAH eva Avartante iti /
   tadedaddūṣayati na caitaditi /	tat edat dUzayati na ca etat iti /
   evakāre prayoktavye ivakāro guḍajihvikayā prayuktaḥ /	evakAre prayoktavye ivakAraH guxa jihvikayA prayuktaH /
   śabdaikagamyer'the na sāmānyatodṛṣṭānumānāvasara ityarthaḥ /	Sabda eka gamyer aTe na sAmAnyatodRzwa anumAna avasaraH iti arTaH /
   śeṣamatirohitārtham /	Sezam ati rohita arTam /
   pūrvapakṣahetumanubhāṣate yadapyuktaṃ prāyaṇamiti /	pUrva pakza hetum anuBAzate yat api uktam prAyaNam iti /
   dūṣayati tadapyanuśayasadbhāveti /	dUza yati tat api anuSaya sadBAvA iti /
   ramaṇīyacaraṇā kapūyacaraṇā ityādikayānuśayapratipādanaparayā śrutyā	ramaNIya caraNA kapUya caraNA iti AdikayA anuSaya pratipAdana parayA SrutyA
   viruddhamityarthaḥ /	virudDam iti arTaH /
   apicetyādi /	apicA ityAdi /
   iha janmani hi paryāyeṇa sukhaduḥkhe bhujyamāne dṛśyete /	iha janmani hi paryAyeNa suKa duHKe BujyamAne dRSyete /
   yugapaccedekapraghaṭṭakena prāyaṇena sukhaduḥkhaphalāni karmāṇi vyajyeran	yugapad ced eka praGawwakena prAyaNena suKa duHKa PalAni karmANi vyajyeran
   yugapadeva tatphalāni bhujyeran /	yugapad eva tad PalAni Bujyeran /
   tasmādupabhogaparyāyadarśanādbalīyasā durbalasyābhibhavaḥ kalpanīyaḥ /	tasmAt upaBoga paryAya darSanAt balIyasA durbalasya aBiBavaH kalpanIyaH /
   evaṃ viruddhajātinimittopabhogaphaleṣvapi karmasu draṣṭavyam /	evam virudDa jAti nimitta upaBoga Palezu api karmasu drazwavyam /
   na cābhivyaktaṃ ca karma phalaṃ na datta iti ca saṃbhavati /	na ca aBivyaktam ca karma Palam na dattaH iti ca saMBavati /
   phalopajanābhimukhyaṃ hi karmaṇāmabhivyaktiḥ /	Pala upajana ABimuKyam hi karmaNAm aBivyaktiH /
   apica prāṇasyābhivyañjakatve svarganarakatatiryagyonigatānāṃ jantūnāṃ	api ca prANasya aBivyaQjaka tve svarga narakata tiryagyoni gatAnAm jantUnAm
   tasmiñjanmani karmasvanadhikārānnāpūrvakarmopajanaḥ pūrvakṛtasya	tasmin janmani karmasu anaDikArAt na apUrva karma upajanaH pUrva kRtasya
   kramāśyasya prāyaṇābhivyaktatayā phalopabhogena prakṣayānnāsti teṣāṃ	kramASyasya prAyaNa aBivyakta tayA Pala upaBogena prakzayAt na asti tezAm
   karmāśya iti na te saṃsareyuḥ /	karma ASyaH iti na te saMsareyuH /
   naca mucyerannātmajñānābhāvāditi kaṣṭāṃ batāliṣṭā daśām /	na ca mucyeran= a Atma jQAna aBAvAt iti kazwAm bata alizwAH daSAm /
   kiñca svasamavetameva prāyaṇenābhivyajyate 'pūrvaṃ na parasamavetaṃ, yena	kiQca sva samavetam eva prAyaNena aBivyajyate apUrvam na para samavetan, yena
   pitrādigatena karmaṇā varteranniti /	pitR Adi gatena karmaNA varteran= iti /
   śeṣaṃ sugamam //8//	Sezam sugamam //8//
   START BsVBh_3,1.2.9	START BsVBh_3,1.2.9
   caraṇāditi cennopalakṣaṇārtheti kārṣṇājiniḥ | BBs_3,1.9 |	caraNAt iti ced na upalakzaNa arTa iti kArzNa ajiniH | BBH _3,1.9 |
   anena niranuśayā evāvarohantīti pūrvapakṣabījaṃ nigūḍhamuddhāṭya nirasyati	anena niranuSayAH eva avarohanti iti pUrva pakza bIjam nigUXam udDAwya nirasyati
   yadyapi 'akrodhaḥ sarvabhūteṣu karmaṇā manasā girā /	yadi api aakroDaH sarva BUtezu karmaNA manasA girA /
   anugrahaśca jñānaṃ ca śīlametādvidurbudhāḥ //	anugrahaH ca jQAnam ca SIlam etAt viduH buDAH //
   'iti smṛteḥ śīlamācāro	aiti smRteH SIlam AcAraH 
   'nuśayādbhinnastathāpyānuśayāṅgatayānuśayopalakṣaṇatvaṃ kārṣṇājinirācāryo	anuSayAt BinnaH taTA api AnuSaya aFga tayA anuSaya upalakzaNa tvam kArzNa ajiniH AcAryaH 
   mene /	mene /
   tathāca ramaṇīyacaraṇāḥ kapūyacaraṇā ityanenānuśayopalakṣaṇātsiddhaṃ	taTA ca ramaNIya caraNAH kapUya caraNAH iti anena anuSaya upalakzaNAt sidDam
   sānuśayānāmevāvarohaṇamiti //9//	sa anuSayAnAm eva avarohaNam iti //9//
   START BsVBh_3,1.2.10	START BsVBh_3,1.2.10
   ānarthakyamiti cenna tadapekṣatvāt | BBs_3,1.10 |	AnarTakyam iti ced na tad apekza tvAt | BBH _3,1.10 |
   'ācārahīnaṃ na punanti vedāḥ'iti hi smṛtyā vedapadena	aAcAra hInam na punanti vedAH aiti hi smRtyA veda padena
   vedārthamupalakṣayantyā vedārthānuṣṭhānaśeṣatvamācārasyoktaṃ na tu	veda arTam upalakzayantyAH veda arTa anuzWAna Seza tvam AcArasya uktam na tu
   svatantra ācāraḥ phalasya sādhanaṃ, tena	svatantraH AcAraH Palasya sADanan, tena
   vedārthānuṣṭhānopakārakatayācārasya nānarthakyaṃ kratvarthasya /	veda arTa anuzWAna upakAraka tayA AcArasya na AnarTakyam kratu arTasya /
   tadanena samidādivadācārasya kratvarthatvamuktam /	tat anena samiD Adi vat AcArasya kratu arTa tvam uktam /
   saṃprati snānādivatpuruṣārthatve puruṣasaṃskāratve 'pyadoṣa	saMprati snAna Adi vat puruza arTa tve puruza saMskAra tve api adoza 
   ityāha puruṣārthatve 'pyācārasyeti /	iti Aha  puruza arTa tve api AcArasya iti /
   tadevaṃ caraṇaśabdenācāravācinā sarvo 'nuśayo lakṣita ityuktam //10//	tat evam caraNa Sabdena AcAra vAcinA sarvaH anuSayaH lakzitaH iti uktam //10//
   START BsVBh_3,1.2.11	START BsVBh_3,1.2.11
   bādaristu mukhya eva caraṇaśabdaḥ karmaṇītyāha 	bAdariH tu muKyaH eva caraNa SabdaH karmaNi iti Aha 
   sukṛtaduṣkṛte eveti tu bādariḥ | BBs_3,1.11 |	sukRta duzkRte eva iti tu bAdariH | BBH _3,1.11 |
   brahmaṇaparivrājakanyāyo gobalīvardanyāyaḥ /	brahmaNa parivrAjaka nyAyaH go balIvarda nyAyaH /
   śeṣamatirohitārtham //11//	Sezam ati rohita arTam //11//
   START BsVBh_3,1.3.12	START BsVBh_3,1.3.12
   aniṣṭādikāriṇāmapi ca śrutam | BBs_3,1.12 |	anizwa Adi kAriNAm api ca Srutam | BBH _3,1.12 |
   'ye vai ke cāsmāllokātprayanti candramasameva te sarve gacchanti'iti	aye vE ke ca asmAt lokAt prayanti candramasam eva te sarve gacCanti aiti
   kauṣītakināṃ samāmnānāt, dehārambhasya ca	kOzItakinAm samAmnAnAt, deha AramBasya ca
   candralokagamanamantareṇānupapatteḥ pañcamyāmāhutāvityāhitisaṃkhyāniyamāt	candra loka gamanam antareNa anupapatteH paQcamyAm AhutO= iti Ahiti saMKyA niyamAt
   tathāhi dyusomavṛṣṭyannaretaḥpariṇāmakrameṇa tā evāpo yoṣidagnau hutāḥ	taTA hi dyu soma vRzwi annaretaH pariNAma krameNa tAH eva apaH yozit agnO hutAH
   puruṣavacaso bhavantītyaviśeṣeṇa śrutam /	puruza vacasaH Bavanti iti aviSezeNa Srutam /
   na caitanmanuṣyābhiprāyaṃ, kapūyacaraṇāḥ svayonimityamanuṣyasyāpi śravaṇāt	na ca etat manuzya aBiprAyaM, kapUya caraNAH sva yonim iti amanuzyasya api SravaNAt 
   gamanāgamanāya ca devayānapitṛyāṇayoreva mārgayorāmnānāt,	gamana AgamanAya ca deva yAna pitRyANayoH eva mArgayoH AmnAnAt,
   pathyantarasyāśruteḥ, 'jāyasva mriyasveti tṛtīyaṃ sthānam'iti ca	paTi antarasya aSruteH, ajAyasva mriyasva iti tRtIyam sTAnam aiti ca
   sthānatvamātreṇāvagamātpathitvenāpratīteścandralokādavatīrṇānāmapi ca	sTAna tva mAtreNa avagamAt paTitvena apratIteH candra lokAt avatIrNAnAm api ca
   tatsthānatvasaṃbhavādasaṃpūraṇena prativacanopapatteḥ, ananyamārgatayā ca	tad sTAna tva saMBavAt asaMpUraNena prativacana upapatteH, ananya mArga tayA ca
   tadbhogavirahiṇāmapi grāmaṃ gacchan	tad Boga virahiNAm api grAmam gacCan
   vṛkṣamūlānyupasarpatītivatsaṃyamanādiṣu yamavaśyatāyai	vRkza mUlAni upasarpa ti iti vat saMyamana Adizu yama vaSya tAyE
   candralokagamanopapatteḥ, 'na	candra loka gamana upapatteH, ana
   katareṇacana'ityasyāsaṃpūraṇapratipādanaparatayā	katareNacana aiti asya asaMpUraNa pratipAdana para tayA
   mārgadvayaniṣedhaparatvābhāvāt, aniṣṭādikāriṇāmapi candralokagamane prāpte	mArga dvaya nizeDa paratva aBAvAt, anizwa Adi kAriNAm api candra loka gamane prApte
   'bhidhīyate satyaṃ sthānatayāvagatasya na mārgatvaṃ tathāpi vettha	aBiDIyate  satyam sTAna tayA avagatasya na mArga tvam taTA api vetTa
   yathāsau mārgo na saṃpūryate ityasya prativacanāvasare	yaTA asO mArgaH na saMpUryate iti asya prativacana avasare
   mārgadvayaniṣedhapūrvaṃ tṛtīyaṃ sthānamabhivadannasaṃpūraṇāya	mArga dvaya nizeDa pUrvam tRtIyam sTAnam aBivadan= asaMpUraNAya
   tatpratipakṣamācakṣīta /	tat pratipakzam AcakzIta /
   yadi punastenaiva mārgeṇāgatya janmamaraṇaprabandhavat sthānamadhyāsīta	yadi punar tena eva mArgeNa Agatya janma maraNa prabanDa vat sTAnam aDyAsIta
   naitattṛtīyaṃ sthānaṃ bhavet /	na etat tRtIyam sTAnam Bavet /
   nahīṣṭādikāriṇaścandramaṇḍalādavaruhya ramaṇīyāṃ ninditāṃ vā yoniṃ	na hi izwa Adi kAriNaH candra maNxalAt avaruhya ramaNIyAm ninditAm vA yonim
   pratipadyamānāstṛtīyaṃ sthānaṃ pratipadyante /	pratipadyamAnAH tRtIyam sTAnam pratipadyante /
   tatkasya hetoḥ /	tat kasya hetoH /
   pitṛyāṇena pathāvarohāt /	pitRyANena paTA avarohAt /
   tadyadi kṣudrajantavo 'pyanenaiva pathāvaroheyuḥ, naitadeṣāṃ	tat yadi kzudra jantavaH api anena eva paTA avaroheyuH, na etat ezAm
   janmamaraṇaprabandhavattṛtīyaṃ sthānaṃ bhavet /	janma maraNa prabanDavat tRtIyam sTAnam Bavet /
   tato 'vagacchāmaḥ saṃyamanaṃ sapta ca yātanābhūmīryamavaśatayā	tatas avagacCAmaH saMyamanam sapta ca yAtanA BUm Iryam avaSatayA
   pratipadyamānā aniṣṭādikāriṇo na candramaṇḍalādavarohantīti /	pratipadyamAnAH anizwa Adi kAriNaH na candra maNxalAt avarohanti iti /
   tasmāt 'ye vai ke ca'itīṣṭādikāriviṣayaṃ na sarvaviṣayam /	tasmAt aye vE ke ca aiti izwa Adi kAri vizayam na sarva vizayam /
   pañcamyāmāhutāviti ca svārthavidhānaparaṃ na	paQcamyAm AhutO= iti ca sva arTa viDAna param na
   punarapañcamyāhutipratiṣedhaparamapi, vākyabhedaprasaṅgāt /	punar apaQcamya Ahuti pratizeDa param api, vAkya Beda prasaFgAt /
   saṃyamane tvanubhūyeti sūtreṇāvarohāpādānatayā	saMyamane tu anuBUya iti sUtreNa avaroha apAdAna tayA
   saṃyamanasyopādānāccandramaṇḍalāpādānaniṣedha āñjasaḥ /	saMyamanasya upAdAnAt candra maNxala apAdAna nizeDaH AQjasaH /
   tathāca siddhāntasūtrameva /	taTA ca sidDAnta sUtram eva /
   pūrvapakṣasūtratve tu śaṅkāntarādhyāhāreṇa kathañcidgamayitavyam /	pUrva pakza sUtra tve tu SaFkA antara aDyAhAreNa kaTaQcid gamayitavyam /
   jīvajañjarāyujam /	jIva jaQjarAyu jam /
   saṃśokajaṃsaṃsvedajam //12//	saMSoka jaMsaMsveda jam //12//
   START BsVBh_3,1.3.13	START BsVBh_3,1.3.13
   saṃyamane tv anubhūyetareṣāmārohāv arohau tadgatidarśanāt | BBs_3,1.13 |	saMyamane tu anuBUya itarezAm ArohO arohO tad gati darSanAt | BBH _3,1.13 |
   START BsVBh_3,1.3.14	START BsVBh_3,1.3.14
   smaranti ca | BBs_3,1.14 |	smaranti ca | BBH _3,1.14 |
   START BsVBh_3,1.3.15	START BsVBh_3,1.3.15
   api ca sapta | BBs_3,1.15 |	api ca sapta | BBH _3,1.15 |
