   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   K.081b/ kāryaṃ tu kāryiṇām eva niścitaṃ na (vicālayet //	K.081b/ kAryam tu kAryiNAm eva niScitam na (vicAlayet //
   [kārya.nirṇetṛṛṇāṃ guru.lāghavam]	[kArya.-nirNetRRNAm guru.-lAGavam]
   K.082a/ kulāni śreṇayaś ca^eva gaṇas tv adhikṛto nṛpaḥ /	K.082a/ kulAni SreNayaH ca^eva gaNaH tu aDikRtaH nRpaH /
   K.082b/ pratiṣṭhā vyavahārāṇāṃ gurvebhyas tu^uttarottaram //	K.082b/ pratizWA vyavahArANAm guru-eByaH tu^uttarottaram //
   K.083a/ tapasvināṃ tu kāryāṇi traividyair eva (kārayet /(p.14)	K.083a/ tapasvinAm tu kAryANi trEvidyEH eva (kArayet /(p.14)
   K.083b/ māyā.yoga.vidāṃ ca^eva na svayaṃ kopa.kāraṇāt //	K.083b/ mAyA.-yoga.vidAm ca^eva na svayam kopa.kAraNAt //
   K.084a/ samyag.vijñāna.saṃpanno na^upadeśaṃ (prakalpayet /	K.084a/ samyak-.vijQAna.-saMpannaH na^upadeSam (prakalpayet /
   K.084b/ utkṛṣṭa.jāti.śīlānāṃ gurv.ācārya.tapasvinām //	K.084b/ utkRzwa-.-jAti.-SIlAnAm guru-.AcArya.-tapasvinAm //
   K.085a/ gotra.sthitis tu yā teṣāṃ kramād (āyāti dharmataḥ /	K.085a/ gotra.-sTitiH tu yA tezAm kramAt (a-AyAti DarmataH /
   K.085b/ kula.dharmaṃ tu taṃ (prāhuḥ (pālayet tam tathā^eva tu //	K.085b/ kula.-Darmam tu tam (prAhuH (pAlayet tam taTA^eva tu //
   [praśna.prakāraḥ]	[praSna.-prakAraH]
   K.086a/ kāle kārya.arthinaṃ (pṛcchet praṇataṃ purataḥ sthitam /	K.086a/ kAle kArya-.arTinam (pRcCet praNatam puratas sTitam /
   K.086b/ kiṃ kāryaṃ kā ca te pīḍā mā bhaiṣīr (brūhi mānava //	K.086b/ kim kAryam kA ca te pIxA mA BEzIH (brUhi mAnavaH //
   K.087a/ kena kasmin kadā kasmāt (pṛcched evaṃ sabhā.gataḥ /	K.087a/ kena kasmin kadA kasmAt (pRcCet evam saBA.gataH /
   K.087b/ evaṃ pṛṣṭaḥ sa yad (brūyāt tat sabhyair brāhmaṇaḥ sahaḥ //	K.087b/ evam pRzwaH sa yat (brUyAt tat saByEH brAhmaNaH sahaH //
   K.088a/ (vimṛśya kāryaṃ nyāyyaṃ ced āhvāna.artham ataḥ param /	K.088a/ (vimRSya kAryam nyAyyam ced AhvAna-.arTam atas param /
   K.088b/ mudrāṃ vā (nikṣipet tasmin puruṣaṃ vā (samādiśet //	K.088b/ mudrAm vA (nikzipet tasmin puruzam vA (samAdiSet //
   [pratinidhiḥ]	[pratiniDiH]
   K.089a/ samarpito^arthinā yo^anyaḥ paro dharma.adhikāriṇi /	K.089a/ samarpitaH-^arTinA yaH-^anyaH paraH Darma-.aDikAriNi /
   K.089b/ prativādī sa vijñeyaḥ pratipannaś ca yaḥ svayam //	K.089b/ prativAdI sa vijQeyaH pratipannaH ca yaH svayam //
   K.090a/ adhikāro^abhiyuktasya na^itarasya^asti^asaṅgateḥ /(p.15)	K.090a/ aDikAraH-^aBiyuktasya na^itarasya^asti^asaFgateH /(p.15)
   K.090b/ itaro^apy abhiyuktena pratirodhi.kṛto mataḥ //	K.090b/ itaraH-^api aBiyuktena pratiroDi.kRtaH mataH //
   K.091a/ arthinā saṃniyukto vā pratyarthi.prahito^api vā /	K.091a/ arTinA saMniyuktaH vA pratyarTi.-prahitaH-^api vA /
   K.091b/ yo yasya^arthe (vivadate tayor jaya.parājayau //	K.091b/ yaH yasya^arTe (vivadate tayoH jaya.-parAjayO //
   K.092a/ dāsāḥ karma.karāḥ śiṣyā niyuktā bāndhavās tathā /	K.092a/ dAsAH karma-.karAH SizyAH niyuktAH bAnDavAH taTA /
   K.092b/ vādino na ca daṇḍyāḥ (syuḥ yas tv ato^anyaḥ sa daṇḍa.bhāk //	K.092b/ vAdinaH na ca daNxyAH (syuH yaH tu atas-^anyaH sa daNxa.BAj //
   K.093a/ brahmahatyā.surāpāna.steya.gurvaṅganāgame /	K.093a/ brahma-hatyA.surA-pAna.-steya.-guru-aFganA-Agame /
   K.093b/ anyeṣu ca^atipāpeṣu prativādī na (dīyate //	K.093b/ anyezu ca^ati-pApezu prativAdI na (dIyate //
   K.094a/ manuṣya.māraṇe (steye para.dāra.abhimarśane /	K.094a/ manuzya.-mAraNe (steye para.dAra-.aBimarSane /
   K.094b/ abhakṣya.bhakṣaṇe ca^eva kanyā.haraṇa.dūṣaṇe //	K.094b/ aBakzya.-BakzaNe ca^eva kanyA.haraNa.dUzaNe //
   K.095a/ pāruṣye kūṭa.karaṇe nṛpa.drohe tathā^eva ca /	K.095a/ pAruzye kUwa.karaNe nRpa.-drohe taTA^eva ca /
   K.095b/ prativādī na dātavyaḥ kartā tu (vivadet svayam //	K.095b/ prativAdI na dAtavyaH kartA tu (vivadet svayam //
   [āhvānaṃ]	[a-AhvAnaM]
   K.096a/ dharma.utsukān abhyudaye rogiṇo^atha jaḍān api /	K.096a/ Darma-.utsukAn aByudaye rogiNaH-^aTa jaxAn api /
   K.096b/ asvastha.matta.unmatta.arta.striyo na^(āhvānayen nṛpaḥ //	K.096b/ asvasTa.-matta.-unmatta-.arta.-striyaH na^(AhvA-Anayet nRpaH //
   K.097a/ na hīna.pakṣāṃ yuvatiṃ kule jātāṃ prasūtikām /(p.16)	K.097a/ na hIna.-pakzAm yuvatim kule jAtAm prasUtikAm /(p.16)
   K.097b/ sarva.varṇa.uttamāṃ kanyāṃ tā jñāti.prabhukāḥ smṛtāḥ //	K.097b/ sarva.varNa.uttamAm kanyAm tAH jQAti.-praBukAH smRtAH //
   K.098a/ tad.adhīna.kuṭumbinyaḥ svairiṇyo gaṇikāś ca yāḥ /	K.098a/ tad-.aDIna.kuwumbinyaH svEriNyaH gaNikAH ca yAH /
   K.098b/ niṣkulā yāś ca patitās tāsām āhvānam (iṣyate //	K.098b/ nizkulAH yAH ca patitAH tAsAm AhvAnam (izyate //
   K.099a/ saśastro^anuttarīyo vā mukta.keśaḥ sahāsanaḥ /	K.099a/ sa-SastraH-^anuttarIyaH vA mukta-.keSaH saha-AsanaH /
   K.099b/ vāmahas tena vā vādaṃ vadan daṇḍam (avāpnuyāt //	K.099b/ vAma-haH tena vA vAdam vadan daNxam (avApnuyAt //
   K.100a/ āhūtas tv (avamanyeta yaḥ śakto rāja.śāsanam /	K.100a/ AhUtaH tu (avamanyeta yaH SaktaH rAja.-SAsanam /
   K.100b/ tasya (kuryān nṛpo daṇḍaṃ vidhi.dṛṣṭena karmaṇā //	K.100b/ tasya (kuryAt nRpaH daNxam viDi.dRzwena karmaNA //
   K.101a/ hīne karmāṇi pañcāśat.madhyame dviśata.avaraḥ /	K.101a/ hIne karmANi paQcASat.maDyame dvi-Sata-.avaraH /
   K.101b/ guru.kāryeṣu daṇḍaḥ (syān nityaṃ pañcaśata.avaraḥ //	K.101b/ guru.-kAryezu daNxaH (syAt nityam paQca-Sata-.avaraH //
   K.102a/ kalpito yasya yo daṇḍas tv aparādhasya yatnataḥ /	K.102a/ kalpitaH yasya yaH daNxaH tu aparADasya yatnatas /
   K.102b/ paṇānāṃ grahaṇaṃ tu (syāt tan.mūlyaṃ vā^atha rājani //	K.102b/ paNAnAm grahaNam tu (syAt tan.-mUlyam vA^aTa rAjani //
   [āsedhaḥ]	[AseDaH]
   K.103a/ (utpādayati yo hiṃsāṃ deyaṃ vā na (prayacchati /	K.103a/ (utpAdayati yaH hiMsAm deyam vA na (prayacCati /
   K.103b/ yācam (ānāya dauḥśīlyād ākṛṣyo^asau nṛpa.ājñayā //	K.103b/ yAcam (AnAya dOHSIlyAt AkRzyaH-^asO nRpa.AjQayA //
   K.104a/ (āvedya tu nṛpe kāryam asaṃdigdhe pratiśrute /	K.104a/ (a-Avedya tu nRpe kAryam asaMdigDe pratiSrute /
   K.104b/ tad.āsedhaṃ (prayuñjīta yāvad āhvāna.darśanam //	K.104b/ tat-.AseDam (prayuQjIta yAvat AhvAna.-darSanam //
   K.105a/ āsedha.yogya āsiddha utkrāman daṇḍam (arhati //(p.17)	K.105a/ AseDa.-yogyaH AsidDaH utkrAman daNxam (arhati //(p.17)
   [anāsedhyāḥ]	[anA-seDyAH]
   K.106a/ yas tv indriya.nirodhena vyāhāra.ucchvasana.ādibhiḥ /	K.106a/ yaH tu indriya.-niroDena vyAhAra-.ucCvasana-.AdiBiH /
   K.106b/ (āsedhayed anāsedhyaṃ sa daṇḍyo na tv atikramī //	K.106b/ (a-AseDayet anAseDyam sa daNxyaH na tu atikramI //
   K.107a/ vṛkṣa.parvatam ārūḍhā hasty.aśva.ratha.nau.sthitāḥ /	K.107a/ vRkza.parvatam ArUXAH hasti-.aSva.-raTa.nO.sTitAH /
   K.107b/ viṣama.sthāś ca te sarve na^asedhyāḥ kārya.sādhakaiḥ //	K.107b/ vizama.-sTAH ca te sarve na^aseDyAH kArya.-sADakEH //
   K.108a/ vyādhyārtā vyasana.sthāś ca yajamānās tathā^eva ca /	K.108a/ vyADi-ArtAH vyasana.-sTAH ca yajamAnAH taTA^eva ca /
   K.108b/ anuttīrṇāś ca na^āsedhyā matta.unmatta.jaḍās tathā //	K.108b/ anuttIrNAH ca na^AseDyAH matta.unmatta.-jaxAH taTA //
   K.109a/ na karṣako bīja.kāle senā.kāle tu sainikaḥ /	K.109a/ na karzakaH bIja.kAle senA.kAle tu sEnikaH /
   K.109b/ pratijñāya prayātaś ca kṛta.kālaś ca na^antarā //	K.109b/ pratijQAya prayAtaH ca kRta.kAlaH ca na^antarA //
   K.110a/ udyuktaḥ karṣakaḥ sasye toyasya^āgamane tathā /	K.110a/ udyuktaH karzakaH sasye toyasya^Agamane taTA /
   K.110b/ ārambhāt saṃgrahaṃ yāvat tat.kālaṃ na (vivādayet /	K.110b/ AramBAt saMgraham yAvat tat.kAlam na (vivAdayet /
   K.110c/ āsedhayaṃs tv anāsedhyaṃ rajñā śāsya iti sthitiḥ //	K.110c/ AseDayan tu anAseDyam rajQA SAsyaH iti sTitiH //
   K.111a/ abhiyuktaś ca ruddhaś ca (tiṣṭheyuś ca nṛpa.ājñayā /	K.111a/ aBiyuktaH ca rudDaH ca (tizWeyuH ca nRpa.AjQayA /
   K.111b/ na tasya^anyena kartavyam abhiyuktaṃ (vidur budhāḥ //	K.111b/ na tasya^anyena kartavyam aBiyuktam (viduH buDAH //
   K.112a/ eka.āha.dvi.āha.ādi.apekṣaṃ deśa.kāla.ādi.apekṣayā /	K.112a/ eka.Aha.dvi.Aha-.Adi-.apekzam deSa.-kAla-.Adi-.apekzayA /
   K.112b/ dūtāya sādhite kārye tena bhaktaṃ (pradāpayet //	K.112b/ dUtAya sADite kArye tena Baktam (pradApayet //
   K.113a/ deśa.kāla.vayaḥ.śakti.ādi.apekṣaṃ bhojanaṃ smṛtam /(p.18)	K.113a/ deSa.-kAla-.vayaH.-Sakti-.Adi-.apekzam Bojanam smRtam /(p.18)
   K.113b/ ākārakasya sarvatra iti tattva.vido (viduḥ //	K.113b/ AkArakasya sarvatra iti tattva.vidaH (viduH //
   [pratibhūtvena^agrāhyāḥ]	[pratiBU-tvena^agrAhyAH]
   K.114a/ na svāmī na ca vai śatruḥ svāminā^adhikṛtas tathā /	K.114a/ na svAmI na ca vE SatruH svAminA^aDikRtaH taTA /
   K.114b/ niruddho daṇḍitaś ca^eva saṃśaya.sthāś ca na kvacit //	K.114b/ nirudDaH daNxitaH ca^eva saMSaya.-sTAH ca na kvacid //
   K.115a/ na^eva rikthī na riktaś ca na ca^eva^atyanta.vāsinaḥ /	K.115a/ na^eva rikTI na riktaH ca na ca^eva^atyanta.vAsinaH /
   K.115b/ rāja.kārya.niyuktaś ca ye ca pravrajitā narāḥ //	K.115b/ rAja.-kArya.-niyuktaH ca ye ca pravrajitAH narAH //
   K.116a/ na^aśakto dhanine dātuṃ daṇḍaṃ rājñe ca tat.samam /	K.116a/ na^aSaktaH Danine dAtum daNxam rAjQe ca tat.samam /
   K.116b/ jīvan vā^api pitā yasya tathā^eva^icchā.pravartakaḥ /	K.116b/ jIvan vE-^api pitA yasya taTA^eva^icCA.-pravartakaH /
   K.116c/ na^avijñāto grahītavyaḥ pratibhūtva.kriyāṃ prati //	K.116c/ na^avijQAtaH grahItavyaH pratiBU-tva.-kriyAm prati //
   K.117a/ atha cet pratibhūr na^asti vāda.yogyasya vādinaḥ /	K.117a/ aTa ced pratiBUH na^asti vAda.-yogyasya vAdinaH /
   K.117b/ sa rakṣito dinasya^ante (dadyād dūtāya vetanam //	K.117b/ sa rakzitaH dinasya^ante (dadyAt dUtAya vetanam //
   K.118a/ dvijātiḥ pratibhū.hīno rakṣyaḥ (syād bāhya.cāribhiḥ /	K.118a/ dvijAtiH pratiBU.-hInaH rakzyaH (syAt bAhya.-cAriBiH /
   K.118b/ śūdra.ādīn pratibhū.hīnān (bandhayen nigaḍena tu //	K.118b/ SUdra-.AdIn pratiBU.-hInAn (banDayet nigaxena tu //
   K.119a/ atikrame^apayāte ca (daṇḍayet taṃ paṇa.aṣṭakam /	K.119a/ atikrame^apayAte ca (daNxayet tam paNa-.azwakam /
   K.119b/ nitya.karma.aparodhas tu kāryaḥ sarva.varṇinām //	K.119b/ nitya.karma-.aparoDaH tu kAryaH sarva.varNinAm //
   K.120a/ grahīta.grahaṇo nyāye na pravartyo mahībhṛtā /	K.120a/ grahIta.grahaNaH nyAye na pravartyaH mahIBRtA /
   K.120b/ tasya vā tat.samarpyaṃ (syāt (sthāpayed vā parasya tat //	K.120b/ tasya vA tat.samarpyam (syAt (sTApayet vA parasya tat //
   [abhiyoktra.ādīnām uktikramaḥ]	[aBiyoktra-.a-AdInAm ukti-kramaH]
   K.121a/ tatra^abhiyoktā prāg brūyād abhiyuktas tv anantaram /	K.121a/ tatra^aBiyoktA prAk brUyAt aBiyuktaH tu anantaram /
   K.121b/ tayor ante sadasya^(astu prāḍvivākas tataḥ param //	K.121b/ tayoH ante sadasya^(aH-tu prAxvivAkaH tatas param //
   K.122a/ yasya (syād adhikā pīḍā kāryaṃ vā^api^adhikaṃ (bhavet /	K.122a/ yasya (syAt aDikA pIxA kAryam vE-^api^aDikam (Bavet /
   K.122b/ pūrvapakṣo (bhavet tasya na yaḥ pūrvaṃ (nivedayet //	K.122b/ pUrva-pakzaH (Bavet tasya na yaH pUrvam (nivedayet //
   K.123a/ yasya vā^artha.gatā pīḍā śārīrī vā^adhikā (bhavet /	K.123a/ yasya vA^arTa.-gatA pIxA SArIrI vE-^aDikA (Bavet /
   K.123b/ tasya^arthi.vādo dātavyo na yaḥ pūrvaṃ (nivedayet //	K.123b/ tasya^arTi.vAdaH dAtavyaH na yaH pUrvam (nivedayet //
   [pratijñā.svarūpam]	[pratijQA.-svarUpam]
   K.124a/ (niveśya kālaṃ varṣaṃ ca māsaṃ pakṣaṃ tirthi tathā /	K.124a/ (niveSya kAlam varzam ca mAsam pakzam tirTi taTA /
   K.124b/ velāṃ pradeśaṃ viṣayaṃ sthānaṃ jāty.ākṛtī vayaḥ //	K.124b/ velAm pradeSam vizayam sTAnam jAti-.a-AkRtI vayaH //
   K.125a/ sādhya.pramāṇaṃ dravyaṃ ca saṃkhyāṃ nāma tathā^ātmanaḥ /	K.125a/ sADya.pramANam dravyam ca saMKyAm nAma taTA^AtmanaH /
   K.125b/ rājñāṃ ca kramaśo nāma nivāsaṃ sādhya.nāma ca //	K.125b/ rAjQAm ca kramaSas nAma nivAsam sADya.nAma ca //
   K.126a/ kramāt pitṛṛṇāṃ nāmāni pīḍāṃ ca^āhartṛ.dāyakau /	K.126a/ kramAt pitRRNAm nAmAni pIxAm ca^AhartR.dAyakO /
   K.126b/ kṣamā.liṅgāni ca^anyāni pakṣaṃ (saṃkīrtya (kalpayet //	K.126b/ kzamA.-liFgAni ca^anyAni pakzam (saMkIrtya (kalpayet //
   K.127a/ deśaś ca^eva tathā sthānaṃ saṃniveśas tathā^eva ca /	K.127a/ deSaH ca^eva taTA sTAnam saMniveSaH taTA^eva ca /
   K.127b/ jātiḥ saṃjñā nivāsaś ca pramāṇaṃ kṣetra.nāma ca //	K.127b/ jAtiH saMjQA nivAsaH ca pramANam kzetra.nAma ca //
   K.128a/ pitṛ.paitāmahaṃ ca^eva pūrva.rāja.anukīrtanam /	K.128a/ pitR.pEtAmaham ca^eva pUrva.rAja-.-anukIrtanam /
   K.128b/ sthāvareṣu vivādeṣu daśaitāni (niveśayet //	K.128b/ sTAvarezu vivAdezu daSa-etAni (niveSayet //
   K.129a/ rāga.ādīnāṃ yad ekena kopitaḥ karaṇe (vadet /	K.129a/ rAga.AdInAm yat ekena kopitaH karaNe (vadet /
   K.129b/ tad om iti (likhet sarvaṃ vādinaḥ phalaka.ādiṣu //	K.129b/ tat om iti (liKet sarvam vAdinaH Palaka.a-Adizu //
   K.130a/ adhikān (śodhayed arthān nyūnāṃś ca (pratipūrayet /	K.130a/ aDikAn (SoDayet arTAn nyUnAn ca (pratipUrayet /
   K.130b/ bhūmau (niveśayet tāvad yāvat pakṣaḥ pratiṣṭhitaḥ //	K.130b/ BUmO (niveSayet tAvat yAvat pakzaH pratizWitaH //
   K.131a/ pūrva.pakṣaṃ svabhāva.uktaṃ prāḍvivāko^(abhilekhayet /	K.131a/ pUrva.pakzam svaBAva-.uktam prAxvivAkaH-^(aBileKayet /
   K.131b/ pāṇḍu.lekhena phalake tataḥ patre viśodhitam //	K.131b/ pANxu.-leKena Palake tatas patre viSoDitam //
   K.132a/ anyad uktaṃ (likhed anyad yo^arthi.pratyarthināṃ vacaḥ /	K.132a/ anyat uktam (liKet anyat yaH-^arTi.-pratyarTinAm vacaH /
   K.132b/ cauravat^(śāsayet taṃ tu dhārmikaḥ pṛthivī.patiḥ //	K.132b/ cOra-vat-^(SAsayet tam tu DArmikaH pRTivI.-patiH //
   K.133a/ sa.ullekhanaṃ vā (labhate try ahaṃ sapta^aham eva vā /	K.133a/ sa.ulleKanam vA (laBate tri aham sapta^aham eva vA /
   K.133b/ matir (utpadyate yāvad vivāde (vaktum icchataḥ //	K.133b/ matiH (utpadyate yAvat vivAde (vaktum icCataH //
   K.134a/ yasmāt kārya.samārambhāt^cirāt tena viniścayaḥ /(p.21)	K.134a/ yasmAt kArya.-samAramBAt-^cirAt tena viniScayaH /(p.21)
   K.134b/ tasmāt na (labhate kālam abhiyuktas tu kāla.bhāk //	K.134b/ tasmAt na (laBate kAlam aBiyuktaH tu kAla.BAj //
   K.135a/ matir na^(utsahate yatra vivāde kāryam icchatoḥ /	K.135a/ matiH na^(utsahate yatra vivAde kAryam icCatoH /
   K.135b/ dātavyas tatra kālaḥ (syād arthi.pratyarthinor api //	K.135b/ dAtavyaH tatra kAlaH (syAt arTi.-pratyarTinoH api //
   [pratijñā.doṣāḥ (pūrva.pakṣa.doṣāḥ)]	[pratijQA.-dozAH (pUrva.-pakza.-dozAH)]
   K.136a/ yaś ca rāṣṭra.viruddhaś ca yaś ca rājñā vivarjitaḥ /	K.136a/ yaH ca rAzwra.virudDaH ca yaH ca rAjQA vivarjitaH /
   K.136b/ aneka.pada.saṃkīrṇaḥ pūrva.pakṣo na (siddhyati //	K.136b/ aneka-.pada.-saMkIrNaH pUrva.pakzaH na (sidDi-ati //
   K.137a/ bahu.pratijñaṃ yat kāryaṃ vyavahāreṣu niścitam /	K.137a/ bahu.-pratijQam yat kAryam vyavahArezu niScitam /
   K.137b/ kāmaṃ tad api (gṛhṇīyād rājā tattva.bubhutsayāa //	K.137b/ kAmam tat api (gRhNIyAt rAjA tattva.buButsayAa //
   K.138a/ deśa.kāla.vihīnaś ca dravya.saṃkhyā.vivarjitaḥ //	K.138a/ deSa.-kAla.-vihInaH ca dravya.-saMKyA.-vivarjitaH //
   K.138b/ sādhya.pramāṇa.hīnaś ca pakṣo^anādeya (iṣyate //	K.138b/ sADya.-pramANa.-hInaH ca pakzaH-^anAdeya (izyate //
   K.139a/ nyāya.sthaṃ na^icchate (kartum anyāyaṃ vā (karoti^ayam /	K.139a/ nyAya.-sTam na^icCate (kartum anyAyam vA (karoti-^ayam /
   K.139b/ na (lekhayati yat tv evaṃ tasya pakṣo na (sidhyati //	K.139b/ na (leKayati yat tu evam tasya pakzaH na (siDyati //
   K.140a/ aprasiddhaṃ nirābādhaṃ nirarthaṃ niṣprayojanam /	K.140a/ aprasidDam nirAbADam nirarTam nizprayojanam /
   K.140b/ asādhyaṃ vā viruddhaṃ vā pakṣa.ābhāsaṃ (vivarjayet //	K.140b/ asADyam vA virudDam vA pakza.ABAsam (vivarjayet //
   K.141a/ pratijñā.doṣa.nirmuktaṃ sādhyaṃ sat.kāraṇa.anvitam /(p.22)	K.141a/ pratijQA.doza.-nirmuktam sADyam sat.kAraNa-.anvitam /(p.22)
   K.141b/ niścitaṃ loka.siddhaṃ ca pakṣaṃ pakṣa.vido (viduḥ //	K.141b/ niScitam loka.sidDam ca pakzam pakza.-vidaH (viduH //
   K.142a/ svalpa.akṣaraḥ prabhūta.artho niḥsaṃdigdho nirākulaḥ /	K.142a/ su-alpa-.akzaraH praBUta-.arTaH niHsaMdigDaH nirAkulaH /
   K.142b/ virodhi.kāraṇair mukto virodhi.pratiṣedhakaḥ //	K.142b/ viroDi.-kAraNEH muktaH viroDi.pratizeDakaH //
   K.143a/ yadā tv evaṃ vidhaḥ pakṣaḥ kalpitaḥ pūrva.vādinā /	K.143a/ yadA tu evam viDaH pakzaH kalpitaH pUrva.vAdinA /
   K.143b/ dadyāt tat.pakṣa.saṃbaddhaṃ prativādī tadā^uttaram //	K.143b/ dadyAt tat.-pakza.-saMbadDam prativAdI tadA^uttaram //
   K.144a/ śrāvyamāṇo^arthinā yatra yo hi^artho na vighātitaḥ /	K.144a/ SrAvyamANaH-^arTinA yatra yaH hi^arTaH na viGAtitaH /
   K.144b/ dāna.kāle^athavā tūṣṇīṃ sthitaḥ so^artho^anumoditaḥ //	K.144b/ dAna.-kAle^aTavA tUzNIm sTitaH saH-^arTaH-^anumoditaH //
   [uttaraṃ sadyo dātavyaṃ kāla.antareṇa vā dātavyam]	[uttaram sadyas dAtavyam kAla.antareNa vA dAtavyam]
   K.145a/ śrutvā lekhya.gataṃ tv arthaṃ pratyarthī kāraṇād yadi /	K.145a/ SrutvA leKya.-gatam tu arTam pratyarTI kAraNAt yadi /
   K.145b/ kālaṃ vivāde (yāceta tasya deyo na saṃśayaḥ //	K.145b/ kAlam vivAde (yAceta tasya deyaH na saMSayaH //
   K.146a/ sadyo vā^ekāha.pañcāha.tryahaṃ vā guru.lāghavāt /	K.146a/ sadyas vE-^eka-aha.paQca-aha.tri-aham vA guru.-lAGavAt /
   K.146b/ (labheta^asau tripakṣaṃ vā saptāhaṃ vā ṛṇa.ādiṣu //	K.146b/ (laBeta^asO tri-pakzam vA sapta-aham vE RNa.Adizu //
   K.147a/ kālaṃ śaktiṃ (viditvā tu kāryāṇāṃ ca bala.abalam /	K.147a/ kAlam Saktim (viditvA tu kAryANAm ca bala.abalam /
   K.147b/ alpaṃ vā bahu vā kālaṃ (dadyāt pratyarthine prabhuḥ //	K.147b/ alpam vA bahu vA kAlam (dadyAt pratyarTine praBuH //
   K.148a/ dinaṃ māsa.ardhamāsau vā ṛtuḥ saṃvatsaro^api vā /(p.23)	K.148a/ dinam mAsa-.arDa-mAsO vE RtuH saMvatsaraH-^api vA /(p.23)
   K.148b/ kriyā.sthiti.anurūpas tu deyaṃ kālaḥ pareṇa tu //	K.148b/ kriyA.-sTiti.anurUpaH tu deyam kAlaH pareNa tu //
   K.149a/ (vyapaiti gauravaṃ yatra vināśas tyāga eva vā /	K.149a/ (vyapEti gOravam yatra vinASaH tyAgaH eva vA /
   K.149b/ kālaṃ tatra na (kurvīta kāryam ātyayikaṃ hi tat //	K.149b/ kAlam tatra na (kurvIta kAryam Atyayikam hi tat //
   K.150a/ dhenāu^anaḍuhi kṣetre strīṣu prajanane tathā /	K.150a/ DenAu^anaxuhi kzetre strIzu prajanane taTA /
   K.150b/ nyāse yācitake datte tathā^eva kraya.vikraye //	K.150b/ nyAse yAcitake datte taTA^eva kraya.-vikraye //
   K.151a/ kanyāyā dūṣaṇe steye kalahe sāhase nidhau /	K.151a/ kanyAyAH dUzaNe steye kalahe sAhase niDO /
   K.151b/ upadhau kauṭa.sākṣye ca sadya eva (vivādayet //	K.151b/ upaDO kOwa.sAkzye ca sadyas eva (vivAdayet //
   K.152a/ sāhasa.steya.pāruṣya.go.^abhiśāpe tathā^atyaye /	K.152a/ sAhasa.-steya.-pAruzya.-go.^aBiSApe taTA^atyaye /
   K.152b/ bhūmau (vivādayet kṣipram akāle^api bṛhaspatiḥ //	K.152b/ BUmO (vivAdayet kzipram akAle^api bRhaspatiH //
   K.153a/ sadyaḥ kṛteṣu kāryeṣu sadya eva (vivādayet /	K.153a/ sadyas kRtezu kAryezu sadyas eva (vivAdayet /
   K.153b/ kāla.atīteṣu vā kālaṃ (dadyāt pratyarthine prabhuḥ //	K.153b/ kAla.atItezu vA kAlam (dadyAt pratyarTine praBuH //
   K.154a/ sadyaḥ kṛte sadya eva māsa.atīte dinaṃ (bhavet /	K.154a/ sadyas kRte sadyas eva mAsa-.atIte dinam (Bavet /
   K.154b/ ṣaḍ.ābdike tri.rātraṃ (syāt sapta.ahaṃ dvādaśa.ābdike //	K.154b/ zaz-.Abdike tri-.rAtram (syAt sapta-.aham dvAdaSa-.Abdike //
   K.155a/ viṃśati.abde daśa.ahaṃ tu māsa.ardhaṃ vā (labheta saḥ /	K.155a/ viMSati-.abde daSa-.aham tu mAsa-.arDam vA (laBeta saH /
   K.155b/ māsaṃ triṃśat.samātīte tri.pakṣaṃ parato (bhavet //	K.155b/ mAsam triMSat.-samAtIte tri.pakzam paratas (Bavet //
   K.156a/ kālaṃ saṃvatsarād arvāk svayam eva yathā^īpsitam /	K.156a/ kAlam saMvatsarAt arvAk svayam eva yaTA^Ipsitam /
   K.156b/ saṃvatsaraṃ jaḍa.unmatta.manaske vyādhi.pīḍite //	K.156b/ saMvatsaram jaxa.-unmatta.-manaske vyADi.pIxite //
   K.157a/ dig.antara.prapanne vā ajñāta.arthe ca vastuni /(p.24)	K.157a/ diS-.antara.-prapanne vA ajQAta-.arTe ca vastuni /(p.24)
   K.157b/ mūlaṃ vā sākṣiṇo vā^atha paradeśe sthitā yadā //	K.157b/ mUlam vA sAkziNaH vE-^aTa para-deSe sTitAH yadA //
   K.158a/ tatra kālo (bhavet puṃsāmā svadeśa.samāgamāt /	K.158a/ tatra kAlaH (Bavet puMsAmA sva-deSa.-samAgamAt /
   K.158b/ datte^api kāle deyaṃ (syāt punaḥ kāryasya gauravāt //	K.158b/ datte^api kAle deyam (syAt punar kAryasya gOravAt //
   K.159a/ pūrva.pakṣa.śruta.arthas tu pratyarthī tad.anantaram /	K.159a/ pUrva.pakza.-Sruta-.arTaH tu pratyarTI tad-.anantaram /
   K.159b/ pūrva.pakṣa.artha.saṃbandhaṃ pratipakṣaṃ (nivedayet //	K.159b/ pUrva.-pakza-.arTa.-saMbanDam pratipakzam (nivedayet //
   K.160a/ ācāra.dravya.dāna.iṣṭa.kṛtya.upasthāna.nirṇaye /	K.160a/ AcAra.dravya-.dAna-.izwa.kRti-a-.upasTAna.-nirNaye /
   K.160b/ na^upasthito yadā kaścit^śalaṃ tatra na (kārayet //	K.160b/ na^upasTitaH yadA kaScid-^Salam tatra na (kArayet //
