   1. brahmakāṇḍam	1. brahma-kANxam
   tathaiva pratipattṝṇāṃ % niyato buddhiṣu kramaḥ // 1.94 //	taTA-eva pratipattLNAm % niyataH budDizu kramaH // 1.94 //
   bhāgavatsv api teṣv eva $ rūpabhedo dhvaneḥ kramāt &	BAgavatsu api tezu eva $ rUpa-BedaH DvaneH kramAt &
   nirbhāgeṣv abhyupāyo vā % bhāgabhedaprakalpanam // 1.95 //	nirBAgezu aByupAyaH vA % BAga-Beda-prakalpanam // 1.95 //
   anekavyaktyabhivyaṅgyā $ jātiḥ sphoṭa iti smṛtā &	aneka-vyakti-aBivyaFgyA $ jAtiH sPowaH iti smRtA &
   kaiś cid vyaktaya evāsyā % dhvanitvena prakalpitāḥ // 1.96 //	kEH cit vyaktayaH eva-asyAH % Dvani-tvena prakalpitAH // 1.96 //
   avikārasya śabdasya $ nimittair vikṛto dhvaniḥ &	avikArasya Sabdasya $ nimittEH vikRtaH DvaniH &
   upalabdhau nimittatvam % upayāti prakāśavat // 1.97 //	upalabDO nimitta-tvam % upayAti prakASa-vat // 1.97 //
   na cānityeṣv abhivyaktir $ niyamena vyavasthitā &	na ca-anityezu aBivyaktiH $ niyamena vyavasTitAH &
   āśrayair api nityānāṃ % jātīnāṃ vyaktir iṣyate // 1.98 //	ASrayEH api nityAnAm % jAtInAm vyaktiH izyate // 1.98 //
   deśādibhiś ca saṃbandho $ dṛṣṭaḥ kāyavatām api &	deSa-AdiBiH ca saMbanDaH $ dRzwaH kAyavatAm api &
   deśabhedavikalpe 'pi % na bhedo dhvaniśabdayoḥ // 1.99 //	deSa-Beda-vikalpe api % na BedaH Dvani-SabdayoH // 1.99 //
   grahaṇagrāhyayoḥ siddhā $ yogyatā niyatā yathā &	grahaNa-grAhyayoH sidDAH $ yogyatA niyatAH yaTA &
   vyaṅgyavyañjakabhāve 'pi % tathaiva sphoṭanādayoḥ // 1.100 //	vyaFgya-vyaQjaka-BAve api % taTA-eva sPowa-nAdayoH // 1.100 //
   sadṛśagrahaṇānāṃ ca $ gandhādīnāṃ prakāśakam &	sadRSa-grahaNAnAm ca $ ganDa-AdInAm prakASakam &
   nimittaṃ niyataṃ loke % pratidravyam avasthitam // 1.101 //	nimittam niyatam loke % pratidravyam avasTitam // 1.101 //
   prakāśakānāṃ bhedāṃś ca $ prakāśyo 'rtho 'nuvartate &	prakASakAnAm BedAn ca $ prakASyaH arTaH anuvartate &
   tailodakādibhede tat % pratyakṣaṃ pratibimbake // 1.102 //	tEla-udaka-Adi-Bede tat % pratyakzam pratibimbake // 1.102 //
   viruddhaparimāṇeṣu $ vajrādarśatalādiṣu &	virudDa-parimANezu $ vajra-AdarSa-tala-Adizu &
   parvatādisarūpāṇāṃ % bhāvānāṃ nāsti saṃbhavaḥ // 1.103 //	parvata-Adi-sarUpANAm % BAvAnAm na-asti saMBavaH // 1.103 //
   tasmād abhinnakāleṣu $ varṇavākyapadādiṣu &	tasmAt aBinna-kAlezu $ varNa-vAkya-pada-Adizu &
   vṛttikālaḥ svakālaś ca % nādabhedād vibhajyate // 1.104 //	vRtti-kAlaH sva-kAlaH ca % nAda-BedAt viBajyate // 1.104 //
   yaḥ saṃyogavibhāgābhyāṃ $ karaṇair upajanyate &	yaH saMyoga-viBAgAByAm $ karaNEH upajanyate &
   sa sphoṭaḥ śabdajāḥ śabdā % dhvanayo 'nyair udāhṛtāḥ // 1.105 //	sa sPowaH Sabda-jAH SabdAH % DvanayaH anyEH udAhRtAH // 1.105 //
   alpe mahati vā śabde $ sphoṭakālo na bhidyate &	alpe mahati vA Sabde $ sPowa-kAlaH na Bidyate &
   paras tu śabdasaṃtānaḥ % pracayāpacayātmakaḥ // 1.106 //	paraH tu Sabda-saMtAnaH % pracaya-apacaya-AtmakaH // 1.106 //
   dūrāt prabheva dīpasya $ dhvanimātraṃ tu lakṣyate &	dUrAt praBA-iva dIpasya $ Dvani-mAtram tu lakzyate &
   ghaṇṭādīnāṃ ca śabdeṣu % vyakto bhedaḥ sa dṛśyate // 1.107 //	GaNwA-AdInAm ca Sabdezu % vyaktaH BedaH sa dRSyate // 1.107 //
   dravyābhighātāt pracitau $ bhinnau dīrghaplutāv api &	dravya-aBiGAtAt pracitO $ BinnO dIrGa-plutO api &
   kampe tūparate jātā % nādā vṛtter viśeṣakāḥ // 1.108 //	kampe tu-uparate jAtAH % nAdAH vRtteH viSezakAH // 1.108 //
   anavasthitakampe 'pi $ karaṇe dhvanayo 'pare &	anavasTita-kampe api $ karaNe DvanayaH apare &
   sphoṭād evopajāyante % jvālā jvālāntarād iva // 1.109 //	sPowAt eva-upajAyante % jvAlA jvAlA-antarAt iva // 1.109 //
   vāyor aṇūnāṃ jñānasya $ śabdatvāpattir iṣyate &	vAyoH aNUnAm jQAnasya $ Sabda-tva-ApattiH izyate &
   kaiś cid darśanabhedo hi % pravādeṣv anavasthitaḥ // 1.110 //	kEH cit darSana-BedaH hi % pravAdezu anavasTitaH // 1.110 //
   [labdhakriyaḥ prayatnena $ vaktur icchānuvartinā &	[labDa-kriyaH prayatnena $ vaktuH icCA-anuvartinA &
   sthāneṣv abhihato vāyuḥ % śabdatvaṃ pratipadyate // 1.111 //	sTAnezu aBihataH vAyuH % Sabda-tvam pratipadyate // 1.111 //
   tasya kāraṇasāmarthyād $ vegapracayadharmaṇaḥ &	tasya kAraNa-sAmarTyAt $ vega-pracaya-DarmaNaH &
   saṃnipātād vibhajyante % sāravatyo 'pi mūrtayaḥ // 1.112 //	saMnipAtAt viBajyante % sAravatyaH api mUrtayaH // 1.112 //
   aṇavaḥ sarvaśaktitvād $ bhedasaṃsargavṛttayaḥ &	aNavaH sarva-Sakti-tvAt $ Beda-saMsarga-vRttayaH &
   chāyātapatamaḥśabda- % bhāvena pariṇāminaḥ // 1.113 //	CAyA-AtapatamaH-Sabda % BAvena pariNAminaH // 1.113 //
   svaśaktau vyajyamānāyāṃ $ prayatnena samīritāḥ &	sva-SaktO vyajyamAnAyAm $ prayatnena samIritAH &
   abhrāṇīva pracīyante % śabdākhyāḥ paramāṇavaḥ // 1.114 //	aBrANi-iva pracIyante % Sabda-AKyAH paramANavaH // 1.114 //
   athāyam āntaro jñātā $ sūkṣmavāgātmani sthitaḥ &	aTa-ayam AntaraH jQAtA $ sUkzma-vAc-Atmani sTitaH &
   vyaktaye svasya rūpasya % śabdatvena vivartate // 1.115 //	vyaktaye svasya rUpasya % Sabda-tvena vivartate // 1.115 //
   sa manobhāvam āpadya $ tejasā pākam āgataḥ &	sa manoBAvam Apadya $ tejasA pAkam AgataH &
   vāyum āviśati prāṇam % athāsau samudīryate // 1.116 //	vAyum AviSati prANam % aTa-asO samudIryate // 1.116 //
   antaḥkaraṇatattvasya $ vāyur āśrayatāṃ gataḥ &	antaHkaraNa-tattvasya $ vAyuH ASrayatAm gataH &
   taddharmeṇa samāviṣṭas % tejasaiva vivartate // 1.117 //	tad-DarmeNa samAvizwaH % tejasA-eva vivartate // 1.117 //
   vibhajan svātmano granthīñ $ śrutirūpaiḥ pṛthagvidhaiḥ &	viBajan sva-AtmanaH granTIn $ Sruti-rUpEH pRTagviDEH &
   prāṇo varṇān abhivyajya % varṇeṣv evopalīyate // 1.118 //	prANaH varNAn aBivyajya % varNezu eva-upalIyate // 1.118 //
   ātmā buddhyā samarthyārthān $ mano yuṅkte vivakṣayā &	AtmA budDyA samarTya-arTAn $ manaH yuFkte vivakzayA &
   manaḥ kāyāgnim āhanti % sa prerayati mārutam] // 1.119 //	manaH kAya-agnim Ahanti % sa prerayati mArutam] // 1.119 //
   ajasravṛttir yaḥ śabdaḥ $ sūkṣmatvān nopalabhyate &	ajasra-vRttiH yaH SabdaH $ sUkzma-tvAt na-upalaByate &
   vyajanād vāyur iva sa % svanimittāt pratīyate // 1.120 //	vyajanAt vAyuH iva sa % sva-nimittAt pratIyate // 1.120 //
   tasya prāṇe ca yā śaktir $ yā ca buddhau vyavasthitā &	tasya prANe ca yA SaktiH $ yA ca budDO vyavasTitAH &
   vivartamānā sthāneṣu % saiṣā bhedaṃ prapadyate // 1.121 //	vivartamAnA sTAnezu % sA-ezA Bedam prapadyate // 1.121 //
   śabdeṣv evāśritā śaktir $ viśvasyāsya nibandhanī &	Sabdezu eva-ASritA SaktiH $ viSvasya-asya nibanDanI &
   yannetraḥ pratibhātmāyaṃ % bhedarūpaḥ pratāyate // 1.122 //	yat-netraH pratiBA-AtmA-ayam % Beda-rUpaH pratAyate // 1.122 //
   śabdādibhedaḥ śabdena $ vyākhyāto rūpyate yataḥ &	Sabda-Adi-BedaH Sabdena $ vyAKyAtaH rUpyate yatas &
   tasmād arthavidhāḥ sarvāḥ % śabdamātrāsu niśritāḥ // 1.123 //	tasmAt arTaviDAH sarvAH % Sabda-mAtrAsu niSritAH // 1.123 //
   śabdasya pariṇāmo 'yam $ ity āmnāyavido viduḥ &	Sabdasya pariNAmaH ayam $ iti AmnAya-vidaH viduH &
   chandobhya eva prathamam % etad viśvaṃ pravartate // 1.124 //	CandoByaH eva praTamam % etat viSvam pravartate // 1.124 //
   vibhajya bahudhātmānaṃ $ sa cchandasyaḥ prajāpatiḥ &	viBajya bahuDA-AtmAnam $ sa cCandasyaH prajApatiH &
   chandomayībhir mātrābhir % bahudhaiva viveśa tam // 1.125 //	CandaH-mayIBiH mAtrABiH % bahuDA-eva viveSa tam // 1.125 //
   sādhvī vāg bhūyasī yeṣu $ puruṣeṣu vyavasthitā &	sADvI vAc BUyasI yezu $ puruzezu vyavasTitAH &
   adhikaṃ vartate teṣu % puṇyaṃ rūpaṃ prajāpateḥ // 1.126 //	aDikam vartate tezu % puNyam rUpam prajApateH // 1.126 //
   prājāpatyaṃ mahat tejas $ tatpātrair iva saṃvṛtam &	prAjApatyam mahat tejaH $ tad-pAtrEH iva saMvRtam &
   śarīrabhede viduṣāṃ % svāṃ yonim upadhāvati // 1.127 //	SarIra-Bede viduzAm % svAm yonim upaDAvati // 1.127 //
   yad etan maṇḍalaṃ bhāsvad $ dhāma citrasya rādhasaḥ &	yat etat maNxalam BAsvat $ DAma citrasya rADasaH &
   tadbhāvam abhisaṃbhūya % vidyāyāṃ pravilīyate // 1.128 //	tad-BAvam aBisaMBUya % vidyAyAm pravilIyate // 1.128 //
   itikartavyatā loke $ sarvā śabdavyapāśrayā &	itikartavya-tA loke $ sarvA Sabda-vyapASrayA &
   yāṃ pūrvāhitasaṃskāro % bālo 'pi pratipadyate // 1.129 //	yAm pUrva-Ahita-saMskAraH % bAlaH api pratipadyate // 1.129 //
   yaḥ karaṇavinyāsaḥ $ prāṇasyordhvaṃ samīraṇam &	yaH karaNa-vinyAsaH $ prANasya-UrDvam samIraNam &
   sthānānām abhighātaś ca % na vinā śabdabhāvanām // 1.130 //	sTAnAnAm aBiGAtaH ca % na vinA Sabda-BAvanAm // 1.130 //
   na so 'sti pratyayo loke $ yaḥ śabdānugamād ṛte &	na saH asti pratyayaH loke $ yaH Sabda-anugamAt Rte &
   anuviddham iva jñānaṃ % sarvaṃ śabdena bhāsate // 1.131 //	anuvidDam iva jQAnam % sarvam Sabdena BAsate // 1.131 //
   vāgrūpatā ced utkrāmed $ avabodhasya śāśvatī &	vAc-rUpa-tA ced utkrAmet $ avaboDasya SASvatI &
   na prakāśaḥ prakāśeta % sā hi pratyavamarśinī // 1.132 //	na prakASaH prakASeta % sA hi pratyavamarSinI // 1.132 //
   sā sarvavidyāśilpānāṃ $ kalānāṃ copabandhanī &	sA sarva-vidyA-SilpAnAm $ kalAnAm ca-upabanDanI &
   tadvaśād abhiniṣpannaṃ % sarvaṃ vastu vibhajyate // 1.133 //	tad-vaSAt aBinizpannam % sarvam vastu viBajyate // 1.133 //
   saiṣā saṃsāriṇāṃ saṃjñā $ bahir antaś ca vartate &	sA-ezA saMsAriNAm saMjQA $ bahis antar ca vartate &
   tanmātrām avyatikrāntaṃ % caitanyaṃ sarvajātiṣu // 1.134 //	tanmAtrAm avyatikrAntam % cEtanyam sarva-jAtizu // 1.134 //
   arthakriyāsu vāk sarvān $ samīhayati dehinaḥ &	arTa-kriyAsu vAc sarvAn $ samIhayati dehinaH &
   tadutkrāntau visaṃjño 'yaṃ % dṛśyate kāṣṭhakuḍyavat // 1.135 //	tad-utkrAntO visaMjQaH ayam % dRSyate kAzWa-kuxya-vat // 1.135 //
   bhedodgrāhavivartena $ labdhākāraparigrahā &	Beda-udgrAha-vivartena $ labDa-AkAra-parigrahAH &
   āmnātā sarvavidyāsu % vāg eva prakṛtiḥ parā // 1.136 //	AmnAtA sarva-vidyAsu % vAc eva prakRtiH parA // 1.136 //
   ekatvam anatikrāntā $ vāṅnetrā vāṅnibandhanāḥ &	eka-tvam anatikrAntAH $ vAc-netrAH vAc-nibanDanAH &
   pṛthak pratyavabhāsante % vāgvibhāgā gavādayaḥ // 1.137 //	pRTak pratyavaBAsante % vAc-viBAgAH gavA-AdayaH // 1.137 //
   ṣaḍdvārāṃ ṣaḍadhiṣṭhānāṃ $ ṣaṭprabodhāṃ ṣaḍavyayām &	zaz-dvArAm zaz-aDizWAnAm $ zaz-praboDAm zaz-avyayAm &
   te mṛtyum ativartante % ye vai vācam upāsate // 1.138 //	te mRtyum ativartante % ye vE vAcam upAsate // 1.138 //
   pravibhāge yathā kartā $ tayā kārye pravartate &	praviBAge yaTA kartA $ tayA kArye pravartate &
   avibhāge tathā saiva % kāryatvenāvatiṣṭhate // 1.139 //	aviBAge taTA sA-eva % kAryatvena-avatizWate // 1.139 //
   pravibhajyātmanātmānaṃ $ sṛṣṭvā bhāvān pṛthagvidhān &	praviBajya-AtmanA-AtmAnam $ sRzwvA BAvAn pRTagviDAn &
   sarveśvaraḥ sarvamayaḥ % svapne bhoktā pravartate // 1.140 //	sarva-ISvaraH sarva-mayaH % svapne BoktA pravartate // 1.140 //
   svamātrā paramātrā vā $ śrutyā prakramyate yathā &	sva-mAtrA para-mAtrA vA $ SrutyA prakramyate yaTA &
   tathaiva rūḍhatām eti % tayā hy artho vidhīyate // 1.141 //	taTA-eva rUXa-tAm eti % tayA hi arTaH viDIyate // 1.141 //
   atyantam atathābhūte $ nimitte śrutyapāśrayāt &	atyantam ataTABUte $ nimitte Sruti-apASrayAt &
   dṛśyate 'lātacakrādau % vastvākāranirūpaṇā // 1.142 //	dRSyate alAta-cakra-AdO % vastu-AkAra-nirUpaNAH // 1.142 //
   api prayoktur ātmānaṃ $ śabdam antar avasthitam &	api prayoktuH AtmAnam $ Sabdam antar avasTitam &
   prāhur mahāntam ṛṣabhaṃ % yena sāyujyam iṣyate // 1.143 //	prAhuH mahAntam RzaBam % yena sAyujyam izyate // 1.143 //
   tasmād yaḥ śabdasaṃskāraḥ $ sā siddhiḥ paramātmanaḥ &	tasmAt yaH Sabda-saMskAraH $ sA sidDiH paramAtmanaH &
   tasya pravṛttitattvajñas % tad brahmāmṛtam aśnute // 1.144 //	tasya pravRtti-tattva-jQaH % tat brahma-amRtam aSnute // 1.144 //
   prāṇavṛttim atikrānte $ vācas tattve vyavasthitaḥ &	prANa-vRttim atikrAnte $ vAcaH tattve vyavasTitaH &
   kramasaṃhārayogena % saṃhṛtyātmānam ātmani // 1.145 //	krama-saMhAra-yogena % saMhRtya-AtmAnam Atmani // 1.145 //
   vācaḥ saṃskāram ādhāya $ vācaṃ jñāne niveśya ca &	vAcaH saMskAram ADAya $ vAcam jQAne niveSya ca &
   vibhajya bandhanāny asyāḥ % kṛtvā tāṃ chinnabandhanām // 1.146 //	viBajya banDanAni asyAH % kRtvA tAm Cinna-banDanAm // 1.146 //
   jyotir āntaram āsādya $ cchinnagranthiparigrahaḥ &	jyotiH Antaram AsAdya $ cCinna-granTi-parigrahaH &
   kāraṇajyotiṣaikatvaṃ % chittvā granthīn pravartate // 1.147 //	kAraNa-jyotiza-eka-tvam % CittvA granTIn pravartate // 1.147 //
   na jātv akartṛkaṃ kaś cid $ āgamaṃ pratipadyate &	na jAtu akartRkam kaH cit $ Agamam pratipadyate &
   bījaṃ sarvāgamāpāye % trayy evāto vyavasthitā // 1.148 //	bIjam sarva-Agama-apAye % trayI eva-atas vyavasTitAH // 1.148 //
   astaṃ yāteṣu vādeṣu $ kartṛṣv anyeṣv asatsv api &	astam yAtezu vAdezu $ kartRzu anyezu asatsu api &
   śrutismṛtyuditaṃ dharmaṃ % loko na vyativartate // 1.149 //	Sruti-smRti-uditam Darmam % lokaH na vyativartate // 1.149 //
   jñāne svābhāvike nārthaḥ $ śāstraiḥ kaś ca na vidyate &	jQAne svABAvike na-arTaH $ SAstrEH kaH ca na vidyate &
   dharmo jñānasya hetuś cet % tasyāmnāyo nibandhanam // 1.150 //	DarmaH jQAnasya hetuH ced % tasya-AmnAyaH nibanDanam // 1.150 //
   vedaśāstrāvirodhī ca $ tarkaś cakṣur apaśyatām &	veda-SAstra-aviroDI ca $ tarkaH cakzuH apaSyatAm &
   rūpamātrād dhi vākyārthaḥ % kevalaṃ nātitiṣṭhati // 1.151 //	rUpa-mAtrAt Di vAkya-arTaH % kevalam na-atitizWati // 1.151 //
   sato 'vivakṣā pārārthyaṃ $ vyaktir arthasya laiṅgikī &	sataH avivakzA pArArTyam $ vyaktiH arTasya lEFgikI &
   iti nyāyo bahuvidhas % tarkeṇa pravibhajyate // 1.152 //	iti nyAyaH bahuviDaH % tarkeNa praviBajyate // 1.152 //
   śabdānām eva sā śaktis $ tarko yaḥ puruṣāśrayaḥ &	SabdAnAm eva sA SaktiH $ tarkaH yaH puruza-ASrayaH &
   sa śabdānugato nyāyo % 'nāgameṣv anibandhanaḥ // 1.153 //	sa Sabda-anugataH nyAyaH % anAgamezu anibanDanaH // 1.153 //
   yad udumbaravarṇānāṃ $ ghaṭīnāṃ maṇḍalaṃ mahat &	yat udumbara-varNAnAm $ GawInAm maNxalam mahat &
   pītaṃ na gamayet svargaṃ % kiṃ tat kratugataṃ nayet // 1.154 //	pItam na gamayet svargam % kim tat kratu-gatam nayet // 1.154 //
   rūpādayo yathā dṛṣṭāḥ $ pratyarthaṃ yataśaktayaḥ &	rUpa-AdayaH yaTA dRzwAH $ pratyarTam yata-SaktayaH &
   śabdās tathaiva dṛśyante % viṣāpaharaṇādiṣu // 1.155 //	SabdAH taTA-eva dRSyante % viza-apaharaNa-Adizu // 1.155 //
   yathaiṣāṃ tatra sāmarthyaṃ $ dharme 'py evaṃ pratīyatām &	yaTA-ezAm tatra sAmarTyam $ Darme api evam pratIyatAm &
   sādhūnāṃ sādhubhis tasmād % vācyam abhyudayārthinām // 1.156 //	sADUnAm sADuBiH tasmAt % vAcyam aByudaya-arTinAm // 1.156 //
   sarvo 'dṛṣṭaphalān arthān $ āgamāt pratipadyate &	sarvaH adRzwa-PalAn arTAn $ AgamAt pratipadyate &
   viparītaṃ ca sarvatra % śakyate vaktum āgame // 1.157 //	viparItam ca sarvatra % Sakyate vaktum Agame // 1.157 //
   sādhutvajñānaviṭayā $ seyaṃ vyākaraṇasmṛtiḥ &	sADu-tva-jQAna-viwayA $ sA-iyam vyAkaraNa-smRtiH &
   avicchedena śiṣṭānām % idaṃ smṛtinibandhanam // 1.158 //	avicCedena SizwAnAm % idam smRti-nibanDanam // 1.158 //
   vaikharyā madhyamāyāś ca $ paśyantyāś caitad adbhutam &	vEKaryAH maDyamAyAH ca $ paSyantyAH ca-etat adButam &
   anekatīrthabhedāyās % trayyā vācaḥ paraṃ padam // 1.159 //	aneka-tIrTa-BedAyAH % trayyA vAcaH param padam // 1.159 //
   gaur iva prakṣaraty ekā $ rasam uttamaśālinī &	gOH iva prakzarati ekA $ rasam uttama-SAlinI &
   divyādivyena rūpeṇa % bhāratī gauḥ śucismitā // 1.160 //	divya-adivyena rUpeNa % BAratI gOH Suci-smitAH // 1.160 //
   etayor antaraṃ paśya $ sūkṣmayoḥ spandamānayoḥ &	etayoH antaram paSya $ sUkzmayoH spandamAnayoH &
   prāṇāpānāntare nityam % ekā sarvasya tiṣṭhati // 1.161 //	prANa-apAna-antare nityam % ekA sarvasya tizWati // 1.161 //
   anyā tv apreryamāṇaiva $ vinā prāṇena vartate &	anyA tu apreryamANA-eva $ vinA prANena vartate &
   jāyate hi tataḥ prāṇo % vācam āpyāyayan punaḥ // 1.162 //	jAyate hi tatas prANaH % vAcam ApyAyayan punar // 1.162 //
   prāṇenāpyāyitā saivaṃ $ vyavahāranibandhanī &	prANena-ApyAyitA sA-evam $ vyavahAra-nibanDanI &
   sarvasyocchvāsam āsādya % na vāg vadati karhi cit // 1.163 //	sarvasya-ucCvAsam AsAdya % na vAc vadati karhi cit // 1.163 //
   ghoṣiṇī jātanirghoṣā $ aghoṣā ca pravartate &	GoziNI jAta-nirGozA $ aGozA ca pravartate &
   tayor api ca ghoṣiṇyā % nirghoṣaiva garīyasī // 1.164 //	tayoH api ca GoziNyA % nirGozA-eva garIyasI // 1.164 //
   sthāneṣu vivṛte vāyau $ kṛtavarṇaparigrahā &	sTAnezu vivRte vAyO $ kRta-varNa-parigrahAH &
   vaikharī vāk prayoktṝṇāṃ % prāṇavṛttinibandhanā // 1.165 //	vEKarI vAc prayoktLNAm % prANa-vRtti-nibanDanAH // 1.165 //
   kevalaṃ buddhyupādāna- $ kramarūpānupātinī &	kevalam budDi-upAdAna $ krama-rUpa-anupAtinI &
   prāṇavṛttim atikramya % madhyamā vāk pravartate // 1.166 //	prANa-vRttim atikramya % maDyamA vAc pravartate // 1.166 //
   avibhāgā tu paśyantī $ sarvataḥ saṃhṛtakramā &	aviBAgA tu paSyantI $ sarvatas saMhRta-kramAH &
   svarūpajyotir evāntaḥ % sūkṣmā vāg anapāyinī // 1.167 //	svarUpa-jyotiH eva-antar % sUkzmA vAc anapAyinI // 1.167 //
   pīyūṣāpūryamāṇāpi $ nityam āgantubhir malaiḥ &	pIyUza-ApUryamANA-api $ nityam AgantuBiH malEH &
   antyā kaleva somasya % nātyantam abhibhūyate // 1.168 //	antyA kalA-iva somasya % na-atyantam aBiBUyate // 1.168 //
   yasyāṃ dṛṣṭasvarūpāyām $ adhikāro nivartate &	yasyAm dRzwa-svarUpAyAm $ aDikAraH nivartate &
   puruṣe ṣoḍaśakale % tām āhur amṛtāṃ kalām // 1.169 //	puruze zoxaSa-kale % tAm AhuH amRtAm kalAm // 1.169 //
   prāptoparāgarūpā sā $ viplavair anuṣaṅgibhiḥ &	prApta-uparAga-rUpA sA $ viplavEH anuzaFgiBiH &
   vaikharī sattvamātreva % guṇair na vyavakīryate // 1.170 //	vEKarI sattva-mAtrA-iva % guNEH na vyavakIryate // 1.170 //
   tadvibhāgāvibhāgābhyāṃ $ kriyamāṇam avasthitam &	tad-viBAga-aviBAgAByAm $ kriyamANam avasTitam &
   svabhāvajñais tu bhāvānāṃ % dṛśyante śabdaśaktayaḥ // 1.171 //	svaBAva-jQEH tu BAvAnAm % dRSyante Sabda-SaktayaH // 1.171 //
   anādim avyavacchinnāṃ $ śrutim āhur akartṛkām &	anAdim avyavacCinnAm $ Srutim AhuH akartRkAm &
   śiṣṭair nibadhyamānā tu % na vyavacchidyate smṛtiḥ // 1.172 //	SizwEH nibaDyamAnA tu % na vyavacCidyate smRtiH // 1.172 //
   avibhāgād vivṛttānām $ abhikhyā svapnavac chrutau &	aviBAgAt vivRttAnAm $ aBiKyA svapna-vat SrutO &
   bhāvatattvaṃ tu vijñāya % liṅgebhyo vihitā smṛtiḥ // 1.173 //	BAva-tattvam tu vijQAya % liFgeByaH vihitA smRtiH // 1.173 //
   kāyavāgbuddhiviṣayā $ ye malāḥ samavasthitāḥ &	kAya-vAc-budDi-vizayAH $ ye malAH samavasTitAH &
   cikitsālakṣaṇādhyātma- % śāstrais teṣāṃ viśuddhayaḥ // 1.174 //	cikitsA-lakzaNa-aDyAtma % SAstrEH tezAm viSudDayaH // 1.174 //
   śabdaḥ saṃskārahīno yo $ gaur iti prayuyukṣyate &	SabdaH saMskAra-hInaH yaH $ gOH iti prayuyukzyate &
   tam apabhraṃśam icchanti % viśiṣṭārthaniveśinam // 1.175 //	tam apaBraMSam icCanti % viSizwa-arTa-niveSinam // 1.175 //
   asvagoṇyādayaḥ śabdāḥ $ sādhavo viṣayāntare &	asva-goNya-AdayaH SabdAH $ sADavaH vizaya-antare &
   nimittabhedāt sarvatra % sādhutvaṃ ca vyavasthitam // 1.176 //	nimitta-BedAt sarvatra % sADu-tvam ca vyavasTitam // 1.176 //
   te sādhuṣv anumānena $ pratyayotpattihetavaḥ &	te sADuzu anumAnena $ pratyaya-utpatti-hetavaH &
   tādātmyam upagamyeva % śabdārthasya prakāśakāḥ // 1.177 //	tAdAtmyam upagamya-iva % Sabda-arTasya prakASakAH // 1.177 //
   na śiṣṭair anugamyante $ paryāyā iva sādhavaḥ &	na SizwEH anugamyante $ paryAyAH iva sADavaH &
   te yataḥ smṛtiśāstreṇa % tasmāt sākṣād avācakāḥ // 1.178 //	te yatas smRti-SAstreNa % tasmAt sAkzAt avAcakAH // 1.178 //
   aṃbvaṃbv iti yathā bālaḥ $ śikṣamāṇo 'pabhāṣate &	aMbvaMbu iti yaTA bAlaH $ SikzamANaH apaBAzate &
   avyaktaṃ tadvidāṃ tena % vyaktau bhavati niścayaḥ // 1.179 //	avyaktam tad-vidAm tena % vyaktO Bavati niScayaH // 1.179 //
   evaṃ sādhau prayoktavye $ yo 'pabhraṃśaḥ prayujyate &	evam sADO prayoktavye $ yaH apaBraMSaH prayujyate &
   tena sādhuvyavahitaḥ % kaś cid artho 'bhidhīyate // 1.180 //	tena sADu-vyavahitaH % kaH cit arTaH aBiDIyate // 1.180 //
   pāraṃparyād apabhraṃśā $ viguṇeṣv abhidhātṛṣu &	pAraMparyAt apaBraMSAH $ viguNezu aBiDAtRzu &
   prasiddhim āgatā yena % teṣāṃ sādhur avācakaḥ // 1.181 //	prasidDim AgatAH yena % tezAm sADuH avAcakaH // 1.181 //
   daivī vāg vyatikīrṇeyam $ aśaktair abhidhātṛbhiḥ &	dEvI vAc vyatikIrNeyam $ aSaktEH aBiDAtRBiH &
   anityadarśināṃ tv asmin % vāde buddhiviparyayaḥ // 1.182 //	anitya-darSinAm tu asmin % vAde budDi-viparyayaH // 1.182 //
   ubhayeṣām avicchedād $ anyaśabdavivakṣayā &	uBayezAm avicCedAt $ anya-Sabda-vivakzayA &
   yo 'nyaḥ prayujyate śabdo % na so 'rthasyābhidhāyakaḥ // 1.183 //	yaH anyaH prayujyate SabdaH % na saH arTasya-aBiDAyakaH // 1.183 //
   // iti bhartṛharikṛte vākyapadīye brahmakāṇḍaṃ samāptam //	// iti BartR-hari-kRte vAkyapadIye brahma-kANxam samAptam //
   2. Vākyakāṇḍam	2. VAkya-kANxam
   ākhyātaṃ śabdasaṃghāto $ jātiḥ saṃghātavartinī &	AKyAtam Sabda-saMGAtaH $ jAtiH saMGAta-vartinI &
   eko 'navayavaḥ śabdaḥ % kramo buddhyanusaṃhṛtiḥ // 2.1 //	ekaH anavayavaH SabdaH % kramaH budDi-anusaMhRtiH // 2.1 //
