   Larger Prajñāpāramitā	LargeH PrajQApAramitA
   sarvasatvās tasmin samaye sarvasukhasamarpitā abhūvan* evaṃrūpeṇa sukhena	sarva-satvAH tasmin samaye sarva-suKa-samarpitAH aBUvan* evaMrUpeNa suKena
   samanvāgatās tadyathā tṛtīyadhyānasamāpannasya bhikṣoḥ sukhaṃ sarvasatvāś	samanvAgatAH tat-yaTA tRtIya-DyAna-samApannasya BikzoH suKam sarva-satvAH-
   ca tasmin samaye evaṃrūpayā prajñayā samanvāgatā abhūvan* yad evaṃ jānaṃti	ca tasmin samaye evaMrUpayA prajQayA samanvAgatAH aBUvan* yat evam jAnaMti
   sma | sādhu dānaṃ sādhu damaḥ sādhu saṃyamaḥ sādhu satyam | sādhv	sma | sADu dAnam sADu damaH sADu saMyamaH sADu satyam | sADv
   apramādaḥ sādhu maitrī sādhu karuṇā sādhv avihiṃsā prāṇibhūteṣu | atha	apramAdaH sADu mEtrI sADu karuNA sADu avihiMsA prANi-BUtezu | aTa
   bhagavāṃs tasminn eva siṃhāsane niṣaṇṇa imaṃ trisāhasramahāsāhasraṃ	BagavAn tasmin eva siMhAsane nizaNNaH imam tri-sAhasra-mahA-sAhasram
   lokadhātuṃ sasumeruṃ sacakravāḍaṃ sadevabhavanaṃ sendrakaṃ sabrahmakaṃ	lokaDAtum sa-sumerum sa-cakravAxam sa-deva-Bavanam sa-indrakam sa-brahmakam
   savaśavartinaṃ saśuddhāvāsaṃ sadevadānavakāyam abhibhūya sthitaḥ śobhate	sa-vaSavartinam sa-SudDAvAsam sa-deva-dAnava-kAyam aBiBUya sTitaH SoBate
   bhāsate tapati virājate ābhayā varṇena tejasā śṛyā : tadyathāpi nāma	BAsate tapati virAjate ABayA varNena tejasA SRyA : tat-yaTA-api nAma
   balavān divākaraḥ pariśuddhe gaganatale paurṇamāsyāṃ vā candramaṇḍalam*	balavAn divAkaraH pariSudDe gagana-tale pOrNamAsyAm vA candra-maNxalam*
   evam eva bhagavān pūrvasyān diśi gaṃgānadīvālukopamāl lokadhātūn abhibhūya	evam eva BagavAn pUrvasyAn diSi gaMgA-nadI-vAlukA-upamAt lokaDAtUn aBiBUya
   dakṣiṇasyāṃ paścimāyām uttarasyām (LPG 4v) adhastād upariṣṭād yāvat	dakziNasyAm paScimAyAm uttarasyAm (LPu 4v) aDastAt uparizwAt yAvat-
   samantād daśasu dikṣu gaṃgānadīvālukopamāl lokadhātūn abhibhūya sthitaḥ	samantAt daSasu dikzu gaMgA-nadI-vAlukA-upamAt lokaDAtUn aBiBUya sTitaH
   śobhate bhāsate tapati virocate ābhayā varṇena tejasā śriyā tadyathāpi	SoBate BAsate tapati virocate ABayA varNena tejasA SriyA tat-yaTA-api
   nāma sumeruḥ parvatarājaḥ sarvāṃs tadanyān parvatān abhibhūya sthitaḥ	nAma sumeruH parvata-rAjaH sarvAn tad-anyAn parvatAn aBiBUya sTitaH
   śobhate bhāsate tapati virājate | tadyathāpi nāma candramaṇḍalam* sarvāṇi	SoBate BAsate tapati virAjate | tat-yaTA-api nAma candra-maNxalam* sarvANi
   tārārūpāṇy abhibhūya sthitaṃ śobhate bhāsati tapati virocate | tadyathāpi	tArA-rUpANi aBiBUya sTitam SoBate BAsati tapati virocate | tat-yaTA-api
   nāma sūryamaṇḍalaṃ sarvāṃs tadanyān avabhāsān abhibhūya sthitaṃ śobhate	nAma sUrya-maNxalam sarvAn tad-anyAn avaBAsAn aBiBUya sTitam SoBate
   bhāsate tapati virocate | evam eva bhagavān daśasu dikṣu sadevakaṃ	BAsate tapati virocate | evam eva BagavAn daSasu dikzu sa-devakam
   sendrakaṃ samārakaṃ sabrahmakaṃ saśuddhāvāsam abhibhūya sthitaḥ śobhate	sa-indrakam sa-mArakam sa-brahmakam sa-SudDa-AvAsam aBiBUya sTitaH SoBate
   bhāsate tapati virocate ābhayā varṇena tejasā śṛyā : punar yādṛśaṃ	BAsate tapati virocate ABayA varNena tejasA SRyA : punar yAdRSam
   bhagavataḥ prakṛtyātmabhāvopadarśanaṃ tādṛśam iha trisāhasramahāsāhasre	BagavataH prakRti-Atma-BAva-upadarSanam tAdRSam iha tri-sAhasra-mahA-sAhasre
   lokadhātāv upadarśayati sma | atha yāvanto 'smiṃ trisāhasramahāsāhasre	lokaDAtO upadarSayati sma | aTa yAvantaH asmim tri-sAhasra-mahA-sAhasre
   lokadhātau śuddhāvāsakāyikā devanikāyāḥ yāvad brahmakāyikā	lokaDAtO SudDAvAsa-kAyikA devanikAyAH yAvat brahmakAyikA
   paranirmitavaśavartinaḥ nirmāṇaratayaḥ tuṣitā yāmās trāyastriṃśāś	paranirmitavaSavartinaH nirmANa-ratayaH tuzitAH yAmAH trAyastriMSa-AS
   cāturmahārājakāyikā devanikāyās te sarve siṃhāsananiṣaṇṇaṃ tathāgataṃ	cAturmahArAja-kAyikAH deva-nikAyAH te sarve siMhAsana-nizaNNam taTAgatam
   paśyanti sma | te tuṣṭā udagrā āttamanasaḥ pramuditāḥ prītisaumanasyajātā	paSyanti sma | te tuzwAH udagrA Atta-manasaH pramuditAH prIti-sOmanasya-jAtA
   divyāni puṣpāṇy ādāya divyāni mālyāni divyān gandhān divyāni vilepanāni	divyAni puzpANi AdAya divyAni mAlyAni divyAn ganDAn divyAni vilepanAni
   divyāni cūrṇāni divyān vāsān divyāny	divyAni cUrNAni divyAn vAsAn divyAni-
   utpalapadmakumudapuṇḍarīkanaḍinasaugandhikāni | divyāni	utpala-padma-kumuda-puNxarIka-naxina-sOganDikAni | divyAni
   kesaratamālapatrāṇi divyāni cīvarāṇi | divyāny ābharaṇāni | divyāni	kesara-tamAla-patrANi divyAni cIvarANi | divyAni ABaraNAni | divyAni
   cchatrāṇi divyāṃ dhvajān* divyāḥ patākā gṛhītvā yena bhagavāṃs	cCatrANi divyAm DvajAn* divyAH patAkAH gRhItvA yena BagavAn=-
   tenopasaṃkrāmanti sma | upasaṃkramya taiḥ puṣpādibhir yāvac	tena-upasaMkrAmanti sma | upasaMkramya tEH puzpa-AdiBiH yAvat-
   chatradhvajapatākābhir bhagavantam avakiranti smābhyavakiranti	Catra-Dvaja-patAkABiH Bagavantam avakiranti sma-aByavakiranti
   smābhiprakiranti sma | ye ceha trisāhasramahāsāhasre lokadhātau manuṣyā	sma-aBiprakiranti sma | ye ca-iha tri-sAhasra-mahA-sAhasre lokaDAtO manuzyA
   vineyā bhājanībhūtās te jalajasthalajāni puṣpāṇi gṛhītvā yena bhagavāṃs	vineyAH BAjanIBUtAH te jalaja-sTala-jAni puzpANi gRhItvA yena BagavAn=-
   tenopasaṃkramya tathāgatam abhipūjayaṃti sma | (LPG 5r) sarvāṇi ca tāni	tena-upasaMkramya taTAgatam aBipUjayaMti sma | (LPG 5r) sarvANi ca tAni
   puṣpādīni yāvac chatradhvajapatākā bhagavaty avakīrṇāni | samanantaram eva	puzpa-AdIni yAvat Satra-Dvaja-patAkA Bagavati avakIrNAni | samanantaram eva
   bhagavato 'dhiṣṭhānena trisāhasramahāsāhasralokadhātupramāṇo bhagavata	BagavataH aDizWAnena tri-sAhasra-mahA-sAhasra-loka-DAtu-pramANaH Bagavata
   upari vaihāyase mūrdhasandhau mahāpuṣpādikūṭāgāraḥ saṃsthito 'bhūt* tataś	upari vEhAyase mUrDa-sanDO mahA-puzpa-Adi-kUwa-AgAraH saMsTitaH aBUt* tatas-
   ca kūṭāgārād divyāni puṣpapaṭṭadāmāni pralaṃbante sma pralaṃbante	ca kUwAgArAt divyAni puzpa-pawwa-dAmAni pralaMbante sma pralaMbante
   smābhipralaṃbante sma | taiś ca puṣpapaṭṭadāmābhir ayaṃ	sma-aBipralaMbante sma | tEH ca puzpa-pawwa-dAmABiH ayam
   trisāhasramahāsāhasro lokadhātus tena ca suvarṇavarṇena bhagavataḥ	tri-sAhasra-mahA-sAhasraH lokaDAtuH tena ca suvarNa-varNena BagavataH
   prabhāvabhāsenātyarthaṃ śobhate bhāsate tapati virocate | yathā cāyaṃ	praBAva-BAsena-atyarTam SoBate BAsate tapati virocate | yaTA ca-ayam
   trisāhasramahāsāhasro lokadhātur evaṃ pūrvasyān diśi gaṃgānadīvālukopamāl	tri-sAhasra-mahA-sAhasraH lokaDAtuH evam pUrvasyAn diSi gaMgA-nadI-vAlukA-upamAl
   lokadhātavo 'vabhāsitāḥ sphuṭāś cābhūvan* evaṃ dakṣiṇasyāṃ paścimāyām	lokaDAtavaH avaBAsitAH sPuwAH ca-aBUvan* evam dakziNasyAm paScimAyAm
   uttarasyām adhastād upariṣṭād yāvat samantād daśasu dikṣu lokadhātavo	uttarasyAm aDastAt uparizwAt yAvat samantAt daSasu dikzu lokaDAtavaH-
   'vabhāsitāḥ spuṭāś cābhūvan* tatra jāṃbūdvīpakānāṃ manuṣyāṇāṃ	avaBAsitAH spuwAH ca-aBUvan* tatra jAMbUdvIpakAnAm manuzyANAm
   tathāgatasyāsecanakadarśanam atmabhāvan dṛṣṭvaivam abhavat* asmākaṃ	taTAgatasya-Asecanaka-darSanam atma-BAvan dRzwvA-evam aBavat* asmAkam
   purataḥ tathāgato niṣaṇṇo dharman deśayatīti | yathā jāṃbūdvīpakānāṃ	puratas taTAgataH nizaNNaH Darman deSayati-iti | yaTA jAMbUdvIpakAnAm
   manuṣyāṇām evaṃ godānīyānāṃ pūrvavidehakānām uttarakauravāṇāṃ	manuzyANAm evam godAnIyAnAm pUrva-videhakAnAm uttara-kOravANAm
   cāturmahārajakāyikānāṃ devānāṃ yāvad aghaniṣṭhānān devānāṃ evaṃ sāhasre	cAturmahAraja-kAyikAnAm devAnAm yAvat aGa-nizWAnAn devAnAm evam sAhasre
   lokadhātau dvisāhasre trisāhasramahāsāhasre lokadhātau sarvasatvānām etad	lokaDAtO dvi-sAhasre tri-sAhasra-mahA-sAhasre lokaDAtO sarva-satvAnAm etat-
   abhūt* asmākaṃ puratas tathāgato niṣaṇṇo dharman deśayatīti | atha	aBUt* asmAkam puratas taTAgataH nizaNNaH Darman deSayati-iti | aTa
   bhagavāṃs tasminn eva siṃhāsane niṣaṇṇaḥ punar eva prabhāṃ prāmuṃcat* yayā	BagavAn tasmin eva siMhAsane nizaNNaH punar eva praBAm prAmuMcat* yayA
   prabhayā punar evāyaṃ trisāhasramahāsāhasro lokadhātur avabhāsito 'bhūt*	praBayA punar eva-ayam tri-sAhasra-mahA-sAhasraH lokaDAtuH avaBAsitaH aBUt-*
   yenāvabhāsena ya iha trisāhasramahāsāhasre lokadhātau satvās te sarve	yena-avaBAsena ye iha tri-sAhasra-mahA-sAhasre lokaDAtO satvAH te sarve
   pūrvasyān diśi gaṃgānadīvālukopameṣu lokadhātuṣu tathāgatān arhataḥ	pUrvasyAn diSi gaMgA-nadI-vAlukA-upamezu lokaDAtuzu taTAgatAn arhataH
   samyaksaṃbuddhān saśrāvakasaṃghān paśyanti sma | tatra ca pūrvasyān diśi	samyaksaMbudDAn sa-SrAvaka-saMGAn paSyanti sma | tatra ca pUrvasyAn diSi
   ye gaṃgānadīvālukopameṣu lokadhātuṣu satvās te 'pīmaṃ	ye gaMgA-nadI-vAlukA-upamezu lokaDAtuzu satvAH te api-imam
   trisāhasramahāsāhasraṃ lokadhātuṃ bhagavantaṃ ca śākyamuniṃ tathāgataṃ	tri-sAhasra-mahA-sAhasram lokaDAtum Bagavantam ca SAkya-munim taTAgatam
   sabhikṣusaṃghaparivāram adrākṣur yathā ca pūrvasyān diśy evaṃ dakṣiṇasyāṃ	sa-Bikzu-saMGa-parivAram adrAkzuH yaTA ca pUrvasyAn diSi evam dakziNasyAm
   (LPG 5v) paścimāyām uttarasyām adhastād upariṣṭād yāvat samantād daśasu	(LPu 5v) paScimAyAm uttarasyAm aDastAt uparizwAt yAvat samantAt daSasu
   dikṣu ye gaṃgānadīvālukopameṣu lokadhātuṣu satvās te 'pīmaṃ	dikzu ye gaMgA-nadI-vAlukA-upamezu lokaDAtuzu satvAH te api-imam
   trisāhasramahāsāhasraṃ lokadhātuṃ bhagavantaṃ ca śākyamuniṃ tathāgataṃ	tri-sAhasra-mahA-sAhasram lokaDAtum Bagavantam ca SAkya-munim taTAgatam
   sabhikṣusaṃghaparivāram adrākṣuḥ // atha pūrvasyān diśi	sa-Bikzu-saMGa-parivAram adrAkzuH // aTa pUrvasyAn diSi
   gaṃgānadīvālukopamāl lokadhātūn atikramya yā sarvapaścimā lokadhātū	gaMgA-nadI-vAlukA-upamAt lokaDAtUn atikramya yA sarva-paScimA lokaDAtU
   ratnāvatī nāma tatra ratnākaro nāma tathāgato 'rhan samyaksaṃbuddhas	ratnAvatI nAma tatra ratnAkaraH nAma taTAgataH arhan samyaksaMbudDas
   tiṣṭhati dhṛyate yāpayati sa imām eva prajñāpāramitāṃ bodhisatvānāṃ	tizWati DRyate yApayati saH imAm eva prajQApAramitAm boDisatvAnAm
   mahāsatvānāṃ saṃprakāśayati | atha tatra lokadhātau samantaraśmir nāma	mahAsatvAnAm saMprakASayati | aTa tatra lokaDAtO samantaraSmiH nAma
   bodhisatvo mahāsatvas taṃ mahāntam avabhāsaṃ taṃ ca mahāntaṃ pṛthivīcālaṃ	boDisatvaH mahAsatvaH tam mahAntam avaBAsam tam ca mahAntam pRTivI-cAlam
   taṃ ca tathāgatātmabhāvan dṛṣṭvā yena sa bhagavān ratnākaras tathāgatas	tam ca taTAgata-Atma-BAvan dRzwvA yena sa BagavAn ratna-AkaraH taTAgata-s
   tenopasaṃkrānta-r-upasaṃkramya taṃ bhagavantaṃ ratnākaraṃ tathāgatam etad	tena-upasaMkrAnta-r-upasaMkramya tam Bagavantam ratna-Akaram taTAgatam etat-
   avocat* ko bhagavan hetuḥ kaḥ pratyayo 'sya mahato 'vabhāsasya loke	avocat* kaH Bagavan hetuH kaH pratyayaH asya mahataH avaBAsasya loke
   prādurbhāvāyāsya ca mahataḥ pṛthivīcālasya ayaṃ cedṛśas tathāgatakāyaḥ	prAdurBAvAya-asya ca mahataH pRTivI-cAlasya ayam ca-IdRSaH taTAgata-kAyaH
   sandṛśyate | evam ukte bhagavān ratnākaras tathāgatas taṃ samantaraśmiṃ	sandRSyate | evam ukte BagavAn ratna-AkaraH taTAgataH tam samantara-Smim
   bodhisatvaṃ mahāsatvam etad avocat* eṣa kulaputra paścimāyān diśi sahā	boDisatvam mahA-satvam etat avocat* eza kula-putra paScimAyAn diSi sahA
   nāma lokadhātus tatra śākyamunir nāma tathāgato 'rhan samyaksaṃbuddhas	nAma lokaDAtuH tatra SAkyamuniH nAma taTAgataH arhan samyaksaMbudDas
   tiṣṭhati dhṛyate yāpayati | sa bodhisatvānāṃ mahāsatvānāṃ prajñāpāramitāṃ	tizWati DRyate yApayati | sa boDisatvAnAm mahAsatvAnAm prajQApAramitAm
   saṃprakāśayati | tasyaiṣa īdṛśo 'nubhāva atha samantaraśmir bodhisatvo	saMprakASayati | tasya-ezaH IdRSaH anuBAva aTa samantaraSmiH boDisatvaH-
   mahāsatvas taṃ bhagavantaṃ ratnākaraṃ tathāgatam etad avocat* gaccheyam	mahAsatvaH tam Bagavantam ratna-Akaram taTAgatam etat avocat* gacCeyam
   ahaṃ bhagavaṃs tāṃ sahāl lokadhātum tasya bhagavataḥ śākyamunes	aham Bagavan tAm sahAt lokaDAtum tasya BagavataH SAkya-muneH-
   tathāgatasyārhataḥ samyaksaṃbuddhasya darśanāya vandanāya paryupāsanāya |	taTAgatasya-arhataH samyaksaMbudDasya darSanAya vandanAya paryupAsanAya |
   teṣāṃ ca bodhisatvānāṃ mahāsatvānāṃ teṣāṃ ca sarveṣāṃ kumārabhūtānāṃ	tezAm ca boDisatvAnAm mahAsatvAnAm tezAm ca sarvezAm kumAra-BUtAnAm
   dhāraṇīpratisaṃvitpratilabdhānāṃ samādhisamāpattivaśitāpratilabdhānāṃ sa	DAraNI-pratisaMvid-pratilabDAnAm samADi-samApatti-vaSitA-pratilabDAnAm sa
   bhagavān ratnākaras tathāgata | āha | gaccha tvaṃ (LPG 6r) kulaputra 'sya	BagavAn ratna-AkaraH taTAgataH | Aha | gacCa tvam (LPG 6r) kula-putra asya
   śākyamunes tathāgatasyārhataḥ samyaksaṃbuddhasya darśanāya yasyedānīṃ	SAkya-muneH taTAgatasya-arhataH samyaksaMbudDasya darSanAya yasya-idAnIm
   kālaṃ manyase | atha ratnākaras tathāgataḥ suvarṇanirbhāsānāṃ	kAlam manyase | aTa ratna-AkaraH taTAgataH suvarNa-nirBAsAnAm
   sahasrapatrāṇāṃ padmānāṃ sahasraṃ samantaraśmaye bodhisatvāya mahasatvāya	sahasra-patrANAm padmAnAm sahasram samantaraSmaye boDisatvAya mahasatvAya
   prādāt* imaiḥ kulaputra padmais taṃ bhagavantaṃ śākyamuniṃ tathāgatam	prAdAt* imEH kula-putra padmEH tam Bagavantam SAkya-munim taTAgatam
   arhantaṃ samyaksaṃbuddham abhyavakira saṃprajānaccārī ca kulaputra tatra	arhantam samyaksaMbudDam aByavakira saMprajAnaccArI ca kula-putra tatra
   buddhakṣetre bhaves tat kasya hetoḥ durāsadā hi kulaputra te bodhisatvā	budDa-kzetre BaveH tat kasya hetoH durAsadA hi kula-putra te boDisatvA
   mahāsatvā ye tatra lokadhātāv upapannā mā tatra kṣaṇyethā | atha	mahAsatvAH ye tatra lokaDAtO upapannA mA tatra kzaNyeTAH | aTa
   samantaraśmir bodhisatvo mahāsatvas tasya bhagavato ratnākarasya	samantaraSmiH boDisatvaH mahAsatvaH tasya BagavataH ratna-Akarasya
   tathāgatasyārhataḥ samyaksaṃbuddhasyāntikāt tāni suvarṇanirbhāsāni	taTAgatasya-arhataH samyaksaMbudDasya-antikAt tAni suvarNa-nirBAsAni
   sahasrapatrāṇi padmāni gṛhītvānekair bodhisatvakoṭīniyutaśatasahasraiḥ	sahasra-patrANi padmAni gRhItvA-anekEH boDisatva-kowI-niyuta-Sata-sahasrEH
   sārdhaṃ gṛhasthaiḥ pravrajitaiś ca dārakadārikārūpaiś ca tato	sArDam gRhasTEH pravrajitEH ca dAraka-dArikA-rUpEH ca tatas-
   buddhakṣetrād antarhitaḥ yāvantaḥ pūrvasyān diśi buddhā bhagavantas	budDa-kzetrAt antarhitaH yAvantaH pUrvasyAn diSi budDAH Bagavantas
   tiṣṭhanti dṛyante yāpayaṃti | tān sarvān satkurvan gurukurvan mānayan	tizWanti dRyante yApayaMti | tAn sarvAn satkurvan gurukurvan mAnayan
   pūjayan* puṣpair mālyair gandhair vilepanair yāvac chatradhvajapatākābhir	pUjayan* puzpEH mAlyEH ganDEH vilepanEH yAvat Satra-Dvaja-patAkABiH-
   mahatyā bodhisatvardhyā mahatā bodhisatvānubhāvena yena sa bhagavāṃc	mahatyA boDisatvarDyAH mahatA boDisatva-anuBAvena yena sa BagavAnc
   chākyamunis tathāgato 'rhan samyaksaṃbuddhas	CAkya-muniH taTAgataH arhan samyaksaMbudDas
   tenopasaṃkrānta-r-upasaṃkramya bhagavataḥ śākyamunes tathāgatasyārhataḥ	tena-upasaMkrAnta-r-upasaMkramya BagavataH SAkya-muneH taTAgatasya-arhataH
   samyaksaṃbuddhasya pādau śirasā vanditvaikānte 'sthād ekāntasthitaḥ	samyaksaMbudDasya pAdO SirasA vanditvA-ekAnte asTAt ekAnta-sTitaH
   samantaraśmir bodhisatvo mahāsatvo bhagavantam etad avocat* ratnākaro	samantaraSmiH boDisatvaH mahAsatvaH Bagavantam etat avocat* ratnAkaraH-
   bhagavaṃs tathāgato 'rhan samyaksaṃbuddho bhagavato 'lpāvādhatāṃ	Bagavan taTAgataH arhan samyaksaMbudDaH BagavataH alpO=-ADatAm
   paripṛcchaty alpātaṅkatāṃ laghūtthānatāṃ balaṃ ca sukhasparśavihāratāṃ ca	paripRcCati alpa-AtaFka-tAm laGu-utTAna-tAm balam ca suKa-sparSa-vihAra-tAm ca
   | imāni ca tena bhagavatā suvarṇanirbhāsāni sahasrapatrāṇi padmāni	| imAni ca tena BagavatA suvarNa-nirBAsAni sahasra-patrANi padmAni
   prahitāni | bhagavataḥ pūjākarmaṇe | atha bhagavāṃs tāni padmāni gṛhītvā	prahitAni | BagavataH pUjA-karmaNe | aTa BagavAn tAni padmAni gRhItvA
   yena te pūrvasyān diśi gaṃgānadīvālukopameṣu lokadhātuṣu tathāgatā	yena te pUrvasyAn diSi gaMgA-nadI-vAlukA-upamezu lokaDAtuzu taTAgatA
   arhantaḥ samyaksaṃbuddhās tenākṣaipsīt* atha taiḥ padmais te sarve	arhantaH samyaksaMbudDAH tena-akzEpsIt* aTa tEH padmEH te sarve
   lokadhātavaḥ sphuṭā 'bhūvan* tatra ca padmeṣu tathāgatavigrahā niṣaṇṇā	lokaDAtavaH sPuwAH aBUvan* tatra ca padmezu taTAgata-vigrahA nizaNNA
   dharman deśayanti sma | (LPG 6v) yad utemā eva ṣaṭpāramitā ārabhya : yaiś	Darman deSayanti sma | (LPu 6v) yat uta-imAH eva zaz-pAramitA AraBya : yEH-
   ca satvaiḥ sā dharmadeśanā śrutā te niyatā abhavann anuttarasyāṃ	ca satvEH sA Darma-deSanA SrutA te niyatAH aBavan anuttarasyAm
   samyaksaṃbodhau | te 'pi gṛhasthāḥ pravrajitāś ca dārakadārikāś ca	samyaksaMboDO | te api gRhasTAH pravrajitAH ca dAraka-dArikAH ca
   svakasvakaiḥ kuśalamūlais tathāgataṃ satkurvanti sma gurukurvanti sma	sva-ka-svakEH kuSala-mUlEH taTAgatam satkurvanti sma gurukurvanti sma
   mānayaṃti sma pūjayanti sma | // evaṃ dakṣiṇasyān diśi	mAnayaMti sma pUjayanti sma | // evam dakziNasyAn diSi
   gaṃgānadīvālukopamāl lokadhātūn atikramya yā sarvapaścimā lokadhātuḥ	gaMgA-nadI-vAlukA-upamAt lokaDAtUn atikramya yA sarva-paScimA lokaDAtuH
   sarvaśokāpagatā nāma tatrāśokaśrīr nāma tathāgato 'rhan samyaksaṃbuddhas	sarvaSoka-apagatA nAma tatra-aSokaSrIH nAma taTAgataH arhan samyaksaMbudDas
   tiṣṭhati dhṛyate yāpayati tatra vigataśoko nāma bodhisatvo mahāsatva yāvad	tizWati DRyate yApayati tatra vigata-SokaH nAma boDisatvaH mahAsatva yAvat-
   vistareṇa kartavyam* // evaṃ paścimāyān diśy upaśāntā nāma lokadhātuḥ	vistareNa kartavyam* // evam paScimAyAn diSi upaSAntAH nAma lokaDAtuH
   tatra ratnārcir nāma tathāgato 'rhan samyaksaṃbuddhas tiṣṭhati dhṛyate	tatra ratnArciH nAma taTAgataH arhan samyaksaMbudDaH tizWati DRyate
   yāpayati | tatra cāritramatir nāma bodhisatvo mahāsatva yāvad vistareṇa	yApayati | tatra cAritramatiH nAma boDisatvaH mahAsatva yAvat vistareNa
   kartavyam* // uttarasyān diśi jayā nāma lokadhātus tatra jayendro nāma	kartavyam* // uttarasyAn diSi jayA nAma lokaDAtuH tatra jaya-indraH nAma
   tathāgato 'rhan samyaksaṃbuddhas tiṣṭhati dhṛyate yāpayati tatra jayadatto	taTAgataH arhan samyaksaMbudDaH tizWati DRyate yApayati tatra jayadattaH-
   nāma bodhisatvo mahāsatva yāvad vistareṇa kartavyam* // evam	nAma boDisatvaH mahAsatva yAvat vistareNa kartavyam* // evam
   uttarapūrvasyān diśi samādhyalaṃkṛtā nāma lokadhātus tatra	uttara-pUrvasyAn diSi samADi-alaMkRtA nAma lokaDAtuH tatra
   samādhihastyuttaraśrīr nāma tahāgatas tiṣṭhati dhṛyate yāpayati tatra	samADihastyuttaraSrIH nAma tahAgataH tizWati DRyate yApayati tatra
   vijayavikrāmī nāma bodhisatvo mahāsatva yāvad vistareṇa kartavyam* //	vijaya-vikrAmI nAma boDisatvaH mahAsatva yAvat vistareNa kartavyam* //
   pūrvadakṣiṇasyān diśi bodhimaṇḍālaṃkārasurucirā nāma lokadhātus tatra	pUrva-dakziNasyAn diSi boDimaNxAlaMkArasurucirA nAma lokaDAtuH tatra
   padmottaraśrīr nāma tathāgatas tiṣṭhati dhṛyate yāpayati tatra padmahasto	padmottaraSrIH nAma taTAgataH tizWati DRyate yApayati tatra padma-hastaH-
   nāma bodhisatvo mahāsatva yāvad vistareṇa kartavyam* // dakṣiṇapaścimāyān	nAma boDisatvaH mahAsatva yAvat vistareNa kartavyam* // dakziNa-paScimAyAn
   diśi vigatarajaḥsaṃcayā nāma lokadhātus tatra	diSi vigatarajaH-saMcayAH nAma lokaDAtuH tatra
   sūryamaṇḍalaprabhāsottamaśrīr nāma tathāgatas tiṣṭhati dhriyate yāpayati |	sUryamaNxalapraBAsottamaSrIH nAma taTAgataH tizWati Driyate yApayati |
   tatra sūryapratibhāso nāma bodhisatvo mahāsatvaḥ yāvad vistareṇa	tatra sUryapratiBAsaH nAma boDisatvaH mahAsatvaH yAvat vistareNa
   kartavyam* // paścimottarasyān diśi vaśībhūtā nāma lokadhātus	kartavyam* // paScima-uttarasyAn diSi vaSIBUtAH nAma lokaDAtu-H-
   tatraikacchatro nāma tathāgatas tiṣṭhati dhṛyate yāpayati tatra ratnottamo	tatra-ekacCatraH nAma taTAgataH tizWati DRyate yApayati tatra ratna-uttamaH-
   nāma bodhisatvo mahāsatvo yāvad vistareṇa kartavyam* // (LPG 7r)	nAma boDisatvaH mahAsatvaH yAvat vistareNa kartavyam* // (LPu 7r)
   adhastāddiśi padmā nāma lokadhātus tatra padmaśrīr nāma tathāgato 'rhan	aDastAt-diSi padmA nAma lokaDAtuH tatra padmaSrIH nAma taTAgataH arhan
   samyaksaṃbuddhas tiṣṭhati dhriyate yāpayati | tatra padmottaro nāma	samyaksaMbudDaH tizWati Driyate yApayati | tatra padmottaraH nAma
   bodhisatvo mahāsatva yāvad vistareṇa kartavyam* upariṣṭāddiśi	boDisatvaH mahAsatva yAvat vistareNa kartavyam* uparizwAt-diSi
   gaṃgānadīvālukopamāl lokadhātūn atikramya yā sarvapaścimā lokadhātur nandā	gaMgA-nadI-vAlukA-upamAt lokaDAtUn atikramya yA sarva-paScimA lokaDAtuH nandA
   nāma tatra nandaśrīr nāma tathāgato 'rhan samyaksaṃbuddhas tiṣṭhati	nAma tatra nandaSrIH nAma taTAgataH arhan samyaksaMbudDaH tizWati
   dhṛyate yāpayati | sa imām eva prajñāpāramitāṃ bodhisatvānāṃ mahāsatvānāṃ	DRyate yApayati | saH imAm eva prajQApAramitAm boDisatvAnAm mahAsatvAnAm
   saṃprakāśayati | atha tatra lokadhātau nandadatto nāma bodhisatvo	saMprakASayati | aTa tatra lokaDAtO nandadattaH nAma boDisatvaH-
