   // āyurvedamahodadhiḥ //	// Ayurveda-mahA-udaDiH //
   annapānavidhiḥ	anna-pAna-viDiH
   amṛtaṃ viṣam iti salilaṃ cedaṃ niṣṭhā (vidyā) d atividitatatvārthaḥ /	amRtam vizam iti salilam ca-idam nizWA (vidyA) d ati-vidita-tatva-arTaH /
   yuttayā sevitam amṛtaṃ viṣam etad ayuktitaḥ pītam // 77 //	yuttayA sevitam amRtam vizam etat ayuktitaH pItam // 77 //
   pūrayed bhāgayugalaṃ kukṣeś cānnena susthitaḥ /	pUrayet BAga-yugalam kukzeH ca-annena susTitaH /
   jalenaikaṃ caturthe ca vāyusaṃcāraṇāya vai // 78 //	jalena-ekam caturTe ca vAyu-saMcAraNAya vE // 78 //
   grāse grāse tu pātavyaṃ śītalaṃ vāri sarvadā /	grAse grAse tu pAtavyam SItalam vAri sarvadA /
   bahuvāriyutaṃ cānnam agniṃ pacati satvaram // 79 //	bahu-vAri-yutam ca-annam agnim pacati sa-tvaram // 79 //
   tasmād ādāv atisvalpaṃ madhye ca tṛptidāyakam /	tasmAt AdO atisvalpam maDye ca tRpti-dAyakam /
   mātrayā ca pibed ante na rogair bādhyate naraḥ // 80 //	mAtrayA ca pibet ante na rogEH bADyate naraH // 80 //
   vāsitaṃ nūtanaiḥ puṣpaiḥ pāṭalīcampakādibhiḥ //	vAsitam nUtanEH puzpEH pAwalI-campaka-AdiBiH //
   pathyaṃ sugandhi hṛdyaṃ ca śītalāmbu sadā pibet // 81 //	paTyam suganDi hRdyam ca SItala-ambu sadA pibet // 81 //
   (Ap 11)	(Ap 11)
   sugamaṃ yat sarovālaśakalair adhivāsitam /	sugamam yat sarovAla-SakalEH aDivAsitam /
   karpūreṇa ca yat toyaṃ tat peyaṃ sarvadā nṛṇām // 82 //	karpUreNa ca yat toyam tat peyam sarvadA nRNAm // 82 //
   grīṣme śaradi pātavyaṃ svecchayā salilaṃ naraiḥ /	grIzme Saradi pAtavyam sva-icCayA salilam narEH /
   anyadā kalpamaidhete (svalpam evaitad) vātaśleṣmabhayāt pibet // 83 //	anyadA kalpam-EDete (su-alpam eva-etat-) vAta-Slezma-BayAt pibet // 83 //
   anye (anne) nāpi vinā jantuḥ prāṇān saṃdhārayec ciram /	anye (anne) na-api vinA jantuH prANAn saMDArayet ciram /
   toyābhāve pipāsārtaḥ kṣaṇāt prāṇair vimucyate // 84 //	toya-aBAve pipAsA-ArtaH kzaNAt prANEH vimucyate // 84 //
   ādimadhyāvasāne ca bhojane payasā yute /	Adi-maDya-avasAne ca Bojane payasA yute /
   kṛśaṃ sādhyaṃ (kārśyaṃ sābhyaṃ) tathā sthaulyaṃ bhavanti kramaśo guṇāḥ //	kRSam sADyam (kArSyam sAByaM) taTA sTOlyam Bavanti kramaSas guNAH //
   pānīyaṃ pānīyaṃ śaradi vasante ca pānīyam /	pAnIyam pAnIyam Saradi vasante ca pAnIyam /
   nādeyaṃ nādeyaṃ śaradi vasante ca nādeyam // 86 //	nAdeyam nAdeyam Saradi vasante ca nAdeyam // 86 //
   ity āyur vedamahodadhau śrīsuṣeṇakṛtau pānīyaguṇāḥ samāptāḥ //	iti AyuH veda-mahodaDO SrI-suzeNa-kRtO pAnIya-guNAH samAptAH //
   atha kāṣṭhataptodakavargaḥ /	aTa kAzWa-tapta-udaka-vargaH /
   gandharvahastakāṣṭhaiś ca taptaṃ vāri prapūjitam	ganDarva-hasta-kAzWEH ca taptam vAri prapUjitam
   alakṣmīraktapittaghnaṃ doṣāṇāṃ ca prasādanam // 1 //	alakzmI-raktapitta-Gnam dozANAm ca prasAdanam // 1 //
   bhallātakaiś ca kāṣṭhaiś ca taptaṃ vāri śubhodakam /	BallAtakEH ca kAzWEH ca taptam vAri SuBa-udakam /
   vātaśleṣmaharaṃ pathyaṃ vīryatejovivardhanam // 2 //	vAta-Slezma-haram paTyam vIrya-tejaH-vivarDanam // 2 //
   pālāśodumbarodbhūtakāṣṭhataptaṃ śubhaṃ jalam /	pAlASa-udumbara-udBUta-kAzWa-taptam SuBam jalam /
   vraṇakaṇḍūharaṃ cāsṛkbalavīryavivardhanam // 3 //	vraNa-kaNxU-haram ca-asRk-bala-vIrya-vivarDanam // 3 //
   jambūkapitthāmrajaiḥ kāṣṭhaiḥ taptaṃ vāri taḍāgajam /	jambU-kapitTa-Amra-jEH kAzWEH taptam vAri taxAga-jam /
   medhābalapradaṃ vīryakṛmidoṣavināśanam // 4 //	meDA-bala-pradam vIrya-kRmi-doza-vinASanam // 4 //
   (Ap 12)	(Ap 12)
   dumbarīkāṣṭhajais toyaṃ tāpyaṃ vāpīsamudbhavam /	dumbarI-kAzWa-jEH toyam tApyam vApI-samudBavam /
   kaphahṛt tac ca nirdiṣṭaṃ doṣāṇāṃ ca vināśanam // 5 //	kaPa-hRt tat ca nirdizwam dozANAm ca vinASanam // 5 //
   kāṣṭhaiḥ khadirajais taptaṃ raktapittavināśanam /	kAzWEH Kadira-jEH taptam raktapitta-vinASanam /
   āpyāyanakaraṃ grīṣme śreṣṭham uktam idaṃ jalam // 6 //	ApyAyana-karam grIzme SrezWam uktam idam jalam // 6 //
   kadambanimbajais taptaṃ saritsamudrajaṃ jalam /	kadamba-nimba-jEH taptam sarit-samudra-jam jalam /
   pathyaṃ doṣaharaṃ kaṇḍūraktapittavināśanam // 7 //	paTyam doza-haram kaNxU-rakta-pitta-vinASanam // 7 //
   dhātrīdāruśṛtaṃ taptaṃ malakṣālanayodakam /	DAtrI-dAru-SRtam taptam malakzAla-nayA-udakam /
   vātapittaharaṃ śreṣṭhaṃ rasāyanakaraṃ param // 8 //	vAta-pitta-haram SrezWam rasAyana-karam param // 8 //
   puṣkarassa (madhukasya) ca kāṣṭhaiś ca taptaṃ kūpodbhavodakam /	puzkarassa (maDukasya) ca kAzWEH ca taptam kUpa-udBava-udakam /
   vātapittaharaṃ śreṣṭhaṃ rasāyanakaraṃ param // 9 //	vAta-pitta-haram SrezWam rasAyana-karam param // 9 //
   (grahaṇīpāṇḍuhṛtkāsaśvāsahṛtparamaṃ hitaṃ /)	(grahaNI-pANxu-hRd-kAsa-SvAsa-hRd-paramam hitam /)
   karpūra (karkandhu) dārusaṃbhūtataptam uṣṇodakaṃ śubham (nādeyam	karpUraH (karkanDu) dAru-saMBUta-taptam uzNa-udakam SuBam (nAdA-iyam
   udakottamam /)	udaka-uttamam /)
   jaṭharāgneś ca sadanaṃ suśrutena pradarśitam // 10 //	jaWara-agneH ca sadanam suSrutena pradarSitam // 10 //
   sallakīśākaniryāsakāṣṭhaiś cāpi pṛthak pṛthak /	sallakI-SAka-niryAsa-kAzWEH ca-api pRTak pRTak /
   taptaṃ nirjharajaṃ vāri nāmayān janayed varam (rogān saṃjanaded bahūn) //	taptam nirJara-jam vAri na-AmayAn janayet varam (rogAn saMjanadet bahUn) //
   vaṭaiś cārjunakāṣṭhaiś ca saṃtataṃ tāpitaṃ jalam /	vawEH ca-arjuna-kAzWEH ca saMtatam tApitam jalam /
   balamedhāprajananaṃ (ā) maitreyeṇa pradarśitam // 12 //	bala-meDA-prajananam (A) mEtreyeNa pradarSitam // 12 //
   tarkārī vātahaṃtrī ca kaṇḍūtvagdoṣavardhanam /	tarkArI vAta-haMtrI ca kaNxU-tvac-doza-varDanam /
   vano (navo)dakaṃ susaṃtaptaṃ malānāṃ kṣālane hitam // 13 //	vanaH (nava-u)dakam su-saMtaptam malAnAm kzAlane hitam // 13 //
   // iti kāṣṭhataptodakavargaḥ //	// iti kAzWa-tapta-udaka-vargaH //
   (Ap 13)	(Ap 13)
   atha bhājanabhadena guṇāviśeṣāḥ /	aTa BAjana-Badena guNa-aviSezAH /
   hemapātre ca susvādu vipāke śītalaṃ madhu /	hema-pAtre ca su-svAdu vipAke SItalam maDu /
   tridoṣaśamanaṃ vīryabalamedhākaraṃ śubham // 1 //	tridoza-Samanam vIrya-bala-meDA-akaram SuBam // 1 //
   trapupātrodakaṃ yac ca picchalaṃ madhuraṃ rase /	trapu-pAtra-udakam yat ca picCalam maDuram rase /
   vīrye kaphapradaṃ cāgniśakṛnmārutavardhanam // 2 //	vIrye kaPa-pradam ca-agni-SakRt-mAruta-varDanam // 2 //
   ghoṣapātre yad udakaṃ vipāke kaṭukaṃ guru	Goza-pAtre yat udakam vipAke kawukam guru
   pittaśleṣmapradaṃ vṛddhe yathākālaṃ balāya ca (vṛddhau	pitta-Slezma-pradam vRdDe yaTAkAlam balAya ca (vRdDO
   vyathākālānurūpitam) // 3 //	vyaTA-kAla-anurUpitam) // 3 //
   dhārāpātapayaḥpānaṃ ghrāṇopari suśītalam	DArA-pAta-payaH-pAnam GrANa-upari su-SItalam
   śvasebanānnapatayo (āsecanaṃ ca nayane) tridoṣaśamanaṃ hitam // 4 //	Sva-sebana-annapatayaH (A-secanam ca nayane) tridoza-Samanam hitam // 4 //
   tāmrabhājanake vāri soṣṇaṃ svāde sakṛtkaṭu /	tAmra-BAjanake vAri sa-uzNam svAde sakRt-kawu /
   pittānilapradaṃ vṛddhe śakṛnmārutanāśanam (kopanam) // 5 //	pitta-anila-pradam vRdDe SakRt-mAruta-nASanam (kopanam) // 5 //
   rītikāpacitaṃ toyaṃ kaṭu śleṣmavināśanam /	rItikA-apacitam toyam kawu Slezma-vinASanam /
   pittalaṃ sakaṭūṣṇaṃ ca meharogavivardhanam // 6 //	pittalam sa-kawu-uzNam ca meha-roga-vivarDanam // 6 //
   lohabhājanasaṃsthaṃ ca payaḥ pānaṃ ca dūṣitam /	loha-BAjana-saMsTam ca payaH pAnam ca dUzitam /
   raktapittaha(ka)raṃ kaṇḍūtridoṣaśamanaṃ param (madadoṣāgnikārakam) // 7 //	raktapitta-ha(-ka)ram kaNxU-tridoza-Samanam param (mada-doza-agnikArakam) // 7 //
   lohabhājanasaṃtaptaṃ kaṇḍūmandāgnikārakam /	loha-BAjana-saMtaptam kaNxU-manda-agni-kArakam /
   malānāṃ recane coktam āśayakṣālane hitam // 8 //	malAnAm recane ca-uktam ASaya-kzAlane hitam // 8 //
   madhūdumbarapātreṇa tāpitaṃ codakottamam /	maDU-dumbara-pAtreNa tApitam ca-udaka-uttamam /
   vapuḥ kāntipradaṃ pitte (proktaṃ) vahnimāndyakaraṃ sakṛt (ca tat) // 9 //	vapuH kAnti-pradam pitte (proktaM) vahni-mAndya-karam sakRt (ca tat) // 9 //
   (Ap 14)	(Ap 14)
   bhājane mṛnmaye taptaṃ malānāṃ kṣālane hitam	BAjane mRd-maye taptam malAnAm kzAlane hitam
   dhātusāmyakaraṃ vīryabalaujaḥparivardhanam // 10 //	DAtu-sAmya-karam vIrya-bala-ojaH-parivarDanam // 10 //
   // ity āyurvedamahodadhau suṣeṇakṛte bhājanādhivāsavidhiḥ //	// iti Ayurveda-mahodaDO suzeNa-kRte BAjana-aDivAsa-viDiH //
   idānīṃ kṣīraguṇāḥ kathyante //	idAnIm kzIra-guNAH kaTyante //
   tatrāpi gavyamāhiṣayor eva sadopayogitvāt	tatra-api gavya-mAhizayoH eva sadA-upayogi-tvAt
   tayor eva prathamaṃ svarūpaṃ vicāryate //	tayoH eva praTamam svarUpam vicAryate //
   gavyaṃ himaṃ medhyatama hi dugdhaṃ prāṇapradaṃ pittasamīraṇaghnam /	gavyam himam meDyatama hi dugDam prANa-pradam pitta-samIraNa-Gnam /
   rasāyanaṃ varṇakaraṃ mukeśyaṃ ārogyahetuḥ satataṃ narāṇām // 1 //	rasAyanam varNa-karam mukeSyam Arogya-hetuH satatam narANAm // 1 //
   kṣīraṃ sākṣāt* jīvanaṃ janmasāhyā(tmyā)t tad dhāroṣṇaṃ gavyam āyuṣyam	kzIram sAkzAt* jIvanam janma-sAhyA(tmyA)t tat DArozNam gavyam Ayuzyam
   uṣṇam /	uzNam /
   prātaḥ sāyaṃ grāmyadharmāvasāne bhukte paścād okasātmyaṃ karoti // 2 //	prAtar sAyam grAmya-Darma-avasAne Bukte paScAt oka-sAtmyam karoti // 2 //
   atha gavāṃ varṇaviśeṣe kṣīraguṇaviśeṣāḥ /	aTa gavAm varNa-viSeze kzIra-guNa-viSezAH /
   gavāṃ sitānāṃ vātaghnaṃ kṛṣṇānāṃ pittanāśanam /	gavAm sitAnAm vAta-Gnam kRzNAnAm pitta-nASanam /
   kaphaghnaṃ raktavarṇānāṃ trīn hanti kapilāda(pa)yaḥ // 3 //	kaPa-Gnam rakta-varNAnAm trIn hanti kapilAda(pa)yaH // 3 //
   śītalaṃ madhuraṃ snigdhaṃ vātapittaharaṃ param /	SItalam maDuram snigDam vAta-pitta-haram param /
   vṛṣyam ojaskaraṃ hṛdyaṃ śleṣmaghnaṃ ca rasāyanam // 4 //	vRzyam ojaskaram hRdyam Slezma-Gnam ca rasAyanam // 4 //
   (Ap 15)	(Ap 15)
   pāke svādurasaṃ medhyaṃ kṣayakṣīṇabalapradam	pAke svAdu-rasam meDyam kzaya-kzINa-bala-pradam
   śvāsakāsapraśamanaṃ śramatrayamadāpaham // 5 //	SvAsa-kAsa-praSamanam Srama-traya-mada-apaham // 5 //
   jīrṇajvare mūtrakṛcchre raktapitte ca śasyate /	jIrNajvare mUtrakRcCre raktapitte ca Sasyate /
   gavyaṃ payaḥ pavittraṃ ca balapuṣṭiprakārakam // 6 //	gavyam payaH pavittram ca bala-puzwi-prakArakam // 6 //
   śreṣṭhaṃ cākṣayyam āyuṣyaṃ kāntilāvaṇyakārakam /	SrezWam ca-akzayyam Ayuzyam kAnti-lAvaNya-kArakam /
   payo gavyaṃ teṣāṃ bhra(śra)marudhirapittaśramamada	payaH gavyam tezAm Bra(Sra)ma-ruDira-pitta-Srama-mada
   kṣayālakṣmīgulmapradaragarapāṇḍvāmayaharam /	kzaya-alakzmI-gulma-pradara-gara-pANxu-Amaya-haram /
   śakṛcchreṣmajvara (?) śvayathuplīhaśamanaṃ	SakRt-Srezma-jvaraH (?) SvayaTu-plIha-Samanam
   tṛṣāmedomurcchājvaram anilam apy āśu śamayet // 7 //	tRzA-medaH-murcCA-jvaram anilam api ASu Samayet // 7 //
   atha bhājanaviśeṣe guṇaviśeṣāḥ /	aTa BAjana-viSeze guNa-viSezAH /
   tāmre vātaharaṃ kṣīraṃ sauvarṇe pittanāśanam /	tAmre vAta-haram kzIram sOvarNe pitta-nASanam /
   raupye śleṣmaharaṃ caiva kāṃsye raktaprasādanam // 8 //	rOpye Slezma-haram ca-eva kAMsye rakta-prasAdanam // 8 //
   iti gokṣīram //	iti go-kzIram //
   atha mahiṣīkṣiram /	aTa mahizI-ikziram /
   māhiṣaṃ balavarṇaujo nidrābhukta(śukra)balanadam /	mAhizam bala-varNa-ojaH nidrA-Bukta(-Sukra)-balanadam /
   tīkṣṇāgniśamanaṃ svādu rase pāke ca puṣṭidam // 1 //	tIkzNa-agni-Samanam svAdu rase pAke ca puzwi-dam // 1 //
   vyāyāmaśrāntadehasya śramaghnam anilāpaham /	vyAyAma-SrAnta-dehasya Srama-Gnam anila-apaham /
   niṣkāmasyāpi vṛddhasya strīṣu kāmapradāyakam // 2 //	nizkAmasya-api vRdDasya strIzu kAma-pradAyakam // 2 //
   balinas taruṇasyāpi viśeṣāt kāmadāyakam /	balinaH taruNasya-api viSezAt kAma-dAyakam /
   iti māhiṣam //	iti mAhizam //
   atha ajākṣīram /	aTa ajA-kzIram /
   ajānām alpakāma(ya)tvāt kaṭutiktaniṣevaṇāt /	ajAnAm alpa-kAma(ya)-tvAt kawu-tikta-nizevaNAt /
   nātyambupānād vyāyāmāt sarvavyādhiharaṃ payaḥ // 1 //	na-ati-ambu-pAnAt vyAyAmAt sarva-vyADi-haram payaH // 1 //
   (Ap 16)	(Ap 16)
   ājam agnibalakṛt kṣayakāmaśvāsahṛccalaharaṃ paramaṃ tat /	Ajam agni-bala-kRt kzaya-kAma-SvAsa-hRd-cala-haram paramam tat /
   raktapittaharam āśv atisāre raktaje ca kathitaṃ hitam eva // 4 [sic!] //	raktapitta-haram ASu atisAre rakta-je ca kaTitam hitam eva // 4 [sic!] //
   atha uṣṭrīkṣīram /	aTa uzwrI-kzIram /
   uṣṭrīkṣīraṃ suptiśophāpahāraṃ pittaśleṣmātyarśasā ca praśastam /	uzwrI-kzIram supti-SoPa-apahAram pitta-Slezma-ati-arSasA ca praSastam /
   ānāhaghnaṃ codarāṇāṃ praśastaṃ jantughnaṃ vai śasyate sarvakālam // 5 //	AnAha-Gnam ca-udarANAm praSastam jantu-Gnam vE Sasyate sarvakAlam // 5 //
   atha aśvākṣīram /	aTa aSva-akzIram /
   uṣṇam aikaśaphaṃ balyaṃ śvāsa (śākhā) vātāpahaṃ payaḥ /	uzNam EkaSaPam balyam SvAsa (SAKA) vAta-apaham payaH /
   madhurāmla (rasaṃ) karaṃ rūkṣaṃ lavaṇānurasam laghu // 6 //	maDura-amla (rasaM) karam rUkzam lavaNa-anurasam laGu // 6 //
   (kharāśvākṣīram)	(Kara-aSva-akzIram)
   atha strīstanyam /	aTa strI-stanyam /
   mānuṣyaṃ(ṣaṃ) madhuraṃ stanyaṃ kaṣāyānurasaṃ himam /	mAnuzyaM(zan) maDuram stanyam kazAya-anurasam himam /
   nasyāś cotanapathyaṃ ca jīvanaṃ laghu dīpanam // 7 //	nasyAH cotana-paTyam ca jIvanam laGu dIpanam // 7 //
   atha hastinīkṣīram /	aTa hastinI-kzIram /
   hastinyā madhuraṃ vṛṣyaṃ kaṣāyānurasaṃ guru /	hastinyAH maDuram vRzyam kazAya-anurasam guru /
   snigdhaṃ (sthai) dhairyakaraṃ śītaṃ cakṣuṣyaṃ balavardhanam {cf.	snigDam (sTE) DErya-karam SItam cakzuzyam bala-varDanam {cf.
   Rājanighaṇṭu 15.15} //	RA-jani-GaNwu 15.15} //
   (Ap 17)	(Ap 17)
   atha payaḥsāmānyaguṇāḥ /	aTa payaH-sAmAnya-guNAH /
   payo 'bhiṣyandi gurvāmaṃ prāyaśaḥ parikīrtitam /	payaH aBizyandi guru-Amam prAyaSas parikIrtitam /
   tad evāsyataraṃ (tiśṛtaṃ) vidyāt gurutarpaṇabṛṃhaṇam // 8 //	tat eva-asyataram (ti-SRtaM) vidyAt guru-tarpaNa-bRMhaNam // 8 //
   varjayitvā striyāḥ stanya āmam eva hi khāṇḍitam /	varjayitvA striyAH stanyaH Amam eva hi KANxitam /
   dharoṣmam amṛtaṃ kṣīraṃ viparītam ato cyate ('nyathā) // 9 //	DarA-Uzmam amRtam kzIram viparItam atas cyate (-anyaTA) // 9 //
   atha ninditadugdham /	aTa nindita-dugDam /
   aniṣṭagandham amlaṃ ca vivarṇaṃ virasaṃ ca yat /	anizwa-ganDam amlam ca vivarNam virasam ca yat /
   varjaṃ (rjyaṃ) salavaṇaṃ kṣīraṃ yac ca vigrathitaṃ bhavet /	varjam (rjyaM) sa-lavaNam kzIram yat ca vigraTitam Bavet /
   kṣīraṃ na bhuñjīna (divā) yadi bhuñjīta na svapet /	kzIram na BuQjInaH (divA) yadi BuQjIta na svapet /
   yadi svapet kṣayaṃ cāyus tasmāt kṣīraṃ divāmṛtam // 11 //	yadi svapet kzayam ca-AyuH tasmAt kzIram divA-amRtam // 11 //
   atha dhāroṣṇādiguṇāḥ /	aTa DArA-uzNa-Adi-guNAH /
   dhāroṣṇam amṛtaṃ pathyaṃ dhārāśītaṃ tridoṣakṛt /	DArozNam amRtam paTyam DArASItam tridoza-kRt /
   śṛtaṃ śītaṃ tridoṣaghnaṃ śītoṣṇa [śṛtoṣṇaṃ] kaphavātajit // 12 //	SRtam SItam tridoza-Gnam SIta-uzNaH [SRta-uzNaM] kaPa-vAta-jit // 12 //
   athāvikaṃ pathyatamaṃ śṛtoṣṇaṃ mājaṃ payo vai śṛtaśītam eva /	aTa-Avikam paTyatamam SRta-uzNam mAjam payaH vE SRtaSItam eva /
   dhārāsuśītaṃ mahiṣīpayaś ca dhāroṣṇam evaṃ hitam eva gavyam // 13 //	DArAsu-SItam mahizI-payaH ca DArozNam evam hitam eva gavyam // 13 //
   anyac ca /	anyat ca /
   pittaghnaṃ māhiṣaṃ kṣīraṃ vātaghnaṃ cāvikaṃ payaḥ /	pitta-Gnam mAhizam kzIram vAta-Gnam ca-Avikam payaH /
   vātapittaharaṃ gavyaṃ tridoṣaghnam ajāpayaḥ // 14 //	vAta-pitta-haram gavyam tridoza-Gnam ajA-payaH // 14 //
   (Ap 18)	(Ap 18)
   atha prābhātikādidugdhaguṇāḥ /	aTa prABAtika-Adi-dugDa-guNAH /
   prāyaḥ prābhātikaṃ kṣīraṃ guru viṣṭambhi śītalam /	prAyas prABAtikam kzIram guru vizwamBi SItalam /
   rātrau saumyaguṇatvāc ca vyāyāmābhāvatas tathā // 17 //	rAtrO sOmya-guNa-tvAt ca vyAyAma-aBAvataH taTA // 17 //
   divākarābhitaptānāṃ vyāyāmānilasevanāt /	divAkara-aBitaptAnAm vyAyAma-anila-sevanAt /
   vātapittaharaṃ caiva cākṣuṣyaṃ cāparāhṇikam // 16 //	vAta-pitta-haram ca-eva cAkzuzyam ca-aparAhNikam // 16 //
   atha pūrvāhṇādau kṣīrapāne guṇaviśeṣāḥ /	aTa pUrvAhNa-AdO kzIra-pAne guNa-viSezAH /
   vṛṣyaṃ bṛṃhaṇam agnivṛddhijanakaṃ pūrvāhṇakāle payo	vRzyam bRMhaNam agni-vRdDi-janakam pUrvAhNa-kAle payaH-
   madhyāhne baladāyakaṃ ratikaraṃ kṛcchrāśmarīchedanam /	maDyAhne bala-dAyakam rati-karam kRcCra-aSmarI-Cedanam /
   bāle tv agnikaraṃ kṣaye balakaraṃ vṛddhasya retovahaṃ	bAle tu agni-karam kzaye bala-karam vRdDasya retaH-vaham
   rātrau kṣīram anekadoṣaśamanaṃ sevyaṃ sadā prāṇibhiḥ // 17 //	rAtrO kzIram aneka-doza-Samanam sevyam sadA prANiBiH // 17 //
   bhuktā ye kaṭutīvracaṇḍavidalā ye cāmlatiktā rasāḥ	BuktAH ye kawu-tIvra-caNxa-vidalAH ye ca-amla-tiktAH rasAH
   rūkṣakṣāravidāhaśoṣakaparā ye cātitāpapradāḥ	rUkza-kzAra-vidAha-Sozaka-parAH ye ca-ati-tApa-pradAH
   kāṣāyāḥ kaṭurūkṣadurjaratarāḥ saṃsevyamānā hasa[thā]t	kAzAyAH kawu-rUkza-durjaratarAH saMsevyamAnA hasa[TA]t-
   tat sarvaṃ balakṛt karoti tarasā dugdhaṃ niśāsevitam // 18 //	tat sarvam bala-kRt karoti tarasA dugDam niSA-sevitam // 18 //
   atha kṣīravikriyākālaniyamaḥ /	aTa kzIra-vikriyA-kAla-niyamaH /
   muhūrtapañcakād ūrdhvaṃ kṣīraṃ bhajati vikriyām /	muhUrta-paQcakAt UrDvam kzIram Bajati vikriyAm /
   tad eva dviguṇe kāle viṣavad dhanti mānavam // 19 //	tat eva dviguNe kAle viza-vat Danti mAnavam // 19 //
   (Ap 19)	(Ap 19)
   atha dhāroṣṇasya payasaḥ punar guṇakīrtanam /	aTa DArozNasya payasaH punar guNa-kIrtanam /
   dhāroṣmaṃ [ṣṇaṃ] pavanaprakopaśamanaṃ dugdhaṃ gavāṃ puṣṭikṛt	DArA-Uzmam [zNan] pavana-prakopa-Samanam dugDam gavAm puzwi-kRt-
   pāṇḍuṃ kāmalakaṃ nihanti tarasā kṣīṇorjakṛcchrīkaram /	pANxum kAmalakam nihanti tarasA kzINa-UH-jakRt-SrIkaram /
   dāhaṃ dehagataṃ karāṅghranayanajvālāṃ ca piktonnatiṃ	dAham deha-gatam kara-aFGra-nayana-jvAlAm ca pikta-unnatim
   duṣṭāsraṃ kṛśatāṃ kṛśānujanitāṃ kṛcchrādirogān jayet // 20 //	duzwa-asram kRSa-tAm kRSa-anu-janitAm kRcCra-Adi-rogAn jayet // 20 //
   atha kvathitādikṣīrasya pathyatākālavyavasthā /	aTa kvaTita-Adi-kzIrasya paTya-tA-kAla-vyavasTA /
   akvathitaṃ daśa ghaṭikāḥ kvathitaṃ dviguṇāś ca tāḥ payaḥ pathyam	akvaTitam daSa GawikAH kvaTitam dviguNAH ca tAH payaH paTyam
   uṣasi ca sarasādyāṃ (?) (koṣṇaṃ ca svarasāḍhyaṃ) yāvat tāvat payaḥ prāśyam	uzasi ca sarasa-AdyAm (?) (kozNam ca svarasa-AXyan) yAvat tAvat payaH prASyam
   atha jvare payasaḥ pathyāpathyatvam /	aTa jvare payasaH paTyA-paTya-tvam /
   jīrṇajvare kaphakṣīṇe kṣīraṃ syād amṛtopamam /	jIrNajvare kaPa-kzINe kzIram syAt amRta-upamam /
   tad eva taruṇe pītaṃ viṣavad dhanti mānavam // 22 //	tat eva taruNe pItam viza-vat Danti mAnavam // 22 //
   tasmāc chṛtaṃ vāpy aśrutaṃ kṣīraṃ tātkālikaṃ pibet /	tasmAt SRtam vA-api aSrutam kzIram tAtkAlikam pibet /
   caturbhāgajalaṃ dattvā yat tadāvartitaṃ payaḥ // 23 //	catur-BAga-jalam dattvA yat tad-A-Avartitam payaH // 23 //
   tasmāt tad balakṛcchreṣṭhaṃ hitaṃ savarujāpaham /	tasmAt tat bala-kRt-SrezWam hitam sa-varujA-apaham /
   atha asātmyakṣīrāṇāṃ kṣīrakalpanam /	aTa asAtmya-kzIrANAm kzIra-kalpanam /
   (yeṣāṃ na sātmyaṃ) etac ca sākṣāt kṣīreṇa pītaṃ cādhmānakārakam // 24 //	(yezAm na sAtmyan) etat ca sAkzAt kzIreNa pItam ca-ADmAna-kArakam // 24 //
   teṣām ardhajalaṃ datvā nāgaraṃ pippalīyutam /	tezAm arDa-jalam datvA nAgaram pippalI-yutam /
   āvartayet kṣīraśeṣaṃ tat pītvā sukham āvahet // 25 //	Avartayet kzIra-Sezam tat pItvA suKam Avahet // 25 //
   (Ap 20)	(Ap 20)
   atha gavyādidugdhabhedena pānakālānirṇayaḥ /	aTa gavya-Adi-dugDa-Bedena pAna-kAla-anirNayaH /
   pūrvāhṇe māhiṣaṃ saśarkaraṃ svecchayā vā?	pUrvAhNe mAhizam sa-Sarkaram sva-icCayA vA?
   yeṣāṃ sāmyaṃ sadā bhavet /	yezAm sAmyam sadA Bavet /
   (ḥgavyaṃ pūrvāhṇakāle syād aparāhṇe tu māhiṣam	(Hgavyam pUrvAhNa-kAle syAt aparAhNe tu mAhizam
   kṣīraṃ saśarkaraṃ pathyaṃ yathāsātmyaṃ ca sarvadāḥ iti pāṭhyam)	kzIram sa-Sarkaram paTyam yaTA-sAtmyam ca sarva-dAH iti pAWyam)
   ādau madhyāhne vā (tenādau tat tu madhye ca) grāmasyānte kadācana // 26 //	AdO maDyAhne vA (tena-AdO tat tu maDye ca) grAmasya-ante kadAcana // 26 //
   sarvaṃ tan mānaśeṣaṃ (sarvabhojanaśeṣe) tu payaḥ śastaṃ (peyaṃ) sadā	sarvam tat mAna-Sezam (sarva-Bojana-Seze) tu payaH Sastam (peyan) sadA
   naraiḥ /	narEH /
   atha punaḥ śṛtaśītādikṣīraguṇavarṇanam /	aTa punar SRta-SIta-Adi-kzIra-guNa-varNanam /
   pittaghnaṃ śṛtaśītalaṃ kaphaharaṃ pakvaṃ tad uṣṇaṃ punaḥ	pitta-Gnam SRta-SItalam kaPa-haram pakvam tat uzNam punar-
   śītaṃ yat tu na pācitaṃ tad akhilaṃ viṣṭambhadoṣāvaham	SItam yat tu na pAcitam tat aKilam vizwamBa-doza-Avaham
   dhāroṣṇaṃ tv amṛtaṃ payaḥ śramaharaṃ nidrākaraṃ kāntidaṃ	DArozNam tu amRtam payaH Srama-haram nidrA-akaram kAnti-dam
   tṛṣyaṃ bṛhaṇam agnivardhanam iti svādu tridoṣāpaham // 27 //	tRzyam bRhaNam agni-varDanam iti svAdu tridoza-apaham // 27 //
