   Prajñāpāramitopadeśaśāstre	PrajQApAramita upadeSa SAstre
   bahuvaktavyamāśaṅkya na (atra pradhānataḥ) samullikhitam /	bahu vaktavyam ASaFkya na (atra praDAnataH) samulliKitam /
   evaṃ sālambanaṃ cittotpādasvarūpamabhidhāyedānīṃ tasya dvāviṃśatiprabhedān	evam sa Alambanam citta utpAda svarUpam aBiDAya idAnIm tasya dvAviMSati praBedAn
   dvābhyāmantaraślokābhyāmāha  	dvAByAm antaraSlokAByAm Aha  
   bhūhemacandrajvalanairnidhiratnākarārṇavaiḥ /	BU hema candra jvalanEH niDi ratna Akara arNavEH /
   vajrācalauṣadhīmitraiścintāmaṇyarkagītibhiḥ // Abhis_1.20 //	vajra acala ozaDI mitrEH cintAmaNI arka gItiBiH // ABiH _1.20 //
   nṛpagañjamahāmārgayānaprasravaṇodakaiḥ /	nRpagaQja mahA mArga yAna prasravaNa udakEH /
   ānandoktinadīmaighairdvāviṃśatividhaḥ sa ca // Abhis_1.21 //	Ananda ukti nadI mEGEH dvAviMSativiDaH sa ca // ABiH _1.21 //
   chanda āśaya adhyāśaya prayoga dāna śīla kṣānti vīrya dhyāna prajñā upāya kauśala praṇidhāna bala jñāna abhijñā puṇyajñāna bodhipakṣānukūladharma karuṇāvipaśyanā dhāraṇīpratibhāna dharmotsava ekayāna dharmakāyaiḥ	Canda ASaya  aDyASaya  prayoga  dAna  SIla  kzAnti vIrya  DyAna  prajQA  upAya  kOSala  praNiDAna  bala  jQAna  aBijQA  puNya jQAna  boDi pakzAn
   sahagataḥ (cittotpādaḥ) yathākramaṃ	saha gataH (citta utpAdaH) yaTAkramam
   pṛthivī kalyāṇasuvarṇa śuklapakṣavanacandra jvalana mahānidhāna ratnākara mahārṇava vajraparvatarāja bhaiṣajya kalyāṇamitra cintāmaṇi āditya dharmamadhurasaṃgīti mahārāja koṣṭhāgāra mahāmārga yāna	pRTivI kalyANa suvarNa  Sukla pakza vana candra  jvalana  mahA niDAna  ratna Akara  mahA arNava  vajra parvata rAja  BEzajya  kalyANa mitra cintAma
   prasravaṇodaka ānandokti nadīdhārā meghaiḥ sadṛśaḥ;	prasravaNa udaka Ananda ukti nadI DArA  meGEH  sadRSaH;
   sarvaśukladharmapratiṣṭhābhūtatvāt, bodhiparyāntāvikāritvāt,	sarva Sukla Darma pratizWA BUta tvAt, boDi paryAnta avikAri tvAt,
   sakalaśukladharmavivṛddhigamanāt, trisarvajñatāvaraṇendhanadāhakatvāt,	sakala Sukla Darma vivRdDi gamanAt, tri sarvajQa tA AvaraNa inDana dAhaka tvAt,
   sarvasattvasaṃtarpaṇāt, guṇaratnānāmāśrayabhāvāt,	sarva sattva saMtarpaNa at, guNa ratnAnAm ASraya BAvAt,
   sarvāniṣṭopanipātairakṣobhyatvāt, saṃpratyayadārḍhyenābhedyatvāt,	sarva anizwa upanipAtEH akzoBya tva at, saMpratyaya dArXyena aBedya tvAt,
   ālambanavikṣepeṇāniṣkampyatvāt, kleśajñeyāvaraṇavyādhipraśamanāt,	Alambana vikzepeNa anizkampya tva at, kleSa jQeya AvaraNa vyADi praSamanAt,
   sarvāvasthāsu sattvārthāparityāgāt, yathāpraṇidhānaṃ phalasamṛddheḥ,	sarva avasTAsu sattva arTa aparityAgAt, yaTApraNiDAnam Pala samRdDeH,
   vineyajanasya paripācanāt, vineyāvarjana karadharmadeśakatvāt,	vineya janasya paripAcanAt, vineya Avarjana kara Darma deSaka tvAt,
   avyāhataprabhāvatvena parārthānuṣṭhānāt,	avyAhata praBAva tvena para arTa anuzWAnAt,
   bahupuṇyajñānasaṃbhārakośasthānatvāt, sarvāryayātānuyātatvāt,	bahu puNya jQAna saMBAra koSa sTAna tvAt, sarva Arya yAta anuyAta tvAt,
   saṃsāranirvāṇānyatarāpātena sukhasaṃvāhanāt,	saMsAra nirvANAni atarApAtena suKa saMvAhanAt,
   śrutāśrutadharmadhāraṇādakṣayatvāt, mokṣakāmānāṃ vineyānāṃ priyaśrāvaṇāt,	Sruta aSruta Darma DAraNAt akzaya tvAt, mokza kAmAnAm vineyAnAm priya SrAvaNAt,
   asaṃbhinna ḥ parakāryakriyātvāt, tuṣitabhavanavāsādisandarśanayogyatvāt	asaMBinna H para kArya kriyA tvAt, tuzita Bavana vAsa Adi sandarSana yogya tvAt
   yathāsaṃkhyaṃ bhavati / ityevaṃ 'bhūhemacandrajvalanaitira' tyādibhiḥ	yaTAsaMKyam Bavati / iti evam aBUhema candra jvalana etira a tyAdiBiH
   dvāviṃśatiścittotpādā vyākhyātāḥ /	dvAviMSatiH citta utpAdAH vyAKyAtAH /
   tatra prathamāstrayo mṛdumadhyādhimātratayādikarmikabhūmisaṅgṛhītāḥ /	tatra praTamAH trayaH mRdu maDya aDimAtra tayA Adi karmika BUmi saFgRhItAH /
   tataḥ ekaḥ prathamabhūmipraveśamārgasaṅgṛhītaḥ / tadantaraṃ daśa	tatas ekaH praTama BUmi praveSa mArga saFgRhItaH / tad antaram daSa
   pramuditādidaśabhūmisaṅgṛhītā darśanabhāvanāmārgagocarāḥ / tataḥ pañca	pramudita Adi daSa BUmi saFgRhItAH darSana BAvanA mArga gocarAH / tatas paQca
   viśeṣamārgasaṅgṛhītāḥ / tadantaraṃ trayaṃ cittotpādāḥ	viSeza mArga saFgRhItAH / tad antaram trayam citta utpAdAH
   prayogamaulapṛṣṭhadvāreṇa buddhabhūmisaṅgṛhītāḥ / iti cittotpādabhedaḥ	prayoga mOla pRzWa dvAreNa budDa BUmi saFgRhItAH / iti citta utpAda BedaH
   ādikarmikabhūmimārabhya yāvad buddhabhūmi saṅgṛhītaḥ /	Adikarmika BUmim AraBya yAvat budDa BUmi saFgRhItaH /
   2   avavādaḥ	2  avavAdaH
   prasaṅgāgata (cittotpāda) bhedamabhidhāya utpāditaprathamādibodhicittāya	prasaFga AgataH (citta utpAda)  Bedam aBiDAya utpAdita praTama Adi boDi cittAya
   yathākālaṃ bodhisattvāya prārthitārthabodhicittotpādāya	yaTAkAlam boDisattvAya prArTita arTa boDi citta utpAdAya
   tadākṣiptadharmasiddhaye prāptaguṇaparirakṣaṇenābhivṛddhaye copadeśo	tad Akzipta Darma sidDaye prApta guNa parirakzaNena aBivRdDaye ca upadeSaH 
   'vavāda ityata āha  	avavAdaH iti atas Aha  
   pratipattau ca satyeṣu buddharatnādiṣu triṣu /	pratipattO ca satyezu budDa ratna Adizu trizu /
   asaktāvapariśrāntau pratipatsamparigrahe // Abhis_1.22 //	asaktO= apariSrAntO pratipad samparigrahe // ABiH _1.22 //
   cakṣuḥṣu pañcasu jñeyaḥ ṣaḍsvabhijñāguṇeṣu ca /	cakzuHzu paQcasu jQeyaH zaz su aBijQA guNezu ca /
   dṛṅmārge bhāvanākhye cetyavavādo daśātmakaḥ // Abhis_1.23 //	dRS mArge BAvanA AKye ca iti avavAdaH daSa AtmakaH // ABiH _1.23 //
   yathoktaprabhedabodhicittapratipattau saṃvṛtiparamārthasatyānatikrameṇa	yaTA ukta praBeda boDi citta pratipattO saMvRti parama arTa satya anatikrameNa
   śrāvakādyasādhāraṇatayā'nupalambhayogena vartanamiti śikṣaṇaṃ	SrAvaka Adi asADAraNa tayA anupalamBa yogena vartanam iti SikzaNam
   pratipattyavavādaḥ /	pratipatti avavAdaH /
   duḥkhe phalabhūtarūpādiśūnyatāprajñāpāramitayostathatārūpatvādaikātmyamiti	duHKe Pala BUta rUpa Adi SUnyatA prajQApAramitayoH taTatA rUpa tvAt EkAtmyam iti
   / samudaye śūnyatāhetubhūtarūpādyoravyatiriktatvena rūpādirna	/ samudaye SUnyatA hetu BUta rUpa AdyoH avyatirikta tvena rUpa AdiH na
   samudayanirodhasaṃkleśavyavadānadharmī iti / nirodhe	samudaya niroDa saMkleSa vyavadAna DarmI iti / niroDe
   śūnyatāyāmutpādanirodhasaṃkleśavyavadānahānivṛddhyādirahitāyānna rūpaṃ	SUnyatAyAm utpAda niroDa saMkleSa vyavadAna hAni vRdDi Adi rahitAyAt na rUpam
   yāvannāvidyotpādo nāvidyānirodho na buddho bodhiriti / mārge	yAvat na avidyA utpAdaH na avidyA niroDaH na budDaH boDiH iti / mArge
   dānādipāramitābhirātmano 'dhyātmaśūnyatādīnāṃ bahirdhāśūnyatādibhiḥ	dAna Adi pAramitABiH AtmanaH aDyAtma SUnyatA AdInAm bahirDA SUnyata AdiBiH
   pūrvāntāparāntayośca parasparaṃ na yuktāyuktatvena pratipattirityupadeśaḥ	pUrva anta apara antayoH ca parasparam na yukta ayukta tvena pratipattiH iti upadeSaH
   satyāvavādaḥ /	satya avavAdaH /
   buddhe buddhabodhyorekatvalakṣaṇatvena	budDe budDa boDyoH eka tva lakzaNa tvena
   buddhakaradharmalakṣaṇasarvākārajñatāyā anupalambhe	budDa kara Darma lakzaNa sarva AkAra jQa tAyAH anupalamBe
   rūpādyayojanenālambyālambakasamatājñānamiti / dharme	rUpa Adi ayojanena Alambya Alambaka samatA jQAnam iti / Darme
   trisarvajñatāsaṃgṛhītasamastavastupratipakṣākārasaṅgrahaiḥ sarvadharmāṇāṃ	tri sarvajQa tA saMgRhIta samasta vastu pratipakza AkAra saFgrahEH sarva DarmANAm
   saṅgṛhītānāṃ niḥsvabhāvateti / saṃghe buddharatnāntargatatvenārhadvarjyeṣu	saFgRhItAnAm niHsvaBAva tA iti / saMGe budDa ratna antargata tvena arha t varjyezu
   phalasthapratipannakabhedena saptasu mahāpuruṣeṣu pratyekabuddhena	Pala sTa pratipannaka Bedena saptasu mahApuruzezu pratyekabudDena
   sahāṣṭāsu mṛdvindriyādibhedena	saha azwAsu mRdu indriya Adi Bedena
   viṃśatisaṃkhyāvacchinneṣyāryāvaivarttikabodhisattvaśaikṣeṣvanutpādatayā	viMSati saMKyA avacCinnezI AryA vEvarttika boDisattva SEkzezu anutpAda tayA
   pravṛttirityupadeśo ratnatrayāvavādaḥ /	pravRttiH iti upadeSaH ratnatraya avavAdaH /
   ārabdhavīryatayā yathoktārthānuṣṭhānaṃ prati kāyādisukhallikatvena	ArabDa vIrya tayA yaTA ukta arTa anuzWAnam prati kAya Adi suKallika tvena
   kasyacidabhiniveśaḥ syādityasaktau kāyādīnāmasvabhāvatayā deśanāvavādaḥ /	kasyacid aBiniveSaH syAt iti asaktO kAya AdInAm asvaBAva tayA deSanA avavAdaH /
   ciratarakālābhyāsenāpi samīhitārthāniṣpattāvuttrasanajātīyasya parikhedaḥ	ciratara kAla aByAsena api samIhita arTa anizpattO= uttrasana jAtIyasya pariKedaH
   syādityapariśrāntau rūpāderyāvat samyaksambodheramananatayā deśanāvavādaḥ	syAt iti apariSrAntO rUpa AdeH yAvat samyaksamboDera mananatayA deSanA avavAdaH
   daśadigavasthitabuddhādibhyaḥ pratyarthaṃ mārgopadeśe gṛhyamāṇe	daSa diS avasTita budDa AdiByaH pratyarTam mArga upadeSe gRhyamANe
   cittāvalīnatā syāditi pratipatsamparigrahe dharmāṇāṃ prakṛtyajātatvena	citta AvalIna tA syAt iti pratipad samparigrahe DarmANAm prakRti ajAta tvena
   śikṣaṇamavavādaḥ / māṃsavaipākikadivyaprajñādharmabuddhacakṣuṣāṃ	SikzaNam avavAdaH / mAMsa vEpAkika divya prajQA Darma budDa cakzuzAm
   yathāsaṃkhyaṃ	yaTAsaMKyam
   pratiniyatavastusarvasattvacyutyupapattisarvadharmāvikalpānāṃ	pratiniyata vastu sarva sattva cyuti upapatti sarva Darma avikalpAnAm
   sarvāryapudgalādhigamasarvākārasarvadharmābhisambodhaviṣayāṇāṃ	sarva Arya pudgala aDigama sarva AkAra sarva Darma aBisamboDa vizayANAm
   tathatayaikatvena pratipattiriti śikṣaṇaṃ pañcacakṣuravavādaḥ /	taTatayA ekatvena pratipattiH iti SikzaNam paQca cakzuH avavAdaH /
   ṛddhidivyaśrotraparacittajñānapūrvanivāsānusmṛtyabhisaṃskārikadivyacakṣurāsravakṣayajñānābhijñānāṃ	RdDi divya Srotra para citta jQAna pUrva nivAsa anusmRti aBisaMskArika divya cakzuH Asrava kzaya jQAna aBijQAnAm
   pṛthivīkampanādisarvalokadhātusthasūkṣmataraśabdaśravaṇasarāgādiparacittaparijñānasvapara pūrvānekajātyanusmaraṇasarvarūpadarśanakleśajñeyāvaraṇaprahāṇakāritrāṇāmādiśāntatvenāvabodha	pRTivI kampana Adi sarva loka DAtu sTa sUkzmatara Sabda SravaNa sa rAga Adi para citta parijQAna sva para  pUrva aneka jAti anusmaraNa sarva rUpa darSana k
   iti deśanā ṣaḍabhijñāvavādaḥ / catuḥsatyasaṅgṛhītaṣoḍaśakṣaṇasvabhāvaṃ	iti deSanA zaw aBijQA avavAdaH / catur satya saFgRhIta zoxa SakzaNa svaBAvam
   darśanamārgaṃ dharmānvayajñānakṣāntijñānātmakaṃ	darSana mArgam Darma anvaya jQAna kzAnti jQAna Atmakam
   sarvadharmaniḥsvabhāvabodhena māyākāra iva	sarva Darma niHsvaBAva boDena mAyAkAraH iva
   sarvatrānabhiniviṣṭamūrtistatprahātavyavastupratipakṣatvena yogī	sarvatra anaBinivizwa mUrtiH tad prahAtavyavastu pratipakza tvena yogI
   vibhāvayatīti deśanā darśanamārgāvavādaḥ /	viBAvayati iti deSanA darSana mArga avavAdaH /
   saṃskṛtāsaṃskṛtayorekarūpatvena parasparamaśakyavyatirekaprajñaptivad	saMskRta asaMskRtayoH eka rUpa tvena parasparam aSakya vyatireka prajQapti vat 
   yathoktadarśanamārgasaṃmukhīkṛtavastvavyatirekālambanād	yaTA ukta darSana mArga saMmuKIkRta vastu avyatireka AlambanAd
   darśanabhāvanayorapṛthagbhāva iti na lākṣaṇikaṃ bhāvanāmārgavyavasthānam,	darSana BAvanayoH apRTak BAvaH iti na lAkzaNikam BAvanA mArga vyavasTAnam,
   atha ca sa tatprahātavyavastupratipakṣatvena vibhāvyate	aTa ca sa tad prahAtavya vastu pratipakza tvena viBAvyate
   pratītyasamutpādadharmatayeti deśanā bhāvanāmārgāvavāda ityevaṃ	pratItyasamutpAda Darma tayA iti deSanA BAvanA mArga avavAdaH iti evam
   bodhicittatadākṣitpadharmasvabhāvaprajñāpāramitāyāṃ yā	boDi citta tadAkzitpa Darma svaBAva prajQApAramitAyAm yA
   pratipattiranupalambhākārā, tasyā yadālambanaṃ catvāryasatyāni, ya	pratipattiH anupalamBa AkArA, tasyAH yad Alambanam catvAri asatyAni, ya
   āśrayastrīṇi śaraṇāni, yo viśeṣagamanaheturasaktiḥ, yo	ASrayaH trINi SaraNAni, yaH viSeza gamana hetuH asaktiH, yaH 
   'vyāvṛttigamanahetupariśrāntiḥ, yo 'nanyayānagamanahetuḥ	avyAvRtti gamana hetu pariSrAntiH, yaH ananya yAna gamana hetuH
   pratipatsaṃparigrahaḥ, yo 'parapratyagāmitvahetuḥ pañca cakṣūṃṣiḥ, yaḥ	pratipad saMparigrahaH, yaH apara pratyagAmi tva hetuH paQca cakzUMziH, yaH
   sarvākārajñatāparipūrihetuḥ ṣaḍabhijñāḥ, yau niṣṭhāhetū	sarva AkAra jQa tA paripUri hetuH zaw aBijQAH, yO nizWA hetU
   darśanabhāvanāmārgau, tatsarvamavavādaprakaraṇe nirdiṣṭametāvataiva sarvo	darSana BAvanA mArgO, tat sarvam avavAda prakaraNe nirdizwam etAvatA eva sarvaH 
   'rthaḥ sampanna iti daśavidho 'vavādaḥ /	arTaH sampannaH iti daSaviDaH avavAdaH /
   saṃgharatnādhikāre tatsubodhāya dvau antaraślokau ityāha  	saMGa ratna aDikAre tad suboDAya dvO antara SlokO iti Aha  
   mṛdutīkṣṇendriyai śraddhādṛṣṭiprāptau kulaṅkulau /	mRdu tIkzNa indriyE SradDA dRzwi prAptO kulaFkulO /
   ekavīcyantarotpadya kārākārākaniṣṭhagāḥ // Abhis_1.24 //	ekavIcI antara utpadya kAra AkArA ka nizWa gAH // ABiH _1.24 //
   plutāstrayo bhavasyāgraparamo rūparāgahā /	plutAH trayaH Bavasya agra paramaH rUpa rAga hA /
   dṛṣṭadharmaśamaḥ kāyasākṣī khaḍgaśca viṃśatiḥ // Abhis_1.25 //	dRzwa Darma SamaH kAya sAkzI KaxgaH ca viMSatiH // ABiH _1.25 //
   vakṣyamāṇamārgajñatāsaṅgṛhītaṣoḍaśakṣaṇadarśanamārgam āśritya	vakzyamANa mArga jQa tA saFgRhIta zoxa SakzaNa darSana mArgam ASritya
   śraddhādharmānusāribhedena prathamaphalapratipannako dvividhaḥ / tataḥ	SradDA Darma anusAri Bedena praTama Pala pratipannakaH dviviDaH / tatas 
   srota āpannaḥ / tato devamanuṣyakulaṃkulatvena sa evānyo dvividhaḥ / tato	srotaH ApannaH / tatas deva manuzya kulaMkula tvena saH eva anyaH dviviDaH / tatas 
   dvitīyaphalapratipannako mṛdutīkṣṇendriya evaikaḥ śraddhādṛṣṭiprāptaḥ /	dvitIya Pala pratipannakaH mRdu tIkzNa indriyaH eva ekaH SradDA dRzwi prAptaH /
   tataḥ sakṛdāgāmī / tataḥ sa ekavīciko 'paraḥ / tataṃ	tatas sakRdAgAmI / tatas saH ekavIcikaH aparaH / tatam
   tṛtīyaphalapratipannakaḥ pūrvavacchaddhādṛṣṭiprāptaḥ / tataḥ anāgāmī	tRtIya Pala pratipannakaH pUrvavat SadDA dRzwi prAptaH / tatas anAgAmI
   antarābhave upapadya, abhisaṃskāre anabhisaṃskāre ca parinirvāyīti	antarABave upapadya, aBisaMskAre anaBisaMskAre ca parinirvAyi iti
   caturdhā / tataṃ evākaniṣṭhagaḥ	caturDA / tatam eva akanizWa gaH
   plutārdhaplutasarvasthānacyutatvenordhvāvakrāntāparastrividhaḥ / tataḥ sa	pluta arDa pluta sarva sTAna cyuta tvena UrDva avakrAnta aparaH triviDaH / tatas sa
   eva bhavāgragastu rūpavītarāgo dṛṣṭadharmaśamaḥ kāyasākṣīti aparo	eva Bava agra gaH tu rUpa vIta rAgaH dRzwa Darma SamaH kAya sAkzI iti aparaH 
   dvividhaḥ / tato 'rhattvaphalapratipannakaḥ / tataḥ pratyekabuddha iti	dviviDaH / tatas arhat tva Pala pratipannakaH / tatas pratyekabudDaH iti
   viṃśatiḥ /	viMSatiH /
   3   nirvedhāṅgam	3  nirveDa aFgam
   labdhāvavādasyaivamādikarmikasya nirvedhāṅgabhavanamiti nirvedhāṅgamāha  	labDa avavAdasya evam Adi karmikasya nirveDa aFga Bavanam iti nirveDa aFgam Aha  
   ālambanata ākārāddhetutvātsamparigrahāt /	AlambanataH AkArAt hetu tvAt samparigrahAt /
   caturvikalpasaṃyogaṃ yathāsvaṃ bhajatāṃ satām // Abhis_1.26 //	catur vikalpa saMyogam yaTAsvam BajatAm satAm // ABiH _1.26 //
   śrāvakebhyaḥ sakhaḍgebhyo bodhisattvasya tāyinaḥ /	SrAvakeByaH sa KaxgeByaH boDisattvasya tAyinaH /
   mṛdumadhyādhimātrāṇāmūṣmādīnāṃ viśiṣṭatā // Abhis_1.27 //	mRdu maDya aDimAtrANAm Uzma AdInAm viSizwa tA // ABiH _1.27 //
   bodhisattvānāṃ	boDisattvAnAm
   śrutādiprakarṣaprāptamokṣabhāgīyaśraddhādilakṣaṇakuśalamūlādūrdhvaṃ	Sruta Adi prakarza prApta mokza BAgIya SradDA Adi lakzaNa kuSala mUlAt UrDvam
   catuḥsatyaprativedhānukūlāni ca caturnirvedhabhāgīyāni	catur satya prativeDa anukUlAni ca catur nirveDa BAgIyAni
   laukikabhāvanāmayāni ūṣmaprāpta iti kuśalamūlam, tato mūrdhaprāptaḥ, tataḥ	lOkika BAvanA mayAni Uzma prAptaH iti kuSala mUlam, tatas mUrDa prAptaH, tatas 
   kṣāntiprāptaḥ, tato 'gradharma iti mṛdvādikrameṇa utpādo 'thavā	kzAnti prAptaH, tatas agra DarmaH iti mRdu Adi krameNa utpAdaH aTavA
   bodhisattvasambaddhamṛdvindriyādipudgalabhedena	boDisattva sambadDa mRdu indriya Adi pudgala Bedena
   vakṣyamāṇamṛdumadhyādhimātrālambanaviśiṣṭavastvātmakacatuḥsatyālambanadharmadarśana pratipakṣatvenānabhiniveśādyākāraviśeṣāt	vakzyamANa mRdu maDya aDimAtra Alambana viSizwa vastu Atmaka catur satya Alambana Darma darSana  pratipakza tvena anaBiniveSa Adi a AkAra viSezAt
   yānatrayādhigamahetutvaviśeṣādupāyakauśalakalyāṇamitralakṣaṇasamparigrahād	yAna traya aDigama hetu tva viSezAt upAya kOSala kalyANa mitra lakzaNa samparigrahAt 
   darśanabhāvanāmārgābhyāṃ prahātavyā grāhyagrāhakacaturvikalpāḥ	darSana BAvanA mArgAByAm prahAtavyAH grAhya grAhaka catur vikalpAH
   vakṣamāṇanayasambandhenotpannāḥ śrāvakādīnāmūṣmādibhyo viśiṣṭāḥ /	vakzamANa naya sambanDena utpannAH SrAvaka AdInAm Uzma AdiByaH viSizwAH /
   teṣāmūṣmādikuśalamūlaṃ nyāye	tezAm Uzma Adi kuSala mUlam nyAye
   rūpaṇādilakṣaṇavastvātmakacatuḥsatyālambanamātmadarśanapratipakṣatvenānityādyākārapratipannaṃ	rUpaNa Adi lakzaNa vastu Atmaka catuHsatya Alambanam Atma darSana pratipakza tu ena anityAdi AkAra pratipannam
   svayānādhigamahetubhūtaṃ samparigraharahitaṃ, caturvidho vikalpo 'saṃsṛṣṭo	sva yAna aDigama hetu BUtam samparigraha rahitaM, caturviDaH vikalpaH asaMsRzwaH 
   bhavatīti vyavasthāpanāt / bodhisattvānāṃ nirvedhabhāgīyāni	Bavati iti vyavasTApanAt / boDisattvAnAm nirveDa BAgIyAni
   upāyakauśalabalena kvacit hetunā, kvacit phalena, kvacit svarūpatayā,	upAya kOSala balena kvacid hetunA, kvacid Palena, kvacid sva rUpa tayA,
   kvacid dharmatākāreṇa yathābhavyatayā catuḥsatyavastvālambanamiti	kvacid DarmatA AkAreNa yaTA aBavya tayA catur satya vastu Alambanam iti
   veditavyam / saṃkṣiptavyākhyāmātraṃ vaktukāmena na prapañcitam / yata	veditavyam / saMkzipta vyAKyA mAtram vaktu kAmena na prapaQcitam / yata
   idameva vyavasthāpanaṃ hyato 'nyayānamāśritya kutrāpi dūṣaṇaṃ	idam eva vyavasTApanam hi atas anya yAnam ASritya kutra api dUzaNam
   nābhidhātavyam /	na aBiDAtavyam /
   ālambanākārayoḥ kā viśeṣatā ityata ālambanākārau saptamiḥ antaraślokairāha	Alambana AkArayoH kA viSeza tA iti atas Alambana AkArO saptamiH antaraSlokEH Aha
   ālambanamanityādi satyādhāraṃ tadākṛtiḥ /	Alambanam anitya Adi satya ADAram tad AkRtiH /
   niṣedho 'bhiniveśāderheturyānatrayāptaye // Abhis_1.28 //	nizeDaH aBiniveSa AdeH hetuH yAn atraya Aptaye // ABiH _1.28 //
   rūpādyāyavyayau viṣṭhāsthitī prajñaptyavācyate /	rUpa AdyAya vyayO vizWA sTitI prajQapti avAcyate /
   tatra mṛduna anityādiṣoḍaśākāraṃ duḥkhādicatuḥsatyādhāramālambanam /	tatra mRdunaH anitya Adi zoxaSa AkAram duHKa Adi catur satya ADAram Alambanam /
   duḥkhādisatyābhiniveśālambanādīnāṃ niṣedhaḥ tadākṛtiḥ /	duHKa Adi satya aBiniveSa Alambana AdInAm nizeDaH tad AkRtiH /
   yānatrayādhigamaprāptaye hetubhāvaḥ sarveṣāmevoṣmādīnāṃ veditavyaḥ /	yAna traya aDigama prAptaye hetu BAvaH sarvezAm eva Uzma AdInAm veditavyaH /
   adhimuktinā tattvamanaskāreṇa ca yathāsaṃkhyaṃ rūpādīnāṃ pratipatteḥ	aDimuktinA tattva manaskAreNa ca yaTAsaMKyam rUpa AdInAm pratipatteH
   niṣedhasya cānupalambhanaṃ na samanudarśanamiti madhyasyālambanam /	nizeDasya ca anupalamBanam na samanudarSanam iti maDyasya Alambanam /
   sarvanāmadheyābhāvena	sarvanAmaDeya aBAvena
   prabandhavisadṛśaprabandhasadṛśapravṛttilakṣaṇayorabhāva ityākṛtiḥ /	prabanDa visadRSa prabanDa sadRSa pravRtti lakzaNayoH aBAvaH iti AkRtiH /
   rūpamārabhya yāvadbuddha iti sarvadharmasāṅketiko vyāvahārikadharma	rUpam AraBya yAvat budDaH iti sarva DarmasAFketikaH vyAvahArika Darma
   ityadhimātrasyālambanam / kuśalādidharmatā na kenacid vacanīyā ityākṛtiḥ /	iti aDimAtrasya Alambanam / kuSala Adi Darma tA na kenacid vacanIyAH iti AkRtiH /
   ityālambanākāravannirvikalpajñānāgneḥ pūrvarūpatvādūṣmagataṃ trividham /	iti Alambana AkAra vat nirvikalpa jQAna agneH pUrvarUpa tvAt Uzma gatam triviDam /
   rūpādāvasthitisteṣāṃ tadbhāvenāsvabhāvatā // Abhis_1.29 //	rUpAda avasTitiH tezAm tad BAvena asvaBAva tA // ABiH _1.29 //
   tayormithaḥsvabhāvatvaṃ tadanityādyasaṃsthitiḥ /	tayoH miTas svaBAva tvam tat anitya Adi asaMsTitiH /
