   // śrīḥ //	// SrIH //
   // Āryamañjuśrīmūlakalpam /	// Ārya maQju SrI mUla kalpam /
   sattvā suduḥkhitāḥ, sarve te duḥkhapraśamanaśāntiṃ ca jagmuḥ /	sattvAH su duHKitAH, sarve te duHKa praSamana SAntim ca jagmuH /
   sarvaśrāvakapratyekabuddhabodhisattvān buddhāṃśca bhagavatāṃ sañcodya	sarva SrAvaka pratyekabudDa boDisattvAn budDAn= ca BagavatAm saQcodya
   punareva sā raśmirmañjuśriyasya bodhisattvasya mūrdhanyantardhīyate sma /	punar eva sA raSmiH maQju Sriyasya boDisattvasya mUrDani antarDIyate sma /
   atrāntare pūrvasyāṃ diśi ye vyavasthitā buddhakṣetrāḥ, tatra buddhā	atra antare pUrvasyAm diSi ye vyavasTitAH budDa kzetrAH, tatra budDA
   bhagavantaḥ sañcoditāḥ, tena raśmidhātumaṇḍalīsamuddyotitanirhāreṇa /	BagavantaH saQcoditAH, tena raSmi DAtu maNxalI samuddyotita nirhAreNa /
   tadyathā   jyotissaumyagandhāvabhāsaśrīrnāma tathāgataḥ,	tat yaTA  jyotissOmyaganDAvaBAsa SrIH nAma taTAgataH,
   bhaiṣajyaguruvaiḍūryaprabharājastathāgataḥ samantāvabhāsaśrīrnāma	BEzajya guru vExUrya praBa rAjaH taTAgataH samantA avaBAsa SrIH nAma
   tathāgataḥ, samudgatarājo nāma tathāgataḥ, śālendrarājo nāma tathāgataḥ,	taTAgataH, samudgata rAjaH nAma taTAgataH, SAlendra rAjaH nAma taTAgataH,
   lokendrarājo nāma tathāgataḥ, amitāyurjñānaviniścayarājo nāma tathāgataḥ,	loka indra rAjaH nAma taTAgataH, amita AyuH jQAna viniScaya rAjaH nAma taTAgataH,
   anantāvabhāsarājendro nāma tathāgataḥ, jyotiraśmirājendro nāma tathāgataḥ,	anantAvaBAsarAjendraH nAma taTAgataH, jyotiraSmi rAja indraH nAma taTAgataH,
   evaṃpramukhā buddhā bhagavanto bodhisattvagaṇaparivṛtāḥ anantānanteṣu ca	evaMpramuKAH budDAH BagavantaH boDisattva gaNa parivRtAH ananta anantezu ca
   lokadhātuṣu tathāgatārhantaḥ samyak sambuddhāḥ sahāṃ lokadhātuṃ	lokaDAtuzu taTAgata arhantaH samyak sambudDAH sahAm lokaDAtum
   śuddhāvāsabhavanasthaṃ ca śākyamuniṃ tathāgatāmarhantaṃ samyak sambuddhaṃ	SudDAvAsa Bavana sTam ca SAkya munim taTAgatAm arhantam samyak sambudDam
   mañjuśriyā sārdhaṃ kumārabhūtena	maQju SriyA sArDam kumAra BUtena
   bodhisattvacaryānirdeśamantrapadārthapaṭalavisaraṃ bhāṣantaṃ te buddhā	boDisattva caryA nirdeSa mantra padArTa pawala visaram BAzantam te budDA
   bhagavantaḥ sannipateyuḥ / evaṃ dakṣiṇasyāṃ paścimasyāmuttarasyāṃ dikṣu	BagavantaH sannipateyuH / evam dakziNasyAm paScimasyAm uttarasyAm dikzu
   vidikṣu / ityūrdhvamadhastiryak sarvāvantaṃ buddhakṣetrānavabhāsya sarveṣu	vidikzu / iti UrDvam aDas tiryak sarvAvantam budDa kzetra anavaBAsya sarvezu
   ca buddhakṣetreṣu sarvamārabhavanāni jihvīkṛtya sabodhisattvagaṇaparivṛtāḥ	ca budDa kzetrezu sarvamAra BavanAni jihvIkRtya sa boDisattva gaNa parivRtAH
   saśrāvakasaṅghapuraskṛtāśca ta śuddhāvāsabhavanaṃ	sa SrAvaka saFGa puraskRtAH ca te SudDAvAsa Bavanam
   buddhavikurvaṇabodhisattvamāhātmyaṃ ca darśayitukāmā	budDa vikurvaNa boDisattva mAhAtmyam ca darSayitu kAmA
   mantracaryānirhārasamādhiviśeṣapaṭalavisaratathāgataśāsanamapratihataṃ	mantra caryA nirhAra samADi viSeza pawala visara taTA gata SAsanam apratihatam
   coddyotayitukāmāḥ pratyasthāt / tadyathā   subāhu, suratna, suvrata,	ca uddyotayitu kAmAH pratyasTAt / tat yaTA  subAhu, suratna, suvrata,
   sunetra, sūrata, sudharma, sarvārthasiddhi, sarvodgata, dharmodgata,	sunetra, sUrata, suDarma, sarva arTa sidDi, sarva udgata, Darma udgata,
   ratnodgata, ratnaśrīḥ, meruśrīḥ, acintyaśrīḥ, prabhākaraśrīḥ, prabhaśrīḥ,	ratna udgata, ratna SrIH, meru SrIH, acintya SrIH, praBAkara SrIH, praBaSrIH,
   jyotiśrīḥ, sarvārthaśrīḥ, sarvaratnapāṇiḥ, cūḍāmaṇiḥ, merudhvajapāṇiḥ,	jyoti SrIH, sarva arTa SrIH, sarva ratna pANiH, cUxAmaNiH, meru Dvaja pANiH,
   vairocanagarbhaḥ, ratnagarbhaḥ, jñānagarbhaḥ, sacintyārthagarbhaḥ,	vErocana garBaH, ratnagarBaH, jQAna garBaH, sacintya arTa garBaH,
   acintyārthagarbhaḥ, dharmodgatagarbhaḥ, dhvajaketuḥ, suketuḥ, anantaketuḥ,	acintya arTa garBaH, Darma udgata garBaH, DvajaketuH, suketuH, anantaketuH,
   vimalaketuḥ, gaganaketuḥ, ratnaketuḥ, garjitaghoṣadundubhisvararājāḥ,	vimala ketuH, gaganaketuH, ratnaketuH, garjita Goza dunduBi svara rAjAH,
   anantāvabhāsajñānarājaḥ, sarvatamo 'ndhakāravidhamanarājaḥ,	ananta avaBAsa jQAna rAjaH, sarvatamaH anDakAra viDa mana rAjaH,
   sarvavikiraṇabodhividhvaṃsanarājaḥ, sarvacaryātiśayajñānarājaḥ,	sarva vikiraNa boDi viDvaMsana rAjaH, sarva caryA atiSaya jQAna rAjaH,
   lokendrarāja, atiśayendrarāja, vidhamanarāja, nirdhūtarāja, ādityarāja,	loka indra rAja, atiSaya indra rAja, viDamana rAja, nirDUta rAja, Aditya rAja,
   abhāvasamudgatarāja, svabhāvasamudgatarāja, abhāvasvabhāvasamudgatarāja,	aBAva samudgata rAja, svaBAva samudgata rAja, aBAva svaBAva samudgata rAja,
   avivakṣitarāja, svabhāvapuṇyābhaḥ, lokābhaḥ, amitābhaḥ, mitābhaḥ,	avivakzita rAja, svaBAva puNya ABaH, loka ABaH, amita ABaH, mita ABaH,
   sunetrābhaḥ, susambhavābhaḥ, arthabhāvābhaḥ, adhṛṣyaḥ, amṛṣyaḥ, akarṣaḥ,	sunetra ABaH, su samBava ABaH, arTa BAva ABaH, aDRzyaH, amRzyaH, akarzaH,
   akaniṣṭhaḥ, amalaḥ, analaḥ, dyuti pati mati sukha mukha nemi nimi ketu	akanizWaH, amalaH, analaH, dyuti pati mati suKa muKa nemi nimi ketu
   ṛkṣa divideva divya nābhi ravana lokaśānti upāriṣṭa dundubhisiddha śiva	Rkza divideva divya nABi ravana loka SAnti upArizwa dunduBi sidDa Siva
   ākhyadivya duprasaha durgharṣa durālabha dūraṅgama durālabha dūrasthita	AKya divya duprasaha durGarza durAlaBa dUraFgama durAlaBa dUra sTita
   ūrdhvadravyatama khadyota samahadyota adyota ṛṣabha ābha sumanāya sumana	UrDva dravyatama Kadyota sa mahadyota adya utaH RzaBaH ABa sumanAya sumana
   mahādeva sunirmala malānta dānta sami sucihna śvetadhvaja imi kimi	mahAdeva su nirmala mala anta dAnta sami su cihna SvetaDvajaH imi kimi
   kaniṣṭha nikarṣa jīva sujāta dhūmaketu dhvajaketu (Vaidya 6) śvetaketu	kanizWa nikarza jIva sujAta DUmaketu Dvajaketu (VEdyaH 6) Svetaketu
   suketu vasuketu vasava pitāmaha pitaraniṣkakurulokākhya samantākhya	suketu vasuketu vasava pitAmaha pitara nizka kuru loka AKya samantA AKya
   mahākhya śreyasi tejasi jyotikiraṇa samantakara lokaṅkara divaṅkara	mahA AKya Sreyasi tejasi jyotikiraNa samantakara lokaFkara divaFkara
   dīpaṅkara bhūtāntakara sarvārthaṅkara siddhaṅkara dyotiṅkara avabhāsaṅkara	dIpaFkara BUtAnta kara sarva arTaFkara sidDaFkara dyotiFkara avaBAsaFkara
   dundubhisvara rutasvara susvara anantasvara ketusvara bhūtamuni kanakamuni	dunduBi svara ruta svara su svara ananta svara ketu svara BUta muni kanakamuni
   krakucchandaḥ kāśyapaśikhi viśvabhuk vipaśvi śākyamuniśceti //	krakucCandaH kASyapa SiKi viSva Buj vipaSvi SAkya muniH ca iti //
   etaiścānyaiśca bahubhirbuddhairbhagavadbhistaṃ	etEH ca anyEH ca bahuBiH budDEH BagavadBiH tam
   śuddhāvāsabhavanamavabhāsya, padmāsaneṣu va sthitvā, bhūdevaṃ	SudDAvAsa Bavanam avaBAsya, padmAsanezu va sTitvA, BUdevam
   bodhisattvagaṇāścājahāraṃ evaṃrūpāḥ / tadyathā   ratnapāṇiḥ, vajrapāṇiḥ,	boDisattva gaNAH ca ajahAram evaMrUpAH / tat yaTA  ratna pANiH, vajrapANiH,
   supāṇiḥ, anantapāṇi kṣitipāṇi ālokapāṇi sunirmala sukūpa prabhūtakūṭa	su pANiH, ananta pANi kziti pANi AlokapANi su nirmala sukUpa praBUta kUwa
   maṇikūṭa ratnakūṭa ratnahasti samantahasti gandhahasti sugati vimalagati	maNi kUwa ratnakUwa ratnahasti samantahasti ganDahasti sugati vimala gati
   lokagati cārugati anantagati anantakīrti vimalakīrti gatikīrti amalakīrti	loka gati cArugati ananta gati ananta kIrti vimala kIrti gati kIrti amala kIrti
   kīrtikīrti nātha anātha nāthabhūta lokanātha samantanātha ātreya	kIrti kIrti nATa anATa nATa BUta lokanATa samantanATaH Atreya
   anantatreya samantatreya maitreya sunetreya namantatreya tvaddhatreya	anantatreya samantatreya mEtreya sunetreya namantatreya tvad hatreya
   sarūlātreya trirantātreya triśaraṇātreya triyānātreya visphūrja	sarUlA Atreya tri s antAtreya tri SaraNa Atreya triyAna atreya visPUrja
   sumanodbhavarṇavāṃ dharmīśvaraḥ, abhāveśvaraḥ, sammateśvaraḥ, lokeśvaraḥ,	sumanodBavarNavAm DarmISvaraH, aBAva ISvaraH, sammata ISvaraH, loka ISvaraH,
   avalokiteśvaraḥ, sulokiteśvara vilokiteśvara lokamaha sumaha garjiteśvara	avalokita ISvaraH, sulokita ISvara vilokita ISvara lokam aha su maha garjita ISvara
   dundubhisvara vitateśvara vidhvastesvara suvakṣa sumūrti sumahad yaśovata	dunduBi svara vitateSvara viDvastesvara suvakza sumUrti su mahat yaSovata
   ādityaprabhāva prabhaviṣṇuḥ someśvara soma saumya anantaśrī lokaśrī gagana	Aditya praBAva praBavizNuH someSvara soma sOmya ananta SrI loka SrI gagana
   gaganāḍhya gaganaṃga+kṣiteśvara maheśvara kṣitikṣitigarbha nīvaraṇa	gagana AXya gaganaMga +kziteSvara maheSvara kzitikzitigarBa nIvaraNa
   sarvāvaraṇa sarvāvaraṇa viṣkambhi sarvanīvaraṇaviṣkambhi	sarva AvaraNa sarva AvaraNa vizkamBi sarva nIvaraNa vizkamBi
   samantanirmathanaḥ samantabhadraḥ bhadrapāṇiḥ sudhanaḥ susaṃhataḥ	samanta nirmaTanaH samantaBadraH BadrapANiH suDanaH su saMhataH
   rasupuṣya sunabha ākāśa ākāśagarbhaḥ savārthagarbhaḥ sarvodbhava anivartī	rasupuzya su naBaH AkASaH AkASa garBaH sava arTa garBaH sarva udBava anivartI
   anivartita apāyajaha avivartitaṃ avaivarttikasarvadharmopaśceti /	anivartita apAyajaha avivartitam avEvarttika sarva Darma upaH ca iti /
   etaiścānyaiśca bodhisattvairmahāsattvaiḥ sārdhaṃ bhagavān śākyamuniḥ	etEH ca anyEH ca boDisattvEH mahAsattvEH sArDam BagavAn SAkya muniH
   śuddhāvāsabhavane viharati sma //	SudDAvAsa Bavane viharati sma //
   anyairapi bodhisattvairmahāsattvaiḥ strīrūpadhāribhiḥ	anyEH api boDisattvEH mahAsattvEH strI rUpa DAriBiH
   anantacaryārthalokanirahārasakalasattvāśaya	ananta caryA arTa loka nirahAra sakala sattva ASaya
   anivartanamārgapratiṣṭhāpanatayācintyāvidyāpadamantradhāraṇī	anivartana mArga pratizWApana tayA acintya avidyA pada mantra DAraNI
   oṣadhaveṣarūpadhāribhirnānāvidhapakṣigaṇayakṣarākṣasamaṇimantraratnarājasattva	ozaDa veza rUpa DAriBiH nAnAviDa pakzi gaNa yakza rAkzasa maNi mantra ratna rAja sattva
   asattvasaṅkhyātasamanupraveśasattvacaryānuvartibhiryathāsayasattvavinayatathānukāribhiḥ	asattva saFKyAta samanupraveSa sattva caryA anuvartiBiH yaTA Asaya sattva vinaya taTA anukAriBiH
   tatprativiśiṣṭarūpānuvartibhirvidyārājopadeśayathāvabodhadharmaniryātatathāgatābjakuliśasarvalaukikalokottarasamanupraveśasamayānatikramaṇīyavacanapathapratiṣṭhāpanatṛratnavaṃśānupacchedakartṛbhiḥ	tad prativiSizwa rUpa anuvartiBiH vidyA rAja upadeSa yaTa avaboDa Darma niryAta taTA gata abja kuliSa sarva lOkika loka uttara samanupraveSa samaya anatik
   tadyathā   uṣṇīṣa atyadbhuta atyunnata sitātapatra anantapatra śatapatra	tat yaTA  uzNIza atyadButa atyunnata sitA Atapatra anantapatra Satapatra
   jayoṣṇīṣa lokottara vijayoṣṇīṣa abhyudgatoṣṇīṣa kamalaraśmi kanakaraśmi	jaya uzNIza loka uttara vijaya uzNIza aByudgata uzNIza kamala raSmi kanaka raSmi
   sitaraśmi vyūḍhoṣṇīṣa kanakarāśi sitarāśi tejorāśi maṇirāśi samanantarāśi	sita raSmi vyUXa uzNIza kanaka rASi sita rASi tejaH rASi maNi rASi samananta rASi
   vikhyātarāśi bhūtarāśi satyarāśi abhāvasvabhāvarāśi avitatharāśi	viKyAta rASi BUta rASi satya rASi aBAva svaBAva rASi avitaTa rASi
   etaiścānyaoścoṣṇīṣarājairanantadharmadhātupraviṣṭairyathāśayasattvābhimāyapāripūrakaiḥ	etEH ca anyaoH ca uzNIza rAjEH ananta Darma DAtu pravizwEH yaTA Saya sattva aBimAya pAripUrakEH
   sarvajinahṛdayasamantāgatairna śakyaṃ kalpakoṭīniyutaśatasahasrairapi	sarva jina hRdaya samantA gatEH na Sakyam kalpa kowI niyuta Sata sahasrEH api
   uṣṇīṣarājñāṃ gaṇanāparyantaṃ vaktum, acintyabalaparākramāṇāṃ māhātmyaṃ vā	uzNIza rAjQAm gaNanA paryantam vaktum, acintya bala parAkramANAm mAhAtmyam vA
   kathayitum / samāsanirdeśataḥ saṃkṣepataśca kathyate //	kaTayitum / samAsa nirdeSataH saMkzepataH ca kaTyate //
   (Vaidya 7)	(VEdyaH 7)
   vidyārājñīnāṃ samāgamaṃ vakṣyate / tadyathā   ūrṇā bhrūlocanā padmā	vidyA rAjQInAm samAgamam vakzyate / tat yaTA  UrNA BrU locanA padmA
   śravaṇaḥ grīvā abhayā karuṇā maitrī kṛpā prajñā raśmi cetanā prabhā	SravaNaH grIvA aBayA karuNA mEtrI kRpA prajQA raSmi cetanA praBA
   nirmalā dhīvarā //	nirmalA DIvarAH //
   tathānyāśca vidyārājñībhiranantāparyantatathāgatamūrtanisṛṣṭābhiḥ /	taTA anyAH ca vidyA rAjQIBiH anantA paryanta taTA gata mUrta nisRzwABiH /
   tadyathā   tathāgatapātra dharmacakra tathāgataśayana tathāgatāvabhāsa	tat yaTA  taTAgata pAtra Darma cakra taTAgata Sayana taTAgata avaBAsa
   tathāgatavacana tathāgatoṣṭha tathāgatoru tathāgatāmala tathāgatadhvaja	taTAgata vacana taTAgata uzWa taTAgata Uru taTAgata amala taTAgataDvaja
   tathāgataketu tathāgatacinhaśceti / etaiścānyaiśca	taTAgataketu taTAgata cinhaH ca iti / etEH ca anyEH ca
   tathāgatamantrabhāṣitairvidyārājñarājñīkiṅkaraceṭaceṭī dūtadūtī yakṣayakṣī	taTAgata mantra BAzitEH vidyA rAjQa rAjQI kiFkara cewa cewI dUtadUtI yakza yakzI
   sattvāsattvaiśca prativiśiṣṭavyūhālaṅkāradharmameghānniḥsṛtaiḥ	sattva asattvEH ca prativiSizwa vyUha alaFkAra Darma meGAt niHsRtEH
   samādhiviśeṣaniṣyanditairaparimitakoṭīśatasahasraparivāritaiḥ	samADi viSeza nizyanditEH aparimita kowI Sata sahasra parivAritEH
   sarvavidyāgaṇa uparyupari pravartamānairvidyārājñaiḥ / te 'pi tatra	sarva vidyA gaNaH upari upari pravartamAnEH vidyA rAjQEH / te api tatra
   śuddhāvāsabhavanamadhiṣṭhitavānabhūvam / abjakule ca vidyārājñaḥ /	SudDAvAsa Bavanam aDizWita vAn aBUvam / abja kule ca vidyA rAjQaH /
   tadyathā   bhagavān dvādaśabhujaḥ ṣaḍbhujaḥ caturbhujaḥ hālāhalaḥ	tat yaTA  BagavAn dvAdaSa BujaH zaxBujaH caturBujaH hAlAhalaH
   amoghapāśaḥ śvetahayagrīvaḥ sugrīva anantagrīva nīlagrīva sugrīva sukarṇaḥ	amoGa pASaH Sveta haya grIvaH sugrIva ananta grIva nIlagrIva sugrIva sukarNaH
   śvetakarṇaḥ nīlakaṇṭhaḥ lokakaṇṭha vilokita avalokita īśvarasahasraraśmi	SvetakarNaH nIlakaNWaH loka kaNWa vilokita avalokitaH ISvara sahasra raSmi
   manaḥ manasaḥ vikhyātamanasaḥ kamalaḥ kamalapāṇiḥ manorathaḥ āśvāsakaḥ	manaH manasaH viKyAta manasaH kamalaH kamala pANiH manoraTaH ASvAsakaH
   prahasita sukeśa keśānta nakṣatra nakṣatrarāja saumya sugata damakaśceti	prahasita sukeSa keSAnta nakzatra nakzatra rAja sOmya sugata damakaH ca iti
   etaiścānyaiśca vidyārājaiḥ /	etEH ca anyEH ca vidyA rAjEH /
   abjoṣṇīṣapramukhairanantanirhāradharmameghaniṣyandasamādhibhūtairanekaśatasahasra	abja uzNIza pramuKEH ananta nirhAra Darma meGa nizyanda samADi BUtEH aneka Sata sahasra
   koṭīniyutavidīpaparivāritairanekaiśca	kowI niyuta vidIpa parivAritEH anekEH ca
   vidyārājñībhirlokeśvaramūrttisamādhivisṛtaiḥ / tadyathā   tārā sutārā naṭī	vidyA rAjQIBiH loka ISvara mUrtti samADi visRtEH / tat yaTA  tArA sutArA nawI
   bhṛkuṭī anantaṭī lokaṭī bhūmiprāpaṭī vimalaṭī sitā śvetā mahāśvetā	BRkuwI anantawI lokawI BUmiprApawI vimalawI sitA SvetA mahASvetA
   pāṇḍaravāsinī lokavāsinī vimalavāsinī abjavāsinī daśabalavāsinī yaśovatī	pANxara vAsinI lokavAsinI vimala vAsinI abja vAsinI daSa bala vAsinI yaSovatI
   bhogavatī mahābhogavatī ulūkā alokā amalāntakarī samantāntakarī	BogavatI mahA BogavatI ulUkA alokA amala anta karI samantAnta karI
   duḥkhāntakarī bhūtāntakarī śriyā mahāśriyā bhūpaśriyā anantaśriyā	duHKa anta karI BUta anta karI SriyA mahA SriyA BUpa SriyA ananta SriyA
   lokaśriyā vikhyātaśriyā lokamātā samantamātā buddhamātā bhaginī bhāgīrathī	loka SriyA viKyAta SriyA lokamAtA samantamAtA budDamAtA BaginI BAgIraTI
   surathī rathavatī nāgadantā damanī bhūtavatī amitā āvalī bhogavalī	suraTI raTavatI nAgadantA damanI BUtavatI amitA AvalI BogavalI
   ākarṣaṇī adbhutā raśmī surasā suravatī pramodā dyutivatī taṭī samantataṭī	AkarzaNI adButA raSmI surasA suravatI pramodA dyutivatI tawI samanta tawI
   jyotsnā somā somāvatī māyūrī mahāmāyūrī dhanavatī dhanandadā suravatī	jyotsnA somA somAvatI mAyUrI mahAmAyUrI DanavatI Dananda dA suravatI
   lokavatī arciṣmatī bṛhannalā bṛhantā sughoṣā sunandā vasudā lakṣmī	lokavatI arcizmatI bRhannalA bRhantA suGozA sunandA vasudA lakzmI
   lakṣmīvatī rogāntikā sarvavyādhicikitsanī asamā devī khyātikarī vaśakarī	lakzmIvatI roga antikA sarva vyADi cikitsanI asamA devI KyAti karI vaSakarI
   kṣiprakarī kṣemadā maṅgalā maṅgalāvahā candrā sucandrā candrāvatī ceti /	kziprakarI kzemadA maFgalA maFgalAvahA candrA sucandrA candrAvatI ca iti /
   etaiścānyaiśca vidyārājñibhiḥ	etEH ca anyEH ca vidyA rAjQiBiH
   parṇāsavarijāṅgulimānasīpramukhairanantanirhāradharmadhātugaganasvabhāvaiḥ	parNAsa varija aFguli mAnasI pramuKEH ananta nirhAra Darma DAtu gagana svaBAvEH
   sattvacaryāvikurvitādhiṣṭhānasañjanitamānasaiḥ dūtadūtī ceṭaceṭī	sattva caryA vikurvita aDizWAna saQjanita mAnasEH dUtadUtI cewa cewI
   kiṅkarakiṅkarī yakṣayakṣī rākṣasarākṣasīṃ piśācapiśācī	kiFkara kiFkarI yakza yakzI rAkzasa rAkzasIm piSAca piSAcI
   abjakulasamayānupraveśamantravicāribhiḥ yena taṃ śuddhāvāsaṃ devabhavanaṃ	abja kula samaya anupraveSa mantra vicAriBiH yena tam SudDAvAsam deva Bavanam
   śuddhasattvaniśvastaṃ, tena pratyaṣṭhāt / pratiṣṭhitāśca bhagavataḥ	SudDa sattva niSvastan, tena pratyazWAt / pratizWitAH ca BagavataH
   śākyamuneḥ pūjākarmaṇodyuktamānaso abhūvaṃ sthitavantaḥ //	SAkya muneH pUjA karmaNA udyukta mAnasaH aBUvam sTitavantaH //
   tasmin bhagavataḥ śākyamuneḥ samīpaṃ vajrapāṇiḥ bodhisattvaḥ svakaṃ	tasmin BagavataH SAkya muneH samIpam vajrapANiH boDisattvaH svakam
   vidyāgaṇamāmantrayate sma / sannipātaṃ ha bhavanto	vidyA gaNam Amantrayate sma / sannipAtam ha BavantaH 
   'smadvidyāgaṇaparivṛtāḥ, sakrodharājaḥ vidyārājarājñibhirmahādūtibhiḥ	asmad vidyA gaNa parivRtAH, sa kroDa rAjaH vidyA rAja rAjQiBiH mahA dUtiBiH
   smaraṇamātreṇaivasarvā vidyāgaṇāḥ sannipatitāḥ / tadyathā   vidyottamaḥ	smaraNa mAtreNa eva sarvAH vidyA gaNAH sannipatitAH / tat yaTA  vidyA uttamaH
   suvidya suviddha subāhu suṣeṇa surāntaka surada supūrṇa vajrasena	suvidya suvidDa subAhu suzeNa surAntaka surada su pUrNa vajrasena
   vajrakara (Vaidya 8) vajrabāhu vajrahasta vajradhvaja vajrapatāka	vajrakaraH (VEdyaH 8) vajra bAhu vajrahasta vajraDvaja vajra patAka
   vajraśikhara vajraśikha vajradaṃṣṭra śuddhavajra vajraroma vajrasaṃhata	vajraSiKara vajraSiKa vajradaMzwra SudDa vajra vajra roma vajra saMhata
   vajrānana vajrakavaca vajragrīva vajranābhi vajrānta vajrapañjara	vajra Anana vajra kavaca vajragrIva vajra nABi vajra anta vajrapaQjara
   vajraprākāra vajrāsu vajradhanuḥ vajraśaraḥ vajranārāca vajrāṅka	vajra prAkAra vajrAsu vajraDanuH vajraSaraH vajranArAca vajrAFka
   vajrasphoṭa vajrapātāla vajrabhairava + + + netra vajrakrodha	vajrasPowa vajra pAtAla vajraBErava + + + netra vajra kroDa
   jalānantaścara bhūtāntaścara gandhanānantaścara mahākrodhāntaścara	jala anantaH cara BUtAntar cara ganDana anantaH cara mahA kroDa antar cara
   maheśvarāntaścara sarvavidyāntaścara ghoraḥ sughoraḥ kṣepa upakṣepaḥ	maheSvara antar cara sarva vidyA antar cara GoraH su GoraH kzepaH upakzepaH
   padanikṣepaḥ vināyakāntakṣepaḥ savinyāsakṣepaḥ utkṛṣṭakṣepa bala mahābala	pada nikzepaH vinAya kAnta kzepaH sa vinyAsa kzepaH utkRzwa kzepa bala mahA bala
   sumbha bhramara bhṛṅgiriṭi krodha mahākrodha sarvakrodha ajara ajagara	sumBa Bramara BRFgiriwi kroDa mahA kroDa sarva kroDa ajara ajagara
   jvara śoṣa nāgānta daṇḍa nīladaṇḍa raktāṅga vajradaṇḍa medhya mahāmedhya	jvara Soza na aga anta daNxa nIladaNxa rakta aFga vajra daNxa meDya mahA meDya
   kāla kālakūṭa śvitraroma sarvabhūtasaṃkṣaya śūla mahāśūla arti mahārti	kAla kAlakUwa Svitra roma sarva BUta saMkzaya SUla mahA SUla arti mahA Arti
   yama vaivasvata yugāntakara kṛṣṇapakṣa ghoraḥ ghorarūpī paṭṭisa tomara	yama vEvasvata yuga anta kara kRzNapakza GoraH Gora rUpI pawwisa tomara
   gada pramathana grasana saṃsāra araha yugāntārka prāṇahara śakraghna dveṣa	gada pramaTana grasana saMsAra araha yugAnta arka prANa hara Sakra Gna dveza
   āmarṣa kuṇḍali sukuṇḍali amṛtakuṇḍali anantakuṇḍali ratnakuṇḍali bāhu	Amarza kuNxali su kuNxali amRta kuNxali ananta kuNxali ratna kuNxali bAhu
