   Sarva Tathāgata Tattva Saṅgrah	Sarva TaTAgataH Tattva SaFgrah
   vajrapāṇi sarvatathāgatamahāṅkuśāni bhūtvā viniḥsṛtya, bhagavato	vajrapANi sarva taTAgata mahA aFkuSAni BUtvA viniHsRtya, BagavataH 
   vairocanasya hṛdaye praviṣṭvaikaghano vajrāṅku śamahāvigrahaḥ prādurbhūya,	vErocanasya hRdaye pravizwvA eka GanaH vajra aFku SamahA vigrahaH prAdurBUya,
   bhagavataḥ pāṇau pratiṣṭhitaḥ / atha tato vajrāṅku śamahāvigrahāt	BagavataH pANO pratizWitaH / aTa tatas vajra aFku SamahA vigrahAt 
   sarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahā viniḥsṛtya,	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH viniHsRtya,
   sarvatathāgatakarṣaṇādīni sarvabuddharddhivikurvitāni kṛtvā,	sarva taTAgata karzaNa AdIni sarva budDa RdDi vikurvitAni kRtvA,
   svamogharājatvād vajrasattvasamādheḥ sudṛḍhatvāccaikaghanaḥ	su a moGa rAja tvAt vajra sattva samADeH su dRXa tvAt ca eka GanaH
   amogharājamahābodhisattvakāyaḥ saṃbhūya, bhagavato vairocanasya hṛdaye	amoGa rAja mahA boDisattva kAyaH saMBUya, BagavataH vErocanasya hRdaye
   sthitvedamudānamudānayāmāsa /	sTitvA idam udAnam udAnayAmAsa /
   aho hyamogharājāhaṃ vajrasaṃbhavamaṅku śaḥ /	aho hi amoGa rAjA aham vajra saMBavam aFku Sas /
   yatsarvavyāpino buddhāḥ samākṛṣyanti siddhayaḥ // iti //	yat sarva vyApinaH budDAH samAkRzyanti sidDayaH // iti //
   atha so 'mogharājamahābodhisattvakāyo bhagavato hṛdayādavatīrya,	aTa saH amoGa rAja mahA boDisattva kAyaH BagavataH hRdayAt avatIrya,
   sarvatathāgatānāṃ dakṣiṇacandramaṇḍalāśrito bhūtvā, punarapyājñāṃ	sarva taTAgatAnAm dakziNa candra maNxala ASritaH BUtvA, punar api AjQAm
   mārgayāmāsa //	mArgayAmAsa //
   atha bhagavān sarvatathāgatākarṣaṇasamayavajrannāma samādhiṃ samāpadya,	aTa BagavAn sarva taTAgata AkarzaNa samaya vajrat nAma samADim samApadya,
   sarvatathāgatākarṣaṇasamayamaśeṣānavaśeṣasattvadhātusarvākarṣaṇasarvasukhasaumanasyānubhavanārthaṃ	sarva taTAgata AkarzaNa samayam aSezAn avaSeza sattva DAtu sarva AkarzaNa sarva suKa sOmanasya anuBavana arTam
   yāvat sarvatathāgatasamājādhiṣṭhānottamasiddhyarthaṃ tadvajrāṅkuśaṃ tasmai	yAvat sarva taTAgata samAja aDizWAna uttama sidDi arTam tat vajrAFkuSam tasmE
   amogharājāya mahābodhisattvāya tathaiva pāṇibhyāmanuprādāt / tataḥ	amoGa rAjAya mahA boDisattvAya taTA eva pANiByAm anuprAdAt / tatas 
   sarvatathāgatairvajrākarṣo vajrākarṣa iti vajranāmābhiṣekeṇābhiṣiktaḥ //	sarva taTAgatEH vajra AkarzaH vajra AkarzaH iti vajra nAma aBizekeNa aBiziktaH //
   atha vajrākarṣo bodhisattvastena vajrāṅkuśena	aTa vajra AkarzaH boDisattvaH tena vajra aFkuSena
   sarvatathāgatānākarṣayannidamudānamudānayāmāsa /	sarva taTAgatAn Akarzayan= idam udAnam udAnayAmAsa /
   idaṃ tatsarvabuddhānāṃ vajrajñānamanuttaraṃ /	idam tat sarva budDAnAm vajra jQAnam anuttaram /
   yatsarvabuddhārthasiddhyartha samākarṣaṇamuttamama // iti //	yat sarva budDa arTa sidDi arTa samAkarzaNam uttamamaH // iti //
   I.1.8 Vajraraga	I.1.8 Vajra raga
   atha bhagavān punarapi	aTa BagavAn punar api
   māramahābodhisattvasamayasaṃbhavasattvādhiṣṭhānavajraṃ nāma samādhiṃ	mAra mahAboDisattva samaya saMBava sattva aDizWAnavajram nAma samADim
   samāpadyedaṃ sarvatathāgatānurāgaṇasamayannāma sarvatathāgatahṛdayaṃ	samApadya idam sarva taTAgata anurAgaNa samayat nAma sarva taTAgata hRdayam
   svahṛdayānniścacāra vajrarāga //	sva hRdayAt niScacAra vajra rAga //
   athāsmin viniḥsṛtamātre sarvatathāgatahṛdayebhyaḥ sa eva bhagavān	aTa asmin viniHsRta mAtre sarva taTAgata hRdayeByaH saH eva BagavAn
   vajradharaḥ sarvatathāgatakusumāyudhāni bhūtvā viniḥsṛtya, bhagavato	vajraDaraH sarva taTAgata kusuma AyuDAni BUtvA viniHsRtya, BagavataH 
   vairocanasya hṛdaye praviṣṭvaikaghano mahāvajravāṇavigrahaḥ prādurbhūya,	vErocanasya hRdaye pravizwvA eka GanaH mahA vajravANa vigrahaH prAdurBUya,
   pāṇau pratiṣṭhitaḥ / atha tato	pANO pratizWitaH / aTa tatas 
   vajravāṇavigrahātsarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahā	vajravANa vigrahAt sarva loka DAtu paramANu rajaH samAH taTAgata vigrahA
   viniḥsṛtya, sarvatathāgatānurāgaṇādīni sarvabuddharddhivikurvitāni kṛtvā,	viniHsRtya, sarva taTAgata anurAgaNa AdIni sarva budDa RdDi vikurvitAni kRtvA,
   sumāraṇatvād vajrasattvasamādheḥ sudṛḍhatvāccaikaghano	sumAraNa tvAt vajra sattva samADeH su dRXa tvAt ca eka GanaH 
   māramahābodhisattvakāyaḥ saṃbhūya, bhagavato vairocanasya hṛdaye	mAra mahA boDisattva kAyaH saMBUya, BagavataH vErocanasya hRdaye
   sthitvedamudānamudānayāmāsa /	sTitvA idam udAnam udAnayAmAsa /
   aho svabhāvaśuddho 'hamanurāgaḥ svayaṃbhuvāṃ /	aho svaBAva SudDaH aham anurAgaH svayaMBuvAm /
   yacchuddhyarthaṃ viraktānāṃ rāgeṇa vinayanti hi //	yat SudDi arTam viraktAnAm rAgeNa vinayanti hi //
   atha sa māramahābodhisattvakāyo bhagavato hṛdayādavatīrya	aTa sa mAra mahA boDisattva kAyaH BagavataH hRdayAt avatIrya
   sarvatathāgatānāṃ vāmacandramaṇḍalāśrito bhūtvā, punarapyājñāṃ mārgayāmāsa	sarva taTAgatAnAm vAma candra maNxala ASritaH BUtvA, punar api AjQAm mArgayAmAsa
   atha bhagavān sarvatathāgatānurāgaṇādhiṣṭhānavajrannāma samādhiṃ	aTa BagavAn sarva taTAgata anurAgaNa aDizWAna vajrat nAma samADim
   samāpadya,	samApadya,
   sarvatathāgatamāraṇavajrasamayamaśeṣānavaśeṣatvadhātvanurāgaṇarsāsukhasaumanasyānubhavanārthaṃ	sarva taTAgata mAraNa vajra samayam aSeza anavaSeza tva DAtu anurAgaNarsA suKa sOmanasya anuBavana arTam
   yāvat sarvatathāgatamārakarmottamasiddhyavāptiphalahetostadvajravāṇaṃ	yAvat sarva taTAgata mAra karma uttama sidDi avApti Pala hetoH tat vajravANam
   tasmai mārāya mahābodhisattvāya tathaiva pāṇibhyāmanuprādāt / tataḥ	tasmE mArAya mahA boDisattvAya taTA eva pANiByAm anuprAdAt / tatas 
   sarvatathāgatairvajradhanurvajradhanuriti vajranāmābhiṣekeṇābhiṣiktaḥ //	sarva taTAgatEH vajraDanuH vajraDanuH iti vajra nAma aBizekeNa aBiziktaH //
   atha vajradhanurbodhisattvo mahāsattvastena vajravāṇena sarvatathāgatān	aTa vajra DanuH boDisattvaH mahAsattvaH tena vajravANena sarva taTAgatAn
   mārayannidamudānamudānayāmāsa /	mArayan= idam udAnam udAnayAmAsa /
   idantatsarvabuddhānāṃ rāgajñānamanāvilaṃ /	idantat sarva budDAnAm rAga jQAnam anAvilam /
   hatvā virāgaṃ rāgeṇa sarvasaukhyaṃ dadanti hi //	hatvA virAgam rAgeNa sarva sOKyam dadanti hi //
   I.1.9 Vajrasadhu	I.1.9 VajrasaDu
   atha bhagavān punarapi	aTa BagavAn punar api
   prāmodyarājamahābodhisattvasamayasaṃbhavasattvādhiṣṭhānavajrannāma	prAmodya rAja mahA boDisattva samaya saMBava sattva aDizWAna vajrat nAma
   samādhiṃ samāpadyedaṃ sarvatathāgatapramodasamayannāma	samADim samApadya idam sarva taTAgata pramoda samayat nAma
   sarvatathāgatahṛdayaṃ svahṛdayānniścacāra vajrasādhu //	sarva taTAgata hRdayam sva hRdayAt niScacAra vajra sADu //
   athāsmin viniḥsṛtamātre sarvatathāgatahṛdayebhyaḥ sa eva bhagavān	aTa asmin viniHsRta mAtre sarva taTAgata hRdayeByaH saH eva BagavAn
   vajradharaḥ sādhukārāṇi bhūtvā, bhagavato vairocanasya hṛdaye	vajraDaraH sADu kArANi BUtvA, BagavataH vErocanasya hRdaye
   praviṣṭvaikaghano bhūtvā, vajratuṣṭivigrahaḥ prādurbhūya, bhagavataḥ pāṇau	pravizwvA eka GanaH BUtvA, vajra tuzwi vigrahaH prAdurBUya, BagavataH pANO
   pratiṣṭhitaḥ / atha tato vajratuṣṭivigrahāt	pratizWitaH / aTa tatas vajra tuzwi vigrahAt 
   sarvalokadhātuparamāṇurajaḥsamāḥ tathāgatavigrahā viniḥsṛtya,	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH viniHsRtya,
   sarvatathāgatasādhukārādīni sarvabuddharddhivikurvitāni kṛtvā,	sarva taTAgata sADu kAra AdIni sarva budDa RdDi vikurvitAni kRtvA,
   suprāmodyatvād vajrasattvasamādheḥ sudṛḍhatvāc caikaghanaḥ	su prAmodya tvAt vajra sattva samADeH su dRXa tvAt ca eka GanaH
   prāmodyarājamahābodhisattvakāyaḥ saṃbhūya, bhagavato vairocanasya	prAmodya rAja mahA boDisattva kAyaH saMBUya, BagavataH vErocanasya
   tathāgatasya hṛdaye sthitvedamudānamudānayāmāsa /	taTAgatasya hRdaye sTitvA idam udAnam udAnayAmAsa /
   aho hi sādhukāro 'haṃ sarvaḥ sarvavidāṃ varaḥ /	aho hi sADukAraH aham sarvaH sarva vidAm varaH /
   yad vikalpaprahīṇānāṃ tuṣṭiṃ janayati dhruvaṃ //	yat vikalpa prahINAnAm tuzwim janayati Druvam //
   atha sa prāmodyarājamahābodhisattvakāyo bhagavato vairocanasya	aTa sa prAmodya rAja mahA boDisattva kAyaH BagavataH vErocanasya
   hṛdayādavatīrya, sarvatathāgatānāṃ pṛṣṭhataścandramaṇḍalāśrito bhūtvā,	hRdayAt avatIrya, sarva taTAgatAnAm pRzWatas candra maNxala ASritaH BUtvA,
   punarapyājñāṃ mārgayāmāsa //	punar api AjQAm mArgayAmAsa //
   atha bhagavān sarvatathāgatasaṃtoṣaṇavajrannāma samādhiṃ saṃpādya,	aTa BagavAn sarva taTAgata saMtozaNa vajrat nAma samADim saMpAdya,
   sarvatathāgatānuttaraprāmodyajñānasamayaśeṣānavaśeṣasattvadhātusarvasattvasantoṣaṇamahāsukhasaumanasyānubhavanārtha	sarva taTAgata anuttara prAmodya jQAna samaya SezAn avaSeza sattva DAtu sarva sattva santozaNa mahA suKa sOmanasya anuBavana arTa
   yāvat	yAvat 
   sarvatathāgatānuttaraharṣarasottamasiddhiprāptiphalahetostadvajratuṣṭiṃ	sarva taTAgata anuttara harza rasa uttama sidDi prApti Pala hetoH tad vajra tuzwim
   tasmai prāmodyarājāya mahābodhisattvāya tathaiva pāṇibhyāmanuprādāt /	tasmE prAmodya rAjAya mahA boDisattvAya taTA eva pANiByAm anuprAdAt /
   tataḥ sarvatathāgatairvajraharṣo vajraharṣa iti	tatas sarva taTAgatEH vajra harzaH vajraharzaH iti
   vajranāmābhiṣekeṇābhiṣiktaḥ //	vajra nAma aBizekeNa aBiziktaH //
   atha vajraharṣo bodhisattvastena vajratuṣṭinā sarvatathāgatān sādhukāraiḥ	aTa vajraharzaH boDisattvaH tena vajra tuzwinA sarva taTAgatAn sADukArEH
   praharṣayannidamudānamudānayāmāsa /	praharzayan= idam udAnam udAnayAmAsa /
   idaṃ tatsarvabuddhānāṃ sādhukārapravartakaṃ /	idam tat sarva budDAnAm sADu kAra pravartakam /
   sarvatuṣṭikaraṃ vajraṃ divyaṃ prāmodyavardhanam // iti //	sarva tuzwi karam vajram divyam prAmodya varDanam // iti //
   mahābodhicittaṃ, sarvatathāgatakarṣaṇasamayaḥ,	mahAboDi cittaM, sarva taTAgata karzaNa samayaH,
   sarvatathāgatānurāgaṇajñānaṃ, mahātuṣṭiriti	sarva taTAgata anurAgaNa jQAnan, mahAtuzwiH iti
   sarvatathāgatamahāsamayasattvāḥ //	sarva taTAgata mahA samaya sattvAH //
   I.1.10 Vajraratna	I.1.10 Vajra ratna
   atha bhagavān	aTa BagavAn
   punarapyākāśagarbhamahābodhisattvasamayasaṃbhavaratnādhiṣṭhānavajrannāma	punar api AkASa garBa mahA boDisattva samaya saMBava ratna aDizWAna vajrat nAma
   samādhiṃ samāpadyedaṃ sarvatathāgatābhiṣekasamayannāma	samADim samApadya idam sarva taTAgata aBizeka samayat nAma
   sarvatathāgatahṛdayaṃ svahṛdayānniścacāra vajraratnaḥ //	sarva taTAgata hRdayam sva hRdayAt niScacAra vajra ratnaH //
   athāsmin viniḥsṛtamātre sarvatathāgatahṛdayebhyaḥ	aTa asmin viniHsRta mAtre sarva taTAgata hRdayeByaH
   sarvākāśasamatājñānasuprativedhatvād, vajrasattvasamādheḥ sa eva bhagavān	sarva AkASa samatA jQAna su prativeDa tvAd, vajra sattva samADeH saH eva BagavAn
   vajradharaḥ sarvākāśarasamayo bhūtvā viniḥsṛtās, taiḥ sarvaiḥ	vajraDaraH sarva AkASa rasa mayaH BUtvA viniHsRtA as, tEH sarvEH
   sarvākāśaraśmibhiḥ sarvalokadhātavo 'vabhāsitāḥ, sarvākāśadhātusamāḥ	sarva AkASa raSmiBiH sarva loka DAtavaH avaBAsitAH, sarva AkASa DAtu samAH
   saṃvṛtā abhūvan / atha sarvatathāgatādhiṣṭhānena sarvo	saMvRtAH aBUvan / aTa sarva taTAgata aDizWAnena sarvaH 
   'sākāśadhāturbhagavato vairocanasya hṛdaye praviṣṭāḥ / suparibhāvitatvācca	asa AkASa DAtuH BagavataH vErocanasya hRdaye pravizwAH / su pariBAvita tvAt ca
   vajrasattvasamādheḥ sarvākāśadhātugarbhamayaḥ	vajra sattva samADeH sarva AkASa DAtu garBa mayaH
   sarvalokadhātusamavasaraṇapramāṇo mahāvajraratnavigrahaḥ prādurbhūya,	sarva loka DAtu samavasaraNa pramANaH mahA vajra ratna vigrahaH prAdurBUya,
   bhagavataḥ pāṇau pratiṣṭhitaḥ / atha tasmād vajraratnavigrahāt	BagavataH pANO pratizWitaH / aTa tasmAt vajra ratna vigrahAt
   sarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahāḥ prādurbhūya,	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH prAdurBUya,
   sarvatathāgatābhiṣekādīni sarvatathāgatarddhivikurvitāni sarvalokadhātuṣu	sarva taTAgata aBizeka AdIni sarva taTAgata RdDi vikurvitAni sarva loka DAtuzu
   kṛtvā, sarvākāśadhātugarbhasusaṃbhavatvādvajrasattvasamādheḥ	kRtvA, sarva AkASa DAtu garBasu saMBava tvAt vajra sattva samADeH
   sudṛḍhatvāccaikaghanaḥ ākāśagarbhamahābodhisattvakāyaḥ saṃbhūya, bhagavato	su dRXa tvAt ca eka GanaH AkASa garBa mahA boDisattva kAyaH saMBUya, BagavataH 
   vairocanasya hṛdaye sthitvedamudānamudānayāmāsa /	vErocanasya hRdaye sTitvA idam udAnam udAnayAmAsa /
   aho hi svabhiṣeko 'haṃ vajraratnamanuttaraṃ /	aho hi su aBizekaH aham vajra ratnam anuttaram /
   yanniḥsaṃgā api jināstridhātupatayaḥ smṛtāḥ //	yat niHsaMgAH api jinAH tri DAtu patayaH smRtAH //
   atha sa ākāśagarbhamahābodhisattvakāyo bhagavato hṛdayādavatīrya,	aTa saH AkASa garBa mahA boDisattva kAyaH BagavataH hRdayAt avatIrya,
   sarvatathāgatānāṃ purataścandramaṇḍalāśrito bhūtvā, punarapyājñāṃ	sarva taTAgatAnAm puratas candra maNxala ASritaH BUtvA, punar api AjQAm
   mārgayāmāsa //	mArgayAmAsa //
   atha bhagavān sarvatathāgatamaṇiratnavajrannāma samādhiṃ samāpadya,	aTa BagavAn sarva taTAgata maNi ratnavajrat nAma samADim samApadya,
   sarvatathāgatābhiprāyaparipūrṇasamayamaśeṣānavaśeṣasattvadhātusarvārthapariprāptisarvasukhasaumanasyānubhavanārthaṃ	sarva taTAgata aBiprAya paripUrNa samayam aSezAn avaSeza sattva DAtu sarva arTa pariprApti sarva suKa sOmanasya anuBavana arTam
   yāvat sarvatathāgatārthasaṃpaduttamasiddhiprāptyai taṃ vajramaṇiṃ tasmai	yAvat sarva taTAgata arTa saMpad uttama sidDi prAptyE tam vajramaNim tasmE
   ākāśagarbhāya mahābodhisattvāya vajraratnacakravartitve	AkASa garBAya mahA boDisattvAya vajra ratna cakravarti tve
   vajraratnāṅkurābhiṣekeṇābhiṣicya pāṇibhyāmanuprādāt / tataḥ	vajra ratna aFkura aBizekeNa aBizicya pANiByAm anuprAdAt / tatas 
   sarvatathāgatairvajragarbho vajragarbha iti vajranāmābhiṣekeṇābhiṣiktaḥ /	sarva taTAgatEH vajragarBaH vajragarBaH iti vajra nAma aBizekeNa aBiziktaH /
   atha vajragarbho mahābodhisattvastaṃ vajramaṇiṃ svābhiṣekasthāne	aTa vajragarBaH mahA boDisattvaH tam vajramaNim sva aBizeka sTAne
   sthāpayannidamudānamudānayāmāsa /	sTApayan= idam udAnam udAnayAmAsa /
   idaṃ tat sarvabuddhānāṃ sattvadhātvabhiṣecanaṃ /	idam tat sarva budDAnAm sattva DAtu aBizecanam /
   ahammama kare dattaṃ ratne ratnanniyojitaṃ //	aham mama kare dattam ratne ratnat niyojitam //
   I.1.11 Vajrateja	I.1.11 Vajrateja
   atha bhagavān punarapi	aTa BagavAn punar api
   mahātejamahābodhisattvasamayasaṃbhavaratnādhiṣṭhānavajrannāma samādhiṃ	mahA teja mahA boDisattva samaya saMBava ratna aDizWAnavajrat nAma samADim
   samāpadyadaṃ sarvatathāgataraśmisamayannāma sarvatathāgatahṛdayaṃ	samApad yadam sarva taTAgata raSmi samayat nAma sarva taTAgata hRdayam
   svahṛdayānniścacāra vajrateja //	sva hRdayAt niScacAra vajratejaH //
   athāsmin viniḥsṛtamātre sarvatathāgatahṛdayebhyaḥ sa eva bhagavān	aTa asmin viniHsRta mAtre sarva taTAgata hRdayeByaH saH eva BagavAn
   vajrapāṇiḥ mahāsūryamaṇḍalāni bhūtvā, bhagavato vairocanasya hṛdaye	vajrapANiH mahA sUrya maNxalAni BUtvA, BagavataH vErocanasya hRdaye
   praviṣṭvaikaghano vajrasūryavigrahaḥ prādurbhūya, bhagavataḥ pāṇau	pravizwvA eka GanaH vajra sUrya vigrahaH prAdurBUya, BagavataH pANO
   pratiṣṭhitaḥ / atha tato	pratizWitaH / aTa tatas 
   vajrasūryamaṇḍalātsarvalokadhātuparamāṇurajaḥsamāḥ tathāgatavigrahā	vajra sUrya maNxalAt sarva loka DAtu paramANu rajaH samAH taTAgata vigrahA
   viniḥsṛtya, sarvatathāgataraśmipramuñcanādīni	viniHsRtya, sarva taTAgata raSmi pramuQcana AdIni
   sarvatathāgatarddhivikurvitāni kṛtvā, sumahātejastvād vajrasattvasamādheḥ	sarva taTAgata RdDi vikurvitAni kRtvA, su mahA tejaH tvAt vajra sattva samADeH
   sudṛḍhatvāccaikaghano mahātejamahābodhisattvakāyaḥ saṃbhūya, bhagavato	su dRXa tvAt ca eka GanaH mahA teja mahA boDisattva kAyaH saMBUya, BagavataH 
   vairocanasya hṛdaye sthitvedamudānamudānayāmāsa /	vErocanasya hRdaye sTitvA idam udAnam udAnayAmAsa /
   aho hyanupamaṃ tejaḥ sattvadhātvavabhāsanaṃ /	aho hi anupamam tejaH sattva DAtu avaBAsanam /
   yacchodhayati śuddhānāṃ buddhānāmapi tāyināṃ /	yat SoDayati SudDAnAm budDAnAm api tAyinAm /
   atha sa vimalatejamahābodhisattvakāyo bhagavato hṛdayādavatīrya,	aTa sa vimala teja mahA boDisattva kAyaH BagavataH hRdayAt avatIrya,
   sarvatathāgatānāṃ dakṣiṇacandramaṇḍalāśrito bhūtvā, punarapyājñāṃ	sarva taTAgatAnAm dakziNa candra maNxala ASritaH BUtvA, punar api AjQAm
   mārgayāmāsa //	mArgayAmAsa //
   atha bhagavān sarvatathāgataprabhāmaṇḍalādhiṣṭhānavajrannāma samādhiṃ	aTa BagavAn sarva taTAgata praBA maNxala aDizWAna vajrat nAma samADim
   samāpadya,	samApadya,
   sarvatathāgataraśmisamayamaśeṣānavaśeṣasattvadhātvanupamatejaḥsarvasukhasaumanasyānubhavanārthaṃ	sarva taTAgata raSmi samayam aSezAn avaSeza sattva DAtu anupama tejaH sarva suKa sOmanasya anuBavana arTam
   yāvatsarvatathāgatasvayaṃprabhāvāptyuttamasiddhaye tadvajrasūryaṃ tasmai	yAvat sarva taTAgata svayaMpraBAva apti uttama sidDaye tad vajra sUryam tasmE
   mahātejase mahābodhisattvāya tathaiva pāṇibhyāmanuprādāt / tataḥ	mahA tejase mahA boDisattvAya taTA eva pANiByAm anuprAdAt / tatas 
   sarvatathāgatairvajraprabho vajraprabha iti vajranāmābhiṣekeṇābhiṣiktaḥ //	sarva taTAgatEH vajra praBaH vajrapraBaH iti vajra nAma aBizekeNa aBiziktaH //
   atha vajraprabho mahābodhisattvastena vajrasūryeṇa	aTa vajrapraBaH mahA boDisattvaH tena vajra sUryeNa
   sarvatathāgatānavabhāsayannidamudānamudānayāmāsa /	sarva taTAgatAn avaBAsayan= idam udAnam udAnayAmAsa /
   idaṃ tatsarvabuddhānāmajñānadhvāntanāśanaṃ /	idam tat sarva budDAnAm ajQAna DvAnta nASanam /
   paramāṇurajaḥsaṃkhyasūryādhikataraprabham // iti //	paramANu rajaH saMKya sUrya aDikatara praBam // iti //
   I.1.12 Vajraketu	I.1.12 Vajraketu
   atha bhagavān punarapi	aTa BagavAn punar api
   ratnaketumahābodhisattvasamayasaṃbhavaratnādhiṣṭhānavajrannāma samādhiṃ	ratnaketu mahA boDisattva samaya saMBava ratna aDizWAnavajrat nAma samADim
   samāpadyedaṃ sarvatathāgatāśāparipūraṇasamayannāma sarvatathāgatahṛdayaṃ	samApadya idam sarva taTAgata ASA paripUraNa samayat nAma sarva taTAgata hRdayam
   svahṛdayānniścacāra vajraketu //	sva hRdayAt niScacAra vajraketu //
   athāsmin viniḥsṛtamātre sarvatathāgatahṛdayebhyaḥ sa eva bhagavān	aTa asmin viniHsRta mAtre sarva taTAgata hRdayeByaH saH eva BagavAn
   vajradharo vicitravarṇarūpālaṅkārasaṃsthānāḥ patākā bhūtvā viniḥsṛtya,	vajraDaraH vicitra varNa rUpa alaFkAra saMsTAnAH patAkAH BUtvA viniHsRtya,
   bhagavato vairocanasya hṛdaye praviṣṭvaikaghano vajradhvajavigrahaḥ	BagavataH vErocanasya hRdaye pravizwvA eka GanaH vajra Dvaja vigrahaH
   prādurbhūya, bhagavataḥ pāṇau pratiṣṭhitaḥ / atha tato vajradhvajavigrahāt	prAdurBUya, BagavataH pANO pratizWitaH / aTa tatas vajra Dvaja vigrahAt
   sarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahā viniścaritvā,	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH viniScaritvA,
   sarvatathāgataratnadhvajocchrepaṇādīni sarvabuddharddhivikurvitāni kṛtvā,	sarva taTAgata ratna Dvaja ucCrepaNa AdIni sarva budDa RdDi vikurvitAni kRtvA,
   mahāratnaketutvād vajrasattvasamādheḥ sadṛḍhatvāccaikaghano	mahA ratna ketu tvAt vajra sattva samADeH sa dRXa tvAt ca eka GanaH 
   ratnaketumahābodhisattvakāyaḥ saṃbhūya, bhagavato vairocanasya	ratnaketu mahA boDisattva kAyaH saMBUya, BagavataH vErocanasya
   tathāgatasya hṛdaye sthitvedamudānamudānayāmāsa /	taTAgatasya hRdaye sTitvA idam udAnam udAnayAmAsa /
   aho hyasadṛśaḥ keturahaṃ sarvārthasiddhīnāṃ /	aho hi asadRSaH ketuH aham sarva arTa sidDInAm /
   yatsarvāśāparipūrṇānāṃ sarvārthapratipūraṇaṃ // iti //	yat sarva ASA paripUrNAnAm sarva arTa pratipUraNam // iti //
   atha sa ratnaketurmahābodhisattvakāyo bhagavato hṛdayādavatīrya,	aTa sa ratnaketuH mahAboDisattva kAyaH BagavataH hRdayAt avatIrya,
   sarvatathāgatānāṃ vāmacandramaṇḍalāśrito bhūtvā, punarapyājñāṃ mārgayāmāsa	sarva taTAgatAnAm vAma candra maNxala ASritaH BUtvA, punar api AjQAm mArgayAmAsa
