   akarod brahmavittamaḥ KDA_465d	akarot brahma-vittamaH KDA_465d
   manyante sevayā śuddhiṃ KDA_177c	manyante sevayA SudDim KDA_177c
   mayi mokṣārthasādhini KDA_301b	mayi mokza-arTa-sADini KDA_301b
   maruto vā samudbhavaḥ KDA_136b	marutaH vA samudBavaH KDA_136b
   mahadvyasanam āptavān+ KDA_331d	mahat-vyasanam AptavAn+ KDA_331d
   maharṣir dvijasattama KDA_291d	mahA-RziH dvijasattama KDA_291d
   mahādātāpy abhūt tadā KDA_464d	mahAdAtA-api aBUt tadA KDA_464d
   mahāduḥkhabhayāni ca KDA_396b	mahA-duHKa-BayAni ca KDA_396b
   mahāduḥkham avāpnuyāt* KDA_409d	mahA-duHKam avApnuyAt* KDA_409d
   mahān nāgo vinirmitaḥ KDA_359d	mahAn nAgaH vinirmitaH KDA_359d
   mahābhijñās tapasvinaḥ KDA_444b	mahA-aBijQAH tapasvinaH KDA_444b
   mahābhūtasamudbhūta- KDA_225a	mahABUta-samudBUta KDA_225a
   mahāyajñasamācārā KDA_165c	mahAyajQa-samAcArA KDA_165c
   mahāyajñādikarmiṇaḥ KDA_232b	mahAyajQa-Adi-karmiNaH KDA_232b
   mahāraudrāś ca te khyātā KDA_190c	mahA-rOdrAH ca te KyAtA KDA_190c
   mahotsāho mahāvīraḥ KDA_84c	mahA-utsAhaH mahAvIraH KDA_84c
   māṇava uttaro nāma KDA_467a	mANavaH uttaraH nAma KDA_467a
   māṇava tvaṃ prajānāṃ tu KDA_467c	mANava tvam prajAnAm tu KDA_467c
   mātaraṃ janmadātrīṃ ca KDA_380a	mAtaram janma-dAtrIm ca KDA_380a
   mātreṇa brāhmaṇo bhavet* KDA_211b	mAtreNa brAhmaNaH Bavet* KDA_211b
   mānavānāṃ tathā nāsti KDA_143c	mAnavAnAm taTA na-asti KDA_143c
   mānavānāṃ tathā nāsti KDA_145c	mAnavAnAm taTA na-asti KDA_145c
   mānavā brāhmaṇāḥ khalu KDA_129b	mAnavAH brAhmaNAH Kalu KDA_129b
   mānavā ye praśāntāsthā KDA_163a	mAnavAH ye praSAnta-AsTA KDA_163a
   mānavās te tapasvinaḥ KDA_167d	mAnavAH te tapasvinaH KDA_167d
   mānavo 'pi na pūjyate KDA_227b	mAnavaH api na pUjyate KDA_227b
   mānino madamohāndhā KDA_346a	mAninaH mada-moha-anDA KDA_346a
   māyākleśārthasādhinā KDA_42b	mAyA-kleSa-arTa-sADinA KDA_42b
   māyāyāṃ jāyate ratiḥ KDA_333d	mAyAyAm jAyate ratiH KDA_333d
   māsam ekaṃ nirantaram* KDA_111b	mAsam ekam nirantaram* KDA_111b
   māsam ekaṃ nirantaram* KDA_207b	mAsam ekam nirantaram* KDA_207b
   māheśvarīvratādhārāḥ KDA_191c	mAheSvarI-vrata-ADArAH KDA_191c
   māṃ vihāre praveśaya KDA_302d	mAm vihAre praveSaya KDA_302d
   māṃsāsthiguṇabhedatā KDA_147d	mAMsa-asTi-guNa-BedatA KDA_147d
   mithyājīvena jīvan yaḥ KDA_109c	miTyA-jIvena jIvan yaH KDA_109c
   miśrataiva tu miśrāṇāṃ KDA_480e	miSratA-eva tu miSrANAm KDA_480e
   miśrato miśrabhuktāra KDA_106c	miSrataH miSra-BuktAra KDA_106c
   muktaś carati yo nityaṃ KDA_255c	muktaH carati yaH nityam KDA_255c
   mukhato brāhmaṇo jāto KDA_242a	muKataH brAhmaNaH jAtaH KDA_242a
   mukhādivarṇaśabdaiś ca KDA_140c	muKa-Adi-varNa-SabdEH ca KDA_140c
   muditāpi sadā sādhyā KDA_314a	muditA-api sadA sADyA KDA_314a
   muditāṃ hi samālambya KDA_314c	muditAm hi samAlambya KDA_314c
   munayaḥ satyavādinaḥ KDA_169d	munayaH satya-vAdinaH KDA_169d
   muninā muninā + + KDA_109b	muninA muninA + + KDA_109b
   munīnām āśramaṃ yayau KDA_73d	munInAm ASramam yayO KDA_73d
   munīnām upadeśāni KDA_43a	munInAm upadeSAni KDA_43a
   munīndraḥ śrīdhanaḥ śāstā KDA_294c	muni-indraH SrIDanaH SAstA KDA_294c
   muhuḥ paśyann ananda saḥ KDA_25d	muhur paSyan ananda saH KDA_25d
   mūḍhasya drūyate cittaṃ KDA_334c	mUXasya drUyate cittam KDA_334c
   mūḍho duṣṭavaśaṃ vrajet* KDA_406b	mUXaH duzwa-vaSam vrajet* KDA_406b
   mṛgadāve jināśrame KDA_463b	mRgadAve jina-ASrame KDA_463b
   mṛgāḥ kāliñjare girau KDA_107d	mRgAH kAliQjare girO KDA_107d
   mṛtaś ca sa prajāyate KDA_111d	mRtaH ca sa prajAyate KDA_111d
   mṛtaḥ sa śvā prajāyate KDA_207d	mRtaH sa SvA prajAyate KDA_207d
   mṛtena svāminā saha KDA_434b	mRtena svAminA saha KDA_434b
   mṛttikayaiva bhārgavaḥ KDA_219d	mRttikayA-eva BArgavaH KDA_219d
   mṛttikāyā na bhedo 'sti KDA_220a	mRttikAyAH na BedaH asti KDA_220a
   mṛtyuṃ yānti janaiḥ sārdhaṃ KDA_377c	mRtyum yAnti janEH sArDam KDA_377c
   meror upariṣaṇḍāyām KDA_18c	meroH uparizaNxAyAm KDA_18c
   maitrīcittaṃ samālambya KDA_413c	mEtrI-cittam samAlambya KDA_413c
   maitrīdharmam upādiśat* KDA_365d	mEtrI-Darmam upAdiSat* KDA_365d
   maitrīdharmopadeśena KDA_451c	mEtrI-Darma-upadeSena KDA_451c
   maitrīmāñ jagatām iṣṭo KDA_423a	mEtrI-imAn jagatAm izwaH KDA_423a
   maitrīmāñ jagatāṃ mitro KDA_423c	mEtrI-imAn jagatAm mitraH KDA_423c
   maitrīmāñ jagatāṃ sakhā KDA_423d	mEtrI-imAn jagatAm saKA KDA_423d
   maitrīmāñ jagatāṃ suhṛt* KDA_423b	mEtrI-imAn jagatAm suhRt* KDA_423b
   maitrīmān puruṣaḥ śrīmān KDA_424a	mEtrI-imAn puruzaH SrImAn KDA_424a
   maitrīmān puruṣaḥ sādhur KDA_421a	mEtrI-imAn puruzaH sADuH KDA_421a
   maitrīmān sajjano loke KDA_422a	mEtrI-imAn sat-janaH loke KDA_422a
   maitrīmān sanmatir bandhur KDA_422c	mEtrI-imAn sat-matiH banDuH KDA_422c
   maitrīmūlodbhavāni hi KDA_446d	mEtrI-mUla-udBavAni hi KDA_446d
   maitrīyuktam ivātmaje KDA_274b	mEtrI-yuktam iva-Atmaje KDA_274b
   maitrī loke prasāryatām* KDA_420d	mEtrI loke prasArya-tAm* KDA_420d
   maitrī saddharmasādhanī KDA_420b	mEtrI sadDarma-sADanI KDA_420b
   maitrī hi jagatāṃ mātā KDA_441a	mEtrI hi jagatAm mAtA KDA_441a
   maitrīṃ citte samādhāya KDA_447c	mEtrIm citte samADAya KDA_447c
   maitrīṃ bhāvaya satveṣu KDA_484c	mEtrIm BAvaya satvezu KDA_484c
   maitrīṃ vinā na jāyeta KDA_442a	mEtrIm vinA na jAyeta KDA_442a
   maitryā saṃskārayañ jagat* KDA_425d	mEtryA saMskArayan jagat* KDA_425d
   maithunaṃ nādhigacchanti KDA_207c	mETunam na-aDigacCanti KDA_207c
   maithunaṃ hi sadā tyaktaṃ KDA_256c	mETunam hi sadA tyaktam KDA_256c
   yakṣagandharvakinnaraiḥ KDA_8b	yakza-ganDarva-kinnarEH KDA_8b
   yac ca bhāryānuyāty eva KDA_434a	yat ca BAryA-anuyAti eva KDA_434a
   yac ca rājā prajāḥ pāti KDA_430a	yat ca rAjA prajAH pAti KDA_430a
   yac ca vidvān guruḥ śiṣyān KDA_431a	yat ca vidvAn guruH SizyAn KDA_431a
   yac ca vīrā raṇe sthitvā KDA_432a	yat ca vIrAH raNe sTitvA KDA_432a
   yac cānena punas tatra KDA_475c	yat ca-anena punar tatra KDA_475c
   yac cittaṃ muditaṃ loke KDA_276a	yat cittam muditam loke KDA_276a
   yac chāṃkaro mahāraudro KDA_376a	yat SAMkaraH mahA-rOdraH KDA_376a
   yatayo yogino 'pi te KDA_170d	yatayaH yoginaH api te KDA_170d
   yataḥ saukhyaṃ pravartate KDA_412d	yatas sOKyam pravartate KDA_412d
   yatitavyaṃ śubheṣv eva KDA_481c	yatitavyam SuBezu eva KDA_481c
   yatir mokṣam avāpnuyāt* KDA_349f	yatiH mokzam avApnuyAt* KDA_349f
   yatīn dṛṣṭvānumodaṃ ca KDA_339c	yatIn dRzwvA-anumodam ca KDA_339c
   yato dātā prajāpatiḥ KDA_56d	yatas dAtA prajApatiH KDA_56d
   yat taḥ kleśāprahīṇatvād KDA_472a	yat tas kleSa-aprahINa-tvAt KDA_472a
   yatnai ratnāni sādhayan* KDA_433b	yatnEH ratnAni sADayan* KDA_433b
   yat pitā bālakaṃ putram KDA_429a	yat pitA bAlakam putram KDA_429a
   yat pitā svātmajaṃ putraṃ KDA_383a	yat pitA sva-Atmajam putram KDA_383a
   yatra yatra pragacchati KDA_424b	yatra yatra pragacCati KDA_424b
   yat svayaṃ pariṇītāpi KDA_385a	yat svayam pariNItA-api KDA_385a
   yathā karoti bhāṇdāni KDA_219c	yaTA karoti BANdAni KDA_219c
   yathākṛtiviśeṣatā KDA_143b	yaTA-AkRti-viSeza-tA KDA_143b
   yathā ca kṛmikīṭānāṃ KDA_141a	yaTA ca kRmi-kIwAnAm KDA_141a
   yathā prakāśatamasor KDA_134a	yaTA prakASa-tamasoH KDA_134a
   yathā bhasmani sauvarṇe KDA_134a	yaTA Basmani sOvarNe KDA_134a
   yathā bhūruhavṛkṣāṇāṃ KDA_142a	yaTA BUruha-vRkzANAm KDA_142a
   yathāmrādiphalānāṃ ca KDA_147a	yaTA-Amra-Adi-PalAnAm ca KDA_147a
   yathā vajrādiratnānāṃ KDA_150a	yaTA vajra-Adi-ratnAnAm KDA_150a
   yathā varṇādibhedatā KDA_145b	yaTA varNa-Adi-Beda-tA KDA_145b
   yathā vṛkṣo 'hiveṣṭitaḥ KDA_400d	yaTA vRkzaH ahi-vezwitaH KDA_400d
   yathā ṣaḍrasajātīnāṃ KDA_148a	yaTA zaz-rasa-jAtInAm KDA_148a
   yathā siṃhādijantūnāṃ KDA_139a	yaTA siMha-Adi-jantUnAm KDA_139a
   yathā haṃsamayūrādi- KDA_140a	yaTA haMsa-mayUra-Adi KDA_140a
   yathā hi bālakā bālā KDA_152a	yaTA hi bAlakA bAlA KDA_152a
   yathā hemādidhātūnāṃ KDA_149a	yaTA hema-Adi-DAtUnAm KDA_149a
   yathaikavṛkṣajātānāṃ KDA_160a	yaTA-eka-vRkza-jAtAnAm KDA_160a
   yadā ca garuḍenāhaṃ KDA_339a	yadA ca garuxena-aham KDA_339a
   yadā na kurute pāpaṃ KDA_273a	yadA na kurute pApam KDA_273a
   yadā varṣaśatāyuṣi KDA_467d	yadA varza-Sata-Ayuzi KDA_467d
   yadā sarvaparadravyaṃ KDA_254a	yadA sarva-para-dravyam KDA_254a
   yadi te dharmavāñchāsti KDA_311c	yadi te DarmavAn-SA-asti KDA_311c
   yadi te 'sti kṛpā devi KDA_301a	yadi te asti kRpA devi KDA_301a
   yadi bauddheṣu dharmeṣu KDA_288a	yadi bOdDezu Darmezu KDA_288a
   yadi me śaraṇaṃ yātha KDA_366c	yadi me SaraNam yA-aTa KDA_366c
   yadi vāñchāsti te yate KDA_293b	yadi vAQCA-asti te yate KDA_293b
   yadi vā brahmajā viprā KDA_199a	yadi vA brahma-jA viprAH KDA_199a
   yadi vipraḥ śarīraḥ syāt KDA_212a	yadi vipraH SarIraH syAt KDA_212a
   yadi vipro mukhāj jāto KDA_244a	yadi vipraH muKAt jAtaH KDA_244a
   yadi vedād dvijo bhavet* KDA_230b	yadi vedAt dvijaH Bavet* KDA_230b
   yadi vedair bhaved vipro KDA_237c	yadi vedEH Bavet vipraH KDA_237c
   yadi śūdro 'pi tīrṇavān* KDA_264b	yadi SUdraH api tIrNavAn* KDA_264b
   yadi svācārato vipraḥ KDA_234a	yadi su-AcArataH vipraH KDA_234a
   yad uktaṃ śākyasiṃhena KDA_2c	yat uktam SAkya-siMhena KDA_2c
   yad dadanti mahāsatvāḥ KDA_439a	yat dadanti mahAsatvAH KDA_439a
   yad dveṣābhyāsataś cāsaṃ KDA_331a	yat dveza-aByAsataH ca-Asam KDA_331a
   yad dhetor janāś caivaṃ(?) KDA_347c	yat DetoH janAH ca-evaM(?) KDA_347c
   yad yat karmānucāriṇaḥ KDA_185b	yat yat karma-anucAriNaH KDA_185b
   yady ācārapramāṇatā KDA_236b	yadi AcAra-pramANa-tA KDA_236b
   yad rājāno viruddhāś ca KDA_377a	yat rAjAnaH virudDAH ca KDA_377a
   yan mayā hitam ucyate KDA_291b	yat mayA hitam ucyate KDA_291b
   yan mātā duḥkhitāpy evam KDA_428a	yat mAtA duHKitA-api evam KDA_428a
   yaś ca dātā viśuddhātmā KDA_56a	yaH ca dAtA viSudDa-AtmA KDA_56a
   yasmāt saṃskārato dvijaḥ KDA_91b	yasmAt saMskArataH dvijaH KDA_91b
   yasmād bhūter ayaṃ putraṃ KDA_28a	yasmAt BUteH ayam putram KDA_28a
   yasya cittaṃ dayāśūlaṃ KDA_58a	yasya cittam dayA-SUlam KDA_58a
   yasya cittaṃ pravikṣiptaṃ KDA_54a	yasya cittam pravikziptam KDA_54a
   yasya cittaṃ sadā satva- KDA_60a	yasya cittam sadA satva KDA_60a
   yasya cittaṃ hy aviśuddhaṃ KDA_51a	yasya cittam hi aviSudDam KDA_51a
   yasya citte dayā nāsti KDA_399a	yasya citte dayA na-asti KDA_399a
   yasya dātuṃ mano nāsti KDA_50a	yasya dAtum manaH na-asti KDA_50a
   yasya na kuśalotsāhaṃ KDA_53a	yasya na kuSala-utsAham KDA_53a
   yasya prajñā jagalloka- KDA_61a	yasya prajQA jagat-loka KDA_61a
   yasya prajñā viśuddhā na KDA_55a	yasya prajQA viSudDAH na KDA_55a
   yasya lokahite cittaṃ KDA_274a	yasya loka-hite cittam KDA_274a
   yasya loke dayā nāsti KDA_52a	yasya loke dayA na-asti KDA_52a
   yasya lokeṣu kāruṇyaṃ KDA_275a	yasya lokezu kAruNyam KDA_275a
   yasyaiva hetunā lokā KDA_332c	yasya-eva hetunA lokA KDA_332c
   yasyopekṣāyutaṃ cittaṃ KDA_277a	yasya-upekza-ayutam cittam KDA_277a
   yā gatir brahmacāriṇaḥ KDA_271b	yA gatiH brahmacAriNaH KDA_271b
   yātāḥ saukhāvatīṃ te 'py amitarucimuner dharmam ārādhayanti KDA_486d	yAtAH sOKAvatIm te api amita-ruci-muneH Darmam ArADayanti KDA_486d
   yādṛśaṃ sādhyate karma KDA_195a	yAdRSam sADyate karma KDA_195a
   yāni mahānti pāpāni KDA_396a	yAni mahAnti pApAni KDA_396a
   yāmi te śaraṇaṃ sadā KDA_321b	yAmi te SaraNam sadA KDA_321b
   yāvac citte sthitaṃ krodhaṃ KDA_368c	yAvat citte sTitam kroDam KDA_368c
   yāvajjīvam api ghnataḥ KDA_371b	yAvajjIvam api GnataH KDA_371b
   yāvajjīvaṃ sukhaṃ bhuktvā KDA_448c	yAvajjIvam suKam BuktvA KDA_448c
   yāvat krodham anirjitya KDA_68c	yAvat kroDam anirjitya KDA_68c
   yāvat krodhānaloddīptaṃ KDA_336a	yAvat kroDa-anala-uddIptam KDA_336a
   yāvad duṣṭān anirjitya KDA_69a	yAvat duzwAn anirjitya KDA_69a
   yāvanti pāpaduḥkhāni KDA_411a	yAvanti pApa-duHKAni KDA_411a
   yāvanti sukhabhogyāni KDA_446a	yAvanti suKa-BogyAni KDA_446a
   yuktaś carati dharmaṃ yo KDA_272c	yuktaH carati Darmam yaH KDA_272c
   yugāntakālavijñātā KDA_182c	yugAntakAla-vijQAtA KDA_182c
   yuddhaṃ kṛtvā parasparam* KDA_377b	yudDam kRtvA parasparam* KDA_377b
   yūyaṃ sarve 'numoditāḥ KDA_448b	yUyam sarve anumoditAH KDA_448b
   ye ete duḥkhino loke KDA_367c	ye ete duHKinaH loke KDA_367c
   ye ete sukhino loke KDA_367a	ye ete suKinaH loke KDA_367a
   yee bhajanti sadā buddhaṃ KDA_192a	yee Bajanti sadA budDam KDA_192a
   ye ca kurvanti mānavāḥ KDA_181b	ye ca kurvanti mAnavAH KDA_181b
   ye ca kṣatrāṇi rakṣantaḥ KDA_174a	ye ca kzatrANi rakzantaH KDA_174a
   ye ca kṣetrāṇi karṣanti KDA_178a	ye ca kzetrANi karzanti KDA_178a
   ye ca jitendriyagrāmā KDA_170a	ye ca jita-indriya-grAmA KDA_170a
   ye ca bhasmaviliptāṅgā KDA_172a	ye ca Basma-vilipta-aFgA KDA_172a
   ye ca mārān vinirjitya KDA_167a	ye ca mArAn vinirjitya KDA_167a
   ye ca māheśvarīṃ devīṃ KDA_191a	ye ca mAheSvarIm devIm KDA_191a
   ye ca lokapracāreṣu KDA_169a	ye ca loka-pracArezu KDA_169a
   ye ca satvahitādhāne KDA_176a	ye ca satva-hita-ADAne KDA_176a
   ye ca sārthān samāhṛtya KDA_180a	ye ca sArTAn samAhRtya KDA_180a
   ye ca sthaṇḍilam āśritya KDA_171a	ye ca sTaNxilam ASritya KDA_171a
   ye cāparigrahītāro KDA_49a	ye ca-aparigrahItAraH KDA_49a
   yena krodho jito vairo KDA_398a	yena kroDaH jitaH vEraH KDA_398a
   yena saṃrakṣitaṃ nityaṃ KDA_57a	yena saMrakzitam nityam KDA_57a
   yenaite garuḍā nāgā KDA_453c	yena-ete garuxA nAgA KDA_453c
   yenaite rakṣitāḥ sarve KDA_364c	yena-ete rakzitAH sarve KDA_364c
   yenaiva duṣkaraṃ karma KDA_59a	yena-eva duzkaram karma KDA_59a
   yenaiva nāgayonau ca KDA_471c	yena-eva nAga-yonO ca KDA_471c
   yenaiva nirjitāḥ kleśāś KDA_62a	yena-eva nirjitAH kleSAH KDA_62a
   yenaiva yat kṛtaṃ karma KDA_459c	yena-eva yat kRtam karma KDA_459c
   yenaiva yat kṛtaṃ karma KDA_478a	yena-eva yat kRtam karma KDA_478a
   yenaivaṃ sarvasatānāṃ KDA_349c	yena-evam sarva-satAnAm KDA_349c
   ye 'pi kleśān vinirjitya KDA_48a	ye api kleSAn vinirjitya KDA_48a
   ye 'pi parigrahāṃs tyaktvā KDA_45a	ye api parigrahAn tyaktvA KDA_45a
   ye pravrajyāṃ samāgṛhya KDA_46a	ye pravrajyAm samAgRhya KDA_46a
   ye bhajanti jinaṃ caiva KDA_193a	ye Bajanti jinam ca-eva KDA_193a
   ye bhajanti mahāraudraṃ KDA_190a	ye Bajanti mahA-rOdram KDA_190a
   ye bhajanti viṣṇuṃ nityaṃ KDA_188a	ye Bajanti vizNum nityam KDA_188a
   ye bhajanti śivaṃ nityaṃ KDA_187a	ye Bajanti Sivam nityam KDA_187a
   ye bhajanti sadā brahma KDA_164c	ye Bajanti sadA brahma KDA_164c
   ye maitrībhāvadharmaṃ kalimatiharaṇaṃ tat subhūteś caritraṃ KDA_486a	ye mEtrI-BAva-Darmam kalim-ati-haraNam tat suBUteH caritram KDA_486a
   ye ye duṣṭāśayāḥ krūrāḥ KDA_391a	ye ye duzwa-ASayAH krUrAH KDA_391a
   ye ye satvā mahābhijñāḥ KDA_426a	ye ye satvAH mahA-aBijQAH KDA_426a
   ye ye svācāravantaś ca KDA_234c	ye ye su-AcAravantaH ca KDA_234c
   ye rañjayanti dharmārthe KDA_175a	ye raQjayanti Darma-arTe KDA_175a
   ye śāntā yatayo dhīrāś KDA_387a	ye SAntAH yatayaH DIrAH KDA_387a
   ye satvās tāmasā raudrā KDA_97c	ye satvAH tAmasA rOdrA KDA_97c
   ye samiddhavyadravyāṇi KDA_173a	ye samiD-havya-dravyANi KDA_173a
   ye sthitā mokṣakāṅkṣiṇaḥ KDA_267b	ye sTitAH mokza-kAFkziNaH KDA_267b
   yogo 'py eṣa na vidyate KDA_158d	yogaH api eza na vidyate KDA_158d
   yojayiṣye ca saṃyame KDA_39d	yojayizye ca saMyame KDA_39d
   yojayeyaṃ sa sarvathā KDA_88d	yojayeyam sa sarvaTA KDA_88d
   yonijaṃ sarvam eva hi KDA_197d	yoni-jam sarvam eva hi KDA_197d
   yo 'sau bhagavatānena KDA_466c	yaH asO BagavatA-anena KDA_466c
   rajodharmadharā narāḥ KDA_94b	rajaH-Darma-DarAH narAH KDA_94b
   rajodharmaratā ye hi KDA_98a	rajaH-Darma-ratAH ye hi KDA_98a
   ratau rāgo 'bhijāyeta KDA_334a	ratO rAgaH aBijAyeta KDA_334a
   ratnākarasamāgatāḥ KDA_180b	ratna-Akara-samAgatAH KDA_180b
   ratnāṅgam iva jaṅgamam* KDA_306d	ratna-aFgam iva jaFgamam* KDA_306d
   ramadhvaṃ maitramānasāḥ KDA_366d	ramaDvam mEtra-mAnasAH KDA_366d
   rarāma sa vayonvitaḥ KDA_29d	rarAma sa vayaH-nvitaH KDA_29d
   rākṣaso 'pi dvijaḥ khalu KDA_237d	rAkzasaH api dvijaH Kalu KDA_237d
   rākṣaso vedapāragaḥ KDA_238b	rAkzasaH vedapAragaH KDA_238b
   rāgacaryānusāriṇaḥ KDA_98b	rAga-carya-anusAriNaH KDA_98b
   rāgadveṣanivṛttiś ca KDA_268c	rAga-dveza-nivRttiH ca KDA_268c
   rāge mohaḥ pravardhate KDA_334b	rAge mohaH pravarDate KDA_334b
   rājabhī rājamātraiś ca KDA_7a	rAjaBiH rAjamAtrEH ca KDA_7a
   rājānas te mahāvīrāḥ KDA_175c	rAjAnaH te mahA-vIrAH KDA_175c
   rūpam eva trayo guṇāḥ KDA_103b	rUpam eva trayaH guNAH KDA_103b
   rocate tapase mama KDA_65b	rocate tapase mama KDA_65b
   roṣitā bheditāśayāḥ KDA_384b	rozitAH Bedita-ASayAH KDA_384b
   rauravaṃ so 'dhigacchati KDA_208d	rOravam saH aDigacCati KDA_208d
   rauravādīn samantataḥ KDA_409b	rOrava-AdIn samantataH KDA_409b
   lakṣaṇaiḥ samalaṃkṛtam* KDA_305d	lakzaNEH samalaMkRtam* KDA_305d
   lakṣyate mānavas tathā KDA_221d	lakzyate mAnavaH taTA KDA_221d
   lābhī cīvaravāsasām* KDA_9b	lABI cIvara-vAsasAm* KDA_9b
   lipim anvagrahīt kramāt* KDA_34d	lipim anvagrahIt kramAt* KDA_34d
   lipiśālām upāgamat* KDA_34b	lipi-SAlAm upAgamat* KDA_34b
   lokānāṃ jagatām api KDA_422d	lokAnAm jagatAm api KDA_422d
   lokānāṃ paricārakāḥ KDA_183b	lokAnAm paricArakAH KDA_183b
   lokānugrahakāraṇāt* KDA_351d	loka-anugraha-kAraNAt* KDA_351d
   lokān nītiprayojakāḥ KDA_175b	lokAn nIti-prayojakAH KDA_175b
   loke 'narthaṃ kariṣyati KDA_38d	loke anarTam karizyati KDA_38d
   loke 'narthaṃ kariṣyati KDA_87d	loke anarTam karizyati KDA_87d
   lokeśo hi kṣamākaraḥ KDA_58d	lokeSaH hi kzamA-karaH KDA_58d
   vaṇikkarmābhisaṃyuktā KDA_179c	vaNij-karma-aBisaMyuktA KDA_179c
   vaṇijas te mahodyamāḥ KDA_179d	vaNijaH te mahA-udyamAH KDA_179d
   vanaprasthanivāsinaḥ KDA_164b	vana-prasTa-nivAsinaH KDA_164b
   vandanīyāḥ sadā khalu KDA_45d	vandanIyAH sadA Kalu KDA_45d
   varaṃ vipraḥ suyantritaḥ KDA_270b	varam vipraH su-yantritaH KDA_270b
   varjitaḥ pitṛdevaiś ca KDA_208c	varjitaH pitR-devEH ca KDA_208c
   varṇagandhādibhedatā KDA_145d	varNa-ganDa-Adi-Beda-tA KDA_145d
   varṇasaṃsthānagandhāś ca KDA_146c	varNa-saMsTAna-ganDAH ca KDA_146c
   varṇākāraviśeṣatā KDA_144d	varNa-AkAra-viSeza-tA KDA_144d
   varṇākārādilakṣaṇam* KDA_144b	varNa-AkAra-Adi-lakzaNam* KDA_144b
   varṇāvasthāḥ pratiṣṭhitāḥ KDA_249d	varNa-avasTAH pratizWitAH KDA_249d
   varṇās tathaiva catvāraḥ KDA_158a	varNAH taTA-eva catvAraH KDA_158a
   varṇās sathava cāpy anye KDA_138c	varNAH saTava ca-api anye KDA_138c
   varṇā hy anekajātayaḥ KDA_133b	varNAH hi aneka-jAtayaH KDA_133b
   vartate guṇabhedatā KDA_222d	vartate guNa-Beda-tA KDA_222d
   varṣasahasram āyuṣ ca KDA_460c	varza-sahasram AyuH ca KDA_460c
   vasanti kleśabhāginaḥ KDA_97f	vasanti kleSa-BAginaH KDA_97f
   vasanti dhyāyinaḥ sadā KDA_44d	vasanti DyAyinaH sadA KDA_44d
   vasanti narake ghore KDA_390c	vasanti narake Gore KDA_390c
   vasanti mānuṣādayaḥ KDA_98d	vasanti mAnuza-AdayaH KDA_98d
   vasanti svargatiṃ gatāḥ KDA_99d	vasanti svar-gatim gatAH KDA_99d
   vasantī vanadevatā KDA_284b	vasantI vana-devatA KDA_284b
   vasiṣṭhākhyo mahāmuniḥ KDA_124b	vasizWa-AKyaH mahA-muniH KDA_124b
   vaseyaṃ janapadāśrame(?) KDA_341b	vaseyam janapada-ASrame(?) KDA_341b
   vaseyaṃ dhyānasaṃrataḥ KDA_349b	vaseyam DyAna-saMrataH KDA_349b
   vastūnāṃ sarvataḥ sadā KDA_10b	vastUnAm sarvatas sadA KDA_10b
   vācaṃyamāś ca te bhadrā KDA_169c	vAcaMyamAH ca te BadrA KDA_169c
   vānaprasthā hi te dvijāḥ KDA_164d	vAnaprasTAH hi te dvijAH KDA_164d
   vāyubhir nāpi śuṣyati KDA_479d	vAyuBiH na-api Suzyati KDA_479d
   vārāṇasīm upāśritya KDA_463a	vArANasIm upASritya KDA_463a
   vikalāni kṛtāny api KDA_473d	vikalAni kRtAni api KDA_473d
   vikalpen dhanadīptena KDA_372a	vikalpet Dana-dIptena KDA_372a
   vikīrṇaḥ kliśyate māraiḥ KDA_405c	vikIrNaH kliSyate mArEH KDA_405c
   vikruśyābhāṇi sāṃghike KDA_474b	vikruSya-ABANi sAMGike KDA_474b
   vikruṣṭo 'tha ruṣāśayaḥ KDA_86d	vikruzwaH aTa ruzA-ASayaH KDA_86d
   vigṛhṇanti mahākruddhās KDA_384c	vigRhNanti mahA-krudDAH KDA_384c
   vigrahavān asaṃyataḥ KDA_78d	vigrahavAn asaMyataH KDA_78d
   vigrahī vādasaṃrataḥ KDA_86b	vigrahI vAda-saMrataH KDA_86b
   vigrahe nirato 'bhavat KDA_30d	vigrahe nirataH aBavat KDA_30d
   vicikṣepa yatīn api KDA_79d	vicikzepa yatIn api KDA_79d
   vijagrāhāsamāhitaḥ KDA_80d	vijagrAha-asamAhitaH KDA_80d
   vijñāya bodhimārgeṣu KDA_303c	vijQAya boDi-mArgezu KDA_303c
   vidārya jñānavajreṇa KDA_318c	vidArya jQAna-vajreNa KDA_318c
   vidikṣu cāpi sarvataḥ KDA_17d	vidikzu ca-api sarvatas KDA_17d
   vidyācaraṇasaṃpannaḥ KDA_5c	vidyA-caraNa-saMpannaH KDA_5c
   vidyācaraṇasaṃpannaḥ KDA_461c	vidyA-caraNa-saMpannaH KDA_461c
   vidyā vidyānamādhītyam KDA_269c	vidyA vidyAnam-ADItyam KDA_269c
   vinayānugrahārthinā KDA_13b	vinaya-anugraha-arTinA KDA_13b
   vinayārthaṃ subhūtinā KDA_359b	vinaya-arTam suBUtinA KDA_359b
   viniḥkṛṣya prayatnena KDA_70c	viniHkRzya prayatnena KDA_70c
   vinītaḥ śraddhayānvitaḥ KDA_77d	vinItaH SradDayA-anvitaH KDA_77d
   vinītā dharmasatpathe KDA_451d	vinItAH Darma-sat-paTe KDA_451d
   vinītā dharmasatpathe KDA_453d	vinItAH Darma-sat-paTe KDA_453d
