   bhāmatī	BAmatI
   nodapatsyatetyarthaḥ /	na udapatsya tA iti arTaH /
   stasyotpatteranutpatteḥ /	stasya utpatteH anutpatteH /
   darśitaṃ ca tāttvikapramāṇabhāvasyānapekṣitatvam /	darSitam ca tAttvika pramANa BAvasya anapekzita tvam /
   tathā ca pāramarṣaṃ sūtraṃ, 'paurvāparye	taTA ca pAramarzam sUtran, apOrvA aparye
   FN: 4 jyotiṣṭome 'nyonyaṃ saṃbadhya yajñaśālāto nirgacchatāmṛtvijāṃ	FN: 4 jyotizwome anyonyam saMbaDya yajQa SAlAtaH nirgacCatAm RtvijAm
   vicchedanimittaṃ prāyaścittaṃ śrūyate 'yadyudgātāpacchidyetādakṣiṇena	vicCeda nimittam prAyaScittam SrUyate ayat yudgAta apacCidyeta adakziNena
   yajeta, yadi pratihartāpacchidyeta	yajeta, yadi pratihartA apacCidyeta
   sarvasvadakṣiṇeneti'tatrodgātṛpratihartroḥ krameṇa vicchede	sarva sva dakziNena iti atatra udgAtR pratihartroH krameNa vicCede
   viruddhaprāyaścittayoḥ samuccayāsaṃbhavāt kiṃ pūrvaṃ kāryamuta paramiti	virudDa prAyaScittayoH samuccaya asaMBavAt kim pUrvam kAryam uta param iti
   saṃdehe rāddhāntaḥ 'pūrvaṃ paramajātatvādabādhitvaiva jāyate /	saMdehe rAdDa antaH apUrvam parama jAta tvAt abADitvA eva jAyate /
   parasyānanyathotpādānnātvabādhena saṃbhavaḥ iti /	parasya ananyaTA utpAda at na Atva bADena saMBavaH iti /
   pūrvadaurbalyaṃ prakṛtivat' (ā. 6 pā. 5 sū. 54)iti /	pUrva dOrbalyam prakRti vat a (A. 6 pA. 5 sU. 54)iti /
   tathā 'pūrvātparabalīyastvaṃ tatra nāma pratīyatām /	taTA apUrvAt para balIyaH tvam tatra nAma pratIyatAm /
   anyonyanirapekṣāṇāṃ yatra janma dhiyāṃ bhavet //	anyonya nirapekzANAm yatra janma DiyAm Bavet //
   'iti /	aiti /
   api ca ye 'pyahaṅkārāspadamātmānamāsthiṣata tairapyasya na	api ca ye api ahaFkAra Aspadam AtmAnam AsTizata tEH api asya na
   tāttvikatvamabhyupetavyam, 'ahamihaivāsmi sadane jānānaḥ'iti sarvavyāpinaḥ	tAttvika tvam aByupetavyam, aaham iha eva asmi sadane jAnAnaH aiti sarva vyApinaH
   prādeśikatvena grahāt /	prAdeSika tvena grahAt /
   uccataragiriśikharavartiṣu mahātaruṣu bhūmiṣṭhasya	uccatara giri SiKara vartizu mahA taruzu BUmizWasya
   dūrvāpravālanirbhāsapratyayavat /	dUrvA pravAla nirBAsa pratyaya vat /
   na cedaṃ dehasya prādeśikatvamanubhūyate na tvātmana iti sāṃpratam /	na ca idam dehasya prAdeSika tvam anuBUyate na tu AtmanaH iti sAMpratam /
   na hi tadaivaṃ bhavati 'aham' iti;gauṇatve vā na 'jānānaḥ'iti /	na hi tadA evam Bavati aaham a iti;gONa tve vA na ajAnAnaH aiti /
   api ca paraśabdaḥ paratra lakṣyamāṇaguṇayogena vartata iti yatra	api ca para SabdaH paratra lakzyamANa guNa yogena vartate iti yatra
   prayoktṛpratipatroḥ saṃpratipattiḥ sa gauṇaḥ, sa ca	prayoktR pratipatroH saMpratipattiH sa gONaH, sa ca
   bhedapratyayapuraḥsaraḥ /	Beda pratyaya puraHsaraH /
   tadyathā naiyamikā	tat yaTA nEyamikA
   FN: 6 'yadagnaye ca prajāpataye ca sāyaṃ juhoti'ityagnerheme	FN: 6  ayat agnaye ca prajApataye ca sAyam juhoti aiti agneH heme
   devatāprakhyāpanādatra	devatA praKyApanAt atra
   agnihotrakarmanāmadheyamagnihotrapadamityarthaḥ)gnihotravacane	agnihotra karma nAmaDeyam agnihotra padam iti arTaH)gnihotra vacane
   'gnihotraśabdaḥ (a. 1 pā. 4 sū. 4)	agnihotra SabdaH (a. 1 pA. 4 sU. 4)
   prakaraṇāntarāvadhṛtabhede kauṇḍapāyināmayanagate karmaṇi 'māsamagmihotraṃ	prakaraNa antara avaDRta Bede kONxapAyinAm ayana gate karmaNi amAsamagmi hotram
   juhoti'(ā. 7 pā. 3 sū. 1) ityatra sādhyasādṛśyena gauṇaḥ,	juhoti a(A. 7 pA. 3 sU. 1) iti atra sADya sAdRSyena gONaH,
   FN: 1 prakaraṇabhedena karmabhede siddhe 'nekatra śaktyaṅgīkāre	FN: 1  prakaraNa Bedena karma Bede sidDe anekatra Sakti aFgIkAre
   gauravādagnihotravajjuhotīti sādhyasādṛśyena gauṇa ityarthaḥ /	gOravAt agnihotra vat juhoti iti sADya sAdRSyena gONaH iti arTaH /
   māṇavake cānubhavasiddhabhede siṃhātsiṃhaśabdaḥ /	mANavake ca anuBava sidDa Bede siMhAt siMha SabdaH /
   na tvahaṅkārasya mukhyor'tho nirluṭhita	na tu ahaFkArasya muKyor aTo nirluWita
   FN: 2 niṣkṛṣya luṭhitaḥ pratibhāsito garbho 'sādhāraṇākāro yasya sa tathā	FN: 2 nizkRzya luWitaH pratiBAsitaH garBaH asADAraNa AkAraH yasya sa taTA
   tattathā /	tat taTA /
   tathā ca nātra vivaditavyamityarthaḥ /	taTA ca na atra vivaditavyam iti arTaH /
   garbhatayā dehādibhyo bhinno 'nubhūyate, yena paraśabdaḥ śarīrādau gauṇo	garBa tayA deha AdiByaH BinnaH anuBUyate, yena para SabdaH SarIra AdO gONaH 
   bhavet /	Bavet /
   na cātyanta	na ca atyanta
   FN: 3 prayogaprācuryānmukhyavadbhānāt, nirūḍhalakṣaṇā śaktivṛttisadṛśīti	FN: 3 prayoga prAcuryAt muKya vat BAnAt, nirUXa lakzaNA Sakti vRtti sadRSI iti
   śāstrasamayaḥ /	SAstra samayaH /
   nirūṭhatayā gauṇe 'pi na gauṇatvābhimānaḥ sārṣapādiṣu tailaśabdavaditi	nirUWa tayA gONe api na gONa tva aBimAnaH sArzapa Adizu tEla Sabda vat iti
   veditavyam /	veditavyam /
   tatrāpi snehāttilabhavādbhede siddha eva sārṣapādīnāṃ	tatra api snehAt tila BavAt Bede sidDaH eva sArzapa AdInAm
   tailaśabdavācyatvābhimāno, na tvarthayostailasārṣapayorabhedādhyavasāyaḥ /	tEla Sabda vAcya tva aBimAno, na tu arTayoH tEla sArzapayoH aBeda aDyavasAyaH /
   tatsiddhaṃ gauṇatvamubhayadarśino gauṇamukhyavivekavijñānena vyāptam	tad sidDam gONa tvam uBaya darSinaH gONa muKya viveka vijQAnena vyAptam
   tadidaṃ vyāpakaṃ vivekajñānaṃ nivartamānaṃ gauṇatāmapi nivartayatīti /	tat idam vyApakam viveka jQAnam nivartamAnam gONa tAm api nivartayati iti /
   na ca bālasthaviraśarīrabhede 'pi so 'hamityekasyātmanaḥ	na ca bAla sTavira SarIra Bede api saH aham iti ekasya AtmanaH
   pratisaṃdhānadehādibhyo bhede	pratisaMDAna deha AdiByaH Bede
   FN: 4 vivekenetyarthaḥ /	FN: 4 vivekena iti arTaH /
   nāstyātmānubhava iti vācyam /	na asti Atma anuBavaH iti vAcyam /
   parīkṣakāṇāṃ khalviyaṃ kathā, na laukikānām /	parIkzakANAm Kalu iyam kaTA, na lOkikAnAm /
   parīkṣakā api hi vyavahārasamaye na lokasāmāmyamativartante /	parIkzakAH api hi vyavahAra samaye na loka sAmAmyam ativartante /
   vakṣyatyanantarameva hi bhagavānbhāṣyakāraḥ  'paśvādibhiścāviśeṣāt'iti /	vakzyati anantaram eva hi BagavAn BAzya kAraH  apaSu AdiBiH ca aviSezAt aiti /
   bāhyā apyāhuḥ  'śāstracintakāḥ khalvevaṃ vivecayanti na pratipattāraḥ'iti	bAhyAH api AhuH   aSAstra cintakAH Kalu evam vivecayanti na pratipattAraH aiti
   tatpāriśeṣyāccidātmagocaramahaṅkāram 'ahamihāsmi sadanā'iti prayuñjāno	tad pAriSezyAt cit Atma gocaram ahaFkAram aaham iha asmi sadanA aiti prayuQjAnaH 
   laukikaḥ śarīrādyabhedagrahādātmanaḥ prādeśikatvamabhimanyate, nabhasa iva	lOkikaH SarIra Adi a Beda grahAt AtmanaH prAdeSika tvam aBimanyate, naBasaH iva
   ghaṭamaṇikamallikādyupādhyavacchedāditi yuktamutpaśyāmaḥ /	Gawa maNika mallikA Adi upADi avacCedAt iti yuktam utpaSyAmaH /
   na cāhaṅkāraprāmāṇyāya dehādivadātmāpi prādeśika iti yuktam /	na ca ahaFkAra prAmANyAya deha Adi vat AtmA api prAdeSikaH iti yuktam /
   tadā khalvayamaṇuparimāṇo vā syāddehaparimāṇo vā?aṇuparimāṇatve sthūlo	tadA Kalu ayamaNu parimANaH vA syAt deha parimANaH vA?aNu parimANa tve sTUlaH 
   'ham, dīrgha iti ca na syāt, dehaparimāṇatve tu sāvayavatayā	aham, dIrGaH iti ca na syAt, deha parimANa tve tu sa avayava tayA
   dehavadanityatvaprasaṅgaḥ /	deha vat anitya tva prasaFgaH /
   kiñca asminpakṣe avayavasamudāyo vā cetayet pratyekaṃ vāvayavāḥ?pratyekaṃ	kiQca asmin pakze avayava samudAyaH vA cetayet pratyekam vA avayavAH?pratyekam
   cetanatvapakṣe bahūnāṃ cetanānāṃ svatantrāṇāmekavākyatābhāvādaparyāyaṃ	cetana tva pakze bahUnAm cetanAnAm svatantrANAm eka vAkya tA BAvAt aparyAyam
   viruddhādikkriyatayā śarīramunmathyeta, akriyaṃ vā prasajyeta /	virudDa AdikkriyatayA SarIram unmaTyeta, akriyam vA prasajyeta /
   samudāyasya tu caitanyayoge vṛkṇa ekasminnavayave cidātmano 'pyavayavo	samudAyasya tu cEtanya yoge vRkNaH ekasmin= avayave cit AtmanaH api avayavaH 
   vṛkṇa iti na cetayet /	vRkNaH iti na cetayet /
   na ca bahūnāmavayavānāṃ parasparāvinābhāvaniyamo dṛṣṭaḥ /	na ca bahUnAm avayavAnAm paraspara avinABAva niyamaH dRzwaH /
   ya evāvayavo viśīrṇastadā tadabhāve na cetayet /	yaH eva avayavaH viSIrNaH tadA tad aBAve na cetayet /
   vijñānālambanatve 'pyahaṃpratyayasya bhrāntatvaṃ tadavasthameva /	vijQAna Alambana tve api ahaMpratyayasya BrAnta tvam tad avasTam eva /
   tasya sthiravastunirbhāsatvādasthiratvācca vijñānānām /	tasya sTira vastu nirBAsa tvAt asTira tvAt ca vijQAnAnAm /
   etena	etena
   FN: 5 gauṇatvāsiddhyetyarthaḥ /	FN: 5 gONa tva asidDyA iti arTaH /
   sthūlo 'hamanyo 'haṃ gacchāmītyādayo 'pyadhyāsatayā vyākhyātāḥ /	sTUlaH aham anyaH aham gacCAmi ityAdayaH api aDyAsa tayA vyAKyAtAH /
   tadevamuktena krameṇāhaṃpratyaye pūtikūṣmāṇḍīkṛte bhagavatī	tat evam uktena krameNa ahaMpratyaye pUti kUzmANxIkRte BagavatI
   śrutirapratyūhaṃ	SrutiH apratyUham
   kartṛtvabhoktṛtvaduḥkhaśokādyātmatvamahamanubhavaprasañjitamātmano	kartR tva BoktR tva duHKa Soka Adi Atma tvam aham anuBava prasaQjitam AtmanaH 
   niṣeddhumarhatīti /	nizedDum arhati iti /
   tadevaṃ	tat evam
   sarvapravādiśrutismṛtītihāsapurāṇaprathitamithyābhāvasyāhaṃpratyayasya	sarva pravAdi Sruti smRti itihAsa purANa praTita miTyA BAvasya ahaMpratyayasya
   svarūpanimittaphalairupavyākhyānam  anyonyasminnityādi /	svarUpa nimitta PalEH upavyAKyAnam  anyonyasmin= ityAdi /
   atra cānyonyasmindharmiṇyātmaśarīrādau 'anyonyātmakatām'adhyasyāhamidaṃ	atra ca anyonya smin DarmiNI Atma SarIra AdO aanyonya Atmaka tAm aaDyasya aham idam
   śarīrādīti /	SarIra Adi iti /
   idamiti ca vastutaḥ, na pratītitaḥ /	idam iti ca vastutaH, na pratItitaH /
   lokavyavahāro lokānāṃ vyavahāraḥ, sa cāyamahamiti vyapadeśaḥ /	loka vyavahAraH lokAnAm vyavahAraH, sa ca ayam aham iti vyapadeSaH /
   itiśabdasūcitaśca śarīrādyanukūlaṃ pratikūlaṃ ca prameyajātaṃ pramāya	iti Sabda sUcitaH ca SarIra Adi anukUlam pratikUlam ca prameya jAtam pramAya
   pramāṇena tadupādānaparivarjanādiḥ /	pramANena tad upAdAna parivarjana AdiH /
   'anyonyadharmāṃścādhyasya'anyonyasmindharmiṇi	aanyonya DarmAn= ca aDyasya aanyonyasmin DarmiNi
   dehādidharmānjanmamaraṇajarāvyādhyādīnātmani dharmiṇi adhyastadehādibhāve	deha Adi DarmAn janma maraNa jarA vyADi AdIn Atmani DarmiNi aDyasta deha Adi BAve
   samāropya, tathā caitanyādīnātmadharmān dehādāvadhyastātmabhāve samāropya,	samAropya, taTA cEtanya AdIn a Atma DarmAn deha AdO= aDyasta Atma BAve samAropya,
   mamedaṃ jarāmaraṇaputrapaśusvāmyādīti vyavahāro vyapadeśaḥ,	mama idam jarA maraNa putra paSu svAmya Adi iti vyavahAraH vyapadeSaH,
   itiśabdasūcitaśca tadanurūpaḥ pravṛttyādiḥ /	iti Sabda sUcitaH ca tad anurUpaH pravRtti AdiH /
   atra ca adhyāsavyavahārakriyābhyāṃ yaḥ kartonnītaḥ sa samāna iti	atra ca aDyAsa vyavahAra kriyAByAm yaH kartA unnItaH sa samAnaH iti
   samānakartṛkatvenādhyasya vyavahāra ityupapannam /	samAna kartRka tvena aDyasya vyavahAraH iti upapannam /
   pūrvakālatvasūcitamadhyāsasya vyavahārakāraṇatvaṃ	pUrva kAla tva sUcitam aDyAsasya vyavahAra kAraNa tvam
   sphuṭayati mithyājñānanimittaḥ vyavahāraḥ /	sPuwayati miTyA jQAna nimittaH vyavahAraH /
   mithyājñānamadhyāsastannimittaḥ /	miTyAjQAnam aDyAsaH tad nimittaH /
   tadbhāvābhāvānuvidhānādvyavahārabhāvābhāvayorityarthaḥ /	tad BAva aBAva anuviDAnAt vyavahAra BAva aBAvayoH iti arTaH /
   tadevamadhyāsasvarūpaṃ phalaṃ ca vyavahāramuktvā tasya	tat evam aDyAsa svarUpam Palam ca vyavahAram uktvA tasya
   nimittamāha itaretarāvivekena /	nimittam Aha  itaretarA vivekena /
   vivekāgrahaṇetyarthaḥ /	viveka agrahaNa iti arTaH /
   athāviveka eva kasmānna bhavati, tathā ca nādhyāsa ityata	aTa avivekaH eva kasmAt na Bavati, taTA ca na aDyAsaH iti ata
   āha atyantaviviktayordharmadharmiṇoḥ /	Aha ati anta viviktayoH Darma DarmiNoH /
   paramārthato dharmiṇoratādātmyaṃ viveko dharmāṇāṃ cāsaṃkīrṇatā vivekaḥ /	paramArTataH DarmiNoH atAdAtmyam vivekaH DarmANAm ca asaMkIrNa tA vivekaH /
   syādetat /	syAt etat /
   viviktayorvastusatorbhedāgrahanibandhanastādātmyavibhramo yujyate,	viviktayoH vastu satoH Beda Agraha nibanDanaH tAdAtmya viBramaH yujyate,
   śukteriva rajatādbhedāgraha nibandhano rajatatādātmyavibhramaḥ /	SukteH iva rajatAt Beda agraha nibanDanaH rajata tAdAtmya viBramaH /
   iha tu paramārthasataścidātmano 'tyantabhinnaṃ na dehādyasti vastusat,	iha tu parama arTa sataH cit AtmanaH atyanta Binnam na deha Adi asti vastu sat,
   tatkutaścidātmano bhedāgrahaḥ kutaśca tādātmyavibhramaḥ ityata	tad kutaScit AtmanaH Beda AgrahaH kutas ca tAdAtmya viBramaH iti ata
   āha satyānṛte mithunīkṛtya iti /	Aha satya anRte miTunIkRtyaH iti /
   vivekāgrahādadhyasyeti yojanā /	viveka agrahAdaDi asya iti yojanAH /
   satyaṃ cidātmā, anṛtaṃ buddhīndriyadehādi,te dve dharmiṇī mithunīkṛtya	satyam cit AtmA, anRtam budDIndriya deha Adi,te dve DarmiNI miTunIkRtya
   FN: 1 adhiṣṭhānāropyayoḥ svarūpeṇa buddhau bhānaṃ tadarthaḥ /	FN: 1 aDizWAnAropyayoH sva rUpeNa budDO BAnam tad arTaH /
   yugalīkṛtyetyarthaḥ /	yugalIkRtya iti arTaH /
   na ca saṃvṛtiparamārthasatoḥ pāramārthakaṃ	na ca saMvRti parama arTa satoH pAramArTakam
   mithunamastītyabhūtatadbhāvārthasya cveḥ prayogaḥ /	miTunam asti iti aBUta tad BAva arTasya cveH prayogaH /
   etaduktaṃ bhavati   apratītasyāropāyogādāropyasya pratītirupayujyate na	etat uktam Bavati  apratItasya Aropa ayogAt Aropyasya pratItiH upayujyate na
   vastusatteti /	vastu sattA iti /
   syādetat /	syAt etat /
   āropyasya pratītau satyāṃ pūrvadṛṣṭasya samāropaḥ samāropanibandhanā ca	Aropyasya pratItO satyAm pUrva dRzwasya samAropaH samAropa nibanDanA ca
   pratītiriti durvāraṃ parasparāśrayatvamityata āha naisargika iti /	pratItiH iti durvAram paraspara ASraya tvam iti atas Aha  nEsargikaH iti /
   svābhāviko 'nādirayaṃ vyavahāraḥ /	svABAvikaH anAdiH ayam vyavahAraH /
   vyavahārānāditayā tatkāraṇasyādhyāsasyānāditoktā, tataśca	vyavahAra anAdi tayA tad kAraNasya aDyAsasya anAdita uktA, tatas ca
   pūrvapūrvamithyājñānopadarśitasya	pUrva pUrva miTyA jQAna upadarSitasya
   buddhīndriyaśarīrāderuttarottarādhyāsopayoga ityanāditvātbījāṅkuravanna	budDIndriya SarIra AdeH uttara uttara aDyAsa upayogaH iti anAdi tvAt bIja aFkura vat na
   parasparāśrayatvamityarthaḥ /	paraspara ASraya tvam iti arTaH /
   syādetat /	syAt etat /
   addhā pūrvapratītimātramupayujyata ārope, na tu pratīyamānasya	adDA pUrva pratIti mAtram upayujyate Arope, na tu pratIyamAnasya
   paramārthasattā /	parama arTa sattA /
   pratītireva tu atyantāsato gaganakamalinīkalpasya dehendriyādernopapadyate	pratItiH eva tu atyanta asataH gagana kamalinI kalpasya deha indriya AdeH na upapadyate
   prakāśamānatvameva hi cidātmano 'pi sattvaṃ na tu tadatiriktaṃ	prakASamAna tvam eva hi cit AtmanaH api sattvam na tu tad atiriktam
   sattāsāmānyasamavāyor'thakriyākāritā vā, dvaitāpatteḥ /	sattA sAmAnya samavAyoH aTa kriyA kAritA vA, dvEta ApatteH /
   sattāyāścārthakriyākāritāyāśca sattāntarārthakriyākāritāntarakalpane	sattAyAH ca arTa kriyA kAritAyAH ca sattA antara arTa kriyA kArita antara kalpane
   'navasthāpātāt, prakāśamānataiva sattābhyupetavyā /	anavasTA pAtAt, prakASamAnatA eva sattA aByupetavyAH /
   tathā ca dehādayaḥ prakāśamānatvānnāsantaḥ, cidātmavat /	taTA ca deha AdayaH prakASamAna tvAt nAsantaH, cit Atma vat /
   asattve vā na prakāśamānāḥtatkathaṃ satyānṛtayormithunībhāvaḥ, tadabhāve	asattve vA na prakASamAnAH tat kaTam satya anRtayoH miTunIBAvaH, tad aBAve
   vā kasya kuto bhedāgrahaḥ,tadasaṃbhave kuto 'dhyāsa	vA kasya kutas Beda agrahaH, tad asaMBave kutas aDyAsa
   ityāśayavānāha āhaākṣeptā ko 'yamadhyāso nāma /	iti ASa yavAn Aha  Ahaa AkzeptA kaH ayam aDyAsaH nAma /
   ka ityākṣepe /	kaH iti Akzepe /
   samādhātā lokasiddhamadhyāsalakṣaṇamācakṣāṇa evākṣepaṃ	samADAtA loka sidDam aDyAsa lakzaNam AcakzANaH eva Akzepam
   pratikṣipati ucyate smṛtirūpaḥ paratra pūrvadṛṣṭāvabhāsa /	pratikzipati ucyate  smRti rUpaH paratra pUrva dRzwa avaBAsa /
   avasanno 'vamato vā bhāso 'vabhāsaḥ /	avasannaH avamataH vA BAsaH avaBAsaH /
   pratyayāntarabādhaścāsyavasādo 'vamāno vā /	pratyaya antara bADaH ca Asi avasAdaH avamAnaH vA /
   etāvatā mithyājñānamityuktaṃ bhavati /	etAvatA miTyAjQAnam iti uktam Bavati /
   tasyedamupavyākhyānam 'pūrvadṛṣṭa 'ityādi /	tasya idam upavyAKyAnam apUrva dRzwa  aityAdi /
   pūrvadṛṣṭasyāvabhāsaḥ pūrvadṛṣṭāvabhāsaḥ /	pUrva dRzwasya avaBAsaH pUrva dRzwa avaBAsaH /
   mithyāpratyayaścāropaviṣayāropaṇīyamithunamantareṇa na bhavatīti	miTyA pratyayaH cAra upavizaya AropaNIya miTunam antareNa na Bavati iti
   pūrvadṛṣṭagrahaṇenānṛtamāropaṇīyamupasthāpayati /	pUrva dRzwa grahaNena anRtam AropaNIyam upasTApayati /
   tasya ca dṛṣṭatvamātramupayujyate na vastusatteti dṛṣṭagrahaṇam /	tasya ca dRzwa tva mAtram upayujyate na vastu sattA iti dRzwa grahaNam /
   tathāpi vartamānaṃ dṛṣṭaṃ darśanaṃ nāropopayogīti pūrvetyuktam /	taTA api vartamAnam dRzwam darSanam na Aropa upayogI iti pUrva iti uktam /
   tacca pūrvadṛṣṭaṃ svarūpeṇa sadapyāropaṇīyatayā anirvācyamityanṛtam /	tat ca pUrva dRzwam sva rUpeNa sat api AropaNIya tayA anirvAcyam iti anRtam /
   āropaviṣayaṃ satyamāha paratreti /	Aropavizayam satyam Aha  paratra iti /
   paratra śuktikādau paramārthasati, tadanena satyānṛtamithunamuktam /	paratra SuktikA AdO parama arTa sati, tat anena satya anRta miTunam uktam /
   syādetat /	syAt etat /
   paratra pūrvadṛṣṭāvabhāsa ityalakṣaṇam, ativyāpakatvāt /	paratra pUrva dRzwa avaBAsaH iti alakzaNam, ati vyApaka tvAt /
   asti hi svastimatyāṃ gavi pūrvadṛṣṭasya gotvasya, paratra	asti hi svastimatyAm gavi pUrva dRzwasya go tvasya, paratra
   kālākṣyāmavabhāsaḥ /	kAla akzyAm avaBAsaH /
   asti	asti
   FN: 1 āśrayaṃ paradharmāvabhāsa iti vivakṣāyāṃ metadudāharaṇam, pūrvaṃ tu	FN: 1 ASrayam para Darma avaBAsaH iti vivakzAyAm metat udAharaNam, pUrvam tu
   pūrvadṛṣṭasya paratra dharmyadhyāsamabhipretyeti jñeyam	pUrva dRzwasya paratra DarmI aDyAsam aBipretya iti jQeyam
   ca pāṭaliputre pūrvadṛṣṭasya devadattasya paratra māhiṣmatyāmavabhāsaḥ	ca pAwaliputre pUrva dRzwasya devadattasya paratra mAhizmatyAm avaBAsaH
   samīcīnaḥ /	samIcInaH /
   avabhāsa	avaBAsa
   FN: 2 nanu avamato bhāso 'vabhāsa iti vyutpādayam	FN: 2 nanu avamataH BAsaH avaBAsaH iti vyutpAdayam
   kathamudāhṛtasthalādāvativyāptimāheti vadantaṃ pratyāha avabhāsapadaṃ ceti	kaTam udAhRta sTalA dO= ati vyApti mAhA iti vadantam pratyAha  ava BAsa padam ca iti
   etena pratyabhijñāyāṃ nātivyāptiriti keṣāñcinmataṃ parāstam /	etena pratyaBijQAyAm na ativyAptiH iti kezAQcit matam parAH tam /
   na ca pūrvadṛṣṭapadenānirvācyānṛtamuktamityuktatvānna	na ca pUrva dRzwa padena anirvAcya anRtam uktam iti ukta tvAt na
   tatrātivyāptikathanaṃ saṃgacchata iti vācyam, tādṛśārthasya	tatra ati vyApti kaTanam saMgacCate iti vAcyam, tAdRSa arTasya
   smṛtirupapadenābhidhīyamānatvāditi bodhyam /	smRtiH upapadena aBiDIyamAna tvAt iti boDyam /
   padaṃ ca samīcīne 'pi pratyaye prasiddham, yathā nīlasyāvabhāsaḥ	padam ca samIcIne api pratyaye prasidDam, yaTA nIlasya avaBAsaH
   pītasyāvabhāsa ityata āha smṛtirūpa iti /	pItasya avaBAsaH iti atas Aha smRti rUpaH iti /
   smṛte rūpamiva rūpamasyeti smṛtirūpaḥ /	smRte rUpam iva rUpam asya iti smRti rUpaH /
   asaṃnihitaviṣayatvaṃ ca smṛtirūpatvam, saṃnihitaviṣayaṃ ca pratyabhijñānaṃ	asaMnihita vizaya tvam ca smRti rUpa tvam, saMnihita vizayam ca pratyaBijQAnam
   samīcīnamiti nātivyāptiḥ /	samIcInam iti na ati vyAptiH /
   nāpyavyāptiḥ, svapnajñānasyāpi smṛtivibhrama	na api avyAptiH, svapna jQAnasya api smRti viBrama
   FN: 1 smṛtau vibhramaḥ /	FN: 1 smRtO viBramaH /
   smaryamāṇe smaryamāṇarūpāntarāropa iti yāvat /	smaryamANe smaryamANa rUpa antara AropaH iti yAvat /
   rūpasyaivaṃrūpatvāt /	rUpasya evaMrUpa tvAt /
   atrāpi hi smaryamāṇe pitrādau nidropaplavavaśādasaṃnidhānāparāmarśe, tatra	atra api hi smaryamANe pitR AdO nidrA upaplava vaSAt asaMniDAna aparAmarSe, tatra
   tatra pūrvadṛṣṭasyaiva saṃnihitadeśakālatvasya samāropaḥ /	tatra pUrva dRzwasya eva saMnihita deSa kAla tvasya samAropaH /
   evampītaḥ śaṅkhastikto guḍaityatrāpyetallakṣaṇaṃ yojanīyam /	evam pItaH SaFKaH tiktaH guxEti atra api etat lakzaNam yojanIyam /
   tathā hi bahirvinirgacchajatyacchanayanaraśmisaṃpṛktapittadravyavartinīṃ	taTA hi bahis vinirgacCa jati acCa nayana raSmi saMpRkta pitta dravya vartinIm
   pītatāṃ pittarahitāmanubhavan, śaṅkhaṃ ca doṣācchāditaśuklimāṃ na	pIta tAm pitta rahitAm anuBavan, SaFKam ca doza AcCAdita SuklimAm na
