   Rādhā-kṛṣṇārcana-dīpikā	RADA--kRzNA-arcana-dIpikA
   rāmānujas tulasikālikulair madāndhaiḥ	rAma-anujaH tulasikA-ali-kulEH mada-anDEH
   anvīyamāna iha vas taravaḥ praṇāmaṃ	anvIyamAnaH iha vaH taravaH praNAmam
   kiṃ vābhinandati caran praṇayāvalokaiḥ || (BhP 10.30.12) iti |	kim vA-aBinandati caran praNaya-avalokEH || (Bhj 10.30.12) iti |
   kiṃ bahunā asyāḥ saubhāgya-vāñchā dvārakā-mahiṣīṇām api śrūyate | tatas	kim bahunA asyAH sOBAgya--vAQCA dvArakA--mahizINAm api SrUyate | tatas-
   tāsāṃ tādṛśa-vacanaṃ śrī-śukadevenāpy uditaṃ - yathā na vayaṃ sādhvi	tAsAm tAdRSa--vacanam SrI-Sukadevena-api uditam  yaTA na vayam sADvi
   sāmrājyam ity ādy uktvā āhuḥ ----	sAmrAjyam iti Adi uktvA AhuH ----
   kāmayāmaha etasya śrīmat-pāda-rajaḥ śriyaḥ |	kAmayAmahe etasya SrImat-pAda-rajaH SriyaH |
   kuca-kuṅkuma-gandhāḍhyaṃ mūrdhnā voḍhuṃ gadābhṛtaḥ ||124||	kuca-kuFkuma--ganDa-AXyam mUrDnA voXum gadABRtaH ||124||
   vraja-striyo yad vāñchanti pulindās tṛṇa-vīrudhaḥ |	vraja--striyaH yat vAQCanti pulindAH tRNa-vIruDaH |
   gāvaś cārayato gopāḥ pāda-sparśaṃ mahātmanaḥ ||125|| iti | [BhP	gAvaH cArayataH gopAH pAda--sparSam mahAtmanaH ||125|| iti | [BhP
   vraja-stry-ādīnāṃ vāñchā darśitā -	vraja--strI--a-AdInAm vAQCA darSitAH -
   pūrṇāḥ pulindya urugāyapadābjarāga-	pUrNAH pulindya uru-gAya-pada-abja-rAga-
   śrīkuṅkumena dayitāstanamaṇḍitena |	SrI-kuFkumena dayitA-stana-maNxitena |
   taddarśanasmararujas tṛṇarūṣitena	tad-darSana-smara-rujaH tRNa-rUzitena
   limpantya ānanakuceṣu juhus tadādhim ||126|| (BhP 10.21.17) ity anena |	limpantyaH Anana-kucezu juhuH tadADim ||126|| (Bhj 10.21.17) iti anena |
   atra saty urugāya-padābja-rāgety anena (10.21.17) saha	atra sati uru-gAya--pada-abja--rAga-iti anena (10.21.17) saha
   dayitā-stana-maṇḍitena ity uktyā tat kuṅkumaṃ dayitā-stanatas tasya pade	dayitA--stana--maNxitena iti uktyA tat kuFkumam dayitA-stanataH tasya pade
   lagnam iti gamyate | sā ca dayitā kuca-kuṅkuma-gandhyāḍhyam (end page 34)	lagnam iti gamyate | sA ca dayitA kuca-kuFkuma--ganDyA-AXyam (end page 34)
   ity eka-vacanānta-nirdeśenānūditā |	iti eka-vacana-anta--nirdeSena-anUditA |
   tad idaṃ varṇayantīṣu tāsv api sā viśiṣṭety avagamyate | ayaṃ bhāvaḥ	tat idam varNayantIzu tAsu api sA viSizwA-iti avagamyate | ayam BAvaH
   śrītve prasiddhāyāḥ śriyas tatra kāmanaiva śrūyate | na tu saṅgatiḥ | yad	SrI-tve prasidDAyAH SriyaH tatra kAmanA-eva SrUyate | na tu saFgatiH | yat-
   vāñchayā śrīr lalanācarat tapo vihāya kāmān suciraṃ dhṛta-vratā iti [BhP	vAQCayA SrIH lalanA-carat tapaH vihAya kAmAn su-ciram DRta--vratAH iti [BhP
   10.16.36] nāgapatnīnām | yā vai śriyārcitam ajādibhir āpta-kāmair ity ādi	10.16.36] nAga-patnInAm | yA vE SriyA-arcitam aja-AdiBiH Apta--kAmEH iti Adi
   [BhP 10.47.62] uddhavasyāpi vākyāt | na ca rukmiṇītve prasiddhāyāḥ śriyas	[Bhj 10.47.62] udDavasya-api vAkyAt | na ca rukmiNI-tve prasidDAyAH Sriyas
   tatra saṅgatiḥ | kāla-deśayor anyatamatvāt | na ca vraja-strīṇāṃ	tatra saFgatiH | kAla-deSayoH anyatama-tvAt | na ca vraja--strINAm
   śrī-sambandha-lālasā yuktā - nāyaṃ śriyo 'ṅga ity ādinā (10.47.60) tato	SrI--sambanDa--lAlasA yuktA  na-ayam SriyaH aFgaH iti AdinA (10.47.60) tatas-
   'pi paramādhikya-śravaṇāt | tasmād rukmiṇī dvāravatyāṃ tu rādhā vṛndāvane	api parama-ADikya--SravaNAt | tasmAt rukmiNI dvAravatyAm tu rADA vRndAvane
   vane ity ādy ukta-siddhāntānusāreṇa sarvato vilakṣaṇā yā śrīr virājate tām	vane iti Adi ukta--sidDAnta-anusAreNa sarvatas vilakzaNA yA SrIH virAjate tAm
   uddiśyaiva vraja-devīnāṃ tad idaṃ vākyam | tataś ca tāsāṃ yathā tatra	uddiSya-eva vraja--devInAm tat idam vAkyam | tatas ca tAsAm yaTA tatra
   spṛhāspadatā tathāsmākaṃ paṭṭa-mahiṣīṇām iti | saṅgamaś cāyaṃ divasa eveti	spRhA-AspadatA taTA-asmAkam pawwa--mahizINAm iti | saFgamaH ca-ayam divasaH eva-iti
   sambhāvyate | tatraiva pulindānāṃ bhramaṇāt kuṅkumānāṃ	samBAvyate | tatra-eva pulindAnAm BramaNAt kuFkumAnAm
   lepana-karmaṇārdratvāvagamāc ca | dvayoḥ saṅgamaś cāyaṃ na	lepana--karmaNA-Ardra-tva-avagamAt ca | dvayoH saFgamaH ca-ayam na
   sambhoga-viśeṣa-rūpaḥ | rāsa-prasaṅge --	samBoga-viSeza--rUpaH | rAsa--prasaFge --
   bhagavān api tā rātrīḥ śaradotphullamallikāḥ |	BagavAn api tAH rAtrIH SaradA-utPulla-mallikAH |
   vīkṣya rantuṃ manaścakre ity atraiva (BhP 10.29.1) nava-saṅgamasya	vIkzya rantum manaH-cakre iti atra-eva (Bhj 10.29.1) nava--saFgamasya
   pratīyamānatvāt | anyathā tatra parīkṣārthaṃ punas	pratIyamAna-tvAt | anyaTA tatra parIkzA-arTam punar-
   tenopekṣāvacanasyāsaṅgatvāpatteḥ | tad idaṃ veṇu-prakaraṇe bhaṇitatvād	tena-upekzA-vacanasya-asaFga-tva-ApatteH | tat idam veNu--prakaraNe BaNita-tvAt-
   veṇu-sambandhenaiva gamyate | urugāya ity anenaiṣa eva saṃsūcitaḥ | tasmād	veNu--sambanDena-eva gamyate | uru-gAyaH iti anena-ezaH eva saMsUcitaH | tasmAt-
   kadācid veṇu-kṛtākarṣāyās tasyā labdha-mūrcchāyā mūrcchāśāntaye sa-kuṅkume	kadAcid veNu-kRta-AkarzAyAH tasyAH labDa--mUrcCAyAH mUrcCA-SAntaye sa-kuFkume
   svinne vakṣasi sambhramataḥ kevalena śrī-caraṇa-sañjīvanī-pallavena spṛśan	svinne vakzasi samBramataH kevalena SrI--caraNa--saQjIvanI--pallavena spRSan
   gevādyāpi	gevAdya-api
   (end page 35)	(end page 35)
   vādyāpi samyak saṅkocānapagayamat drutam eva sa tasmān niścakrāmeti	vA-adya-api samyak saFkocAn-apagayamat drutam eva sa tasmAt niScakrAma-iti
   budhyate | kāścit parokṣaṃ kṛṣṇasya sva-sakhībhyo 'nvavarṇayann iti	buDyate | kAScid parokzam kRzNasya sva-saKIByaH anvavarNayan iti
   uktavān | yās tu tad-anyās tāsām eva pūrṇāḥ pulindyaḥ ity ādi vacanam |	uktavAn | yAH tu tat--anyAH tAsAm eva pUrNAH pulindyaH iti Adi vacanam |
   tasmāt sādhv evoktam lakṣmīr abhitaḥ stritamā ity ādi | varṇitā ca sā	tasmAt sADu eva-uktam lakzmIH aBitas stritamAH iti Adi | varNitA ca sA
   tathaiva śrī-jayadeva-sahacareṇa	taTA-eva SrI-jayadeva--sahacareNa
   mahārāja-lakṣmaṇa-sena-mantri-vareṇomāpatidhareṇa yathā --	mahA-rAja--lakzmaNa-sena--mantri-vareNa-umApati-DareNa yaTA --
   bhrūvallī-calanaiḥ kayāpi nayanonmeṣaiḥ kayāpi smita-	BrU-vallI--calanEH kayA-api nayana-unmezEH kayA-api smita-
   jyotsnāvicchuritaiḥ kayāpi nibhṛtaṃ sambhāvitasyādhvani |	jyotsnA-vicCuritEH kayA-api niBRtam samBAvitasya-aDvani |
   garvād bheda-kṛtāvahela-vinaya-śrībhāji rādhānane	garvAt Beda-kRta-avahela--vinaya--SrI-BAji rADAnane
   sātaṅkānunayaṃ jayanti patitāḥ kaṃsadviṣaḥ dṛṣṭayaḥ ||127||	sa-AtaFka-anunayam jayanti patitAH kaMsadvizaH dRzwayaH ||127||
   [*NOTE: ... ||	[*NOTE: ... ||
   śrī-jayadevenāpi rādhām ādhāya hṛdaye tatyāja vraja-sundarīḥ | iti (GG	SrI-jayadevena-api rADAm ADAya hRdaye tatyAja vraja-sundarIH | iti (GG
   3.1) | patyur manaḥ kīlitam (GG 12.14) iti ca |	3.1) | patyuH manaH kIlitam (Gu 12.14) iti ca |
   ataiva --	atA-eva --
   yā parā paramā śaktir mahāviṣṇu-svarūpiṇī |	yA parA paramA SaktiH mahA-vizNu--svarUpiNI |
   tasyā vijñāna-mātreṇa parāṇāṃ paramātmanaḥ ||	tasyAH vijQAna--mAtreNa parANAm paramAtmanaH ||
   muhūrtād eva devasya prāptir bhavati nānyathā |	muhUrtAt eva devasya prAptiH Bavati na-anyaTA |
   ekeyaṃ prema-sarvasva-svabhāvā śrī-gokuleśvarī ||	ekA-iyam prema--sarva-sva--svaBAvA SrI--gokuleSvarI ||
   anayā sulabho jñeya ādidevo 'khileśvaraḥ ||	anayA sulaBaH jQeyaH AdidevaH aKila-ISvaraH ||
   ity utthāpita-pañcarātra-vacanaṃ sarvopari virājamānaṃ bhavatīty alam	iti utTApita--paQcarAtra--vacanam sarva-upari virAjamAnam Bavati-iti alam
   ativistareṇa pramāṇa-vacana-saṅgraheṇa |	ati-vistareNa pramANa--vacana--saFgraheNa |
   tasmāt sarvāsāṃ gopīnāṃ rādhikātigarīyasī |	tasmAt sarvAsAm gopInAm rADikA-atigarIyasI |
   sarvādhikyena kathitā yat purāṇāgamādiṣu ||	sarva-ADikyena kaTitAH yat purANa-Agama-Adizu ||
   (end page 36)	(end page 36)
   ataḥ sādhūktaṃ śrīdāmodara-rādhārcanam arhati vraja-sthānām ity ādi |	atas sADu-uktam SrI-dAmodara--rADa-arcanam arhati vraja--sTAnAm iti Adi |
   rādhā vṛndāvane yadvat tadvad dāmodaro hariḥ |	rADA vRndAvane yadvat tadvat dAmodaraH hariH |
   darśiteṣu ca śāstreṣu tad-yugmaṃ tat tad-īśituḥ ||	darSitezu ca SAstrezu tat--yugmam tat tat--ISituH ||
   rādhayā mādhavo devo mādhavenaiva rādhikā |	rADayA mADavaH devaH mADavena-eva rADikA |
   vibhrājante janeṣveti pariśiṣṭa-vacas tathā ||	viBrAjante janezu-eti pariSizwa--vacaH taTA ||
   na viṣṇunā vinā devī na hariḥ padmajāṃ vinā |	na vizNunA vinA devI na hariH padmajAm vinA |
   hayagrīva-pañcarātram iha prakaṭitaṃ yataḥ ||	hayagrIva--paQcarAtram iha prakawitam yatas ||
   kārttika-vrata-caryāyām atas te yugma-devate |	kArttika-vrata-caryAyAm atas te yugma--devate |
   rādhā-dāmodarābhikhye vīkṣyete loka-śāstrayoḥ ||	rADA-dAmodara-aBiKye vIkzyete loka-SAstrayoH ||
   kiṃ bahūktyā kuṇḍa-yugmaṃ tayor yugmena vīkṣyate |	kim bahu-uktyA kuNxa--yugmam tayoH yugmena vIkzyate |
   śāstre ca darśitā tasmāt kaimutyād yugmatā tayoḥ ||	SAstre ca darSitA tasmAt kEmutyAt yugmatA tayoH ||
   umā-maheśvarau kecit lakṣmī-nārāyaṇau pare |	umA-maheSvarO kecid lakzmI--nArAyaNO pare |
   te bhajantāṃ bhajāmas tu rādhā-dāmodarau vayam ||	te BajantAm BajAmaH tu rADA-dAmodarO vayam ||
   iti śrī-vṛndāvana-vāsinaḥ kasyacij jīvasya śrī-rādhā-kṛṣṇārcana-dīpikā	iti SrI--vRndAvana-vAsinaH kasyacid jIvasya SrI-rADA--kRzNa-arcana-dIpikA
   sadā dedīpyamānatām apadyatām || śrī-guru-caraṇa-kamalebhyo namaḥ |	sadA dedIpyamAna-tAm apadyatAm || SrI--guru--caraNa--kamaleByaH namaH |
   śrī-kṛṣṇa-caitanya-candrāya namaḥ | śrī-rādhā-dāmodarābhyāṃ namaḥ	SrI--kRzNa--cEtanya-candrAya namaH | SrI-rADA--dAmodarAByAm namaH
   Padyāvalī 259; SKM 1.55.3, RKAD 260umāpatidharasya ||	Padya-AvalI 259; SKm 1.55.3, RKAD 260umApati-Darasya ||
