   // Daśabhūmikasūtram //	// DaSa BUmika sUtram //
   jñānabhūmerārakṣārthamautsukyamāpadyante / tatkasya hetoḥ? eṣā hyādicaryā	jQAna BUmeH ArakzA arTam Otsukyam Apadyante / tat kasya hetoH? ezA hi AdicaryA
   / eṣa samudāgamo buddhadharmāṇām / tadyathāpi nāma bho jinaputra	/ eza samudAgamaH budDa DarmANAm / tat yaTA api nAma Bo jinaputra
   sarvalipyakṣarasaṃkhyānirdeśo mātṛkāpūrvaṃgamo mātṛkāparyavasānaḥ nāsti sa	sarva lipi akzara saMKyA nirdeSaH mAtRkA pUrvaMgamaH mAtRkA paryavasAnaH na asti sa
   lipyakṣarasaṃkhyānirdeśo yo vinā mātṛkānirdeśam, evameva bho jinaputra	lipi akzara saMKyA nirdeSaH yaH vinA mAtRkA nirdeSam, evam eva Bo jinaputra
   sarve buddhadharmā bhūmipūrvaṃgamāśca caryāpariniṣpattito	sarve budDa DarmAH BUmi pUrvaMgamAH ca caryA parinizpattitaH 
   bhūmiparyavasānāḥ svayaṃbhūjñānādhigamatayā / tasmāttarhi bho jinaputra,	BUmi paryavasAnAH svayaMBU jQAna aDigama tayA / tasmAt tarhi Bo jinaputra,
   prabhāṣasva / tathāgatā eva arhantaḥ samyaksaṃbuddhā ārakṣāmadhiṣṭhāsyanti	praBAzasva / taTAgatAH eva arhantaH samyaksaMbudDAH ArakzAm aDizWAsyanti
   atha khalu te sarve bodhisattvā ekasvarasaṃgītena tasyāṃ velāyāṃ	aTa Kalu te sarve boDisattvAH eka svara saMgItena tasyAm velAyAm
   vajragarbhaṃ bodhisattvaṃ gāthābhigītenaiva tamarthamadhyeṣante sma 	vajra garBam boDisattvam gATA aBigItena eva tam arTam aDyezante sma 
   pravaravaravimalabuddhe svabhidhānānantaghaṭitapratibha /	pravara vara vimala budDe su aBiDAna ananta Gawita pratiBa /
   pravyāhara madhuravarāṃ vācaṃ paramārthasaṃyuktām // 12 //	pravyAhara maDura varAm vAcam parama arTa saMyuktAm // 12 //
   smṛtidhṛtiviśuddhabuddhe daśabalabalalābhamāśayaviśuddhim /	smRti DRti viSudDa budDe daSa bala bala lABam ASaya viSudDim /
   pratisaṃviddaśavicayaṃ bhāṣasva daśottamā bhūmīḥ // 13 //	pratisaMvid daSa vicayam BAzasva daSa uttamAH BUmIH // 13 //
   śamaniyamanibhṛtasumanāḥ prahīṇamadamānadṛṣṭisaṃkleśā /	Sama niyama niBRta sumanAH prahINa mada mAna dRzwi saMkleSAH /
   niṣkāṅkṣā parṣadiyaṃ prārthayate bhāṣitāni tava // 14 //	nizkAFkzA parzad iyam prArTayate BAzitAni tava // 14 //
   (Dbh 7)	(DB 7)
   tṛṣita iva śītamudakaṃ bubhukṣito 'nnaṃ subheṣajamivārtaḥ /	tRzitaH iva SItam udakam buBukzitaH annam su Beza jam iva ArtaH /
   kṣaudramiva sa madhukaragaṇastava vācamudīkṣate parṣat // 15 //	kzOdram iva sa maDukara gaNaH tava vAcam udIkzate parzad // 15 //
   tatsādhu vimalabuddhe bhūmiviśeṣān vadasva virajaskān /	tat sADu vimala budDe BUmi viSezAn vadasva virajaskAn /
   daśabalayuktāsaṅgāṃ sugatagatimudīrayannikhilām // 16 //	daSa bala yuktA saFgAm sugata gatim udIrayat niKilAm // 16 //
   atha khalu tasyāṃ velāyāṃ bhagavataḥ śākyamunerūrṇākośād	aTa Kalu tasyAm velAyAm BagavataH SAkya muneH UrNA koSAt 
   bodhisattvabalāloko nāma raśmirniścacāra asaṃkhyeyāsaṃkhyeyaraśmiparivārā	boDisattvabalAlokaH nAma raSmiH niScacAra asaMKyeya asaMKyeya raSmi parivArA
   / sā sarvāsu daśasu dikṣu sarvalokadhātuprasarānavabhāsya	/ sA sarvAsu daSasu dikzu sarva loka DAtu prasara anavaBAsya
   sarvāpāyaduḥkhāni pratiprasrabhya sarvamārabhavanāni dhyāmīkṛtya	sarva apAya duHKAni pratiprasraBya sarva mAra BavanAni DyAmIkRtya
   aparimitāni buddhaparṣanmaṇḍalānyavabhāsya acintyaṃ	aparimitAni budDa parzad maNxalAni avaBAsya acintyam
   buddhaviṣayākāraprabhāvaṃ nidarśya sarvāsu daśasu dikṣu	budDa vizaya AkAra praBAvam nidarSya sarvAsu daSasu dikzu
   sarvalokadhātuprasareṣu sarvatathāgataparṣanmaṇḍaleṣu	sarva loka DAtu prasarezu sarva taTAgata parzat maNxalezu
   dharmadeśanādhiṣṭhānādhiṣṭhitān bodhisattvānavabhāsya acintyaṃ	Darma deSanA aDizWAna aDizWitAn boDisattva anavaBAsya acintyam
   buddhavikurvaṇaṃ saṃdarśya uparyantarīkṣe mahāraśmighanābhrajālakūṭāgāraṃ	budDa vikurvaNam saMdarSya upari antarIkze mahA raSmi Gana aBra jAla kUwa AgAram
   kṛtvā tasthau / teṣāmapi buddhānāṃ bhagavatāmūrṇākośebhya evameva	kRtvA tasTO / tezAm api budDAnAm BagavatA m UrNa AkoSeByaH evam eva
   bodhisattvabalālokā nāma raśmayo niśceruḥ / niścarya	boDisattva balAlokAH nAma raSmayaH niSceruH / niScarya
   asaṃkhyeyāsaṃkhyeyaraśmiparivārāstāḥ	asaMKyeya asaMKyeya raSmi parivArAH tAH
   sarvāsu....pe...buddhavikurvaṇamādarśya idaṃ bhagavataḥ śākyamuneḥ	sarva Asu....pe...budDa vikurvaNam AdarSyaH idam BagavataH SAkya muneH
   parṣanmaṇḍalaṃ vajragarbhasya bodhisattvasyātmabhāvamavabhāsya	parzad maNxalam vajragarBasya boDisattvasya Atma BAvam avaBAsya
   uparyantarīkṣe evameva mahāraśmighanābhrajālakūṭāgāraṃ kṛtvā tasthuḥ / iti	upari antarIkze evam eva mahA raSmi Gana aBra jAla kUwa AgAram kRtvA tasTuH / iti
   hi ābhiśca bhagavataḥ śākyamunerūrṇākośaprasṛtābhī raśmibhiste	hi ABiH ca BagavataH SAkya muneH UrNA koSa prasRtABiH raSmiBiH te
   lokadhātavastāni ca buddhaparṣanmaṇḍalāni teṣāṃ ca bodhisattvānāṃ kāyā	loka DAtavaH tAni ca budDa parzad maNxalAni tezAm ca boDisattvAnAm kAyA
   āsanāni ca sphuṭānyavabhāsitāni saṃdṛśyante sma / teṣāṃ ca aparimāṇeṣu	AsanAni ca sPuwAni avaBAsitAni saMdRSyante sma / tezAm ca aparimANezu
   lokadhātuṣu buddhānāṃ bhagavatāmūrṇākośaprasṛtābhī raśmibhirayaṃ	lokaDAtuzu budDAnAm BagavatAm UrNA koSa prasRtABiH raSmiBiH ayam
   trisāhasramahāsāhasralokadhāturidaṃ ca bhagavataḥ śākyamuneḥ	tri sAhasra mahA sAhasra loka DAtuH idam ca BagavataH SAkyamuneH
   parṣanmaṇḍalaṃ vajragarbhasya ca bodhisattvasya kāya āsanaṃ	parzad maNxalam vajragarBasya ca boDisattvasya kAyaH Asanam
   sphuṭamavabhāsitaṃ saṃdṛśyante sma / atha khalu tato	sPuwam avaBAsitam saMdRSyante sma / aTa Kalu tatas 
   mahāraśmighanābhrajālakūṭāgārādvuddhānubhāvena ayamevaṃrūpaḥ śabdo	mahA raSmi Gana aBra jAla kUwa agArAt vudDa anuBAvena ayam evaMrUpaH SabdaH 
   niścarati sma 	niScarati sma 
   asamasamākāśamairdaśabalavṛṣabhairanantamukhyaguṇaiḥ /	asama samAkASa mEH daSa bala vRzaBEH ananta muKya guNEH /
   śākyakulajasya dharmairdevamanuṣyottamaiḥ kṛtamadhiṣṭhānam // 17 //	SAkya kula jasya DarmEH deva manuzya uttamEH kRtam aDizWAnam // 17 //
   anubhāvātsugatānāṃ kośaṃ vivṛṇuṣva dharmarājānām /	anuBAvAt sugatAnAm koSam vivRNuzva DarmarAjAnAm /
   caryāvarāmudārāṃ prabhedaśo jñānabhūmiṃ ca // 18 //	caryA varAm udArAm praBedaSaH jQAna BUmim ca // 18 //
   adhiṣṭhitāste sugatairdhāritā bodhisattvaiśca /	aDizWitAH te sugatEH DAritAH boDisattvEH ca /
   yeṣāṃ śrotrapathāgataḥ śreṣṭho yo dharmaparyāyaḥ // 19 //	yezAm Srotra paTa AgataH SrezWaH yaH Darma paryAyaH // 19 //
   daśa bhūmīrvirajasaḥ pūrayitvānupūrveṇa /	daSa BUmIH virajasaH pUrayitvA AnupUrveNa /
   balāni daśa ca prāpya jinatāmarpayiṣyanti // 20 //	balAni daSa ca prApya jinatAm arpayizyanti // 20 //
   sāgarajale nimagnāḥ kalpoddāheṣu prakṣiptāḥ /	sAgara jale nimagnAH kalpa uddAhezu prakziptAH /
   bhavyāste dharmaparyāyamimaṃ śrotumasaṃdigdhāḥ // 21 //	BavyAH te Darma paryAyam imam Srotum asaMdigDAH // 21 //
   ye tu vimatisaktāḥ saṃśayaiścābhyupetāḥ /	ye tu vimati saktAH saMSayEH ca aByupetAH /
   sarvaśo na hi teṣāṃ prāpsyate śrotrametat // 22 //	sarvaSas na hi tezAm prApsyate Srotram etat // 22 //
   (Dbh 7)	(DB 7)
   bhūmijñānapathaṃ śreṣṭhaṃ praveśasthānasaṃkramam /	BUmi jQAna paTam SrezWam praveSa sTAna saMkramam /
   anupūrveṇa bhāṣasva caryāviṣayameva ca // 23 //	anupUrveNa BAzasva caryA vizayam eva ca // 23 //
   atha khalu vajragarbho bodhisattvo daśa diśo vyavalokya bhūyasyā mātrayā	aTa Kalu vajragarBaH boDisattvaH daSa diSaH vyavalokya BUyasyA mAtrayA
   tasyāḥ parṣadaḥ saṃprasādarnārthaṃ tasyāṃ velāyāmimā gāthā abhāṣata 	tasyAH parzadaH saMprasAdarna arTam tasyAm velAyAm imAH gATAH aBAzata 
   sūkṣmaṃ durājñeyapadaṃ maharṣiṇāmakalpakalpāpagataṃ suduḥspṛśam /	sUkzmam durAjQeya padam mahA RziNAm akalpa kalpa apa gatam su duHspRSam /
   anāvilaṃ paṇḍitavijñaveditaṃ svabhāvaśāntaṃ hyanirodhasaṃbhavam // 24 //	anAvilam paNxita vijQa veditam svaBAva SAntam hi aniroDa saMBavam // 24 //
   svabhāvaśūnyaṃ praśamādvayakṣayaṃ gatyā vimuktaṃ samatāptinirvṛtam /	svaBAva SUnyam praSama advaya kzayam gatyA vimuktam samatA Apti nirvRtam /
   anantamadhyaṃ vacasānudīritaṃ triyaghvavimuktaṃ nabhasā samānakam // 25 //	ananta maDyam vacasA anudIritam tri yaGu a vimuktam naBasA samAnakam // 25 //
   śāntaṃ praśāntaṃ sugatapraveditaṃ sarvairudāhārapadaiḥ sudurvacam /	SAntam praSAntam sugata praveditam sarvEH udAhAra padEH su durvacam /
   bhūmiśca caryāpi ca tasya tādṛśī vaktuṃ suduḥkhaḥ kuta eva śrotum // 26 //	BUmiH ca caryA api ca tasya tAdRSI vaktum su duHKaH kutas eva Srotum // 26 //
   taccintayā cittapathaiśca varjitaṃ jñānābhinirhāramunīndraveditam /	tad cintayA citta paTEH ca varjitam jQAna aBinirhAra muni indra veditam /
   na skandhadhātvāyatanaprabhāvitaṃ na cittagamyaṃ na manovicintitam // 27	na skanDa DAtu Ayatana praBAvitam na citta gamyam na manaH vicintitam // 27
   yathāntarīkṣe śakuneḥ padaṃ budhairvaktuṃ na śakyaṃ na ca darśanopagam /	yaTA antarIkze SakuneH padam buDEH vaktum na Sakyam na ca darSana upagam /
   tathaiva sarvā jinaputra bhūmayo vaktuṃ na śakyāḥ kuta eva śrotum // 28 //	taTA eva sarvAH jinaputra BUmayaH vaktum na SakyAH kutas eva Srotum // 28 //
   pradeśamātraṃ tu tato 'bhidhāsye maitrīkṛpābhyāṃ praṇidhānataśca /	pradeSa mAtram tu tatas aBiDAsye mEtrI kRpAByAm praNiDAnataH ca /
   yathānupūrvaṃ na ca cittagocaraṃ jñānena tāḥ pūrayatāṃ yathāśayam // 29 //	yaTA AnupUrvam na ca citta gocaram jQAnena tAH pUrayatAm yaTASayam // 29 //
   etādṛśo gocara durdṛśo 'sya vaktuṃ na śakyaḥ sa hi svāśayasthaḥ /	etAdRSaH gocara durdRSaH asya vaktum na SakyaH sa hi svASaya sTaH /
   kiṃ tu pravakṣyāmi jinānubhāvataḥ śṛṇvantu sarve sahitāḥ sagauravāḥ // 30	kim tu pravakzyAmi jina anuBAvataH SRNvantu sarve sahitAH sa gOravAH // 30
   (Dbh 8)	(DB 8)
   jñānapraveśaḥ sa hi tādṛśo 'sya vaktuṃ na kalpairapi śakyate yat /	jQAna praveSaH sa hi tAdRSaH asya vaktum na kalpEH api Sakyate yat /
   samāsatastacchṛṇuta bravīmyahaṃ dharmārthatattvaṃ nikhilaṃ yathāsthitam //	samAsatas tat SRNuta bravImi aham Darma arTa tattvam niKilam yaTA sTitam //
   sagauravāḥ santa(ḥ) sajjā bhavanto vakṣyāmyahaṃ sādhu jinānubhāvataḥ /	sa gOravAH santa(H) sajjAH BavantaH vakzyAmi aham sADu jina anuBAvataH /
   udīrayiṣye varadharmaghoṣaṃ dṛṣṭāntayuktaṃ sahitaṃ samākṣaram // 32 //	udIrayizye vara Darma Gozam dRzwAnta yuktam sahitam sama akzaram // 32 //
   suduṣkaraṃ tadvacasāpi vaktuṃ yaścāprameyaḥ sugatānubhāvaḥ /	su duzkaram tad vacasA api vaktum yaH ca aprameyaH sugata anuBAvaH /
   mayi praviṣṭaḥ sa ca raśmimūrtiryasyānubhāvena mamāsti śaktiḥ // 33 //	mayi pravizwaH sa ca raSmi mUrtiH yasya anuBAvena mama asti SaktiH // 33 //
   tatra bhavanto jinaputrāḥ sūpacitakuśalamūlānāṃ sucaritacaraṇānāṃ	tatra BavantaH jinaputrAH su upacita kuSala mUlAnAm su carita caraNAnAm
   susaṃbhṛtasaṃbhārāṇāṃ suparyupāsitabuddhotpādānāṃ	su saMBRta saMBArANAm suparyupAsita budDa utpAdAnAm
   suparipiṇḍitaśukladharmāṇāṃ suparigṛhītakalyāṇamitrāṇāṃ suviśuddhāśayānāṃ	su paripiNxita Sukla DarmANAm su parigRhIta kalyANa mitrANAm su viSudDa ASayAnAm
   vipulāghyāśayopagatānāṃ udārādhimuktisamanvāgatānāṃ kṛpākaruṇābhimukhānāṃ	vipula aGya ASaya upagatAnAm udAra aDimukti samanvAgatAnAm kRpA karuNa aBimuKAnAm
   (bodhi)sattvānāṃ bodhāya cittamutpādyate / buddhajñānābhilāṣāya	(boDi) sattvAnAm boDAya cittam utpAdyate / budDa jQAna aBilAzAya
   daśabalabalādhigamāya mahāvaiśāradyādhigamāya	daSa bala bala aDigamAya mahA vESAradya aDigamAya
   samatābuddhadharmapratilambhāya sarvajagatparitrāṇāya	samatA budDa Darma pratilamBAya sarva jagat paritrANAya
   mahākṛpākaruṇāviśodhanāya daśadigaśeṣajñānādhigamāya	mahA kRpA karuNA viSoDanAya daSa diS aSeza jQAna aDigamAya
   sarvabuddhakṣetrāsaṅgapariśodhanāya tryadhvaikakṣaṇavibodhāya	sarva budDa kzetra AsaFga pariSoDanAya tri aDva ekakzaNa viboDAya
   mahādharmacakrapravartanavaiśāradyāya ca taccittamutpadyate bodhisattvānāṃ	mahA Darma cakra pravartana vESAradyAya ca tat cittam utpadyate boDisattvAnAm
   mahākaruṇāpūrvaṃgamaṃ	mahA karuNA pUrvaMgamam
   prajñājñānādhipateyamupāyakauśalyaparigṛhītamāśayādhyāśayopastabdhaṃ	prajQA jQAna ADipatA iyam upAya kOSalya parigRhItam ASaya aDyASaya upastabDam
   tathāgatabalāprameyaṃ	taTAgata bala aprameyam
   sattvabalabuddhibalasuvicitavicayamasaṃbhinnajñānābhimukhaṃ	sattva bala budDi bala su vicita vicayam asaMBinna jQAna aBimuKam
   svayaṃbhūjñānānukūlaṃ sarvabuddhadharmaprajñājñānāvavādasaṃpratyeṣakaṃ	svayaMBU jQAna anukUlam sarva budDa Darma prajQA jQAnO= avAda saMprati ezakam
   dharmadhātuparamamākāśadhātusthitakamaparāntakoṭiniṣṭham / yena	DarmaDAtu paramam AkASa DAtu sTita kama parAnta kowi nizWam / yena
   cittotpādena sahotpannena bodhisattvo 'tikrānto bhavati,	citta utpAdena saha utpannena boDisattvaH atikrAntaH Bavati,
   pṛthagjñānabhūmīmavakrānto bhavati, bodhisattvaniyāmaṃ jāto bhavati,	pRTak jQAna BUmIm avakrAntaH Bavati, boDisattva niyAmam jAtaH Bavati,
   tathāgatakule 'navadyo bhavati, sarvajātivādena vyāvṛtto bhavati,	taTAgata kule anavadyaH Bavati, sarva jAti vAdena vyAvRttaH Bavati,
   sarvalokagatibhyo 'vakrānto bhavati, lokottarāṃ gatiṃ sthito bhavati,	sarva loka gatiByaH avakrAntaH Bavati, lokottarAm gatim sTitaH Bavati,
   bodhisattvadharmatāyāṃ suvyavasthito bhavati, bodhisattvāvasthānena	boDisattva Darma tAyAm su vyavasTitaH Bavati, boDisattva avasTAnena
   samatānugato bhavati, tryaghvatathāgatavaṃśaniyato bhavati	samatA anugataH Bavati, tri aGva taTA gata vaMSa niyataH Bavati
   saṃbodhiparāyaṇaḥ / evaṃrūpadharmavyavasthito bhavanto jinaputrā	saMboDi parAyaNaH / evaMrUpa Darma vyavasTitaH BavantaH jinaputrA
   bodhisattvaḥ pramuditāyāṃ bodhisattvabhūmau vyavasthito	boDisattvaH pramuditAyAm boDisattva BUmO vyavasTitaH 
   bhavatyacalanayogena //	Bavati acalana yogena //
   atra bhavanto jinaputrāḥ pramuditāyāṃ bodhisattvabhūmau sthito	atra BavantaH jinaputrAH pramuditAyAm boDisattva BUmO sTitaH 
   bodhisattvaḥ prāmodyabahulo bhavati prasādabahulaḥ prītibahula	boDisattvaH prAmodya bahulaH Bavati prasAda bahulaH prIti bahula
   utplāvanābahula udagrībahula utsībahula utsāhabahulo 'saṃrambhabahulo	utplAvanA bahulaH udagrI bahulaH utsIbahulaH utsAha bahulaH asaMramBa bahulaH 
   'vihiṃsābahulo 'krodhabahulo bhavati / iti hi bhavanto jinaputrāḥ	avihiMsA bahulaH akroDa bahulaH Bavati / iti hi BavantaH jinaputrAH
   pramuditāyāṃ bodhisattvabhūmau sthito bodhisattvan pramudito bhavati,	pramuditAyAm boDisattva BUmO sTitaH boDisattvan pramuditaH Bavati,
   buddhān bhagavato 'nusmaran buddhadharmān bodhisattvān bodhisattvacaryāḥ	budDAn BagavataH anusmaran budDa DarmAn boDisattvAn boDisattva caryAH
   pāramitāviśuddhiṃ bodhisattvabhūmiviśeṣān bodhisattvāsaṃhāryatāṃ (Dbh 9)	pAramitA viSudDim boDisattva BUmi viSezAn boDisattva asaMhArya tAm (DB 9)
   tathāgatāvavādānuśāsanīṃ sattvārthasaṃprāpaṇam / pramudito bhavati	taTAgatO= avAda anuSAsanIm sattva arTa saMprApaNam / pramuditaH Bavati
   sarvatathāgatajñānapraveśaprayogamanusmaran / bhūyaḥ prāmodyavān bhavati  	sarva taTAgata jQAna praveSa prayogam anusmaran / BUyas prAmodyavAn Bavati  
   vyāvṛtto 'smi sarvajagadviṣayāt, avatīrṇo 'smi buddhabhūmisamīpam,	vyAvRttaH asmi sarva jagat vizayAt, avatIrNaH asmi budDa BUmi samIpam,
   dūrībhūto 'smi bālapṛthagjanabhūmeḥ, āsanno 'smi jñānabhūmeḥ, vyavacchinno	dUrIBUtaH asmi bAla pRTagjana BUmeH, AsannaH asmi jQAna BUmeH, vyavacCinno
   'smi sarvāpāyadurgativinipātāt, pratiśaraṇabhūto 'smi sarvasattvānām,	asmi sarva apAya durgati vinipAta at, pratiSaraNa BUtaH asmi sarva sattvAnAm ,
   āsannadarśano 'smi sarvatathāgatānām, saṃbhūto 'smi sarvabuddhaviṣaye,	Asanna darSanaH asmi sarva taTAgatAnAm, saMBUtaH asmi sarva budDa vizaye,
   sarvabodhisattvasamatāmupagato 'smi / vigatāni me	sarva boDisattva samatAm upagataH asmi / vigatAni me
   sarvabhayatrāsacchambhitatvānīti prāmodyamutpādayati / tatkasya hetoḥ?	sarva Baya trAsa= SamBita tvAni iti prAmodyam utpAdayati / tat kasya hetoH?
   tathā hi bhavanto jinaputrā bodhisattvasya asyāḥ pramuditāyā	taTA hi BavantaH jinaputrAH boDisattvasya asyAH pramuditAyAH 
   bodhisattvabhūmeḥ sahapratilambhena yānīmāni bhayāni bhavanti  	boDisattva BUmeH saha pratilamBena yAni imAni BayAni Bavanti  
   yadidamājīvikābhayaṃ vā aślokabhayaṃ vā maraṇabhayaṃ vā durgatibhayaṃ vā	yat idam AjIvika aBayam vA aSloka Bayam vA maraNa Bayam vA durgati Bayam vA
   parṣacchāradyabhayaṃ vā, tāni sarvāṇi vyapagatāni bhavanti / tatkasya	parzad SAradya Bayam vA, tAni sarvANi vyapagatAni Bavanti / tat kasya
   hetoḥ? yathāpi idamātmasaṃjñāpagamādātmasneho 'sya na bhavati, kutaḥ punaḥ	hetoH? yaTA api idam Atma saMjQA apagamAt Atma snehaH asya na Bavati, kutas punar 
   sarvopakaraṇasnehaḥ? ato 'sya ājīvikābhayaṃ na bhavati / na ca	sarva upakaraNa snehaH? atas asya AjIvika aBayam na Bavati / na ca
   kaṃcitsatkāraṃ kasyacitsakāśātpratikāṅkṣati, anyatra mayaiva teṣāṃ	kaMcid satkAram kasyacid sakASAt pratikAFkzati, anyatra mayA eva tezAm
   sattvānāṃ sarvopakaraṇabāhulyamupanāmayitavyamiti, ato 'sya aślokabhayaṃ	sattvAnAm sarva upakaraNa bAhulyam upanAmayitavyam iti, atas asya aSloka Bayam
   na bhavati / ātmadṛṣṭivigamācca asyātmasaṃjñā na bhavati, ato 'sya	na Bavati / Atma dRzwi vigamAt ca asya Atma saMjQA na Bavati, atas asya
   maraṇabhayaṃ na bhavati / mṛtasyaiva me niyataṃ buddhabodhisattvairna	maraNa Bayam na Bavati / mRtasya eva me niyatam budDa boDisattvEH na
   virahito bhaviṣyāmīti, ato 'sya durgatibhayaṃ na bhavati / nāsti me	virahitaH BavizyAmi iti, atas asya durgati Bayam na Bavati / na asti me
   kaścidāśayena sarvaloke samasamaḥ, kutaḥ punaruttara ityato 'sya	kaScid ASayena sarva loke sama samaH, kutas punar uttaraH iti atas asya
   parṣacchāradyabhayaṃ na bhavati / evaṃ	parzad SAradya Bayam na Bavati / evam
   sarvabhayatrāsacchambhitatvaromaharṣāpagataḥ //	sarva Baya trAsa= SamBita tva roma harza apagataH //
   atha khalu punarbhavanto jinaputrā bodhisattvo	aTa Kalu punar BavantaH jinaputrAH boDisattvaH 
   mahākaruṇāpuraskṛtatvādanupahatena aprākṛtenādhyāśayena bhūyasyā mātrayā	mahA karuNA puraskRta tvAt anupahatena aprAkRtena aDyASayena BUyasyA mAtrayA
   prayujyate sarvakuśalamūlamudāgamāya / sa śraddhādhipateyatayā	prayujyate sarva kuSala mUlam udAgamAya / sa SradDA aDipateya tayA
   prasādabahulatayā adhimuktiviśuddhyā avakalpanābahulatayā	prasAda bahula tayA aDimukti viSudDyA avakalpanA bahula tayA
   kṛpākaruṇābhinirhāratayā mahāmaitryupetatayā aparikhinnamānasatayā	kRpA karuNa aBinirhAra tayA mahA mEtrI upeta tayA apariKinna mAnasatayA
   hryapatrāpyālaṃkāratayā kṣāntisauratyopetatayā	hri apatrApya alaMkAra tayA kzAnti sOratya upeta tayA
   tathāgatārhatsamyaksaṃbuddhaśāsanagauravacitrīkaraṇatayā	taTAgata arhat samyaksaMbudDa SAsana gOrava citrIkaraNa tayA
   rātriṃdivātṛptakuśalamūlopacayatayā kalyāṇamitraniṣevaṇatayā	rAtriMdivA tRpta kuSala mUla upacaya tayA kalyANa mitra nizevaNa tayA
   dharmārāmābhiratatayā atṛptabāhuśrutyaparyeṣaṇatayā	Darma ArAma aBirata tayA atRpta bAhu Sruti aparyezaNa tayA
   yathāśrutadharmayoniśaḥpratyavekṣaṇatayā aniketamānasatayā	yaTA Sruta Darma yoni SaH pratyavekzaNa tayA aniketa mAna satayA
   anadhyavasitalābhasatkāraślokatayā anabhinanditopakaraṇasnehatayā	anaDyavasita lABa satkAra SlokatayA anaBinandita upakaraNa sneha tayA
   ratnopamacittotpādātṛptābhinirhāratayā sarvajñabhūmyabhilāṣaṇatayā	ratna upama citta utpAda atRpta aBinirhAra tayA sarvajQa BUmi aBilAzaNa tayA
   tathāgatabalavaiśāradyāveṇikabuddhadharmādhyālambanatayā	taTAgata bala vESAradyA veNika budDa Darma aDyAlambana tayA
   pāramitāsaṅgaparyeṣaṇatayā māyāśāṭhyaparivarjanatayā	pAramitA saFga paryezaNa tayA mAyA SAWya parivarjana tayA
   yathāvāditathākāritayā satatasamitaṃ satyavacanānurakṣaṇatayā	yaTA vAdi taTA kAritayA satata samitam satya vacana anurakzaNa tayA
   tathāgatakulabhūṣaṇatayā bodhisattvaśikṣānutsarjanatayā	taTAgata kula BUzaNa tayA boDisattva SikzA anutsarjana tayA
