   akalaṅkavivekānāṃ KDarp_1.30c	akalaFka-vivekAnAm KDarp_1.30c
   ekākinī puṣpavane KDarp_1.67c	ekAkinI puzpa-vane KDarp_1.67c
   eko 'bravīdaho rūpam KDarp_4.28a	ekaH abravIt-aho rUpam KDarp_4.28a
   etatpratyakṣalakṣaṇam KDarp_1.55d	etad-pratyakza-lakzaNam KDarp_1.55d
   etadarthaṃ śrute buddhiṃ KDarp_3.26a	etad-arTam Srute budDim KDarp_3.26a
   etadākarṇya sahasā KDarp_3.109a	etat-AkarNya sahasA KDarp_3.109a
   etadeva kulīnatvam KDarp_1.29a	etat-eva kulIna-tvam KDarp_1.29a
   etadeva guṇārjanam KDarp_1.29b	etat-eva guNa-arjanam KDarp_1.29b
   etadeva paraṃ śauryaṃ KDarp_5.23a	etat-eva param SOryam KDarp_5.23a
   etadeva viruddhānāṃ KDarp_2.79a	etat-eva virudDAnAm KDarp_2.79a
   etadevārthasāmarthyaṃ KDarp_2.27a	etat-eva-arTa-sAmarTyam KDarp_2.27a
   etaddvijavacaḥ śrutvā KDarp_3.61a	etat-dvija-vacaH SrutvA KDarp_3.61a
   etāsāṃ kṛtakaprapañcaracanālajjāvatīnāṃ puraḥ KDarp_1.15c	etAsAm kRtaka-prapaQca-racanA-lajjAvatInAm puras KDarp_1.15c
   etāḥ śriyaḥ prabalalobhaghanāndhakāra- KDarp_2.67c	etAH SriyaH prabala-loBa-Gana-anDakAra KDarp_2.67c
   etāḥ śvasanasotkampāḥ KDarp_1.69a	etAH Svasana-sa-utkampAH KDarp_1.69a
   evaṃrūpā madakṣitiḥ KDarp_5.20b	evaMrUpA mada-kzitiH KDarp_5.20b
   evaṃrūpā viparyayāḥ KDarp_3.133d	evaMrUpAH viparyayAH KDarp_3.133d
   evaṃvidhānāṃ duḥkhānāṃ KDarp_2.105c	evaMviDAnAm duHKAnAm KDarp_2.105c
   eṣa nandastava pitā KDarp_2.108a	eza nandaH-tava pitA KDarp_2.108a
   eṣa vidyopadeśena KDarp_3.71a	eza vidyA-upadeSena KDarp_3.71a
   eṣāṃ bhavollaṅganavighnabhūtau KDarp_7.25c	ezAm Bava-ullaFgana-viGna-BUtO KDarp_7.25c
   eṣu svabhāvaḥ sulabhaḥ prabhūṇām KDarp_7.23d	ezu svaBAvaH sulaBaH praBUNAm KDarp_7.23d
   aiśvaryaṃ durnayeneva KDarp_5.28c	ESvaryam durnayena-iva KDarp_5.28c
   aucityahīnaṃ vinayavyapetaṃ KDarp_5.2c	Ocitya-hInam vinaya-vyapetam KDarp_5.2c
   ka eṣa vidyayā darpaḥ KDarp_3.2c	kaH eza vidyayA darpaH KDarp_3.2c
   kacasya vācaspatijanmano 'pi KDarp_3.153c	kacasya vAcaspati-janmanaH api KDarp_3.153c
   kaṇācāmatuṣāṅgārān KDarp_2.36a	kaNA-AcAma-tuza-aFgArAn KDarp_2.36a
   kaṇṭhasthalālokanakālakūṭa- KDarp_7.60c	kaNWa-sTala-Alokana-kAlakUwa KDarp_7.60c
   kaṇṭhasthena nirīkṣate KDarp_2.7b	kaNWa-sTena nirIkzate KDarp_2.7b
   kaṇṭhāntaraśvāsavikīrṇavarṇāḥ KDarp_7.61d	kaNWa-antara-SvAsa-vikIrNa-varNAH KDarp_7.61d
   kaṇṭhe kṛtagatāgatā KDarp_3.45b	kaNWe kRta-gata-AgatA KDarp_3.45b
   kaṇṭhe haṭhāliṅganasaspṛheva KDarp_7.49b	kaNWe haWa-aliFganasa-spRhA-iva KDarp_7.49b
   kathaṃ tatkathayāmi te KDarp_1.62b	kaTam tat-kaTayAmi te KDarp_1.62b
   kathaṃ vidyādhigamyate KDarp_3.22b	kaTam vidyA-aDigamyate KDarp_3.22b
   kathāṃ pitre nyavedayat KDarp_3.63d	kaTAm pitre nyavedayat KDarp_3.63d
   kadaryasya dhanena kim KDarp_2.56d	kadaryasya Danena kim KDarp_2.56d
   kadaryāṇāṃ kaṣṭaṃ sphuṭamadhanakaṣṭādapi param KDarp_2.10d	kadaryANAm kazwam sPuwam-aDana-kazwAt-api param KDarp_2.10d
   kadaryāḥ svakṣaye kṣayam KDarp_2.71d	kadaryAH sva-kzaye kzayam KDarp_2.71d
   kadalī kuñjareṇeva KDarp_3.89a	kadalI kuQjareNa-iva KDarp_3.89a
   kadācitkaścidutsavaḥ KDarp_2.35b	kadAcid-kaScid-utsavaH KDarp_2.35b
   kadācitsaha gandharvaiḥ KDarp_4.18a	kadAcid-saha ganDarvEH KDarp_4.18a
   kadācitsvagṛhadvāri KDarp_2.20a	kadAcid-sva-gRha-dvAri KDarp_2.20a
   kadāciddinaparyanta- KDarp_3.130a	kadAcid-dina-paryanta KDarp_3.130a
   kanīyānāvayoryasmād KDarp_3.74a	kanIyAn-AvayoH-yasmAt KDarp_3.74a
   kanyādṛḍhagranthinipīḍyamānam KDarp_7.12b	kanyA-dRXa-granTi-nipIxyamAnam KDarp_7.12b
   kanyāyāstanayaḥ karṇaḥ KDarp_1.19a	kanyAyAH-tanayaH karNaH KDarp_1.19a
   kapolasaṃjātavalīvikāras KDarp_4.14c	kapola-saMjAta-valI-vikAraH KDarp_4.14c
   kamaṇḍaluṃ kaścidakāṇḍacaṇḍa- KDarp_7.57a	kamaNxalum kaScid-akANxa-caNxa KDarp_7.57a
   kampante hitamantravādasamaye bhūtābhibhūtā iva KDarp_1.46d	kampante hita-mantra-vAda-samaye BUta-aBiBUtAH iva KDarp_1.46d
   kampamānādharo 'bhyadhāt KDarp_3.111d	kampamAna-aDaraH aByaDAt KDarp_3.111d
   kampalolākṣamālikā KDarp_3.94d	kampa-lolAkzamAlikA KDarp_3.94d
   kampākulānāṃ kusumāntarotthaiḥ KDarp_7.59b	kampa-AkulAnAm kusuma-antara-utTEH KDarp_7.59b
   karuṇākomalaṃ manaḥ KDarp_1.56b	karuNA-komalam manaH KDarp_1.56b
   karuṇākomalaṃ manaḥ KDarp_2.104d	karuNA-komalam manaH KDarp_2.104d
   karuṇārheṣu śūrāṇām KDarp_2.95a	karuNA-arhezu SUrANAm KDarp_2.95a
   karoti kālaḥ pariṇāmaśaktyā KDarp_4.6c	karoti kAlaH pariNAma-SaktyA KDarp_4.6c
   karoti tīvraṃ na tapaḥ praśāntim KDarp_7.2d	karoti tIvram na tapaH praSAntim KDarp_7.2d
   karoti dveṣadūṣitaḥ KDarp_3.26b	karoti dveza-dUzitaH KDarp_3.26b
   karoti mama mānasam KDarp_3.84d	karoti mama mAnasam KDarp_3.84d
   karoti vittayaśasoḥ KDarp_6.4c	karoti vitta-yaSasoH KDarp_6.4c
   karoti vidyā yadi darpamoham KDarp_3.1b	karoti vidyA yadi darpa-moham KDarp_3.1b
   karotyantaḥ puṃsāmiti madapiśācaḥ paricayam KDarp_1.43d	karoti-antar puMsAm-iti mada-piSAcaH paricayam KDarp_1.43d
   karoṣi vādairākṣepaṃ KDarp_3.74c	karozi vAdEH-Akzepam KDarp_3.74c
   karṇāvataṃsīkṛtalocanānām KDarp_7.43b	karNa-avataMsIkRta-locanAnAm KDarp_7.43b
   karṇe 'rjunasyātatakārmukasya KDarp_5.12c	karNe arjunasya-Atata-kArmukasya KDarp_5.12c
   kartavyaṃ yadi madvacaḥ KDarp_3.71d	kartavyam yadi mad-vacaH KDarp_3.71d
   karma me kulapātakam KDarp_1.74d	karma me kula-pAtakam KDarp_1.74d
   karmayogātsamīhitam KDarp_6.49b	karma-yogAt-samIhitam KDarp_6.49b
   karmoktinarmanirmāṇaiḥ KDarp_2.3a	karma-ukti-narma-nirmANEH KDarp_2.3a
   kalatrasukhasiddhaye KDarp_6.10b	kalatra-suKa-sidDaye KDarp_6.10b
   kalamākrāntaviśvasya KDarp_2.54a	kalama-AkrAnta-viSvasya KDarp_2.54a
   kalākāṣṭhāmuhurtānāṃ KDarp_4.68a	kalA-kAzWA-muhurtAnAm KDarp_4.68a
   kalāvantastapasvinaḥ KDarp_2.30b	kalAvantaH-tapasvinaH KDarp_2.30b
   kalidānena tena kim KDarp_6.20d	kali-dAnena tena kim KDarp_6.20d
   kalau kāle khale mitre KDarp_2.39a	kalO kAle Kale mitre KDarp_2.39a
   kalyāṇamittraṃ vimalaṃ vrataṃ tat KDarp_7.9d	kalyANa-mittram vimalam vratam tat KDarp_7.9d
   kalyāṇāyārcanādaraḥ KDarp_4.52d	kalyANAya-arcana-AdaraH KDarp_4.52d
   kavalīkurvapaṇḍitam KDarp_3.117d	kavalIkurva-paNxitam KDarp_3.117d
   kavibhirnṛpasevāsu KDarp_3.10a	kaviBiH-nRpa-sevAsu KDarp_3.10a
   kaviḥ sarvakalālayaḥ KDarp_1.23b	kaviH sarva-kalA-AlayaH KDarp_1.23b
   kavīnāmiva saṃgharṣaḥ KDarp_3.78c	kavInAm-iva saMGarzaH KDarp_3.78c
   kaṣṭakliṣṭakalatrayoḥ KDarp_2.4b	kazwa-klizwa-kalatrayoH KDarp_2.4b
   kaṣṭadānena tena kim KDarp_6.11d	kazwa-dAnena tena kim KDarp_6.11d
   kaṣṭaprāptaikadeśayā KDarp_3.2d	kazwa-prApta-eka-deSayA KDarp_3.2d
   kaṣṭaṃ kenopadiṣṭaste KDarp_1.27a	kazwam kena-upadizwaH-te KDarp_1.27a
   kaṣṭā nūtanapaṇḍitasya vikṛtirbhīmajvarārambhabhūḥ KDarp_3.68d	kazwA nUtana-paNxitasya vikRtiH-BIma-jvara-AramBa-BUH KDarp_3.68d
   kaṣṭārhasya dhanena kim KDarp_2.43d	kazwa-arhasya Danena kim KDarp_2.43d
   kastena dānaprabhavo 'bhimānaḥ KDarp_6.2d	kaH-tena dAna-praBavaH aBimAnaH KDarp_6.2d
   kasmādamī varṣasahasralagna- KDarp_7.22a	kasmAt-amI varza-sahasra-lagna KDarp_7.22a
   kasyacinmāstu taddhanam KDarp_2.8d	kasyacid-mAstu tad-Danam KDarp_2.8d
   kasyānyasya dhanābhimānamalinā vidyā vidhatte guṇam KDarp_3.150d	kasya-anyasya Dana-aBimAna-malinA vidyA viDatte guNam KDarp_3.150d
   kasyāsthā vividhāvadhānavidhinā niḥsaṃnidhāne dhane KDarp_2.68d	kasya-AsTAH viviDa-avaDAna-viDinA niHsaMniDAne Dane KDarp_2.68d
   kasyeyaṃ taralāpāṅgā KDarp_4.31c	kasya-iyam tarala-apAFgA KDarp_4.31c
   kaḥ kadaryadaridrayoḥ KDarp_2.4d	kaH kadarya-daridrayoH KDarp_2.4d
   kaḥ ko 'sti śūraḥ saṃrambhād KDarp_5.31c	kaH kaH asti SUraH saMramBAt KDarp_5.31c
   kāṅkṣitenāpyalabdhena KDarp_2.46a	kAFkzitena-api-alabDena KDarp_2.46a
   kāntaṃ kṛtaṃ rūpamanena nūnam KDarp_7.64d	kAntam kRtam rUpam-anena nUnam KDarp_7.64d
   kāntiścakāśe nijarūpaguptyai KDarp_7.38b	kAntiH-cakASe nija-rUpa-guptyE KDarp_7.38b
   kāntyā tarjitakāmakīrtirabhavaddurdarśamūrtirnalaḥ KDarp_4.74b	kAntyA tarjita-kAma-kIrtiH-aBavat-durdarSa-mUrtiH-nalaH KDarp_4.74b
   kāpālikeneva vanāntabhūmiḥ KDarp_7.63d	kApAlikena-iva vanAnta-BUmiH KDarp_7.63d
   kāmakrodhamadoddhatā KDarp_3.102d	kAma-kroDa-mada-udDatA KDarp_3.102d
   kāmakrodhavaśādviśeṣaruciraṃ sarvaṃ vṛthaiva vratam KDarp_7.68d	kAma-kroDa-vaSAt-viSeza-ruciram sarvam vRTA-eva vratam KDarp_7.68d
   kāmakrodhahatā matiḥ KDarp_3.52b	kAma-kroDa-hatA matiH KDarp_3.52b
   kāmena kampasphuritādharāṇām KDarp_7.4b	kAmena kampa-sPurita-aDarANAm KDarp_7.4b
   kāyakleśena pīḍitaḥ KDarp_2.107d	kAya-kleSena pIxitaH KDarp_2.107d
   kāyasya saṃśoṣaṇamanyadāhuḥ KDarp_7.16d	kAyasya saMSozaNam-anyat-AhuH KDarp_7.16d
   kāyāpāpamayīṃ duḥkha- KDarp_2.91a	kAya-apApa-mayIm duHKa KDarp_2.91a
   kāyeneva tvayā vinā KDarp_3.126d	kAyena-iva tvayA vinA KDarp_3.126d
   kāye romāñcakañcukaḥ KDarp_6.38d	kAye romAQca-kaQcukaH KDarp_6.38d
   kāyo 'pyapāyanicayasya nikāya eva KDarp_1.44b	kAyaH api-apAya-nicayasya nikAyaH eva KDarp_1.44b
   kāraṇaṃ kaluṣaṃ manaḥ KDarp_2.105d	kAraNam kaluzam manaH KDarp_2.105d
   kārāgṛhe dhūsaritordhvakeśaḥ KDarp_4.10b	kArA-gRhe DUsarita-UrDva-keSaH KDarp_4.10b
   kāryākāryavimarśadhīḥ KDarp_3.99b	kArya-akArya-vimarSa-DIH KDarp_3.99b
   kālavyāla ivābhavat KDarp_2.12d	kAla-vyAlaH iva-aBavat KDarp_2.12d
   kālasya vrajatāṃ javāt KDarp_4.68b	kAlasya vrajatAm javAt KDarp_4.68b
   kālaṃ muhūrtāṅgulimaṇḍalena KDarp_4.16a	kAlam muhUrta-aFguli-maNxalena KDarp_4.16a
   kālaḥ proṣitakāntānāṃ KDarp_3.76c	kAlaH prozita-kAntAnAm KDarp_3.76c
   kāle kusumulāñchane KDarp_1.67b	kAle kusumulAQCane KDarp_1.67b
   kālena kāle śikhayā gṛhītaḥ KDarp_2.65d	kAlena kAle SiKayA gRhItaH KDarp_2.65d
   kāle vivekavikalo vada kiṃ karoti KDarp_2.60d	kAle viveka-vikalaH vada kim karoti KDarp_2.60d
   kāleṣvarkagrahādiṣu KDarp_6.8b	kAlezu-arka-graha-Adizu KDarp_6.8b
   kālo yayau varṣasahasrasaṃkhyaḥ KDarp_7.17d	kAlaH yayO varza-sahasra-saMKyaH KDarp_7.17d
   kāṣāyavyasanaṃ nirambararuciḥ kaṅkālamālādhṛtiḥ KDarp_7.68c	kAzAya-vyasanam nirambara-ruciH kaFkAla-mAlA-DRtiH KDarp_7.68c
   kimanyābhiḥ prayojanam KDarp_1.19d	kim-anyABiH prayojanam KDarp_1.19d
   kimayaṃ yācamāno 'pi KDarp_2.104a	kim-ayam yAcamAnaH api KDarp_2.104a
   kimetadityanucitaṃ KDarp_3.92a	kim-etat-iti-anucitam KDarp_3.92a
   kimetaducitaṃ phalam KDarp_3.90d	kim-etat-ucitam Palam KDarp_3.90d
   kilbiṣī brahmahatyayā KDarp_3.140b	kilbizI brahmahatyayA KDarp_3.140b
   kiṃ karomi mune kasya KDarp_3.116a	kim karomi mune kasya KDarp_3.116a
   kiṃ karomi yamenāhaṃ KDarp_1.51a	kim karomi yamena-aham KDarp_1.51a
   kiṃ karomyajane labdhā KDarp_3.101a	kim karomi-ajane labDA KDarp_3.101a
   kiṃ kulīnena pāpinā KDarp_1.33b	kim kulInena pApinA KDarp_1.33b
   kiṃ kulenākulīnāgre KDarp_1.12c	kim kulena-akulIna-agre KDarp_1.12c
   kiṃ tayā kaṣṭavidyayā KDarp_3.35d	kim tayA kazwa-vidyayA KDarp_3.35d
   kiṃ tayā kṣadravidyayā KDarp_3.29d	kim tayA kzadra-vidyayA KDarp_3.29d
   kiṃ tayā cauravidyayā KDarp_3.39d	kim tayA cOra-vidyayA KDarp_3.39d
   kiṃ tayā jaḍavidyayā KDarp_3.36d	kim tayA jaxa-vidyayA KDarp_3.36d
   kiṃ tayā dambhavidyayā KDarp_3.37d	kim tayA damBa-vidyayA KDarp_3.37d
   kiṃ tayā doṣavidyayā KDarp_3.42d	kim tayA doza-vidyayA KDarp_3.42d
   kiṃ tayā dhṛṣṭavidyayā KDarp_3.30d	kim tayA DRzwa-vidyayA KDarp_3.30d
   kiṃ tayā paṇyavidyayā KDarp_3.33d	kim tayA paNya-vidyayA KDarp_3.33d
   kiṃ tayā bhāravidyayā KDarp_3.28d	kim tayA BAravidyayA KDarp_3.28d
   kiṃ tayā mandavidyayā KDarp_3.40d	kim tayA manda-vidyayA KDarp_3.40d
   kiṃ tayā mūkavidyayā KDarp_3.43d	kim tayA mUka-vidyayA KDarp_3.43d
   kiṃ tayā mṛtavidyayā KDarp_3.45d	kim tayA mRta-vidyayA KDarp_3.45d
   kiṃ tayā mohavidyayā KDarp_3.34d	kim tayA moha-vidyayA KDarp_3.34d
   kiṃ tayālīkavidyayā KDarp_3.41d	kim tayA-alIka-vidyayA KDarp_3.41d
   kiṃ tayā lubdhavidyayā KDarp_3.47d	kim tayA lubDa-vidyayA KDarp_3.47d
   kiṃ tayā vadhavidyayā KDarp_3.44d	kim tayA vaDa-vidyayA KDarp_3.44d
   kiṃ tayā vyājavidyayā KDarp_3.48d	kim tayA vyAja-vidyayA KDarp_3.48d
   kiṃ tayā śaṭhavidyayā KDarp_3.32d	kim tayA SaWa-vidyayA KDarp_3.32d
   kiṃ tayā śukavidyayā KDarp_3.31d	kim tayA Suka-vidyayA KDarp_3.31d
   kiṃ tayā śūlavidyayā KDarp_3.38d	kim tayA SUla-vidyayA KDarp_3.38d
   kiṃ tayā hāsyavidyayā KDarp_3.46d	kim tayA hAsya-vidyayA KDarp_3.46d
   kiṃ tu kālagalatsarva- KDarp_4.59c	kim tu kAlagalat-sarva KDarp_4.59c
   kiṃ tu jāne raṇārhau te KDarp_5.33c	kim tu jAne raNa-arhO te KDarp_5.33c
   kiṃ tena mithyātapasā munīnām KDarp_7.8d	kim tena miTyA-tapasA munInAm KDarp_7.8d
   kiṃ tvāgāmibhayādetan KDarp_3.65c	kim tu-AgAmi-BayAt-etan KDarp_3.65c
   kiṃ na kurvantyavāritāḥ KDarp_3.101d	kim na kurvanti-avAritAH KDarp_3.101d
   kiṃ prayāto 'si mūḍhatām KDarp_1.25b	kim prayAtaH asi mUXa-tAm KDarp_1.25b
   kiṃ śauryeṇa sarāgasya KDarp_5.25a	kim SOryeNa sa-rAgasya KDarp_5.25a
   kīrtanenārthināmapi KDarp_2.11d	kIrtanena-arTinAm-api KDarp_2.11d
   kīrtyutkarṣajigīṣayā KDarp_6.6b	kIrti-utkarza-jigIzayA KDarp_6.6b
   kuṇḍī daṇḍakamaṇḍalupraṇayitā carmākṣasūtragrahaḥ KDarp_7.68b	kuNxI daNxaka-maNxalu-praNayitA carma-akza-sUtra-grahaH KDarp_7.68b
   kurukṣetrādideśeṣu KDarp_6.8a	kurukzetra-Adi-deSezu KDarp_6.8a
   kurvanti svaguṇastavena guṇināṃ yatnādguṇācchādanam KDarp_3.14b	kurvanti sva-guNa-stavena guNinAm yatnAt-guNa-AcCAdanam KDarp_3.14b
   kurvanviṣaśyāmalakaṇṭhakāntiṃ KDarp_7.24c	kurvan-viza-SyAmala-kaNWa-kAntim KDarp_7.24c
   kulakūlaṃkaṣā yeṣāṃ KDarp_1.11c	kula-kUlaMkazAH yezAm KDarp_1.11c
   kulavidyādhanodbhavaḥ KDarp_1.27d	kula-vidyA-Dana-udBavaH KDarp_1.27d
   kulasya kamalasyeva KDarp_1.7a	kulasya kamalasya-iva KDarp_1.7a
   kulaṃ kasyānurvartatām KDarp_1.9d	kulam kasya-anurvartatAm KDarp_1.9d
   kulaṃ kutanayeneva KDarp_5.28a	kulam ku-tanayena-iva KDarp_5.28a
   kulaṃ kulaṃ kalayatāṃ KDarp_1.6a	kulam kulam kalayatAm KDarp_1.6a
   kulaṃ vittaṃ śrutaṃ rūpaṃ KDarp_1.4a	kulam vittam Srutam rUpam KDarp_1.4a
   kulābhimānaṃ tyaja saṃvṛttāgraṃ KDarp_1.39a	kula-aBimAnam tyaja saMvRtta-agram KDarp_1.39a
   kulābhimānaḥ kasteṣāṃ KDarp_1.11a	kula-aBimAnaH kaH-tezAm KDarp_1.11a
   kulābhimānābharaṇasya mātā KDarp_1.16a	kula-aBimAna-ABaraNasya mAtA KDarp_1.16a
   kulārthavidyādikṛto 'bhimānas KDarp_1.42c	kula-arTa-vidyA-Adi-kRtaH aBimAnaH KDarp_1.42c
   kulīnasya kulīnasya KDarp_1.12a	kulInasya kulInasya KDarp_1.12a
   kule yajvā bahuśrutaḥ KDarp_1.9b	kule yajvA bahu-SrutaH KDarp_1.9b
   kuṣṭakledajugupsitaḥ KDarp_2.83b	kuzwa-kleda-jugupsitaH KDarp_2.83b
   kuṣṭhī sthūlagalagrahaḥ KDarp_2.77b	kuzWI sTUla-galagrahaH KDarp_2.77b
   kusumeṣuruciṃ navām KDarp_3.93b	kusumezu-rucim navAm KDarp_3.93b
   kūṭadānena tena kim KDarp_6.13d	kUwa-dAnena tena kim KDarp_6.13d
   kṛcchrāvasannā jīvantiṃ KDarp_2.79c	kRcCra-avasannA jIvantim KDarp_2.79c
   kṛtakrūrāpakāreṣu KDarp_2.106a	kRta-krUra-apakArezu KDarp_2.106a
   kṛtaghnena viparyayāt KDarp_3.141b	kRtaGnena viparyayAt KDarp_3.141b
   kṛtadevapitṛkriyaḥ KDarp_6.40b	kRta-deva-pitR-kriyaH KDarp_6.40b
   kṛtasnānaḥ sameṣyāmi KDarp_4.53c	kRta-snAnaH samezyAmi KDarp_4.53c
   kṛtaṃ na kṛpaṇe kasmāt KDarp_2.104c	kRtam na kRpaNe kasmAt KDarp_2.104c
   kṛtārcane narapatau KDarp_4.57a	kRta-arcane narapatO KDarp_4.57a
   kṛtāsanaparigrahau KDarp_4.45b	kRta-Asana-parigrahO KDarp_4.45b
   kṛtyāsakhaḥ samudbhūtaḥ KDarp_3.115c	kRtyA-saKaH samudBUtaH KDarp_3.115c
   kṛtvā samastaṃ divasaṃ dhanānāṃ KDarp_2.13a	kRtvA samastam divasam DanAnAm KDarp_2.13a
   kṛpaṇasyārthaniṣkṛpam KDarp_2.31b	kRpaNasya-arTa-nizkRpam KDarp_2.31b
   kṛpaṇaḥ prāṇarakṣāyai KDarp_5.41c	kRpaNaH prANa-rakzAyE KDarp_5.41c
   kṛpayā bāndhavastrībhiḥ KDarp_2.78c	kRpayA bAnDava-strIBiH KDarp_2.78c
   kṛśatāmeva kevalam KDarp_6.48d	kRSa-tAm-eva kevalam KDarp_6.48d
   kṛśaṃ tulyaguṇodaye KDarp_6.19b	kRSam tulya-guNa-udaye KDarp_6.19b
   kṛṣṇājinottarāsaṅgaṃ KDarp_3.131a	kRzNa-ajina-uttarAsaFgam KDarp_3.131a
   kṛṣyamāṇā tamavadat KDarp_3.89c	kRzyamANA tam-avadat KDarp_3.89c
   kena niṣkaruṇenedaṃ KDarp_2.90a	kena nizkaruNena-idam KDarp_2.90a
   kenāpi kāmatkuhakakrameṇa KDarp_7.64c	kena-api kAmatkuhaka-krameNa KDarp_7.64c
   kenonnataparibhraṣṭā KDarp_1.65c	kena-unnata-pariBrazwA KDarp_1.65c
   keśagraheṇaiva jarā janānāṃ KDarp_4.5c	keSa-graheNa-eva jarA janAnAm KDarp_4.5c
   kokilānāmajāyata KDarp_3.78d	kokilAnAm-ajAyata KDarp_3.78d
   kopanasya tapovanam KDarp_3.66b	kopanasya tapaH-vanam KDarp_3.66b
   kopaḥ prauḍhāgnipiṅgalam KDarp_3.114b	kopaH prOXA-agni-piFgalam KDarp_3.114b
   kopākulaṃ sparśavivarjanīyaṃ KDarp_7.14c	kopa-Akulam sparSa-vivarjanIyam KDarp_7.14c
   kopākulāḥ kāmukavṛttameva KDarp_7.54d	kopa-AkulAH kAmuka-vRttam-eva KDarp_7.54d
   kopāndolitakelipadmamadhupairmadhye 'ndhakāraṃ vyadhāt KDarp_4.25d	kopa-andolita-keli-padma-maDupEH-maDye anDakAram vyaDAt KDarp_4.25d
   kopena kāmena ca kṛṣyamāṇāḥ KDarp_7.26d	kopena kAmena ca kRzyamANAH KDarp_7.26d
   kopena śāpaśpuritādharāṇāṃ KDarp_7.4a	kopena SApa-Spurita-aDarANAm KDarp_7.4a
   kopotkaṭavyāghravidīryamāṇa- KDarp_7.53a	kopa-utkawa-vyAGra-vidIryamANa KDarp_7.53a
   kopopataptaṃ dhanarāgadigdhaṃ KDarp_7.2c	kopa-upataptam Dana-rAga-digDam KDarp_7.2c
   kopopavāsaniḥśvāsa- KDarp_2.55c	kopa-upavAsa-niHSvAsa KDarp_2.55c
   ko 'pyalakṣyakramaḥ kramaḥ KDarp_4.65b	kaH api-alakzya-kramaH kramaH KDarp_4.65b
   ko 'yaṃ kusumadhanvanaḥ KDarp_4.36b	kaH ayam kusumaDanvanaH KDarp_4.36b
   ko 'yaṃ te muniputraka KDarp_3.21d	kaH ayam te muni-putraka KDarp_3.21d
   ko 'yaṃ nṛṇāmasthirarūpadarpaḥ KDarp_4.1b	kaH ayam nRNAm-asTira-rUpa-darpaH KDarp_4.1b
   ko 'yaṃ vijātirviguṇaḥ kalāvān KDarp_7.62a	kaH ayam vijAtiH-viguNaH kalAvAn KDarp_7.62a
   ko vetti tadvidhaṃ ratnaṃ KDarp_4.38c	kaH vetti tadviDam ratnam KDarp_4.38c
   koṣe nidhānakumbheṣu KDarp_2.70c	koze niDAna-kumBezu KDarp_2.70c
   koṣṭhadvārāntavāsinī KDarp_2.76b	kozWa-dvAra-anta-vAsinI KDarp_2.76b
   kautukālokasāreva KDarp_4.47c	kOtuka-Aloka-sArA-iva KDarp_4.47c
   kriyate kālalīlayā KDarp_4.69d	kriyate kAla-lIlayA KDarp_4.69d
   kriyate mohaśāntaye KDarp_1.5d	kriyate moha-SAntaye KDarp_1.5d
   kriyate yā sabhāmadhye KDarp_3.30c	kriyate yA saBA-maDye KDarp_3.30c
   kriyāviśeṣaiḥ kṛtakāyaśoṣaiḥ KDarp_7.26b	kriyA-viSezEH kRta-kAya-SozEH KDarp_7.26b
   kruddhasya śāpena śilā babhūva KDarp_7.5b	krudDasya SApena SilA baBUva KDarp_7.5b
   krūrakrodhasaṭāmiva KDarp_3.114d	krUra-kroDa-sawAm-iva KDarp_3.114d
   krūrākāramabhāṣata KDarp_3.117b	krUra-AkAram-aBAzata KDarp_3.117b
   krūrāḥ paraṃ pallavapeśalāṅgyo KDarp_1.66c	krUrAH param pallava-peSala-aFgyaH KDarp_1.66c
   krodhāndhyena punaḥ pranaṣṭavimalāloke viveke cyute KDarp_3.150b	kroDa-AnDyena punar pranazwa-vimala-Aloke viveke cyute KDarp_3.150b
   krauryamevaṃvidhaṃ kṛtam KDarp_2.91d	krOryam-evaMviDam kRtam KDarp_2.91d
   klānto 'pi niśi nirvyathaḥ KDarp_6.45d	klAntaH api niSi nirvyaTaH KDarp_6.45d
   klāmyatkṛmikulairvṛtaḥ KDarp_2.80b	klAmyat-kRmi-kulEH-vRtaH KDarp_2.80b
   kliṣṭaḥ kaṣṭaṃ kadaryo 'yaṃ KDarp_2.107a	klizwaH kazwam kadaryaH ayam KDarp_2.107a
   kleśabhogāya jīvitam KDarp_2.88d	kleSa-BogAya jIvitam KDarp_2.88d
   kleśāvalagnāstanuśoṣamagnāḥ KDarp_7.22b	kleSa-avalagnAH-tanu-Soza-magnAH KDarp_7.22b
   kva vidyā viditāśeṣa- KDarp_3.99a	kva vidyA vidita-aSeza KDarp_3.99a
   kṣaṇakṣayanipātinā KDarp_3.126b	kzaNa-kzaya-nipAtinA KDarp_3.126b
   kṣaṇakṣayopayogena KDarp_2.48c	kzaNa-kzaya-upayogena KDarp_2.48c
   kṣaṇapākena kālasya KDarp_4.60c	kzaNa-pAkena kAlasya KDarp_4.60c
   kṣaṇarasikatālolaḥ sevāśritānavamanyate KDarp_1.57c	kzaNa-rasika-tA-lolaH sevA-ASritAn-avamanyate KDarp_1.57c
   kṣaṇaṃ naivocatuḥ kiṃcid KDarp_4.56c	kzaNam na-eva-UcatuH kiMcid KDarp_4.56c
   kṣaṇaṃ saṃmūrcchitaḥ prāpa KDarp_2.88c	kzaNam saMmUrcCitaH prApa KDarp_2.88c
   kṣaṇaṃ stimitatāṃ yayau KDarp_6.53d	kzaNam stimita-tAm yayO KDarp_6.53d
