   tṛtīya ucchvāsaḥ	tRtIyaH ucCvAsaH
   yācasva /	yAcasva /
   dadāmi te varamabhiraṣitam' iti /	dadAmi te varam-aBirazitam-a iti /
   vīrāṇāṃ tvapunaruktāḥ paropakārāḥ yato rājā tāṃ praṇamya svārthavimukho	vIrANAm tu-apunaruktAH para-upakArAH yatas rAjA tAm praNamya sva-arTa-vimuKaH-
   bhairavācāryasya siddhiṃ yayāce /	BErava-AcAryasya sidDim yayAce /
   lakṣmīstu devī prītatarahṛdayā vistīryamāṇena cakṣuṣā kṣīrodenevopari	lakzmIH-tu devI prItatara-hRdayA vistIryamANena cakzuzA kzIrodena-iva-upari
   paryastenābhiṣiñcantī bhūpālam "evamastu' ityabravīt /	paryastena-aBiziQcantI BUpAlam "evam-astu-a iti-abravIt /
   avādīcca punaḥ--"anena sattvotkarṣeṇa bhagavacchivabhaṭṭārakabhaktyā	avAdIt-ca punar---"anena sattva-utkarzeNa Bagavat-Siva-BawwAraka-BaktyA
   cāsādhāraṇayā bhavānbhuvi sūryācandramasostṛtīya ivāvicchinnasya	ca-asADAraNayA BavAn-Buvi sUryAcandramasoH-tRtIyaH iva-avicCinnasya
   pratidinamupacīyamānavṛddheḥ	pratidinam-upacIyamAna-vRdDeH
   śucisubhagamānyasatyatyāgaśauryaśauṇḍapuruṣaprakāṇḍaprāyasya mahato	Suci-suBaga-mAnya-satya-tyAga-SOrya-SONxa-puruza-prakANxa-prAyasya mahataH-
   rājavaṃśasya kartā bhaviṣyati /	rAja-vaMSasya kartA Bavizyati /
   yasminnutpatsyate sarvadvīpānāṃ bhoktā hariścandra iva harṣanāmā	yasmin=-utpatsyate sarva-dvIpAnAm BoktA hariScandraH iva harza-nAmA
   cakravartī tribhuvanavijigīṣurdvitīyo māndhāteva yasyāyaṃ karaḥ svayameva	cakravartI triBuvana-vijigIzuH-dvitIyaH mAnDAtA-iva yasya-ayam karaH svayam-eva
   kamalamapahāya grīhaṣyati cāmaram' iti vacaso 'nte tirobabhūva /	kamalam-apahAya grIhazyati cAmaram-a iti vacasaH ante tirobaBUva /
   bhūmipālastu tadākarṇya hṛdayenātimātramaprīyata /	BUmipAlaH-tu tat-AkarNya hRdayena-atimAtram-aprIyata /
   bhairavācāryo 'pi tasyā devyāstena vacasā karmaṇā ca samyagupapāditena	BErava-AcAryaH api tasyAH devyAH-tena vacasA karmaNA ca samyak-upapAditena
   sadya eva kuntalo kirīṭī kuṇḍalī hārī keyūrī mekhalī mudgarī khaḍhgī ca	sadyas eva kuntalaH kirIwI kuNxalI hArI keyUrI meKalI mudgarI KaXgI ca
   bhūtvāvāpa vidyādharatvam /	BUtvA-avApa vidyADara-tvam /
   provāca ca--"rājan! adūrvayāpinaḥ phalgucetasāmalasānāṃ manorathāḥ /	provAca ca--"rAjan! adUrva-yA-apinaH Palgu-cetasAm-alasAnAm manoraTAH /
   satāṃ tu bhuvi vistāravatyaḥ svabhāvenaivopakṛtayaḥ /	satAm tu Buvi vistAravatyaH svaBAvena-eva-upakRtayaH /
   svapne 'pyasaṃbāvitāṃ dātumimāṃ dakṣiṇāṃ kṣamaḥ ko 'nyo bhavantamapahāya /	svapne api-asaMbAvitAm dAtum-imAm dakziNAm kzamaH kaH anyaH Bavantam-apahAya /
   saṃpatkaṇikāmapi prāpya tuleva laghuprakṛtirunnatimāyāti /	saMpad-kaNikAm-api prApya tulA-iva laGu-prakRtiH-unnatim-AyAti /
   tvadoyairguṇairupakaraṇīkṛtasya tvatta eva ca labdhātmalābhasya nirlajjate	tvadoyEH-guNEH-upakaraNIkRtasya tvattaH eva ca labDa-Atma-lABasya nirlajjate
   yamasya mūḍhahṛdayasya /	yamasya mUXa-hRdayasya /
   tadicchāmi yena kenacitkāryalavopapādanopayogena smarayitumātmānam' iti /	tat-icCAmi yena kenacid-kArya-lava-upapAdana-upayogena smarayitum-AtmAnam-a iti /
   pratyupakāraduṣpraveśāstu bhavanti dhīrāṇāṃ hṛdayāvaṣṭambhāḥ /	pratyupakAra-duzpraveSAH-tu Bavanti DIrANAm hRdaya-avazwamBAH /
   yatastaṃ rājā "bhavatsiddhayaiva parisamāptakṛtyo 'smi /	yatas-tam rAjA "Bavat-sidDayA-eva parisamApta-kRtyaH asmi /
   sādhayatu mānyo yathāsamīhitaṃ sthānam' iti pratyācacakṣe /	sADayatu mAnyaH yaTAsamIhitam sTAnam-a iti pratyAcacakze /
   tathoktaśca bhūbhujā jigamiṣuḥ sudṛḍhaṃ samāliṅgya ṭīṭibhādīn	taTA-uktaH-ca BUBujA jigamizuH su-dRXam samAliFgya wIwiBa-AdIn
   kuvalayavanenevāśyāyaśīkarasrāviṇā sāsreṇa cakṣuṣā vokṣamāṇaḥ kṣitipatiṃ	kuvalaya-vanena-iva-ASyAya-SIkara-srAviNA sa-asreNa cakzuzA vA-ukzamANaH kzitipatim
   punaruvāca--"tāta! bravīmi yāmīti na snehasadṛśam /	punar-uvAca---"tAta! bravImi yAmi-iti na sneha-sadRSam /
   tvadīyāḥ prāṇā iti punaruktam /	tvadIyAH prANAH iti punaruktam /
   gṛhyatāmidaṃ śarīrakamiti vyatirekeṇārthakaraṇam /	gRhyatAm-idam SarIrakam-iti vyatirekeNa-arTa-karaNam /
   tilaśaḥ krītā vayamiti nopakārānurūpam /	tilaSas krItAH vayam-iti na-upakAra-anurUpam /
   bāndhavo 'sīti dūrīkaraṇamiva /	bAnDavaH asi-iti dUrIkaraNam-iva /
   tvayi sthitaṃ hṛdayamityapratyakṣam /	tvayi sTitam hRdayam-iti-apratyakzam /
   tvadvirahānukāriṇī kāraṇeyaṃ na sidvirityaśraddheyam /	tvad-viraha-anukAriNI kAraNA-iyam na sidviriti-aSradDeyam /
   niṣkāraṇastavopakāra ityanuvādaḥ /	nizkAraNaH-tava-upakAraH iti-anuvAdaH /
   smartavyā vayamityājñā /	smartavyAH vayam-iti-AjQA /
   sarvathā kṛtaghnālāpeṣvasajjanakathāsu ca cetasi kartavyo 'yaṃ	sarvaTA kRtaGna-AlApezu-asat-jana-kaTAsu ca cetasi kartavyaH ayam
   svārthaniṣṭhuro janaḥ' ityabhidhāya	sva-arTa-nizWuraH janaH-a iti-aBiDAya
   vegacchinnahārocchalitamuktāphalanikaratāḍitatārāgaṇaṃ gaganatalamutpapāta	vega=-Cinna-hAra-ucCalita-muktAPala-nikara-tAxita-tArA-gaNam gagana-talam-utpapAta
   yayau ca sīmantitagrahagrāmaḥ siddhyucitaṃ dhāma /	yayO ca sImantita-graha-grAmaH sidDi-ucitam DAma /
   śrīkaṇṭho 'pi--"rājan! parākramakrītaḥ kartavyeṣu niyogenānugrāhyo	SrIkaNWaH api---"rAjan! parAkrama-krItaH kartavyezu niyogena-anugrAhyaH-
   grāhitavinayo 'yaṃ janaḥ' ityabhidhāya rājānumoditastadeva bhūyo	grAhita-vinayaH ayam janaH-a iti-aBiDAya rAja-anumoditaH-tat-eva BUyo
   bhūvivaraṃ viveśa /	BU-vivaram viveSa /
   narapatistu kṣīṇabhūyiṣṭhāyāṃ kṣapāyāṃ, pravātumārabdhe	narapatiH-tu kzINa-BUyizWAyAm kzapAyAn, pravAtum-ArabDe
   prabudhyamānakamalinīniḥśvāsasurabhau,	prabuDyamAna-kamalinI-niHSvAsa-suraBO,
   vanadevatākucāṃśukāpaharaṇaparihāsasvedinīva sāvaśyāyaśīkare	vana-devatA-kuca-aMSuka-apaharaNa-parihAsa-svedinI-iva sa-avaSyAya-SIkare
   parimalākṛṣṭamadhukṛti kumudanidrāvāhini niśāpariṇatijaḍe tuṣāraleśini	parimala-AkRzwa-maDukRti kumuda-nidrA-vAhini niSA-pariNati-jaxe tuzAra-leSini
   vanānile,	vana-anile,
   virahavidhuracakravākacakraniḥśvasitasaṃtāpitāyāmivāparajalanidhimavatarantyāṃ	viraha-viDura-cakravAka-cakra-niHSvasita-saMtApitAyAm-iva-apara-jalaniDim-avatarantyAm
   triyāmāyāṃ, sākṣādāgatalakṣmīvilokanakutūhalinīṣviva samunmīlantīṣu	triyAmAyAM, sAkzAt-Agata-lakzmI-vilokana-kutUhalinIzu-iva samunmIlantIzu
   nalinīṣu, unnidrapakṣiṇi kṣarati kusumavisaramiva tuhinakaṇanikaraṃ	nalinIzu, unnidra-pakziNi kzarati kusuma-visaram-iva tuhina-kaNa-nikaram
   mṛdupavanalāsitalate kānane, kamalalakṣmīprabodhamaṅgalaśaṅkheṣviva	mRdu-pavana-lAsita-late kAnane, kamala-lakzmI-praboDa-maFgala-SaFKezu-iva
   rasatsvantarbaddhadhvananmadhukareṣu makulāyamāneṣu kumudeṣu,	rasatsu-antar-badDa-Dvanan-maDukarezu makulAyamAnezu kumudezu,
   ujjihānaravirathavājivisṛṣṭaiḥ prothapaṭupavanaiḥ protsāyamāṇāsviva	ujjihAna-ra-viraTa-vAji-visRzwEH proTa-pawu-pavanEH protsAyamANAsu-iva
   vāruṇyāṃ kakubhi puñjībhavantīṣu śyāmālatākalikāsu tārakāsu,	vAruNyAm kakuBi puQjIBavantIzu SyAmA-latA-kalikAsu tArakAsu,
   mandaraśikharāśrayiṇi mandānilalulitakalpalatāvanakusumadhūlivicchurita	mandara-SiKara-ASrayiNi manda-anila-lulita-kalpa-latA-vana-kusuma-DUli-vicCurita
   iva dhūsarībhavati saptarṣimaṇḍale, suravāraṇāṅkuśa iva cyute galati	iva DUsarIBavati saptarzi-maNxale, sura-vAraNa-aFkuSaH iva cyute galati
   tārāmaye mṛge trīnapi ṭīṭibhādīn gṛhītvā nāgayuddhavyatikaramalīmasāni	tArA-maye mRge trIn-api wIwiBa-AdIn gRhItvA nAga-yudDa-vyatikara-malImasAni
   śucini vanavāpīpayasi prakṣālyāṅgāni nagaraṃ viveśa /	Sucini vana-vApI-payasi prakzAlya-aFgAni nagaram viveSa /
   anyasminnahani teṣāmātmaśarīrānantaraṃ snānabhojanācchādanādinā	anyasmin=-ahani tezAm-Atma-SarIra-anantaram snAna-Bojana-AcCAdana-AdinA
   prītikamarot /	prIti-kamarot /
   katipayadivasāpagame ca piravrāḍ bhūbhujā vāryamāṇo 'pi vanaṃ yayau /	katipaya-divasa-apagame ca piravrAj BUBujA vAryamANaH api vanam yayO /
   pātālasvāmikarṇatālau tu śauryānuraktau tameva siṣevāte /	pAtAla-svAmi-karNa-tAlO tu SOrya-anuraktO tam-eva sizevAte /
   saṃpāditamanorathātiriktavibhavau ca subhaṭamaṇḍalamadhye	saMpAdita-manoraTa-atirikta-viBavO ca su-Bawa-maNxala-maDye
   niṣkṛṣṭamaṇḍalāgrau samaramukheṣu prathamamupayujyamānau kathāntareṣu	nizkRzwa-maNxala-agrO samara-muKezu praTamam-upayujyamAnO kaTA-antarezu
   cāntarāntarā samādiṣṭo vicitrāṇi bhairavācāryacaritāni śaiśavavṛttāntāṃśca	ca-antarA-antarA samAdizwaH vicitrANi BErava-AcArya-caritAni SESava-vRttAntAn=-ca
   kathayantau tenaiva sārdhaṃ jarāmājagmaturiti /	kaTayantO tena-eva sArDam jarAm-AjagmatuH-iti /
   iti mahākaviśrībāṇabhaṭṭakṛte harṣacarite rājadarśanaṃ nāma dṛtīya	iti mahA-kavi-SrI-bANa-Bawwa-kRte harza-carite rAjadarSanam nAma dRtIya
   ucchvāsaḥ	ucCvAsaH
