   vāyavīyasaṃhitā	vAyavIya saMhitA
   munīnāṃ ṣaṭkulīyānāṃ bruvatāmitaretaram // ŚivP_7.1,2.2cd/	munInAm zawkulIyAnAm bruvatAm itaretaram // ŚivS _7.1,2.2cd/
   idaṃ paramidaṃ neti vivādassumahānabhūt // ŚivP_7.1,2.3ab/	idam param idam na iti vivAdassu mahAn aBUt // ŚivS _7.1,2.3ab/
   parasya durnirūpatvānna jātastatra niścayaḥ // ŚivP_7.1,2.3cd/	parasya durnirUpa tvAt na jAtaH tatra niScayaH // Śivj _7.1,2.3cd/
   te 'bhijagmurvidhātāraṃ draṣṭuṃ brahmāṇamavyayam // ŚivP_7.1,2.4ab/	te aBijagmuH viDAtAram drazwum brahmANam avyayam // ŚivS _7.1,2.4ab/
   yatrāste bhagavān brahmā stūyamānassurāsuraiḥ // ŚivP_7.1,2.4cd/	yatra Aste BagavAn brahmA stUyamAna ssura asurEH // Śivj _7.1,2.4cd/
   meruśṛṃge śubhe ramye devadānavasaṃkule // ŚivP_7.1,2.5ab/	meru SRMge SuBe ramye deva dAnava saMkule // ŚivS _7.1,2.5ab/
   siddhacāraṇasaṃvāde yakṣagaṃdharvasevite // ŚivP_7.1,2.5cd/	sidDa cAraNa saMvAde yakza gaMDarva sevite // Śivj _7.1,2.5cd/
   vihaṃgasaṃghasaṃghuṣṭe maṇividrumabhūṣite // ŚivP_7.1,2.6ab/	vihaMga saMGa saMGuzwe maNi vidruma BUzite // ŚivS _7.1,2.6ab/
   nikuṃjakaṃdaradarīgṛhānirjharaśobhite // ŚivP_7.1,2.6cd/	nikuMja kaMdara darI gRhA nirJara SoBite // Śivj _7.1,2.6cd/
   tatra brahmavanaṃ nāma nānāmṛgasamākulam // ŚivP_7.1,2.7ab/	tatra brahmavanam nAma nAnA mRga samAkulam // ŚivS _7.1,2.7ab/
   daśayojanavistīrṇaṃ śatayojanamāyatam // ŚivP_7.1,2.7cd/	daSa yojana vistIrNam Sata yojanam Ayatam // Śivj _7.1,2.7cd/
   surasāmalapānīyapūrṇaramyasarovaram // ŚivP_7.1,2.8ab/	surasA amala pAnIya pUrNa ramya sarovaram // ŚivS _7.1,2.8ab/
   mattabhramarasaṃchannaramyapuṣpitapādapam // ŚivP_7.1,2.8cd/	matta Bramara saMCanna ramya puzpita pAdapam // Śivj _7.1,2.8cd/
   taruṇādityasaṃkāśaṃ tatra cāru mahatpuram // ŚivP_7.1,2.9ab/	taruNa Aditya saMkASam tatra cAru mahat puram // ŚivS _7.1,2.9ab/
   durdharṣabaladṛptānāṃ daityadānavarakṣasām // ŚivP_7.1,2.9cd/	durDarza bala dRptAnAm dEtya dAnava rakzasAm // Śivj _7.1,2.9cd/
   taptajāṃbūnadamayaṃ prāṃśuprākāratoraṇam // ŚivP_7.1,2.10ab/	tapta jAMbUnada mayam prAMSu prAkAra toraNam // ŚivS _7.1,2.10ab/
   nirvyūhavalabhīkūṭapratolīśatamaṃḍitam // ŚivP_7.1,2.10cd/	nirvyUha valaBI kUwa pratolI Satam aMxitam // ŚivS _7.1,2.10cd/
   mahārhamaṇicitrābhirlelihānamivāṃbaram // ŚivP_7.1,2.11ab/	mahArha maNi citrABiH lelihAnam iva aMbaram // ŚivS _7.1,2.11ab/
   mahābhavanakoṭībhiranekābhiralaṃkṛtam // ŚivP_7.1,2.11cd/	mahA Bavana kowIBiH anekABiH alaMkRtam // ŚivS _7.1,2.11cd/
   tasminnivasati brahmā sabhyaiḥ sārdhaṃ prajāpatiḥ // ŚivP_7.1,2.12ab/	tasmin nivasati brahmA saByEH sArDam prajApatiH // ŚivS _7.1,2.12ab/
   tatra gatvā mahātmānaṃ sākṣāllokapitāmaham // ŚivP_7.1,2.12cd/	tatra gatvA mahAtmAnam sAkzAt lokapitAmaham // Śivj _7.1,2.12cd/
   daddaśurmunayo devā devarṣigaṇasevitam // ŚivP_7.1,2.13ab/	daddaSuH munayaH devAH deva Rzi gaNa sevitam // ŚivS _7.1,2.13ab/
   śuddhacāmīkaraprakhyaṃ sarvābharaṇabhūṣitam // ŚivP_7.1,2.13cd/	SudDa cAmIkara praKyam sarva ABaraNa BUzitam // ŚivS _7.1,2.13cd/
   prasannavadanaṃ saumyaṃ padmapatrāyatekṣaṇam // ŚivP_7.1,2.14ab/	prasanna vadanam sOmyam padma patra Ayata IkzaNam // ŚivS _7.1,2.14ab/
   divyakāṃtisamāyuktaṃ divyagaṃdhānulepanam // ŚivP_7.1,2.14cd/	divya kAMti samAyuktam divya gaMDa anulepanam // ŚivS _7.1,2.14cd/
   divyaśuklāṃbaradharaṃ divyamālāvibhūṣitam // ŚivP_7.1,2.15ab/	divya Sukla aMbara Daram divya mAlA viBUzitam // ŚivS _7.1,2.15ab/
   surāsurendrayogīṃdravaṃdyamānapadāṃbujam // ŚivP_7.1,2.15cd/	sura asura indra yogIMdravaMdyamAna pada aMbujam // ŚivS _7.1,2.15cd/
   sarvalakṣaṇayuktāṃgyā labdhacāmarahastayā // ŚivP_7.1,2.16ab/	sarva lakzaNa yukta aMgyAH labDa cAmara hastayA // ŚivS _7.1,2.16ab/
   bhrājamānaṃ sarasvatyā prabhayeva divākaram // ŚivP_7.1,2.16cd/	BrAjamAnam sarasvatyA praBayA iva divAkaram // ŚivS _7.1,2.16cd/
   taṃ dṛṣṭvā munayassarve prasannavadanekṣaṇāḥ // ŚivP_7.1,2.17ab/	tam dRzwvA munayassarve prasanna vadana IkzaNAH // ŚivS _7.1,2.17ab/
   śirasyaṃjalimādhāya tuṣṭuvussurapuṃgavam // ŚivP_7.1,2.17cd/	Sirasi aMjalim ADAya tuzwu vussura puMgavam // ŚivS _7.1,2.17cd/
   munaya ūcuḥ	munayaH UcuH
   namastrimūrtaye tubhyaṃ sargasthityaṃtahetave // ŚivP_7.1,2.18ab/	namaH trimUrtaye tuByam sarga sTiti aMta hetave // ŚivS _7.1,2.18ab/
   puruṣāya purāṇāya brahmaṇe paramātmane // ŚivP_7.1,2.18cd/	puruzAya purANAya brahmaNe paramAtmane // ŚivS _7.1,2.18cd/
   namaḥ pradhānadehāya pradhānakṣobhakāriṇe // ŚivP_7.1,2.19ab/	namaH praDAna dehAya praDAna kzoBa kAriNe // ŚivS _7.1,2.19ab/
   trayoviṃśatibhedena vikṛtāyāvikāriṇe // ŚivP_7.1,2.19cd/	trayoviMSati Bedena vikRtAya avikAriNe // ŚivS _7.1,2.19cd/
   namo brahmāṇḍadehāya brahmāṃḍodaravartine // ŚivP_7.1,2.20ab/	namaH brahmANxa dehAya brahma aMxodara vartine // ŚivS _7.1,2.20ab/
   tatra saṃsiddhakāryāya saṃsiddhakaraṇāya ca // ŚivP_7.1,2.20cd/	tatra saMsidDa kAryAya saMsidDa karaNAya ca // ŚivS _7.1,2.20cd/
   namostu sarvalokāya sarvalokavidhāyine // ŚivP_7.1,2.21ab/	namoH tu sarva lokAya sarva loka viDAyine // ŚivS _7.1,2.21ab/
   sarvātmadehasaṃyoga viyogavidhihetave // ŚivP_7.1,2.21cd/	sarva Atma deha saMyoga viyoga viDi hetave // ŚivS _7.1,2.21cd/
   tvayaiva nikhilaṃ sṛṣṭaṃ saṃhṛtaṃ pālitaṃ jagat // ŚivP_7.1,2.22ab/	tvayA eva niKilam sRzwam saMhRtam pAlitam jagat // ŚivS _7.1,2.22ab/
   tathāpi māyayā nātha na vidmastvāṃ pitāmaha // ŚivP_7.1,2.22cd/	taTA api mAyayA nATa na vidmaH tvAm pitAmahaH // ŚivS _7.1,2.22cd/
   sūta uvāca	sUtaH uvAca
   evaṃ brahmā mahābhāgairmaharṣibhirabhiṣṭutaḥ // ŚivP_7.1,2.23ab/	evam brahmA mahABAgEH mahA RziBiH aBizwutaH // ŚivS _7.1,2.23ab/
   prāha gaṃbhīrayā vācā munīn prahlādayanniva // ŚivP_7.1,2.23cd/	prAha gaMBIrayA vAcA munIn prahlAdayan= iva // ŚivS _7.1,2.23cd/
   brahmovāca	brahmA uvAca
   ṛṣayo he mahābhāgā mahāsattvā mahaujasaḥ // ŚivP_7.1,2.24ab/	RzayaH he mahABAgAH mahAsattvAH mahA ojasaH // ŚivS _7.1,2.24ab/
   kimarthaṃ sahitāssarve yūyamatra samāgatāḥ // ŚivP_7.1,2.24cd/	kimarTam sahitAH sarve yUyam atra samAgatAH // ŚivS _7.1,2.24cd/
   tamevaṃvādinaṃ devaṃ brahmāṇaṃ brahmavittamāḥ // ŚivP_7.1,2.25ab/	tam evaMvAdinam devam brahmANam brahma vittamAH // ŚivS _7.1,2.25ab/
   vāgbhirvinayagarbhābhissarve prāṃjalayo 'bruvan // ŚivP_7.1,2.25cd/	vAgBiH vinaya garBa aBissarve prAMjalayaH abruvan // ŚivS _7.1,2.25cd/
   munaya ūcuḥ	munayaH UcuH
   bhagavannaṃdhakāreṇa mahatā vayamāvṛtāḥ // ŚivP_7.1,2.26ab/	Bagavat = aMDakAreNa mahatA vayam AvRtAH // ŚivS _7.1,2.26ab/
   khinnā vivadamānāśca na paśyāmo 'tra yatparam // ŚivP_7.1,2.26cd/	KinnAH vivadamAnAH ca na paSyAmaH atra yat param // ŚivS _7.1,2.26cd/
   tvaṃ hi sarvajagaddhātā sarvakāraṇakāraṇam // ŚivP_7.1,2.27ab/	tvam hi sarva jagat DAtA sarva kAraNa kAraNam // ŚivS _7.1,2.27ab/
   tvayā hyaviditaṃ nātha neha kiṃcana vidyate // ŚivP_7.1,2.27cd/	tvayA hi aviditam nATa na iha kiMcana vidyate // ŚivS _7.1,2.27cd/
   kaḥ pumān sarvasattvebhyaḥ purāṇaḥ puruṣaḥ paraḥ // ŚivP_7.1,2.28ab/	kaH pumAn sarva sattveByaH purANaH puruzaH paraH // ŚivS _7.1,2.28ab/
   viśuddhaḥ paripūrṇaśca śāśvataḥ parameśvaraḥ // ŚivP_7.1,2.28cd/	viSudDaH paripUrNaH ca SASvataH parameSvaraH // ŚivS _7.1,2.28cd/
   kenaiva citrakṛtyena prathamaṃ sṛjyate jagat // ŚivP_7.1,2.29ab/	kena eva citra kRtyena praTamam sRjyate jagat // ŚivS _7.1,2.29ab/
   tattvaṃ vada mahāprājña svasaṃdehāpanuttaye // ŚivP_7.1,2.29cd/	tattvam vada mahA prAjQa sva saMdeha apanuttaye // ŚivS _7.1,2.29cd/
   evaṃ pṛṣṭastadā brahmā vismayasmeravīkṣaṇaḥ // ŚivP_7.1,2.30ab/	evam pRzwaH tadA brahmA vismaya smera vIkzaNaH // ŚivS _7.1,2.30ab/
   devānāṃ dānavānāṃ ca munīnāmapi sannidhau // ŚivP_7.1,2.30cd/	devAnAm dAnavAnAm ca munInAm api sanniDO // ŚivS _7.1,2.30cd/
   utthāya suciraṃ dhyātvā rudra ityuddharan girim // ŚivP_7.1,2.31ab/	utTAya su ciram DyAtvA rudraH iti udDaran girim // ŚivS _7.1,2.31ab/
   ānaṃdaklinnasarvāṃgaḥ kṛtāṃjalirabhāṣata // ŚivP_7.1,2.31cd/	AnaMda klinna sarva aMgaH kRta aMjaliH aBAzata // ŚivS _7.1,2.31cd/
   iti śrīśivamahāpurāṇe saptamyāṃ vāyavīyasaṃhitāyāṃ pūrvakhaṇḍe	iti SrI Siva mahApurANe saptamyAm vAyavIya saMhitAyAm pUrva KaNxe
   muniprastāvavarṇanaṃ nāma dvitīyo 'dhyāyaḥ	muniprastAvavarNanam nAma dvitIyaH aDyAyaH
   Chapter 3	ChapteH 3
   brahamovāca	brahamA uvAca
   yato vāco nivartaṃte aprāpya manasā saha // ŚivP_7.1,3.1ab/	yatas vAcaH nivartaMte aprApya manasA saha // ŚivS _7.1,3.1ab/
   ānaṃdaṃ yasya vai vidvānna bibheti kutaścana // ŚivP_7.1,3.1cd/	AnaMdam yasya vE vidvAn na biBeti kutaScanaH // ŚivS _7.1,3.1cd/
   yasmātsarvamidaṃ brahmaviṣṇurudrendrapūrvakam // ŚivP_7.1,3.2ab/	yasmAt sarvam idam brahma vizNu rudra indra pUrvakam // ŚivS _7.1,3.2ab/
   saha bhūtendriyaiḥ sarvaiḥ prathamaṃ saṃprasūyate // ŚivP_7.1,3.2cd/	saha BUta indriyEH sarvEH praTamam saMprasUyate // ŚivS _7.1,3.2cd/
   kāraṇānāṃ ca yo dhātā dhyātā paramakāraṇam // ŚivP_7.1,3.3ab/	kAraNAnAm ca yaH DAtA DyAtA parama kAraNam // ŚivS _7.1,3.3ab/
   na saṃprasūyate 'nyasmātkutaścana kadācana // ŚivP_7.1,3.3cd/	na saMprasUyate anyasmAt kutaScana kadAcana // Śivj _7.1,3.3cd/
   sarvaiśvaryeṇa saṃpanno nāmnā sarveśvaraḥ svayam // ŚivP_7.1,3.4ab/	sarva ESvaryeNa saMpannaH nAmnA sarva ISvaraH svayam // ŚivS _7.1,3.4ab/
   sarvairmumukṣubhirdhyeyaśśaṃbhurākāśamadhyagaḥ // ŚivP_7.1,3.4cd/	sarvEH mumukzuBiH DyeyaH SaMBuH AkASa maDya gaH // ŚivS _7.1,3.4cd/
   yo 'gre māṃ vidadhe putraṃ jñānaṃ ca prahiṇoti me // ŚivP_7.1,3.5ab/	yaH agre mAm vidaDe putram jQAnam ca prahiNoti me // ŚivS _7.1,3.5ab/
   tatprasādānmayālabdhaṃ prājāpatyamidaṃ padam // ŚivP_7.1,3.5cd/	tad prasAdAt mayA alabDam prAjApatyam idam padam // Śivj _7.1,3.5cd/
   īśo vṛkṣa iva stabdho ya eko divi tiṣṭhati // ŚivP_7.1,3.6ab/	ISaH vRkzaH iva stabDaH yaH ekaH divi tizWati // ŚivS _7.1,3.6ab/
   yenedamakhilaṃ pūrṇaṃ puruṣeṇa mahātmanā // ŚivP_7.1,3.6cd/	yena idam aKilam pUrNam puruzeNa mahAtmanA // Śivj _7.1,3.6cd/
   504a	504a
   eko bahūnāṃ jaṃtūnāṃ niṣkriyāṇāṃ ca sakriyaḥ // ŚivP_7.1,3.7ab/	ekaH bahUnAm jaMtUnAm nizkriyANAm ca sa kriyaH // ŚivS _7.1,3.7ab/
   ya eko bahudhā bījaṃ karoti sa maheśvaraḥ // ŚivP_7.1,3.7cd/	yaH ekaH bahuDA bIjam karoti sa maheSvaraH // Śivj _7.1,3.7cd/
   jīvairebhirimāṃllokānsarvānīśo ya īśate 1 // ŚivP_7.1,3.8ab/	jIvEH eBiH imAn= lokAn sarvAn ISaH yaH ISate 1 // ŚivS _7.1,3.8ab/
   ya eko bhāgavānrudro na dvitīyo 'sti kaścana // ŚivP_7.1,3.8cd/	yaH ekaH BAgavAn rudraH na dvitIyaH asti kaScana // Śivj _7.1,3.8cd/
   sadā janānāṃ hṛdaye saṃniviṣṭo 'pi yaḥ paraiḥ // ŚivP_7.1,3.9ab/	sadA janAnAm hRdaye saMnivizwaH api yaH parEH // ŚivS _7.1,3.9ab/
   alakṣyo lakṣayanviśvamadhitiṣṭhati sarvadā // ŚivP_7.1,3.9cd/	alakzyaH lakzayan viSvam aDitizWati sarvadA // Śivj _7.1,3.9cd/
   yastu kālātpramuktāni kāraṇānyakhilānyapi // ŚivP_7.1,3.10ab/	yaH tu kAlAt pramuktAni kAraNAni aKilAni api // ŚivS _7.1,3.10ab/
   anantaśaktirevaiko bhagavānadhitiṣṭhati // ŚivP_7.1,3.10cd/	ananta SaktiH eva ekaH BagavAn aDitizWati // ŚivS _7.1,3.10cd/
   na yasya divaso rātrirna samāno na cādhikaḥ // ŚivP_7.1,3.11ab/	na yasya divasaH rAtriH na samAnaH na ca aDikaH // ŚivS _7.1,3.11ab/
   svabhāvikī parāśaktirnityā jñānakriye api // ŚivP_7.1,3.11cd/	sva BAvikI parASaktiH nityAH jQAna kriye api // ŚivS _7.1,3.11cd/
   yadidaṃ kṣaramavyaktaṃ yadapyamṛtamakṣaram // ŚivP_7.1,3.12ab/	yat idam kzaram avyaktam yat api amRtam akzaram // ŚivS _7.1,3.12ab/
   tāvubhāvakṣarātmānāveko devaḥ svayaṃ haraḥ // ŚivP_7.1,3.12cd/	tO= uBO= akzara AtmAnO= ekaH devaH svayam haraH // ŚivS _7.1,3.12cd/
   īśate tadabhidhyānādyojanāsattvabhāvanaḥ // ŚivP_7.1,3.13ab/	ISate tad aBiDyAnAt yojana asattva BAvanaH // ŚivS _7.1,3.13ab/
   bhūyo hyasya paśorante viśvamāyā nivartate // ŚivP_7.1,3.13cd/	BUyas hi asya paSoH ante viSva mAyA nivartate // ŚivS _7.1,3.13cd/
   yasminna bhāsate vidyunna sūryo na ca candramāḥ // ŚivP_7.1,3.14ab/	yasmin na BAsate vidyut na sUryaH na ca candramAH // ŚivS _7.1,3.14ab/
   yasya bhāsā vibhātīdamityeṣā śāśvatī śrutiḥ // ŚivP_7.1,3.14cd/	yasya BAsA viBAti idam iti ezA SASvatI SrutiH // ŚivS _7.1,3.14cd/
   eko devo mahādevo vijñeyastu maheśvaraḥ // ŚivP_7.1,3.15ab/	ekaH devaH mahAdevaH vijQeyaH tu maheSvaraH // ŚivS _7.1,3.15ab/
   na tasya paramaṃ kiṃcitpadaṃ samadhigamyate // ŚivP_7.1,3.15cd/	na tasya paramam kiMcid padam samaDigamyate // ŚivS _7.1,3.15cd/
   ayamādiranādyantassvabhāvādeva nirmalaḥ // ŚivP_7.1,3.16ab/	ayam AdiH anAdi antassvaBAvAt eva nirmalaH // ŚivS _7.1,3.16ab/
   svatantraḥ paripūrṇaśca svecchādhīnaścarācaraḥ // ŚivP_7.1,3.16cd/	svatantraH paripUrNaH ca sva icCA aDInaH carAcaraH // ŚivS _7.1,3.16cd/
   aprākṛtavapuḥ śrīmāṃllakṣyalakṣaṇavarjitaḥ // ŚivP_7.1,3.17ab/	aprAkRta vapuH SrImAn= lakzya lakzaNa varjitaH // ŚivS _7.1,3.17ab/
   ayaṃ mukto mocakaśca hyakālaḥ kālacodakaḥ // ŚivP_7.1,3.17cd/	ayam muktaH mocakaH ca hi akAlaH kAlacodakaH // ŚivS _7.1,3.17cd/
   sarvoparikṛtāvāsassarvāvāsaśca sarvavit // ŚivP_7.1,3.18ab/	sarva upari kRta AvAsassarva AvAsaH ca sarva vid // ŚivS _7.1,3.18ab/
   ṣaḍvidhādhvamayasyāsya sarvasya jagataḥ patiḥ // ŚivP_7.1,3.18cd/	zaxviDa aDva mayasya asya sarvasya jagataH patiH // ŚivS _7.1,3.18cd/
   uttarottarabhūtānāmuttaraśca niruttaraḥ // ŚivP_7.1,3.19ab/	uttara uttara BUtAnAm uttaraH ca niruttaraH // ŚivS _7.1,3.19ab/
   anantānantasandohamakaraṃdamadhuvrataḥ // ŚivP_7.1,3.19cd/	ananta ananta sandoham akaraMda maDu vrataH // ŚivS _7.1,3.19cd/
   akhaṃḍajagadaṃḍānāṃ piṃḍīkaraṇapaṃḍitaḥ // ŚivP_7.1,3.20ab/	aKaMxa jagat aMxAnAm piMxIkaraNa paMxitaH // ŚivS _7.1,3.20ab/
   audāryavīryagāṃbhīryamādhuryamakarālayaḥ // ŚivP_7.1,3.20cd/	OdArya vIrya gAMBIrya mADurya makara AlayaH // ŚivS _7.1,3.20cd/
   naivāsya sadṛśaṃ vastu nādhikaṃ cāpi kiṃcana // ŚivP_7.1,3.21ab/	na eva asya sadRSam vastu na aDikam ca api kiMcana // ŚivS _7.1,3.21ab/
   atulaḥ sarvabhūtānāṃ rājarājaśca tiṣṭhati // ŚivP_7.1,3.21cd/	atulaH sarva BUtAnAm rAjarAjaH ca tizWati // ŚivS _7.1,3.21cd/
   anena citrakṛtyena prathamaṃ sṛjyate jagat // ŚivP_7.1,3.22ab/	anena citra kRtyena praTamam sRjyate jagat // ŚivS _7.1,3.22ab/
   aṃtakāle punaścedaṃ tasminpralayameṣyate // ŚivP_7.1,3.22cd/	aMtakAle punar ca idam tasmin pralayam ezyate // ŚivS _7.1,3.22cd/
   asya bhūtāni vaśyāni ayaṃ sarvaniyojakaḥ // ŚivP_7.1,3.23ab/	asya BUtAni vaSyAni ayam sarva niyojakaH // ŚivS _7.1,3.23ab/
   ayaṃ tu parayā bhaktyā dṛśyate nānyathā kvacit // ŚivP_7.1,3.23cd/	ayam tu parayA BaktyA dRSyate na anyaTA kvacid // ŚivS _7.1,3.23cd/
   vratāni sarvadānāni tapāṃsi niyamāstathā // ŚivP_7.1,3.24ab/	vratAni sarva dAnAni tapAMsi niyamAH taTA // ŚivS _7.1,3.24ab/
   kathitāni purā sadbhirbhāvārthaṃ nātra saṃśayaḥ // ŚivP_7.1,3.24cd/	kaTitAni purA sadBiH BAva arTam na atra saMSayaH // ŚivS _7.1,3.24cd/
   hariścāhaṃ ca rudraśca tathānye ca surāsurāḥ // ŚivP_7.1,3.25ab/	hariH ca aham ca rudraH ca taTA anye ca sura asurAH // ŚivS _7.1,3.25ab/
   tapobhirugrairadyāpi tasya darśanakāṃkṣiṇaḥ // ŚivP_7.1,3.25cd/	tapoBiH ugrEH adya api tasya darSana kAMkziNaH // ŚivS _7.1,3.25cd/
   adṛśyaḥ patitairmūḍhairdurjanairapi kutsitaiḥ // ŚivP_7.1,3.26ab/	adRSyaH patitEH mUXEH durjanEH api kutsitEH // ŚivS _7.1,3.26ab/
   bhaktairantarbahiścāpi pūjyaḥ saṃbhāṣya eva ca // ŚivP_7.1,3.26cd/	BaktEH antar bahis ca api pUjyaH saMBAzyaH eva ca // ŚivS _7.1,3.26cd/
   tadidaṃ trividhaṃ rūpaṃ sthūlaṃ sūkṣmaṃ tataḥ param // ŚivP_7.1,3.27ab/	tat idam triviDam rUpam sTUlam sUkzmam tatas param // ŚivS _7.1,3.27ab/
   asmadādyamarairdṛśyaṃ sthūlaṃ sūkṣmaṃ tu yogibhiḥ // ŚivP_7.1,3.27cd/	asmad Adi amarEH dRSyam sTUlam sUkzmam tu yogiBiH // ŚivS _7.1,3.27cd/
   1 śapo lugabhāva ārṣa	1 SapaH luga BAvaH Arza
   504b	504b
   tataḥ paraṃ tu yannityaṃ jñānamānaṃdamavyayam // ŚivP_7.1,3.28ab/	tatas param tu yat nityam jQAna mAnaMdam avyayam // ŚivS _7.1,3.28ab/
   tanniṣṭhaistatparairbhaktairdṛśyaṃ tadvratamāśritaiḥ // ŚivP_7.1,3.28cd/	tad nizWEH tad parEH BaktEH dRSyam tad vratam ASritEH // ŚivS _7.1,3.28cd/
   bahunātra kimuktena guhyādguhyataraṃ param // ŚivP_7.1,3.29ab/	bahunA atra kim uktena guhyAt guhyataram param // ŚivS _7.1,3.29ab/
   śive bhaktirna sandehastayā yukto vimucyate // ŚivP_7.1,3.29cd/	Sive BaktiH na sandehaH tayA yuktaH vimucyate // ŚivS _7.1,3.29cd/
   prasādādeva sā bhaktiḥ prasādo bhaktisaṃbhavaḥ // ŚivP_7.1,3.30ab/	prasAdAt eva sA BaktiH prasAdaH Bakti saMBavaH // ŚivS _7.1,3.30ab/
   yathā cāṃkurato bījaṃ bījato vā yathāṃkuraḥ // ŚivP_7.1,3.30cd/	yaTA ca aMkurataH bIjam bIjataH vA yaTA aMkuraH // ŚivS _7.1,3.30cd/
   prasādapūrvikā eva paśossarvatra siddhayaḥ // ŚivP_7.1,3.31ab/	prasAda pUrvikAH eva paSossarvatra sidDayaH // ŚivS _7.1,3.31ab/
   sa eva sādhanairante sarvairapi ca sādhyate // ŚivP_7.1,3.31cd/	saH eva sADanEH ante sarvEH api ca sADyate // ŚivS _7.1,3.31cd/
   prasādasādhanaṃ dharmassa ca vedena darśitaḥ // ŚivP_7.1,3.32ab/	prasAda sADanam Darmassa ca vedena darSitaH // ŚivS _7.1,3.32ab/
   tadabhyāsavaśātsāmyaṃ pūrvayoḥ puṇyapāpayoḥ // ŚivP_7.1,3.32cd/	tad aByAsa vaSAt sAmyam pUrvayoH puNya pApayoH // ŚivS _7.1,3.32cd/
   sāmyātprasādasaṃparko dharmasyātiśayastataḥ // ŚivP_7.1,3.33ab/	sAmyAt prasAda saMparkaH Darmasya atiSayaH tatas // ŚivS _7.1,3.33ab/
   dharmātiśayamāsādya paśoḥ pāpaparikṣayaḥ // ŚivP_7.1,3.33cd/	Darma atiSayam AsAdya paSoH pApa parikzayaH // ŚivS _7.1,3.33cd/
   evaṃ prakṣīṇapāpasya bahubhirjanmabhiḥ kramāt // ŚivP_7.1,3.34ab/	evam prakzINa pApasya bahuBiH janmaBiH kramAt // ŚivS _7.1,3.34ab/
   sāṃbe sarveśvare bhaktirjñānapūrvā prajāyate // ŚivP_7.1,3.34cd/	sa aMbe sarveSvare BaktiH jQAna pUrvA prajAyate // ŚivS _7.1,3.34cd/
   bhāvānuguṇamīśasya prasādo vyatiricyate // ŚivP_7.1,3.35ab/	BAva anuguNam ISasya prasAdaH vyatiricyate // ŚivS _7.1,3.35ab/
   prasādātkarmasaṃtyāgaḥ phalato na svarūpataḥ // ŚivP_7.1,3.35cd/	prasAdAt karma saMtyAgaH PalataH na svarUpataH // ŚivS _7.1,3.35cd/
   tasmātkarmaphalatyāgācchivadharmānvayaḥ śubhaḥ // ŚivP_7.1,3.36ab/	tasmAt karma Pala tyAgAt Siva Darma anvayaH SuBaH // ŚivS _7.1,3.36ab/
   sa ca gurvanapekṣaśca tadapekṣa iti dvidhā // ŚivP_7.1,3.36cd/	sa ca guru anapekzaH ca tad apekzaH iti dviDA // ŚivS _7.1,3.36cd/
   tatrānapekṣātsāpekṣo mukhyaḥ śataguṇādhikaḥ // ŚivP_7.1,3.37ab/	tatra anapekzAt sa apekzaH muKyaH SataguNa aDikaH // ŚivS _7.1,3.37ab/
   śivadharmānvayasyāsya śivajñānasamanvayaḥ // ŚivP_7.1,3.37cd/	Siva Darma anvayasya asya Siva jQAna samanvayaH // ŚivS _7.1,3.37cd/
   jñanānvayavaśātpuṃsaḥ saṃsāre doṣadarśanam // ŚivP_7.1,3.38ab/	jQana anvaya vaSAt puMsaH saMsAre doza darSanam // ŚivS _7.1,3.38ab/
   tato viṣayavairāgyaṃ vairāgyādbhāvasādhanam // ŚivP_7.1,3.38cd/	tatas vizaya vErAgyam vErAgyAt BAva sADanam // ŚivS _7.1,3.38cd/
   bhāvasiddhyupapannasya dhyāne niṣṭhā na karmaṇi // ŚivP_7.1,3.39ab/	BAva sidDi upapannasya DyAne nizWA na karmaNi // ŚivS _7.1,3.39ab/
   jñānadhyānābhiyuktasya puṃso yogaḥ pravartate // ŚivP_7.1,3.39cd/	jQAna DyAna aBiyuktasya puMsaH yogaH pravartate // ŚivS _7.1,3.39cd/
   yogena tu parā bhaktiḥ prasādastadanaṃtaram // ŚivP_7.1,3.40ab/	yogena tu parA BaktiH prasAdaH tad anaMtaram // ŚivS _7.1,3.40ab/
   prasādānmucyate jaṃturmuktaḥ śivasamo bhavet // ŚivP_7.1,3.40cd/	prasAdAt mucyate jaMtuH muktaH Siva samaH Bavet // ŚivS _7.1,3.40cd/
   anugrahaprakārasya kramo 'yamavivakṣitaḥ // ŚivP_7.1,3.41ab/	anugraha prakArasya kramaH ayam avivakzitaH // ŚivS _7.1,3.41ab/
   yādṛśī yogyatā puṃsastasya tādṛganugrahaḥ // ŚivP_7.1,3.41cd/	yAdRSI yogyatA puMsaH tasya tAdRS anugrahaH // ŚivS _7.1,3.41cd/
   garbhastho mucyate kaścijjāyamānastathāparaḥ // ŚivP_7.1,3.42ab/	garBa sTaH mucyate kaScid jAyamAnaH taTA aparaH // ŚivS _7.1,3.42ab/
   bālo vā taruṇo vātha vṛddho vā mucyate paraḥ // ŚivP_7.1,3.42cd/	bAlaH vA taruNaH vA aTa vRdDaH vA mucyate paraH // ŚivS _7.1,3.42cd/
   tiryagyonigataḥ kaścinmucyate nārako 'paraḥ // ŚivP_7.1,3.43ab/	tiryagyoni gataH kaScid mucyate nArakaH aparaH // ŚivS _7.1,3.43ab/
