   saṅkalpa-kalpa-druma	saFkalpa--kalpa-druma
   paurṇamāsīm iti nāmāsīd vraje yāsīt tapasvinī ||88||	pOrNamAsIm iti nAma-AsIt vraje yA-AsIt tapasvinI ||88||
   yas tayā divyayā śaktyānantadhānanta-subhruvām |	yaH tayA divyayA SaktyA-anantaDA-ananta--su-BruvAm |
   bibhrad vinā sa-narmādi-śarmālabhata sarvadā ||89||	biBrat vinA sa-narma-Adi-Sarma-alaBata sarvadA ||89||
   yaḥ kṛtvā rāsa-khelāyāṃ mudaṃ dvandvaṃ punar mudam |	yaH kRtvA rAsa--KelAyAm mudam dvandvam punar mudam |
   kheleyam iti tad vyañjann amumudad amūḥ priyāḥ ||90||	Keleyam iti tat vyaQjan amumudat amUH priyAH ||90||
   yas tyajann api tāḥ sarvāḥ parvātanuta kutracit |	yaH tyajan api tAH sarvAH parvAtanuta kutracid |
   apy eṇa-patnīty-ādyaṃ3 yat tatra karṇāmṛtaṃ matam ||91||	api eNa-patnI-iti--a-Adyan3 yat tatra karNa-amRtam matam ||91||
   yas tāsāṃ jayatīty4 ādi vilāpād vyagratāṃ gataḥ |	yaH tAsAm jayati-ity4 Adi vilApAt vyagra-tAm gataH |
   tāsām āvirabhūd5 evaṃ sudhībhir adhivarṇitaḥ ||92||	tAsAm AviraBUd5 evam suDIBiH aDivarNitaH ||92||
   yāsāṃ stana-kāśmīra-śasta-vastrāsanaṃ gataḥ |	yAsAm stana-kASmIra-SaH-ta-vaH-tra-Asanam gataH |
   rarāja tāra-kārāja-rājat-pulina-dhāmani ||93||	rarAja tAra-kA-rAja--rAjat--pulina--DAmani ||93||
   yaḥ prahelikayā tāsāṃ sva-parājayam āmṛśan |	yaH prahelikayA tAsAm sva-parAjayam AmRSan |
   na pāraye 'ham ity6 ādi rītyā svaṃ matavān ṛṇī ||94||	na pAraye aham iti-6 Adi rItyA svam matavAn RNI ||94||
   yaḥ śyāmaḥ svarṇa-gaurībhiḥ parāṃ śobhāṃ yayau yathā |	yaH SyAmaH svarNa--gOrIBiH parAm SoBAm yayO yaTA |
   tatrātiśuśubhe rājann bhagavān iti7 sat-prathā ||95||	tatra-ati-SuSuBe rAjan BagavAn iti7 sat-praTA ||95||
   yas tāsāṃ sva-vihāreṇa śrāntānāṃ mukha-paṅkajam |	yaH tAsAm sva--vihAreNa SrAntAnAm muKa--paFkajam |
   prāmṛjat karuṇaḥ premnā śantamenāṅga-pāṇinā ||96||8	prAmRjat karuNaH premnA Santamena-aFga-pANinA ||96||8
   yaḥ krīḍan vāri-vanayor vikrīḍa9 iva tāḥ punaḥ |	yaH krIxan vAri-vanayoH vikrIxa9 iva tAH punar |
   anunīya vinirṇīya sva-saṅgaṃ nilayaṃ gataḥ ||97||	anunIya vinirNIya sva-saFgam nilayam gataH ||97||
   1. (a) vyañjann anna-bhikṣā; (b) vyañjan anna-bhikṣām; 2. BhP x.23.22; 3.	1. (a) vyaQjan anna-BikzA; (b) vyaQjan anna-BikzAm; 2. Bhj x.23.22; 3.
   BhP x.30.11; 4. BhP x.31.1; 5. BhP x.32.2; 6. BhP x.32.22; 7. BhP x.33.6;	BhP x.30.11; 4. Bhj x.31.1; 5. Bhj x.32.2; 6. Bhj x.32.22; 7. BhP x.33.6;
   8. BhP x.33.21; 9. (b) cikrīḍa yas tīrtha-vyājam avrājīd vrajena vanam	8. BhP x.33.21; 9. (b) cikrIxa yaH tIrTa--vyAjam avrAjIt vrajena vanam
   āmbikam |	Ambikam |
   yatrāśeṣeṇa veśena cchalayāmāsa cābalāḥ ||98||	yatra-aSezeNa veSena cCalayAmAsa ca-abalAH ||98||
   yaḥ sarva-jīvanaṃ jīvaṃ vitaran pitaraṃ prati |	yaH sarva-jIvanam jIvam vitaran pitaram prati |
   padāsarpan spṛśan sarpaṃ muneḥ śāpād apākarot ||99||	padAsarpan spRSan sarpam muneH SApAt apAkarot ||99||
   yaḥ sudarśanatāṃ ninye mahā-sarpaṃ kudarśanam |	yaH sudarSana-tAm ninye mahA--sarpam kudarSanam |
   kāruṇya-kāruḥ kañcāraṃ1 na cakārāpi dāruṇam ||100||	kAruNya--kAruH kaQca-araM1 na cakAra-api dAruNam ||100||
   yaḥ pūrvaṃ nirmame horī-parvaṃ yakṣasya dhūrvaṇam2 |	yaH pUrvam nirmame horI--parvam yakzasya DUrvaNam2 |
   antaryāmivat tan3 manye tādṛggrāmīṇaparvasu ||101||	antaryAmi-vat tan3 manye tAdRS-grAmINa-parvasu ||101||
   yaḥ prātar-ādi-jāḥ krīḍāḥ kurvaṃs tāsu sphurann api |	yaH prAtar--Adi-jAH krIxAH kurvan tAsu sPuran api |
   ślokānāṃ yugma-saṅghena ślokitas tābhir anvaham ||102||	SlokAnAm yugma-saFGena SlokitaH tABiH anvaham ||102||
   yaḥ śrī-govardhane rāsa-vardhanecchā-vivardhaneyaḥ |	yaH SrI-govarDane rAsa-varDana-icCA--vivarDaneyaH |
   saṃgamya preyasī-saṅghaṃ narma-saṅgara-raṅgavān ||103||	saMgamya preyasI--saFGam narma--saFgara--raFgavAn ||103||
   goṣṭha-prakoṣṭhataḥ kruṣṭaṃ śrutvāriṣṭa-kṛtaṃ kaṭu |	gozWa--prakozWataH kruzwam SrutvA-arizwa-kRtam kawu |
   tatra saṃgatya saṃyatya taṃ nihatya mudaṃ gataḥ ||104||	tatra saMgatya saMyatya tam nihatya mudam gataH ||104||
   punaḥ śīghraṃ giriṃ gacchan saṅginībhiḥ sabhaṅgibhiḥ |	punar SIGram girim gacCan saFginIBiH sa-BaFgiBiH |
   rāsam ullāsayāmāsa bhāsayāmāsa cākhilam ||105||	rAsam ullAsayAmAsa BAsayAmAsa ca-aKilam ||105||
   [pūrvavat tribhiḥ]	[pUrvavat triBiH]
   yaḥ kuṇḍaṃ puṇḍarīkākṣas tan nirmāya sunarma-kṛt |	yaH kuNxam puNxarIkAkzaH tat nirmAya su-narma--kRt |
   śrī-rādhikāṃ dhanyam anyat kārayāmāsa sāra-bhṛt ||106||	SrI-rADikAm Danyam anyat kArayAmAsa sAra-BRt ||106||
   kaṃseneśinaṃ4 goṣṭha-kleśinaṃ vāji-veśinam |	kaMsena-ISinaM4 gozWa--kleSinam vAji-veSinam |
   keśine5 keśinaṃ cakre yamasya prativeśinam ||107||	keSine5 keSinam cakre yamasya prativeSinam ||107||
   yaḥ pitrādy-anurāgeṇa citrābhaḥ sarva-vismṛtiḥ |	yaH pitR-Adi--anurAgeNa citra-ABaH sarva-vismRtiH |
   kaṃsaṃ dhvaṃsakam apy ārcchān na hantuṃ gantu-kāmatām ||108||	kaMsam DvaMsakam api ArcCAt na hantum gantu--kAma-tAm ||108||
   yaḥ snigdha-smitayā dṛṣṭyā vācā pīyūṣa-kalpayā |	yaH snigDa---smitayA dRzwyA vAcA pIyUza-kalpayA |
   caritreṇānavadyena śrī-niketena cātmanā ||109||	caritreNa-anavadyena SrI-niketena ca-AtmanA ||109||
   imaṃ lokam amuñcābhiramayan sutarāṃ vrajam |	imam lokam amuQcA-aBiH-amayan sutarAm vrajam |
   reme kṣaṇadayā datta-kṣaṇa-strī-kṣaṇa-sauhṛdaḥ ||110||	reme kzaNadayA datta--kzaNa--strI--kzaNa--sOhRdaH ||110||
   [pūrvavad yugmakam]6	[pUrvavat yugmakam]6
   yas tathā saha gopībhiś cikrīḍa vrajarājajaḥ |	yaH taTA saha gopIBiH cikrIxa vraja-rAja-jaH |
   yathābda-koṭi-pratimaḥ kṣaṇas tena vinābhavat7 ||111||	yaTA-abda-kowi--pratimaH kzaNaH tena vinA-aBavat7 ||111||
   yaḥ kāntā-mukha-candrāṇāṃ bhāsā bhāsini8 dig-gaṇe |	yaH kAntA--muKa--candrANAm BAsA BAsini8 diS---gaNe |
   rāga-sāgara-nirmagnaś calituṃ nāpi ca kṣamaḥ ||112||	rAga-sAgara--nirmagnaH calitum na-api ca kzamaH ||112||
   kiñcit tad-vyakti-vātāli-lajjā-vīci-vicālitaḥ |	kiQcid tad--vyakti--vAta-ali-lajjA--vIci--vicAlitaH |
   kaṃsa-ghātamiṣāpāta-nijecchābhāsam āgataḥ ||113||	kaMsa--GAta-miza-apAta--nija-icCA-ABAsam AgataH ||113||
   1. (a) kañjāraṃ, (b) kaṃ cāriṃ; 2. (b) dharṣaṇam; 3. (a) antaryāmīva tano;	1. (a) kaQja-araM, (b) kam ca-ariM; 2. (b) DarzaNam; 3. (a) antaryAmI-iva tano;
   4. (b) kaṃseneśitam; 5. (b) veśinaṃ; 6. not found in (b); 7. vip v.23.57;	4. (b) kaMsena-ISitam; 5. (b) veSinaM; 6. na-ut fount id (b); 7. vip v.23.57;
   8. (b) bhāsinam	8. (b) BAsinam
   taṭasthatām aṭann urīcakre madhuparīgatim |	tawa-sTa-tAm awan urI-cakre maDuparI-gatim |
   āḥ kiṃ vācyā vraje yācyā prāṇimātre tanoḥ sthitiḥ ||114||	AH kim vAcyA vraje yAcyA prANi-mAtre tanoH sTitiH ||114||
   [pūrvavat tribhiḥ]	[pUrvavat triBiH]
   yaḥ svāṃs tattadguṇaḥ sarvān alaṃ hātuṃ na te ca yam |	yaH svAn tad-tad-guNaH sarvAn alam hAtum na te ca yam |
   āstāṃ vraje premaśūrā dūrād eva tathā kathā ||115||	AstAm vraje prema-SUrAH dUrAt eva taTA kaTA ||115||
   yaḥ pṛthvyā prathamaskandhe dharmāgrevarṇitān guṇān |1	yaH pRTvyA praTama-skanDe Darma-agrevarNitAn guNAn |1
   nityam āptas tathātrāpi varṇyaḥ sann avakarṇyatām ||116||	nityam AptaH taTA-atra-api varNyaH san avakarNya-tAm ||116||
   sarvānandapradānandakandas tadvadguṇāvaliḥ |	sarva-Ananda-pradAnanda-kandaH tadvat-guNa-AvaliH |
   sarvaparvadamāhātmyād varaḥ sarvata īśvaraḥ ||117||	sarva-parvat-amAhAtmyAt varaH sarvatas ISvaraH ||117||
   sarvadā vṛddhibhāgṛddhiḥ sarvārādhanabhūdhanam |	sarvadA vRdDi-BA-gRdDiH sarva-ArADana-BUDanam |
   svarūparūpasādguṇyapuṇyakṛt karmaśarmadaḥ ||118||	sva-rUpa-rUpa-sAdguNya-puNya-kRt karma-Sarma-daH ||118||
   dṛṣṭiḥ pratisudhāvṛṣṭiprabhasundaratāprabhaḥ2 |	dRzwiH pratisuDA-vRzwi-praBa-sundara-tA-praBaH2 |
   varṇānāṃ syandadiṅmātrāt3 karṇānandakarasvaraḥ4 ||119||	varNAnAm syanda-diS-mAtrAt3 karNa-Ananda-kara-svaraH4 ||119||
   aśvāsānām api śvāsakārisaurabhagauravaḥ |	aSvAsAnAm api SvAsa-kAri-sOraBa-gOravaH |
   adharaspṛṣṭanīrādisṛṣṭaśrīrasanārasaḥ ||120||	aDara-spRzwa-nIra-Adi-sRzwa-SrI-rasanA-rasaH ||120||
   svasparśisparśanāsparśād viśvatāpāpayāpanaḥ |	sva-sparSi-sparSana-asparSAt viSva-tApa-apayApanaH |
   jagataḥ śucitādhāma nāmadhāmasmṛtīḍitaḥ ||121||	jagataH Suci-tA-ADAma nAma-DAma-smRtIxitaH ||121||
   anantasaccidānandajyotirdyotikalevaraḥ |	ananta-saccit-Ananda-jyotiH-dyoti-kalevaraH |
   vapuraṃśukayor aṃśusampad viṣṇuramājayī ||122||	vapuH-aMSukayoH aMSu-sampad vizNuH-amAjayI ||122||
   jagaddūṣaṇaśobhābhṛd vibhūṣaṇavibhūṣaṇaḥ |	jagat-dUzaNa-SoBA-BRt viBUzaNa-viBUzaNaH |
   tūrṇaṃ yathāruci vyāpirucidhāryaguṇākṛtiḥ ||123||	tUrNam yaTAruci vyApi-ruci-DArya-guNa-AkRtiH ||123||
   lakṣmīdṛkpakṣma5viṣkambhilakṣmalakṣitavigrahaḥ |	lakzmI-dRS-pakzma5-vizkamBi-lakzma-lakzita-vigrahaH |
   śaṅkhacakrādicihnaśrīdurnihnavanijasthitiḥ ||124||	SaFKa-cakra-Adi-cihna-SrI-durnihnava-nija-sTitiH ||124||
   jetuṃ svam apy aviśrāntaṃ śaśvadvalgu6balāvaliḥ |	jetum svam api aviSrAntam SaSvat-valgu6-bala-AvaliH |
   kiśoratāmanaḥsāracoratāviśvamohanaḥ ||125||	kiSora-tA-manaH-sAra-cora-tA-viSva-mohanaH ||125||
   vilāsahāsalīlāsyakṛtalāsyakalājayaḥ |	vilAsa-hAsa-lIlA-Asya-kRta-lAsya-kalA-jayaH |
   vikārarahitākāraḥ sphuratpremavikāravān ||126||	vikAra-rahita-AkAraH sPurat-prema-vikAravAn ||126||
   purāpi nava ity evaṃ purāṇādiviniścitaḥ |	purA-api navaH iti evam purANa-Adi-viniScitaH |
   anūtanatanūḥ7 śrīmān sadā nūtanavattanuḥ ||127||	anUtana-tanUH7 SrImAn sadA nUtana-vat-tanuH ||127||
   sarveṣāṃ manasaḥ kartuṃ pramanas tāṃ sphuranmanāḥ |	sarvezAm manasaH kartum pramanaH tAm sPurat-manAH |
   vaidagdhīdigdhasadvṛddhi8cāturīpracurīkaraḥ ||128||	vEdagDI-digDa-sat-vRdDi8-cAturI-pracurIkaraH ||128||
   viśveṣāṃ buddhikṛd buddhiḥ siddhīnām api siddhikṛt |	viSvezAm budDi-kRt budDiH sidDInAm api sidDi-kRt |
   dakṣatālakṣaśikṣākṛd dakṣatābhir vilakṣaṇaḥ ||129||	dakza-tA-lakza-SikzA-kRt dakzatABiH vilakzaNaH ||129||
   tucchopakāritābindusindhukārī kṛtajñataḥ |	tucCopakAritA-bindu-sinDu-kArI kRtajQataH |
   1. BhP i.16.27||-30||; 2. (b) oprabhā; 3. (b) diṅmātrao; 4 (a)	1. BhP i.16.27||-30||; 2. (b) opraBA; 3. (b) diS-mAtrao; 4 (a)
   karaṇānanda(?); 5 (b) pakṣa; 6 (a) ovalgād; 7. (b) tanuḥ; 8. (b) obuddhio	karaNa-Ananda(?); 5 (b) pakza; 6 (a) ovalgAd; 7. (b) tanuH; 8. (b) obudDiaH-
   sudṛḍhavratatāvrātatrātaśaśvadanuvrataḥ ||130||	su-dRXa-vrata-tA-vrAta-trAta-SaSvat-anuvrataH ||130||
   nijamaryādayā baddhaśrutimaryādaceṣṭitaḥ |	nija-maryAdayA badDa-Sruti-maryAda-cezwitaH |
   ceṣṭitaṃ1 tāvad āstāṃ tad dṛṣṭamātras tathā guṇaḥ ||131||	cezwitaM1 tAvat AstAm tat dRzwa-mAtraH taTA guNaH ||131||
   yajñajñaḥ kāladeśādiprajñaḥ sarvajñaśekharaḥ |	yajQa-jQaH kAla-deSa-Adi-prajQaH sarvajQa-SeKaraH |
   sarvajñatām avajñāya prajñatātarkitākhilaḥ ||132||	sarvajQa-tAm avajQAya prajQa-tA-tarkitA-aKilaH ||132||
   dhīratā sthiratā śobhi vīratā niratāntaraḥ |	DIra-tA sTira-tA SoBi vIra-tA nirata-antaraH |
   kṣāntyā dāntyā ca śāntyā ca saha kāntyā svayaṃ vṛtaḥ ||133||	kzAntyA dAntyA ca SAntyA ca saha kAntyA svayam vRtaH ||133||
   dharmadānanidānaśrīḥ śūraḥ2 suratamānasaḥ |	Darma-dAna-nidAna-SrIH SUraH2 surata-mAnasaH |
   mānyasāmānyavardhiṣṇumānyatākriyatāpriyaḥ3 ||134||	mAnya-sAmAnya-varDizNu-mAnyatA-kriyata-apriyaH3 ||134||
   akṣīṇavinayaḥ suṣṭhu lajjitaḥ kūṭavarjitaḥ |	akzINa-vinayaH suzWu lajjitaH kUwa-varjitaH |
   kīrtipratāpapūrtibhyāṃ kṛtasallokajūrtikaḥ ||135||	kIrti-pratApa-pUrtiByAm kRta-salloka-jUrtikaH ||135||
   sādhūnāṃ mādhurīdānān nityaṃ sādhusamāśrayaḥ |	sADUnAm mADurI-dAnAt nityam sADu-samASrayaH |
   dviṣāṃ ca muktikṛn muktibhāgākarṣiguṇāmbudhiḥ ||136||	dvizAm ca mukti-kRt mukti-BAga-Akarzi-guNa-ambuDiH ||136||
   nānābhāṣālisambhāṣo deva4paryantadevanaḥ |	nAnA-BAzA-ali-samBAzaH deva4-paryanta-devanaH |
   pratyagvādiny api prīti5satyatāsphuradīritaḥ ||137||	pratyak-vAdini api prIti5satya-tA-sPura-t-IritaH ||137||
   vāvadūkaḥ6 sudhīmūkasthitikārisudhīdharaḥ |	vAvadUkaH6 suDI-mUka-sTiti-kAri-suDI-DaraH |
   dṛṣṭamātratayā sarvabudhatāṃ7 budhatāguruḥ ||138||	dRzwa-mAtra-tayA sarva-buDa-tAM7 buDatA-aguruH ||138||
   yogyānām api yogyāśī8 raṅkāṅām api śaṅkaraḥ |	yogyAnAm api yogi-A-ASI8 raFkAFAm api SaFkaraH |
   śaraṇāgatarakṣāyāḥ śaraṇaṃ śarmakarmaṭhaḥ ||139||	SaraNa-Agata-rakzAyAH SaraNam Sarma-karmaWaH ||139||
   na ca bhaktiṃ vināsakti9binduḥ sindhuvad antaraḥ |	na ca Baktim vinA-Asakti9binduH sinDu-vat antaraH |
   samaḥ sarvatra bhaktānāṃ bhakta ity apy asau samaḥ ||140||	samaH sarvatra BaktAnAm BaktaH iti api asO samaH ||140||
   bhaktānāṃ bhaktatānandī premasthemavaśīkṛtaḥ |	BaktAnAm Bakta-tA-AnandI prema-sTema-vaSIkRtaH |
   tattadrūpaguṇakrīḍākṛtasvāvadhivismayaḥ ||141||	tad-tad-rUpa-guNa-krIxA-kRta-sva-avaDi-vismayaH ||141||
   snehābhiṣekād viśveṣāṃ prājyasāmrājyapūjitaḥ |	sneha-aBizekAt viSvezAm prAjya-sAmrAjya-pUjitaH |
   sarvatra snehapīyūṣavarṣinityanavambudaḥ ||142||	sarvatra sneha-pIyUza-varzi-niti-anavambudaH ||142||
   goṣṭhavṛndāṭavīśaṃsivaṃśīgānamadhūnmadaḥ |	gozWa-vRnda-awavI-SaMsi-vaMSI-gAna-maDUn-madaH |
   nijapriyāvalībhāgyaspṛhiviṣṇupriyārcitaḥ ||143||	nija-priya-AvalI-BAgya-spRhi-vizNu-priya-arcitaH ||143||
   kiṃ bahūktena sūktena sūktena śrūyatām idam |	kim bahu-uktena sUktena sUktena SrUyatAm idam |
   kṛṣṇa eva hi kṛṣṇaḥ syāt kṛṣṇaḥ syāt kṛṣṇa eva hi ||144||	kRzNaH eva hi kRzNaH syAt kRzNaH syAt kRzNaH eva hi ||144||
   [pūrvavad ekonatriṃśabhiḥ]	[pUrvavat ekonatriMSaBiH]
   yas tādṛgguṇavān goṣṭhaṃ nātyantaṃ tyaktum arhati |	yaH tAdRgguNavAn gozWam na-atyantam tyaktum arhati |
   tādṛgguṇānvayipremnā tasya baddhaś ca tad yathā ||145||	tAdRgguNa-anvayi-premnA tasya badDaH ca tat yaTA ||145||
   dustyajaś cānurāgo 'smin sarveṣāṃ no vrajaukasām |	dustyajaH ca-anurAgaH asmin sarvezAm naH vraja-okasAm |
   yaḥ sajjan kāliyakroḍaṃ vrajaṃ sajjantam āmtani |	yaH sajjan kAliya-kroxam vrajam sajjantam Amtani |
   nanda te tanaye 'smāsu tasyāpy autpattikaḥ katham? ||1461	nanda te tanaye asmAsu tasya-api OtpattikaH kaTam? ||1461
   [pūrvavad eva yugmakam]	[pUrvavat eva yugmakam]
   1. (b) ceṣṭataḥ; 2. (b) śūrao; 3. (b) oparaḥ; 4. (a) osambhāṣād eva; 5.	1. (b) cezwataH; 2. (b) SUrao; 3. (b) oparaH; 4. (a) osamBAzAt eva; 5.
   (b) prītiḥ; 6. (b) vāvadūkao; 7. (b) budhatāo; 8. (a) yogyāśā; 9. (a)	(b) prItiH; 6. (b) vAvadUkao; 7. (b) buDatAo; 8. (a) yogi-ASA; 9. (a)
   vināsaktiṃ	vinA-Asaktim
   vimṛśann unmamajja drāg varṣan harṣaṃ jagaty api ||147	vimRSan unmamajja drAk varzan harzam jagati api ||147
   yaḥ śakre vakratāṃ paśyan premnā yan vrajavaśyatām |	yaH Sakre vakra-tAm paSyan premnA yan vraja-vaSya-tAm |
   hṛdy arthaṃ tam imaṃ vidvān atra vyānag yathārthatām ||148	hRdi arTam tam imam vidvAn atra vyAnak yaTArTa-tAm ||148
   tasmān maccharaṇaṃ goṣṭaṃ mannāthaṃ matparigraham |	tasmAt mad-SaraNam gozwam mad-nATam mad-parigraham |
   gopāye svātmayogena so 'yaṃ me vrata āhitaḥ ||149*fn	gopAye sva-Atma-yogena saH ayam me vrate AhitaH ||149*fn
   [pūrvavad eva yugmakam]	[pUrvavat eva yugmakam]
   yaḥ saṅkalpaṃ vyadhād evaṃkiñca bhūdharadhāraṇam |	yaH saFkalpam vyaDAt evaMkiQca BUDara-DAraNam |
   saptatarāpy ahorātrām stanmātraṅgīkṛtisthitiḥ ||150||	saptatarA-api ahorAtrAm stanmAtraFgIkRti-sTitiH ||150||
   kiṃ ca yaḥ sakhivatseṣu luñciteṣu viriñcinā |	kim ca yaH saKi-vat-sezu luQcitezu viriQcinA |
   sasarjāntyāṃs tadākāran paraṃ svenāpareṇa na ||151||	sasarja-antyAn tat-AkAran param svena-apareNa na ||151||
   tathāpy anirvṛtiṃ gacchaṃs tān āyacchad viriñcitaḥ |	taTA-api anirvRtim gacCan tAn AyacCat viriQcitaH |
   svapremādhikatatpremavaśatām āsadad yataḥ ||152||	sva-prema-aDika-tad-prema-vaSa-tAm Asadat yatas ||152||
   [pūrvavad eva yugmakam]	[pUrvavat eva yugmakam]
   yas tān svasmin baka-graste grastehā-prāṇatā-mitān |	yaH tAn svasmin baka-graste grastehA--prANa-tA-a-mitAn |
   sva-mātra-prāṇa-pātrāṅgān vidan vindann api sthitaḥ ||153||	sva--mAtra--prANa--pAtra-aFgAn vidan vindan api sTitaH ||153||
   yas teṣv agha-nigīrṇeṣu svayaṃ kīrṇe hatāṃ vrajan |	yaH tezu aGa-nigIrNezu svayam kIrNe hatAm vrajan |
   tad-galāntar viśann ātma-nirviśeṣān viveda tān ||154||	tad--gala-antar viSan Atma--nirviSezAn viveda tAn ||154||
   yas tatrāpy adbhutaṃ prema śrīman-nanda-yaśodayoḥ |	yaH tatra-api adButam prema SrIman-nanda--yaSodayoH |
   dampatyor nitarām āsīd gopa-gopīṣv iti smaran ||155||	dampatyoH nitarAm AsIt gopa-gopIzu iti smaran ||155||
   sadāpi vedavad veda tad aśeṣavidāṃ varaḥ |	sadA-api veda-vat veda tat aSeza-vidAm varaH |
   yad eva śukadevādyā vādyābhaṃ jagur uccakaiḥ ||156||	yat eva Suka-deva-AdyAH vAdya-ABam jaguH uccakEs ||156||
   [pūrvavad yugmakam]	[pUrvavat yugmakam]
   yaḥ svīyām ṛṇitāṃ vyaktāṃ tyaktāṃ kartum aśaknuvan |	yaH svIyAm RNitAm vyaktAm tyaktAm kartum aSaknuvan |
   na pāraye 'ham ity5 ādyaṃ pratijajñe priyāḥ prati ||157||	na pAraye aham ity5 Adyam pratijajQe priyAH prati ||157||
   yaḥ kaṃsādyān dantavakra-prāntān6 sāntān7 vinirmame |	yaH kaMsa-AdyAn danta-vakra--prAntAn6 sAntAn7 vinirmame |
   tad vinā vrajam āgantuṃ śāntiḥ syān8 nety acintayat ||158||	tat vinA vrajam Agantum SAntiH syAn8 na-iti acintayat ||158||
   yas tan-madhye samutkaṇṭhām utkaṇṭhāṃ śamayann iva |	yaH tan--maDye samutkaNWAm utkaNWAm Samayan iva |
   svasthān kartuṃ vrajāntaḥ-sthān muhuḥ sāntvanam ādadhe ||159	svasTAn kartum vraja-antaH--sTAn muhur sAntvanam AdaDe ||159
   yaḥ sva-prasthāna-samaye "śarīra-sthā imā nahi |	yaH sva--prasTAna--samaye "SarIra--sTAH imAH na-hi |
   bhaveyur" iti sañjajñe pratijajñe9 nijāgatim ||160||	Baveyur" iti san-jajQe pratijajQe9 nija-Agatim ||160||
   1. BhP x.26||.13; 2. (b) hṛdyārtham; 3. BhP x.25.18; 4. (b) svena pareṇa;	1. BhP x.26||.13; 2. (b) hRdya-arTam; 3. BhP x.25.18; 4. (b) svena pareNa;
   5. BhP x.32||.22; 6. (b) oprāptān; 7. (a) so 'ntān; 8. (a) śāntuḥ syāṃ	5. BhP x.32||.22; 6. (b) oprAptAn; 7. (a) saH antAn; 8. (a) SAntuH syAm
   (?); 9. (a) pratiyajñe;	(?); 9. (a) pratiyajQe;
   yas tatra śukadevena drāghita-ślāghitaṃ1 stutaḥ |	yaH tatra Sukadevena drAGita--SlAGitaM1 stutaH |
   ubhayeṣāṃ prema-sāmyaṃ vyañjatā vyañjitāspadaḥ ||161||	uBayezAm prema--sAmyam vyaQjatA vyaQjita-AspadaH ||161||
   tās tathā tapyatīr vīkṣya sva-prasthāne yadūttamaḥ |	tAH taTA tapyatIH vIkzya sva--prasTAne yadu-uttamaH |
   sāntvayāmāsa sapremair āyasya iti dyotakaiḥ ||162||2	sAntvayAmAsa sa-premEH Ayasya iti dyotakEH ||162||2
   [pūrvavad yugmakam]	[pUrvavat yugmakam]
   yaḥ kaṃsa-ghnaḥ śaśaṃsedaṃ hari-vaṃśe 'py anūditam3 |	yaH kaMsa-GnaH SaSaMsa-idam hari-vaMSe api anUditam3 |
   niśvāsā yasya vedāḥ syus tad etat katham anyathā? |163||	niSvAsAH yasya vedAH syuH tat etat kaTam anyaTA? |163||
   ahaṃ sa eva go-madhye gopaiḥ saha vanecaraḥ |	aham saH eva go-maDye gopEH saha vanecaraH |
   prītimān vicariṣyāmi kāmacārī yathā gajaḥ ||164||4	prItimAn vicarizyAmi kAma-cArI yaTA gajaH ||164||4
   [pūrvavad yugmakam]	[pUrvavat yugmakam]
   yaḥ kaṃse lambhita-dhvaṃse svaṃ vinātivilambitam |	yaH kaMse lamBita-DvaMse svam vinA-ati-vilambitam |
   kurvantaṃ pitaraṃ proce "śoceḥ katham itaḥ pitaḥ ||165	kurvantam pitaram proce "SoceH kaTam itas pitar ||165
   yāta yūyaṃ vrajaṃ tāta vayaṃ ca sneha-duḥkhitān |	yAta yUyam vrajam tAta vayam ca sneha--duHKitAn |
   jñātīn vo draṣṭum eṣyāmo vidhāya suhṛdāṃ sukham ||166||5	jQAtIn vaH drazwum ezyAmaH viDAya suhRdAm suKam ||166||5
   snehena duḥkhitān ity etat procya snehavastuni |	snehena duHKitAn iti etat procya sneha-vastuni |
   atṛptiṃ vyānag atrāpi draṣṭum ity eva darśanam ||167||	atRptim vyAnac atra-api drazwum iti eva darSanam ||167||
   puruṣārthatayāvocad bhāvikālatayāpi ca |	puruza-arTa-tayA-avocat BAvi-kAla-tayA-api ca |
   adṛpter bhāvikālasya cānantyāt tadanantakam ||168||	adRpteH BAvi-kAlasya ca-anantyAt tad-anantakam ||168||
   tātajñātipadābhyāṃ ca tad yuktam idam uktavān |	tAta-jQAti-padAByAm ca tat yuktam idam uktavAn |
   suhṛdāṃ sukham ity ākhyāsyate yadvat tathā nahi ||169||	suhRdAm suKam iti AKyAsyate yadvat taTA na-hi ||169||
   suhṛcchabdenopakāryopakāritvaṃ pratīyate |	suhRd-Sabdena-upakArya-upakAri-tvam pratIyate |
   sukhaṃ ca suhṛdāṃ gamyam upakāramayaṃ param ||170||	suKam ca suhRdAm gamyam upakAra-mayam param ||170||
   vidhāyeti ca pūrvasya kālasya cchinnarūpatām |	viDAya-iti ca pUrvasya kAlasya cCinna-rUpa-tAm |
   nirdiśaṃs tadvidhānasya nyadiśat cchinnarūpatām ||171||	nirdiSan tad-viDAnasya nyadiSat cCinna-rUpa-tAm ||171||
   tasmāt teṣāṃ śatruvadhaḥ sukhaṃ yat tat samāpsyati |	tasmAt tezAm Satru-vaDaH suKam yat tat samApsyati |
   jñātīnāṃ snehaśīlānāṃ tat tu vo na samāpsyati ||172||	jQAtInAm sneha-SIlAnAm tat tu vaH na samApsyati ||172||
