   Toḍalatantra, Prathamaḥ paṭalaḥ	Toxala-tantra, PraTamaH pawalaH
   iti te kathitaṃ sarvaṃ deharakṣaṇakāraṇam // ToT_9.26 //	iti te kaTitam sarvam deha-rakzaNa-kAraNam // ToT_9.26 //
   na bhogī bhogamāpnoti yogī yogo na labhyate /	na BogI Bogam-Apnoti yogI yogaH na laByate /
   etattattvena deveśi bhogo yogāyate dhruvam // ToT_9.27 //	etat-tattvena deveSi BogaH yogAyate Druvam // ToT_9.27 //
   śrīdevī uvāca	SrI-devI uvAca
   yanmālāyāṃ japenaiva kiṃ phalaṃ labhate naraḥ /	yat-mAlAyAm japena-eva kim Palam laBate naraH /
   pṛthak pṛthaṅ mahādeva pattramālāphalaṃ vada // ToT_9.28 //	pRTak pRTak mahAdeva pattra-mAlA-Palam vada // ToT_9.28 //
   śrīśiva uvāca	SrI-SivaH uvAca
   bhūmikāmī japen mantraṃ mūlādhāre catuṣṭaye /	BUmi-kAmI japet mantram mUlADAre catuzwaye /
   svādhiṣṭhāne japādeva mahendro jāyate'cirāt // ToT_9.29 //	svADizWAne japAt-eva mahA-indraH jAyate-acirAt // ToT_9.29 //
   maṇipūre japādeva bhavet svargasya bhājanam /	maNipUre japAt-eva Bavet svargasya BAjanam /
   anāhate mahāpadme japād brahmapuraṃ vrajet // ToT_9.30 //	anAhate mahApadme japAt brahma-puram vrajet // ToT_9.30 //
   viśuddhākhye japādeva viṣṇuloke vased dhruvam /	viSudDa-AKye japAt-eva vizNu-loke vaset Druvam /
   ājñācakre ca japtavye śvetadvīpe vaset sadā // ToT_9.31 //	AjQAcakre ca japtavye SvetadvIpe vaset sadA // ToT_9.31 //
   yanmālā parameśāni bāhyamālā prakīrtitā /	yat-mAlA parameSAni bAhya-mAlA prakIrtitA /
   antarmālā mahāmālā pañcāśadvarṇarūpiṇī // ToT_9.32 //	antar-mAlA mahAmAlA paQcASat-varNa-rUpiNI // ToT_9.32 //
   māhātmyaṃ tasya deveśi kiṃ vaktuṃ śakyate mayā /	mAhAtmyam tasya deveSi kim vaktum Sakyate mayA /
   sahasrāre sthirībhūya yadi cāṣṭaśataṃ japet // ToT_9.33 //	sahasrAre sTirIBUya yadi ca-azwaSatam japet // ToT_9.33 //
   tatphalāt koṭibhāgaikaṃ bhāgaṃ cānyena vidyate /	tad-PalAt kowi-BAga-ekam BAgam ca-anyena vidyate /
   pṛthivyāmavyayo deho bhavatyeva na saṃśayaḥ // ToT_9.34 //	pRTivyAm-avyayaH dehaH Bavati-eva na saMSayaH // ToT_9.34 //
   yanmālāyāṃ japenmantram abhyāsārthaṃ hi pārvati /	yat-mAlAyAm japet-mantram aByAsa-arTam hi pArvati /
   iti te kathitaṃ devi cirajīvī yathā bhavet // ToT_9.35 //	iti te kaTitam devi cirajIvI yaTA Bavet // ToT_9.35 //
   idānīṃ parameśāni bhūtakātyāyanīṃ śṛṇu /	idAnIm parameSAni BUtakAtyAyanIm SRNu /
   vedādyaṃ śabdabījaṃ ca mahāmāyāṃ tataḥ param // ToT_9.36 //	veda-Adyam SabdabIjam ca mahAmAyAm tatas param // ToT_9.36 //
   astrayugmaṃ vahnijāyā manuḥ saptākṣaraḥ paraḥ /	astra-yugmam vahni-jAyAH manuH sapta-akzaraH paraH /
   śrīśivo'sya ṛṣiḥ prokto virāṭ chanda udāhṛtam // ToT_9.37 //	SrI-SivaH-asya RziH proktaH virAj CandaH udAhRtam // ToT_9.37 //
   bhūtakātyāyanī devī dharmārthakāmadā sadā /	BUtakAtyAyanI devI Darma-arTa-kAma-dA sadA /
   praṇavena ṣaḍaṅgaṃ ca prāṇāyāmaṃ ca sundari // ToT_9.38 //	praNavena zaz-aFgam ca prANAyAmam ca sundari // ToT_9.38 //
   dhyānamasyāḥ pravakṣyāmi śṛṇu sundari sādaram /	DyAnam-asyAH pravakzyAmi SRNu sundari sa-Adaram /
   gauravarṇāṃ muktakeśīṃ sarvābharaṇabhūṣitām // ToT_9.39 //	gOra-varNAm muktakeSIm sarva-ABaraNa-BUzitAm // ToT_9.39 //
   paṭṭavastraparīdhānāṃ sadā ghūrṇitalocanām /	pawwavastra-parIDAnAm sadA GUrNita-locanAm /
   vāmapāṇau raktapūrṇa- kharparaṃ dakṣiṇe kare // ToT_9.40 //	vAma-pANO rakta-pUrNa Karparam dakziNe kare // ToT_9.40 //
   madyapūrṇasvarṇapātrāṃ grīvāyāṃ hārabhūṣitām /	madya-pUrNa-svarNa-pAtrAm grIvAyAm hAra-BUzitAm /
   śaraccandrasamābhāsāṃ pādāṅgulivirājitām // ToT_9.41 //	Sarad-candra-sama-ABAsAm pAda-aFguli-virAjitAm // ToT_9.41 //
   evaṃ tāṃ varadāṃ nityāṃ bhāvayet siddhihetave /	evam tAm vara-dAm nityAm BAvayet sidDi-hetave /
   sāmānyārghyaṃ tato devi svavāme vinyasettataḥ // ToT_9.42 //	sAmAnya-arGyam tatas devi sva-vAme vinyaset-tatas // ToT_9.42 //
   jīvanyāsādikaṃ kṛtvā pūjayet parameśvarīm /	jIva-nyAsa-Adikam kRtvA pUjayet parameSvarIm /
   ṣoḍaśenopacāreṇa pañcatattvena sundari // ToT_9.43 //	zoxaSena-upacAreNa paQcatattvena sundari // ToT_9.43 //
   yajettāṃ bahuyatnena gṛhamadhye dinatrayam /	yajet-tAm bahu-yatnena gRha-maDye dina-trayam /
   tato japenmahāmantraṃ gajāntakasahasrakam // ToT_9.44 //	tatas japet-mahAmantram gajAntaka-sahasrakam // ToT_9.44 //
   tataśca pūjayed devīṃ śūnyāgāre dinatrayam /	tatas-ca pUjayet devIm SUnya-AgAre dina-trayam /
   pratyahaṃ prajapenmantraṃ gajāntakasahasrakam // ToT_9.45 //	pratyaham prajapet-mantram gajAntaka-sahasrakam // ToT_9.45 //
   eva kṛte maheśāni yadi siddhirna jāyate /	eva kRte maheSAni yadi sidDiH-na jAyate /
   tataśca prajapenmantraṃ pitṛbhūmau dinatrayam // ToT_9.46 //	tatas-ca prajapet-mantram pitR-BUmO dina-trayam // ToT_9.46 //
   tataḥ siddhirbhaved devi satyaṃ satyaṃ hi supriye /	tatas sidDiH-Bavet devi satyam satyam hi su-priye /
   tadvākyaṃ prārthanāvākyaṃ ḍāmarākhye mayoditam // ToT_9.47 //	tat-vAkyam prArTanA-vAkyam xAmara-AKye mayA-uditam // ToT_9.47 //
   Toḍalatantra, Daśamaḥ paṭalaḥ	Toxala-tantra, DaSamaH pawalaH
   śrīdevī uvāca	SrI-devI uvAca
   kākīcañcuṃ mahāmudrāṃ kathayasva dayānidhe /	kAkIcaQcum mahAmudrAm kaTayasva dayAniDe /
   yena rūpeṇa deveśa dehāsanaparo bhavet // ToT_10.1 //	yena rUpeNa deveSa deha-Asana-paraH Bavet // ToT_10.1 //
   śrīśiva uvāca	SrI-SivaH uvAca
   anākulena deveśi jihvāṃ paramayatnataḥ /	anAkulena deveSi jihvAm parama-yatnataH /
   tālumūle nyaset paścāt tato vāyuṃ pibet śanaiḥ // ToT_10.2 //	tAlu-mUle nyaset paScAt tatas vAyum pibet SanEs // ToT_10.2 //
   dantairdantān samāpīḍya kākīcañcuṃ samabhyaset /	dantEH-dantAn samApIxya kAkIcaQcum samaByaset /
   bahuyonyuktavidhinā sarvakarmāṇi sādhayet // ToT_10.3 //	bahuyoni-ukta-viDinA sarva-karmANi sADayet // ToT_10.3 //
   athātaḥ sampravakṣyāmi svalpayoniṃ śṛṇu priye /	aTa-atas sampravakzyAmi su-alpa-yonim SRNu priye /
   gudachidre dakṣagulphaṃ saṃdhau liṅgaṃ vinikṣipet // ToT_10.4 //	guda-Cidre dakza-gulPam saMDO liFgam vinikzipet // ToT_10.4 //
   nābhirandhre'thavā gulphaṃ dhārayed vāmahastake /	nABi-ranDre-aTavA gulPam DArayet vAma-hastake /
   bahuyonyuktavidhinā cānyat sarvaṃ samāpayet // ToT_10.5 //	bahuyoni-ukta-viDinA ca-anyat sarvam samApayet // ToT_10.5 //
   mudrā caitanyatantre ca māhātmyaṃ kathitaṃ mayā /	mudrA cEtanya-tantre ca mAhAtmyam kaTitam mayA /
   yathā hemagirirdevi yathā vegavatī nadī // ToT_10.6 //	yaTA hemagiriH-devi yaTA vegavatI nadI // ToT_10.6 //
   candrādikaṃ yathā devi cirajīvī tathā bhavet /	candra-Adikam yaTA devi cirajIvI taTA Bavet /
   śrīdevī uvāca	SrI-devI uvAca
   daśāvatāraṃ deveśa brūhi me jagatāṃ guro // ToT_10.7 //	daSa-avatAram deveSa brUhi me jagatAm guro // ToT_10.7 //
   idānīṃ śrotumicchāmi kathayasva suvistarāt /	idAnIm Srotum-icCAmi kaTayasva su-vistarAt /
   kā vā devī kathaṃbhūtā vada me parameśvara // ToT_10.8 //	kA vA devI kaTaMBUtA vada me parameSvara // ToT_10.8 //
   śrīśiva uvāca	SrI-SivaH uvAca
   tārā devī nīlarūpā vagalā kūrmamūrtikā /	tArA devI nIla-rUpA vagalA kUrma-mUrtikA /
   dhūmāvatī varāhaṃ syāt chinnamastā nṛsiṃhikā // ToT_10.9 //	DUmAvatI varAham syAt CinnamastAH nRsiMhikAH // ToT_10.9 //
   bhuvaneśvarī vāmanaḥ syānmātaṃgī rāmamūrtikā /	BuvaneSvarI vAmanaH syAt-mAtaMgI rAma-mUrtikA /
   tripurā jāmadagnyaḥ syād balabhadrastu bhairavī // ToT_10.10 //	tripurA jAmadagnyaH syAt balaBadraH-tu BEravI // ToT_10.10 //
   mahālakṣmīr bhavet buddho durgā syāt kalkirūpiṇī /	mahAlakzmIH Bavet budDaH durgA syAt kalki-rUpiNI /
   svayaṃ bhagavatī kālī kṛṣṇamūrtiḥ samudbhavā // ToT_10.11 //	svayam BagavatI kAlI kRzNa-mUrtiH samudBavAH // ToT_10.11 //
   iti te kathitaṃ devy avatāraṃ daśamameva hi /	iti te kaTitam devI avatAram daSamam-eva hi /
   etāsāṃ pūjanād devi mahādevasamo bhavet /	etAsAm pUjanAt devi mahAdeva-samaH Bavet /
   āsāṃ dhyānādikaṃ sarvaṃ kathitaṃ me purā tava // ToT_10.12 //	AsAm DyAna-Adikam sarvam kaTitam me purA tava // ToT_10.12 //
