   viṣayādhyāyaḥ	vizaya-aDyAyaH
   (sādṛśyasya tattvāntaratā nirākaraṇaṃ)	(sAdRSyasya tattva-antara-tA nirAkaraNaM)
   na saṃjñāsaṃjñi sambandho 'pi | KapSs_5.96 |	na saMjQA-saMjQi sambanDaH api | KapSH-_5.96 |
   (sādṛśyasya tattvāntaratā nirākaraṇaṃ)	(sAdRSyasya tattva-antara-tA nirAkaraNaM)
   na sambandhanityatobhayānityatvāt | KapSs_5.97 |	na sambanDa-nityatoBaya-anitya-tvAt | KapSs_5.97 |
   (sādṛśyasya tattvāntaratā nirākaraṇaṃ)	(sAdRSyasya tattva-antara-tA nirAkaraNaM)
   nājaḥ sambandhaḥ dharmigrāhakapramāṇabādhāt | KapSs_5.98 |	na-ajaH sambanDaH Darmi-grAhaka-pramANa-bADAt | KapSs_5.98 |
   (sādṛśyasya tattvāntaratā nirākaraṇaṃ)	(sAdRSyasya tattva-antara-tA nirAkaraNaM)
   na samavāyo 'sti pramāṇābhāvāt | KapSs_5.99 |	na samavAyaH asti pramANa-aBAvAt | KapSH-_5.99 |
   (samavāya nirāsaḥ)	(samavAya nirAsaH)
   ubhayatrāpyanyathāsiddherna pratyakṣamanumānaṃ vā | KapSs_5.100 |	uBayatra-api-anyaTA-sidDeH-na pratyakzam-anumAnam vA | KapSs_5.100 |
   (samavāyanirāsaḥ)	(samavAya-nirAsaH)
   nānumeyatvameva kriyāyāḥ nediṣṭhasya tattadvatorevāparokṣapratīteḥ |	na-anumeya-tvam-eva kriyAyAH nedizWasya tad-tad-vatoH-eva-aparokza-pratIteH |
   KapSs_5.101 |	KapSs_5.101 |
   (kriyāyāḥ anumeyatānaiyatyanirāsaḥ)	(kriyAyAH anumeya-tA-nEyati-anirAsaH)
   na pāñcabhautikaṃ śarīraṃ bahūnāmupādānāyogāt | KapSs_5.102 |	na pAQcaBOtikam SarIram bahUnAm-upAdAna-ayogAt | KapSH-_5.102 |
   (śarīrasya pāñcabhautikatvanirāsaḥ)	(SarIrasya pAQcaBOtika-tva-nirAsaH)
   na sthūlamiti niyamaḥ ātivāhikasyāpi vidyāmānatvāt | KapSs_5.103 |	na sTUlam-iti niyamaH AtivAhikasya-api vidyA-mAna-tvAt | KapSH-_5.103 |
   (śarīrasāmānyasya sthūlatvanirāsaḥ)	(SarIra-sAmAnyasya sTUla-tva-nirAsaH)
   nāprāptaprakāśakatvamindriyāṇāṃ aprāpteḥ sarvaprāptervā | KapSs_5.104 |	na-aprApta-prakASaka-tvam-indriyANAm aprApteH sarva-prApteH-vA | KapSs_5.104 |
   (indriyāṇāṃ prāpyakāritvanirūpaṇaṃ)	(indriyANAm prApya-kAri-tva-nirUpaNaM)
   na tejo 'pasarpaṇāt taijasa cakṣuḥ vṛttitastatsiddheḥ | KapSs_5.105 |	na tejaH apasarpaNAt tEjasa cakzuH vRttitaH-tad-sidDeH | KapSs_5.105 |
   (indriyāṇāṃ prāpyakāritvanirūpaṇaṃ)	(indriyANAm prApya-kAri-tva-nirUpaNaM)
   prāptarthaprakāśaliṅgāt vṛttisiddhiḥ | KapSs_5.106 |	prAptarTa-prakASa-liFgAt vRtti-sidDiH | KapSs_5.106 |
   (indriyāṇāṃ prāpyakāritvanirūpaṇaṃ)	(indriyANAm prApya-kAri-tva-nirUpaNaM)
   bhāgaguṇābhyāṃ tatvāntaraṃ vṛttiḥ sambandhārthaṃ sarpatīti | KapSs_5.107 |	BAga-guNAByAm tatva-antaram vRttiH sambanDa-arTam sarpati-iti | KapSH-_5.107 |
   (vṛtteḥ svarūpaṃ)	(vRtteH svarUpaM)
   na dravyaniyamastadyogāt | KapSs_5.108 |	na dravya-niyamaH-tad-yogAt | KapSH-_5.108 |
   (vṛtteḥ svarūpaṃ)	(vRtteH svarUpaM)
   na deśabhede 'pyanyopādānatāsmadādivanniyamaḥ | KapSs_5.109 |	na deSa-Bede api-anya-upAdAna-tA-asmad-Adi-vat-niyamaH | KapSs_5.109 |
   (indriyāṇāṃ abhautikatvaṃ)	(indriyANAm aBOtika-tvaM)
   nimittavyapadeśāt tadavyapadeśaḥ | KapSs_5.110 |	nimitta-vyapadeSAt tat-avyapadeSaH | KapSs_5.110 |
   (indriyāṇāṃ abhautikatvaṃ)	(indriyANAm aBOtika-tvaM)
   ūṣmajāṇḍajajarāyujodbhijjasāṅkālpika sāṃsiddhikaṃ ceti na niyamaḥ |	Uzmaja-aNxaja-jarAyu-jA-udBid-jasA-aFka-alpika sAMsidDikam ca-iti na niyamaH |
   KapSs_5.111 |	KapSs_5.111 |
   (sthūlaśarīraviśeṣāḥ)	(sTUla-SarIra-viSezAH)
   sarveṣu pṛthivyupādānaṃ asādhāraṇyāt tadvyapadeśaḥ pūrvavat | KapSs_5.112	sarvezu pRTivI-upAdAnam asADAraNyAt tad-vyapadeSaH pUrvavat | KapSs_5.112
   (sthūlaśarīraviśeṣāḥ)	(sTUla-SarIra-viSezAH)
   na dehārambhakasya prāṇatvamindriyaśaktitastatsiddheḥ | KapSs_5.113 |	na deha-AramBakasya prANa-tvam-indriya-SaktitaH-tad-sidDeH | KapSs_5.113 |
   (praṇasya dehārambhakatvābhāvaḥ)	(praNasya deha-AramBaka-tva-aBAvaH)
   bhokturādhiṣṭhānāt bhogāyatananirmāṇaṃ anyathā pūtibhāvaprasaṅgāt |	BoktuH-ADizWAnAt Boga-Ayatana-nirmANam anyaTA pUti-BAva-prasaFgAt |
   KapSs_5.114 |	KapSs_5.114 |
   (dehādhiṣṭhātṛ nirṇayaḥ)	(deha-aDizWAtR nirNayaH)
   bhṛtyadvārā svāmyadhiṣṭhitirnaikāntyāt | KapSs_5.115 |	BRtya-dvArA svAmi-aDizWitiH-nEkAntyAt | KapSH-_5.115 |
   (dehādhiṣṭhātṛ nirṇayaḥ)	(deha-aDizWAtR nirNayaH)
   samādhisuṣuptimokṣeṣu brahmarūpatā | KapSs_5.116 |	samADi-suzupti-mokzezu brahma-rUpa-tA | KapSs_5.116 |
   (ātmano nityamuktatvopapādanaṃ)	(a-AtmanaH nitya-mukta-tva-upapAda-naM)
   dvayoḥ sabījamanyatra taddhatiḥ | KapSs_5.117 |	dvayoH sa-bIjam-anyatra tat-hatiH | KapSs_5.117 |
   (suṣuptisamādhibhyāṃ mokṣe viśeṣaḥ)	(suzupti-samADiByAm mokze viSezaH)
   dvayoriva trayasyāpi dṛṣṭatvāt na tu dvau | KapSs_5.118 |	dvayoH-iva trayasya-api dRzwa-tvAt na tu dvO | KapSs_5.118 |
   (mokṣe pramāṇaṃ)	(mokze pramANaM)
   vāsanayā na svārthakhyāpanaṃ doṣayoge 'pi na nimittasya	vAsanayA na sva-arTa-KyApanam doza-yoge api na nimittasya
   pradhānabādhakatvaṃ | KapSs_5.119 |	praDAna-bADaka-tvam | KapSH-_5.119 |
   (suṣuptau ātmanaḥ brahmarūpatva sādhanaṃ)	(suzuptO AtmanaH brahma-rUpa-tva sADanaM)
   ekaḥ saṃskāraḥ kriyānirvartakaḥ na tu pratikriyaṃ saṃskārabhedā	ekaH saMskAraH kriyA-nirvartakaH na tu pratikriyam saMskAra-BedA
   bahukalpanāprasakteḥ | KapSs_5.120 |	bahu-kalpanA-prasakteH | KapSs_5.120 |
   (jīvanmukte 'pi saṃskārānuvṛttiḥ)	(jIvanmukte api saMskAra-anuvRttiH)
   na bāhyabuddhiniyamaḥ vṛkṣagulmalatauṣadhivanaspatitṛṇavīrūdhādīnāmapi	na bAhya-budDi-niyamaH vRkza-gulma-latA-ozaDi-vanaspati-tRNa-vIrUDa-AdInAm-api
   bhoktṛbhogāyatanatvaṃ pūrvavat | KapSs_5.121 |	BoktR-Boga-Ayatana-tvam pUrvavat | KapSs_5.121 |
   (śarīrasāmānye bāhyajñānasattāniyamābhāvaḥ)	(SarIra-sAmAnye bAhya-jQAna-sattA-niyama-aBAvaH)
   smṛteśca | KapSs_5.122 |	smRteH-ca | KapSH-_5.122 |
   (śarīrasāmānye bāhyajñānasattāniyamābhāvaḥ)	(SarIra-sAmAnye bAhya-jQAna-sattA-niyama-aBAvaH)
   na dehamātrataḥ karmādhikāritvaṃ vaiśiṣṭayaśruteḥ | KapSs_5.123 |	na deha-mAtrataH karma-aDikAri-tvam vESizwaya-SruteH | KapSs_5.123 |
   (śarīrasāmānye bāhyajñānasattāniyamābhāvaḥ)	(SarIra-sAmAnye bAhya-jQAna-sattA-niyama-aBAvaH)
   tridhātrayāṇāṃ vyavasthā karmadehopabhogadehobhayadehāḥ | KapSs_5.124 |	triDA-trayANAm vyavasTA karma-deha-upaBoga-deha-uBaya-dehAH | KapSs_5.124 |
   (deheṣu cāturvidhyaṃ)	(dehezu cAturviDyaM)
   na kiñcidapyanuśayinaḥ | KapSs_5.125 |	na kiQcid-api-anuSayinaH | KapSs_5.125 |
   (deheṣu cāturvidhyaṃ)	(dehezu cAturviDyaM)
   na buddhyādinityatvaṃ āśrayāviśeṣe 'pi vahnivat | KapSs_5.126 |	na budDi-Adi-nitya-tvam ASraya-aviSeze api vahni-vat | KapSs_5.126 |
   (buddhīcchādīnāṃ nityatānirāsaḥ)	(budDi-icCA-AdInAm nitya-tA-nirAsaH)
   āśrayāsiddheśca | KapSs_5.127 |	ASraya-asidDeH-ca | KapSH-_5.127 |
   (buddhīcchādīnāṃ nityatānirāsaḥ)	(budDi-icCA-AdInAm nitya-tA-nirAsaH)
   yogasiddhayo 'pyauṣadhādisidvivannāpalāpanīyāḥ | KapSs_5.128 |	yoga-sidDayaH api-OzaDa-Adi-sidvivanna-apalApanIyAH | KapSs_5.128 |
   (siddhīnāṃ satyatā)	(sidDInAm satyatA)
   na bhūtacaitanyaṃ pratyekādṛṣṭeḥ sāṃhatye 'pi ca sāṃhatye 'pi ca |	na BUta-cEtanyam pratyeka-adRzweH sAMhatye api ca sAMhatye api ca |
   KapSs_5.129 |	KapSs_5.129 |
   (bhūtacaitanyavāda nirāsaḥ)	(BUta-cEtanya-vAda nirAsaH)
   tantrādhyāyaḥ	tantra-aDyAyaH
   astyātmā nāstitvasādhanābhāvāt | KapSs_6.1 |	asti-AtmA nAstitva-sADana-aBAvAt | KapSH-_6.1 |
   (ātmāstitva nirūpaṇaṃ)	(a-AtmA-astitva nirUpaNaM)
   dehādivyatirikto 'sau vaicitryāt | KapSs_6.2 |	deha-Adi-vyatiriktaH asO vEcitryAt | KapSs_6.2 |
   (ātmāstitva nirūpaṇaṃ)	(a-AtmA-astitva nirUpaNaM)
   ṣaṣṭhīvyapadeśādapi | KapSs_6.3 |	zazWI-vyapadeSAt-api | KapSs_6.3 |
   (ātmāstitva nirūpaṇaṃ)	(a-AtmA-astitva nirUpaNaM)
   na śilāputravat, dharmigrāhakamānabādhāt | KapSs_6.4 |	na SilAputravat, Darmi-grAhaka-mAna-bADAt | KapSs_6.4 |
   (ātmāstitva nirūpaṇaṃ)	(a-AtmA-astitva nirUpaNaM)
   atyantaduḥkhanivṛttyā kṛtakṛtyatā | KapSs_6.5 |	atyanta-duHKa-nivRttyA kRtakRtya-tA | KapSs_6.5 |
   (ātmanaḥ kṛtakṛtyatānimittaṃ)	(a-AtmanaH kRtakRtya-tA-nimittaM)
   yathā duḥkhāt kleśaḥ puruṣasya, na tathā sukhābhilāṣaḥ | KapSs_6.6 |	yaTA duHKAt kleSaH puruzasya, na taTA suKa-aBilAzaH | KapSs_6.6 |
   (ātmanaḥ kṛtakṛtyatānimittaṃ)	(a-AtmanaH kRtakRtya-tA-nimittaM)
   kutrāpi ko 'pi sukhīti | KapSs_6.7 |	kutra-api kaH api suKI-iti | KapSH-_6.7 |
   (duḥkhanivṛttereva puruṣārthatvaṃ)	(duHKa-nivRtteH-eva puruza-arTa-tvaM)
   tadapi duḥkhaśabalitamiti duḥkhapakṣe nikṣipante vivecakāḥ | KapSs_6.8 |	tat-api duHKa-Sabalitam-iti duHKa-pakze nikzipante vivecakAH | KapSs_6.8 |
   (duḥkhanivṛttereva puruṣārthatvaṃ)	(duHKa-nivRtteH-eva puruza-arTa-tvaM)
   sukhalābhābhāvādapuruṣārthatvāmiti cenna dvaividhyāt | KapSs_6.9 |	suKa-lABa-aBAvAt-apuruza-arTa-tvAm-iti ced-na dvEviDyAt | KapSs_6.9 |
   (duḥkhanivṛttereva puruṣārthatvaṃ)	(duHKa-nivRtteH-eva puruza-arTa-tvaM)
   nirguṇatvamātmano 'saṅgatvādiśruteḥ | KapSs_6.10 |	nirguNa-tvam-AtmanaH asaFga-tva-Adi-SruteH | KapSs_6.10 |
   (guṇabandhasyaiva avivekamūlatvaṃ), pū	(guNa-banDasya-eva aviveka-mUla-tvaM), pU
   paramadharmatve 'pi tatsiddhiravivekāt | KapSs_6.11 |	parama-Darma-tve api tad-sidDiH-avivekAt | KapSH-_6.11 |
   (guṇabandhasyaiva avivekamūlatvaṃ), si	(guNa-banDasya-eva aviveka-mUla-tvaM), si
   anādiravivekaḥ anyathā doṣadvayaprasakteḥ | KapSs_6.12 |	anAdiH-avivekaH anyaTA doza-dvaya-prasakteH | KapSs_6.12 |
   (avivekasyānāditvaṃ)	(avivekasya-anAdi-tvaM)
   na nityaḥ syādātmavadanyathānucchittiḥ | KapSs_6.13 |	na nityaH syAt-Atma-vat-anyaTA-anucCittiH | KapSs_6.13 |
   (avivekasyānāditvaṃ)	(avivekasya-anAdi-tvaM)
   pratiniyatakāraṇa nāśyatvamasya dhvāntavat | KapSs_6.14 |	pratiniyata-kAraNa nASya-tvam-asya DvAnta-vat | KapSs_6.14 |
   (muktikāraṇavivaraṇaṃ)	(mukti-kAraNa-vivaraNaM)
   atrāpi pratiniyamo 'nvayavyatirekāt | KapSs_6.15 |	atra-api pratiniyamaH anvaya-vyatirekAt | KapSH-_6.15 |
   (muktikāraṇavivaraṇaṃ)	(mukti-kAraNa-vivaraNaM)
   prakārāntarāsambhavādaviveka eva bandhaḥ | KapSs_6.16 |	prakAra-antara-asamBavAt-avivekaH eva banDaH | KapSs_6.16 |
   (bandhasvarūpaṃ)	(banDa-svarUpaM)
   na muktasya punarbandhayogo 'pyanāvṛtti śruteḥ | KapSs_6.17 |	na muktasya punar-banDa-yogaH api-anAvRtti SruteH | KapSs_6.17 |
   (mukternityatvaṃ)	(mukteH-nitya-tvaM)
   apuruṣārthatvamanyathā | KapSs_6.18 |	apuruza-arTa-tvam-anyaTA | KapSs_6.18 |
   (mukternityatvaṃ)	(mukteH-nitya-tvaM)
   aviśeṣāpattirubhayoḥ | KapSs_6.19 |	aviSeza-ApattiH-uBayoH | KapSs_6.19 |
   (mukternityatvaṃ)	(mukteH-nitya-tvaM)
   muktirantarāya dhvasterna paraḥ | KapSs_6.20 |	muktiH-antarAya DvasteH-na paraH | KapSs_6.20 |
   (antarāyadhvaṃsamātrasya muktirūpatvaṃ)	(antarAya-DvaMsa-mAtrasya mukti-rUpa-tvaM)
   tatrāpyavirodhaḥ | KapSs_6.21 |	tatra-api-aviroDaH | KapSs_6.21 |
   (antarāyadhvaṃsamātrasya muktirūpatvaṃ)	(antarAya-DvaMsa-mAtrasya mukti-rUpa-tvaM)
   adhikāritraividhyānna niyamaḥ | KapSs_6.22 |	aDikAri-trEviDyAt-na niyamaH | KapSs_6.22 |
   (adhikāribhedena antarāyadhvasaniṣpattibhedaḥ)	(aDikAri-Bedena antarAya-Dvasa-nizpatti-BedaH)
   dārḍhyārthamuttareṣāṃ | KapSs_6.23 |	dArXya-arTam-uttarezAm | KapSs_6.23 |
   (niyamānāṃ āvaśyakatā)	(niyamAnAm AvaSyaka-tA)
   sthirasukhamāsanamiti na niyamaḥ | KapSs_6.24 |	sTira-suKam-Asanam-iti na niyamaH | KapSs_6.24 |
   (niyamānāṃ āvaśyakatā)	(niyamAnAm AvaSyaka-tA)
   dhyānaṃ nirviṣayaṃ manaḥ | KapSs_6.25 |	DyAnam nirvizayam manaH | KapSs_6.25 |
   (dhyānasvarūpaṃ)	(DyAna-svarUpaM)
   ubhayathāpyaviśeṣaścennaivamuparāganirodhādviśeṣaḥ | KapSs_6.26 |	uBayaTA-api-aviSezaH-ced-na-evam-uparAga-niroDAt-viSezaH | KapSs_6.26 |
   (yogasyāvaśkatā)	(yogasya-avaSka-tA)
   nissaṅge 'pyuparāgo 'vivekāt | KapSs_6.27 |	nissaFge api-uparAgaH avivekAt | KapSH-_6.27 |
   (uparāgahetuḥ)	(uparAga-hetuH)
   japāsphaṭikayoriva noparāgaḥ kintvabhimānaḥ | KapSs_6.28 |	japA-sPawikayoH-iva na-uparAgaH kintu-aBimAnaH | KapSs_6.28 |
   (uparāgahetuḥ)	(uparAga-hetuH)
   dhyānadhāraṇābhyāsa vairāgyādibhiḥ tannirodhaḥ | KapSs_6.29 |	DyAna-DAraNa-aByAsa vErAgya-AdiBiH tad-niroDaH | KapSs_6.29 |
   (uparāga nirodhahetuḥ)	(uparAga niroDa-hetuH)
   layavikṣepayorvyāvṛttyetyācāryāḥ | KapSs_6.30 |	laya-vikzepayoH-vyAvRttyA-iti-AcAryAH | KapSs_6.30 |
   (uparāga nirodhahetuḥ)	(uparAga niroDa-hetuH)
   na sthānaniyamaḥ cittaprasādāt | KapSs_6.31 |	na sTAna-niyamaH citta-prasAdAt | KapSH-_6.31 |
   (uparāga nirodhahetuḥ)	(uparAga niroDa-hetuH)
   praterādyopādānatānyeṣāṃ kāryatvaśruteḥ | KapSs_6.32 |	prateH-Adya-upAdAna-tA-anyezAm kAryatva-SruteH | KapSs_6.32 |
   (prakṛtereva jaganmūlatā)	(prakRteH-eva jagat-mUla-tA)
   nityatve 'pi nātmano yogyatvābhāvāt | KapSs_6.33 |	nitya-tve api na-AtmanaH yogya-tva-aBAvAt | KapSH-_6.33 |
   (prakṛtereva jaganmūlatā)	(prakRteH-eva jagat-mUla-tA)
   śrutivirodhānna kutarkāpasadasyātmalābhaḥ | KapSs_6.34 |	Sruti-viroDAt-na kutarka-apasadasya-Atma-lABaH | KapSs_6.34 |
   (prakṛtereva jaganmūlatā)	(prakRteH-eva jagat-mUla-tA)
   pāramparye 'pi pradhānānuvṛttiraṇuvat | KapSs_6.35 |	pAramparye api praDAna-anuvRttiH-aNu-vat | KapSs_6.35 |
   (prakṛtereva jaganmūlatā)	(prakRteH-eva jagat-mUla-tA)
   sarvatra kāryadarśanāt vibhutvaṃ | KapSs_6.36 |	sarvatra kArya-darSanAt viBu-tvam | KapSs_6.36 |
   (prakṛtereva jaganmūlatā)	(prakRteH-eva jagat-mUla-tA)
   gatiyoge 'pyādyakāraṇatāhāniraṇuvat | KapSs_6.37 |	gati-yoge api-Adi-a-kAraNa-tA-hAniraNuvat | KapSs_6.37 |
   (prakṛtereva jaganmūlatā)	(prakRteH-eva jagat-mUla-tA)
   prasiddhādhikyaṃ pradhānasya na niyamaḥ | KapSs_6.38 |	prasidDa-ADikyam praDAnasya na niyamaH | KapSs_6.38 |
   (prakṛtereva jaganmūlatā)	(prakRteH-eva jagat-mUla-tA)
   sattvādīnāmataddharmatvaṃ tadrūpatvāt | KapSs_6.39 |	sattva-AdInAm-atad-Darma-tvam tad-rUpa-tvAt | KapSH-_6.39 |
   (prakṛteḥ guṇarūpatāsādhanaṃ)	(prakRteH guNa-rUpa-tA-sADanaM)
   anupabhoge 'pi pumarthaṃ sṛṣṭiḥ pradhānasyoṣṭrakuṅkumavahanavat |	anupaBoge api pum-arTam sRzwiH praDAnasya-uzwra-kuFkuma-vahana-vat |
   KapSs_6.40 |	KapSs_6.40 |
   (pradhānapravṛttihetuḥ)	(praDAna-pravRtti-hetuH)
   karmavaicitryātsṛṣṭivaicitryaṃ | KapSs_6.41 |	karma-vEcitryAt-sRzwi-vEcitryam | KapSs_6.41 |
   (pradhānapravṛttihetuḥ)	(praDAna-pravRtti-hetuH)
   sāmyavaiṣamyābhyāṃ kāryadvayaṃ | KapSs_6.42 |	sAmya-vEzamyAByAm kArya-dvayam | KapSs_6.42 |
   (sṛṣṭipralanimitte)	(sRzwi-prala-nimitte)
   vimuktabodhānna sṛṣṭiḥ pradhānasya lokavat | KapSs_6.43 |	vimukta-boDAt-na sRzwiH praDAnasya loka-vat | KapSs_6.43 |
   (pradhānasyasṛṣṭyuparamanimittādi nirūpaṇaṃ)	(praDAnasya-sRzwi-uparama-nimitta-Adi nirUpaNaM)
   nānyopasarpaṇe 'pi muktopabhogaḥ nimittābhāvāt | KapSs_6.44 |	na-anya-upasarpaNe api mukta-upaBogaH nimitta-aBAvAt | KapSH-_6.44 |
   (pradhānasyasṛṣṭyuparamanimittādi nirūpaṇaṃ)	(praDAnasya-sRzwi-uparama-nimitta-Adi nirUpaNaM)
   puruṣabahutvaṃ vyavasthātaḥ | KapSs_6.45 |	puruza-bahu-tvam vyavasTAtaH | KapSs_6.45 |
   (praghānasyasṛṣṭyuparamanimittādi nirūpaṇaṃ)	(praGAnasya-sRzwi-uparama-nimitta-Adi nirUpaNaM)
   upādhiścet tatsiddhau punardvaitaṃ | KapSs_6.46 |	upADiH-ced tad-sidDO punar-dvEtam | KapSs_6.46 |
   (upādhibhedāt bandhamokṣavyavasthābhāvaḥ)	(upADi-BedAt banDa-mokza-vyavasTA-BAvaH)
   dvābhyāmapi pramāṇavirodhaḥ | KapSs_6.47 |	dvAByAm-api pramANa-viroDaH | KapSs_6.47 |
   (avidyāpuruṣayorastitvāṅgīkāre advaidyavirodhaḥ)	(avidyA-puruzayoH-astitva-aFgIkAre advEdya-viroDaH)
   dvābhyāmapyavirodhānnapūrvamuttaraṃ ca sādhākābhāvāt | KapSs_6.48 |	dvAByAm-api-aviroDAnna-pUrvam-uttaram ca sADAkA-BAvAt | KapSH-_6.48 |
   (avidhāpuruṣayorāstitvāṅgīkāre advaidyavirodhaḥ)	(aviDA-puruzayoH-Astitva-aFgIkAre advEdya-viroDaH)
   prakāśatastatsiddhau karmakartṛvirodhaḥ | KapSs_6.49 |	prakASataH-tad-sidDO karma-kartR-viroDaH | KapSs_6.49 |
   (ātmanaḥ prakāśasvarūpatve doṣaḥ)	(a-AtmanaH prakASa-svarUpa-tve dozaH)
   jaḍavyāvṛtto jaḍaṃ prakāśayati cidrūpaḥ | KapSs_6.50 |	jaxa-vyAvRttaH jaxam prakASayati cit-rUpaH | KapSs_6.50 |
   (ātmanaḥ prakāśasvarūpatve doṣaḥ)	(a-AtmanaH prakASa-svarUpa-tve dozaH)
   na śrutivirodho rāgiṇāṃ verāgyāya tatsiddheḥ | KapSs_6.51 |	na Sruti-viroDaH rAgiNAm verAgyAya tad-sidDeH | KapSs_6.51 |
   (advaitaśruteḥ svapakṣe sāmarasyaṃ)	(advEta-SruteH sva-pakze sa-amarasyaM)
   jagatsatyatvamaduṣṭakaraṇajanyatvam bādhakābhāvāt | KapSs_6.52 |	jagat-satya-tvam-aduzwa-karaNa-janya-tvam bADaka-aBAvAt | KapSH-_6.52 |
   (jagatsatyatvasādhanaṃ)	(jagat-satya-tva-sADanaM)
   prakārāntarāsaṃbhavātsadutpattiḥ | KapSs_6.53 |	prakAra-antara-asaMBavAt-sat-utpattiH | KapSs_6.53 |
   (satkāryavādasyaiva sādhutā)	(satkArya-vAdasya-eva sADu-tA)
   ahaṅkāraḥ kartā na puruṣaḥ | KapSs_6.54 |	ahaFkAraH kartA na puruzaH | KapSs_6.54 |
   (ahaṅkārasyaiva kartṛtvaṃ)	(ahaFkArasya-eva kartR-tvaM)
   cidavasānā bhuktiḥ tatkarmārjitatvāt | KapSs_6.55 |	cit-avasAnA BuktiH tad-karma-arjita-tvAt | KapSs_6.55 |
   (bhogopādhiḥ)	(Boga-upADiH)
   candrādilokepyāvṛttiḥ nimittasadbhāvāt | KapSs_6.56 |	candra-Adi-lokepya-AvRttiH nimitta-sadBAvAt | KapSH-_6.56 |
   (punarāvṛttihetuḥ)	(punarAvRtti-hetuH)
   lokasya nopadeśāt siddhiḥ pūrvavat | KapSs_6.57 |	lokasya na-upadeSAt sidDiH pUrvavat | KapSs_6.57 |
   (punarāvṛttihetuḥ)	(punarAvRtti-hetuH)
   pārāmparyeṇa tatsiddhau vimuktiśrutiḥ | KapSs_6.58 |	pArAmparyeNa tad-sidDO vimukti-SrutiH | KapSs_6.58 |
   (punarāvṛttihetuḥ)	(punarAvRtti-hetuH)
   gatiśruteśca vyāpakatve 'pi upādhiyogāt bhogadeśakālalābhaḥ vyomavat |	gati-SruteH-ca vyApaka-tve api upADi-yogAt Boga-deSa-kAla-lABaH vyoma-vat |
   KapSs_6.59 |	KapSs_6.59 |
   (ātmano gatiśrutyupapattiḥ)	(a-AtmanaH gati-Sruti-upapattiH)
   anadhiṣṭhitasya pūtibhāvaprasaṅgānna tatsiddhiḥ | KapSs_6.60 |	anaDizWitasya pUti-BAva-prasaFgAt-na tad-sidDiH | KapSs_6.60 |
   (deharacanāṃ prati bhoktradhiṣṭhānasyāvaśyakatā)	(deha-racanAm prati BoktR-aDizWAnasya-AvaSyaka-tA)
   adṛṣṭadvārācedasambaddhasya tadasambhavājjalādivadaṅkure | KapSs_6.61 |	adRzwa-dvAra-Aceda-sambadDasya tad-asamBavAt-jala-Adi-vat-aFkure | KapSs_6.61 |
   (deharacanāṃ prati bhoktradhiṣṭhānasyāvaśyakatā)	(deha-racanAm prati BoktR-aDizWAnasya-AvaSyaka-tA)
   nirguṇatvāttadasambhavādahaṅkāra dharmāte | KapSs_6.62 |	nirguNa-tvAt-tad-asamBavAt-ahaFkAra DarmAte | KapSs_6.62 |
   (deharacanāṃ prati bhoktradhiṣṭhānasyāvaśyakatā)	(deha-racanAm prati BoktR-aDizWAnasya-AvaSyaka-tA)
   viśiṣṭasya jīvatvamanvayavyatirekāt | KapSs_6.63 |	viSizwasya jIva-tvam-anvaya-vyatirekAt | KapSH-_6.63 |
   (jīvatvopādhiḥ)	(jIva-tva-upADiH)
   ahaṅkārakartradhīnā kāryasiddhirneśvarādhīnā pramāṇābhāvāt | KapSs_6.64 |	ahaFkAra-kartR-aDInA kArya-sidDiH-na-ISvara-aDInA pramANa-aBAvAt | KapSH-_6.64 |
   (sṛṣṭyādīnāṃ kālamātranimittāhaṅkārādikāryatā)	(sRzwi-AdInAm kAla-mAtra-nimitta-ahaFkAra-Adi-kArya-tA)
   adṛṣṭodbhūtivatsamānatvaṃ | KapSs_6.65 |	adRzwa-udBUti-vatsamAna-tvam | KapSs_6.65 |
   (sṛṣṭyādīnāṃ kālamātranimittāhaṅkārādikāryatā)	(sRzwi-AdInAm kAla-mAtra-nimitta-ahaFkAra-Adi-kArya-tA)
   mahato 'nyat | KapSs_6.66 |	mahataH anyat | KapSH-_6.66 |
   (sṛṣṭyādīnāṃ kālamātranimittāhaṅkārādikāryatā)	(sRzwi-AdInAm kAla-mAtra-nimitta-ahaFkAra-Adi-kArya-tA)
   karmanimittaḥ prakṛteḥ svasvāmibhāvo 'pyanādiḥ bījāṅkuravat | KapSs_6.67 |	karma-nimittaH prakRteH sva-svAmi-BAvaH api-anAdiH bIja-aFkura-vat | KapSs_6.67 |
   (prakṛtipuruṣayoḥ bhogyabhoktṛbhāvasya anādikarmanimittakatvaṃ)	(prakRti-puruzayoH Bogya-BoktR-BAvasya anAdi-karma-nimittaka-tvaM)
   avivekanimitto vā pañcaśikhaḥ | KapSs_6.68 |	aviveka-nimittaH vA paQcaSiKaH | KapSs_6.68 |
   (tatraiva matabhedaḥ)	(tatra-eva mata-BedaH)
   liṅgaśarīranimittaka iti sanandanācāryaḥ | KapSs_6.69 |	liFga-SarIra-nimittakaH iti sanandana-AcAryaH | KapSs_6.69 |
   (puruṣārthasvarūpanigamanaṃ)	(puruza-arTa-svarUpa-nigamanaM)
   Tattvasamāsasūtrāṇi (kapilamaharṣipraṇītāni)	Tattva-samAsa-sUtrANi (kapila-mahA-Rzi-praNItAni)
