   LiP, 1, 1	Li P, 1, 1
   śivena dṛṣṭā prakṛtiḥ śaivī samabhavaddvijāḥ /	Sivena dRzwA prakRtiH SEvI samaBavat dvijAH /
   sargādau sā guṇairyuktā purāvyaktā svabhāvataḥ // LiP_1,3.11 //	sarga AdO sA guNEH yuktA purA avyaktA svaBAvataH // LiS _1,3.11 //
   avyaktādiviśeṣāntaṃ viśvaṃ tasyāḥ samucchritam /	avyakta Adi viSeza antam viSvam tasyAH samucCritam /
   viśvadhātrī tvajākhyā ca śaivī sā prakṛtiḥ smṛtā // LiP_1,3.12 //	viSvaDAtrI tu ajA AKyA ca SEvI sA prakRtiH smRtA // LiS _1,3.12 //
   tāmajāṃ lohitāṃ śuklāṃ kṛṣṇāmekāṃ bahuprajām /	tAm ajAm lohitAm SuklAm kRzNAm ekAm bahu prajAm /
   janitrīmanuśete sma juṣamāṇaḥ svarūpiṇīm // LiP_1,3.13 //	janitrIm anuSete sma juzamANaH svarUpiNIm // LiS _1,3.13 //
   tāmevājāmajo 'nyastu bhuktabhogāṃ jahāti ca /	tAm eva ajAm ajaH anyaH tu Bukta BogAm jahAti ca /
   ajā janitrī jagatāṃ sājena samadhiṣṭhitā // LiP_1,3.14 //	ajA janitrI jagatAm sAjena samaDizWitAH // LiS _1,3.14 //
   prādurbabhūva sa mahān puruṣādhiṣṭhitasya ca /	prAdurbaBUva sa mahAn puruza aDizWitasya ca /
   ajājñayā pradhānasya sargakāle guṇais tribhiḥ // LiP_1,3.15 //	aja AjQayA praDAnasya sarga kAle guNEH triBiH // LiS _1,3.15 //
   sisṛkṣayā codyamānaḥ praviśyāvyaktamavyayam /	sisRkzayA codyamAnaH praviSya avyaktam avyayam /
   vyaktasṛṣṭiṃ vikurute cātmanādhiṣṭhito mahān // LiP_1,3.16 //	vyakta sRzwim vikurute ca AtmanA aDizWitaH mahAn // LiS _1,3.16 //
   mahatastu tathā vṛttiḥ saṃkalpādhyavasāyikā /	mahataH tu taTA vRttiH saMkalpa aDyavasAyikA /
   mahatas triguṇas tasmād ahaṃkāro rajo 'dhikaḥ // LiP_1,3.17 //	mahataH triguNaH tasmAt ahaMkAraH rajaH aDikaH // LiS _1,3.17 //
   tenaiva cāvṛtaḥ samyag ahaṃkāras tamo 'dhikaḥ /	tena eva ca AvRtaH samyak ahaMkAraH tamaH aDikaH /
   mahato bhūtatanmātraṃ sargakṛdvai babhūva ca // LiP_1,3.18 //	mahataH BUta tanmAtram sarga kRt vE baBUva ca // LiS _1,3.18 //
   ahaṃkārācchabdamātraṃ tasmādākāśamavyayam /	ahaMkArAt Sabda mAtram tasmAt AkASam avyayam /
   saśabdamāvṛṇotpaścād ākāśaṃ śabdakāraṇam // LiP_1,3.19 //	sa Sabdam AvRNa utpaScAt AkASam Sabda kAraNam // LiS _1,3.19 //
   tanmātrādbhūtasargaś ca dvijāstvevaṃ prakīrtitaḥ /	tanmAtrAt BUta sargaH ca dvijAH tu evam prakIrtitaH /
   sparśamātraṃ tathākāśāt tasmādvāyur mahānmune // LiP_1,3.20 //	sparSa mAtram taTA AkASAt tasmAt vAyuH mahAn mune // LiS _1,3.20 //
   tasmācca rūpamātraṃ tu tato 'gniśca rasastataḥ /	tasmAt ca rUpa mAtram tu tatas agniH ca rasaH tatas /
   rasādāpaḥ śubhāstābhyo gandhamātraṃ dharā tataḥ // LiP_1,3.21 //	rasAt ApaH SuBAH tAByaH ganDa mAtram DarA tatas // LiS _1,3.21 //
   āvṛṇoddhi tathākāśaṃ sparśamātraṃ dvijottamāḥ /	AvRNot hi taTA AkASam sparSa mAtram dvijottamAH /
   āvṛṇodrūpamātraṃ tu vāyurvāti kriyātmakaḥ // LiP_1,3.22 //	AvRNot rUpa mAtram tu vAyuH vAti kriyA AtmakaH // LiS _1,3.22 //
   āvṛṇodrasamātraṃ vai devaḥ sākṣādvibhāvasuḥ /	AvRNot rasa mAtram vE devaH sAkzAt viBAvasuH /
   āvṛṇvānā gandhamātram āpaḥ sarvarasātmikāḥ // LiP_1,3.23 //	AvRNvAnAH ganDa mAtram ApaH sarva rasa AtmikAH // LiS _1,3.23 //
   kṣmā sā pañcaguṇā tasmād ekonā rasasambhavāḥ /	kzmA sA paQca guNA tasmAt eka UnAH rasa samBavAH /
   triguṇo bhagavānvahnir dviguṇaḥ sparśasambhavaḥ // LiP_1,3.24 //	triguNaH BagavAn vahniH dviguNaH sparSa samBavaH // LiS _1,3.24 //
   avakāśastato deva ekamātrastu niṣkalaḥ /	avakASaH tatas devaH eka mAtraH tu nizkalaH /
   tanmātrādbhūtasargaś ca vijñeyaś ca parasparam // LiP_1,3.25 //	tanmAtrAt BUta sargaH ca vijQeyaH ca parasparam // LiS _1,3.25 //
   vaikārikaḥ sāttviko vai yugapatsampravartate /	vEkArikaH sAttvikaH vE yugapad sampravartate /
   sargas tathāpyahaṃkārād evamatra prakīrtitaḥ // LiP_1,3.26 //	sargaH taTA api ahaMkArAt evam atra prakIrtitaH // LiS _1,3.26 //
   pañca buddhīndriyāṇyasya pañca karmendriyāṇi tu /	paQca budDIndriyANi asya paQca karmendriyANi tu /
   śabdādīnāmavāptyarthaṃ manaścaivobhayātmakam // LiP_1,3.27 //	Sabda AdInAm avApti arTam manaH ca eva uBaya Atmakam // LiS _1,3.27 //
   mahadādiviśeṣāntā hy aṇḍamutpādayanti ca /	mahat Adi viSeza antAH hi aNxam utpAdayanti ca /
   jalabudbudavattasmād avatīrṇaḥ pitāmahaḥ // LiP_1,3.28 //	jala budbuda vat tasmAt avatIrNaH pitAmahaH // LiS _1,3.28 //
   sa eva bhagavān rudro viṣṇurviśvagataḥ prabhuḥ /	saH eva BagavAn rudraH vizNuH viSva gataH praBuH /
   tasminnaṇḍe tvime lokā antarviśvamidaṃ jagat // LiP_1,3.29 //	tasmin= aNxe tu ime lokAH antar viSvam idam jagat // LiS _1,3.29 //
   aṇḍaṃ daśaguṇenaiva vāriṇā prāvṛtaṃ bahiḥ /	aNxam daSaguNena eva vAriNA prAvRtam bahis /
   āpo daśaguṇenaiva tadbāhyastejasā vṛtāḥ // LiP_1,3.30 //	ApaH daSaguNena eva tad bAhyaH tejasA vRtAH // LiS _1,3.30 //
   tejo daśaguṇenaiva bāhyato vāyunā vṛtam /	tejaH daSaguNena eva bAhyatas vAyunA vRtam /
   vāyurdaśaguṇenaiva bāhyato nabhasā vṛtaḥ // LiP_1,3.31 //	vAyuH daSaguNena eva bAhyatas naBasA vRtaH // LiS _1,3.31 //
   ākāśenāvṛto vāyur ahaṃkāreṇa śabdajaḥ /	AkASena AvRtaH vAyuH ahaMkAreNa Sabda jaH /
   mahatā śabdaheturvai pradhānenāvṛtaḥ svayam // LiP_1,3.32 //	mahatA Sabda hetuH vE praDAnena AvRtaH svayam // LiS _1,3.32 //
   saptāṇḍāvaraṇānyāhus tasyātmā kamalāsanaḥ /	sapta aNxa AvaraNAni AhuH tasya AtmA kamalAsanaH /
   koṭikoṭiyutānyatra cāṇḍāni kathitāni tu // LiP_1,3.33 //	kowi kowi yutAni atra ca aNxAni kaTitAni tu // LiS _1,3.33 //
   tatratatra caturvaktrā brahmāṇo harayo bhavāḥ /	tatra tatra catur vaktrAH brahmANaH harayaH BavAH /
   sṛṣṭāḥ pradhānena tadā labdhvā śambhostu saṃnidhim // LiP_1,3.34 //	sRzwAH praDAnena tadA labDvA SamBoH tu saMniDim // LiS _1,3.34 //
   layaścaiva tathānyonyam āndyantam iti kīrtitam /	layaH ca eva taTA anyonyam Andyantam iti kIrtitam /
   sargasya pratisargasya sthiteḥ kartā maheśvaraḥ // LiP_1,3.35 //	sargasya pratisargasya sTiteH kartA maheSvaraH // LiS _1,3.35 //
   sarge ca rajasā yuktaḥ sattvasthaḥ pratipālane /	sarge ca rajasA yuktaH sattva sTaH pratipAlane /
   pratisarge tamodriktaḥ sa eva trividhaḥ kramāt // LiP_1,3.36 //	pratisarge tama udriktaH saH eva triviDaH kramAt // LiS _1,3.36 //
   ādikartā ca bhūtānāṃ saṃhartā paripālakaḥ /	AdikartA ca BUtAnAm saMhartA paripAlakaH /
   tasmānmaheśvaro devo brahmaṇo 'dhipatiḥ śivaḥ // LiP_1,3.37 //	tasmAt maheSvaraH devaH brahmaNaH aDipatiH SivaH // LiS _1,3.37 //
   sadāśivo bhavo viṣṇur brahmā sarvātmako yataḥ /	sadASivaH BavaH vizNuH brahmA sarva AtmakaH yatas /
   ekadaṇḍe tathā lokā ime kartā pitāmahaḥ // LiP_1,3.38 //	eka daNxe taTA lokAH ime kartA pitAmahaH // LiS _1,3.38 //
   prākṛtaḥ kathitastveṣa puruṣādhiṣṭhito mayā /	prAkRtaH kaTitaH tu eza puruza aDizWitaH mayA /
   sargaś cābuddhipūrvastu dvijāḥ prāthamikaḥ śubhaḥ // LiP_1,3.39 //	sargaH ca abudDi pUrvaH tu dvijAH prATamikaH SuBaH // LiS _1,3.39 //
   LiP, 1, 4	Li P, 1, 4
   sūta uvāca	sUtaH uvAca
   atha prāthamikasyeha yaḥ kālastadahaḥ smṛtam /	aTa prATamikasya iha yaH kAlaH tat ahar smRtam /
   sargasya tādṛśī rātriḥ prākṛtasya samāsataḥ // LiP_1,4.1 //	sargasya tAdRSI rAtriH prAkRtasya samAsatas // LiS _1,4.1 //
   divā sṛṣṭiṃ vikurute rajanyāṃ pralayaṃ vibhuḥ /	divA sRzwim vikurute rajanyAm pralayam viBuH /
   aupacārikamasyaitad ahorātraṃ na vidyate // LiP_1,4.2 //	OpacArikam asya etat ahorAtram na vidyate // LiS _1,4.2 //
   divā vikṛtayaḥ sarve vikārā viśvadevatāḥ /	divA vikRtayaH sarve vikArAH viSva devatAH /
   prajānāṃ patayaḥ sarve tiṣṭhantyanye maharṣayaḥ // LiP_1,4.3 //	prajAnAm patayaH sarve tizWanti anye mahA RzayaH // LiS _1,4.3 //
   rātrau sarve pralīyante niśānte sambhavanti ca /	rAtrO sarve pralIyante niSA ante samBavanti ca /
   ahastu tasya vaikalpo rātristādṛgvidhā smṛtā // LiP_1,4.4 //	ahar tu tasya vEkalpaH rAtriH tAdRgviDA smRtA // LiS _1,4.4 //
   caturyugasahasrānte manavastu caturdaśa /	caturyuga sahasra ante manavaH tu caturdaSa /
   catvāri tu sahasrāṇi vatsarāṇāṃ kṛtaṃ dvijāḥ // LiP_1,4.5 //	catvAri tu sahasrANi vatsarANAm kRtam dvijAH // LiS _1,4.5 //
   tāvacchatī ca vai saṃdhyā saṃdhyāṃśaś ca kṛtasya tu /	tAvacCatI ca vE saMDyA saMDyAMSaH ca kRtasya tu /
   triśatī dviśatī saṃdhyā tathā caikaśatī kramāt // LiP_1,4.6 //	triSatI dviSatI saMDyA taTA ca ekaSatI kramAt // LiS _1,4.6 //
   aṃśakaḥ ṣaṭśataṃ tasmāt kṛtasaṃdhyāṃśakaṃ vinā /	aMSakaH zaz Satam tasmAt kRta saMDyAMSakam vinA /
   tridvyekasāhasramito vinā saṃdhyāṃśakena tu // LiP_1,4.7 //	tri dvi eka sAhasramitaH vinA saMDyAMSakena tu // LiS _1,4.7 //
   tretādvāparatiṣyāṇāṃ kṛtasya kathayāmi vaḥ /	tretA dvApara tizyANAm kRtasya kaTayAmi vaH /
   nimeṣapañcadaśakā kāṣṭhā svasthasya suvratāḥ // LiP_1,4.8 //	nimeza paQcadaSakA kAzWA svasTasya suvratAH // LiS _1,4.8 //
   martyasya cākṣṇostasyāś ca tatas triṃśatikā kalā /	martyasya ca akzNoH tasyAH ca tatas triMSatikA kalA /
   kalātriṃśatiko viprā muhūrta iti kalpitaḥ // LiP_1,4.9 //	kalA triMSatikaH viprAH muhUrte iti kalpitaH // LiS _1,4.9 //
   muhūrtapañcadaśikā rajanī tādṛśaṃ tvahaḥ /	muhUrta paQcadaSikA rajanI tAdRSam tu ahar /
   pitrye rātryahanī māsaḥ pravibhāgastayoḥ punaḥ // LiP_1,4.10 //	pitrye rAtrI ahanI mAsaH praviBAgaH tayoH punar // LiS _1,4.10 //
   kṛṣṇapakṣastvahasteṣāṃ śuklaḥ svapnāya śarvarī /	kRzNa pakzaH tu ahar tezAm SuklaH svapnAya SarvarI /
   triṃśadye mānuṣā māsāḥ pitryo māsastu sa smṛtaḥ // LiP_1,4.11 //	triMSat ye mAnuzAH mAsAH pitryaH mAsaH tu sa smRtaH // LiS _1,4.11 //
   śatāni trīṇi māsānāṃ ṣaṣṭyā cāpyadhikāni vai /	SatAni trINi mAsAnAm zazwyA ca api aDikAni vE /
   pitryaḥ saṃvatsaro hyeṣa mānuṣeṇa vibhāvyate // LiP_1,4.12 //	pitryaH saMvatsaraH hi eza mAnuzeNa viBAvyate // LiS _1,4.12 //
   mānuṣeṇaiva mānena varṣāṇāṃ yacchataṃ bhavet /	mAnuzeNa eva mAnena varzANAm yat Satam Bavet /
   pitṝṇāṃ trīṇi varṣāṇi saṃkhyātānīha tāni vai // LiP_1,4.13 //	pitLNAm trINi varzANi saMKyAtAni iha tAni vE // LiS _1,4.13 //
   daśa vai dvyadhikā māsāḥ pitṛsaṃkhyeha saṃsmṛtā /	daSa vE dvi aDikAH mAsAH pitR saMKyA iha saMsmRtA /
   laukikenaiva mānena abdo yo mānuṣaḥ smṛtaḥ // LiP_1,4.14 //	lOkikena eva mAnena abdaH yaH mAnuzaH smRtaH // LiS _1,4.14 //
   etaddivyamahorātram iti laiṅge 'tra paṭhyate /	etat divyam ahorAtram iti lEFge atra paWyate /
   divye rātryahanī varṣaṃ pravibhāgastayoḥ punaḥ // LiP_1,4.15 //	divye rAtrI ahanI varzam praviBAgaH tayoH punar // LiS _1,4.15 //
   ahastatrodagayanaṃ rātriḥ syāddakṣiṇāyanam /	ahar tatra udagayanam rAtriH syAt dakziNAyanam /
   ete rātryahanī divye prasaṃkhyāte viśeṣataḥ // LiP_1,4.16 //	ete rAtrI ahanI divye prasaMKyAte viSezataH // LiS _1,4.16 //
   triṃśadyāni tu varṣāṇi divyo māsastu sa smṛtaḥ /	triMSat yAni tu varzANi divyaH mAsaH tu sa smRtaH /
   mānuṣaṃ tu śataṃ viprā divyamāsāstrayastu te // LiP_1,4.17 //	mAnuzam tu Satam viprAH divya mAsAH trayaH tu te // LiS _1,4.17 //
   daśa caiva tathāhāni divyo hyeṣa vidhiḥ smṛtaḥ /	daSa ca eva taTA ahAni divyaH hi eza viDiH smRtaH /
   trīṇi varṣaśatānyeva ṣaṣṭivarṣāṇi yāni tu // LiP_1,4.18 //	trINi varza SatAni eva zazwi varzANi yAni tu // LiS _1,4.18 //
   divyaḥ saṃvatsaro hyeṣa mānuṣeṇa prakīrtitaḥ /	divyaH saMvatsaraH hi eza mAnuzeNa prakIrtitaH /
   trīṇi varṣasahasrāṇi mānuṣāṇi pramāṇataḥ // LiP_1,4.19 //	trINi varza sahasrANi mAnuzANi pramANataH // LiS _1,4.19 //
   triṃśadanyāni varṣāṇi mataḥ saptarṣivatsaraḥ /	triMSat anyAni varzANi mataH saptarzi vatsaraH /
   nava yāni sahasrāṇi varṣāṇāṃ mānuṣāṇi tu // LiP_1,4.20 //	nava yAni sahasrANi varzANAm mAnuzANi tu // LiS _1,4.20 //
   anyāni navatīścaiva dhrauvaḥ saṃvatsarastu saḥ /	anyAni navatIH ca eva DrOvaH saMvatsaraH tu saH /
   ṣaṭtriṃśattu sahasrāṇi varṣāṇāṃ mānuṣāṇi tu // LiP_1,4.21 //	zawtriMSat tu sahasrANi varzANAm mAnuzANi tu // LiS _1,4.21 //
   varṣāṇāṃ tacchataṃ jñeyaṃ divyo hyeṣa vidhiḥ smṛtaḥ /	varzANAm tat Satam jQeyam divyaH hi eza viDiH smRtaH /
   trīṇyeva niyutānyāhur varṣāṇāṃ mānuṣāṇi tu // LiP_1,4.22 //	trINi eva niyutAni AhuH varzANAm mAnuzANi tu // LiS _1,4.22 //
   ṣaṣṭiścaiva sahasrāṇi saṃkhyātāni tu saṃkhyayā /	zazwiH ca eva sahasrANi saMKyAtAni tu saMKyayA /
   divyaṃ varṣasahasraṃ tu prāhuḥ saṃkhyāvido janāḥ // LiP_1,4.23 //	divyam varza sahasram tu prAhuH saMKyA vidaH janAH // LiS _1,4.23 //
   divyenaiva pramāṇena yugasaṃkhyāprakalpanam /	divyena eva pramANena yuga saMKyA prakalpanam /
   pūrvaṃ kṛtayugaṃ nāma tatastretā vidhīyate // LiP_1,4.24 //	pUrvam kRta yugam nAma tatas tretA viDIyate // LiS _1,4.24 //
   dvāparaśca kaliścaiva yugānyetāni suvratāḥ /	dvAparaH ca kaliH ca eva yugAni etAni suvratAH /
   atha saṃvatsarā dṛṣṭā mānuṣeṇa pramāṇataḥ // LiP_1,4.25 //	aTa saMvatsarAH dRzwAH mAnuzeNa pramANataH // LiS _1,4.25 //
   kṛtasyādyasya viprendrā divyamānena kīrtitam /	kRtasya Adyasya vipra indrAH divya mAnena kIrtitam /
   sahasrāṇāṃ śatānyāsaṃś caturdaśa ca saṃkhyayā // LiP_1,4.26 //	sahasrANAm SatAni Asan caturdaSa ca saMKyayA // LiS _1,4.26 //
   catvāriṃśatsahasrāṇi tathānyāni kṛtaṃ yugam /	catvAriMSat sahasrANi taTA anyAni kRtam yugam /
   tathā daśasahasrāṇāṃ varṣāṇāṃ śatasaṃkhyayā // LiP_1,4.27 //	taTA daSa sahasrANAm varzANAm Sata saMKyayA // LiS _1,4.27 //
   aśītiś ca sahasrāṇi kālastretāyugasya ca /	aSItiH ca sahasrANi kAlaH tretA yugasya ca /
   saptaiva niyutānyāhur varṣāṇāṃ mānuṣāṇi tu // LiP_1,4.28 //	sapta eva niyutAni AhuH varzANAm mAnuzANi tu // LiS _1,4.28 //
   viṃśatiś ca sahasrāṇi kālastu dvāparasya ca /	viMSatiH ca sahasrANi kAlaH tu dvAparasya ca /
   tathā śatasahasrāṇi varṣāṇāṃ trīṇi saṃkhyayā // LiP_1,4.29 //	taTA Sata sahasrANi varzANAm trINi saMKyayA // LiS _1,4.29 //
   ṣaṣṭiścaiva sahasrāṇi kālaḥ kaliyugasya tu /	zazwiH ca eva sahasrANi kAlaH kali yugasya tu /
   evaṃ caturyugaḥ kāla ṛte saṃdhyāṃśakātsmṛtaḥ // LiP_1,4.30 //	evam caturyugaH kAlaH Rte saMDyAMSakAt smRtaH // LiS _1,4.30 //
   niyutānyeva ṣaṭtriṃśan niraṃśāni tu tāni vai /	niyutAni eva zawtriMSat niraMSAni tu tAni vE /
   catvāriṃśattathā trīṇi niyutānīha saṃkhyayā // LiP_1,4.31 //	catvAriMSat taTA trINi niyutAni iha saMKyayA // LiS _1,4.31 //
   viṃśatiś ca sahasrāṇi saṃdhyāṃśaś ca caturyugaḥ /	viMSatiH ca sahasrANi saMDyAMSaH ca caturyugaH /
   evaṃ caturyugākhyānāṃ sādhikā hyekasaptatiḥ // LiP_1,4.32 //	evam catur yuga AKyAnAm sADikA hi ekasaptatiH // LiS _1,4.32 //
   kṛtatretādiyuktānāṃ manorantaramucyate /	kRta tretA Adi yuktAnAm manoH antaram ucyate /
   manvantarasya saṃkhyā ca varṣāgreṇa prakīrtitā // LiP_1,4.33 //	manvantarasya saMKyA ca varza agreNa prakIrtitAH // LiS _1,4.33 //
   triṃśatkoṭyastu varṣāṇāṃ mānuṣeṇa dvijottamāḥ /	triMSat kowyaH tu varzANAm mAnuzeNa dvijottamAH /
   saptaṣaṣṭistathānyāni niyutānyadhikāni tu // LiP_1,4.34 //	saptazazwiH taTA anyAni niyutAni aDikAni tu // LiS _1,4.34 //
   viṃśatiś ca sahasrāṇi kālo 'yam adhikaṃ vinā /	viMSatiH ca sahasrANi kAlaH ayam aDikam vinA /
   manvantarasya saṃkhyaiṣā laiṅge 'sminkīrtitā dvijāḥ // LiP_1,4.35 //	manvantarasya saMKyA ezA lEFge asmin kIrtitAH dvijAH // LiS _1,4.35 //
   caturyugasya ca tathā varṣasaṃkhyā prakīrtitā /	caturyugasya ca taTA varza saMKyA prakIrtitA /
   caturyugasahasraṃ vai kalpaścaiko dvijottamāḥ // LiP_1,4.36 //	catur yuga sahasram vE kalpaH ca ekaH dvijottamAH // LiS _1,4.36 //
   niśānte sṛjate lokān naśyante niśi jantavaḥ /	niSA ante sRjate lokAn naSyante niSi jantavaH /
   tatra vaimānikānāṃ tu aṣṭāviṃśatikoṭayaḥ // LiP_1,4.37 //	tatra vEmAnikAnAm tu azwAviMSati kowayaH // LiS _1,4.37 //
   manvantareṣu vai saṃkhyā sāntareṣu yathātathā /	manvantarezu vE saMKyA sAntarezu yaTA taTA /
   trīṇi koṭiśatānyāsan koṭyo dvinavatis tathā // LiP_1,4.38 //	trINi kowi SatAni Asan kowyaH dvinavatiH taTA // LiS _1,4.38 //
   kalpe 'tīte tu vai viprāḥ sahasrāṇāṃ tu saptatiḥ /	kalpe atIte tu vE viprAH sahasrANAm tu saptatiH /
   punastathāṣṭasāhasraṃ sarvatraiva samāsataḥ // LiP_1,4.39 //	punar taTA azwa sAhasram sarvatra eva samAsatas // LiS _1,4.39 //
   kalpāvasānikāṃstyaktvā pralaye samupasthite /	kalpa avasAnikAn= tyaktvA pralaye samupasTite /
   maharlokāt prayāntyete janalokaṃ janāstataḥ // LiP_1,4.40 //	mahar lokAt prayAnti ete janalokam janAH tatas // LiS _1,4.40 //
   koṭīnāṃ dve sahasre tu aṣṭau koṭiśatāni tu /	kowInAm dve sahasre tu azwO kowi SatAni tu /
   dviṣaṣṭiś ca tathā koṭyo niyutāni ca saptatiḥ // LiP_1,4.41 //	dvizazwiH ca taTA kowyaH niyutAni ca saptatiH // LiS _1,4.41 //
   kalpārdhasaṃkhyā divyā vai kalpamevaṃ tu kalpayet /	kalpa arDa saMKyAH divyA vE kalpam evam tu kalpayet /
   kalpānāṃ vai sahasraṃ tu varṣamekamajasya tu // LiP_1,4.42 //	kalpAnAm vE sahasram tu varzam ekam ajasya tu // LiS _1,4.42 //
   varṣāṇāmaṣṭasāhasraṃ brāhmaṃ vai brahmaṇo yugam /	varzANAm azwa sAhasram brAhmam vE brahmaNaH yugam /
   savanaṃ yugasāhasraṃ sarvadevodbhavasya tu // LiP_1,4.43 //	savanam yuga sAhasram sarva deva udBavasya tu // LiS _1,4.43 //
   savanānāṃ sahasraṃ tu trividhaṃ triguṇaṃ tathā /	savanAnAm sahasram tu triviDam triguNam taTA /
   brahmaṇastu tathā proktaḥ kālaḥ kālātmanaḥ prabho // LiP_1,4.44 //	brahmaNaH tu taTA proktaH kAlaH kAla AtmanaH praBo // LiS _1,4.44 //
   bhavodbhavastapaścaiva bhavyo rambhaḥ kratuḥ punaḥ /	BavodBavaH tapaH ca eva BavyaH ramBaH kratuH punar /
   ṛturvahnirhavyavāhaḥ sāvitraḥ śuddha eva ca // LiP_1,4.45 //	RtuH vahniH havyavAhaH sAvitraH SudDaH eva ca // LiS _1,4.45 //
   uśikaḥ kuśikaścaiva gāndhāro munisattamāḥ /	uSikaH kuSikaH ca eva gAnDAraH muni sattamAH /
   ṛṣabhaś ca tathā ṣaḍjo majjālīyaś ca madhyamaḥ // LiP_1,4.46 //	RzaBaH ca taTA zaxjaH majjAlIyaH ca maDyamaH // LiS _1,4.46 //
   vairājo vai niṣādaś ca mukhyo vai meghavāhanaḥ /	vErAjaH vE nizAdaH ca muKyaH vE meGavAhanaH /
   pañcamaścitrakaścaiva ākūtir jñāna eva ca // LiP_1,4.47 //	paQcamaH citrakaH ca eva AkUtiH jQAnaH eva ca // LiS _1,4.47 //
   manaḥ sudarśo bṛṃhaś ca tathā vai śvetalohitaḥ /	manaH sudarSaH bRMhaH ca taTA vE Sveta lohitaH /
   raktaś ca pītavāsāś ca asitaḥ sarvarūpakaḥ // LiP_1,4.48 //	raktaH ca pIta vAsAH ca asitaH sarva rUpakaH // LiS _1,4.48 //
   evaṃ kalpāstu saṃkhyātā brahmaṇo 'vyaktajanmanaḥ /	evam kalpAH tu saMKyAtAH brahmaNaH avyakta janmanaH /
   koṭikoṭisahasrāṇi kalpānāṃ munisattamāḥ // LiP_1,4.49 //	kowi kowi sahasrANi kalpAnAm muni sattamAH // LiS _1,4.49 //
   gatāni tāvaccheṣāṇi aharniśyāni vai punaḥ /	gatAni tAvat SezANi ahar niSyAni vE punar /
   parānte vai vikārāṇi vikāraṃ yānti viśvataḥ // LiP_1,4.50 //	para ante vE vikArANi vikAram yAnti viSvatas // LiS _1,4.50 //
   vikārasya śivasyājñā  vaśenaiva tu saṃhṛtiḥ /	vikArasya Sivasya ajQA vaSena eva tu saMhRtiH /
   saṃhṛte tu vikāre ca pradhāne cātmani sthite // LiP_1,4.51 //	saMhRte tu vikAre ca praDAne ca Atmani sTite // LiS _1,4.51 //
   sādharmyeṇāvatiṣṭhete pradhānapuruṣāvubhau /	sADarmyeNa avatizWete praDAna puruzO= uBO /
   guṇānāṃ caiva vaiṣamye viprāḥ sṛṣṭiriti smṛtā // LiP_1,4.52 //	guNAnAm ca eva vEzamye viprAH sRzwiH iti smRtA // LiS _1,4.52 //
   sāmye layo guṇānāṃ tu tayorheturmaheśvaraḥ /	sAmye layaH guNAnAm tu tayoH hetuH maheSvaraH /
   līlayā devadevena sargāstvīdṛgvidhāḥ kṛtāḥ // LiP_1,4.53 //	lIlayA devadevena sargAH tu IdRgviDAH kRtAH // LiS _1,4.53 //
   asaṃkhyātāś ca saṃkṣepāt pradhānād anvadhiṣṭhitāt /	asaMKyAtAH ca saMkzepAt praDAnAt anvaDizWitAt /
   asaṃkhyātāś ca kalpākhyā hy asaṃkhyātāḥ pitāmahāḥ // LiP_1,4.54 //	asaMKyAtAH ca kalpa AKyAH hi asaMKyAtAH pitAmahAH // LiS _1,4.54 //
   harayaścāpyasaṃkhyātās tv eka eva maheśvaraḥ /	harayaH ca api asaMKyAtAH tu ekaH eva maheSvaraH /
   pradhānādipravṛttāni līlayā prākṛtāni tu // LiP_1,4.55 //	praDAna Adi pravRttAni lIlayA prAkRtAni tu // LiS _1,4.55 //
   guṇātmikā ca tadvṛttis tasya devasya vai tridhā /	guNa AtmikA ca tad vRttiH tasya devasya vE triDA /
   aprākṛtasya tasyādir madhyāntaṃ nāsti cātmanaḥ // LiP_1,4.56 //	aprAkRtasya tasya AdiH maDya antam na asti ca AtmanaH // LiS _1,4.56 //
   pitāmahasyātha paraḥ parārdhadvayasaṃmitaḥ /	pitAmahasya aTa paraH parArDa dvaya saMmitaH /
   divā sṛṣṭaṃ tu yatsarvaṃ niśi naśyati cāsya tat // LiP_1,4.57 //	divA sRzwam tu yat sarvam niSi naSyati ca asya tat // LiS _1,4.57 //
   bhūrbhuvaḥsvarmahastatra naśyate cordhvato na ca /	BUrBuvaH svar mahaH tatra naSyate ca UrDvatas na ca /
   rātrau caikārṇave brahmā naṣṭe sthāvarajaṅgame // LiP_1,4.58 //	rAtrO ca ekArNave brahmA nazwe sTAvara jaFgame // LiS _1,4.58 //
   suṣvāpāmbhasi yastasmān nārāyaṇa iti smṛtaḥ /	suzvApa amBasi yaH tasmAt nArAyaNaH iti smRtaH /
   śarvaryante prabuddho vai dṛṣṭvā śūnyaṃ carācaram // LiP_1,4.59 //	SarvarI ante prabudDaH vE dRzwvA SUnyam carAcaram // LiS _1,4.59 //
   sraṣṭuṃ tadā matiṃ cakre brahmā brahmavidāṃ varaḥ /	srazwum tadA matim cakre brahmA brahma vidAm varaH /
